IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2463960053; APARTMENT; UNIT; BR; São Paulo; SP; Rua Sapucaia; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Alto da Mooca; Alto da Mooca; RESIDENTIAL; 60; 60; Comprar; 480000; 1; 1; 2; 2; 400; 03170050; - Lindo apartamento, bem decorado, acabamento impecável, repleto de armários, sacada envidraçada, cozinha com fogão cooktop, microondas e forno embutido, 2 dormitórios sendo 1 suíte e 1 vaga de garagem.<br><br>O condomínio oferece:<br>Playground, Churrasqueira, Piscina, Quadra Poliesportiva, Academia, Salão de Festas, Briquedoteca e Espaço Teen.<br><br>Excelente localização próximo ao comércio em geral, escolas e condução farta, acesso fácil à Marginal Tietê e às Rodovias Dutra e Ayrton Senna e Avenida Salim Farah Maluf<br><br>"Valores sujeitos a alteração sem prévio aviso.<br>Sujeito a confirmação de disponibilidade!"<br> Agente já sua visita ! <br>Entre em contato conosco pelo WhatsApp <br> -; BS:Rua Taquari, BS:Rua Taquari 156, BS:Parada Oratório, BS:Parada Inhomirim, BS:Rua Pirajá 347, TS:Rua Taquari, TS:Rua Taquari 156, TS:Parada Oratório, TS:Rua Pirajá 347, TS:Parada Guaimbé, CS:Açogue Bonas, CS:Padaria Santa Branca, CS:Padaria Falcão, CS:Opala Pães e Doçes, CS:Cassandoca Pães e Gastronomia, PH:Drogaria Moretti, PH:Drogaria Itamonte, PH:Sinete 24Horas
2492772273; APARTMENT; UNIT; BR; São Paulo; SP; Rua Sapucaia; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Alto da Mooca; Alto da Mooca; RESIDENTIAL; 157; 157; Comprar; 1850000; 4; 3; 5; 3; 1500; 03170050; Central Park Mooca - Andar Alto <br><br>* 157m <br>* 3 suites <br>* Sala de estar e jantar ( Com living ampliado ) <br>* Cozinha ampla com janela <br>* Area de serviço espaçosa <br>* Espaço Home office <br>* Ar condicionado <br>* Belíssimo terraço Gourmet <br>* Todos os ambientes tem planejados <br>* Lazer de um condomínio clube .; BS:Rua Taquari, BS:Rua Taquari 156, BS:Parada Oratório, BS:Parada Inhomirim, BS:R. Alm. Brasil, 521, TS:Rua Taquari, TS:Rua Taquari 156, TS:Belém, TS:180. Metrô Bresser-Mooca, TS:Bresser-Mooca, CS:Cassandoca Pães e Gastronomia, CS:Opala Pães e Doçes, CS:Açogue Bonas, CS:Padaria Santa Branca, CS:Padaria Belga, PH:Sinete 24Horas
2493875478; APARTMENT; UNIT; BR; São Paulo; SP; Rua Tobias Barreto; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Alto da Mooca; Alto da Mooca; RESIDENTIAL; 152; 152; Comprar; 1490000; 3; 3; 5; 3; 1050; 03176000; O apartamento no bairro da Moóca com 152 metros quadrados com 3 4 suítes e 5 banheiros. <br>Possui academia, espaço gourmet, jardim, playground, salão para festas e eventos.<br>Vai lhe possibilitar curtir os dias mais quentes na piscina que também é Climatizada, praticar diversos esportes na quadra poliesportiva, todo o conforto do ar condicionado nos dias mais quentes.<br>Além disso sistema de aviso sonoro com alarme. Churrasqueira para você aproveitar nos momentos de descontração, Espaço Família co Piscina privativa.<br>Encontra-se na privacidade de um condomínio fechado.<br>Elevador que garante o transporte das suas malas e compras.<br>Infraestrutura para aquecedor a gás<br>Medição individualizada de água e gás<br>Caixilho com persiana integrada sem automação<br>Contrapiso acústico, sistema flutuante, exceto no 1º andar<br>Previsão de carga para A/C e infra com dreno e rede frigorígena na sala de estar, terraço social e dormitórios<br>USB na suíte e dormitórios<br><br>3 ou 4 suítes<br>Aptos de<br>152 e 179m²<br><br>Visite o Decorado! <br><br>Nos inspiramos na pluralidade das vivências para projetar um empreendimento com espaços que privilegiam as experiências, o coletivo e o senso de comunidade. Buscamos referências na moda, na gastronomia, nas artes e nas histórias de família para construir um lugar onde tradição e modernidade coexistem em harmonia.<br>Boas vindas ao Auguri.; BS:Rua Taquari, BS:Rua Taquari 156, BS:Parada Oratório, BS:Parada Inhomirim, BS:Rua Pirajá 347, TS:Belém, TS:Rua Taquari, TS:Rua Taquari 156, TS:Parada Oratório, TS:Rua Pirajá 347, CS:Açogue Bonas, CS:Padaria Santa Branca, CS:Cassandoca Pães e Gastronomia, CS:Opala Pães e Doçes, CS:Padaria Falcão, PH:Sinete 24Horas, PH:Drogaria Moretti, PH:Drogaria Itamonte
2429999903; APARTMENT; UNIT; BR; São Paulo; SP; Rua Taquarytinga; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Alto da Mooca; Alto da Mooca; RESIDENTIAL; 128; 124; Comprar; 1350000; 2; 3; 5; 4; 950; 03170010; Apartamento já está pronto para mudar, é só pegar as malas e entrar você e sua família . Apartamento bem localizado , próximo ao Parque da Moóca , Supermercados , Padarias ,Drogarias , Universidades e o metro. Imóvel arejado com Face Norte , totalmente reformado, armários embutidos em todos nos quartos , cozinha completa com armários ,lavanderia com armários ,quarto e banheiro de empregada , água e gás leitura separadas do condomínio , Com 3 suítes , lavabo , sacada gourmet , 2 vagas de garagem , Andar alto 13 . Condomínio ; Piscina aquecida , sauna , academia , salão de jogos , salão de festa , salão gourmet , churrasqueira e segurança 24 hs. Condomínio valor - R$ 800,00 IPTU - R$ 3.200,00 por ano; BS:Rua Taquari, BS:Rua Taquari 156, BS:Parada Oratório, BS:180. Metrô Bresser-Mooca, BS:R. Alm. Brasil, 521, TS:Rua Taquari 156, TS:Rua Taquari, TS:Belém, TS:180. Metrô Bresser-Mooca, TS:Bresser-Mooca, CS:Cassandoca Pães e Gastronomia, CS:Opala Pães e Doçes, CS:Padaria Belga, CS:Padaria e Confeitaria AM, CS:Hot Brad Pães Frances Ultra Congelados, PH:Sinete 24Horas
91069772; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Alto da Mooca; Alto da Mooca; RESIDENTIAL; 85; 85; Comprar; 795000; 2; 1; 2; 2; 637; 03182040; Condomínio EXCLUSIVO!! Torre ÚNICA!! Próx. R. da Mooca!! Não aceita permuta!! Ampla varanda fechada em vidro c/ churrasqueira convencional à carvão!! Originalmente 03 dorms. (hoje está com sala ampliada e 02 dorms, sendo 01 suíte). Cozinha americana. Armários planejados na cozinha, banheiros e suíte. Lazer completo: excelente salão de festas, churrasqueira e forno de pizza, quadra poliesportiva coberta, piscina aquecida/climatizada, fitness. Agende uma visita!!; BS:Parada Inhomirim, BS:Parada Oratório, BS:Parada Guaimbé, BS:Rua Taquari, BS:Rua Taquari 156, TS:Parada Guaimbé, TS:Rua Taquari, TS:Rua Taquari 156, TS:Parada Bixira, TS:Parada São Cristovão, CS:Padaria Falcão, CS:Padaria Monte Líbano, CS:Opala Pães e Doçes, CS:Cassandoca Pães e Gastronomia, CS:Açogue Bonas, PH:Sinete 24Horas, PH:Drogaria Itamonte, PH:Drogaria Moretti
2431563175; APARTMENT; UNIT; BR; São Paulo; SP; Rua Rui Martins; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Alto da Mooca; Alto da Mooca; RESIDENTIAL; 0; 88; Comprar; 710000; 2; 2; 3; 2; 850; 03184010; Apartamento em excelente estado. Piso laminado na sala e quartos. Mármore, pastilha e azuleijo nos banheiros. Armarios planejados nos quartos, cozinha, área de serviço e sacada. Sacada com churrasqueira e fechamento com vidro. Ar-condicionado. Lazer completo no térreo e segurança 24h.; BS:Parada Bixira, BS:Parada São Cristovão, BS:Parada São Cristóvão, BS:Parada Guaimbé, BS:Rua Pirajá 347, TS:Parada Bixira, TS:Parada São Cristovão, TS:Parada Guaimbé, TS:Rua Pirajá 347, TS:Avenida Sapopemba 262, CS:Padaria Falcão, CS:Padaria Monte Líbano, CS:Padaria Maria Luiza, CS:Açogue Bonas, CS:Padaria Santa Branca, PH:Drogaria Itamonte, PH:Drogaria Moretti, PH:Sinete 24Horas
2447402568; APARTMENT; UNIT; BR; São Paulo; SP; Rua Sapucaia; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Alto da Mooca; Alto da Mooca; RESIDENTIAL; 0; 74; Comprar; 589000; 2; 1; 2; 3; 700; 03170050; Andar alto, sol da manhã, vista livre. 3 dormitórios, sendo 1 suíte 2 vagas de garagem, 1 na escritura Armários planejados na cozinha Piso laminado Condomínio com lazer completo, piscina, salão de festas, de ginástica, de jogos. Bem administrado. Segurança 24h. Próximo ao metrô Comércio farto ao redor Direto com o proprietário Documentação ok. *NÃO ACEITO CORRETORES OU IMOBILIÁRIA*; BS:Rua Taquari, BS:Rua Taquari 156, BS:Parada Oratório, BS:Parada Inhomirim, BS:Rua Pirajá 347, TS:Rua Taquari, TS:Rua Taquari 156, TS:Rua Pirajá 347, TS:Parada Guaimbé, TS:Avenida Sapopemba 262, CS:Açogue Bonas, CS:Padaria Santa Branca, CS:Padaria Falcão, CS:Opala Pães e Doçes, CS:Cassandoca Pães e Gastronomia, PH:Drogaria Moretti, PH:Drogaria Itamonte, PH:Sinete 24Horas
2436178389; APARTMENT; UNIT; BR; São Paulo; SP; Rua Marquês de Valença; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Alto da Mooca; Alto da Mooca; RESIDENTIAL; 0; 85; Comprar; 760000; 2; 1; 2; 2; 700; 03182040; Lindo apartamento em andar alto na melhor localização da Mooca ,todo decorado por arquiteto , com sala amplianda , varanda gourmet com churrasqueira. Prédio novo, com brinquedoteca, quadra poliesportiva coberta, piscina aquecida e excelente academia; BS:Parada Oratório, BS:Parada Inhomirim, BS:Rua Taquari, BS:Rua Taquari 156, BS:Parada Guaimbé, TS:Rua Taquari, TS:Rua Taquari 156, TS:Parada Guaimbé, TS:Parada Bixira, TS:Juventus - Mooca, CS:Opala Pães e Doçes, CS:Cassandoca Pães e Gastronomia, CS:Padaria Monte Líbano, CS:Padaria Falcão, CS:Hot Brad Pães Frances Ultra Congelados, PH:Sinete 24Horas, PH:Drogaria Itamonte, PH:Drogaria Moretti
2499439375; HOME; UNIT; BR; São Paulo; SP; Rua Padre Leonel Franca; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Alto da Mooca; Alto da Mooca; RESIDENTIAL; 200; 200; Comprar; 650000; 8; 0; 2; 2; 0; 03193070; SOBRADO - <br>ALTO DA MOOCA, 200,00 M2 construída<br>2 dormitórios, sala, copa, cozinha, dependência de empregada, 2 banheiros, 8 vagas.<br><br>Casa nos fundos com 1 dormitório, cozinha, banheiro e quintal. <br>Garagem na parte inferior do imóvel.; BS:Avenida Sapopemba 1952, BS:Avenida Sapopemba 1985, BS:Avenida Sapopemba 1728, BS:Avenida Sapopemba 1635, BS:Rua Almirante Alexandrino 480, TS:Avenida Sapopemba 1952, TS:Avenida Sapopemba 1985, TS:Avenida Sapopemba 1728, TS:Avenida Sapopemba 1635, TS:Rua Almirante Alexandrino 480, CS:Bella Regente, CS:Casa de Carnes Vale do Douro, CS:Center J, CS:Padraira Total Sucesso, CS:Natural da Praça, PH:Drogaria Moretti, PH:Drogaria Itamonte, PH:Droga Leste
2449837384; APARTMENT; UNIT; BR; São Paulo; SP; Rua Sapucaia; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Alto da Mooca; Alto da Mooca; RESIDENTIAL; 60; 60; Comprar; 320000; 0; 0; 1; 2; 475; 03170050; Apartamento na mooca, 2 dormitórios, sala 2 ambientes, corredor, armários embutidos, cozinha, área de serviço, banheiro, reformado.<br><br>"Valores sujeitos a alteração sem prévio aviso.<br>Sujeito a confirmação de disponibilidade!"<br>Entre em contato conosco pelo WhatsApp <br> -; BS:Rua Taquari, BS:Rua Taquari 156, BS:Parada Oratório, BS:Parada Inhomirim, BS:Parada Guaimbé, TS:Rua Taquari, TS:Rua Taquari 156, TS:Parada Oratório, TS:Belém, TS:Parada Guaimbé, CS:Açogue Bonas, CS:Padaria Santa Branca, CS:Padaria Falcão, CS:Opala Pães e Doçes, CS:Cassandoca Pães e Gastronomia, PH:Sinete 24Horas, PH:Drogaria Moretti, PH:Drogaria Itamonte
