IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2499475590; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Aricanduva; Aricanduva; RESIDENTIAL; 88; 92; Comprar; 370000; 2; 1; 3; 3; 0; 03906070; Sobrado residencial a venda, Aricanduva<br><br>OPORTUNIDADE: 03 dormitórios, sendo 01 suíte com sacada, sala de jantar, sala de estar, jardim de inverno, lavabo, cozinha, área de serviço e 02 vagas de garagem, sendo 01 coberta.<br><br>Sala, banheiros e dormitórios com sanca de gesso e luz de LED.<br>Todos os banheiros com ventilação natural, piso em porcelanato, granito Verde Ubatuba, esquadrias brancas, portas em madeira maciça, espelho na parede da sala de jantar, luzes de emergências em vários pontos do sobrado, sensor de presença na escada e corredores, sacada arborizada com iluminação via energia solar, portão eletrônico e cerca elétrica.<br><br>Próximo a UBS Vila Nova York, Bengala Supermercado, 41° Distrito Policial, Shopping Aricanduva, Tendall Grill.<br><br>Localização fácil acesso a Avenida Aricanduva, Radial Leste e Avenida Rio das Pedras.<br><br>Aceita permuta em imóvel de menor valor ou veículo.<br><br>Financie e utilize o seu FGTS. -; BS:Parada E.E. Professor Moacyr Campos, CS:Padaria Célia, PH:Drogaria Nova Mille, SC:Supermercado Novo Sucesso, SC:Suguiura, SC:Supermercado Baronesa, SC:Bem Barato Grimaldi
2493468209; APARTMENT; UNIT; BR; São Paulo; SP; Rua Fortuna de Minas; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Aricanduva; Aricanduva; RESIDENTIAL; 40; 40; Comprar; 220000; 1; 0; 1; 2; 0; 03573000; Apartamento em Aricanduva, 2 dormitórios , 1 vagas, 40m²<br><br>2 Dormitórios <br>Sala <br>Cozinha <br>Banheiro<br>Areá de serviço <br>1 vaga coberta <br><br>Condomínio com 3 andares sendo 4 apartamentos por andar , Aguá , Luz e Gás separado e elevador de Carga.<br><br>Próximo: Shopping Aricanduva , Carrefour , Escola ceu e comercio gerais <br><br>Aceita: Financiamento, FGTS , Carro como entrada e A vista - Data da Atualização:; BS:Parada E.E. Professor Moacyr Campos, BS:Terminal Vila Carrao, TS:Terminal Vila Carrao, CS:Padaria Célia, CS:Brikos, PH:Drogaria Nova Mille
2497466477; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Aricanduva; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Aricanduva; Aricanduva; RESIDENTIAL; 140; 47; Comprar; 240000; 1; 0; 1; 2; 320; 03930110; MARAVILHOSO APARTAMENTO À VENDA COM 2 DORMITÓRIOS 1 VAGA DE GARAGEM - ARICANDUVA - SP<br>Otimo, apartamento com 2 dormitórios, 1 banheiro, 47 metros quadrados, 1 vaga de garagem;<br>Sala de estar e jantar amplamente arejada; <br>Sacada, lavanderia; piso rústico,<br>Portaria 24 hs, sistema de segurança, câmeras espalhadas entorno do condomínio;<br>Todo conforto para voce e sua família!!!!<br><br>Lazer: Piscina adulto e infantil, Playground, Churrasqueira com forno de pizza, Espaço gourmet, Salão de festas e jogos, Brinquedoteca ...................<br>Agende sua visita!!!!<br><br>Ligue agora mesmo ou envie uma mensagem CHAT ONLINE ou WHATSAPP - <br>(Visitas somente com horário marcado) Unidade sujeita a disponibilidade em estoque e valor informado poderá ser alterado.; BS:Ponto final do Onibus de São Caetano x São Matheus, CS:Americanas Express, PH:Farma & Cia, CH:Espaço médico
1518785494; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Olga Fadel Abarca; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Aricanduva; Aricanduva; RESIDENTIAL; 44; 44; Comprar; 220000; 0; 0; 1; 2; 270; 03572020; Apartamento no Edifício San Domingos, Vila Aricanduva, São Paulo.<br><br>Localização privilegiada, ao lado do Shopping Aricanduva, pronto para morar; no 3º andar, com 44 m² de área útil, 2 dormitórios, sala com papel de parede e espelho, piso porcelanato na áreas frias e restante com laminado de primeira, cozinha americana com planejados Coock top e forno elétrico, banheiro com box de vidro sem vaga de garagem<br><br>Condomínio organizado e tranquilo com: gás encanado; área gourmet com churrasqueira; salão de festas; sala de jogos; espaço fitness; bicicletário; playground; espaço zen para leitura; site de comunicação interna entre síndico e condôminos; portaria 24 horas; limpeza e conservação das áreas comuns diariamente.<br><br>Aceita financiamento pelos bancos e uso do FGTS. -; BS:Parada E.E. Professor Moacyr Campos, CS:Padaria Célia, CS:Padaria Estrela do Savoy, CS:Hot Brad Pães Ultracongelados, PH:Drogaria Nova Mille, SC:Mercado Portuga, SC:Suguiura, SC:Bazar Borgues, SC:Ótica Brasília 2
2497564957; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Aricanduva; Aricanduva; RESIDENTIAL; 43; 43; Comprar; 199900; 0; 0; 1; 2; 200; 03572020; Apartamento a 5 minutos do Shopping Aricanduva, facil acesso ao comercio e bancos. Andar alto e vista livre. *(Preços e condições sujeito a alteração.); BS:Parada E.E. Professor Moacyr Campos, CS:Padaria Célia, CS:Padaria Estrela do Savoy, CS:Hot Brad Pães Ultracongelados, PH:Drogaria Nova Mille, SC:Mercado Portuga, SC:Bazar Borgues, SC:Ótica Brasília 2, SC:Suguiura, SC:Vila Rubio
2499475225; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Aricanduva; Aricanduva; RESIDENTIAL; 150; 125; Comprar; 370000; 2; 1; 2; 3; 0; 03935040; Lindo sobrado no bairro de Jardim Imperador com 125 m², todo reformado, com 3 dormitórios sendo uma suíte com Closet e sacada.<br>Sala de estar, Jardim de inverno, sala de jantar, cozinha com dispensa, lavanderia, quintal com churrasqueira e forno a lenha,.<br>Garagem para dois carros com portão automático.<br>Próximo as Avenidas Rio das Pedras e Avenida Aricanduva, Mercado Car , a 15 Minutos do Shopping Aricanduva . -; BS:Ponto final do Onibus de São Caetano x São Matheus, BS:Avenida Sapopemba 9183, BS:Avenida Sapopemba 8842, BS:Avenida Sapopemba 9267, BS:Avenida Sapopemba 8701, TS:Avenida Sapopemba 9183, TS:Avenida Sapopemba 8842, TS:Avenida Sapopemba 9267, TS:Avenida Sapopemba 8701, TS:Avenida Sapopemba 9317, CS:Padaria Célia, PH:Drogaria Nova Mille, PH:Drogaria Massao, PH:Farma & Cia
2497950618; APARTMENT; UNIT; BR; São Paulo; SP; Rua Pacheco Gato; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Aricanduva; Aricanduva; RESIDENTIAL; 45; 45; Comprar; 230000; 1; 0; 1; 2; 200; 03951060; APARTAMENTO COM 2 DORMITÓRIOS SENDO O DO CASAL COM MÓVEIS PLANEJADOS, PISO LAMINADO,1 VAGA, COZINHA COM MÓVEIS PLANEJADOS, PRÓXIMO AO PARQUE DO CARMO E AO SHOPPING ARICANDUVA. ACEITA FINANCIAMENTO E FGTS. - Data da Atualização:; BS:Ponto final do Onibus de São Caetano x São Matheus, CS:Americanas Express, CS:Padaria Estrela do Savoy, CS:Hot Brad Pães Ultracongelados, PH:Farma & Cia, CH:Espaço médico
2497120846; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Aricanduva; Aricanduva; RESIDENTIAL; 58; 58; Comprar; 219000; 1; 0; 1; 3; 300; 03901000; Excelente Apartamento bem localizado a 5 minutos do Shopping Aricanduva e de toda sua infraestrutura, com condução na porta do condomínio para o metrô Carrão. Detalhes. 3 Dormitórios sedo um com planejados, sala ampla com sanca de Gesso e sistema de iluminação, cozinha com planejados, banheiro com box de vidro, área de serviço, 1 vaga. Vale apena conhecer! Agende sua visita! Aceita financiamento. Corretor Denis whatsapp - Data da Atualização:; BS:Parada E.E. Professor Moacyr Campos, CS:Padaria Célia, PH:Drogaria Nova Mille, SC:Suguiura, SC:Supermercado Novo Sucesso, SC:Supermercado Baronesa
2499475988; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Aricanduva; Aricanduva; RESIDENTIAL; 1000; 55; Comprar; 240000; 1; 1; 1; 2; 0; 03935000; Apartamento residencial a venda, Aricanduva<br><br>02 dormitórios, sendo 01 suíte, sala de estar com varanda, sala de sala de jantar, banheiro social, cozinha no conceito aberto, proporcionando maior interatividade entre os ambientes, área de serviço com ventilação natural e 01 vaga de garagem no subsolo.<br><br>Trata-se de um imóvel novo, com garantia de 05 anos pela construtora. <br><br>Acabamento conta com portas em madeira maciça e janelas em esquadrias brancas, gás encanado, na cozinha boa disposição de tomadas.<br><br>Condomínio possui 2 torres com 8 andares, cada torre com um salão de festas, quiosque com churrasqueira, piscina em local reservado, pista para caminhada, elevadores, portaria 24 horas, zeladoria e equipe de limpeza. <br><br>Próximo ao Dia Supermercado, Mercado da Praça, Supermercado Nagumo, UBS Jardim Centenário, EMEI Jardim Imperador, Colégio Conquista.<br><br>Fácil acesso a Avenida Aricanduva, Avenida Mateo Bei, Avenida Conselheiro Carrão, Avenida Sapopemba e Avenida Afonso -; BS:Ponto final do Onibus de São Caetano x São Matheus, BS:Avenida Sapopemba 9183, BS:Avenida Sapopemba 8842, BS:Avenida Sapopemba 9267, BS:Avenida Sapopemba 9317, TS:Avenida Sapopemba 9183, TS:Avenida Sapopemba 8842, TS:Avenida Sapopemba 9267, TS:Avenida Sapopemba 9317, TS:Avenida Sapopemba 8701, CS:Padaria Célia, PH:Drogaria Massao, PH:Farma & Cia, PH:Drogaria Nova Mille
2441468481; HOME; UNIT; BR; São Paulo; SP; Rua Andre Santo; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Aricanduva; Aricanduva; RESIDENTIAL; 99; 99; Comprar; 595000; 2; 1; 2; 3; 0; ; Acesse: www.lelloimoveis.com.br - código 197581 Sobrado em ótimo estado de conservação, móveis planejados na cozinha, sanca de gesso na sala, carpete de madeira nos quartos, ceramica na sala e na cozinha, portão automático com edícula nos fundos. Próximo à avenida João XXIII e todo comercio da região; BS:Rua Hamilton Prado 739, BS:Rua Francisco Manoel Beranger 30, BS:Avenida Sapopemba 5749, BS:Avenida Sapopemba 5448, BS:Avenida Sapopemba 5318, TS:Rua Hamilton Prado 739, TS:Rua Francisco Manoel Beranger 30, TS:Avenida Sapopemba 5749, TS:Avenida Sapopemba 5448, TS:Avenida Sapopemba 5318, CS:Padaria Célia, PH:Drogaria Nova Mille
