IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2499474495; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Artur Alvim; Artur Alvim; RESIDENTIAL; 120; 90; Comprar; 450000; 3; 1; 2; 3; 0; 03567010; Sobrado frontal no bairro de Artur Alvim<br><br>03 dormitórios com vista livre, sendo 01 suíte e 01 dos dormitórios com uma ampla sacada, sala pada 02 ambientes, lavabo, cozinha, área de serviço coberta e quintal nos fundos , com 02 vagas de garagem.<br><br>Trata-se de um imóvel novo, com 5 anos de garantia pela construtora. Acabamento em porcelanato, portas em madeira maciça, pia da cozinha e escada em granito, vidros das janelas e guarda-corpo da sacada em vidros verdes e janelas em alumínio branco. <br><br>03 minutos à pé da Radial Leste, 05 minutos à pé para o Metrô Artur Alvim, imóvel muito bem amparado quanto à comércios, bancos, linhas de ônibus.<br><br>Aceita financiamento e pode utilizar o FGTS.<br><br>Oque você achou desse imóvel ? -; TS:Artur Alvim, TS:Patriarca • Vila Ré, TS:Corinthians-Itaquera, TS:Corinthians- Itaquera, CS:Padaria Renacer, CS:Padoca Belissima, CS:Brikos, PH:Mille Drogaria, PH:Drogaria Nova Vida, SC:Moderna Planejados, SC:Mercado Paraná, SC:Moveis Itigunssu, SC:Casa de Baterias, SC:Assaí Itaquera
2467317875; APARTMENT; UNIT; BR; São Paulo; SP; Rua Padre Bento Lustosa; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Artur Alvim; Artur Alvim; RESIDENTIAL; 48; 48; Comprar; 180000; 1; 0; 1; 2; 200; 03590210; Apartamento na Cohab 1<br><br>Excelente condomínio, com 3 blocos e apenas 30 aptos, portão eletrônico, interfone, bancos na área comum e flores.<br><br>Apartamento do médio, no quinto andar, com 2 dormitórios, sala, cozinha, área de serviço, banheiro e 1 vaga de garagem.<br><br>Excelente localização, travessa da Waldemar Tietz, fácil acesso a Avenida Lider e Gamelinha e metrô Artur Alvim.<br><br>Aceita financiamento e pode ser usado FGTS!!!<br><br>Agende sua visita hoje mesmo! -; TS:Artur Alvim, CS:Center Carnes Wavef, CS:Panificadora Jardim Brasilia, CS:Brikos, CS:Bimba Pães Ultracongelados, CS:Padaria Renacer, PH:Ultra Leste Drogarias, VP:Omegavet
2496915273; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Waldemar Tietz; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Artur Alvim; Artur Alvim; RESIDENTIAL; 59; 59; Comprar; 210000; 1; 0; 1; 2; 200; 03589001; Apartamento Padrão para Venda no bairro Artur Alvim, 2 dorm, 1 vagas, 59,00 m<br><br>Oportunidade de morar em uma localização privilegiada. Na Waldemar Tietz<br><br>Apartamento térreo conta com 02 dormitórios, sala 02 ambientes, ampla cozinha planejada , área de serviço e banheiro social.<br>Vaga de garagem coberta e fechada.<br><br>Localizado na Avenida Waldemar Tietz, com fácil acesso ao metro Artur Alvim, ponto de ônibus na porta e boa variedade de comércio ao lado.<br><br>Ligue ou venha nos fazer uma visita e tenha maiores informações com um de nossos consultores:<br>Rua Inês Monteiro, 319, Artur Alvim - São Paulo/SP.<br><br>www.rlopescorretor.com.br - Data da Atualização:; TS:Artur Alvim, TS:Corinthians-Itaquera, TS:Corinthians- Itaquera, CS:Bimba Pães Ultracongelados, CS:Panificadora Jardim Brasilia, CS:Center Carnes Wavef, CS:Caprichosa, CS:Padaria Renacer, PH:Ultra Leste Drogarias, VP:Omegavet
2499475977; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Artur Alvim; Artur Alvim; RESIDENTIAL; 600; 65; Comprar; 239980; 1; 2; 2; 2; 0; 03683000; Sobrado residencial a venda, A.E. Carvalho<br><br>02 suítes, sendo um dos dormitórios com sacada, sala, lavabo, cozinha, área de serviço parte coberta e descoberta e 01 vaga de garagem.<br><br>Condomínio dispõe de uma área de churrasco.<br><br>Imóvel novo, piso em porcelanato, molduras de gesso, esquadrias brancas, textura na área externa, portas em madeira maciça. <br><br>Trata-se de um imóvel novo, com 05 anos de garantia pela construtora.<br><br>Próximo ao AMA Burgo Paulista, Academia Adrenalina Radical Fitness, Colégio Augusto Silva, Mini Mercado Extra, ETEC Zona Leste. <br><br>Localização de fácil acesso à Radial Leste, Avenida Tiquatira, Avenida Águia de Haia, Avenida Tiquatira. Estação de Metrô mais próxima Artur Alvim. <br><br>Aceita financiamento e utilização do seu FGTS -; TS:Artur Alvim, CS:Padoca Belissima, CS:Nova Rio D'Ouro, CS:Panificadora Nova Imperador do Trigo, CS:Emporio de Produtos Naturais, CS:Center Carnes Ducastilho, PH:Drogaria Nova Vida, PH:Mille Drogaria, VP:Ração Japonesa
2497949913; APARTMENT; UNIT; BR; São Paulo; SP; Rua César Diaz; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Artur Alvim; Artur Alvim; RESIDENTIAL; 47; 47; Comprar; 189000; 1; 0; 1; 2; 130; 03591000; APARTAMENTO COM 2 DORMITÓRIOS, PRÓXIMO AO COMÉRCIO , CONDUÇÃO E ESCOLAS.ACEITA DEPÓSITO. - Data da Atualização:; TS:Corinthians-Itaquera, TS:Artur Alvim, TS:Corinthians- Itaquera, CS:Bimba Pães Ultracongelados, CS:Caprichosa, CS:Panificadora Jardim Brasilia, CS:Center Carnes Wavef, CS:Padaria Renacer, PH:Ultra Leste Drogarias, VP:Omegavet
2499222886; APARTMENT; UNIT; BR; São Paulo; SP; Rua Irmão Nicolau da Fonseca; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Artur Alvim; Artur Alvim; RESIDENTIAL; 48; 48; Comprar; 164300; 1; 0; 1; 2; 150; 03590170; O caminho mais prático, transparente e seguro até o imóvel dos seus sonhos! Agende agora uma visita pelo nosso site buscando pelo código do imóvel.<br>CÓDIGO DO IMÓVEL: <br><br>Portão eletrônico. próximo de mercado e Shoppings<br><br>- Valor de venda:<br>- Condomínio: 164300<br>- IPTU: 150<br><br>O QuintoAndar é uma startup de tecnologia que revolucionou o jeito de alugar e comprar imóveis: rápido, fácil, online, sem fiador e o melhor, sem burocracia. Saiba mais no nosso site. CRECI-SP J24.344; TS:Artur Alvim, TS:Corinthians-Itaquera, TS:Corinthians- Itaquera, CS:Padaria Renacer, CS:Center Carnes Wavef, CS:Panificadora Jardim Brasilia, CS:Bimba Pães Ultracongelados, CS:Brikos, PH:Ultra Leste Drogarias, PH:Mille Drogaria, VP:Omegavet
2438095502; COMMERCIAL_BUILDING; UNIT; BR; São Paulo; SP; Rua Eolo; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Artur Alvim; Artur Alvim; COMMERCIAL; 128; 340; Comprar; 380000; 0; 0; 0; 0; 0; 03563330; Prédio misto ( comercial e residencial ) Excelente para investidor<br>Bairro próximo a Artur Alvim<br>*** Aceita permuta por terreno 10 x 30 na Mooca, Tatuapé, Vila Formosa e região *** <br>** Agua e luz separados<br>** No térreo Salão comercial com banheiro e 130m².<br>** Piso superior: casa da frente com 2 dormitórios + closet e sacada, sala, lavanderia fechada, copa e cozinha, banheiro social.<br>** Piso superior: casa do fundo com 1 dormitório grande, sala, cozinha, banheiro social, área de serviço e lavanderia.<br>** em cima (2º pavimento), área livre pronta para construir mais 2 ou 3 residencias. -; TS:Artur Alvim, CS:Center Carnes Wavef, CS:Panificadora Jardim Brasilia, CS:Brikos, CS:Bimba Pães Ultracongelados, CS:Padaria Renacer, PH:Ultra Leste Drogarias, VP:Omegavet
2499474508; CONDOMINIUM; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Artur Alvim; Artur Alvim; RESIDENTIAL; 40; 45; Comprar; 240000; 0; 0; 1; 2; 0; 08220060; Apartamentos com 43,07 m², no bairro de Artur Alvim/Cidade A.E. Carvalho, com 02 dormitórios, sala, cozinha, banheiro e área de serviço, com uma vaga de garagem, no valor de R$240.000,00, cada.<br>Se optar por apartamento sem a vaga, o desconto será de R$30.000,00 . <br>2º PAVIMENTO, APTOS. 21, 22, 23 E 24.<br>1º PAVIMENTO, APTOS.11, 12, 13 E 14<br>TÉRREO, APTOS. 01, 02 E 03 <br>Pisos em porcelanato em todos os cômodos.<br>Janelas em alumínio e porta em Madeira Maciça.<br>Ótima localização, cerca de 400 metros do Metro Artur Alvim<br>Próximo ao Shopping de Itaquera.<br>Região envolta de serviços e comércios : Escolas , Creches , Posto de Saúde , Mercados , Farmácias , Açougue , Restaurantes , Feiras e etc .<br>Acesso as principais vias da região : Avenida Radial Leste, Avenida Águia de Haia, Rua. Itinguçú, Tiquatira e muito mais .<br>Aguardamos seu contato. -; TS:Artur Alvim, TS:Corinthians-Itaquera, TS:Corinthians- Itaquera, CS:Padaria Renacer, CS:Padoca Belissima, PH:Mille Drogaria, PH:Drogaria Nova Vida, VP:Omegavet
2498937347; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Padre Estanislau de Campos; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Artur Alvim; Artur Alvim; RESIDENTIAL; 48; 48; Comprar; 190000; 1; 0; 1; 2; 200; 03590060; O caminho mais prático, transparente e seguro até o imóvel dos seus sonhos! Agende agora uma visita pelo nosso site buscando pelo código do imóvel.<br>CÓDIGO DO IMÓVEL: <br><br>- Valor de venda:<br>- Condomínio: 190000<br>- IPTU: 200<br><br>O QuintoAndar é uma startup de tecnologia que revolucionou o jeito de alugar e comprar imóveis: rápido, fácil, online, sem fiador e o melhor, sem burocracia. Saiba mais no nosso site. CRECI-SP J24.344; TS:Artur Alvim, TS:Corinthians-Itaquera, TS:Corinthians- Itaquera, CS:Padaria Renacer, CS:Bimba Pães Ultracongelados, CS:Panificadora Jardim Brasilia, CS:Center Carnes Wavef, CS:Caprichosa, PH:Mille Drogaria, PH:Ultra Leste Drogarias, VP:Omegavet
2498504073; APARTMENT; UNIT; BR; São Paulo; SP; Rua Andréa Feliciani; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Artur Alvim; Artur Alvim; RESIDENTIAL; 48; 48; Comprar; 190000; 0; 0; 1; 2; 180; 03591020; O caminho mais prático, transparente e seguro até o imóvel dos seus sonhos! Agende agora uma visita pelo nosso site buscando pelo código do imóvel.<br>CÓDIGO DO IMÓVEL: <br><br>850 metros do metrô Artur Alvim. <br><br>- Valor de venda:<br>- Condomínio: 190000<br>- IPTU: 180<br><br>O QuintoAndar é uma startup de tecnologia que revolucionou o jeito de alugar e comprar imóveis: rápido, fácil, online, sem fiador e o melhor, sem burocracia. Saiba mais no nosso site. CRECI-SP J24.344; TS:Artur Alvim, TS:Corinthians-Itaquera, TS:Corinthians- Itaquera, CS:Padaria Renacer, CS:Bimba Pães Ultracongelados, CS:Panificadora Jardim Brasilia, CS:Center Carnes Wavef, CS:Caprichosa, PH:Ultra Leste Drogarias, PH:Mille Drogaria, VP:Omegavet
