IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2490964593; APARTMENT; UNIT; BR; São Paulo; SP; Rua Evaristo da Veiga; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Belem; Belém; RESIDENTIAL; 5092; 64; Comprar; 338000; 1; 1; 2; 3; 455; 03021090; APARTAMENTO A VENDA NO BELÉM, 3 DORMITÓRIOS, 1 SUITE. 1 VAGA DE GARAGEM COBERTA. LAZER COMPLETO COM PISCINA, CHURRASQUEIRA, FITNESS. LOCALIZADO A 15 MIN. DO METRÔ BELÉM, 400 M DO PQ. BELÉM, 10 MIN. DO SHOPPING E METRÔ TATUAPÉ.<br>64 m², 3 dormitórios sendo 1 suíte. Sala com 2 ambientes, sala de jantar e tv integrada ao terraço social. 2 banheiros com ventilação e iluminação natural. Cozinha americana com bastante espaço para armários + área de serviço reservada.<br>Com direito a 1 vaga de garagem coberta.<br>Lazer completo equipado e decorado com: brinquedoteca, churrasqueira com forno de pizza, piscina adulto e infantil, solarium, playground, quadra poliesportiva, fitness, salão de festas, salão de jogos adulto e juvenil.<br>Localizado a 15 min. do Metrô Belém, 400 m do Parque do Belém, 600 m da Padaria Belga e Extra Supermercado, 10 min. do Shopping e Metrô Tatuapé, 10 min. do Colégio Agostiniano São José. Fácil acesso as principais vias da região como: Radial Leste, Celso Garcia, Salim Farah Maluf, Marginal Tietê, entre outras. Região com infraestrutura completa, incluindo rede bancária, restaurantes, supermercados, farmácias, escolas etc.<br><br>As informações estão sujeitas a alterações. Consulte o corretor responsável. Fotos ilustrativas.<br><br>MONTREAL BUSINESS<br>CRECI - 30023 J -; BS:Parada Cesário Alvim (1-2-3), BS:774, BS:Parada 2 Febem, BS:Parada Templo de Salomão (1-2-3), BS:Parada 1/3 Febem, TS:Parada Cesário Alvim (1-2-3), TS:Parada Templo de Salomão (1-2-3), TS:Parada João Boemer, TS:Parada Bresser (1-2-3), TS:Belém, CS:Padaria Orense, CS:Renascer, CS:Padaria e Confeitaria AM, CS:Lanchonete e Padaria do Ben, CS:Padaria Belga, PH:Farmacia Silva Teles, PH:Farmacia São Miguel, PH:Droga Vida, PH:Drogaria Cruz Azul, PH:Farmasil
2480435684; APARTMENT; UNIT; BR; São Paulo; SP; Rua Intendência; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Belem; Belém; RESIDENTIAL; 65; 65; Comprar; 390900; 1; 1; 2; 3; 345; 03015010; Temos satisfação em ajudar os nossos clientes! Toda estrutura para facilitar o seu financiamento junto ao banco, Com a menor taxa de juros! Ótima localização 15 minutos de a pé do metro Belém 8 minutos de carro do metro Belém Próximo do Shopping Tatuapé Perto do Parque Belém Fácil acesso as vias (Marginal, Radial e Rod. Pres. Dutra) Garanta Condições de lançamento! Entrada Facilitada! Utilize seu FGTS. Ligue e agende sua visita agora. TRINDADE ( 1 1 ) – WhatsApp **** VENHA NEGOCIA DIRETAMENTE COM A CONSTRUTORA ****<br><br>Condições comerciais: Apartamento pronto para morar com 65m² suite, varanda gourmet com vaga de garagem e lazer completo.; BS:Parada 2 Febem, BS:Parada 1/3 Febem, BS:774, BS:Parada Cesário Alvim (1-2-3), BS:ZARGO, TS:Parada Cesário Alvim (1-2-3), TS:ZARGO, TS:Belém, TS:Parada Templo de Salomão (1-2-3), TS:Parada João Boemer, CS:Padaria Orense, CS:Renascer, CS:Padaria Belga, CS:Padaria e Confeitaria AM, CS:Mercado Japones, PH:Droga Vida, PH:Farmacia Silva Teles, PH:Farmacia São Miguel
2493816205; APARTMENT; UNIT; BR; São Paulo; SP; Rua Intendência; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Belem; Belém; RESIDENTIAL; 62; 62; Comprar; 375000; 1; 1; 2; 3; 361; 00000000; Apartamento com 3 dormitórios com 1 suíte - vaga de garagem - varanda - banheiro e cozinha entregue com piso <br><br>Lazer completo:<br><br>Salão de Festas; Salão de Jogos; Piscina Infantil; Piscina Adulto<br> Play Baby; Playground; Quadra Gramada; Churrasqueira; Redário<br> Praça dos Jogos; Fitness; Fitness Externo;<br><br>Localização a 3 minutos do metrô Belem e a 500 metros do Parque Belem<br><br>ondição de pagamento super facilitada ! <br>10% de entrada <br>90% de financiamento !<br><br>Valores podem sofrer alteração sem aviso prévio e condição comercial mediante a disponibilidade da unidade ! -; BS:Parada 2 Febem, BS:Parada 1/3 Febem, BS:774, BS:Parada Cesário Alvim (1-2-3), BS:Parada Templo de Salomão (1-2-3), TS:Parada Cesário Alvim (1-2-3), TS:Belém, TS:Parada Templo de Salomão (1-2-3), TS:ZARGO, TS:Parada João Boemer, CS:Renascer, CS:Padaria Belga, CS:Padaria e Confeitaria AM, CS:Padaria Orense, CS:Tupã Padaria e Confeitaria, PH:Droga Vida, PH:Farmacia Silva Teles, PH:Farmacia São Miguel
2432153082; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Belem; Belém; RESIDENTIAL; 0; 65; Comprar; 389900; 1; 1; 2; 2; 0; 03015010; - Faça sua proposta. Use seu FGTS + financiamento.<br><br>* Ganhe bônus / brinde de R$ 2.000,00 exclusivo comigo ( válido para o mês de 10/2020 - consultar regras ). <br><br>- Apto. novo ( direto da construtora ) 65 m2 com 2 dorm.( 1 suíte ), sacada, 1 vaga de garagem, sala de visita e jantar ( ampliada) , cozinha e área de serviço, 1 banheiro social .<br><br>- Apto. pronto pra morar com tudo que você sempre desejou :<br><br>Salão de festas - Sala de jogos - Piscina adulto - Piscina infantil - Play baby ( Espaço p/ brincar bebês) - Playground - Quadra recreativa gramada - Churrasqueira - Redário ( espaço para descanso em redes) - Praça dos jogos - Fitness interno - Fitness Externo - Rua Privativa - Cada Torre com 3 elevadores <br><br>- Em localização com todos os benefícios, transporte e comércio perto :<br><br>Carrefour - Parque Estadual Belém - Shopping Metrô Tatuapé e Boulevard Tatuapé - Faculdade Ebramec - Escolas - Hospital Santa Virgínia - Metrô Belém - Linhas de ônibus - Av. Celso Garcia ( comércio ) - Av. Salim Farah Maluf - Ponte do Tatuapé - Marginal Tietê - Fácil acesso para o centro e outras regiões de SP. <br><br>- Aguardo seu contato e podemos marcar uma visita. Por gentileza, deixe seu whatsapp ou telefone. Negócio direto com a construtora. Obrigado BELTRÃO. <br><br>** Consultar preço atual. O valor anunciado muda conforme o andar e posição na torre.( Divulgação de acordo com o site zap/vivareal ).<br><br>- Para o bom funcionamento do anúncio, reservamo-nos o direito de sem prévio aviso, substituir e corrigir: textos, fotos, imagens, descrições , preços e tudo que se fizer necessário.PRP391R; BS:Parada 2 Febem, BS:Parada 1/3 Febem, BS:774, BS:Parada Cesário Alvim (1-2-3), BS:ZARGO, TS:Parada Cesário Alvim (1-2-3), TS:ZARGO, TS:Belém, TS:Parada Templo de Salomão (1-2-3), TS:Parada João Boemer, CS:Padaria Orense, CS:Renascer, CS:Padaria Belga, CS:Padaria e Confeitaria AM, CS:Mercado Japones, PH:Droga Vida, PH:Farmacia Silva Teles, PH:Farmacia São Miguel
2432139876; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Belem; Belém; RESIDENTIAL; 0; 65; Comprar; 389900; 1; 1; 2; 3; 0; 03015010; - Faça sua proposta . Use seu FGTS + financiamento. <br><br>* Ganhe bônus / brinde de R$ 2.000,00 exclusivo comigo ( válido para o mês de 10/2020 - consultar regras ).<br><br>- Apto.novo ( direto da construtora ) 65 m2 com 3 dorm.( 1 suíte), sacada, 1 vaga de garagem, sala de visita e jantar, cozinha e área de serviço, 1 banheiro social .<br><br>- Apto. pronto pra morar com tudo que você sempre desejou :<br><br>Salão de festas - Sala de jogos - Piscina adulto - Piscina infantil - Play baby ( Espaço p/ brincar bebês) - Playground - Quadra recreativa gramada - Churrasqueira - Redário ( espaço para descanso em redes) - Praça dos jogos - Fitness interno - Fitness Externo - Rua Privativa - Cada Torre com 3 elevadores.<br><br>- Em localização com todos os benefícios, transporte e comércio perto :<br><br>Carrefour - Parque Estadual Belém - Shopping Metrô Tatuapé e Boulevard Tatuapé - Faculdade Ebramec - Escolas - Hospital Santa Virgínia - Metrô Belém - Linhas de ônibus - Av. Celso Garcia ( comércio ) - Av. Salim Farah Maluf - Ponte do Tatuapé - Marginal Tietê - Fácil acesso para o centro e outras regiões de SP.( Endereço do empreendimento <br><br>- Aguardo seu contato e podemos marcar uma visita. Por gentileza, deixe seu whatsapp ou telefone. Negócio direto com a construtora. Obrigado BELTRÃO. <br><br>** Consultar preço atual. O valor anunciado muda conforme o andar e posição na torre.( Divulgação de acordo com o site zap/vivareal ).<br> <br>- Para o bom funcionamento do anúncio, reservamo-nos o direito de sem prévio aviso, substituir e corrigir: textos, fotos, imagens, descrições , preços e tudo que se fizer necessário.PRP375R; BS:Parada 2 Febem, BS:Parada 1/3 Febem, BS:774, BS:Parada Cesário Alvim (1-2-3), BS:ZARGO, TS:Parada Cesário Alvim (1-2-3), TS:ZARGO, TS:Belém, TS:Parada Templo de Salomão (1-2-3), TS:Parada João Boemer, CS:Padaria Orense, CS:Renascer, CS:Padaria Belga, CS:Padaria e Confeitaria AM, CS:Mercado Japones, PH:Droga Vida, PH:Farmacia Silva Teles, PH:Farmacia São Miguel
2429138782; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Celso Garcia; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Belem; Belém; RESIDENTIAL; 98; 98; Comprar; 307400; 0; 0; 2; 2; 570; 03014000; Apartamento no Brás - 2 Dormitórios. Muito bem localizado.<br>Área útil: 98m2<br>Próximo ao Metro Bresser e Tempo Salomão. Ônibus na porta para todas as regiões. <br>2 Dormitórios. Sala, Cozinha com armários, Banheiro social com Box de vidro e gabinete, Área de Serviço.<br>Não possui vaga de garagem. No condomínio tem vagas para venda ou locação.<br>Condomínio com Quadra de futebol e Playground. Portaria 24 horas. Segurança monitorada por câmeras em todos os corredores.<br><br>Oportunidade! Procure pela ref.: TH582 e agende sua visita!; BS:Parada Maria Marcolina, BS:Parada Bresser (1-2-3), BS:Parada Xavantes, BS:Parada 1/3, BS:Parada Mendes Junior, TS:Parada Maria Marcolina, TS:Parada Bresser (1-2-3), TS:Parada João Boemer, TS:Parada Xavantes, TS:Parada 1/3, CS:Padaria Garoto 24 horas, CS:FrigoBrás, CS:Mercadinho Montilha, CS:Lanchonete e Padaria do Ben, CS:Vigor Loja de Fabrica, PH:Farmasil, PH:Farmacia São Miguel, PH:Drogaria Cruz Azul, PH:Farmacia Silva Teles, PH:Drogaria Saúde & Vida
2432803007; APARTMENT; UNIT; BR; São Paulo; SP; Rua Catumbi; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Belem; Belém; RESIDENTIAL; 107; 107; Comprar; 500000; 1; 1; 2; 3; 0; 13104084; Acesse: www.lelloimoveis.com.br - código 194774 Excelente apartamento de 107 m² de área útil, equipado com móveis planejados, tudo novo em ótimo estado, possui sala dois ambientes, área social com mármore Carrara, duas unidades de ar condicionado com 12.000 BTU's cada, três dormitórios (sendo uma suíte), churrasqueira no apartamento, amplo e arejado.<br>Um condomínio privilegiado de prédios com área interna formando uma vila (como se fosse um bairro fechado, dentro do bairro), o que torna este local único: as pessoas optam por morar ali por uma vida toda. Portaria 24 horas, área de lazer.<br>Agende uma visita!! Vale a pena conhecer.; BS:774, BS:Parada Santa Rita, BS:Parada Biblioteca Adelpha Figueiredo II, BS:Parada Biblioteca Adelpha Figueiredo, BS:Parada Cesário Alvim (1-2-3), TS:Parada Biblioteca Adelpha Figueiredo II, TS:Parada Biblioteca Adelpha Figueiredo, TS:Parada Cesário Alvim (1-2-3), TS:Parada Templo de Salomão (1-2-3), TS:Parada Bresser 1, CS:Mercado Japones, CS:Mercado Sublime, CS:Doceria Belem, CS:Vigor Loja de Fabrica, CS:Casa de Carnes Santa Rita, PH:Farmacia Silva Teles, PH:Farmacia São Miguel, PH:Droga Vida, PH:Drogaria Cruz Azul, PH:Drogaria Saúde & Vida
2277445487; HOME; UNIT; BR; São Paulo; SP; Rua Sargento Capistrano; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Belem; Belém; RESIDENTIAL; 260; 260; Comprar; 745000; 2; 2; 4; 3; 0; 03057030; Acesse: www.lelloimoveis.com.br - código 15958 Excelente sobrado todo em porcelanato, repleto de armários planejados. Quintal com churrasqueira, sal de ginástica, varanda. bar completo, com duas vagas de garagem. Próximo a Avenida Celso Garcia; BS:Parada 2 Febem, BS:Parada 1/3 Febem, BS:Parada Cesário Alvim (1-2-3), BS:Parada Templo de Salomão (1-2-3), BS:774, TS:Parada Cesário Alvim (1-2-3), TS:Belém, TS:Parada Templo de Salomão (1-2-3), TS:Parada João Boemer, TS:Parada Bresser (1-2-3), CS:Renascer, CS:Padaria e Confeitaria AM, CS:Padaria Belga, CS:Padaria Orense, CS:Tupã Padaria e Confeitaria, PH:Farmacia São Miguel, PH:Farmacia Silva Teles, PH:Droga Vida, PH:Sinete 24Horas
2437188493; APARTMENT; UNIT; BR; São Paulo; SP; Rua Padre Adelino; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Belem; Belém; RESIDENTIAL; 85; 85; Comprar; 665000; 2; 1; 2; 3; 750; 03303000; Imperdível!<br>Apartamento 85 m2, com a planta original de 3 dorms e modificado para 2 dormitórios sendo 1 suítes, sala ampliada, varanda gourmet, gourmet, cozinha, área de serviço e 2 vagas de garagem.<br>Totalmente reformado (banheiros, cozinha, sacada, área de serviço) com pisos e azulejos Portinari, sala e dormitórios com piso de madeira "Piso Pronto Cumaru". Mobiliado com armários planejados (dorms, banheiros, sala, varanda, cozinha e área de serviço. Teto todo com gesso e home theater na sala com 2 ambientes para a varanda. Acabamento excelente!<br>O condomínio possui lazer completo com piscina, academia, brinquedoteca, salão de jogos e salão de festas. <br>A 300 metros do Metrô Belém, próximo ao Hospital Cema, Sesc Belenzinho , Faculdade Anhanguera, e melhores escolas e comércios da região.<br>Ligue e agende sua visita! -; BS:Parada 1/3 Febem, BS:Parada 2 Febem, BS:Rua Taquari, BS:Rua Taquari 156, BS:Bus 257/299 to Aeroporto, TS:Belém, TS:Rua Taquari 156, TS:Rua Taquari, TS:Tatuapé, TS:Parada Cesário Alvim (1-2-3), CS:Tupã Padaria e Confeitaria, CS:Padaria Belga, CS:Cassandoca Pães e Gastronomia, CS:Renascer, CS:Padaria e Confeitaria AM, PH:Sinete 24Horas
2497894591; APARTMENT; UNIT; BR; São Paulo; SP; Rua Doutor Fomm; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Belem; Belém; RESIDENTIAL; 48; 48; Comprar; 275600; 1; 0; 1; 2; 350; 03163030; O caminho mais prático, transparente e seguro até o imóvel dos seus sonhos! Agende agora uma visita pelo nosso site buscando pelo código do imóvel.<br>CÓDIGO DO IMÓVEL: <br><br>- Valor de venda:<br>- Condomínio: 275600<br>- IPTU: 350<br><br>O QuintoAndar é uma startup de tecnologia que revolucionou o jeito de alugar e comprar imóveis: rápido, fácil, online, sem fiador e o melhor, sem burocracia. Saiba mais no nosso site. CRECI-SP J24.344; BS:Parada 2 Febem, BS:Parada 1/3 Febem, BS:Rua Taquari 156, BS:Rua Taquari, BS:Parada Cesário Alvim (1-2-3), TS:Belém, TS:Rua Taquari 156, TS:Rua Taquari, TS:Parada Cesário Alvim (1-2-3), TS:180. Metrô Bresser-Mooca, CS:Cassandoca Pães e Gastronomia, CS:Padaria Belga, CS:Padaria e Confeitaria AM, CS:Renascer, CS:Opala Pães e Doçes, PH:Sinete 24Horas
