IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2491245377; APARTMENT; UNIT; BR; São Paulo; SP; Rua Tiro ao Pombo; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Brasilandia; Brasilândia; RESIDENTIAL; 95; 48; Comprar; 225000; 1; 0; 1; 2; 515; 02844060; Um excelente apartamento MOBILIADO de 47,85m² na Brasilândia, que conta com 2 dormitórios (sendo um deles com armário embutido), sala de estar e jantar, cozinha com armários planejados, banheiro, área de serviço e com 1 vaga na garagem Fixa. <br>Possui uma grande área de lazer com Salão de Festas mobiliado, Churrasqueiras, Playground, Área para prática de esportes ao ar livre, Quadra Esportiva, Salão de Jogos, tudo para garantir diversão e qualidade de vida para sua família.<br>A localização é muito boa e está a 1,5 Km da futura Estação do Metro e perto do Supermercado Sonda, está próximo das Avenidas: Itaberaba, Parapuã, João Paulo e fácil acesso a Marginal Tiete. A região conta com vasto comércio local ao redor do condomínio como: farmácias, padarias, feira-livre, supermercados, lojas diversas, pet-shop, hospitais, clinicas, bancos, salões de beleza, bares, restaurantes, lanchonetes. Além de escolas públicas e particulares e fácil acesso a diversas linhas de transportes.<br><br> -; BS:Terminal Cachoeirinha, CS:Pães e Doces Colosso, PH:FarmaClick, PH:Droga Lema, CH:UBS Vila Progresso, CH:Cover Odonto, CH:CEI Mundo de Sofia
2457118992; APARTMENT; UNIT; BR; São Paulo; SP; Rua Nereu Rangel Pestana; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Brasilandia; Brasilândia; RESIDENTIAL; 34; 34; Comprar; 150000; 0; 0; 0; 2; 150; 02845080; Pré-lançamento: VIBRA BRASILÂNDIA?? Empreendimento de apartamentos de 02 dormitórios em condomínio. Financiamento?? Programa Minha Casa Minha Vida - Caixa (PMCMV)??. ?RENDA A PARTIR DE 1.900 REAIS ?USE SEU FGTS ?JUROS REDUZIDOS ?SUBSÍDIOS DE ATÉ 29 MIL ?ENTRADA EM ATÉ 28 VEZES ?PISO LAMINADO NOS DORMITÓRIOS Stand de Vendas: Rua Parapuã, 1.052 Empreendimento Localizado na Rua Nereu Rangel Pestana, 53. ????A 600 metros da futura ESTAÇÃO BRASILÂNDIA?????? Ao lado do Melhor comércio, bancos, Extra Brasilândia, Rede Plus Hiper Roldão. Possuirá: Portaria 24 horas;?? 2 Torres 01 com 15 pavimentos + térreo; 01 com 18 pavimentos + térreo 3 elevadores por torre; Lazer de clube: -Piscina ?? -Solário?? -Academia???? -Playground?? - Quadra infantil????? - Cantinho do piquenique??; - Espaço Pet????; -Brinquedoteca;???????? -Churrasqueira;?? -Praça de convivência?? - Salão de Festas.???????? Terreno com 2.500 m2; Apartamentos de 2 dormitórios;; CS:Pães e Doces Colosso, CS:Padaria Inverno Verão, PH:FarmaClick, PH:Droga Lema, CH:UBS Vila Progresso, CH:Cover Odonto, CH:CEI Mundo de Sofia, CH:CEI Vila Regina, SC:Supermercado Pampa, SC:Extra Supermercados, SC:Monte Alegre Mat. Construção, SC:Supermercados Dia, SC:Ks
2481907674; APARTMENT; UNIT; BR; São Paulo; SP; Rua Parapuã; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Brasilandia; Brasilândia; RESIDENTIAL; 34; 34; Comprar; 149000; 0; 0; 1; 2; 180; 02831001; <br>O único Minha Casa Minha Vida da Região da Brasilândia com Lazer Completo, Documentação 100% Gratuita, e Piso laminado dos Quartos, e tudo isso com as garantias do financiamento antecipado pela Caixa Econômica Federal. <br> <br>Itens de lazer <br> <br>Salão de FestasBrinquedotecaAcademiaElevadores com Chamada InteligenteChurrasqueiraPlaygroundPiscina<br> <br> As informações estão sujeitas a alterações. Consulte o corretor responsável. <br><br>Revisado em; CS:Padaria Cigana, CS:Padaria Inverno Verão, PH:FarmaClick, CH:UBS Vila Progresso, CH:CEI Vila Regina, SC:Extra Supermercados, SC:Supermercado Pampa, SC:Monte Alegre Mat. Construção, SC:Supermercados Dia, SC:Supermercado Takara
2438299180; HOME; UNIT; BR; São Paulo; SP; Rua Oscar José Alves; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Brasilandia; Brasilândia; RESIDENTIAL; 219; 202; Comprar; 620000; 2; 3; 7; 4; 0; 02855000; 03Pisos Independentes(ÁguaLuzPortõesQuintais+2Grgs.)! PROPRIEDADE DANDO RENDA! 620mil livre comissão por TEMPO LIMITADO! Doc.100%(Habite-se+Reg.Imov). Local Privilegiado!ShoppCantareiraNorte(inaugurado);RoldãoAtac.+ Univ.Brasilândia(inaugurados)! A hora de comprar é agora! Metrô e Rodoanel ainda em obras! Valorização GARANTIDA! E MAIS!: FartosComs,Servs.,Creches,Escolas,Transp, PS, Hosp.,etc.Rua Familiar! Conforto, Ótimo Acabamento, Bom Gosto, Segurança, Privacidade, Arejada, Ensolarada. CASA “UM” ALUGADA! (Sub1), 70m2 útil. 2(DUAS)SUÍTES. 3wcs c/box. Sala estar. Cozinha+AgradávelEspaçoGourmet. Lavand.+Quintal. Gar.c/Portão Autom. CASA “DOIS” ALUGADA! (Sub2), 70m2 útil. 2 dorm.,sendo 1SUÍTE. wc.social c/box. Sala de Estar. Copa/Cozinha. Ampla Lavand.c/2tanques. Sacada c/grades. Gar.c/Portão Autom. TÉRREO:GALPÃO LIVRE! Aço Galvanizado.TUDO NOVO. 77,92 m2 área total. 2WcsSocs. Área serv.+coz. EXPOSIÇÃO aos F.SEMANA sob agenda/to.de hora. .; BS:Ponto Final 971 D, TS:Ponto Final 971 D, CS:Pães e Doces Colosso, CS:Barão, PH:Droga Lema
2497039289; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Brasilandia; Brasilândia; RESIDENTIAL; 140; 140; Comprar; 350000; 4; 1; 2; 3; 0; 02846210; Imóvel para renda.<br>1 º casa com 3 dormitórios sendo 1 suite, sala, cozinha, 2 wcs, área de serviço e 2 vagas para auto.<br>2 º casa com 1 dormitório, sala, cozinha, wc, área de serviço e 2 vagas para auto.<br>Ao ligar na Imobiliária, informar código CA0396 corretor Gerson -; BS:Ponto Final 971 D, TS:Ponto Final 971 D, CS:Pães e Doces Colosso, CS:Barão, PH:Droga Lema, PH:FarmaClick
2498875702; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Brasilandia; Brasilândia; RESIDENTIAL; 250; 150; Comprar; 354900; 2; 1; 2; 3; 0; 02845060; Grande Oportunidade para RENDA! Cerca de R$2.000,00/mês<br>1 Casa e 1 Sobrado no mesmo terreno / Agua e Luz Independentes<br><br>1 Sobrado com 02 Dorms 1 suíte,Sala, Cozinha, 1 wc, lavanderia, Quintal cerca de 100 m² construção<br><br>1 Casa com 2 dorms, 1 coz 1 Banheiro, 1 Lavanderia, 1 Quintal e 1 Churrasqueira - Garagem para 2 veículos Cerca de 60 m² construção<br><br>Com espaço disponível para construir mais imóveis e ampliar os já construídos!!<br><br>Aceita entrada de R$ 280 mil ou apto na região bairro Ipiranga e arredores. Saldo financiado direto com proprietário -; CS:Pães e Doces Colosso, CS:Padaria Inverno Verão, PH:Droga Lema, PH:FarmaClick, CH:Cover Odonto, CH:CEI Mundo de Sofia, CH:UBS Vila Progresso, CH:CEI Vila Regina, SC:Supermercado Pampa, SC:Extra Supermercados, SC:Ks, SC:Monte Alegre Mat. Construção, SC:Sarina Tattoo
2491458449; APARTMENT; UNIT; BR; São Paulo; SP; Rua Barão de Santo Ângelo; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Brasilandia; Brasilândia; RESIDENTIAL; 49; 49; Alugar/Comprar; 1300; 1; 1; 1; 2; 450; 02842000; Apartamento próximo a futura estação do metro Brasilândia com 2 dormitoreiros, sala de estar e jantar integradas, cozinha com balcao americano, lavanderia e uma vaga. Sacada muito bem vendilado. possui área de convivência, praças, pista de Cooper, academia, salão de festa com churrasqueira, espaço gourmet com churrasqueira e forno de pizza, piscina adulto e infantil,. - Ref.: 169-IM187941; BS:Terminal Cachoeirinha, CS:Padaria Cigana, CS:Padaria Inverno Verão, PH:FarmaClick, CH:UBS Vila Progresso
2491470989; CONDOMINIUM; UNIT; BR; São Paulo; SP; Rua Monte Azul Paulista; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Brasilandia; Brasilândia; RESIDENTIAL; 60; 60; Comprar; 300000; 2; 1; 2; 2; 0; 02883050; SOBRADO NOVO EM CONDOMÍNIO FECHADO COM ENTREGA PREVISTA PARA 2.014. DOIS DORMITÓRIOS E DUAS VAGAS... - Ref.: 169-IM182397; BS:Terminal Linha 9008, CS:Dona Diva, CH:Posto de Saúde Cohab Brasilândia, SC:Beto's Supermercado, SC:Marialva, SC:Supermecado Marileo, SC:Perfumaria Sunny
2458729846; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Brasilandia; Brasilândia; RESIDENTIAL; 282; 88; Comprar; 260000; 4; 0; 3; 4; 0; 02835030; Trata se de um imóvel com 03 casas simples sendo : 1 ) com 02 Dormitórios, sala,cozinha e wc,<br>2 ) com 01 Dormitório, Sala,cozinha,wc, lavanderia,<br>3 ) com 01 Dormitório,cozinha e wc, com<br>Água e luz independentes, topografia com declive suave, ambas carecendo de reformas. -; CS:Padaria Inverno Verão, CS:Pães e Doces Colosso, CS:Padaria Cigana, PH:FarmaClick, PH:Droga Lema, CH:UBS Vila Progresso, CH:CEI Vila Regina, CH:Cover Odonto, CH:CEI Mundo de Sofia, SC:Supermercado Pampa, SC:Extra Supermercados, SC:Monte Alegre Mat. Construção, SC:Supermercados Dia, SC:Ótima Veículos
2486252077; APARTMENT; UNIT; BR; São Paulo; SP; Rua Parapuã; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Brasilandia; Brasilândia; RESIDENTIAL; 34; 34; Comprar; 154900; 0; 0; 1; 2; 0; 02831000; LANÇAMENTO!!<br><br>Apartamento 34 m², 2 dormitórios, sem vaga para garagem. <br><br>O Empreendimento terá as seguintes áreas de lazer:<br><br>- Salão de Festas;<br>- Brinquedoteca; <br>- Academia;<br>- Elevadores com Chamada Inteligente;<br>- Churrasqueira; <br>- Playground;<br>- Piscina.<br><br>"Valores sujeitos a alteração sem prévio aviso.<br>Condições de pagamento e descontos podem sofrer alteração conforme normas da construtora.<br>Sujeito a confirmação de disponibilidade!"FOTOS ILUSTRATIVAS"<br><br>Entre em contato conosco pelo WhatsApp <br> -; CS:Padaria Cigana, CS:Padaria Inverno Verão, PH:FarmaClick, CH:UBS Vila Progresso, CH:CEI Vila Regina, SC:Ótima Veículos, SC:Extra Supermercados, SC:Supermercado Pampa, SC:Monte Alegre Mat. Construção, SC:Supermercados Dia
