IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2481646367; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Rua Conde Luiz Zunta; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Campo Grande; Campo Grande; RESIDENTIAL; 188; 188; Comprar; 740000; 4; 2; 4; 3; 0; 04456100; Tem sonho de mudar de um apartamento para uma casa, mas tem preocupação com a segurança?<br>Olha que privilégio: morar num sobrado amplo na região de Santo Amaro em uma rua fechada e extremamente segura e com monitoramento de câmeras. E ainda estar próximo a padarias, escolas, feiras, Shopping Interlagos, Interlar, Leroy Merlin e com fácil acesso a grandes avenidas e transporte público. A área é isenta de IPTU.<br>Construída com materiais de extrema qualidade a casa tem 3 dormitórios, um deles uma suíte completa, destacada da casa principal e uma deliciosa varanda ensolarada no quarto do casal.<br>E se sua família gosta de reunir a família nos finais de semana o espaço é perfeito, pois conta com uma área gourmet ampla e ensolarada.<br>Proprietário estuda permuta por apartamento com varanda gourmet na região de Santo Amaro.<br>Não deixe de conhecer esse imóvel e marcar sua visita! Realize o sonho de sua família de morar em uma casa só sua! -; BS:Av. Interlagos, 3060, BS:GGD Metals, BS:Av. Interlagos, 3501, BS:Shopping Interlagos, BS:Av. Interlagos, 1661, TS:Av. Interlagos, 2729, TS:Av. Interlagos, 3060, TS:GGD Metals, TS:Av. Interlagos, 3501, TS:Shopping Interlagos, CS:Panificadora Bandeirantes, CH:Unidade Básica de Saúde São Jorge, CH:UBS Vila Constância - Dr Vicente Octavio Guida, CH:Hospital Vida's, CH:Ambulatório Médico de Especialidades Jardim dos Prados
2478039577; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Campo Grande; Campo Grande; RESIDENTIAL; 44; 44; Comprar; 357900; 1; 0; 1; 2; 250; 04693130; Aproveite o lançamento da Construtora Even na região de Campo Grande / Interlagos. Apartamentos de 2 e 3 dormitórios com metragem a partir de 45 m², preço a partir de R$ 357.900,00. Terreno de 20.000 m² próximo a uma rede de serviços e comércio, como shoppings, restaurantes, colégios, fácil acesso a rede de transportes ! Agende uma visita com um de nossos corretores e confira as opções e facilidades para pagamento. Entrega prevista para Fevereiro de 2020. <br>A APOYO assessora seu financiamento nas principais instituições bancárias, e acompanha o processo até finalizar no Cartório de Registro de Imóveis.; BS:GGD Metals, BS:Av. Interlagos, 3060, BS:Av. Interlagos, 3501, BS:Av. Das Nações Unidas, 22013, BS:Shopping Interlagos, TS:GGD Metals, TS:Av. Interlagos, 3060, TS:Av. Interlagos, 3501, TS:Av. Interlagos, 2729, TS:Av. Das Nações Unidas, 22013, CS:Panificadora Bandeirantes, CS:Belfort Panificadora, CH:Hospital Vida's, CH:Ambulatório Médico de Especialidades Jardim dos Prados
2496238769; HOME; UNIT; BR; São Paulo; SP; Rua Santo Alberto; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Campo Grande; Campo Grande; RESIDENTIAL; 250; 180; Comprar; 1100000; 3; 1; 3; 4; 0; 04676042; Casa térrea, muito charmosa, totalmente reformada, living para 2 ambientes com lareira e piso em madeira de lei, 4 dormitórios, sendo 01 suíte, todos com armários, cozinha, área de serviço e dep de empregada, quintal com churrasqueira, bem ensolarada. Tudo perto, Boas escolas, Hospital, farmácia, comércio e transporte público em geral, uma raridade na região. Fácil acesso às principais avenidas de São Paulo,; BS:Av. Interlagos, 1661, BS:Shopping Interlagos, BS:Av. Interlagos, 3060, BS:GGD Metals, BS:Av. Interlagos, 3501, TS:Av. Interlagos, 1661, TS:Shopping Interlagos, TS:Cemitério do Campo Grande, TS:Av. Interlagos, 2729, TS:Av. Interlagos, 3060, CS:Panificadora Bandeirantes, CS:Belfort Panificadora, CS:Bandeirantes V, CH:Ambulatório Médico de Especialidades Jardim dos Prados, CH:Hospital Vida's, CH:UBS Vila Constância - Dr Vicente Octavio Guida
2437372217; HOME; UNIT; BR; São Paulo; SP; Rua Vitório Trevillato; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Campo Grande; Campo Grande; RESIDENTIAL; 0; 150; Comprar; 650000; 4; 3; 4; 3; 0; 04679320; Sobrado novo, não e geminado, sacadas frente e fundo bem localizado, acabamentos de primeira, cobertura zetaflex, churrasqueira, 3 suites, 4 vagas! Faça uma visita. Bairro Campo Grande, próximo ao hospital vidas da Sabará. Avalio proposta. Entre em contato com Proprietário no 9 68 65 2 886 - Mario.; BS:Av. Interlagos, 3060, BS:Shopping Interlagos, BS:GGD Metals, BS:Av. Interlagos, 1661, BS:Av. Interlagos, 3501, TS:Av. Interlagos, 2729, TS:Av. Interlagos, 3060, TS:Shopping Interlagos, TS:GGD Metals, TS:Av. Interlagos, 1661, CS:Panificadora Bandeirantes, CS:Belfort Panificadora, CH:Ambulatório Médico de Especialidades Jardim dos Prados, CH:Hospital Vida's, CH:UBS Vila Constância - Dr Vicente Octavio Guida
2495431003; APARTMENT; UNIT; BR; São Paulo; SP; Rua Engenheiro Domício de L. Pacheco e Silva; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Campo Grande; Campo Grande; RESIDENTIAL; 109; 58; Alugar/Comprar; 1700; 1; 1; 1; 2; 0; 04455310; Apartamento na Vila Campo Grande Próximo ao shopping Interlagos e Avenida Sabará. Unidade de 58 m² conta com 02 dormitórios, banheiro social, sala para dois ambientes e cozinha com acesso a área de serviço. 01 vaga de garagem. Andar alto com vista livre para o bairro. Excelente claridade natural! Condomínio conta com portaria 24 horas, piscina e salão de festa. Passa ônibus na porta do condomínio. Saia na frente, agende uma visita - Ref.: 137-IM515927; BS:Av. Interlagos, 3060, BS:GGD Metals, BS:Av. Interlagos, 3501, BS:Shopping Interlagos, BS:Av. Interlagos, 1661, TS:Av. Interlagos, 2729, TS:Av. Interlagos, 3060, TS:GGD Metals, TS:Av. Interlagos, 3501, TS:Shopping Interlagos, CS:Panificadora Bandeirantes, CS:Belfort Panificadora, CH:Hospital Vida's, CH:Ambulatório Médico de Especialidades Jardim dos Prados, CH:UBS Vila Constância - Dr Vicente Octavio Guida, CH:Unidade Básica de Saúde São Jorge
2433950111; HOME; UNIT; BR; São Paulo; SP; Rua José Maria de Abreu; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Campo Grande; Campo Grande; RESIDENTIAL; 0; 160; Comprar; 780000; 4; 1; 4; 3; 0; 04457080; Sobrado de fino bom gosto, reformado, arejado, para pessoas exigentes. Rua tranquila, a poucos minutos do Shop Interlagos, SP Market, Hospitais, Bancos, Academias, Mercados e vasto comércio da Sabará. Prox. Igreja Verde e Padre Marcelo. Sala de estar e sala de jantar - com sanca de gesso, piso em madeira e granito. Cozinha - com piso em porcelanato, pia em granito e repleta de armários planejados. Quarto 1 - (Suite casal) com sacada, armário planejado, papel de parede, piso laminado de madeira, ar condicionado, teto rebaixado com projeto de iluminação ambiente. Quarto 2 - Armários planejados com área para estudo. Piso laminado em madeira. Quarto 3 - Piso laminado em madeira Banheiro social - todo em branco, box blindex, teto rebaixado e armários. Área de churrasqueira com armário, cobertura retrátil em acrílico, quarto e banheiro de empregada. Garagem para 4 carros grandes com portão automático rápido.; BS:Av. Interlagos, 3060, BS:GGD Metals, BS:Av. Interlagos, 3501, BS:Shopping Interlagos, TS:Av. Interlagos, 2729, TS:Av. Interlagos, 3060, TS:GGD Metals, TS:Av. Interlagos, 3501, TS:Shopping Interlagos, CH:Unidade Básica de Saúde São Jorge, CH:Hospital Vida's, SC:Dia Supermercados
2431446283; APARTMENT; UNIT; BR; São Paulo; SP; Rua Quararibéia; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Campo Grande; Campo Grande; RESIDENTIAL; 82; 82; Comprar; 649000; 2; 1; 2; 3; 800; 04689160; APARTAMENTO DECORADO E MOBILADO DE 2 QUARTOS SENDO 1 SUÍTE, 3º QUARTO ABERTO PARA AMPLIAR A SALA, VARANDA GOURMET, COZINHA PLANEJADA, BANHEIRO SOCIAL, ÁREA DE SERVIÇO E 2 VAGAS DE GARAGEM. <br>CONDOMÍNIO COM LAZER DE CLUBE DISPÕE DE CHURRASQUEIRA, PISCINAS, SALÃO DE FESTAS, SALA DE JOGOS, QUADRA DE ESPORTES, SALA FITNESS, PLAYGROUND, JARDIM E SEGURANÇA. ÓTIMA LOCALIZAÇÃO EM UMA TRAVESSA DA AVENIDA NOSSA SENHORA DO SABARÁ. <br><br>OBS: ACEITA NEGOCIAR SEM OS MÓVEIS.; BS:Av. Interlagos, 3060, BS:GGD Metals, BS:Av. Interlagos, 1661, BS:Shopping Interlagos, BS:Av. Das Nações Unidas, 22013, TS:Cemitério do Campo Grande, TS:Av. Interlagos, 3060, TS:GGD Metals, TS:Av. Interlagos, 1661, TS:Av. Interlagos, 2729, CS:Panificadora Bandeirantes, CS:Belfort Panificadora, CH:Hospital Vida's, CH:Ambulatório Médico de Especialidades Jardim dos Prados
2427782128; HOME; UNIT; BR; São Paulo; SP; Rua Maraney; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Campo Grande; Campo Grande; RESIDENTIAL; 205; 153; Comprar; 529900; 2; 2; 3; 2; 0; 04679130; Sobrado reformado, bem localizado com toda a documentação em ordem, pode ser financiado, rua residencial. 153m2 de área construída e mais de 205,73m2 de área total. Construção sólida e bem planejada. Amplo espaço para família. 2 vagas de garagem cobertas. Areas bem arejadas, recebe sol por todo o dia. 7 minutos a pé do Shopping Interlagos e próxima à Estação de trem Jurubatuba. Possui as seguintes dependências: Pavimento térreo: Garagem para 2 carros, 1 banheiro social, ampla Sala de Jantar, ampla Sala de estar, Hall, cozinha com armários embutidos, área de serviço com armários embutidos e corredor de circulação. Pavimento superior: 2 suítes (com possibilidade de se aumentar o número de quartos devido as 2 áreas de serviço/reversivel), 2 terraços (localizados 1 na frente e o outro nos fundos da casa), área de serviço, corredor de circulação e sótão. Próximo às avenidas: Interlagos, Nações Unidas. Venha conhecer, estuda-se permuta em apto 2 dormitórios na Saúde/Praça da Árvore.; BS:Shopping Interlagos, BS:Av. Interlagos, 1661, BS:Av. Interlagos, 3060, BS:GGD Metals, BS:Av. Interlagos, 3501, TS:Shopping Interlagos, TS:Av. Interlagos, 2729, TS:Av. Interlagos, 1661, TS:Av. Interlagos, 3060, TS:GGD Metals, CS:Panificadora Bandeirantes, CS:Belfort Panificadora, CS:Bandeirantes V, CH:Ambulatório Médico de Especialidades Jardim dos Prados, CH:Hospital Vida's, CH:UBS Vila Constância - Dr Vicente Octavio Guida
2499432199; HOME; UNIT; BR; São Paulo; SP; Rua João Francisco de Moura; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Campo Grande; Campo Grande; RESIDENTIAL; 300; 300; Comprar; 890000; 2; 1; 4; 3; 0; 04455170; Sobrado, com 3 dormitórios, 1 suite, sala de estar com 2 ambientes, lavabo, sala de jantar, cozinha planejada, área de serviço, banheiro social,, salão de festas, e jogos, um escritório, piscina com 40.000 litros, forno, fogão a lenha e churrasqueira. <br>Móveis planejados. Fiação moderna, com câmera de segurança, tela para pets.<br>Sh Prime Imóveis, referência no mercado imobiliário fornecendo serviços inovadores, com excelência e qualidade no atendimento!<br>Agências em Perdizes, Pacaembu, Chácara Klabin, Santana, Vila Nova Conceição e Aclimação. .<br><br>Acesse nosso site e confira outras ofertas: www.shprime.com.br. <br><br>. Pontos de Interesse mais Próximos: <br><br>Metrô LARGO TREZE a 4229m. <br>Ponto de onibus a 230m. <br>Ciclovia CICLOFAIXA NSRA DO SABARA, com extensão de 374m a uma distância de 716m. <br>Escola ALICERCE (ENEM: 585.9) a 882m. <br>Parque NABUCO (Área: 30466m) a 2737m.; BS:Av. Interlagos, 3060, BS:GGD Metals, BS:Shopping Interlagos, BS:Av. Interlagos, 3501, BS:Av. Interlagos, 1661, TS:Av. Interlagos, 2729, TS:Av. Interlagos, 3060, TS:GGD Metals, TS:Shopping Interlagos, TS:Av. Interlagos, 3501, CS:Panificadora Bandeirantes, CS:Belfort Panificadora, CH:Hospital Vida's, CH:Ambulatório Médico de Especialidades Jardim dos Prados, CH:UBS Vila Constância - Dr Vicente Octavio Guida, CH:Unidade Básica de Saúde São Jorge
2463436820; APARTMENT; UNIT; BR; São Paulo; SP; Rua Tomás Aquino de Macedo; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Campo Grande; Campo Grande; RESIDENTIAL; 60; 60; Comprar; 320000; 1; 0; 1; 2; 650; 04679310; Lindo apartamento com acabamento impecável, bem localizado, varanda com vista privilegiada em andar alto, bem conservado. Living com espaço para 2 ambientes, com acesso a varanda, servido de muita luz e ventilação natural, em piso frio. São 2 dormitórios, ambos com excelente distribuição interna e ótima iluminação natural. Cozinha em cores claras, bem iluminada, equipada com armário planejado, acessando a área de serviços. Condomínio com infraestrutura de lazer. Excelente localização, bairro conta com total infraestrutura, restaurantes e comércios, em cerca de 5 min de caminhada poderá chegar, aos Colégios Gerar e Alicerce. Em 10 min estará o Shopping Interlagos, Mercado Extra e Drogaria São Paulo. De carro em 10 min, chegará ao Shopping SP Market, Parque da Mônica, Estação Jurubatuba do Metrô, Assaí Atacadista, Carrefour Hipermercado, Centro Universitário Senac e Universidade Ibirapuera. Scheid Imóveis, desde 1997 com total transparência e segurança em todos os nossos serviços. <br> <br> <br> <br> <br> <br> <br> <br>Scheid Imóveis, desde 1995 com total transparência e segurança em todos os nossos serviços.; BS:Av. Interlagos, 3060, BS:GGD Metals, BS:Shopping Interlagos, BS:Av. Interlagos, 3501, BS:Av. Interlagos, 1661, TS:Av. Interlagos, 3060, TS:Av. Interlagos, 2729, TS:GGD Metals, TS:Shopping Interlagos, TS:Av. Interlagos, 3501, CS:Panificadora Bandeirantes, CS:Belfort Panificadora, CH:Hospital Vida's, CH:Ambulatório Médico de Especialidades Jardim dos Prados, CH:UBS Vila Constância - Dr Vicente Octavio Guida
