IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2490179409; CONDOMINIUM; UNIT; BR; São Paulo; SP; Rua Professor Alves Pedroso; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Cangaiba; Cangaíba; RESIDENTIAL; 80; 94; Comprar; 544000; 2; 1; 3; 3; 600; 03721010; Sobrado em condomínio!!<br>Venha morar na melhor localização do Cangaíba... Sobrado com 3 quartos, um deles sendo uma suíte, salas de jantar e TV integradas e 2 vagas de garagem frontais.<br><br>Uma rua famosa por ser larga, segura e super tranquila. Uma casa em um condomínio privilegiado. Metragem total de 94,00m² de área construída muito arejada e iluminada com janelas grandes. Área de serviço coberta com lavanderia, o sobrado tem uma decoração ímpar dando um toque sensacional e luxuoso, excelente cozinha e com uma varanda gourmet maravilhosa e super aconchegante nos fundos, um espaço reservado com churrasqueira para receber os amigos e familiares.. Banheiros azulejados, com box e bem ventilados. O condomínio contém uma excelente área externa com piscina, quadra, playground, salão de festas e espaço de sobra. Segurança privada e vigilância 24hrs com câmeras e ronda.<br><br>Acesso as principais avenidas e rodovias como Marginal Tietê e Airton Senna. Encontra-se a 7 min do Aeroport -; BS:Parada Final 271-A 51, BS:Parada Final 271-P, BS:Linha 2728/10 Jd. do Castelo X Metrô Penha, TS:Parada Final 271-A 51, TS:Parada Final 271-P, TS:Engenheiro Goulart, CS:Padaria Barra D'Ouro, VP:Mercadão Pet Shop
2499476174; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Cangaiba; Cangaíba; RESIDENTIAL; 47; 47; Comprar; 277000; 1; 0; 1; 2; 270; 03726000; Apartamento residencial a venda, Cangaiba <br><br>Localizado no décimo primeiro andar, apartamento com planta de 47 m2, 02 dormitórios, sala de estar com sacada e vista livre, sala de jantar, cozinha, banheiro, área de serviço com ventilação natural, 01 vaga de garagem.<br><br>Reforma recente.<br>Acabamento em porcelanato, pintura conservada, moldura de gesso em todos os cômodos, com teto rebaixado e spots de led, pia da cozinha em granito Verde Ubatuba e pia do banheiro em Mármore Travertino.<br>Ficarão os móveis planejados da cozinha, dormitórios, home da sala, buffet e espelho da sala de jantar e o gabinete do banheiro com o espelho.<br><br>Condomínio dispõe de gás encanado, interfone, elevadores, portaria 24 horas, acesso biométrico a portaria, área de convivência, redário, espaço pet equipado para treinamentos de cães de pequeno e médio porte, 02 espaços com churrasqueiras, quadra poliesportiva, playground, salão de festas gourmet equipado com TV, ar condicionado e cozinha completa, -; BS:Linha 2728/10 Jd. do Castelo X Metrô Penha, BS:Parada Final 271-P, BS:Parada Final 271-A 51, TS:Engenheiro Goulart, TS:Parada Final 271-P, TS:Parada Final 271-A 51, VP:Mercadão Pet Shop, CH:Base da Samu
2499475680; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Cangaiba; Cangaíba; RESIDENTIAL; 4; 114; Comprar; 420000; 2; 2; 3; 2; 0; 03736090; O único responsável pela sua paz, é você mesmo. Então, bora fazer uma boa escolha ? AGORA !?<br><br>Apresentamos esse sobrado com localização estratégica, para quem curte mobilidade. Está próximo as principais vias como Avenida Cangaíba e Avenida São Miguel.<br><br>Agora vamos falar do seu pequeno grande refúgio, que ainda está com cheiro de novo rs<br><br>Sao 114m², distribuídos em: 02 suítes, 02 vagas de garagem e está localizado em São Miguel.<br><br>O diferencial do imóvel, é que em seu primeiro pavimento no nível da rua, está instalada a sua área gourmet com lavabo, facilitando em dias de festas, por não precisar adentrar completamente ao sobrado.<br><br>O acabamento como você pode ver, é de primeira: Porcelanato, vidros verdes, jardim lateral na garagem, esquadrias pretas, banheiros e lavabos com cuba de apoio ... está realmente impecável, é só trazer a mudança !<br><br>Documentação esta em ordem caso queira financiar e se de repente quiser utilizar o seu FGTS, também poderá !<br><br>Me conta o -; BS:Linha 2728/10 Jd. do Castelo X Metrô Penha, BS:Parada Final 271-A 51, BS:Parada Final 271-P, TS:Parada Final 271-A 51, TS:Parada Final 271-P, TS:Engenheiro Goulart, CS:HOT BRAD Pães ultracongelados, CS:Padaria Barra D'Ouro, CS:padaria nova granada, CS:padaria brilhante, CS:Frajola, VP:Mercadão Pet Shop
2498674893; HOME; UNIT; BR; São Paulo; SP; Rua São José do Campestre; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Cangaiba; Cangaíba; RESIDENTIAL; 80; 80; Comprar; 330000; 2; 0; 2; 2; 0; 03728000; O caminho mais prático, transparente e seguro até o imóvel dos seus sonhos! Agende agora uma visita pelo nosso site buscando pelo código do imóvel.<br>CÓDIGO DO IMÓVEL: <br><br>- Valor de venda:<br>- Condomínio: 330000<br>- IPTU: 0<br><br>O QuintoAndar é uma startup de tecnologia que revolucionou o jeito de alugar e comprar imóveis: rápido, fácil, online, sem fiador e o melhor, sem burocracia. Saiba mais no nosso site. CRECI-SP J24.344; BS:Linha 2728/10 Jd. do Castelo X Metrô Penha, BS:Parada Final 271-P, BS:Parada Final 271-A 51, TS:Engenheiro Goulart, TS:Parada Final 271-P, TS:Parada Final 271-A 51, TS:USP Leste, CS:Center Carnes Ducastilho, CS:Emporio de Produtos Naturais, CS:Panificadora Nova Imperador do Trigo, VP:Ração Japonesa
2497949927; APARTMENT; UNIT; BR; São Paulo; SP; Rua Ponu; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Cangaiba; Cangaíba; RESIDENTIAL; 54; 54; Comprar; 225000; 1; 0; 1; 2; 335; 03733030; Apartamento em Condomínio Padrão para Venda no Cangaíba, 2 dorm, , 1 vagas, 54mts²<br>- Área Privativa: Área de serviço.<br>Aceita financiamento: .<br>Valor do Condominio R$: 335,00. - Data da Atualização:; BS:Parada Final 271-A 51, BS:Parada Final 271-P, TS:Parada Final 271-A 51, TS:Parada Final 271-P, TS:Engenheiro Goulart, CS:Padaria Barra D'Ouro, CS:Padaria Requinte, CS:padaria brilhante, CS:HOT BRAD Pães ultracongelados, VP:Mercadão Pet Shop
2498672203; HOME; UNIT; BR; São Paulo; SP; Rua Jacina; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Cangaiba; Cangaíba; RESIDENTIAL; 120; 120; Comprar; 310000; 2; 1; 2; 3; 0; 03758030; O caminho mais prático, transparente e seguro até o imóvel dos seus sonhos! Agende agora uma visita pelo nosso site buscando pelo código do imóvel.<br>CÓDIGO DO IMÓVEL: <br><br>- Valor de venda:<br>- Condomínio: 310000<br>- IPTU: 0<br><br>O QuintoAndar é uma startup de tecnologia que revolucionou o jeito de alugar e comprar imóveis: rápido, fácil, online, sem fiador e o melhor, sem burocracia. Saiba mais no nosso site. CRECI-SP J24.344; BS:Linha 2728/10 Jd. do Castelo X Metrô Penha, CS:Center Carnes Ducastilho, CS:Emporio de Produtos Naturais, CS:Panificadora Nova Imperador do Trigo, VP:Ração Japonesa, CH:Posto de Saúde - Ubs Pedro de Souza Campos
2498531460; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Cangaiba; Cangaíba; RESIDENTIAL; 250; 250; Comprar; 350000; 2; 1; 1; 2; 0; 03715110; Casa Cangaiba (Imóvel com 3 casas no quintal) <br>• Casa I - 2 dormitórios sendo 1 suite, sala, cozinha, a/s, 2 wc's, deposito, terraço +- 6,5 x 6,5 aberto, 2 vagas de garagem e entrada lateral, quintal. <br>• Casa II - no pavimento inferior 2 dormitórios, sala, cozinha, a/s, quintal. <br>• Casa III - dormitório, sala, cozinha, wc. <br>Todos com piso frio, água e energia individual.; BS:Parada Final 271-A 51, BS:Parada Final 271-P, TS:Parada Final 271-A 51, TS:Parada Final 271-P, TS:Engenheiro Goulart, CS:Padaria Barra D'Ouro, CS:Padaria Requinte, VP:Mercadão Pet Shop
2498384350; HOME; UNIT; BR; São Paulo; SP; Rua Eugênio de Almeida; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Cangaiba; Cangaíba; RESIDENTIAL; 57; 57; Comprar; 250000; 1; 2; 3; 2; 26; 03755020; O caminho mais prático, transparente e seguro até o imóvel dos seus sonhos! Agende agora uma visita pelo nosso site buscando pelo código do imóvel.<br>CÓDIGO DO IMÓVEL: <br><br>- Valor de venda:<br>- Condomínio: 250000<br>- IPTU: 26<br><br>O QuintoAndar é uma startup de tecnologia que revolucionou o jeito de alugar e comprar imóveis: rápido, fácil, online, sem fiador e o melhor, sem burocracia. Saiba mais no nosso site. CRECI-SP J24.344; BS:Linha 2728/10 Jd. do Castelo X Metrô Penha, CS:Center Carnes Ducastilho, CS:Emporio de Produtos Naturais, CS:Panificadora Nova Imperador do Trigo, CS:Delícia, CS:Doces Michele, VP:Ração Japonesa, CH:UBS Vila Granada
2498741680; APARTMENT; UNIT; BR; São Paulo; SP; Rua Rubens Fraga de Toledo Arruda; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Cangaiba; Cangaíba; RESIDENTIAL; 63; 63; Comprar; 330000; 1; 1; 3; 3; 477; 03726000; No Loft Market, você tem acesso a um amplo portfólio de imóveis atualizados diariamente. Você também conta com serviços opcionais como: Assessoria Imobiliária para resolver toda a burocracia e trazer segurança para a negociação; Financiamento sem custos através da nossa assessoria LoftCred; Reforma e customização com nosso time de especialistas para transformar e deixar o apartamento do seu jeito, da reforma à decoração. Visitas neste imóvel estão liberadas. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.<br><br>Código do Anúncio: 5101_83804<br>; BS:Linha 2728/10 Jd. do Castelo X Metrô Penha, BS:Parada Final 271-P, BS:Parada Final 271-A 51, TS:Engenheiro Goulart, TS:Parada Final 271-P, TS:Parada Final 271-A 51, VP:Mercadão Pet Shop, CH:Base da Samu
2497198646; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Cangaiba; Cangaíba; RESIDENTIAL; 60; 60; Comprar; 270000; 2; 2; 3; 2; 100; 03733180; Condomínio de 2 dormitórios, sendo 2 suítes e 2 vaga de garagem em ótima localização. Próximo a comércios. Perto de escolas, padarias, bancos, supermercados, farmácias, transporte público e perto de vias de acesso.<br>A Virtude Imóveis , situada na Rua Evans, 493, possui vários sobrados, condomínios, casas , Aceitamos financiamento com todos os bancos usando seu F.G.T.S!<br>apartamentos, e terrenos na Zona Leste de SP usados ou em construção, para compra e venda consulte-nos e realize o sonho da casa própria!!! <br>Agende sua visita com nossos corretores!! - Data da Atualização:; BS:Parada Final 271-A 51, BS:Parada Final 271-P, TS:Parada Final 271-A 51, TS:Parada Final 271-P, TS:Engenheiro Goulart, CS:Padaria Barra D'Ouro, CS:Padaria Requinte, CS:padaria brilhante, CS:HOT BRAD Pães ultracongelados, CS:padaria nova granada, VP:Mercadão Pet Shop
