IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2462965492; APARTMENT; UNIT; BR; São Paulo; SP; Rua Antônio de Lucena; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Chacara California; Chácara Califórnia; RESIDENTIAL; 176; 176; Comprar; 1850000; 3; 3; 5; 3; 1053; 03407050; Sofisticação e conforto estão presentes nesse apartamento do Central Park Prime Tatuapé cujo design valoriza a convivência e possibilita receber bem os amigos. Vista panorâmica voltada para o bosque do condomínio. Sala de estar, jantar e cozinha integradas a varanda gourmet , lavabo, 3 suites, banheiros equipados com cabine de ducha e sauna .Área de serviço. Revestimento em nanoglass e piso em marmoglass (branco absoluto) nas salas, varanda e cozinha . Armários planejados em todos os ambientes. 3 vagas de garagem e depósito. Condomínio com lazer completo, onde o exuberante verde está incorporado ás áreas de convivência , piscinas, academia , salão de festas, sala de jogos, espaços especiais para as crianças e para a família. -; BS:Parada Bendiapá, BS:Parada Ferreira França, BS:Penha, BS:Terminal Aricanduva, TS:Parada Bendiapá, TS:Parada Ferreira França, TS:Carrão, TS:Terminal Aricanduva, CS:Frigo Central, CS:Padaria Marengo, CS:Manuella Padaria, CS:Padaria Perfil, CS:Padaria CERET, PH:Farmelhor, PH:Farmatrix, PH:Neo Farma Manipulação, PH:Neo Farma  Manipulação, PH:Drogaria Mais Formosa
2493927034; APARTMENT; UNIT; BR; São Paulo; SP; Rua Diamante Preto; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Chacara California; Chácara Califórnia; RESIDENTIAL; 57; 57; Comprar; 359000; 1; 1; 1; 2; 510; 03317040; Apto 57 metros com 2 dormitórios, decorado com armários planejados, lazer completo. Fácil acesso para o metrô Carrão ou Penha, saída para Radial e demais vias principais. -; BS:Penha, BS:Terminal Aricanduva, BS:Parada Bendiapá, BS:Parada Ferreira França, BS:Ac. Metrô Vila Matilde, TS:Terminal Aricanduva, TS:Parada Bendiapá, TS:Parada Ferreira França, TS:Carrão, TS:Vila Matilde, CS:Padaria Marengo, CS:Frigo Central, CS:Padaria Paulista, CS:Manuella Padaria, CS:Mercadinho Happy Familia, PH:Farmelhor, PH:Farmatrix, PH:Droganetto, PH:Drogaria Mais Formosa
2429377478; APARTMENT; UNIT; BR; São Paulo; SP; Rua Comendador Gil Pinheiro; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Chacara California; Chácara Califórnia; RESIDENTIAL; 0; 48; Comprar; 289000; 1; 0; 1; 2; 390; 03406000; Prédio com excelente localização, lazer completo, piscina, churrasqueira, salão de festa, academia, recém reformado, armários planejados no quarto principal e na cozinha, cozinha já equipada com forno e cooktop, aceita financiamento; BS:Penha, BS:Parada Bendiapá, BS:Parada Ferreira França, BS:Terminal Aricanduva, BS:Ac. Metrô Vila Matilde, TS:Parada Bendiapá, TS:Parada Ferreira França, TS:Terminal Aricanduva, TS:Vila Matilde, TS:Carrão, CS:Padaria Paulista, CS:Frigo Central, CS:Padaria Marengo, CS:Manuella Padaria, CS:Padaria Perfil, PH:Farmelhor, PH:Droganetto, PH:Drogaria Mais Formosa, PH:Farmatrix
2427760801; HOME; UNIT; BR; São Paulo; SP; Rua Acanuera; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Chacara California; Chácara Califórnia; RESIDENTIAL; 0; 133; Comprar; 520000; 2; 2; 2; 4; 0; 03405080; Sobrado Comercial - Próximo ao Metro Carrão e Penha! Sobrado em ótimo estado, arejado, salas grandes, recém pintado, elétrica e hidráulica novos. Sendo 3 salas no andar superior e um banheiro, e no piso inferior mais 3 salas, uma cozinha, lavandeira e 2 banheiros, varanda, churrasqueira e garagem para até 3 carros pequenos. Rua tranquila, segura e vizinhança muito boa! Acesso fácil a Av Aricanduva, Marginal Tietê, Via Dutra e Airton Sena. Ótimo imóvel localizado em Área Mista para a sua Empresa (consultórios, escritórios, clinicas, outros negócios.), comércio próximo, bancos e acesso fácil as estações de metrô (10 minutos a pé - Estação Metro Penha e do Metro Carrão). Não aceito permuta! Agende sua visita!; BS:Penha, BS:Terminal Aricanduva, BS:Parada Bendiapá, BS:Parada Ferreira França, TS:Terminal Aricanduva, TS:Carrão, TS:Parada Bendiapá, TS:Parada Ferreira França, CS:Padaria Marengo, CS:Frigo Central, CS:Mercadinho Happy Familia, CS:Padaria Perfil, CS:Manuella Padaria, PH:Farmelhor, PH:Farmatrix, PH:Neo Farma Manipulação, PH:Neo Farma  Manipulação
2497949938; APARTMENT; UNIT; BR; São Paulo; SP; Rua Queriri; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Chacara California; Chácara Califórnia; RESIDENTIAL; 35; 35; Comprar; 180000; 0; 0; 1; 1; 0; 03442110; Apartamento em Condomínio Padrão para Venda no bairro Chácara Califórnia, 1 dorm, 35 m<br>Aceita financiamento: . - Data da Atualização:; BS:Penha, BS:Ac. Metrô Vila Matilde, BS:Terminal Metrô Vila Matilde, 0, BS:Parada Bendiapá, BS:Parada Ferreira França, TS:Vila Matilde, TS:Parada Bendiapá, TS:Parada Ferreira França, CS:Padaria Paulista, PH:Droganetto, PH:Drogaria Mais Formosa, PH:Farmelhor, PH:Farmatrix
2498700073; LOFT; UNIT; BR; São Paulo; SP; Rua Diamante Preto; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Chacara California; Chácara Califórnia; RESIDENTIAL; 34; 34; Comprar; 205000; 0; 0; 1; 1; 120; 03405000; Oportunidade Studio, com sala/dormitório, cozinha, área de serviço/sacada, banheiro com box de vidro, gás encanado, sem vaga de garagem. Condomínio com sistema de câmeras virtual, porteiro eletrônico, elevador, água, gás e luz tudo individualizado. Próximo a Supermercados, Escolas, Hospitais, Farmácia, Padaria, Praça, Shopping e todo comércio que a região oferece. Fácil acesso a estação do metrô e Terminal de ônibus Carrão e Avenidas Radial Lesta e Aricanduva. Agende sua visita ou veja mais opções no site www.jhiimoveis.com.br; BS:Penha, BS:Terminal Aricanduva, BS:Parada Bendiapá, BS:Parada Ferreira França, TS:Terminal Aricanduva, TS:Carrão, TS:Parada Bendiapá, TS:Parada Ferreira França, CS:Padaria Marengo, CS:Frigo Central, CS:Mercadinho Happy Familia, CS:Manuella Padaria, CS:Padaria Perfil, PH:Farmelhor, PH:Farmatrix, PH:Neo Farma Manipulação, PH:Neo Farma  Manipulação, PH:Droganetto
2484505110; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Chacara California; Chácara Califórnia; RESIDENTIAL; 60; 60; Comprar; 349990; 1; 1; 2; 2; 536; 03501010; Aconchegante Apto com varanda na Chácara Califórnia, próximo da Rua Serra de Botucatu e Av. Aricanduva, cerca de 700m até Estação Penha do Metrô.<br><br>Apto bem conservado com (~) 60 m² de área útil, face norte, sala com 02 ambientes, cozinha + área de serviço linear, 02 dormitórios, sendo 01 suíte e 01 vaga determinada, (fixa e coberta).<br><br>Porta de entrada em madeira maciça, porcelanato, piso laminado, armários embutidos, box blindex e acabamento em gesso nos vértices dos tetos em todos ambientes.<br><br>Condomínio com lazer completo: Jardim, Churrasqueira, 02 Piscinas Adulto e 01 Infantil, Sauna, Quadra Poliesportiva, Playground, Brinquedoteca, Sala de Ginástica, Salão de Festas, Salão de Jogos e Bicicletário.<br>Portaria 24hs.<br><br>IPTU/Anual: (~) R$ 240,00<br><br>Características do imóvel<br>Área de serviço<br>Armário de cozinha<br>Armário embutido<br>Churrasqueira no condomínio<br>Cozinha<br>Granito<br>Mármore<br>Piscina<br>Piso frio<br>Piso laminado<br>Sala de estar<br>Sala de jantar<br>Varanda<br><br>Mais informações em www.fauziimoveis.com.br; BS:Penha, BS:Terminal Aricanduva, BS:Parada Bendiapá, BS:Ac. Metrô Vila Matilde, BS:Parada Ferreira França, TS:Terminal Aricanduva, TS:Carrão, TS:Parada Bendiapá, TS:Parada Ferreira França, TS:Vila Matilde, CS:Padaria Marengo, CS:Frigo Central, CS:Padaria Paulista, CS:Mercadinho Happy Familia, CS:Manuella Padaria, PH:Farmelhor, PH:Farmatrix, PH:Droganetto, PH:Drogaria Mais Formosa
2427777326; APARTMENT; UNIT; BR; São Paulo; SP; Rua Vale Formoso; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Chacara California; Chácara Califórnia; RESIDENTIAL; 140; 75; Comprar; 500000; 1; 1; 3; 3; 0; 03410030; FACILITO PAGAMENTO Apartamento bem localizado, travessa da Rua Antônio de Barros no Tatuapé, 1 suíte + 2 dormitórios é um banheiro, dependência de empregada, 1 vaga na garagem, prédio com piscina e área de churrasqueira.; BS:Parada Ferreira França, BS:Parada Bendiapá, BS:Avenida Reg. Feijó 1739, BS:Rua Gabriel Grupello, BS:Rua Templários 39, TS:Parada Ferreira França, TS:Parada Bendiapá, TS:Avenida Reg. Feijó 1739, TS:Rua Gabriel Grupello, TS:Rua Templários 39, CS:Padaria CERET, CS:Manuella Padaria, CS:Padaria Perfil, CS:Frigo Central, CS:Padaria Marengo, PH:Farmatrix, PH:Farmelhor, PH:Neo Farma Manipulação, PH:Neo Farma  Manipulação, PH:Drogaria Mais Formosa
2427775053; APARTMENT; UNIT; BR; São Paulo; SP; Rua Carlos Silva; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Chacara California; Chácara Califórnia; RESIDENTIAL; 72; 68; Comprar; 405000; 1; 1; 2; 3; 550; 03405040; Apartamento de 3 dormitórios, sendo 1 suíte, sala dois ambientes, cozinha com móveis planejados, sacada e área de serviço. Condomínio R$ 550,00. Iptu R$ 219,00. Lazer completo. Ótima localização, próximo a av. Aricanduva, Radial Leste e Conselheiro Carrão. Tratar diretamente com a proprietária. telefone OBS estuda uma possivel permuta em casa ou apartamento de 3 dormitorios ate 230 mil regiao da zona leste e santo andré para permuta valor 450 mil; BS:Penha, BS:Terminal Aricanduva, BS:Parada Bendiapá, BS:Parada Ferreira França, BS:Ac. Metrô Vila Matilde, TS:Terminal Aricanduva, TS:Parada Bendiapá, TS:Carrão, TS:Parada Ferreira França, TS:Vila Matilde, CS:Padaria Marengo, CS:Frigo Central, CS:Padaria Paulista, CS:Manuella Padaria, CS:Mercadinho Happy Familia, PH:Farmelhor, PH:Farmatrix, PH:Droganetto, PH:Drogaria Mais Formosa
2446016464; APARTMENT; UNIT; BR; São Paulo; SP; Rua Serra de Botucatu; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Chacara California; Chácara Califórnia; RESIDENTIAL; 4000; 54; Comprar; 340000; 1; 0; 1; 2; 390; 03417000; Apartamento com 2 dormitórios, sala 2 ambientes,<br>sacada, 1 wc, cozinha, área de serviço, 1 vaga. <br> Próximo ao Metrô, padaria, farmácia, mercado, MC DONALD. Piscina, quadra, churrasqueiras, salão de festas.15 minutos dos shoppings Anália Franco, Tatuapé / Boulevard e Aricanduva, 4 minutos do metrô Penha, 6 minutos do metrô Carrão, 10 minutos do Metro Tatuapé.; BS:Penha, BS:Terminal Aricanduva, BS:Parada Bendiapá, BS:Parada Ferreira França, BS:Ac. Metrô Vila Matilde, TS:Terminal Aricanduva, TS:Parada Bendiapá, TS:Parada Ferreira França, TS:Vila Matilde, TS:Carrão, CS:Padaria Marengo, CS:Frigo Central, CS:Padaria Paulista, CS:Manuella Padaria, CS:Padaria Perfil, PH:Farmelhor, PH:Farmatrix, PH:Droganetto, PH:Drogaria Mais Formosa
