IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2499410164; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Chacara Mafalda; Chácara Mafalda; RESIDENTIAL; 140; 140; Comprar; 575000; 2; 1; 3; 3; 0; ; Excelente sobrado individual no bairro Vila Divo. Com 3 dormitórios, sendo 1 suíte, 2 banheiro social, sala p/ 2 ambientes, cozinha ampla, área de serviço, quintal c/ churrasqueira e 3 vagas. Sobrado com acabamento de primeira, com piso em porcelanato. Excelente localização próximo ao Supermercado Negreiros, Nagumo, bares, padarias, restaurantes, escolas, academias, drogarias, pontos de ônibus e a toda infraestrutura da região. Apenas 5 min do Shopping Anália Franco e da faculdade Unicsul. Documentação OK. Aceita financiamento + FGTS. AGENDE AGORA MESMO SUA VISITA!!! - Data da Atualização:; 
2497069592; HOME; UNIT; BR; São Paulo; SP; Rua Antônio André Rodrigues; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Chacara Mafalda; Chácara Mafalda; RESIDENTIAL; 120; 120; Comprar; 650000; 2; 1; 3; 3; 155; 03372030; Condomínio fechado, próximo ao Shopping Anália Franco e CERET.<br>Imóvel novíssimo. Casa com 3 dormitórios, sendo 2 suítes, em condomínio fechado com apenas doze casas (exclusivo). Condomínio baixo, garagem ampla e coberta para dois carros grandes, tipo SUV. O condomínio está próximo da futura estação do metro Anália Franco (750 metros) e do Shopping Anália Franco (1,6 km),além do excelente parque CERET - Centro Esportivo. Um espetáculo de imóvel. A casa vêm com aquecedor solar já instalado e funcionando. Ótima oportunidade!; BS:Avenida Luca 861, BS:Avenida Luca 586, BS:Avenida Montemagno 958, BS:Avenida Montemagno 1021, BS:Avenida Luca 354, TS:Avenida Luca 861, TS:Avenida Luca 586, TS:Avenida Montemagno 958, TS:Avenida Montemagno 1021, TS:Avenida Luca 354, CS:Padaria Novo Cruzeiro, CS:Bonas, CS:Padraira Total Sucesso, CS:Casa de Carnes Vale do Douro, CS:Julio's Casa de Pães, CH:Consultório Dentário
2446473824; CONDOMINIUM; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Chacara Mafalda; Chácara Mafalda; RESIDENTIAL; 178; 138; Comprar; 650000; 3; 1; 3; 3; 150; 03372030; Oportunidade fantástica para a realização do seu sonho.<br>Fantástico sobrado, última unidade.<br>Sobrado com 3 dormitórios, sendo uma suíte, sala ampla para dois ambientes, cozinha grande com porcelanato, espaço para lixo separado, varanda gourmet, estacionamento para 3 vagas privativas. Condomínio super seguro e bem equipado com câmeras de segurança, cercas elétricas, portões automáticos, iluminação automática e também possui uma cisterna para reaproveitamento de água da chuva.<br>Bairro fabuloso, localizado a 5 minutos do Shopping Anália Franco, bem amparado com escolas, restaurantes, praças, bares, pizzarias e o Hospital Montemagno. Fácil acesso a Avenida Regente Feijó, Avenida Ver. Abel Ferreira e Avenida Sapopemba.<br>Seu sonho completo na melhor região e ao lado de tudo que você possa precisar.<br>Marque uma visita e venha se apaixonar por esta nova oportunidade. -; BS:Avenida Luca 861, BS:Avenida Luca 586, BS:Avenida Montemagno 958, BS:Avenida Montemagno 1021, BS:Avenida Luca 354, TS:Avenida Luca 861, TS:Avenida Luca 586, TS:Avenida Montemagno 958, TS:Avenida Montemagno 1021, TS:Avenida Luca 354, CS:Padaria Novo Cruzeiro, CS:Bonas, CS:Padraira Total Sucesso, CS:Casa de Carnes Vale do Douro, CS:Julio's Casa de Pães, CH:Consultório Dentário
2427694132; APARTMENT; UNIT; BR; São Paulo; SP; Rua Bruna; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Chacara Mafalda; Chácara Mafalda; RESIDENTIAL; 55; 55; Comprar; 319000; 1; 0; 1; 2; 200; 03370000; APTOS NOVOS NA CHÁCARA MAFALDA COM 02 DORMITÓRIOS, SALA PARA 02 AMBIENTES, COZINHA AMERICANA, BANHEIRO, LAVANDERIA E 01 VAGA DE GARAGEM, 55 M², APTOS COM PISOS EM PORCELANATO E LINDOS ACABAMENTOS, PRÉDIO COM 03 ANDARES COM ELEVADOR, FOTOS DA UNIDADE DECORADA, LOCALIZADOS AO LADO DA AV. MONTEMAGNO E AV. ABEL FERREIRA, COM FÁCIL E RÁPIDO ACESSO AO SHOPPING ANÁLIA FRANCO E AOS HOSPITAIS VITÓRIA E MONTEMAGNO, ÓTIMO LOCAL. OBS: FLUXO DE PAGAMENTO FACILITADO, ACEITA PROPOSTA E CARROS COMO PARTE DE PAGAMENTO.<br><br>---------- BOM SUCESSO IMÓVEIS ----------<br><br>ATENÇÃO: TODAS AS INFORMAÇÕES DOS IMÓVEIS ANUNCIADOS SÃO FORNECIDAS PELOS PROPRIETÁRIOS E PODEM SER ALTERADAS A QUALQUER MOMENTO SEM AVISO PRÉVIO. A BOM SUCESSO IMÓVEIS QUER OFERECER AOS NOSSOS CLIENTES UM ATENDIMENTO DEDICADO E ADEQUADO, PARA QUE CONSIGAM ENCONTRAR O QUE PROCURAM, VALORIZANDO SEMPRE O PROFISSIONALISMO, A ÉTICA, HONESTIDADE, DEDICAÇÃO E QUALIDADE DO SERVIÇO. PARA MAIS INFORMAÇÕES, ACESSE WWW.BOMSUCESSOIMOVEIS.C -; BS:Rua Bruna 289, BS:Avenida Luca 354, BS:Avenida Luca 586, BS:Avenida Montemagno 559, BS:Avenida Luca 861, TS:Rua Bruna 289, TS:Avenida Luca 354, TS:Avenida Luca 586, TS:Avenida Montemagno 559, TS:Avenida Luca 861, CS:Padraira Total Sucesso, CS:Julio's Casa de Pães, CS:Casa de Carnes Vale do Douro, CS:Padaria Novo Cruzeiro, CS:Bonas, PH:Drogaria Moretti
2498924622; HOME; UNIT; BR; São Paulo; SP; Rua Bruna; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Chacara Mafalda; Chácara Mafalda; RESIDENTIAL; 185; 185; Comprar; 600000; 2; 1; 2; 3; 30; 03370000; Oportunidades Lucor Imoveis, lindos sobrados em condomínio fechado, 185 m² 3(três) dormitórios sendo 1(um) suite, living para 2(dois) ambientes, cozinha, área de serviço, lavabo e dois banheiros sociais, 2(duas) vagas de garagem individuais no sub solo,e terraço Gourmet, fino acabamento, piso em porcelanato polido, janelas em alumínio branco anodizado e vidros temperados e portas em madeiras, tudo isso em uma maravilhosa localização a menos de 500 mts do Shopping Anália Franco e do Hospital Victória:<br>Fácil acesso as principais vias.<br>Agende a sua visita com um de nossos corretores e venha conhecer.<br>11) ou visite o nosso site<br>www.lucorimoveis.com.br -; BS:Rua Bruna 289, BS:Avenida Montemagno 559, BS:Avenida Luca 354, BS:Rua Bruna 553, BS:Avenida Luca 586, TS:Rua Bruna 289, TS:Avenida Montemagno 559, TS:Avenida Luca 354, TS:Rua Bruna 553, TS:Avenida Luca 586, CS:Julio's Casa de Pães, CS:Padraira Total Sucesso, CS:Casa de Carnes Vale do Douro, CS:Padaria Novo Cruzeiro, CS:Bonas, PH:Drogaria Moretti
2498925922; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Chacara Mafalda; Chácara Mafalda; RESIDENTIAL; 125; 170; Comprar; 650000; 4; 1; 4; 3; 0; 03370010; Sobrado Ótimo Com 3 Dormitórios ( Sendo uma suíte ), Banheiro Social, Lavabo, Sala de 2 Ambientes, Cozinha ampla, Lavanderia, Área de serviço, Quintal Com Churrasqueira, Garagem com Salão de Festas podendo colocar 4 Carros/ Armários Planejados na Cozinha e nos Dormitórios, Acabamento em Piso Frio, Granito e Piso Laminado. Terreno de 125 M2 Com 170 Metros de Área Construída. Aceitamos Financiamento!! M/ 3.10 -; BS:Avenida Luca 354, BS:Rua Bruna 289, BS:Avenida Luca 586, BS:Avenida Luca 96, BS:Avenida Luca 861, TS:Avenida Luca 354, TS:Rua Bruna 289, TS:Avenida Luca 586, TS:Avenida Luca 96, TS:Avenida Luca 861, CS:Padraira Total Sucesso, CS:Padaria Novo Cruzeiro, CS:Bonas, CS:Casa de Carnes Vale do Douro, CS:Julio's Casa de Pães, PH:Drogaria Moretti
2499391684; APARTMENT; UNIT; BR; São Paulo; SP; Rua Paulina; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Chacara Mafalda; Chácara Mafalda; RESIDENTIAL; 55; 55; Comprar; 300000; 1; 1; 2; 2; 0; 03370040; APTOS NOVOS NA CHÁCARA MAFALDA COM 02 DORMITÓRIOS SENDO 01 SUÍTE, SALA AMPLA, COZINHA AMERICANA, BANHEIRO, LAVANDERIA E 01 VAGA DE GARAGEM, 55 M², APTOS COM PISOS EM PORCELANATO, PIAS DE GRANITO E LINDOS ACABAMENTOS, ENTREGA EM JUNHO DE 2020, LOCALIZADO PRÓXIMO À AV. LUCA, AV. SAPOPEMBA, AV. MONTEMAGNO E AV. ABEL FERREIRA, COM VISTA E RÁPIDO ACESSO AO SHOPPING ANÁLIA FRANCO, ÓTIMO LOCAL. ACEITA PROPOSTA.<br><br>---------- BOM SUCESSO IMÓVEIS ----------<br><br>ATENÇÃO: TODAS AS INFORMAÇÕES DOS IMÓVEIS ANUNCIADOS SÃO FORNECIDAS PELOS PROPRIETÁRIOS E PODEM SER ALTERADAS A QUALQUER MOMENTO SEM AVISO PRÉVIO. A BOM SUCESSO IMÓVEIS QUER OFERECER AOS NOSSOS CLIENTES UM ATENDIMENTO DEDICADO E ADEQUADO, PARA QUE CONSIGAM ENCONTRAR O QUE PROCURAM, VALORIZANDO SEMPRE O PROFISSIONALISMO, A ÉTICA, HONESTIDADE, DEDICAÇÃO E QUALIDADE DO SERVIÇO. PARA MAIS INFORMAÇÕES, ACESSE WWW.BOMSUCESSOIMOVEIS.COM.BR. NOSSA MISSÃO É PROCURAR REALIZAR OS SEUS SONHOS, VISANDO A MEDIDA CERTA PARA O SEU SUCESSO. -; BS:Avenida Luca 354, BS:Avenida Luca 586, BS:Avenida Luca 861, BS:Rua Bruna 289, BS:Avenida Luca 96, TS:Avenida Luca 354, TS:Avenida Luca 586, TS:Avenida Luca 861, TS:Rua Bruna 289, TS:Avenida Luca 96, CS:Padraira Total Sucesso, CS:Padaria Novo Cruzeiro, CS:Bonas, CS:Casa de Carnes Vale do Douro, CS:Julio's Casa de Pães, CH:Consultório Dentário, CH:Sense
2497950144; HOME; UNIT; BR; São Paulo; SP; Rua Nicola Puchetti; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Chacara Mafalda; Chácara Mafalda; RESIDENTIAL; 140; 140; Comprar; 575000; 3; 1; 3; 3; 0; 03373110; Lindo sobrado individual no bairro Vila Diva. Com 3 dormitórios, sendo 1 suíte, 1 banheiro social, sala p/ 2 ambientes, cozinha ampla, área de serviço, quintal c/ churrasqueira e 3 vagas na garagem. Aproximadamente 140 m² de área útil, acabamento de primeira, com piso porcelanato. IPTU 10 parcelas de R$120,00. Excelente localização, fácil acesso pela avenida Ver. Abel Ferreira. Próximo ao Supermercado Negreiros, Nagumo, bares, padarias, restaurantes, escolas, academias, drogarias, pontos de ônibus e a toda infraestrutura da região. Apenas 5 min do Shopping Anália Franco e da faculdade Unicsul. Documentação OK. Aceita financiamento + FGTS. - Data da Atualização:; BS:Avenida Sapopemba 3998, BS:Rua Gomes 343, BS:Avenida Sapopemba 4093, BS:Avenida Sapopemba 3809, BS:Avenida Sapopemba 3715, TS:Avenida Sapopemba 3998, TS:Rua Gomes 343, TS:Avenida Sapopemba 4093, TS:Avenida Sapopemba 3809, TS:Avenida Sapopemba 3715, CS:Bonas, CS:Padaria Novo Cruzeiro, CS:Padraira Total Sucesso, CS:Julio's Casa de Pães, CS:Casa de Carnes Vale do Douro, CH:Consultório Dentário
2499491622; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Chacara Mafalda; Chácara Mafalda; RESIDENTIAL; 140; 140; Comprar; 589000; 3; 1; 2; 3; 0; ; Lindo sobrado bem localizado no bairro Vila Diva. Com 3 dormitórios, sendo 1 suíte, 2 banheiros sociais, sala p/ 2 ambientes, cozinha ampla, área de serviço, quintal c/ churrasqueira e 3 vagas na garagem. Área construída 140 m². acabamento de primeira, com piso porcelanato. Excelente localização, fácil acesso pela Avenida Ver. Abel Ferreira. Próximo a Supermercados, padarias, restaurantes, escolas, academias, drogarias, pontos de ônibus e a toda infraestrutura da região. Apenas 5 min do Shopping Anália Franco e da faculdade Unicsul. Documentação OK. Aceita financiamento com o seu FGTS. AGENDE AGORA MESMO SUA VISITA!!! - Data da Atualização:; BS:Avenida Sapopemba 3381, BS:Avenida Sapopemba 3280, BS:Avenida Sapopemba 3207, BS:Avenida Montemagno 958, BS:Avenida Montemagno 1021, TS:Avenida Sapopemba 3381, TS:Avenida Sapopemba 3280, TS:Avenida Sapopemba 3207, TS:Avenida Montemagno 958, TS:Avenida Montemagno 1021, CS:Padaria Novo Cruzeiro, CS:Bonas, CS:Padraira Total Sucesso, CS:Casa de Carnes Vale do Douro, CS:Julio's Casa de Pães, CH:Consultório Dentário
2498593136; CONDOMINIUM; UNIT; BR; São Paulo; SP; Rua Nossa Senhora dos Anjos; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Chacara Mafalda; Chácara Mafalda; RESIDENTIAL; 93; 93; Comprar; 560000; 2; 1; 3; 3; 150; 03370055; SOBRADOS EM CONDOMÍNIO FECHADO NA CHÁCARA MAFALDA COM 03 DORMITÓRIOS SENDO 01 SUÍTE COM SACADA, BANHEIRO, SALA PARA 02 AMBIENTES, LAVABO, COZINHA, LAVANDERIA, QUINTAL E 02 VAGAS DE GARAGEM COBERTAS NO SUBSOLO.SOBRADOS COM ÓTIMOS ACABAMENTOS.LOCALIZADO PRÓXIMO À AV. SAPOPEMBA E R. FLÓRIO, ÓTIMO LOCAL. ACEITA PERMUTA. VENDE OU ALUGA.<br><br>Entre agora em contato com um de nossos corretores de plantão e venha ter essa oportunidade!!!<br><br>Valor e disponibilidade sujeito a alteração sem aviso prévio. Consulte-nos!!!<br><br>A Lopes Fração Consultoria Imobiliária agradece a sua visita. A sua imobiliária com tecnologia de ponta sem perder o atendimento humanizado, entender para atender, conte sempre com a gente. -; BS:Avenida Sapopemba 3112, BS:Avenida Sapopemba 3013, BS:Avenida Sapopemba 3207, BS:Avenida Sapopemba 3280, BS:Avenida Luca 96, TS:Avenida Sapopemba 3112, TS:Avenida Sapopemba 3207, TS:Avenida Sapopemba 3013, TS:Avenida Sapopemba 3280, TS:Avenida Luca 96, CS:Padaria Novo Cruzeiro, CS:Bonas, CS:Padraira Total Sucesso, CS:Casa de Carnes Vale do Douro, CS:Julio's Casa de Pães, CH:Consultório Dentário
