IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2443628279; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Cupecê; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Cidade Ademar; Cidade Ademar; RESIDENTIAL; 0; 68; Comprar; 310000; 1; 0; 2; 3; 550; 04366001; IMÓVEL VAGO, PRONTO PARA MUDAR - ISENTO DE IPTU Apartamento com 3 dormitórios, sendo 2 deles com armários planejados, cozinha planejada, aquecimento do chuveiro à gás, fiação elétrica nova com aterramento, isento de IPTU. Condomínio amplo e arborizado, com parquinhos, 2 quadras poliesportivas, 2 churrasqueiras e um salão de festas por bloco. Segurança 24h, feira livre dentro do condomínio às sextas-feiras. Excelente localização, próximo ao terminal Diadema. Fácil acesso à Rodovia dos Imigrantes, Anchieta, transporte público, mercado, shopping e comércio. Fora da zona de rodízio municipal.; BS:Estação de Transferência Jardim Miriam, BS:Ponto final linha 5290-10, BS:Av. Garcia de Ávila, BS:Praça do Jardim Miriam, BS:Avenida Brás de Abreu, 70, TS:Estação de Transferência Jardim Miriam, TS:Ponto final linha 5290-10, TS:Av. Garcia de Ávila, TS:Praça do Jardim Miriam, TS:Avenida Brás de Abreu, 70, CS:Rio Minas Carnes, CS:Suellen Carnes, CS:Panificadora Jardim Miriam, CS:Tennessee, CS:Padaria Santo Afonso, PH:Drogaria Quarteirão da Saúde
2441937879; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Cupecê; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Cidade Ademar; Cidade Ademar; RESIDENTIAL; 0; 70; Comprar; 340000; 1; 1; 2; 3; 560; 04365000; Localizado a 5km da futura estação do Metrô Congonhas, e localizado a 5km do aeroporto de Congonhas, esse Apartamento oferece conforto e ambiente familiar na melhor localização de São Paulo. Prédio novo com conceito clube, quadra poliesportiva, academia moderna, salão de festas e churrasqueira. Uma excelente oportunidade ainda para investidores, dada a proximidade ao aeroporto e grande procura pelos profissional das companhias aéreas para locação. Rua arborizada, com padaria e farmácia a 2 quadras do edifício.; BS:Parada Vila Canaã, BS:Parada Pq. do Nabuco, BS:Parada Djalma Franco, BS:Parada Rubens Facchini, BS:Parada Vila Celeste, TS:Parada Vila Celeste, TS:Parada Jd. Prudência, TS:Parada Rodrigues Montemor, TS:Av. Interlagos, 1661, TS:Shopping Interlagos, CS:Bandeirantes V, CS:Panificadora Sta Catarina, CS:Max Carnes, CS:Nova Bagdá Carnes e Rotisserie, CS:Orqúidea Ouro, PH:Bifarma, PH:Poupa Farma, PH:Farmácia Ândira, PH:Drogaria São Paulo
2498809941; HOME; UNIT; BR; São Paulo; SP; Travessa Luigi Bassi; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Cidade Ademar; Cidade Ademar; RESIDENTIAL; 144; 144; Comprar; 290001; 4; 3; 4; 3; 0; 04407115; Sobra de 144 metros, com 3 suítes, 4 vagas, 4 banheiros, próximo a posto de saúde, ama, padaria, farmácia.<br><br>Ótima acessibilidade, próximo ao corredor ABCD, ponto de ônibus, transporte para centro, diadema, aeroporto, vário locais de São Paulo.<br><br>Aceita permuta com apartamento 2 dormitórios, com sacada, 2 banheiros.<br>Anúncio do corretor de imóveis Valdirene Gomes de Alcantara Marins CRECI: 187020; BS:Parada Públio Pimentel, BS:Parada Rio Grande do Sul, BS:Parada Rodrigues Montemor, BS:Parada Santo Afonso, BS:Parada Paulo Albernaz, TS:Parada Públio Pimentel, TS:Parada Rio Grande do Sul, TS:Parada Rodrigues Montemor, TS:Parada Santo Afonso, TS:Parada Brás de Abreu, CS:Padaria Santo Afonso, CS:Master Carnes, CS:Padaria Bom Vizinho, CS:Max Carnes, CS:Tennessee, PH:Bifarma
2487025362; HOME; UNIT; BR; São Paulo; SP; Rua Maria Polidório; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Cidade Ademar; Cidade Ademar; RESIDENTIAL; 150; 110; Comprar; 320000; 2; 1; 3; 3; 0; 04416240; Sobrado distribuido, parte de baixo são duas salas, cozinha, dois quartos (sendo 1 suíte) e um banheiro. Na parte de cima parte de cima tem 2 quartos e 1 banheiro, fundos é uma lavanderia e em cima tem a laje. LIGUE E AGENDE SUA VISITA COM NOSSOS CORRETORES -; BS:Parada Brás de Abreu, BS:Avenida Brás de Abreu, 70, BS:Avenida Brás de Abreu, BS:Praça do Jardim Miriam, BS:Av. Garcia de Ávila, TS:Parada Brás de Abreu, TS:Avenida Brás de Abreu, 70, TS:Avenida Brás de Abreu, TS:Praça do Jardim Miriam, TS:Av. Garcia de Ávila, CS:Tennessee, CS:Panificadora Jardim Miriam, CS:Suellen Carnes, CS:Rio Minas Carnes, CS:Padaria Santo Afonso, VP:Love Pets Clinica Veterinária e Pet Shop
2498535205; HOME; UNIT; BR; São Paulo; SP; Rua do Espigão; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Cidade Ademar; Cidade Ademar; RESIDENTIAL; 96; 136; Alugar/Comprar; 2000; 3; 2; 4; 3; 0; 04405190; Sobrado para locação ou venda próximo ao Colégio México e à Delegacia da Vila Joaniza, fácil acesso para as Avenida Cupecê e Yervant Kissajikian.<br><br>Imóvel grande com 3 dormitórios, sendo 2 suítes na parte de cima. Piso de baixo com sala para 2 ambientes com lavabo e cozinha. Parte externa do imóvel com corredor lateral, quintal com churrasqueira, lavanderia, lavabo e garagem coberta subterrânea/salão de festas com 3 vagas de garagem. 136m² de área construída.<br><br>Casa inteira com piso de cerâmica, cozinha e banheiros com gabinete.<br><br>Para locação a garantia aceita é Seguro fiança. <br><br>Para alugar o imóvel é necessário não ter restrição cadastral no SPC/SERASA (nome limpo).<br><br>Visite nosso site e agende uma visita online a este imóvel; BS:Parada Rodrigues Montemor, BS:Parada Paulo Albernaz, BS:Parada Públio Pimentel, BS:Parada Rubens Facchini, BS:Parada Rio Grande do Sul, TS:Parada Rodrigues Montemor, TS:Parada Públio Pimentel, TS:Parada Rio Grande do Sul, TS:Parada Santo Afonso, TS:Avenida Brás de Abreu, CS:Master Carnes, CS:Padaria Bom Vizinho, CS:Max Carnes, CS:Padaria Santo Afonso, CS:Tennessee Loja de Carnes - Loja Missionária, PH:Bifarma
2498009683; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Cidade Ademar; Cidade Ademar; RESIDENTIAL; 120; 70; Comprar; 250000; 1; 1; 2; 3; 360; 04416080; Apartamento á venda, com 3 dormitórios, 1 suíte, sala, cozinha e área de serviço, Garagem fixa e coberta, Água e gás individualizados. IPTU Isento. Bem próximo da Av. Cupêce, próximo de escolas, padarias e supermercados diversos. Opções de transporte público próximo ao imóvel, e fácil acesso as principais vias. -; BS:Parada Santo Afonso, BS:Parada Brás de Abreu, BS:Avenida Brás de Abreu, 70, BS:Parada Rio Grande do Sul, BS:Avenida Brás de Abreu, TS:Parada Santo Afonso, TS:Parada Brás de Abreu, TS:Avenida Brás de Abreu, 70, TS:Parada Rio Grande do Sul, TS:Avenida Brás de Abreu, CS:Padaria Santo Afonso, CS:Tennessee, CS:Panificadora Jardim Miriam, CS:Suellen Carnes, CS:Rio Minas Carnes, VP:Love Pets Clinica Veterinária e Pet Shop
2445348978; APARTMENT; UNIT; BR; São Paulo; SP; Rua Antônio Gil; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Cidade Ademar; Cidade Ademar; RESIDENTIAL; 48; 48; Comprar; 305000; 1; 0; 1; 2; 450; 04655000; Com 48 m² útil, recém reformado, 2 dormitórios com janelas anti-ruído, (1 com armários), banheiro social, living para 2 ambientes com paredes em canjiquinha, teto rebaixado com sancas e luz em LED, sacada envidraçada, cozinha americana com móveis planejados Todeschini, área serviço, garagem coberta e lazer; Fácil acesso as principais ruas e avenidas, a escolas, hipermercados como Extra e Big, aos shoppings Interlagos e SP Marketing. Agende uma visita ou tire suas dúvidas. Com a Nova São Paulo a compra do seu imóvel é mais segura. Oferecemos assessoria gratuita em financiamento imobiliário, orientando o cliente em todo o processo de negociação.; BS:Av. Interlagos, 1661, BS:Shopping Interlagos, BS:Parada Pq. do Nabuco, BS:Parada Vila Canaã, BS:Parada Rubens Facchini, TS:Av. Interlagos, 1661, TS:Shopping Interlagos, TS:Av. Interlagos, 2729, TS:Cemitério do Campo Grande, TS:Av. Interlagos, 3060, CS:Belfort Panificadora, CS:Panificadora Bandeirantes, CS:Bandeirantes V, CS:Max Carnes, CS:Master Carnes, PH:Bifarma
2439362675; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Rua Amador Lourenço; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Cidade Ademar; Cidade Ademar; RESIDENTIAL; 239; 239; Comprar; 520000; 3; 2; 3; 4; 0; 04658120; IMPECAVEL ! 4 DORMITORIOS-3 BANHEIROS-ENTRADA-LATERAL COBERTA E ILUMINADA COM PLACAS DE POLICARBONATO-ESCRITÓRIO-COPA/COZINHA-3 VAGAS COBERTAS DE GARAGEM. AGENDE A VISITA COM UM DE NOSSOS CORRETORES. VALE A PENA !!; BS:Av. Interlagos, 1661, BS:Shopping Interlagos, BS:Parada Pq. do Nabuco, BS:Parada Rubens Facchini, BS:Parada Vila Canaã, TS:Av. Interlagos, 1661, TS:Shopping Interlagos, TS:Av. Interlagos, 2729, TS:Parada Vila Celeste, TS:Av. Interlagos, 3060, CS:Belfort Panificadora, CS:Panificadora Bandeirantes, CS:Bandeirantes V, CS:Max Carnes, CS:Master Carnes, PH:Bifarma
2492501969; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Cidade Ademar; Cidade Ademar; RESIDENTIAL; 80; 90; Comprar; 550000; 2; 1; 3; 3; 0; ; Sobrado com 3 dormitórios e 1 suite 2 vagas. Localização privilegiada. [Estuda Permuta menor valor]. Sobrado novo, sala com piso em porcelanato, quartos com piso laminado e janelas de alumínio, cozinha americana com pia em mármore e piso em porcelanato, lavanderia, lavabo, área de serviço e churrasqueira. Um local ideal para morar, com infraestrutura completa e fácil acesso às avenidas Vereador João de Luca, Professor Vicente Rao, Jornalista Roberto Marinho e Washington Luís. Fica próximo do Shopping Ibirapuera, Interlagos e Aeroporto de Congonhas. O bairro é das áreas que mais se valorizam em São Paulo e vem crescendo a cada dia. As suas ruas arborizadas. Observação: em construção - Previsão de entrega para junho de 2020.; BS:Parada Rodrigues Montemor, BS:Parada Paulo Albernaz, BS:Parada Públio Pimentel, BS:Parada Rubens Facchini, BS:Parada Rio Grande do Sul, TS:Parada Rodrigues Montemor, TS:Parada Públio Pimentel, TS:Parada Rio Grande do Sul, TS:Parada Santo Afonso, TS:Avenida Brás de Abreu, CS:Master Carnes, CS:Padaria Bom Vizinho, CS:Max Carnes, CS:Nova Bagdá Carnes e Rotisserie, CS:Flor da Catarina Pães e Doces, PH:Bifarma
2497807317; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Cupecê; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Cidade Ademar; Cidade Ademar; RESIDENTIAL; 69; 69; Comprar; 449000; 1; 1; 2; 2; 740; 04366000; Cada imóvel anunciado pela Loft Market conta com informações atualizadas diariamente, fotos profissionais dos ambientes e matrícula do imóvel revisada, além de valores calculados com o auxílio de uma ampla base de dados alimentada por milhares de preços reais de imóveis nas regiões onde a Loft atua, oferecendo a você a oportunidade de fazer um grande negócio. Além disso, todos os apartamentos cadastrados em nossa plataforma possuem uma sugestão de reforma caso você queira renovar o seu novo lar com a ajuda do expertise da Loft e acabamentos de alto padrão. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.<br><br>Código do Anúncio: 5101_82249<br>; BS:Parada Vila Canaã, BS:Parada Pq. do Nabuco, BS:Parada Djalma Franco, BS:Parada Rubens Facchini, BS:Parada Vila Celeste, TS:Parada Vila Celeste, TS:Parada Jd. Prudência, TS:Parada Rodrigues Montemor, TS:Av. Interlagos, 1661, TS:Shopping Interlagos, CS:Bandeirantes V, CS:Panificadora Sta Catarina, CS:Max Carnes, CS:Nova Bagdá Carnes e Rotisserie, CS:Orqúidea Ouro, PH:Bifarma, PH:Poupa Farma, PH:Farmácia Ândira
