IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2499474003; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Cidade Lider; Cidade Líder; RESIDENTIAL; 83; 100; Comprar; 340000; 2; 0; 2; 3; 0; 08285230; Sobrado Frontal, Cidade Líder<br><br>03 dormitórios sendo 01 com sacada, sala, cozinha com móveis planejados, lavabo, banheiro social com box de vidro, área de serviço e com 02 vagas de garagem.<br><br>Próximo ao Colégio Escrevivendo, CEI Diret Celso Daniel, Supermercado Bengala, Padaria Big Pão, Banco Itaú entre outros.<br><br>Fácil acesso a Avenida Líder, Avenida Itaquera com fácil acesso à Radial Leste e estação Corinthians-Itaquera do metrô, com farto comércio na região. -; TS:Corinthians-Itaquera, TS:Corinthians- Itaquera, TS:Artur Alvim, CS:Caprichosa, CS:Bimba Pães Ultracongelados, CS:Panificadora Jardim Brasilia, CS:Center Carnes Wavef, CS:Padaria Renacer, PH:Ultra Leste Drogarias, VP:Omegavet
86131883; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Rua Orlando Pellicci; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Cidade Lider; Cidade Líder; RESIDENTIAL; 110; 110; Comprar; 430000; 2; 1; 2; 3; 0; 08280650; SOBRADO EM CONDOMINIO FECHADO NO BAIRRO CIDADE LIDER BOA LOCALIZACAO PROXIMO A AVENIDA LIDER, A DELEGACIA 66, MISTER SHEIKE, AVENIDA ITAQUERA, AVENIDA MARIA LUIZA AMERICANO.<br><br> COM 03 DORMITORIOS SENDO 01 SUITE, SALA 03 AMBIENTES, COZINHA PLANEJADA, LAVANDERIA QUINTAL COM CHURRASQUEIRA, TOLDO RETRATIL NO QUINTAL, SOTON E 02 VAGAS DE GARAGEM.<br><br>AREA TOTAL: 110 M²<br><br>VALOR DA VENDA: R$ 430.000,00<br><br>DOCUMENTACAO OK; CS:Caprichosa, CS:Bimba Pães Ultracongelados, CS:Panificadora Jardim Brasilia, CS:Center Carnes Wavef, CS:Hot Brad Pães Ultracongelados, PH:Ultra Leste Drogarias, VP:Omegavet, SC:Bengala, SC:Atacadista SETA, SC:Vila Rubio, SC:Mercado Brasilia, SC:Bazar Borgues
2499290323; HOME; UNIT; BR; São Paulo; SP; Rua Isaar Carlos de Camargo; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Cidade Lider; Cidade Líder; RESIDENTIAL; 5; 110; Comprar; 320000; 2; 1; 3; 3; 0; 08280040; sobrado frontal Cidade Líder, 3 dormitórios, 1 suíte, 2 vagas,<br><br>3 Quartos <br>3 Banheiros sendo 1 suíte <br>Sala com 2 ambientes <br>2 vagas <br>Corredor lateral e quintal aberto no fundo <br>5x35<br>Aceita Permuta por Apartamento em Artur Alvim médio ou grande <br>próximo Supermercado bengala , ponto de Ônibus , escolas , comércios em gerais<br><br>so a vista - Data da Atualização:; TS:Artur Alvim, TS:Corinthians-Itaquera, TS:Corinthians- Itaquera, CS:Bimba Pães Ultracongelados, CS:Caprichosa, CS:Panificadora Jardim Brasilia, CS:Center Carnes Wavef, CS:Hot Brad Pães Ultracongelados, PH:Ultra Leste Drogarias, VP:Omegavet
2499342745; CONDOMINIUM; UNIT; BR; São Paulo; SP; Rua Casimiro Nisskiniz; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Cidade Lider; Cidade Líder; RESIDENTIAL; 65; 65; Comprar; 268000; 1; 2; 3; 2; 70; 08285200; Casa em condomínio fechado, bem localizado próximo ao metrô, padaria 24 horas Big Pão e Caprichosa, Itaú, mercado Bengala. A 3 minutos da farmácia Drogasil, a 5 minutos do Extra, Assai, MC Donalds e Habbis, cerca de 6 minutos do metrô Artur Alvim e Itaquera, próximo ao shopping Aricanduva e com acesso as principais vias da região. Casa reformada com porcelanato 80x80 na parte de baixo e laminado nos dormitórios, cozinha com mármore São Gabriel e armários planejados. Sala com sanca, iluminação de LED e parede com revestimento em gesso 3D. Duas suítes com móveis planejados(dormitórios e banheiros) uma delas com sacada e ar condicionado inverter de 12 btus, Lavabo com papel de parede lavável e móvel planejado.<br>Área de serviço com móvel planejado porcelanato que imita madeira, churrasqueira gourmet e cobertura retrátil. Condomínio com cerca elétrica e sistema de monitoramento de câmeras mobile.; TS:Corinthians-Itaquera, TS:Corinthians- Itaquera, TS:Artur Alvim, CS:Caprichosa, CS:Bimba Pães Ultracongelados, CS:Panificadora Jardim Brasilia, CS:Center Carnes Wavef, CS:Padaria Renacer, PH:Ultra Leste Drogarias, VP:Omegavet
2499476094; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Cidade Lider; Cidade Líder; RESIDENTIAL; 70; 87; Comprar; 380000; 3; 1; 2; 3; 0; 08280107; Sobrado frontal com 87 m², de área útil, na Cidade Lider, com 03 dormitórios sendo uma suíte com sacada, e ar condicionado, sala, jardim de inverno, lavabo, cozinha com armários planejados e vaga para 03 automóveis, sendo 1 coberta e portão automático.<br><br>Imóvel com ótima localização, travessa da Av. Maria Luiza Americano, muito próximo do Parque do Carmo, cerca de 10 minutos a pé.<br><br>Fácil acesso a Radial Leste, Jacú-Pêssego, Rodoanel , Shopping Aricanduva, e muito mais. Condução farta para o Metrô Artur Alvim.<br><br>Próximo a comércios em geral, e supermercados, padaria, açougue, farmácias, escolas públicas e privadas e feira livre.<br><br>Aceita financiamento e uso do FGTS. - -; TS:Corinthians- Itaquera, TS:Corinthians-Itaquera, CS:Caprichosa, CS:Bimba Pães Ultracongelados, VP:Omegavet, SC:Leste Casa & Construção, SC:Med Sam, SC:Bengala
2498559874; CONDOMINIUM; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Cidade Lider; Cidade Líder; RESIDENTIAL; 56; 56; Comprar; 230000; 1; 0; 2; 2; 0; ; Lindo sobrado em condomínio, no bairro Cidade Líder. Com 2 dormitórios, sala, Banheiro, lavabo, cozinha, área de serviço e 1 vaga de garagem. Fácil acesso a Av. Maria Luíza Americano e Av. Líder. Próximo ao metrô Corinthians - Itaquera, PQ. Do Carmo, Academia A.C.M. mercados. Aceita financiamento com o seu FGTS.<br>Agende sua visita sem compromisso. Falar com Corretor Denis - Data da Atualização:; TS:Corinthians-Itaquera, TS:Corinthians- Itaquera, CS:Caprichosa, CS:Bimba Pães Ultracongelados, CS:Panificadora Jardim Brasilia, CS:Center Carnes Wavef, CS:Hot Brad Pães Ultracongelados, PH:Ultra Leste Drogarias, VP:Omegavet
2497899983; HOME; UNIT; BR; São Paulo; SP; Rua Júlio Rodrigues Meleiros; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Cidade Lider; Cidade Líder; RESIDENTIAL; 90; 75; Comprar; 330000; 2; 2; 2; 2; 0; 08285100; Sobrados Frontais e Individuais Novos , Documento pronto para financiar , 02 Vagas de Garagem , Sala ampla , Lavabo, Cozinha , área de serviço e quintal nos fundos , 02 Dormitórios ( sendo os 02 Suítes ) dormitório frontal com sacada. Excelente acabamento piso frio e Porcelanato , Próximo a Avenida Lider e Centro de Itaquera. Unidades 30 e 34 02 suítes 330.000,00, Unidade 28 02 suítes 340.000,00, Unidade 26 02 suítes 350.000,00.; TS:Corinthians-Itaquera, TS:Corinthians- Itaquera, CS:Caprichosa, CS:Bimba Pães Ultracongelados, VP:Omegavet, SC:Leste Casa & Construção, SC:Bengala, SC:Med Sam, SC:Moderna Planejados, SC:Atacadista SETA
2499475577; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Cidade Lider; Cidade Líder; RESIDENTIAL; 68; 68; Comprar; 310000; 1; 1; 1; 2; 0; 03578010; Sobrado Frontal na região do Jardim Itapema- Cidade Líder<br><br>Sobrado composto na parte de superior por: 2 dormitórios amplos sendo 1 suíte, mais 1 banheiro na parte superior e dormitório com sacada. Na parte de inferior composto por: sala ampla, lavabo, cozinha ampla, e uma lavanderia espaçosa como um quintal. <br><br>Localizado a 500 metros da Avenida Aricanduva, 1 km do Shopping Aricanduva, 1 km da Avenida Waldemar Carlor Pereira altura do numero 2165, onde possui um farto comercio tanto na Av Waldemar Carlos Pereira como na Avenida Aricanduva tais como: Ragazzo, Restaurante Zé Leite, Chama Supermercado, UBS Vila Itapema, CEI Indir Jardim IPanema I, EE Professora Maria José Barone Fernandes, Assaí Atacadista Aricanduva. <br><br>Documentação em ordem para financiamento. <br><br>Agende uma visita com um de nossos corretores. -; BS:Parada E.E. Professor Moacyr Campos, BS:Terminal Vila Carrao, TS:Terminal Vila Carrao, CS:Brikos, CS:Padaria Célia, CS:Center Carnes Wavef, CS:Panificadora Jardim Brasilia, PH:Ultra Leste Drogarias, PH:Drogaria Nova Mille
2499392228; HOME; UNIT; BR; São Paulo; SP; Rua Fernandes Tenório; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Cidade Lider; Cidade Líder; RESIDENTIAL; 5; 180; Comprar; 615000; 2; 1; 3; 3; 0; 08280140; Sobrado Cidade Líder, 3 dormitórios, 1 suíte, 2 vagas, 180 m, 5x32 m<br><br>3 dormitórios <br>3 Banheiros sendo 1 suiíte <br>Sala <br>Cozinha <br>Área de serviço <br>Churrasqueira com salão de festa <br>2 vagas <br>Portão Automático <br><br>Próximo Supermercados , Ponto de Ônibus para o metrô Artur Alvim , Escolas , Hospitais , comércios em gerais <br><br>Aceita FGTS , Financiamento e Avista - Data da Atualização:; CS:Caprichosa, CS:Bimba Pães Ultracongelados, CS:Panificadora Jardim Brasilia, CS:Center Carnes Wavef, CS:Hot Brad Pães Ultracongelados, PH:Ultra Leste Drogarias, VP:Omegavet, SC:Bengala, SC:Med Sam, SC:Atacadista SETA, SC:Vila Rubio, SC:Bazar Borgues
2448611685; HOME; UNIT; BR; São Paulo; SP; Avenida Antônio de Sousa Queiroz; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Cidade Lider; Cidade Líder; RESIDENTIAL; 265; 200; Comprar; 390000; 4; 1; 2; 4; 1; 08280340; vendo sobrado de 4 dorm salas jantar/estar 4 vgs construção bem resistente localizado entre Parque do Carmo e Metro Itaquera onibus na porta quintal grande espaço pra piscina. estudo proposta preço muda.$390.000,00; CS:Caprichosa, CS:Bimba Pães Ultracongelados, CS:Panificadora Jardim Brasilia, CS:Center Carnes Wavef, PH:Ultra Leste Drogarias, VP:Omegavet, SC:Med Sam, SC:Bengala, SC:Leste Casa & Construção, SC:Atacadista SETA, SC:Vila Rubio
