IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2496984577; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Cidade Tiradentes; Cidade Tiradentes; RESIDENTIAL; 47; 47; Comprar; 165000; 0; 0; 1; 2; 0; 08490560; Apartamento de 47 m² com 2 dormitórios, sala, cozinha, área de serviço, 1 Wc e 1 Vaga na Garagem.<br><br>Lazer completo<br>Portaria 24 h.<br>Ótima localização<br>Aceita financiamento.; CS:Santa Etelvina Pães Doces, CS:Casa De Carnes Canaã, SU:E.M.E.F. Vereadora Anna Lanberga Zéglio, SU:Salgado, SU:CEI NOSSA SENHORA DO DIVINO PRANTO, SU:Escola Municipal de Educação Profissional e Saúde Pública Professor Makiguti, SU:EMEF Aureliano Leite, SC:Quiosquer, SC:Belly, SC:Larissa, BR:Toque de Arte, BR:Restaurante Bom Paladar - Self Service, BR:Restaurante Trancoso
2493987687; APARTMENT; UNIT; BR; São Paulo; SP; Rua Igarapé Água Azul; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Cidade Tiradentes; Cidade Tiradentes; RESIDENTIAL; 0; 44; Comprar; 170000; 1; 0; 1; 2; 250; 08485310; Apartamento com:<br>2 dormitórios;<br>Sala;<br>Cozinha;<br>Banheiro;<br>Área de serviço;<br>Garagem Descoberta.<br><br>ÓTIMA LOCALIZAÇÃO<br>Esquina com o CEU ÁGUA AZUL e Av. Metalúrgicos, uma das vias principais na Cidade Tiradentes;<br>Fácil acesso ao TERMINAL CIDADE TIRADENTES;<br>Próximo ao HOSPITAL Cidade Tiradentes;<br><br>O apartamento está localizado no bairro Conjunto Habitacional Santa Etelvina II possui 44 metros quadrados com 2 quartos e 1 banheiro<br>Possui salão de festas;<br>Vai lhe possibilitar praticar diversos esportes na quadra poliesportiva;<br>Churrasqueira para você aproveitar nos momentos de descontração;<br>Fica em um condomínio fechado;<br>Elevador que garante o transporte das suas malas e compras.<br><br>Documentação em ordem, fazemos todo processo junto aos bancos!<br><br>Avalie seu perfil financeiro e agende sua visita!<br><br>Dan Cestaro<br>Creci 210.823; CS:Santa Etelvina Pães Doces, CS:Casa De Carnes Canaã, SC:Larissa, SC:Belly, SC:Quiosquer, SU:E.M.E.F. Vereadora Anna Lanberga Zéglio, SU:CEI NOSSA SENHORA DO DIVINO PRANTO, SU:Escola Municipal de Educação Profissional e Saúde Pública Professor Makiguti, SU:Fernando Pessoa, SU:Salgado, BR:Restaurante Bom Paladar - Self Service, BR:Restaurante Trancoso, BR:Toque de Arte
2498373386; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Rua Júlio Hugo Biocati; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Cidade Tiradentes; Cidade Tiradentes; RESIDENTIAL; 131; 125; Comprar; 135500; 2; 2; 3; 3; 0; 08471240; O sobrado no bairro Cidade Tiradentes tem 125 metros quadrados com 3 quartos sendo 2 suites e 3 banheiros<br>Possui lareira.<br>Vai lhe possibilitar todo o conforto do ar condicionado nos dias mais quentes.Já está com os móveis.VALOR DO ANUNCIO+FINANCIAMENTO; CS:Casa De Carnes Canaã, CS:Santa Etelvina Pães Doces, BR:Restaurante Trancoso, BR:Restaurante Bom Paladar - Self Service, BR:Toque de Arte, SU:Fernando Pessoa, SU:Escola Municipal de Educação Profissional e Saúde Pública Professor Makiguti, SU:CEI NOSSA SENHORA DO DIVINO PRANTO, SU:EMPG VLADIMIR HERZOG, SU:EMEI Klaus Reinach, SC:Larissa, SC:Belly, SC:Quiosquer
2498783953; HOME; UNIT; BR; São Paulo; SP; Rua Folclore Infantil; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Cidade Tiradentes; Cidade Tiradentes; RESIDENTIAL; 160; 140; Comprar; 269901; 2; 0; 2; 3; 0; 08370450; Casa com 2 dormitório, sala, cozinha e banheiro no piso terreo, no piso superior 1 casa com sala cozinha e 1 dormitório. próximo as principais vias de acesso, comercio local diversificado. Ótima mobilidade com transporte publico.<br>Anúncio do corretor de imóveis Gledson Munhoz Rodrigues CRECI: 182404; 
2491123904; HOME; UNIT; BR; São Paulo; SP; Rua Apóstolo João; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Cidade Tiradentes; Cidade Tiradentes; RESIDENTIAL; 378; 378; Comprar; 460000; 4; 1; 8; 8; 0; 08475200; Sobrado pra renda. Bairro Cidade Tiradentes São 8 casas todas alugadas renda por mês 4.000,00 água e Luz individuais todas no piso, Banheiros revestidos portas e janelas todas de alumínio (Janelas todas c/ Grades) toda as casas com caixa dágua, Áreas de serviços individuais Casa recém construída. Rua larga ótima localização documentação ok para mais informações entrar em contatoSobrado pra renda. Bairro Cidade Tiradentes São 8 casas todas alugadas renda por mês 4.000,00 água e Luz individuais todas no piso, Banheiros revestidos portas e janelas todas de alumínio (Janelas todas c/ Grades) toda as casas com caixa dágua, Áreas de serviços individuais Casa recém construída. Rua larga ótima localização documentação ok - Ref.: 170-IM489437; CS:Santa Etelvina Pães Doces, CS:Casa De Carnes Canaã, SC:Quiosquer, SC:Belly, SC:Larissa, BR:Toque de Arte, BR:Restaurante Bom Paladar - Self Service, BR:Restaurante Trancoso, SU:E.M.E.F. Vereadora Anna Lanberga Zéglio, SU:Salgado, SU:EMEF Aureliano Leite, SU:EMEI Klaus Reinach, SU:CEI NOSSA SENHORA DO DIVINO PRANTO
2498262011; BUSINESS; UNIT; BR; São Paulo; SP; Rua Arnaldo Bonaventura; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Cidade Tiradentes; Cidade Tiradentes; COMMERCIAL; 125; 130; Comprar; 480000; 0; 0; 2; 3; 0; 08470210; Casa - Sobrado Comercial (05 x 25 metros de terreno / 130m2 area construida). Localizada no melhor ponto comercial do Bairro Cidade Tiradentes na mesma rua tem os comércios: Escolas Wizard, CNA, Cruzeiro do Sul, Instituto Embelleze e La Femme, Padaria, Lanchonetes, Pizzarias, Lojas de Roupas, Clinicas Odontológicas e outros. Casas Bahia, Marabras, Lojas Cem, Academia Smart Fit e Mc Donald aqui no bairro.<br><br>Você investidor terá seu negócio em um ótimo ponto e com um bairro de grande potencial consumidor e ascensão econômica e próximo a futura Estação Cidade Tiradentes (linha prata) com previsão de inauguração em 2022.<br><br>Local: Rua Arnaldo Bonaventura, 447 (paralela a Avenida dos Metalúrgicos); CS:Santa Etelvina Pães Doces, CS:Casa De Carnes Canaã, SU:E.M.E.F. Vereadora Anna Lanberga Zéglio, SU:CEI NOSSA SENHORA DO DIVINO PRANTO, SU:Escola Municipal de Educação Profissional e Saúde Pública Professor Makiguti, SU:Salgado, SU:Fernando Pessoa, SC:Belly, SC:Quiosquer, SC:Larissa, BR:Toque de Arte, BR:Restaurante Bom Paladar - Self Service, BR:Restaurante Trancoso
2488789953; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Cidade Tiradentes; Cidade Tiradentes; RESIDENTIAL; 50; 50; Comprar; 105000; 1; 0; 1; 2; 50; ; ADQUIRA JÁ SEU APARTAMENTO!!!<br>O imóvel que você procura encontra aqui, confira:<br><br>Apartamento com Planta de 50m² (área útil), em uma distribuição de: 02 Dormitórios, Cozinha, Sala de Estar, 01 Banheiro e Área de Serviço. <br><br>-01 Vaga de Garagem;<br><br>Condomínio Dispõe de Interfone e Portão Eletrônico.<br><br>Ótima Localização, com fácil acesso à toda infra-estrutura que a região oferece: Transportes Coletivo, Terminal Cidade Tiradentes, Próximo a Escolas, Supermercados e toda Infra-Estrutura comercial, tudo bem pertinho do seu imóvel!<br><br>-Aceita Financiamento Bancário em até 80% pela CEF ou em outros Bancos (à escolha do cliente);<br>-Uso do seu FGTS como (Entrada);<br><br>Venha Conhecer Sua Nova Moradia hoje mesmo. Agende sua visita com um dos nossos consultores.<br>Fale conosco: -; CS:Casa De Carnes Canaã, CS:Santa Etelvina Pães Doces, SC:Larissa, SC:Belly, SC:Quiosquer, BR:Restaurante Trancoso, BR:Restaurante Bom Paladar - Self Service, SU:Fernando Pessoa, SU:Escola Municipal de Educação Profissional e Saúde Pública Professor Makiguti, SU:CEI NOSSA SENHORA DO DIVINO PRANTO, SU:EMPG VLADIMIR HERZOG, SU:EMEI Klaus Reinach
2496483811; APARTMENT; UNIT; BR; São Paulo; SP; Rua Rei Davi; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Cidade Tiradentes; Cidade Tiradentes; RESIDENTIAL; 44; 44; Comprar; 62098; 0; 0; 1; 2; 0; 08471730; LEIA ATENTAMENTE A DESCRIÇÃO DO ANUNCIO.<br><br>Somos uma empresa credenciada junto CAIXA ECONOMICA FEDERAL, especializada na intermediação de venda dos imóveis de propriedade da CAIXA. Imóveis com até 60% desconto.<br><br>Se houver dívidas de condomínio e IPTU, tudo será pago pela CAIXA economica Federal até a data da aquisição do imóvel.<br>Para sua segurança possuímos um DEPARTAMENTO JURÍDICO para auxiliar do ínicio ao fim do processo.<br>NOSSA COMISSÃO será paga exclusivamente pela CAIXA economica Federal.<br>Não são permitidas visitas internas na maioria dos Imóveis CAIXA, pois muitas vezes encontram-se ocupados pelo antigo mutuário; <br>Se o imóvel estiver OCUPADO, fica de responsabilidade EXCLUSIVA do comprador a emissão da posse do imóvel, e negociação da saída do atual morador. NÃO aceita permuta, automóvel ou contraproposta sobre o valor anunciado;<br><br>Financiamento DE ATÉ 95% do valor do imóvel, sujeito análise de crédito<br><br>ACEITA financiamento bancário somente da CAIXA<br>ACEITA -; CS:Casa De Carnes Canaã, CS:Santa Etelvina Pães Doces, BR:Restaurante Trancoso, BR:Restaurante Bom Paladar - Self Service, BR:Toque de Arte, SC:Larissa, SC:Belly, SC:Quiosquer, SU:Fernando Pessoa, SU:Escola Municipal de Educação Profissional e Saúde Pública Professor Makiguti, SU:CEI NOSSA SENHORA DO DIVINO PRANTO, SU:EMPG VLADIMIR HERZOG, SU:E.M.E.F. Vereadora Anna Lanberga Zéglio
2498683400; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Cidade Tiradentes; Cidade Tiradentes; RESIDENTIAL; 48; 48; Comprar; 120000; 1; 0; 1; 2; 110; 08471740; Apartamento recém reformado <br>Otima localização, facil acesso a transporte publico <br>Proximo a comercios, farmacias, bancos, mercados, escolas e creches<br>Ao lado do Hospital -; CS:Santa Etelvina Pães Doces, CS:Casa De Carnes Canaã, SU:Escola Municipal de Educação Profissional e Saúde Pública Professor Makiguti, SU:CEI NOSSA SENHORA DO DIVINO PRANTO, SU:Fernando Pessoa, SU:EMPG VLADIMIR HERZOG, SU:E.M.E.F. Vereadora Anna Lanberga Zéglio, BR:Restaurante Trancoso, BR:Restaurante Bom Paladar - Self Service, BR:Toque de Arte, SC:Larissa, SC:Belly, SC:Quiosquer
2487231898; APARTMENT; UNIT; BR; São Paulo; SP; Rua dos Têxteis; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Cidade Tiradentes; Cidade Tiradentes; RESIDENTIAL; 56; 56; Comprar; 165000; 1; 0; 1; 2; 110; 08490600; Apartamento em Condomínio Padrão para Venda no bairro Chácara Santa Etelvina, 2 dormitórios, sala 2 ambientes, 1 vagas, 56 m² de área útil.<br>- Área Privativa: Armário na cozinha, Área de serviço, Cozinha, Sala de estar, Sala de jantar, Armário embutido, Aceita PET.<br>- Área de Lazer: Salão de festas.<br>- Infra Estrutura: Água Individualizada, Condomínio fechado, Energia elétrica individualizada, Interfone, Portão eletrônico, Rua asfaltada, Vaga coberta e fechada.<br>Aceita financiamento e FGTS. - Data da Atualização:; CS:Santa Etelvina Pães Doces, CS:Casa De Carnes Canaã, SU:E.M.E.F. Vereadora Anna Lanberga Zéglio, SU:CEI NOSSA SENHORA DO DIVINO PRANTO, SU:Salgado, SU:Escola Municipal de Educação Profissional e Saúde Pública Professor Makiguti, SU:EMEF Aureliano Leite, BR:Toque de Arte, BR:Restaurante Bom Paladar - Self Service, BR:Restaurante Trancoso, SC:Belly, SC:Quiosquer, SC:Larissa
