IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2498410102; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Doutor Assis Ribeiro; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Engenheiro Goulart; Engenheiro Goulart; RESIDENTIAL; 50; 50; Comprar; 223000; 1; 0; 1; 2; 354; 03717001; Apartamento com 2 dormitórios,1 vaga de garagem, armário e box no banheiro, armário na cozinha, piso frio.<br><br>O condomínio conta com: Playground, Sala de Jogos, Salão de Festas, Bicicletário, Quadra poliesportiva, Pista de Patins, e Bicicleta, ampla área para caminhada.<br><br>Ótima localização á 100 metros do Extra , próximo da estação de trem Engenheiro Goulart, USP Leste, e de fácil acesso a rodovia Ayrton Sena.<br><br>"Valores sujeitos a alteração sem prévio aviso. <br>Disponibilidade sujeita a confirmação."<br><br>Agende já sua visita! -; BS:Linha 2728/10 Jd. do Castelo X Metrô Penha, BS:Parada Final 271-P, BS:Parada Final 271-A 51, TS:Engenheiro Goulart, TS:Parada Final 271-P, TS:Parada Final 271-A 51, TS:USP Leste, VP:Mercadão Pet Shop, CH:Base da Samu
2497199401; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Engenheiro Goulart; Engenheiro Goulart; RESIDENTIAL; 59; 59; Comprar; 296000; 1; 0; 1; 2; 532; 03717001; Apartamento em Condomínio Padrão para Venda no bairro Engenheiro Goulart, 2 dorm, 1 vagas, 59,00 m<br>- A 200M da estação engenheiro Goulart cptm.<br>- Área Privativa: Área de serviço, Sacada, Aceita PET.<br>- Área de Lazer: Academia, Quadra poliesportiva, Salão de festas.<br>Aceita financiamento: .<br>Valor do Condomínio R$: 532,00.<br>A Virtude Imóveis, situada na Rua Evans, 493, possui vários sobrados, condomínios, casas, apartamentos e terrenos na zona leste de SP, na região da Penha, Vila Matilde, Itaquera, Vila Esperança, Cangaíba, Ermelino Matarazzo, novos, usados ou em construção, para compra e venda. Consulte-nos e realize o sonho da sua casa própria!!!<br>Agende já a sua visita com os nossos corretores da Virtude imóveis !!!! - Data da Atualização:; BS:Parada Final 271-A 51, BS:Parada Final 271-P, BS:Linha 2728/10 Jd. do Castelo X Metrô Penha, TS:Parada Final 271-A 51, TS:Parada Final 271-P, TS:Engenheiro Goulart, CS:Padaria Barra D'Ouro, VP:Mercadão Pet Shop
2434060199; APARTMENT; UNIT; BR; São Paulo; SP; Rua Rubens Fraga de Toledo Arruda; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Engenheiro Goulart; Engenheiro Goulart; RESIDENTIAL; 62; 62; Comprar; 330000; 1; 1; 2; 2; 477; 03726000; Móveis planejados de alto padrão com garantia da fábrica, revestimentos de qualidade, pronto para morar, com coifa, forno, cooktop, mesa, possui automação elétrica e fechadura digital na porta de entrada, não precisa de chave, isento de IPTU, sacada gourmet, sala ampliada. Condomínio com piscina, salão de festas, salão gourmet, brinquedoteca, academia, playground, churrasqueira. A 500 metros do mercado Extra, padaria, farmácia e escolas próximas, feira de rua a poucos metros. Ótima localização! A 800 metros da estação Eng. Goulart, que faz ligação o metrô de SP e vai também para o aeroporto internacional de Guarulhos. Próximo parque ecológico.; BS:Linha 2728/10 Jd. do Castelo X Metrô Penha, BS:Parada Final 271-P, BS:Parada Final 271-A 51, TS:Engenheiro Goulart, TS:Parada Final 271-P, TS:Parada Final 271-A 51, VP:Mercadão Pet Shop, CH:Base da Samu
2485911936; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Rua Doutor Alfredo Francez; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Engenheiro Goulart; Engenheiro Goulart; RESIDENTIAL; 181; 140; Comprar; 320000; 3; 1; 3; 3; 0; 03726020; São 3 Casas no mesmo terreno <br> <br>Casa 1 - 1 Dormitório , sala e cozinha . <br>Casa 2- 3 Dormitórios c/ 1 suite , sala e cozinha e banheiro quintal . corredor lateral . <br>Casa 3 - 1 Dormitório , sala e cozinha e banheiro <br>Próximo de comércios em geral . <br> <br>Agende sua visita: ou pelo site: www.pedrodelima.com.br <br> <br>Todas as informações e valores exibidos neste portal são fornecidos pelos proprietários dos imóveis podendo sofrer alterações sem aviso prévio. Consulte nossos consultores.; BS:Parada Final 271-P, BS:Parada Final 271-A 51, BS:Linha 2728/10 Jd. do Castelo X Metrô Penha, TS:Parada Final 271-P, TS:Parada Final 271-A 51, TS:Engenheiro Goulart, CS:Padaria Barra D'Ouro, CS:HOT BRAD Pães ultracongelados, VP:Mercadão Pet Shop
2498436585; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Doutor Assis Ribeiro; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Engenheiro Goulart; Engenheiro Goulart; RESIDENTIAL; 65; 65; Comprar; 245000; 1; 0; 1; 2; 450; 03717000; Apartamento a venda no Ermelino Matarazzo em São Paulo! Com 02 dormitórios, 01 banheiro social, sala ampla com dois ambientes, sala de estar e sala de jantar e cozinha espaçosa com armários e fogão, varanda com vista livre. Venha para um dos melhores condomínios da região e desfrute com sua família e amigos toda qualidade de vida que você merece. Possui 01 vaga de garagem coberta, grades de proteção nas janelas, churrasqueira, sala de festas, quadra, playground, portão eletrônico, e segurança 24 horas.<br>O apartamento está bem localizado ao lado da estação da CPTM Eng. Goulart que dá acesso também a estação do aeroporto de Guarulhos, próximo ao Parque Ecológico do Tietê e a poucos minutos de algumas das principais rodovias de São Paulo, são elas: Presidente Dutra, Ayrton Senna e Rodovia Fernão Dias, além de oferecer diversas opções de serviços e lazer, como escolas, padarias, hipermercados. <br>O imóvel aceita financiamento. -; BS:Parada Final 271-A 51, BS:Parada Final 271-P, BS:Linha 2728/10 Jd. do Castelo X Metrô Penha, TS:Parada Final 271-A 51, TS:Parada Final 271-P, TS:Engenheiro Goulart, CS:Padaria Barra D'Ouro, VP:Mercadão Pet Shop
2489103261; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Engenheiro Goulart; Engenheiro Goulart; RESIDENTIAL; 188; 276; Comprar; 415000; 3; 1; 3; 3; 0; 03721180; Casa Terrea Proximo a estação de trem engenheiro Goulart , com 3 dormitórios sendo 1 suíte com hidro,e armários embutidos sala com piso de madeira, cozinha com piso frio, e planejada quintal com lavanderia área de churrasqueira com forno de pizza e dependência de empregada com banheiro.<br>Aceita financiamento e FGTS.<br>Imóvel próximo de padaria e comercio e da estacão de trem de Engenheiro Goulart , fácil acesso a Av Assis ribeiro e Rodovia dos Trabalhadores.<br>O Bairro oferece uma ampla infraestrutura com comércios, bancos, supermercados, farmácias, restaurantes, parques e comércios em geral.<br><br>A Piton Imóveis é uma empresa familiar que há 40 anos atende na Penha e região, propiciando o sonho da casa própria para milhares de clientes, com honestidade e transparência! Trabalhamos com todos os tipos de imóveis e oferecemos um atendimento com profissionais qualificados e credenciado pelo CRECI. Além de Venda e Locação, temos um departamento jurídico e um departamento especializado em financiamento imobiliário. Tudo para lhe dar toda a assessoria e segurança na intermediação do seu imóvel. Aguardamos o seu contato! -; BS:Linha 2728/10 Jd. do Castelo X Metrô Penha, BS:Parada Final 271-P, BS:Parada Final 271-A 51, TS:Parada Final 271-P, TS:Engenheiro Goulart, TS:Parada Final 271-A 51, CS:Padaria Barra D'Ouro, VP:Mercadão Pet Shop
2498534714; HOME; UNIT; BR; São Paulo; SP; Avenida Doutor Assis Ribeiro; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Engenheiro Goulart; Engenheiro Goulart; RESIDENTIAL; 53; 58; Comprar; 240000; 1; 1; 1; 2; 370; 03717001; Bairro Engenheiro Goulart possui 58 metros quadrados com 2 Dormitórios, Sala, Cozinha, Banheiro, Área de Serviço, 1 Vaga de Garagem, Salão de Festas, Quadra de Esportes, Salão de Jogos, Playground, Portaria 24 horas.<br>* Área de Caminhada;<br>* Estrutura Biodegradável (Divisores de Reciclagem);<br>É mobiliada.; BS:Linha 2728/10 Jd. do Castelo X Metrô Penha, BS:Parada Final 271-P, BS:Parada Final 271-A 51, TS:Engenheiro Goulart, TS:Parada Final 271-P, TS:Parada Final 271-A 51, TS:USP Leste, VP:Mercadão Pet Shop, CH:Base da Samu
2493939786; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Doutor Assis Ribeiro; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Engenheiro Goulart; Engenheiro Goulart; RESIDENTIAL; 45; 45; Comprar; 190000; 0; 0; 1; 2; 347; 03717001; Apartamento bem ventilado e claro, piso em porcelana, banheiro com box de vidro... <br> <br>Localizado entre as estações USP Leste e Ermelino Matarazzo da CPTM, a 10 minutos das rodovias Ayrton Senna, Presidente Dutra e da Marginal Tietê, Ao lado de colégios, bancos, supermercados, farmácias e Padarias. <br>Tudo para o seu conforto e de sua família. <br>Agende uma visita.; TS:Comendador Ermelino, TS:USP Leste, CH:UBS Jardim Keralux, SU:Colegio Objetivo, BR:Padaria Nova USP, BR:Café CAOC, BR:Bandejão EACH, BR:Panelas & Pratos
2498534491; HOME; UNIT; BR; São Paulo; SP; Avenida Doutor Assis Ribeiro; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Engenheiro Goulart; Engenheiro Goulart; RESIDENTIAL; 58; 58; Comprar; 235000; 1; 0; 2; 2; 370; 03717001; Bairro Engenheiro Goulart possui 58 metros quadrados com 2 Dormitórios, Sala, Cozinha, Banheiro, Área de Serviço, 1 Vaga de Garagem, Salão de Festas, Quadra de Esportes, Salão de Jogos, Playground, Portaria 24 horas.<br>* Área de Caminhada;<br>* Estrutura Biodegradável (Divisores de Reciclagem);; BS:Linha 2728/10 Jd. do Castelo X Metrô Penha, BS:Parada Final 271-P, BS:Parada Final 271-A 51, TS:Engenheiro Goulart, TS:Parada Final 271-P, TS:Parada Final 271-A 51, TS:USP Leste, VP:Mercadão Pet Shop, CH:Base da Samu
1367705544; APARTMENT; UNIT; BR; São Paulo; SP; Rua Jaime Rodrigues Modesto; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Engenheiro Goulart; Engenheiro Goulart; RESIDENTIAL; 47; 47; Comprar; 260000; 0; 0; 1; 2; 300; 03728005; Lindo apartamento com 2 dormitórios, cozinha planejada, banheiro com gabinete, ducha e box todo em piso laminado!<br><br>O condomínio possui:<br><br>- Piscina adulto e infantil<br>- Academia<br>- Salão de festa<br>- Pet place <br>- Playgroud<br>- 2 churrasqueiras<br><br>" Valores sujeitos a alteração sem prévio aviso.<br>Valores de condominio e IPTU podem sofrer alteração sem nosso conhecimento.<br>Sujeito a confirmação de disponibilidade." -; BS:Linha 2728/10 Jd. do Castelo X Metrô Penha, BS:Parada Final 271-P, BS:Parada Final 271-A 51, TS:Engenheiro Goulart, TS:Parada Final 271-P, TS:Parada Final 271-A 51, CS:Center Carnes Ducastilho, CS:Emporio de Produtos Naturais, CS:Panificadora Nova Imperador do Trigo, CS:HOT BRAD Pães ultracongelados, VP:Ração Japonesa, VP:Mercadão Pet Shop
