IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2485129377; APARTMENT; UNIT; BR; São Paulo; SP; Rua Caminho do Engenho; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Ferreira; Ferreira; RESIDENTIAL; 57; 57; Comprar; 372000; 1; 1; 2; 2; 350; 05524000; PROMOÇÃO INCRÍVEL PARA ESTE MÊS!! ESCRITURA E ITBI GRÁTIS!!<br><br>O ASTRA BUTANTÃ esta em fase de CONSTRUÇÃO com a entrega prevista para JUNHO de 2022. <br><br>São apartamentos de 57 m², 02 dormitórios, suíte, 01 vaga de garagem. <br><br>Terreno de 3.595 m², torre única em forma de L, 08 pavimentos, 20 unidades por andar, 06 elevadores, 167 unidades no total. <br><br>Temos varias opções de plantas de 02 dormitórios, suíte, 57, 58, 59 e 60 m². Temos também a planta de 03 dormitórios, suíte, 70 m². Todas as plantas com 01 vaga de garagem.<br><br>ÁREA DE LAZER: <br>Salão de jogos, Brinquedoteca, Playground, Churrasqueira, Fitness, Espaço Zen, Salão de festas, Espaço Gourmet, Lavanderia, Sauna, Sala de descanso, Lareira, Piscina adulto, Piscina Infantil, Quadra Recreativa, Bicicletário e Pet Place. <br><br>DESENVOLVIMENTO:<br>Construtora: Kallas<br>Projeto de Arquitetura: Jonas Birguer<br>Projeto de Interiores: Marcia Kalil<br>Projeto de Paisagismo: Kallas + Madergan<br><br>LOCALIZAÇÃO: <br>Esta localizado no Butantã a 03 quadras do metrô VILA SÔNIA linha amarela, entre o meio das avenidas Eliseu de almeida e Francisco Morato. <br>SHOPPINGS: Butantã, Raposo e Taboão.<br>SUPERMERCADOS: Makro, Extra, Carrefur, Dia e Ricoy.<br>PADARIAS: Porto Villares, La Ville e Morada dos Pães.<br>GASTRONOMIA: Burger King, MC Donalds, Flying Sushi, Churrascaria Tordilho, Ponto da Costela, Feijão de Corda e Stunt Burger.<br>PARQUES: Chácara do Jockey e Parque previdência.<br>CICLOVIA: Na Avenida Eliseu de Almeida.<br><br>ESTE ANÚNCIO CONTÉM TOUR VIRTUAL DO APARTAMENTO DECORADO.<br><br>Amigo cliente gostou do apartamento!!!<br><br>TEMOS A MELHOR NEGOCIAÇÃO!!!<br><br>Corretores vendem sonho!!! EU VENDO SONHO E O PREÇO QUE VOCÊ QUER PAGAR..(LEILÃO DE PREÇO É AQUI).<br><br>AGORA ME DIGA O QUE DESEJA FAZER:<br>Quer agendar uma Visita!<br>Deseja outras informações!<br>Simulação de pagamento!<br>JÁ CONHECE! MANDE SUA PROPOSTA!<br><br>Valores sempre sofrem alterações..<br><br>Farei o meu melhor por você!<br><br>Adriano José Caglioni<br><br>CRECI: Físico= 190891-F Jurídico= 33377-J; BS:746H-10 Jardim Jaqueline / Santo Amaro, BS:Parada Éden, TS:Parada Éden, CS:D'Amar, CS:Conjunto Comercial Maria Cunha, CS:Daytona Carnes, CH:Hospital Family, CH:Predict Medicina Diagnóstica, CH:Intermédica Centro Clínico Taboão da Serra, CH:Fisioterapia Ortoclimed
2494946226; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Ferreira; Ferreira; RESIDENTIAL; 59; 59; Comprar; 395745; 1; 1; 2; 2; 350; 05524000; Apartamento localizado na Vila Sônia com 2 quartos sendo 1 suite e 1 vaga. Possui área verde de jardim e salão de festas. Vai lhe possibilitar curtir os dias mais quentes na piscina, todo o conforto do ar condicionado nos dias mais quentes. Espaço reservado para preparar o seu churrasco. Elevador que garante o transporte da suas malas e compras. Agende sua visita.; BS:746H-10 Jardim Jaqueline / Santo Amaro, BS:Parada Éden, TS:Parada Éden, CS:D'Amar, CS:Conjunto Comercial Maria Cunha, CS:Daytona Carnes, CH:Hospital Family, CH:Predict Medicina Diagnóstica, CH:Intermédica Centro Clínico Taboão da Serra, CH:Fisioterapia Ortoclimed
2492633585; APARTMENT; UNIT; BR; São Paulo; SP; Rua Caminho do Engenho; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Ferreira; Ferreira; RESIDENTIAL; 57; 57; Comprar; 380000; 1; 1; 2; 2; 0; 05524000; O apartamento fica localizado na região do Butantã com fácil acesso ao transporte publico e as estações do metrô São Paulo Morumbi e Vila Sonia.<br><br>A unidade tem 57 metros quadrados com dois dormitórios, suite, varanda e vaga de garagem. Planta com excelente distribuição.<br><br>A região é completa, o condomínio fica localizado próximo as principais vias de acesso como Francisco Morato, Av Pirajussara, tem uma infraestrutura grande de comercios serviços e lazer a poucos passos, são diversos supermercados como Assai atacadista, Ricoy supermercados, Extra, Carrefour, agencias bancarias como Bradesco, Itau, Caixa Econômica e Santander, fica muito próximo ao parque Chácara do Joquei, um ambiente ideal para suas caminhadas de fim de semana, restaurantes requintados como Madero, Feijão de corda, Habib's e muitos outros que variam desde a culinária japonesa até a tipica brasileira, esta proximo a faculdades e escolas renomadas.<br><br>More em um dos bairros mais desejados de São Paulo, o butantã oferece lazer e serviços para todas as idades e gostos, sem contar que o acesso a qualquer lugar de São Paulo é facilitado!<br><br>O condomínio conta com lazer completo, Piscina adulto e infantil, salão de festas adulto e infantil, salão de jogos, churrasqueira com forno de pizza, brinquedoteca, playground, academia maravilhosa e um alto padrão de acabamento, um dos prédios mais bonitos da região!<br><br>Agende sua visita, apenas uma unidade.; BS:746H-10 Jardim Jaqueline / Santo Amaro, BS:Parada Éden, TS:Parada Éden, CS:D'Amar, CS:Conjunto Comercial Maria Cunha, CS:Daytona Carnes, CH:Hospital Family, CH:Predict Medicina Diagnóstica, CH:Intermédica Centro Clínico Taboão da Serra, CH:Fisioterapia Ortoclimed
2486765388; HOME; UNIT; BR; São Paulo; SP; Rua Vinte e Três de Outubro; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Ferreira; Ferreira; RESIDENTIAL; 230; 230; Comprar; 390000; 3; 1; 3; 3; 0; 05523020; Terreno com espaço para construção de sobrado germinado. Ótima localização, perto da estação Vila Sônia do Metrô, diversos comércios, escolas, supermercados, fastfoods, delegacia e fácil acesso à Raposo Tavares e Marginal Pinheiros. -; BS:Parada Éden, BS:746H-10 Jardim Jaqueline / Santo Amaro, TS:Parada Éden, TS:São Paulo – Morumbi, TS:São Paulo-Morumbi, CS:D'Amar, CH:Hospital Family
2494946224; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Ferreira; Ferreira; RESIDENTIAL; 90; 90; Comprar; 435120; 1; 1; 2; 2; 650; 05524000; Apartamento localizado na Vila Sônia com 2 quartos sendo 1 suite e 1 vaga. Possui área verde de jardim e salão de festas. Vai lhe possibilitar curtir os dias mais quentes na piscina, todo o conforto do ar condicionado nos dias mais quentes. Espaço reservado para preparar o seu churrasco. Elevador que garante o transporte da suas malas e compras. Agende sua visita.; BS:746H-10 Jardim Jaqueline / Santo Amaro, BS:Parada Éden, TS:Parada Éden, CS:D'Amar, CS:Conjunto Comercial Maria Cunha, CS:Daytona Carnes, CH:Hospital Family, CH:Predict Medicina Diagnóstica, CH:Intermédica Centro Clínico Taboão da Serra, CH:Fisioterapia Ortoclimed
2494947013; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Ferreira; Ferreira; RESIDENTIAL; 70; 70; Comprar; 452340; 1; 1; 2; 3; 450; 05524000; Apartamento localizado na Vila Sônia com 3 quartos sendo 1 suite e 1 vaga. Possui área verde de jardim e salão de festas. Vai lhe possibilitar curtir os dias mais quentes na piscina, todo o conforto do ar condicionado nos dias mais quentes. Espaço reservado para preparar o seu churrasco. Elevador que garante o transporte da suas malas e compras. Agende sua visita.; BS:746H-10 Jardim Jaqueline / Santo Amaro, BS:Parada Éden, TS:Parada Éden, CS:D'Amar, CS:Conjunto Comercial Maria Cunha, CS:Daytona Carnes, CH:Hospital Family, CH:Predict Medicina Diagnóstica, CH:Intermédica Centro Clínico Taboão da Serra, CH:Fisioterapia Ortoclimed
2496248097; APARTMENT; UNIT; BR; São Paulo; SP; Rua Santa Crescência; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Ferreira; Ferreira; RESIDENTIAL; 70; 70; Comprar; 489000; 2; 1; 2; 2; 650; 05524020; Apartamento de 70 m², planta para 3 dormitórios, lazer completo, próximo as facilidades de transporte, comércio e serviços da Av Francisco Morato, e da futura estação do metrô. Localização privilegiada numa área enobrecida em processo de profunda transformação.; BS:746H-10 Jardim Jaqueline / Santo Amaro, CS:Conjunto Comercial Maria Cunha, CS:D'Amar, CS:Daytona Carnes, CH:Hospital Family, CH:Predict Medicina Diagnóstica, CH:Intermédica Centro Clínico Taboão da Serra, CH:Fisioterapia Ortoclimed, SC:Poli Rodas, SC:Mercado Talento, SC:Cristal Automóveis, SC:Sacolão Butantã, SC:Conibase
2494946223; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Ferreira; Ferreira; RESIDENTIAL; 89; 89; Comprar; 444570; 1; 1; 2; 2; 550; 05524000; Apartamento localizado na Vila Sônia com 2 quartos sendo 1 suite e 1 vaga. Possui área verde de jardim e salão de festas. Vai lhe possibilitar curtir os dias mais quentes na piscina, todo o conforto do ar condicionado nos dias mais quentes. Espaço reservado para preparar o seu churrasco. Elevador que garante o transporte da suas malas e compras. Agende sua visita.; BS:746H-10 Jardim Jaqueline / Santo Amaro, BS:Parada Éden, TS:Parada Éden, CS:D'Amar, CS:Conjunto Comercial Maria Cunha, CS:Daytona Carnes, CH:Hospital Family, CH:Predict Medicina Diagnóstica, CH:Intermédica Centro Clínico Taboão da Serra, CH:Fisioterapia Ortoclimed
2494017973; APARTMENT; UNIT; BR; São Paulo; SP; Rua Santa Crescência; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Ferreira; Ferreira; RESIDENTIAL; 70; 70; Comprar; 485000; 2; 1; 2; 2; 550; 05524020; apartamento na Vila Sonia, próximo 400 metros da futura Estação Vila Sonia. Semi mobiliado, excelente conservação com duas vagas, 2 dormitórios sendo 1 suite. Cozinha e dormitórios com móveis planejados. Condominio com salão de festas, quadra, piscina, academia, brinquedoteca e play-ground<br>somente na Revenda imóvel comprou ganhou cozinha finitura; BS:746H-10 Jardim Jaqueline / Santo Amaro, BS:Parada Éden, TS:Parada Éden, CS:D'Amar, CS:Conjunto Comercial Maria Cunha, CS:Daytona Carnes, CH:Hospital Family, CH:Predict Medicina Diagnóstica, CH:Intermédica Centro Clínico Taboão da Serra, CH:Fisioterapia Ortoclimed
2454821234; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Ferreira; Ferreira; RESIDENTIAL; 100; 70; Comprar; 500000; 2; 1; 2; 2; 820; 05524020; MARQUE UMA VISITA E CONFIRA ,NEUZA .46.31 EXCELENTE APTO DE 3 DORMITÓRIOS ,TRANSFORMADO EM DOIS COM SALA ESTENDIDA ,REPLETO DE ARMÁRIOS EMBUTIDOS ACABAMENTO IMPECÁVEL ,COM GARAGEM PARA 2 AUTOS ,COBERTAS ,LIVRES E DEMARCADAS.ÓTIMA LOCALIZAÇÃO ,PRÓXIMO AS PRINCIPAIS VIAS DE ACESSO.; BS:746H-10 Jardim Jaqueline / Santo Amaro, BS:Parada Éden, TS:Parada Éden, CS:D'Amar, CS:Conjunto Comercial Maria Cunha, CS:Daytona Carnes, CH:Hospital Family, CH:Predict Medicina Diagnóstica, CH:Intermédica Centro Clínico Taboão da Serra, CH:Fisioterapia Ortoclimed
