IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2497468507; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Ministro Petrônio Portela; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Freguesia do O; Freguesia do Ó; RESIDENTIAL; 81; 81; Comprar; 500000; 1; 1; 2; 3; 520; 02959000; Condomínio Viverde !<br><br>3 Dormitórios sendo 1 suite <br>1 Sala para dois ambientes<br>1 Varanda Gourmet <br>1 Cozinha com armários planejados<br>1 Área de Serviço<br>1 Vaga de garagem <br> <br>Lazer Completo<br><br>Piscina Adulta e infantil, sendo que adulta é aquecida <br>Playground<br>Cinema<br>Salão de festa Adulto (100 pessoas)<br>Salão de Festa Infantil (75 pessoas )<br>Salão de Festa Adolescente (150 pessoas )<br>Brinquedoteca <br>Halls Social <br>Descanso <br>Sauna Seca <br>Lavabo <br>Fitness<br>Salão de Jogos / Lan House <br>Recreação Infantil <br>Home Office <br>Portaria <br>Pista de Caminhada <br>Quadra Recreativa <br>Quiosque para jogos <br>Mini cidade (playground)<br>Praça do Fogo <br>Churrasqueiras e fornos para pizza <br>Quadra esportiva <br>Praça da Fonte <br>Apoio externo do salão de festa adulto <br><br>Uma grande oportunidade em morar no Condomínio Viverde, melhor preço......<br>Localização excelente , próximo de mercado , padaria, hospitais, ponto de ônibus, bancos , etc..... Não perca esta oportunidade , agende sua visit -; CS:Padaria Cigana, CS:Padaria Inverno Verão, CS:Frango Assado, PH:FarmaClick, CH:UBS Vila Progresso, CH:CEI Vila Regina, SC:CEA Brasil, SC:ArgonSoldas, SC:Supermercado Takara, SC:Ótima Veículos, SC:Thaby Souza Beauty - Beleza e Estética
2462834907; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Freguesia do O; Freguesia do Ó; RESIDENTIAL; 45; 45; Comprar; 195000; 0; 0; 1; 2; 0; 02842080; ***LANCAMENTO***<br><br>Apartamentos prestes a ser lançados entre as avenidas Parapuã e João Paulo I, este imóvel está muito bem localizado, todo tipo de comércio, escolas, transporte e de fácil acesso. Pode usar o beneficio do "Minha casa Minha vida", por ser imóvel novo, *dependendo do perfil familiar do comprador.<br><br>Será 2 dormitórios, sala conjugada com cozinha (cozinha americana), banheiro e lavanderia. *(obs, perguntar sobre a divisão das vagas)<br><br>Já estamos atendendo interessados , não perca tempo! A hora de comprar o que é seu chegou, saia do aluguel. Fazemos simulação de crédito com a Caixa, nos consulte.<br><br>Entre em contato e informe o código Ap3375 falar com Kauê Goi -; CS:Padaria Cigana, CS:Padaria Inverno Verão, PH:FarmaClick, CH:UBS Vila Progresso, CH:CEI Vila Regina, SC:Ótima Veículos, SC:CEA Brasil, SC:ArgonSoldas, SC:Supermercado Takara, SC:Extra Supermercados
2497370879; HOME; UNIT; BR; São Paulo; SP; Rua Darci Bittencourt; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Freguesia do O; Freguesia do Ó; RESIDENTIAL; 259; 227; Comprar; 570000; 5; 0; 2; 2; 0; 02726030; Oportunidade CASA TÉRREA com terreno 9,40x28, na FREGUESIA DO Ó, com estrutura/capacidade para ampliação,, , quintal, garagem para 6 CARROS, churrasqueira, com 2 dorm, com possibilidade fazer um 3 dormitório!<br><br>ACEITO APTO COMO PARTE DE PAGAMENTO ATÉ 250.000,00 -; BS:Parada Freguesia, BS:Avenida Casa Verde 3467, BS:Parada Editora Abril, TS:Parada Freguesia, TS:Avenida Casa Verde 3467, TS:Parada Editora Abril, CS:Padaria Champgne, CS:A Lareira, CS:Bella Floresta, CS:Padaria Cigana, PH:Droga Mina
2474217481; HOME; UNIT; BR; São Paulo; SP; Rua Cecília da Silva; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Freguesia do O; Freguesia do Ó; RESIDENTIAL; 0; 87; Comprar; 475000; 3; 1; 3; 3; 530; 02927030; Sobrado com 3 quartos, sendo 1 suíte. Móveis planejados na suíte, sala e cozinha. Garagem para 2 carros. Área de serviço espaçosa. Lavabo. Condomínio com segurança eletrônica, em ótimo local na Freguesia do Ó, perto de supermercados, ponto de ônibus, banco, açougue e 5 minutos da marginal Tietê. Ligue e agende sua visita; BS:Parada Editora Abril, BS:Parada Ponte do Piqueri (norte), BS:Parada Ponte do Piqueri (Oeste), BS:Parada Freguesia, TS:Parada Editora Abril, TS:Parada Ponte do Piqueri (norte), TS:Parada Ponte do Piqueri (Oeste), TS:Piqueri, TS:Lapa (Linha 7), CS:Frango Assado, CS:Padaria Cigana, CS:Padaria Champgne, CH:Unidade Básica de Saúde Moinho Velho I, CH:Docs
2438678309; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Paula Ferreira; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Freguesia do O; Freguesia do Ó; RESIDENTIAL; 98; 96; Comprar; 680000; 1; 1; 3; 3; 700; 02915000; Apto bem localizado, arejado, em frente Igreja Matriz, 500mts. da futura estação Metrô – Largo Cliper – linha Laranja - Metragem 105 mts - 02 Unidades por andar, prédio com 22 andares, 02 elevadores; 03 Dormitórios, armários embutidos, camas casal em 02 quartos; 01 suíte; 03 Banheiros; Aquecimento central; Armários em 02 banheiros, Cozinha com mesa para pequenas refeições, exaustor, fogão; Dependência empregada (quarto e Banheiro); Grades alumínio nas janelas; 01 vaga garagem - Portão Eletrônico com segurança 24hs; Agências bancárias; Farmácias; Padaria; Supermercado Sondas e Extra; Sala dois ambientes, sanca, piso frio completo, sacada; Brinquedoteca - Playground - Pista de Cooper - Quadras - Área de lazer - 02 piscinas (olímpica e criança) - Salão de festa - Valor cond: R$ 700,00 -; BS:Parada Editora Abril, BS:Parada Ponte do Piqueri (norte), BS:Parada Ponte do Piqueri (Oeste), BS:Parada Freguesia, TS:Parada Editora Abril, TS:Parada Ponte do Piqueri (norte), TS:Parada Ponte do Piqueri (Oeste), TS:Piqueri, TS:Parada Freguesia, CS:Padaria Champgne, CS:Frango Assado, CS:Padaria Cigana, CH:Unidade Básica de Saúde Moinho Velho I
2427787134; HOME; UNIT; BR; São Paulo; SP; Rua João Cordeiro; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Freguesia do O; Freguesia do Ó; RESIDENTIAL; 230; 187; Comprar; 355000; 2; 1; 2; 3; 0; 02960000; Casa com 3 quartos 1 suite 2 banheiros 1 quarto com banheiro nos fundos/Empregada vaga p/ 2 carros * Proximo ao extra / Mcdonalds na Av Edgar Facó. * muito proximo a futura linha "18" Laranja do metro. * casa precisa de pintura. faca sua proposta, estou a disposição para visitas no imóvel\<br>PARA MAIORES INFORMAÇÕES <br>FALAR COM JONATHAN WHATS; BS:Parada Editora Abril, BS:Parada Ponte do Piqueri (norte), TS:Parada Editora Abril, TS:Piqueri, TS:Parada Ponte do Piqueri (norte), CS:Padaria Cigana, CS:Frango Assado, CS:Padaria Inverno Verão, CS:Padaria Champgne, PH:FarmaClick
2437571800; HOME; UNIT; BR; São Paulo; SP; Rua José Pereira de Castro; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Freguesia do O; Freguesia do Ó; RESIDENTIAL; 0; 210; Comprar; 650000; 4; 1; 4; 3; 0; 02979200; Excelente sobrado, na Freguesia do Ó - V. Herminia, com cômodos amplos, 03 quartos, sendo 1 suíte, sala de estar-jantar com lavabo, varanda, quartinho na garagem, lavanderia e academia, com banheiro. Récem pintado por dentro.; BS:Ponto Final da Linha 9020/10, TS:Ponto Final da Linha 9020/10, CS:Padaria Inverno Verão, CS:Padaria Hortolândia, CS:Mercadinho Mirante, CS:Padaria Cigana, CS:Frango Assado, PH:FarmaClick
2443626577; APARTMENT; UNIT; BR; São Paulo; SP; Rua Sete Barras; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Freguesia do O; Freguesia do Ó; RESIDENTIAL; 0; 65; Comprar; 410000; 1; 1; 2; 2; 390; 02927080; Apto condomínio passione Due freguesia do ó em ótima localização próximos a padarias, supermercados, posto de gasolina. Possui 2 quartos sendo 1 suite com ar condicionado. Todo apto com móveis planejados, pias de mármore na cozinha e banheiros, e gesso com iluminação embutida em led. 1 vaga de garagem, no quinto andar, vizinhos muito tranquilos, e condomínio completo. Lindo apartamento, tudo com excelente acabamento.; BS:Parada Editora Abril, BS:Parada Ponte do Piqueri (norte), BS:Parada Ponte do Piqueri (Oeste), BS:Av. Raimundo Pereira de Magalhães 2765, TS:Parada Editora Abril, TS:Piqueri, TS:Parada Ponte do Piqueri (norte), TS:Parada Ponte do Piqueri (Oeste), TS:Av. Raimundo Pereira de Magalhães 2726, CS:Frango Assado, CS:Padaria Cigana, CS:Padaria Champgne, CH:Unidade Básica de Saúde Moinho Velho I, CH:Docs
2431125481; APARTMENT; UNIT; BR; São Paulo; SP; Rua Juan Arfe; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Freguesia do O; Freguesia do Ó; RESIDENTIAL; 0; 75; Comprar; 250000; 1; 0; 1; 2; 402; 02804080; Apartamento de 02 dormitórios com armário, WC com armário e gabinete, sala ampla para 02 ambientes, cozinha com armário, área de serviço, 01 vaga de garagem, condomínio com elevador, portaria 24 horas, lazer e jardim.; CS:Padaria Cigana, CS:Padaria Inverno Verão, CS:Frango Assado, PH:FarmaClick, CH:UBS Vila Progresso, CH:CEI Vila Regina, CH:Unidade Básica de Saúde Moinho Velho I, CH:Docs, SC:CEA Brasil, SC:ArgonSoldas, SC:Supermercado Takara, SC:Thaby Souza Beauty - Beleza e Estética, SC:Econ Supermercados
2437236145; APARTMENT; UNIT; BR; São Paulo; SP; Rua Pedroso Xavier; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Freguesia do O; Freguesia do Ó; RESIDENTIAL; 125; 86; Comprar; 569000; 1; 1; 2; 3; 449; 02732020; Aproveite, BAIXOU valor por 30 dias APTO PROXIMO A AV MIGUEL CONEJO EM FRENTE A FUTURA ESTAÇÃO DO METRÔ Ao LADO DO LARGO DO CLIPPER, DA MATRIZ , SÃO 02 DORMITORIOS COM SALA AMPLIADA , PODENDO VOLTAR O TERCEIRO DORMITORIO PLANTA , SUITE , 02 SACADAS SENDO UMA GRILL GOURMET E OUTRA NA SUITE, APTO TODO COM SANCA EM LED , ARMARIOS PLENAJEDOS NO APTO TODO, AQUECEDO A GAS NOVO, PISO EM PORCELANATO , PIAS EM GRANITO , COZINHA AMERICANA , APTO ENTRAR E MORAR , 01 VAGA COM OPCAO DE LOCAR SEGUNDA VAGA. 86 M2 UTIL LAZER COMPLETÍSSIMO COM SAUNA - PISCINA ADULTO E INFANTIL COM DECK E CASCATA , QUADRA, ACADEMIA, SALÕES DE FESTAS , CHURRASQUEIRA, SALAO GOURMET, BRINQUEDOTECA ,PLAYGROUD , SALAO DE JOGOS, AREA VERDE , FEIRA DENTRO DO CONDOMINIO UNICO NA REGIÃO ALTO PADRÃO !! Preco de Oportunidade !! ABAIXO DA AVALIACAO DE MERCADO, ANALISA CARRO NO NEGOCIO / PERMUTA , FINANCIAMENTO / FGTS , APTO QUITADO , ENTRAR E MORAR , SAIDA RAPIDA APOS FECHAMENTO DA VENDA, Aceita propos; BS:Parada Editora Abril, BS:Parada Freguesia, BS:Parada Ponte do Piqueri (norte), BS:Parada Ponte do Piqueri (Oeste), TS:Parada Editora Abril, TS:Parada Freguesia, TS:Parada Ponte do Piqueri (norte), TS:Parada Ponte do Piqueri (Oeste), CS:Padaria Champgne, CS:Padaria Cigana, CS:Frango Assado, CH:Unidade Básica de Saúde Moinho Velho I
