IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2493928121; APARTMENT; UNIT; BR; São Paulo; SP; Rua Brasil; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Guaianases; Guaianases; RESIDENTIAL; 55; 55; Comprar; 179999; 1; 0; 1; 3; 245; 08421155; Ideal para você que procura espaço e ótimas opções de lazer para sua família.<br>WhatsApp 9. (Corretor Lucas) <br>Apartamento possui 03 amplos dormitórios, sala para 02 ambientes com sacada <br>Cozinha e dormitórios com móveis planejados inclusos na venda <br><br>Condomínio oferece: Salão de festas, piscina adulto e infantil, playground, quadra de futebol, bicicletário, churrasqueiras, salão de festas e portaria 24 horas <br><br>Localização privilegiada na Rua Brasil - Guaianases <br>Fácil acesso a estação da CPTM Guaianases <br>Ao lado da Avenida Luís Mateus <br><br>WhatsApp 9. (Corretor Lucas) <br>Documentação em ordem para financiamento e uso do FGTS -; TS:Guaianases, CS:Padaria Sao Carlos, CS:Ariane Pães e Doces, PH:Drogalis, CH:Unidade Básica de Saúde Prestes Maia
2438299178; APARTMENT; UNIT; BR; São Paulo; SP; Rua Otelo Augusto Ribeiro; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Guaianases; Guaianases; RESIDENTIAL; 94; 52; Comprar; 165000; 1; 0; 1; 2; 336; 08412000; Lindo Apto 2 Dorms – Guaianazes - Direto com o Proprietário, Ótima Oportunidade!!! Excelente Empreendimento, Apto 100% Reformado, Pintura Nova, Sala Ampla com 2 ambiente, 2 dormitórios, Banheiro com Box de Vidro, Cozinha, Área de serviço, 1 Vaga de Garagem. Área de Lazer com Quadra Poliesportiva, Churrasqueira, Salão de Festas, Play Ground. Condomínio com Portaria e Segurança vigiada 24 hs, Interfone, Telefone, TV a cabo, etc... Ótima Localização e Fácil Acesso, Bairro Residencial, Todo Comércio Local, Restaurantes, Drogarias, Colégios, Mercados, Padaria, etc. Venda Direta com o Proprietário!! Documentação 100% Ok e Aceita FGTS e Financiamento!!!; BS:Ponto final: 2755-10, BS:Ponto final do ônibus 3006-10 Jd Fanganiello - Est. Guaianases, BS:Ponto final: 2756-10 e 3063-41, BS:Metrô Itaquera - Linha 2708-10, TS:Guaianases, TS:Metrô Itaquera - Linha 2708-10, CS:Padaria Sao Carlos, CS:Flor do Lajeado, PH:Drogalis
2492576112; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Guaianases; Guaianases; RESIDENTIAL; 200; 116; Comprar; 310000; 4; 0; 2; 2; 0; 08410071; Sobrado na Vila Princesa Isabel Guaianazes com a seguinte composição:<br>Pavimento Superior<br>Dormitório e Varanda<br>Pavimento inferior<br>Sala, Cozinha, Área de Serviço, Dormitório, Hall de Circulação e Banheiro com lavabo.<br>Garagem coberta com porta de aço de enrolar para 4 Veículos<br><br>Obs.: Garagem no Pavimento térreo, com porta de aço de enrolar para 4 veículos com infraestrutura pronta para 1 Banheiro.<br>podendo ser construído em cima<br>Quintal enorme e casa construída nos fundos.<br><br>Excelente localização, a 5 minutos do terminal CPTM Guaianazes, acesso fácil para as principais avenidas e rodovias, bairro com infraestrutura completa.<br><br>Agende já uma visita com m dos nossos Corretores! -; BS:Rua João Bodin,120, BS:Rua João Bodin,436, BS:Rua Luis Gomes Tourinho,388, BS:Rua João Bodin,10, BS:Rua Luis Gomes Tourinho,361, TS:Guaianases, TS:José Bonifácio, CS:Ariane Pães e Doces, CS:Padaria Sao Carlos, PH:Drogalis
2499475216; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Guaianases; Guaianases; RESIDENTIAL; 37; 37; Comprar; 165000; 0; 0; 1; 2; 0; 08247090; Apartamentos tipo studio em condomínio, prontos para morar, localizados próximo à estação José Bonifácio.<br><br>Imóvel com excelente padrão de acabamento.<br><br>Consulte um de nossos corretores e conheça nossos planos de financiamentos.<br><br>* Fotos do modelo decorado, móveis não estão inclusos no valor de venda. -; BS:Rua Luis Gomes Tourinho,388, BS:Rua Luis Gomes Tourinho,361, BS:Rua João Bodin,10, BS:Rua João Bodin,436, BS:Rua Maximiano Brandão,182, TS:José Bonifácio, TS:Guaianases, CS:Ariane Pães e Doces, CS:PG pães ultracongelados, CS:PG Pães Ultracongelados, CS:Pães e Doçes Vitória, PH:Drogalis
2499474330; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Guaianases; Guaianases; RESIDENTIAL; 71; 51; Comprar; 220000; 1; 0; 1; 2; 280; 08410100; Apartamento bem localizado " Estação Guaianases"<br>Acabamento de primeira, composto de 02 dormitórios, sala com sacada em vidro branco Retrátil "Vista panorâmica" Muito bonita!<br>Fica Cozinha planejada com pedra em Mármore, Cook top, forno e exaustor e Dormitório casal com armários planejados.<br>Todas esquadrias em alumínio branco.<br>Luminárias em todos ambientes sendo na sala spots em Led.<br>Localização excelente, todos os Bancos para sua preferência.<br>Documentação em ordem!<br>Aceita Financiamento qualquer banco. -; BS:Rua João Bodin,120, BS:Rua João Bodin,436, BS:Rua João Bodin,10, BS:Rua Luis Gomes Tourinho,388, BS:Rua Luis Gomes Tourinho,361, TS:Guaianases, TS:José Bonifácio, CS:Ariane Pães e Doces, CS:Padaria Sao Carlos, PH:Drogalis
2498558549; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Guaianases; Guaianases; RESIDENTIAL; 60; 60; Comprar; 235000; 2; 0; 1; 2; 0; ; Trata-se de um conjunto de apartamentos com excelente disposição e localização, a 500 metros da Estação Guaianazes.<br>São apartamentos de 02 dormitórios com a possibilidade de construir um 3º, sala para 02 ambientes, cozinha, banheiros, área de serviços e 02 vagas.<br>Documentações em dia.<br>Caso queira conhecer esta imóvel, agende sua visita sem compromisso. - Data da Atualização:; SC:Divilar, SC:Quiosquer, SC:Belly, SU:E.M.E.F. Vereadora Anna Lanberga Zéglio, CH:Unidade Básica de Saúde Prestes Maia, BR:Toque de Arte
2499474223; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Guaianases; Guaianases; RESIDENTIAL; 52; 52; Comprar; 180000; 1; 0; 1; 2; 336; 08412000; Apartamento residencial à venda, Guaianazes.<br><br>02 dormitórios, sala para 02 ambientes, área de serviço, banheiro social, 01 vaga de garagem.<br><br>Reforma realizada recentemente, sanca de gesso na sala, revestimento de gesso na parede, box blindex no banheiro.<br><br>Condomínio oferece também, portaria 24 horas, elevador, salão de festas com churrasqueira, quadra poliesportiva e playground.<br><br>Região abastecida com comércios e centro financeiro. Próximo ao Mercadão Municipal de Guaianases, UBS, EMEF Professor João de Lima Paiva.<br><br>Há 9 minutos de caminhada para a Estação da CPTM Guaianases. Fácil acesso à Avenida Jacu Pêssego, Rodovia Rodoanel e Radial Leste.<br><br>Aceita financiamento e utilização do seu FGTS -; BS:Ponto final: 2755-10, BS:Ponto final do ônibus 3006-10 Jd Fanganiello - Est. Guaianases, BS:Ponto final: 2756-10 e 3063-41, BS:Metrô Itaquera - Linha 2708-10, TS:Guaianases, TS:Metrô Itaquera - Linha 2708-10, CS:Padaria Sao Carlos, CS:Flor do Lajeado, PH:Drogalis
2486569016; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Guaianases; Guaianases; RESIDENTIAL; 96; 96; Comprar; 190000; 3; 0; 2; 3; 0; ; São duas casas uma com 5 cômodos e banheiro, outra com 4 cômodos e banheiro. garagem para 3 carros, água e luz individual, isento de IPTU, Com escritura. ponto de ônibus a 200 metrôs. 2 km do hospital Geral de Guaianases. <br>Aceita proposta por apartamento ou terreno. aceita veículo como parte.<br>Obs: para troca o valor é 210.00 mil. casa está sem acabamento por fora, porém por dentro instalações elétricas e pintura nova.<br>As duas casas se encontra alugadas com renda de 1.300, Sendo que já deixei ciente os inquilinos da venda do Imóvel. as fotos são recentes do Imóvel. - Atualizado em: -; SU:E.M.E.F. Vereadora Anna Lanberga Zéglio, CH:Unidade Básica de Saúde Prestes Maia, SC:Divilar, SC:Quiosquer, SC:Belly, BR:Toque de Arte
2499475005; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Guaianases; Guaianases; RESIDENTIAL; 54; 54; Comprar; 170000; 0; 0; 1; 2; 270; 08041715; Apartamento em Condomínio, Jardim Lajeado<br><br>02 dormitórios, sala ampla para 02 ambientes, cozinha e lavanderia separadas, 01 vaga de garagem.<br><br>Apartamento todo em porcelanato, além da varanda, há um pequeno quintal.<br><br>Condomínio oferece quadra poliesportiva.<br><br>Fácil acesso as principais marginais/rodovias e transporte público. Farto em comércios no geral pela região, hospitais e escolas. -; BS:Rua José Vieria Guimaraes,24, BS:Rua José Vieria Guimaraes,283, BS:Rua Padre Nildo do Amaral Júnior,419, BS:Rua José Vieria Guimaraes,580, BS:Rua José Vieria Guimaraes,811, CS:PG Pães Ultracongelados, CS:Padaria Flor do Imperador, CS:Padaria Número Hum, CS:PG pães ultracongelados, CH:Unidade Básica de Saúde Vila Nova Curuça, CH:UBS Vila Santana, CH:Hospital Tide Setubal, CH:Assistência Médica Ambulatorial, SC:Supermercado Pepe, SC:Salão da Lilia, SC:Craveiro
2488791265; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Guaianases; Guaianases; RESIDENTIAL; 180; 180; Comprar; 280000; 2; 1; 1; 2; 0; ; SOBRADO TOTALMENTE MOBILIADO!!!<br>O imóvel que você procura encontra aqui, confira:<br><br>Apartamento com Planta de 180m² (área útil), em uma distribuição de: 02 Dormitórios, 01 Suíte, Sacada, Cozinha, Sala de Estar, 01 Banheiro, Quintal e Área de Serviço. <br><br>-02 Vagas de Garagem;<br><br>Imóvel Reformado: Acabamento Esterno em Grafiato e Piso Frio Anti derrapante, Espaço Interno Piso Frio, Acabamento em Gesso Com Sanca, Iluminação em Led, Móveis Planejados na Cozinha, Dormitórios, Banheiro e área de Serviço. Espaço Gourmet com churrasqueira e Pia em Alumínio. Ótimo pra você e toda sua Familia! <br><br>Ótima Localização, com fácil acesso à toda infra-estrutura que a região oferece: Transportes Coletivo, à menos de (6 Min) da Estação Guaianases, Próximo a Escolas, Supermercados e toda Infra-Estrutura comercial, tudo bem pertinho do seu imóvel!<br><br>-Pagamento Somente À Vista, porem facilitada;<br><br>Venha Conhecer Sua Nova Moradia hoje mesmo. Agende sua visita com um dos nossos consultores.,<br>Fale conosco: -; SC:Divilar, SC:Quiosquer, SC:Belly, BR:Toque de Arte, SU:E.M.E.F. Vereadora Anna Lanberga Zéglio, CH:Unidade Básica de Saúde Prestes Maia
2499474204; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Guaianases; Guaianases; RESIDENTIAL; 225; 120; Comprar; 260000; 3; 0; 1; 3; 0; 08410550; Casa Térrea com 120 m² de área construída, em Terreno de 9,00 metros por 25,00 metros, no bairro de Guaianazes /Vila Princesa Isabel.<br><br>03 dormitórios, sala, cozinha, banheiro, lavanderia e quintal aos fundos onde tem uma edícula com 02 cômodos.<br><br>Vaga na frente para 03 veículos.<br><br>Na parte externa da casa e edícula precisa de pequena reforma.<br><br>Construção não está averbada, assim, a venda deverá ser feita somente à vista. <br><br>Localização próximo de comércio, escolas e transporte publico.<br><br> Agende já sua visita! -; BS:Rua João Bodin,120, BS:Rua João Bodin,436, TS:Guaianases, TS:José Bonifácio, CS:Padaria Sao Carlos, CS:Ariane Pães e Doces, PH:Drogalis
2493349391; HOME; UNIT; BR; São Paulo; SP; Rua da Lagoa de Esmoriz; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Guaianases; Guaianases; RESIDENTIAL; 85; 85; Comprar; 264300; 1; 2; 3; 2; 0; 08460150; Sobrado frontal a venda em Guaianases.<br><br>excelente sobrado sendo Composto por 02 dormitórios com duas suítes, ampla sala para dois ambientes, ampla cozinha com luz e ventilação natural, área de serviço, wc social, 01 vaga de garagem.<br><br>Próximo à uma das principais vias do bairro, onde está amparado por comércios e conduções públicas fácil acesso ao foru. <br><br>Aceita financiamento e utilização do FGTS ou seu Veículo Sob Avaliação! <br><br>Temos uma assessoria Bancária própria, pronta para lhe atender! <br><br>Ligue e faça sua simulação gratuita, e agende sua visita!<br><br>Siga nossas redes sociais<br>www.agnimoveis.com.br -; BS:Ponto final do ônibus 3006-10 Jd Fanganiello - Est. Guaianases, BS:Ponto final: 2755-10, BS:Ponto final: 2756-10 e 3063-41, BS:Metrô Itaquera - Linha 2708-10, BS:Parada Cemitério do Lageado, TS:Guaianases, TS:Metrô Itaquera - Linha 2708-10, TS:Parada Cemitério do Lageado, CS:Flor do Lajeado, CS:Padaria Sao Carlos, PH:Drogalis
2499143597; APARTMENT; UNIT; BR; São Paulo; SP; Rua Otelo Augusto Ribeiro; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Guaianases; Guaianases; RESIDENTIAL; 52; 46; Comprar; 130000; 1; 0; 1; 2; 240; 08461900; Apartamento em Condomínio Padrão para Venda no bairro Guaianazes, 2 dormitórios, 1 vaga, 46,5550 m² de área privativa e 52,9258m² de área total construída. Ótimo acabamento e estado de conservação.<br>- Área Privativa: Armário na cozinha, Área de serviço, Cozinha, Sala de estar, Sala de jantar, Aceita PET.<br>- Área de Lazer: Área verde.<br>- Infra Estrutura: Água Individualizada, Condomínio fechado, Controle de acesso ao condomínio, Energia elétrica individualizada, Guarita, Interfone, Portão duplo de entrada de pedestre, Portão eletrônico, Rua asfaltada, Sem elevador, Sistema de segurança, Vaga demarcada.<br>Aceita financiamento e FGTS. - Data da Atualização:; BS:Ponto final do ônibus 3006-10 Jd Fanganiello - Est. Guaianases, TS:Guaianases, CS:Padaria Sao Carlos, PH:Drogalis
2499025401; HOME; UNIT; BR; São Paulo; SP; Rua Francisco Bajarte; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Guaianases; Guaianases; RESIDENTIAL; 419; 419; Comprar; 288000; 2; 0; 2; 1; 0; 08461270; Lindo terreno muito bem localizado, com 419m2 sendo, 6m de frente, 12,50m de fundos e 50m de comprimento.<br>Com pequeno desnível para os fundos, podendo ser construído 2 ótimos sobrados.<br>Existe uma construção de uma casa de 3 cômodos e um cômodo na frente no nível da rua (sem valor comercial).<br>O terreno está financiado pela CAIXA ECONOMICA (com dívida de +ou- R$120mil), ficando por conta do comprador, se assume o financiamento e paga diferença ou quita tudo.<br>Anúncio do corretor de imóveis Fernando Antônio Leal CRECI: 59541; TS:Guaianases, CS:Padaria Sao Carlos, PH:Drogalis, CH:Unidade Básica de Saúde Prestes Maia
