IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2460376835; APARTMENT; UNIT; BR; Ribeirão Preto; SP; Rua Albino Gonçalves; BR>Sao Paulo>NULL>Ribeirao Preto>Barrios>Iguatemi; Iguatemi; RESIDENTIAL; 100; 100; Comprar; 250000; 1; 1; 2; 3; 400; 14091440; (Cód.: 57795) Vende-se Apartamento (Tipo - padrao) no bairro Jardim Iguatemi, área construída de 100 m2, 3 dormitório(s) sendo 1 suite(s), 2 banheiro(s), 1 garagem(ns) sendo 1 coberta(s), área de serviço, cozinha com gabinete, 1 sala(s), interfone, gás encanado, elevador social, portão eletrônico, portaria 24 horas. Imóvel localizado nas proximidades da(o) Faculdade Unaerp, Shopping Novo Shopping, *Zona Leste, Faculdade Barão de Mauá do Jardim Paulista, Igreja Cristo Rei. (1367). (*) Valor do Condomínio: valor variável, devendo ser consultado/atualizado junto à Administradora do Condomínio.; BS:Rua Alfredo Benzoni, BS:Rua Albino Gonçalves, BS:Rua Hilário Azzolini, BS:Avenida Presidente Castelo Branco, BS:Rua Valentin Mestriner, TS:Rua Alfredo Benzoni, TS:Rua Albino Gonçalves, TS:Rua Hilário Azzolini, TS:Avenida Presidente Castelo Branco, TS:Rua Valentin Mestriner, CS:Panificadora Santana, CS:Família Rodrigues Empório, CS:Doçura Pães e Doces, CH:Hospital Electro Bonini
2460375757; APARTMENT; UNIT; BR; Ribeirão Preto; SP; Rua Albino Gonçalves; BR>Sao Paulo>NULL>Ribeirao Preto>Barrios>Iguatemi; Iguatemi; RESIDENTIAL; 35; 35; Comprar; 140000; 1; 0; 1; 1; 100; 14091440; (Cód.: 58980) Vende-se Apartamento (Tipo - padrao) no bairro Jardim Iguatemi, área construída de 35 m2, 1 dormitório(s), 1 banheiro(s), 1 garagem(ns), área de serviço, cozinha com armários, 1 sala(s), interfone, portão eletrônico. Imóvel localizado nas proximidades da(o) Faculdade Unaerp, Shopping Novo Shopping, *Zona Leste, Faculdade Barão de Mauá do Jardim Paulista, Igreja Cristo Rei. (1367). (*) Valor do Condomínio: valor variável, devendo ser consultado/atualizado junto à Administradora do Condomínio.; BS:Rua Alfredo Benzoni, BS:Rua Hilário Azzolini, BS:Avenida Presidente Castelo Branco, BS:Rua Albino Gonçalves, BS:Rua Jorge Fazolin, TS:Rua Alfredo Benzoni, TS:Rua Hilário Azzolini, TS:Avenida Presidente Castelo Branco, TS:Rua Albino Gonçalves, TS:Rua Jorge Fazolin, CS:Panificadora Santana, CS:Família Rodrigues Empório, CS:Doçura Pães e Doces, CH:Hospital Electro Bonini
2495031378; FLAT; UNIT; BR; Ribeirão Preto; SP; Rua Alfredo Benzoni; BR>Sao Paulo>NULL>Ribeirao Preto>Barrios>Iguatemi; Iguatemi; RESIDENTIAL; 22; 22; Comprar; 149000; 1; 0; 1; 1; 212; 14091520; Vende Flat mobiliado próximo UNAERP, de fácil locação renda extra, estuda permuta por apartamento maior até 250 mil -; BS:1643, BS:Marginal da Av. Leão XIII, BS:Rua Argeu Fuliotto, BS:Rua Alfredo Benzoni, BS:1642, TS:Marginal da Av. Leão XIII, TS:Rua Argeu Fuliotto, TS:Rua Alfredo Benzoni, TS:Rua Adolfo Zeo, TS:Avenida Leão Décimo Terceiro, CS:Panificadora Santana, CS:Família Rodrigues Empório, CS:Doçura Pães e Doces, CS:Bella Città, PH:Drogaria Portugal
2498604088; APARTMENT; UNIT; BR; Ribeirão Preto; SP; Rua Eugênio Del Lama; BR>Sao Paulo>NULL>Ribeirao Preto>Barrios>Iguatemi; Iguatemi; RESIDENTIAL; 0; 70; Comprar; 360000; 2; 1; 2; 2; 0; 14091428; Apartamentos Arnaldo Victaliano (Próximo a Unaerp)<br>.<br>- Apartamentos com 70m²<br>- 2 Dormitórios sendo 1 suíte<br>- 2 Vagas de garagem<br>- Varanda gourmet<br>- Portaria 24 horas<br>- Acabamento em porcelanato<br>Lazer completo: Salão de festas, espaço gourmet, quadra poliesportiva, academia, piscinas adulto e infantil, playground, brinquedoteca, salão de jogos, churrasqueira, sauna.<br>.<br>Creci 175863; BS:Rua Valentin Mestriner, BS:Rua Albino Gonçalves, BS:Rua Arnaldo Victaliano, BS:Rua Antonieta Rigobelo Canesin, BS:Rua Alfredo Benzoni, TS:Rua Valentin Mestriner, TS:Rua Albino Gonçalves, TS:Rua Arnaldo Victaliano, TS:Rua Antonieta Rigobelo Canesin, TS:Rua Alfredo Benzoni, CS:Panificadora Santana, CS:Família Rodrigues Empório, CS:Doçura Pães e Doces, CS:Bella Città, CS:Panificadora Via Veneto, PH:Drogaria Portugal
2465938280; APARTMENT; UNIT; BR; Ribeirão Preto; SP; Rua Arnaldo Victaliano; BR>Sao Paulo>NULL>Ribeirao Preto>Barrios>Iguatemi; Iguatemi; RESIDENTIAL; 73; 73; Comprar; 280000; 1; 1; 2; 3; 490; 14091530; 181012 - Apartamento com 03 dormitórios sendo 01 suíte, sala 2 ambientes, cozinha com armários, varanda, área de serviço, 1 vaga na garagem. Possui 73 m² de área útil.&nbsp;O condomínio oferece uma ampla área de lazer com piscina infantil e adulto, academia, salão de festas, portaria 24 horas.&nbsp;Próximo à UNAERP.<br> Academia, Área de Serviço, Armários, Banheiro, Cozinha Americana, Elevador, Piscina, Playground, Portaria, Sacada, Vaga Coberta; BS:Rua Valentin Mestriner, BS:Rua Albino Gonçalves, BS:Rua Alfredo Benzoni, BS:Marginal da Av. Leão XIII, BS:Rua Arnaldo Victaliano, TS:Rua Valentin Mestriner, TS:Rua Albino Gonçalves, TS:Rua Alfredo Benzoni, TS:Marginal da Av. Leão XIII, TS:Rua Arnaldo Victaliano, CS:Panificadora Santana, CS:Família Rodrigues Empório, CS:Doçura Pães e Doces, CS:Bella Città, PH:Drogaria Portugal
2495650217; APARTMENT; UNIT; BR; Ribeirão Preto; SP; Rua Arnaldo Victaliano; BR>Sao Paulo>NULL>Ribeirao Preto>Barrios>Iguatemi; Iguatemi; RESIDENTIAL; 60; 60; Comprar; 192000; 0; 0; 1; 2; 150; 14091313; Apartamento novo de 2 dormitório, com armários e ótima localização, próximo a Unaerp, faculdades COC, academia, farmácia e mercado. -; BS:Rua Theodomiro Uchôa Neto, BS:Rua Arnaldo Victaliano, BS:Rua Doutor Joaquim Estanislau de Gusmão, BS:Rua Antonieta Rigobelo Canesin, BS:Rua Valentin Mestriner, TS:Rua Theodomiro Uchôa Neto, TS:Rua Arnaldo Victaliano, TS:Rua Doutor Joaquim Estanislau de Gusmão, TS:Rua Antonieta Rigobelo Canesin, TS:Rua Valentin Mestriner, CS:Panificadora Santana, CS:Doçura Pães e Doces, CS:Panificadora Via Veneto, CS:Família Rodrigues Empório, CS:Bella Città, PH:Drogaria Portugal
2495651000; APARTMENT; UNIT; BR; Ribeirão Preto; SP; Rua Arnaldo Victaliano; BR>Sao Paulo>NULL>Ribeirao Preto>Barrios>Iguatemi; Iguatemi; RESIDENTIAL; 83; 83; Comprar; 265000; 2; 1; 3; 3; 560; 14091530; Apartamento a venda, todo reformado<br>Andar médio<br>3 quartos sendo 1 reversível para ampliar a sala<br>Área de lazer do condomínio completa: salão de festas, piscina, churrasqueira, parquinho e quadra de jogos<br>Portaria 24 horas -; BS:Rua Theodomiro Uchôa Neto, BS:Rua Doutor Joaquim Estanislau de Gusmão, BS:Rua Júlio de Mesquita Filho, BS:Rua Arnaldo Victaliano, BS:Avenida Maria de Jesus Condeixa, TS:Rua Theodomiro Uchôa Neto, TS:Rua Doutor Joaquim Estanislau de Gusmão, TS:Rua Júlio de Mesquita Filho, TS:Rua Arnaldo Victaliano, TS:Avenida Maria de Jesus Condeixa, CS:Panificadora Santana, CS:Doçura Pães e Doces, CS:Panificadora Via Veneto, CS:Delícias do Nordeste, CS:Bella Città, PH:Drogaria Portugal
2486218476; APARTMENT; UNIT; BR; Ribeirão Preto; SP; ; BR>Sao Paulo>NULL>Ribeirao Preto>Barrios>Iguatemi; Iguatemi; RESIDENTIAL; 73; 63; Comprar; 230000; 1; 1; 2; 3; 275; 14091310; Apartamento no Bairro Presidente Médici / Iguatemi, 63 m², 2 dormitórios com armários, sendo 1 suíte, 2 banheiros com armários, box e espelho, sala de estar com painel/rack, sala de jantar (quarto reversível), cozinha planejada, área de serviço e 1 vaga de garagem coberta.; BS:Rua Doutor Joaquim Estanislau de Gusmão, BS:Rua Theodomiro Uchôa Neto, BS:Rua Arnaldo Victaliano, BS:Rua Antonieta Rigobelo Canesin, BS:Rua Valentin Mestriner, TS:Rua Doutor Joaquim Estanislau de Gusmão, TS:Rua Theodomiro Uchôa Neto, TS:Rua Arnaldo Victaliano, TS:Rua Antonieta Rigobelo Canesin, TS:Rua Valentin Mestriner, CS:Panificadora Santana, CS:Doçura Pães e Doces, CS:Panificadora Via Veneto, CS:Delícias do Nordeste, CS:Família Rodrigues Empório, PH:Drogaria Portugal
2459208700; APARTMENT; UNIT; BR; Ribeirão Preto; SP; ; BR>Sao Paulo>NULL>Ribeirao Preto>Barrios>Iguatemi; Iguatemi; RESIDENTIAL; 82; 67; Comprar; 223500; 1; 1; 2; 3; 420; 14091530; Apartamento com 03 dormitórios sendo 01 suíte, cozinha planejada, área de serviço, completo em armários, sala 02 ambientes e 01 vaga de garagem.; BS:1643, BS:1642, BS:1663, BS:1664, BS:1636, TS:Mini Rodoviária, TS:1583, TS:1560, CS:Panificadora Santana, CS:Família Rodrigues Empório, CS:Doçura Pães e Doces, CS:Bella Città, CS:Panificadora Via Veneto, PH:Drogaria Portugal
2497208421; FLAT; UNIT; BR; Ribeirão Preto; SP; ; BR>Sao Paulo>NULL>Ribeirao Preto>Barrios>Iguatemi; Iguatemi; RESIDENTIAL; 70; 70; Alugar/Comprar; 1000; 1; 1; 2; 1; 640; 14091220; Apartamento Loft residencial para Venda e Locação<br>Jardim Iguatemi, Ribeirão Preto, excelente localização,<br>1 dormitório sendo 1 suíte, 1 sala, 2 banheiros, 1 vaga<br>70,00 m² útil<br><br>Fale conosco: -; BS:Rua Júlio de Mesquita Filho, BS:Rua Alexandre Gomes de Abreu, BS:Avenida Maria de Jesus Condeixa, BS:Rua Theodomiro Uchôa Neto, BS:Rua Marisa, TS:Rua Júlio de Mesquita Filho, TS:Rua Alexandre Gomes de Abreu, TS:Avenida Maria de Jesus Condeixa, TS:Rua Theodomiro Uchôa Neto, TS:Rua Marisa, CS:Doçura Pães e Doces, CS:Panificadora Santana, CS:Panificadora Via Veneto, CS:Bella Città, CS:Delícias do Nordeste, PH:Drogaria Portugal
2488013268; HOME; UNIT; BR; Ribeirão Preto; SP; Rua Eugênio Del Lama; BR>Sao Paulo>NULL>Ribeirao Preto>Barrios>Iguatemi; Iguatemi; RESIDENTIAL; 73; 73; Comprar; 310000; 0; 1; 2; 2; 0; 14091428; Durante o período de quarentena, estamos atendendo via whatsapp.<br>Locações: // // // // // <br>Vendas: // <br>09/10 - Casa no Iguatemi com 2 Dormitorios com Ventilador de teto sendo 1 Suite com Blindex, Sala 2 ambientes com Ar condicionado, Cozinha toda azulejada e com Armarios, Area de servico, Banheiro com Pia, Espelho e Blindex, Varanda e Quintal nos fundos, Garagem para 2 carros com portao Eletronico basculhante.<br><br>Excelente localizacao, proximo a Unaerp. Hospital Sao Francisco, SESI, Toninho Supermercado entre outros estabelecimentos da regiao. Acesso facil atraves da Avenida Castelo Branco e Leao XIII.<br><br>## OTIMO PARA INVESTIMENTO, IMOVEL JA LOCADO ##<br><br>Gostou? Solicite agora uma visita sem compromisso (16) 9 9 6 2 8 - 8 3 3 0 /// (16) 9 9 1 2 3 - 1 2 3 4; BS:Rua Valentin Mestriner, BS:Rua Albino Gonçalves, BS:Rua Arnaldo Victaliano, BS:Rua Antonieta Rigobelo Canesin, BS:Rua Alfredo Benzoni, TS:Rua Valentin Mestriner, TS:Rua Albino Gonçalves, TS:Rua Arnaldo Victaliano, TS:Rua Antonieta Rigobelo Canesin, TS:Rua Alfredo Benzoni, CS:Panificadora Santana, CS:Família Rodrigues Empório, CS:Doçura Pães e Doces, CS:Bella Città, CS:Panificadora Via Veneto, PH:Drogaria Portugal
