IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2477185143; APARTMENT; UNIT; BR; São Paulo; SP; Rua Ipiranga; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Aeroporto; Jardim Aeroporto; RESIDENTIAL; 109; 109; Comprar; 936900; 2; 2; 3; 4; 0; 04633000; Apartamentos tem vista para o Parque do Chuvisco <br>109m² <br>4 dorms. <br>2 vagas Determinadas <br> <br>O Jardim Aeroporto está ao lado do Campo Belo, e tem interligação direta com uma das mais completas infraestruturas de comércio e serviços de São Paulo. <br> <br>O bairro está em pleno processo de desenvolvimento e valorização, com a implantação de grandes áreas verdes como o Parque do Chuvisco <br> <br>Acesso à Av. Roberto Marinho, em poucos minutos, você chega à região da Berrini e Morumbi Shopping <br> <br>Uma excelente área de lazer confira: <br>Piscina climatizada <br>Piscina adulto com deck molhado <br>Piscina infantil <br>Fitness <br>Salão de festas com espaço gourmet <br>Espaço zen <br>Churrasqueira com forno de pizza <br>Playground <br>Spa com sala de massagem <br>Sauna <br>Salão de jogos juvenil <br>Brinquedoteca <br>Redário <br>Mini quadra <br>Lounges externos <br> <br>* Consulte disponibilidade <br>* Não aceitamos permuta <br>* Visitas no local é somente com dia e horário agendados, caso prefira agende <br>sua visita através do WhatsApp com os corretores Moraes (11) 9. ou Charles (11) 9. <br> <br>Fale conosco: - <br> Revisado em; BS:Ponto Linha 470 - Santo André, BS:Ponto Linha 609-10J Metrô São Judas, BS:Aeroporto de Congonhas, BS:Parada Washington Luís, BS:Parada Monte Alegre, TS:Ponto Linha 470 - Santo André, TS:Ponto Linha 609-10J Metrô São Judas, TS:Aeroporto de Congonhas, TS:Parada Washington Luís, TS:Parada Monte Alegre, CS:Piriquito, CS:Central de Carnes Santa Catarina, CS:Nova Pérola, CS:Kopenhagen, CS:Delírio Holandês, PH:Farmácia Ândira, PH:Poupa Farma
2437374779; APARTMENT; UNIT; BR; São Paulo; SP; Rua Vapabussu; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Aeroporto; Jardim Aeroporto; RESIDENTIAL; 0; 47; Comprar; 620000; 1; 1; 2; 1; 580; 04632010; Pronto para morar. 2 banheiros, sendo uma suíte e um lavabo. 1 vaga de garagem determinada e com acesso independente. Varanda fechada com sistema de vidros e cortina em folhas. Ar condicionado. Apartamento no 22º andar com vista para o aeroporto. Facilidade de acesso para o aeroporto de congonhas. No valor do condomínio estão incluídos gás, água e luz comum. Agende sua visita!; BS:Aeroporto de Congonhas, BS:Ponto Linha 470 - Santo André, BS:Ponto Linha 609-10J Metrô São Judas, BS:Parada Ademar de Morais, BS:Parada Adhemar de Moraes, TS:Aeroporto de Congonhas, TS:Ponto Linha 470 - Santo André, TS:Ponto Linha 609-10J Metrô São Judas, TS:Parada Ademar de Morais, TS:Parada Adhemar de Moraes, CS:Piriquito, CS:Nova Pérola, CS:A Trigueira, CS:Dom Pedro, CS:Central de Carnes Santa Catarina, PH:Drogaria São Paulo
2434762039; APARTMENT; UNIT; BR; São Paulo; SP; Rua Vapabussu; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Aeroporto; Jardim Aeroporto; RESIDENTIAL; 0; 52; Comprar; 579000; 1; 1; 2; 1; 670; 04632010; Apartamento Loft, uma suíte, confortável com vista incrível. Totalmente equipado com eletros, armários e ar condicionado. Projeto bastante completo e prático! Localizado em rua tranquila há 800m do aeroporto de Congonhas. Super iluminado, projeto assinado pela Arq. Melina Romano. Conta com cozinha gourmet, ambiente totalmente integrado e marcenaria impecável. Lazer completo no prédio: piscina coberta, sauna, academia e segurança 24h. Acesso ao prédio com biometria. Andar alto. Diferencial no prédio, andar alto com vaga de garagem solta. Excelente opção para quem precisa de solução prática na cidade de SP.; BS:Aeroporto de Congonhas, BS:Ponto Linha 470 - Santo André, BS:Ponto Linha 609-10J Metrô São Judas, BS:Parada Ademar de Morais, BS:Parada Adhemar de Moraes, TS:Aeroporto de Congonhas, TS:Ponto Linha 470 - Santo André, TS:Ponto Linha 609-10J Metrô São Judas, TS:Parada Ademar de Morais, TS:Parada Adhemar de Moraes, CS:Piriquito, CS:Nova Pérola, CS:A Trigueira, CS:Dom Pedro, CS:Central de Carnes Santa Catarina, PH:Drogaria São Paulo
2438747552; APARTMENT; UNIT; BR; São Paulo; SP; Rua Vapabussu; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Aeroporto; Jardim Aeroporto; RESIDENTIAL; 0; 50; Comprar; 447000; 1; 1; 2; 1; 630; 04632010; apartamento contendo uma suite, lavabo, cozinha americana, area de serviço, terraço, sala de estar, area comum com 02 churrasqueiras, forno de pizza, piscina, academia, sauna, jacuzzi , segurança 24hs, a um km do aeroporto de congonhas.; BS:Aeroporto de Congonhas, BS:Ponto Linha 470 - Santo André, BS:Ponto Linha 609-10J Metrô São Judas, BS:Parada Ademar de Morais, BS:Parada Adhemar de Moraes, TS:Aeroporto de Congonhas, TS:Ponto Linha 470 - Santo André, TS:Ponto Linha 609-10J Metrô São Judas, TS:Parada Ademar de Morais, TS:Parada Adhemar de Moraes, CS:Piriquito, CS:Nova Pérola, CS:A Trigueira, CS:Dom Pedro, CS:Central de Carnes Santa Catarina, PH:Drogaria São Paulo
2497019235; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Rua José Mesa Campos; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Aeroporto; Jardim Aeroporto; RESIDENTIAL; 0; 140; Comprar; 355300; 1; 2; 1; 3; 0; 04633030; Valor de avaliação: R$ 550.000,00<br>Valor mínimo de venda: R$ 355.300,01 ( desconto de 35,4%<br><br>quarto , 1 Vaga na Garagem, área de serviço, edícula, 2 suites, WC, sala, sacada, cozinha. <br><br>RUA JOSE MESA CAMPOS,N. 11, JARDIM AEROPORTO - CEP: 04633-030, SAO PAULO - SAO PAULO<br><br>Compre imóveis de propriedade da Caixa Econômica Federal com até 50% de desconto e tenha assessoria totalmente gratuita na Todda!<br>Os nossos serviços são gratuitos, desde a pré análise, até a entrega das chaves.<br>Incluindo os honorários advocatícios.; BS:Ponto Linha 470 - Santo André, BS:Ponto Linha 609-10J Metrô São Judas, BS:Aeroporto de Congonhas, BS:Parada Washington Luís, BS:Parada Monte Alegre, TS:Ponto Linha 470 - Santo André, TS:Ponto Linha 609-10J Metrô São Judas, TS:Aeroporto de Congonhas, TS:Parada Washington Luís, TS:Parada Monte Alegre, CS:Piriquito, CS:Central de Carnes Santa Catarina, CS:Delírio Holandês, CS:Kopenhagen, CS:Nova Pérola, PH:Drogaria São Paulo, PH:Farmácia Ândira, PH:Poupa Farma
2437683647; APARTMENT; UNIT; BR; São Paulo; SP; Rua Viaza; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Aeroporto; Jardim Aeroporto; RESIDENTIAL; 65; 43; Comprar; 485000; 1; 1; 2; 1; 400; 04633050; Apartamento diferenciado, um dormitório, sacada grande, alto padrão, vaga de garagem, lazer com piscina, espaço gourmet, sauna, lavanderia, salão de festas e fitness, Campo Belo, fácil acesso ao Aeroporto Congonhas, centro, marginal, vale conferir! Com a Nova São Paulo a compra do seu imóvel é mais segura. Oferecemos assessoria gratuita em financiamento imobiliário, orientando o cliente em todo o processo de negociação. Você pode agendar sua visita ou tirar dúvidas também pelo whatsApp. Confira nossos telefones.; BS:Ponto Linha 470 - Santo André, BS:Aeroporto de Congonhas, BS:Ponto Linha 609-10J Metrô São Judas, BS:Parada Monte Alegre, BS:Parada Washington Luís, TS:Ponto Linha 470 - Santo André, TS:Aeroporto de Congonhas, TS:Ponto Linha 609-10J Metrô São Judas, TS:Parada Monte Alegre, TS:Parada Washington Luís, CS:Piriquito, CS:Nova Pérola, CS:Central de Carnes Santa Catarina, CS:Kopenhagen, CS:Recanto da Mascote, PH:Farmácia Ândira, PH:Poupa Farma
2499250175; HOME; UNIT; BR; São Paulo; SP; Rua Benjamin Costa; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Aeroporto; Jardim Aeroporto; RESIDENTIAL; 140; 100; Comprar; 320000; 2; 1; 2; 3; 0; 04633010; Imóvel recém reformado,possui 100 metros quadrados com 3 quartos sendo 1 suíte e 2 banheiros, churrasqueira, garagem com vaga para dois carros. Vai lhe possibilitar todo o conforto do ar condicionado nos dias mais quentes. <br>DIVIDA BANCARIA<br>NÃO ACEITAMOS FGTS COMO ENTRADA.; BS:Ponto Linha 470 - Santo André, BS:Ponto Linha 609-10J Metrô São Judas, BS:Aeroporto de Congonhas, BS:Parada Washington Luís, BS:Parada Monte Alegre, TS:Ponto Linha 470 - Santo André, TS:Ponto Linha 609-10J Metrô São Judas, TS:Aeroporto de Congonhas, TS:Parada Washington Luís, TS:Parada Monte Alegre, CS:Piriquito, CS:Central de Carnes Santa Catarina, CS:Nova Pérola, CS:Kopenhagen, CS:Recanto da Mascote, PH:Farmácia Ândira, PH:Poupa Farma
2269135611; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Washington Luís; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Aeroporto; Jardim Aeroporto; RESIDENTIAL; 65; 48; Comprar; 305000; 0; 0; 1; 1; 350; 04626001; apartamento com 1 dormitorio, sem garagem, terreo, todo reformado,baixo valor de condominio , predio com salão de festa , recuado,proximo ao aeroporto de congonhas, super mercado extra , churrascarias e comercio em geral, confira mais esta oferta da paulista imoveis. -; BS:Aeroporto de Congonhas, BS:Ponto Linha 609-10J Metrô São Judas, BS:Ponto Linha 470 - Santo André, BS:Parada Ademar de Morais, BS:Parada Adhemar de Moraes, TS:Aeroporto de Congonhas, TS:Ponto Linha 609-10J Metrô São Judas, TS:Ponto Linha 470 - Santo André, TS:Parada Ademar de Morais, TS:Parada Adhemar de Moraes, CS:Piriquito, CS:A Trigueira, CS:Dom Pedro, CS:Nova Pérola, CS:Orquídea Pérola do Brooklin, CH:Clínica Odontológica Soares, CH:Hospital Moriah
2241575831; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Washington Luís; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Aeroporto; Jardim Aeroporto; RESIDENTIAL; 52; 52; Comprar; 298000; 0; 0; 1; 1; 424; 04626001; Excelente apartamento, todo reformado, dormitório com armários planejados, WC social, sala 02 ambientes, cozinha com planejados e área de serviço.<br>Condomínio possui salão de festas e portaria 24 horas.<br>Fica próximo à supermercados, restaurantes, lojas, bancos, ponto de ônibus, fácil acesso para Av. dos Bandeirantes e Av. Jornalista Roberto Marinho.<br>Não deixe de visitar e conhecer esse imóvel de perto!<br><br>Agende uma visita com o consultor!<br>Mais informações sobre este imóvel:<br>Bairro: Jardim Aeroporto<br>Dormitórios: 1<br>Suítes: 0 Pascal Imóveis, sua consultoria imobiliária.; BS:Aeroporto de Congonhas, BS:Ponto Linha 609-10J Metrô São Judas, BS:Ponto Linha 470 - Santo André, BS:Parada Ademar de Morais, BS:Parada Adhemar de Moraes, TS:Aeroporto de Congonhas, TS:Ponto Linha 609-10J Metrô São Judas, TS:Ponto Linha 470 - Santo André, TS:Parada Ademar de Morais, TS:Parada Adhemar de Moraes, CS:Piriquito, CS:A Trigueira, CS:Dom Pedro, CS:Nova Pérola, CS:Orquídea Pérola do Brooklin, CH:Clínica Odontológica Soares, CH:Hospital Moriah
2494679927; APARTMENT; UNIT; BR; São Paulo; SP; Rua Viaza; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Aeroporto; Jardim Aeroporto; RESIDENTIAL; 69; 69; Alugar/Comprar; 3000; 1; 1; 1; 2; 490; 04633050; Apartamento da 69 m² Campo Belo Para Venda e Locação 2 Dormitórios 1 vaga 1 Suite, piso laminado , Mobiliado , tudo novo , Apartamento bem arejado e iluminado .<br>Espaço Gourmet,Lavanderia Coletiva,Piscina,Piscina Infantil,Sala De Ginástica,Salão De Festa,Sauna.<br>Picanha Grill Churrascaria, Jucalemão<br>90 graus escalada esportiva,Bar do Peixe<br>Igreja da Graça,Castelão Atacadista<br>Trattoria Carasi,Dia,Opala Pães e Doces<br>St. Marché , Cassandoca Pães e Gastronomia<br>Droga Raia,Bradesco Parking<br>Pousada do Cowboy,Nextel -; BS:Ponto Linha 470 - Santo André, BS:Aeroporto de Congonhas, BS:Ponto Linha 609-10J Metrô São Judas, BS:Parada Monte Alegre, BS:Parada Washington Luís, TS:Ponto Linha 470 - Santo André, TS:Aeroporto de Congonhas, TS:Ponto Linha 609-10J Metrô São Judas, TS:Parada Monte Alegre, TS:Parada Washington Luís, CS:Piriquito, CS:Nova Pérola, CS:Central de Carnes Santa Catarina, CS:Kopenhagen, CS:Recanto da Mascote, PH:Drogaria São Paulo, PH:Farmácia Ândira, PH:Poupa Farma
