IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2494163081; APARTMENT; UNIT; BR; Jundiaí; SP; Rua Barão de Teffé; BR>Sao Paulo>NULL>Jundiai>Barrios>Jardim Ana Maria; Jardim Ana Maria; RESIDENTIAL; 0; 108; Comprar; 805000; 2; 1; 4; 3; 0; 13208761; O apartamento no bairro Jardim Ana Maria possui 108 metros quadrados com 3 quartos sendo 1 suite e 4 banheiros<br>Possui academia, espaço gourmet, espaço jardinado, área de brinquedo para as crianças, espaço para festas.<br>Vai lhe possibilitar curtir os dias mais quentes na piscina, praticar diversos esportes na quadra poliesportiva.Espaço reservado para preparar o seu churrasco.<br>Fica em um condomínio fechado.<br>Elevador que garante o transporte das suas malas e compras. estuda permuta com apto de ate 400.00; TS:Ponto de Onibus Itupeva/Cabreuva, CH:Oto.com Otorrinolaringologia, CH:Renova Pele, CH:Hospital Paulo Sacramento, SC:Mercadinho do Bebê, SC:Finamax S/A C.F.I., SC:Projetar Móveis Planejados, SU:Escola de Inglês e Espanhol Park Idiomas, SU:Escola Alceu de Toledo Pontes, SU:FATEC Jundiaí
2455242399; APARTMENT; UNIT; BR; Jundiaí; SP; Rua Hilda Del Nero Bisquolo; BR>Sao Paulo>NULL>Jundiai>Barrios>Jardim Ana Maria; Jardim Ana Maria; RESIDENTIAL; 92; 92; Comprar; 617000; 2; 1; 2; 3; 410; 13208703; 03 dormitórios/ 01 suite com closet / 92 m² / ótima localização<br><br>Venha visitar este lindo imóvel em um dos melhores bairros de Jundiaí, com fácil acesso para as principais rodovias e para a região central da cidade. Comodidade, espaço e tranquilidade sem abrir mão da localização privilegiada e da segurança que você encontra aqui. Venha viver momentos únicos ao lado de quem você mais ama.<br><br>Excelente apartamento com ótimo acabamento. Aqui você encontra 3 dormitórios sendo 01 suíte e closet com armário planejado, 01 dormitório de solteiro com armário planejado, banheiro social com box, lavabo, sala 02 ambientes com rack planejado no living, varanda gourmet (fechamento em vidro), armários e churrasqueira para momentos de descanso com quem você mais ama!!!<br>Linda, vista privilegiada para a Serra do Japi, cozinha planejada com fogão cooktop e forno embutido , 02 vagas de garagem diferenciada (não é engavetada).<br>Condomínio com completa estrutura de lazer:<br>Piscina com raia o -; TS:Ponto de Onibus Itupeva/Cabreuva, CH:Renova Pele, CH:Oto.com Otorrinolaringologia, SC:Mercadinho do Bebê, SC:Projetar Móveis Planejados, SC:Finamax S/A C.F.I., SU:Escola de Inglês e Espanhol Park Idiomas, SU:Escola Infantil Mundo Azul, SU:Criarte
2445524502; APARTMENT; UNIT; BR; Jundiaí; SP; Rua Elias Juvenal de Mello; BR>Sao Paulo>NULL>Jundiai>Barrios>Jardim Ana Maria; Jardim Ana Maria; RESIDENTIAL; 0; 83; Comprar; 598000; 2; 1; 2; 3; 402; 13208820; 14º andar frente para o bosque, duas vagas cobertas, Aquecedor Rinnai, Cooktop Brastemp Gourmand 5 Bocas, Forno Brastemp Ative a Gás. Forest Jundiai - Mais de 15 mil m² de bosque nativo, preservado para uso exclusivo dos moradores, mais de 30 opções de lazer. cinema, brinquedoteca, playground, espaço games, pet care, espaço fitness, quadras, piscinas, pista de skate, churrasqueira, bicicletário infantil e muito mais sem sair de casa. Situado próximo às principais rodovias de São Paulo, que te conectam rapidamente com a capital ou interior, a apenas dez minutos do centro de Jundiaí e do distrito industrial, localizado em um bairro com grande oferta de serviços e comércio variado.; TS:Ponto de Onibus Itupeva/Cabreuva, CS:Pao D'oro, CH:Oto.com Otorrinolaringologia, CH:Renova Pele, SC:Mercadinho do Bebê, SC:Finamax S/A C.F.I.
2443905310; APARTMENT; UNIT; BR; Jundiaí; SP; Rua Elias Juvenal de Mello; BR>Sao Paulo>NULL>Jundiai>Barrios>Jardim Ana Maria; Jardim Ana Maria; RESIDENTIAL; 0; 64; Comprar; 480000; 1; 1; 2; 2; 350; 13208820; APARTAMENTO EM JUNDIAÍ - FOREST HILLS – AU: 64,00 m² - 1 VAGA – 2 dormitórios (1 suíte) todos com armários, WC social, sala 2 ambientes, cozinha planejada tipo americana, lavanderia, sacada fechada. Ampla Área de Lazer: salão de festas, jogos, playground, sala de ginástica, quadra, piscina, churrasqueira, sauna. Localização privilegiada entre a Avenida Jundiaí, Rua do Retiro e Av. 9 de Julho, um dos endereços mais desejados da região, próximo a supermercados, restaurantes, bancos, escolas, etc.. e ainda fácil acesso as Rodovias Anhanguera e Bandeirantes. Excelente opção de moradia e investimento.; TS:Ponto de Onibus Itupeva/Cabreuva, CH:Oto.com Otorrinolaringologia, CH:Renova Pele, SC:Mercadinho do Bebê, SC:Finamax S/A C.F.I., SU:Escola Infantil Mundo Azul, SU:Escola de Inglês e Espanhol Park Idiomas, SU:Escola Alceu de Toledo Pontes
2429147177; APARTMENT; UNIT; BR; Jundiaí; SP; Rua Barão de Teffé; BR>Sao Paulo>NULL>Jundiai>Barrios>Jardim Ana Maria; Jardim Ana Maria; RESIDENTIAL; 108; 108; Comprar; 650000; 2; 2; 3; 2; 580; 13208760; Apto com 2 suítes, sala estendida, lavabo, cozinha, lavanderia com despejo, varanda gourmet, 2 vagas, lazer completo e portaria 24hs. Excelente localização! -; TS:Ponto de Onibus Itupeva/Cabreuva, CH:Oto.com Otorrinolaringologia, CH:Renova Pele, SC:Mercadinho do Bebê, SC:Finamax S/A C.F.I., SC:Projetar Móveis Planejados, SU:Escola de Inglês e Espanhol Park Idiomas, SU:Escola Alceu de Toledo Pontes, SU:Escola Infantil Mundo Azul, SU:FATEC Jundiaí
2488350039; APARTMENT; UNIT; BR; Jundiaí; SP; ; BR>Sao Paulo>NULL>Jundiai>Barrios>Jardim Ana Maria; Jardim Ana Maria; RESIDENTIAL; 108; 108; Comprar; 850000; 2; 1; 3; 3; 410; 13208760; Ótimo apto com fino acabamento e localização privilegiada.<br>3 dormitórios, sendo 1 suíte, todos com armários.<br>Amplo living integrado ao terraço gourmet com churrasqueira e pia.<br>Lavabo<br>Cozinha<br>Área de serviço -; TS:Ponto de Onibus Itupeva/Cabreuva, CH:Renova Pele, CH:Oto.com Otorrinolaringologia, SC:Mercadinho do Bebê, SC:Finamax S/A C.F.I., SC:Projetar Móveis Planejados, SU:Escola de Inglês e Espanhol Park Idiomas, SU:Escola Infantil Mundo Azul, SU:Escola Alceu de Toledo Pontes, SU:Criarte, SU:FATEC Jundiaí
2498884304; APARTMENT; UNIT; BR; Jundiaí; SP; Rua Elias Juvenal de Mello; BR>Sao Paulo>NULL>Jundiai>Barrios>Jardim Ana Maria; Jardim Ana Maria; RESIDENTIAL; 109; 109; Alugar/Comprar; 3100; 2; 1; 3; 4; 513; 13208820; Lindo apartamento no Forest de 109 m2 em andar alto com 4 dormitórios sendo1 suíte com janela antirruído, painel de TV e cabeceira e 1 quarto escritório com muitos armários. Sala dois ambientes integrada com varanda com armário e fechada com vidro duplo com cortina e tela de proteção. Todos os quartos com armários embutidos. Tres banheiros, sendo um lavado, todos com armários, espelho, box, porta toalha, porta papel cromado marca da deca e chuveiro. Piso vinílico durafloor e rodapé poliestireno branco. Cozinha com pia em ?L?, com muitos armários. Lavanderia com armários e varal de teto. Aquecedor a gás Rinnai. Fechadura digital Intelbrás. Garagem dupla lateral no primeiro andar. AGENDE AGORA MESMO A SUA VISITA!; TS:Ponto de Onibus Itupeva/Cabreuva, CS:Pao D'oro, CH:Oto.com Otorrinolaringologia, CH:Renova Pele, SC:Mercadinho do Bebê, SC:Finamax S/A C.F.I.
2499247268; APARTMENT; UNIT; BR; Jundiaí; SP; Rua Elias Juvenal de Mello; BR>Sao Paulo>NULL>Jundiai>Barrios>Jardim Ana Maria; Jardim Ana Maria; RESIDENTIAL; 61; 61; Comprar; 492900; 1; 1; 2; 2; 400; 13208820; <strong>Apartamento sendo Instalado os Armários planejados.<br><br>Apartamento com 61 m² contendo 02 dormitórios com armários planejados, sendo 01 suíte, 02 banheiros com um lindo acabamento, cozinha toda planejada e de um ótimo bom gosto, sala ampliada para a sacada aproveitando bem o espaço para uma ótima sala de jantar, 01 vaga de garagem coberta.</strong><br><br><strong>Excelente localização próximo a rodovias, 5 minutos do centro de Jundiaí, Avenida Jundiaí, Hipermercado Carrefour.</strong><br> <br><strong>Condomínio Forest Club Jundiaí<br></strong><br><strong> Condomínio possui área de lazer completa, com Churrasqueira, piscina, sauna, forno de pizza, sala de festas, salão de jogos, playground, pista de Skate, jardim, quadra poliesportiva, piscina infantil, brinquedoteca e cinema., portaria 24 horas, estacionamento para visitantes.</strong>; TS:Ponto de Onibus Itupeva/Cabreuva, CH:Oto.com Otorrinolaringologia, CH:Renova Pele, SC:Mercadinho do Bebê, SC:Finamax S/A C.F.I., SU:Escola Infantil Mundo Azul, SU:Escola de Inglês e Espanhol Park Idiomas, SU:Escola Alceu de Toledo Pontes
2497884926; APARTMENT; UNIT; BR; Jundiaí; SP; ; BR>Sao Paulo>NULL>Jundiai>Barrios>Jardim Ana Maria; Jardim Ana Maria; RESIDENTIAL; 64; 64; Comprar; 380000; 1; 0; 2; 2; 490; 13208820; Vendo apartamento<br><br>2 dormitórios sendo uma suíte<br>Armários na cozinha<br>Armários quarto<br><br>Tenha um bosque privativo dentro de casa.<br>Um condomínio fechado, com mais de 15.000 m² de mata exclusiva, preservada para uso exclusivo dos moradores com trilhas para caminhar, meditar e recarregar as energias.<br><br>A região Jundiaí que conhecemos hoje como chamada carinhosamente apenas de Jundiaí por seus moradores, se tornou o que hoje é o maior bairro residencial e comercial de alto padrão de Jundiaí.<br><br>Várias construtoras vislumbraram grande potencial que se tem e aqui instalaram suas bases, fazendo com que o bairro crescesse de forma vertical rapidamente. Pensando nas famílias, desenvolveram grandes e belos projetos para os atuais e futuros moradores. <br>Localizado próximo de Rodovias como Anhanguera e Bandeirantes conhecido por ter vários restaurantes e pontos comerciais e condomínios residenciais, por estar próximo ao famoso PARQUE DA CIDADE E JARDIM BOTÂNICO, onde é ideal para passear no meio de um lindo dia de sol, fácil acesso à Campinas e São Paulo.<br>Além disso, aqui se encontram grandes shoppings e diversos pontos comerciais de renome na cidade, o que se traduz em facilidades a poucos metros de casa, como alimentação, lazer e compras, sem precisar tirar o carro da garagem.<br>Um bairro totalmente residencial, com fácil acesso aos comércios, farmácias, bancos e muito mais, também está ao lado do centro da cidade.<br>Por ser uma região de classe média da cidade e em grande expansão e além de tudo que já mencionamos, vem se tornando o local escolhido por muitos médicos para se instalarem. Grandes consultórios e laboratórios estão abrindo suas portas na região. Isso se traduz em mais uma facilidade para quem mora e trabalha neste bairro tão desejado não apenas pelo Jundiaiense, mas também por aqueles que vêm de fora buscando conforto, tranquilidade e facilidade para se instalar em nossa amada Jundiaí.<br>E como não amar morar perto do trabalho, não é mesmo?<br>A cidade possui alguns prédios comerciais que são ocupados, em sua grande maioria, por moradores da região, que, além de trabalhar perto de casa, contam com toda uma infraestrutura ao seu redor.<br>E, amando esta cidade , em especial morar aqui é bom de mais, convido você a desfrutar uma nova experiência na escolha do seu próximo imóvel.<br>Com um atendimento diferenciado e exclusivo, queremos que você se sinta em casa mesmo antes de entrar nela.<br>Seja bem-vindo a um novo conceito na escolha do seu imóvel no bairro; TS:Ponto de Onibus Itupeva/Cabreuva, CS:Pao D'oro, CH:Oto.com Otorrinolaringologia, CH:Renova Pele, SC:Mercadinho do Bebê, SC:Finamax S/A C.F.I.
2493073212; APARTMENT; UNIT; BR; Jundiaí; SP; Rua Elias Juvenal de Mello; BR>Sao Paulo>NULL>Jundiai>Barrios>Jardim Ana Maria; Jardim Ana Maria; RESIDENTIAL; 83; 83; Comprar; 630000; 0; 1; 2; 2; 0; 13208820; Lindo apartamento para venda em Jundiaí/SP.<br><br>Sendo: 83m² de área privativa;<br><br>Móveis planejados em todos os ambientes (sala, escritório, sala de jantar, cozinha, área de serviço, nos 2 banheiros, quarto 2 e suíte). <br>Porcelanato portinari imitando madeira na casa toda. <br>Banheiros e cozinha com porcelanato portinari também. <br>Iluminação em LED na casa toda. <br>Luz indireta de LED na suíte. <br>Varanda envidraçada. <br>Tela de proteção no apartamento todo. <br>Tela mosquiteiro em todas as janelas.<br><br>Linda Vista para a Serra!!!<br><br>Excelente acabamento!<br><br>Venha conferir, consulte nossos corretores e agende sua visita!!!!; TS:Ponto de Onibus Itupeva/Cabreuva, CS:Pao D'oro, CH:Oto.com Otorrinolaringologia, CH:Renova Pele, SC:Mercadinho do Bebê, SC:Finamax S/A C.F.I.
