IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2496141047; HOME; UNIT; BR; Campinas; SP; ; BR>Sao Paulo>NULL>Campinas>Barrios>Jardim Atibaia; Jardim Atibaia; RESIDENTIAL; 386; 185; Comprar; 630000; 2; 1; 2; 3; 0; 13106290; **CASA TÉRREA, COM EDÍCULA**<br><br>Charmosa, casa térrea, com acesso por escadas. <br>Muito bem localizada em Sousas. Recém reformada. Sala integrada com a cozinha. Piso em porcelanato. <br>Edícula com 1 suíte, sala, cozinha.<br>Casa tem habite-se, porém não é possível financiar. Acesso da garagem por escada.<br><br>Agende sua visita com a corretora de imóveis Silvia Furcolin - - Casas e terrenos em condomínios fechados. -; CS:Galpão, CS:Ricco Panne, CS:Ravenna Pães e Doces, VP:Animaleto, SC:Kushi, SC:Ninho, SC:Galassi, SC:Tfk, SC:homedept, SU:Escola Estadual Doutor Thomas Alves
2497172489; TWO_STORY_HOUSE; UNIT; BR; Campinas; SP; ; BR>Sao Paulo>NULL>Campinas>Barrios>Jardim Atibaia; Jardim Atibaia; RESIDENTIAL; 577; 300; Comprar; 520000; 0; 3; 6; 3; 0; 13106290; CASA EM CONSTRUÇÃO EM BAIRRO TRANQUILO A 300MTS DO CENTRINHO DE SOUSAS.<br><br>3 SUITES, SENDO UMA DELAS TERREA, ESCRITORIO COM BAINHEIRO, ESPAÇO PARA ELEVADOR, MUROS DE ARRIMO E LATEAIS EM PEDRA, SALA 3 AMBIENTE, LAVABO, COZINHA COM DESPENSA, DESPEJO DE EMPREGADA. -; CS:Galpão, CS:Ricco Panne, CS:Ravenna Pães e Doces, VP:Animaleto, SC:Kushi, SC:Ninho, SC:Galassi, SC:Tfk, SC:homedept, SU:Escola Estadual Doutor Thomas Alves
2497651229; RESIDENTIAL_ALLOTMENT_LAND; UNIT; BR; Campinas; SP; ; BR>Sao Paulo>NULL>Campinas>Barrios>Jardim Atibaia; Jardim Atibaia; RESIDENTIAL; 330; 330; Comprar; 230000; 0; 0; 0; 0; 0; 13106291; Oportunidade, terreno com casa de fundos em Sousas, rua sem saída em bairro tranquilo!!<br>terreno limpo, com muros de arrimo feitos!!<br>oportunidade!! -; CS:Galpão, CS:Ricco Panne, CS:Ravenna Pães e Doces, VP:Animaleto, SC:Kushi, SC:Ninho, SC:Galassi, SC:Tfk, SC:homedept, SU:Escola Estadual Doutor Thomas Alves
2493110592; CONDOMINIUM; UNIT; BR; Campinas; SP; Rua Lourenço Dal Porto; BR>Sao Paulo>NULL>Campinas>Barrios>Jardim Atibaia; Jardim Atibaia; RESIDENTIAL; 540; 280; Comprar; 1700000; 4; 2; 5; 4; 820; 13106291; Casa á venda em Sousas em condomínio bastante arborizado com portaria com excelente segurança. Casa estilo moderno, com acabamentos primorosos que reúne estilo e elegância. Entradas independentes para níveis diferenciados. Living integrado a cozinha americana, que acessa varanda para lazer com churrasqueira e piscina com praia e borda infinita. 4 dormitórios, sendo 2 suítes. 4 vagas de garagem. -; CS:Galpão, CS:Ricco Panne, CS:Ravenna Pães e Doces, VP:Animaleto, SC:Kushi, SC:Ninho, SC:Galassi, SC:Tfk, SC:homedept, SU:Escola Estadual Doutor Thomas Alves
2498722162; HOME; UNIT; BR; Campinas; SP; Avenida Dona Maria Franco Salgado; BR>Sao Paulo>NULL>Campinas>Barrios>Jardim Atibaia; Jardim Atibaia; RESIDENTIAL; 386; 185; Comprar; 630001; 2; 1; 2; 3; 0; 13106290; **CASA TÉRREA, COM EDÍCULA**<br><br>Charmosa, casa térrea, com acesso por escadas. <br><br>Muito bem localizada em Sousas, próxima a comércios, supermercados, bancos, padarias...<br><br>Recém reformada. Sala integrada com a cozinha. Piso em porcelanato. <br>Edícula que precisa de reforma, com sala, cozinha e 1 suíte.<br><br>Casa tem habite-se, porém não é possível financiar. .<br>Anúncio do corretor de imóveis Silvia Furcolin Alvim CRECI: 73622; CS:Galpão, CS:Ricco Panne, CS:Ravenna Pães e Doces, VP:Animaleto, SC:Kushi, SC:Ninho, SC:Galassi, SC:Tfk, SC:homedept, SU:Escola Estadual Doutor Thomas Alves
2491953612; CONDOMINIUM; UNIT; BR; Campinas; SP; ; BR>Sao Paulo>NULL>Campinas>Barrios>Jardim Atibaia; Jardim Atibaia; RESIDENTIAL; 378; 280; Comprar; 1500000; 4; 3; 4; 3; 870; 13106290; MARAVILHOSO PROJETO APROVADO E PRONTO PARA CONSTRUIR NO CONDOMÍNIO JD. BOTÂNICO EM SOUSAS!<br><br>Casa com 3 suítes, sendo uma master com closet, sala de estar , jantar e cozinha integrados, espaço gourmet, home/escritório, piscina com borda infinita voltada para mata. Além de projeto arrojado e integrado, vista definitiva com muito verde, porcelanato e Revestimentos primeira linha, Mármores , Granitos e Quartzo, boiler com aquecimento solar, preparação para energia foto voltaica, preparação para recebimento de ar<br>condicionado, previsão de Elevador.<br><br>Não encontrou o que procura? Nós da Petrucci somos especialistas em ajustar o negócio de acordo com a realidade de cada cliente, assim, adaptamos propostas exclusivas de mercado para você chegar onde deseja! Consulte-nos!<br>Petrucci Gestão Imobiliária . -; CS:Galpão, CS:Ricco Panne, CS:Ravenna Pães e Doces, VP:Animaleto, SC:Kushi, SC:Ninho, SC:Galassi, SC:Tfk, SC:homedept, SU:Escola Estadual Doutor Thomas Alves
2464751653; HOME; UNIT; BR; Campinas; SP; Avenida Dona Maria Franco Salgado; BR>Sao Paulo>NULL>Campinas>Barrios>Jardim Atibaia; Jardim Atibaia; RESIDENTIAL; 250; 100; Comprar; 630000; 2; 1; 2; 3; 0; 13106290; Casa a Venda no Distrito de Sousas, excelente localização em Avenida arborizada, recém reformada e murada. Living para 2 ambientes integrado a cozinha com armários e despensa, 3 dormitórios, 1 suíte, piso laminado e porcelanato, instalações elétrica e hidráulica novas, área de serviço com armários, quintal com piso anti-derrapante, sistema de segurança com câmeras. Edícula com sala, quarto, cozinha e banheiro. Garagem para 2 carros.<br>Agende sua visita, Zamm Negócios Imobiliários. -; CS:Galpão, CS:Ricco Panne, CS:Ravenna Pães e Doces, VP:Animaleto, SC:Kushi, SC:Ninho, SC:Galassi, SC:Tfk, SC:homedept, SU:Escola Estadual Doutor Thomas Alves
2497652580; TWO_STORY_HOUSE; UNIT; BR; Campinas; SP; Avenida Dona Maria Franco Salgado; BR>Sao Paulo>NULL>Campinas>Barrios>Jardim Atibaia; Jardim Atibaia; RESIDENTIAL; 577; 300; Comprar; 500000; 4; 2; 4; 4; 0; 13106290; Casa em construção, ótima oportunidade de investimento em excelente localização em Sousas - Campinas-SP<br><br>Imóvel feito de tijolinho duplo, muro de arrimo de pedras e estrutura para elevador.<br>Sobrado com agradável vista.<br>Obra sem acabamento de janelas, elétrica, portas e piso.<br><br>Agende sua visita:<br> / WhatsApp -; CS:Galpão, CS:Ricco Panne, CS:Ravenna Pães e Doces, VP:Animaleto, SC:Kushi, SC:Ninho, SC:Galassi, SC:Tfk, SC:homedept, SU:Escola Estadual Doutor Thomas Alves
2445760438; COMMERCIAL_ALLOTMENT_LAND; UNIT; BR; Campinas; SP; Rua Lourenço Dal Porto; BR>Sao Paulo>NULL>Campinas>Barrios>Jardim Atibaia; Jardim Atibaia; COMMERCIAL; 300; 300; Comprar; 350000; 0; 0; 0; 0; 750; 13106291; Excelente Terreno Condomínio Jardim Botânico <br>300m2 - Terreno em declive, Linda vista para o Rio Atibaia <br>Ideal pra construir casa Térrea . <br>Condomínio que preserva a Natureza - <br>4 <br>lagos, quadra, muita natureza. <br> Revisado em; CS:Galpão, CS:Ricco Panne, CS:Ravenna Pães e Doces, VP:Animaleto, SC:Kushi, SC:Ninho, SC:Galassi, SC:Tfk, SC:homedept, SU:Escola Estadual Doutor Thomas Alves
2493215477; CONDOMINIUM; UNIT; BR; Campinas; SP; ; BR>Sao Paulo>NULL>Campinas>Barrios>Jardim Atibaia; Jardim Atibaia; RESIDENTIAL; 378; 280; Comprar; 1500000; 4; 3; 4; 3; 870; 13106290; MARAVILHOSO PROJETO APROVADO E PRONTO PARA CONSTRUIR NO CONDOMÍNIO JD. BOTÂNICO EM SOUSAS!<br><br>Casa com 3 suítes, sendo uma master com closet, sala de estar , jantar e cozinha integrados, espaço gourmet, home/escritório, piscina com borda infinita voltada para mata. Além de projeto arrojado e integrado, vista definitiva com muito verde, porcelanato e Revestimentos primeira linha, Mármores , Granitos e Quartzo, boiler com aquecimento solar, preparação para energia foto voltaica, preparação para recebimento de ar<br>condicionado, previsão de Elevador.<br><br>Não encontrou o que procura? Nós da Petrucci somos especialistas em ajustar o negócio de acordo com a realidade de cada cliente, assim, adaptamos propostas exclusivas de mercado para você chegar onde deseja! Consulte-nos!<br>Petrucci Gestão Imobiliária . -; CS:Galpão, CS:Ricco Panne, CS:Ravenna Pães e Doces, VP:Animaleto, SC:Kushi, SC:Ninho, SC:Galassi, SC:Tfk, SC:homedept, SU:Escola Estadual Doutor Thomas Alves
