IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2494626673; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Belem; Jardim Belém; RESIDENTIAL; 41; 41; Comprar; 195000; 0; 0; 1; 2; 330; 03810110; Lindo Apartamento de 2 Dorms Novinho.<br><br>Excelente oportunidade de investimento.<br><br>Apartamento fica no térreo, já com piso laminado, gabinete na cozinha e pia de mármore.<br>Imóvel está pronto para ser locado ou morar.<br><br>Não tem vaga de garagem, mas no mesmo condomínio existem vagas que podem ser locadas a depender de disponibilidade.<br><br>Condomínio Novinho, foi entregue tem apenas 3 anos. O condomínio possui: Salão de festa, churrasqueira, brinquedoteca, playground.<br><br>Excelente localização, imóvel fica na avenida Abel Tavares, próximo a diversos comércios, como bancos, supermercados, farmácias entre outros.<br><br>Apenas 1 km da Estação Comendador Ermelino Matarazzo, são 3 minutos de carro.<br><br>Para maiores informações ou agendamento de visitas, entrar em contato:<br><br>Telefone: <br>Whatsapp: <br><br>Telefone e Whatsapp: <br><br>E-mail: <br>Douglas Lopes do Amaral <br><br>CRECI J4306 <br><br>Aki imóveis o bom negócio é -; BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, TS:Comendador Ermelino
2499279698; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Rua Antônio de Freitas Toledo; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Belem; Jardim Belém; RESIDENTIAL; 0; 60; Comprar; 250000; 1; 0; 1; 2; 0; 03809060; Sobrado Jardim Belém é composto por uma série de atrativos. <br>É o principal empreendimento do complexo, que conta ainda com um Mall. Localizado na no Jardim Belém , um do bairro cercado por todo tipo de comércios e serviços. Sua vida cada vez mais completa.... <br><br>- Estação Ermelino Matarazzo á 500 metros <br>- Av: Paranaguá 03 MINUTOS <br><br>Ficha Técnica: <br><br>Área privativa – 60 M² <br>01 Número de Vagas <br><br>Diferenciais: <br><br>- GARAGEM PRIVATIVA<br>– Sobrado de Médio Padrão; <br>– Porcelanato e Gesso entregue em todos os dormitórios. <br><br>– Fácil acesso a Assis Ribeiro, Av. Paranaguá , SÃO MIGUEL...<br><br>VISITA SOMENTE COM O CORRETOR...; BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, BS:Avenida Paranagua, TS:Comendador Ermelino, CS:Bom Dia Panificadora, CH:Posto de Saúde - Ubs Pedro de Souza Campos
2488887690; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Rua Antônio de Freitas Toledo; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Belem; Jardim Belém; RESIDENTIAL; 1; 60; Comprar; 250000; 1; 2; 2; 2; 0; 03809060; Sobrados em condomínio em Ermelino, bem localizado, bairro tranquilo . Fácil acesso aos comércios e ao transporte público, próximo das principais vias da região. -; BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, BS:Avenida Paranagua, TS:Comendador Ermelino, CS:Bom Dia Panificadora, CH:Posto de Saúde - Ubs Pedro de Souza Campos
2498594703; APARTMENT; UNIT; BR; São Paulo; SP; Rua Guido Bonici; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Belem; Jardim Belém; RESIDENTIAL; 50; 50; Comprar; 229000; 0; 0; 1; 2; 380; 03813190; Lindo Apartamento no Ermelino todo mobiliado a Venda<br>Lindo apartamento de 2 dormitórios, todo mobiliado top top <br>É perto da Assis Ribeiro Jd Belém, proximo a feira de Domingo , 2 minutos do centro de Ermelino matarazzo , magazzine luiza, casas bahia, padaria, farmacias, cacau show, lojas mariza, lojas americanas, loja de 1 real , e muito mais Transporte na porta<br>Bancos,Posto de saúde,Mercados,Tudo perto,Estação de trem USP Leste. -; BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, BS:Avenida Paranagua, TS:Comendador Ermelino, CS:Bom Dia Panificadora, CH:Posto de Saúde - Ubs Pedro de Souza Campos
2497198627; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Belem; Jardim Belém; RESIDENTIAL; 58; 58; Comprar; 240000; 2; 2; 3; 2; 0; 03809080; EXCELENTE SOBRADO EM CONDOMÍNIO FECHADO COM 2 DORMITÓRIOS, SENDO 2 SUÍTES, SALA PARA 2 AMBIENTES, LAVABO, COZINHA, ÁREA DE SERVIÇO E 2 VAGAS DE GARAGEM. PRÓXIMO À PONTO DE ÔNIBUS, ESCOLAS E COMÉRCIOS!!! - Data da Atualização:; BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, BS:Avenida Paranagua, TS:Comendador Ermelino, CS:Bom Dia Panificadora, CH:Posto de Saúde - Ubs Pedro de Souza Campos, CH:UBS Jardim Keralux
2498594511; HOME; UNIT; BR; São Paulo; SP; Rua José Elias Moreira; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Belem; Jardim Belém; RESIDENTIAL; 60; 60; Comprar; 245000; 1; 0; 1; 2; 0; 03809000; venha morar em Ermelino Matarazzo !!!2 dormitórios;<br>Sala + cozinha;Banheio + lavabo;Lavanderia;1 vaga para auto;<br>60 m2 de área Construída -; BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, BS:Avenida Paranagua, TS:Comendador Ermelino, CS:Bom Dia Panificadora, CH:Posto de Saúde - Ubs Pedro de Souza Campos
2499585009; APARTMENT; UNIT; BR; São Paulo; SP; Rua Guido Bonici; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Belem; Jardim Belém; RESIDENTIAL; 50; 50; Comprar; 245000; 1; 0; 1; 2; 374; 03813190; Venda de apartamento na região de Ermelino Matarazzo.<br><br>Apartamento com uma planta muito bem distribuída, são 50m² dividido em 2 dormitórios, sala, cozinha área de serviço e um banheiro, o imóvel contem uma sacada na sala agregando mais charme interno.<br><br>O condomínio possui portaria 24hs, quadra de esportes, piscina, academia, pista de caminhada, salão de festas, churrasqueira e bicicletário.<br><br>Localização é ideia, próximo a Av São Miguel, Av: Dr Assis Ribeiro, Rua Abel Tavares entre outras.<br><br>O bairro é completo de infraestrutura.<br><br>Agende uma Visita no empreendimento.<br><br>Maiores informações em:<br>www.hangarprime.com.br<br><br>Telefones: <br>Hangar Prime Negócios Imobiliários Ltda.<br>Av. Paraguassu Paulista, 162 - Cidade Patriarca<br>São Paulo - SP - CEP. 03564-000<br>CRECI 27920-J<br><br>Apartamento residencial para Venda<br>Jardim Belém, São Paulo<br>2 dormitórios, 1 sala, 1 banheiro, 1 vaga<br>50,00 m² construída, 50,00 m² útil<br>Fale conosco: -; BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, BS:Avenida Paranagua, TS:Comendador Ermelino, CS:Bom Dia Panificadora, CH:Posto de Saúde - Ubs Pedro de Souza Campos
2483673900; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Rua Rui Pirozzelli; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Belem; Jardim Belém; RESIDENTIAL; 323; 323; Comprar; 500000; 2; 2; 4; 3; 0; 03811020; 3 dormitórios, 2 suítes, 1 lavabo, 1 banheiro, 2 salas,2 vagas,jardim e quintal com churrasqueira; BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, BS:Avenida Paranagua, TS:Comendador Ermelino, CS:Bom Dia Panificadora, CH:Posto de Saúde - Ubs Pedro de Souza Campos, CH:UBS Jardim Keralux
2497742300; CONDOMINIUM; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Belem; Jardim Belém; RESIDENTIAL; 60; 60; Comprar; 249000; 1; 2; 3; 2; 60; ; Excelente sobrado em uma boa localização No Bairro JD. Belém, próximo de vários comércios da região, e com fácil acesso a AV. De grade movimento e transporte público. Detalhes. 2 Dormitórios sendo os dois suítes, sala, cozinha, banheiro, lavabo, área de serviço, 1 vaga de garagem. Vale apena conhecer! Agende sua visita! Aceita financiamento com o seu FGTS. - Data da Atualização:; BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, BS:Avenida Paranagua, TS:Comendador Ermelino, CS:Bom Dia Panificadora, CH:Posto de Saúde - Ubs Pedro de Souza Campos, CH:UBS Jardim Keralux
2498452464; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Belem; Jardim Belém; RESIDENTIAL; 60; 60; Comprar; 245000; 1; 0; 2; 2; 0; 03809000; O Sobrado possui 60 metros quadrados com 2 dormitórios e 1 vagas de garagem!<br>Empreendimento com ótimo padrão de construção.<br>Localização - Acesso fácil as principais vias da região, próximo a Supermercados, Escolas, Hospitais. <br>Consulte-nos sobre a disponibilidade e as informações do imóvel anunciado. Valores sujeitos a alteração. -; BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, BS:Avenida Paranagua, TS:Comendador Ermelino, CS:Bom Dia Panificadora, CH:Posto de Saúde - Ubs Pedro de Souza Campos
