IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2499291254; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Engenheiro Heitor Antônio Eiras Garcia; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Jardim Bonfiglioli; Jardim Bonfiglioli; RESIDENTIAL; 0; 57; Comprar; 450000; 1; 0; 1; 2; 600; 05564200; Lindo apartamento no Condominio Vert Cidade Universitária no centro do Jd Bonfiglioli, com a infraestrutura de comércios e serviços em geral, transporte público na porta, feira livre, e toda facilidade para quem quer comodidade e tranquilidade para o dia a dia. O apartamento possui 2 dormitórios com armários planejados, finos acabamentos, cozinha americana planejada, com coifa, fogão cooktop, e todos os eletrodomésticos embutidos, sala para dois ambientes com ampla sacada com vista de andar alto. 01 vaga coberta. Lazer total.<br>Venha conhecer e agende uma visita com Shirley creci 125438; BS:Avenida Corifeu de Azevedo Marques 2777, BS:Avenida Corifeu de Azevedo Marques 2772, BS:Avenida Engenheiro Heitor Antônio Eiras Garcia 21, BS:Avenida Engenheiro Heitor Antônio Eiras Garcia 70, BS:Avenida Corifeu de Azevedo Marques 2915, TS:Avenida Corifeu de Azevedo Marques 2777, TS:Avenida Corifeu de Azevedo Marques 2772, TS:Avenida Engenheiro Heitor Antônio Eiras Garcia 70, TS:Avenida Engenheiro Heitor Antônio Eiras Garcia 21, TS:Avenida Corifeu de Azevedo Marques 2915, CS:Cidade dos Pães, CS:Rainha da Vila Gomes, CS:D'Amar, PH:Farmácia Ananda, PH:Droga Star
2477611144; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Engenheiro Heitor Antônio Eiras Garcia; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Jardim Bonfiglioli; Jardim Bonfiglioli; RESIDENTIAL; 41; 41; Comprar; 169900; 1; 0; 1; 2; 150; 05564000; Subsídio de até R$ 29.000 do governo Torres altas com elevador Lazer e Segurança de condomínio Fácil acesso ao transporte público O seu novo apartamento no Jd. Raposo Tavares está aqui na Plano&Plano, com um combo de condições imperdíveis! More com segurança, lazer de condomínio e muito mais mobilidade<br><br>Condições comerciais: Subsídio de até R$ 29.000 do governo Torres altas com elevador Lazer e Segurança de condomínio Fácil acesso ao transporte público O seu novo apartamento no Jd. Raposo Tavares está aqui, com um combo de condições imperdíveis! More com segurança, lazer de condomínio e muito mais mobilidade; BS:746H-10 Jardim Jaqueline / Santo Amaro, CS:D'Amar, PH:Farmácia Ananda, VP:Dr Geraldo
2456276975; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Engenheiro Heitor Antônio Eiras Garcia; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Jardim Bonfiglioli; Jardim Bonfiglioli; RESIDENTIAL; 0; 77; Comprar; 550000; 1; 1; 2; 3; 550; 05588000; Apartamento com 77 m², localizado no miolinho do Jardim Bonfiglioli. 3 dormitórios, sendo 1 suíte, sala 2 ambientes, cozinha com armários, sacada espaçosa e 1 vaga de garagem. Lazer completo. Agende sua visita com o corretor responsável.<br><br>Condições comerciais: Aceita financiamento.; BS:Avenida Corifeu de Azevedo Marques 2777, BS:Avenida Corifeu de Azevedo Marques 2772, BS:Avenida Engenheiro Heitor Antônio Eiras Garcia 21, BS:Avenida Engenheiro Heitor Antônio Eiras Garcia 70, BS:Avenida Corifeu de Azevedo Marques 2915, TS:Avenida Corifeu de Azevedo Marques 2777, TS:Avenida Corifeu de Azevedo Marques 2772, TS:Avenida Engenheiro Heitor Antônio Eiras Garcia 70, TS:Avenida Engenheiro Heitor Antônio Eiras Garcia 21, TS:Avenida Corifeu de Azevedo Marques 2915, CS:Cidade dos Pães, CS:Rainha da Vila Gomes, CS:D'Amar, PH:Farmácia Ananda, PH:Droga Star
2499442875; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Otacílio Tomanik; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Jardim Bonfiglioli; Jardim Bonfiglioli; RESIDENTIAL; 65; 65; Comprar; 375000; 1; 1; 2; 2; 437; 05363000; Apartamento localizado próximo do Jardim Bonfiglioli, ao lado de padaria , transporte coletivo e USP... 2 dormitórios, sendo 1 suíte, repleto de armários, sala dois ambientes, cozinha americana com armários planejados, varanda grill e 1 vaga de garagem. Agende uma visita com o corretor responsável.; BS:Avenida Corifeu de Azevedo Marques 2915, BS:Avenida Corifeu de Azevedo Marques 3319, BS:Avenida Corifeu de Azevedo Marques 3328, BS:Avenida Corifeu de Azevedo Marques 2777, BS:Avenida Corifeu de Azevedo Marques 2772, TS:Avenida Corifeu de Azevedo Marques 2915, TS:Avenida Corifeu de Azevedo Marques 3319, TS:Avenida Corifeu de Azevedo Marques 3328, TS:Avenida Corifeu de Azevedo Marques 2777, TS:Avenida Corifeu de Azevedo Marques 2772, CS:Cidade dos Pães, CS:Rainha da Vila Gomes, CS:Padaria Gran Vilela, CS:D'Amar, PH:Farmácia Ananda
2427800528; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Otacílio Tomanik; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Jardim Bonfiglioli; Jardim Bonfiglioli; RESIDENTIAL; 0; 70; Comprar; 425000; 1; 1; 2; 3; 405; 05363000; Butantã, USP, 3 dormitórios (sendo 1 com a sala ampliada), 1 suíte, com armários planejados, piso laminado, sala estendida com sacada gourmet, wc social, teto gesso, cozinha estilo americano, com armários planejados, área de serviço, fino acabamento, 1 vaga de garagem, lazer completo, próximo a mercado, padaria, açougue, farmácia, fácil transporte público, principais avenidas, 10 minutos do metrô Butantã. Agende uma visita com a corretora Bete Creci 174078 - 9.7543.8961. .55.95<br><br>Condições comerciais: Aceita financiamento.; BS:Avenida Corifeu de Azevedo Marques 2915, BS:Avenida Corifeu de Azevedo Marques 3319, BS:Avenida Corifeu de Azevedo Marques 3328, BS:Avenida Corifeu de Azevedo Marques 2777, BS:Avenida Corifeu de Azevedo Marques 2772, TS:Avenida Corifeu de Azevedo Marques 2915, TS:Avenida Corifeu de Azevedo Marques 3319, TS:Avenida Corifeu de Azevedo Marques 3328, TS:Avenida Corifeu de Azevedo Marques 2777, TS:Avenida Corifeu de Azevedo Marques 2772, CS:Cidade dos Pães, CS:Rainha da Vila Gomes, CS:Padaria Gran Vilela, CS:D'Amar, PH:Farmácia Ananda
2468348402; HOME; UNIT; BR; São Paulo; SP; Rua Doutor Joaquim Gomes de Souza; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Jardim Bonfiglioli; Jardim Bonfiglioli; RESIDENTIAL; 0; 140; Comprar; 740000; 2; 1; 4; 3; 885; 05596100; Jd. Bonfiglioli, Sobrado em condomínio, 3 dormitórios, 1 suíte com armários planejados, lavabo, sala ampla, cozinha com armários, área de serviço, churrasqueira, edícula, 2 vagas de garagem, quadra poliesportiva, piscina, salão de festas, próximo ao Shopping, Hipermercado Extra. Agende uma visita com a corretora Bete 9.7543.8961 - 9.9103.5595 Creci 174078-F<br><br>Condições comerciais: Aceita financiamento; BS:Avenida Corifeu de Azevedo Marques 2777, BS:Avenida Engenheiro Heitor Antônio Eiras Garcia 21, BS:Avenida Engenheiro Heitor Antônio Eiras Garcia 70, BS:Avenida Corifeu de Azevedo Marques 2772, BS:Rua Cabral de Menezes 20, TS:Avenida Corifeu de Azevedo Marques 2777, TS:Avenida Engenheiro Heitor Antônio Eiras Garcia 70, TS:Avenida Engenheiro Heitor Antônio Eiras Garcia 21, TS:Avenida Corifeu de Azevedo Marques 2772, TS:Rua Cabral de Menezes 20, CS:D'Amar, CS:Rainha da Vila Gomes, CS:Cidade dos Pães, PH:Farmácia Ananda
2427801380; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Nossa Senhora da Assunção; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Jardim Bonfiglioli; Jardim Bonfiglioli; RESIDENTIAL; 0; 120; Comprar; 695000; 1; 1; 2; 3; 770; 05359000; 120 m2. toda reformada e personalizada São 60 em baixo, hoje com cozinha, sala de jantar, sala de estar, 2 quartos ( sendo 1 suite) e mais um banheiro, Em cima tem uma sala, banheiro, um quartinho de bagunça, churrasqueira coberta, um quintal grande e deck com uma jacuzzi de 7 lugares. 1 vaga de garagem. Mas no prédio tem muita oferta de vaga para alugar por um valor bem barato. Ligue para Elaine 9.9200.4500(vivo e zap) 9.7543.9474 (nextel) 9.4969.7407 (tim) ou Wagner 9.9474.5054.<br><br>Condições comerciais: Aceita financiamento; Aceita permuta por apto maior;; BS:Avenida Corifeu de Azevedo Marques 3319, BS:Avenida Corifeu de Azevedo Marques 3328, BS:Avenida Corifeu de Azevedo Marques 2915, BS:Avenida Corifeu de Azevedo Marques 2777, BS:Avenida Corifeu de Azevedo Marques 2772, TS:Avenida Corifeu de Azevedo Marques 3319, TS:Avenida Corifeu de Azevedo Marques 3328, TS:Avenida Corifeu de Azevedo Marques 2915, TS:Avenida Corifeu de Azevedo Marques 2777, TS:Avenida Corifeu de Azevedo Marques 2772, CS:Cidade dos Pães, CS:Padaria Gran Vilela, CS:Rainha da Vila Gomes, PH:Farmácia Ananda, PH:Droga Star
2409535480; HOME; UNIT; BR; São Paulo; SP; Rua Moacir Miguel da Silva; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Jardim Bonfiglioli; Jardim Bonfiglioli; RESIDENTIAL; 178; 140; Comprar; 705000; 2; 1; 4; 4; 750; 05595000; Vendo Casa em belissimo condominio fechado com lazer completo no mais completo silencio e em meio a natureza a 15 minutos da Av Faria Lima, 10 minutos da USP, 5 minutos da futura estacao vila sonia e 8 minutos da estacao São Paulo Morumbi da linha amarela do Metro. Fácil acesso a Rod Raposo Tavares e a 10 min do rodoanel. Casa Com espacos muito amplos e com terreno que possibilita muitas alterações de planta e expansão. Muita qualidade na construção com ambientes muito bem distribuidos ao longo de um terreno com 178m2 construidos e em um condominio com apenas 105 casas geminadas e area total de mais de 30mil metros quadrados.; BS:Avenida Engenheiro Heitor Antônio Eiras Garcia 21, BS:Avenida Engenheiro Heitor Antônio Eiras Garcia 70, BS:Rua Cabral de Menezes 20, BS:Avenida Corifeu de Azevedo Marques 2777, BS:Avenida Corifeu de Azevedo Marques 2772, TS:Avenida Engenheiro Heitor Antônio Eiras Garcia 21, TS:Avenida Engenheiro Heitor Antônio Eiras Garcia 70, TS:Rua Cabral de Menezes 20, TS:Avenida Corifeu de Azevedo Marques 2777, TS:Avenida Corifeu de Azevedo Marques 2772, CS:D'Amar, CS:Rainha da Vila Gomes, CS:Cidade dos Pães, PH:Farmácia Ananda, PH:Droga Star
2169035800; HOME; UNIT; BR; São Paulo; SP; Rua Augusto Farina; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Jardim Bonfiglioli; Jardim Bonfiglioli; RESIDENTIAL; 0; 145; Comprar; 695000; 4; 3; 5; 3; 0; 05594001; Venha morar em área nobre do Jd. Bonfiglioli, Butantã - sobrado novo, estilo moderno, 03 suítes, sacada, sala ampla, lavabo, cozinha, lavanderia, quintal, churrasqueira, dorm e wc de empregada, corredor lateral, sistema de alarme monitorado por celular - ao lado do imóvel, colégios particular, estadual - localização, a 400 mts do centro comercial (bancos, correio, padarias, supermercados e comércios variados - Transporte público para metrô Butantã e regiões diversas - para mais informações e um especial atendimento, 9.9985.9677 whats Claudio Consultor Imobiliário...; BS:Rua Cabral de Menezes 20, BS:Avenida Engenheiro Heitor Antônio Eiras Garcia 21, BS:Avenida Engenheiro Heitor Antônio Eiras Garcia 70, BS:Rua Pereira do Lago 312, BS:Rua Pereira do Lago, TS:Rua Cabral de Menezes 20, TS:Avenida Engenheiro Heitor Antônio Eiras Garcia 21, TS:Avenida Engenheiro Heitor Antônio Eiras Garcia 70, TS:Rua Pereira do Lago 312, TS:Rua Pereira do Lago, CS:D'Amar, CS:Rainha da Vila Gomes, CS:Cidade dos Pães, PH:Droga Star, PH:Farmácia Ananda
2428849810; APARTMENT; UNIT; BR; São Paulo; SP; Rua General Brasílio Taborda; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Jardim Bonfiglioli; Jardim Bonfiglioli; RESIDENTIAL; 119; 98; Comprar; 690000; 2; 1; 3; 4; 890; 05591100; Apartamento bem localizado, perto a 15 min a pé da USP e 1.2 km da estação de metrô Butanta. Recém reformado, decorado com muito carinho, super aconchegante, arejado, tranquilo e um charme escandinavo. Armários embutidos e um laser completo. Apenas estou vendendo pois tive que mudar de bairro por causa da empresa. Supermercado, farmácia e padaria a menos de 2 quarteirões..; BS:Rua Pereira do Lago, BS:Rua Cabral de Menezes 20, BS:Rua Pereira do Lago 312, BS:Rua Pereira do Lago 144, BS:Avenida Corifeu de Azevedo Marques 1495, TS:Rua Pereira do Lago, TS:Rua Cabral de Menezes 20, TS:Rua Pereira do Lago 312, TS:Rua Pereira do Lago 144, TS:Avenida Corifeu de Azevedo Marques 1495, CS:Rainha da Vila Gomes, CS:D'Amar, CS:Cidade dos Pães, CS:Fazenda dos Pães, PH:Droga Star
