IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2499437736; HOME; UNIT; BR; São Paulo; SP; Avenida Antenor Navarro; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Jardim Brasil; Jardim Brasil; RESIDENTIAL; 0; 119; Comprar; 380000; 2; 1; 2; 3; 0; 02224001; A casa no bairro Jardim Brasil (Zona Norte) com 119 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros<br>*Estamos no mercado imobiliário a 15 anos trazendo o melhor do nosso trabalho.<br>*Imóveis reformados pronto para moradia.<br>*Consultar condições através da nossa central de atendimento, entre em contato com o numero do anunciante.<br>*aceitamos financiamentos.; BS:Ponto Final 2012, BS:Parada Final Vila Medeiros, BS:Parada Edu Chaves, BS:Garagem de Onibus Sambaiba, TS:Ponto Final 2012, TS:Parada Edu Chaves, CS:Padaria Por do Sol, CS:Padaria Caneda, CS:Center Carnes Cachoeira, CS:Avicola Central, CS:Padaria Nova Jardin Brasil, PH:Drogaria Hirosato, PH:Loreto Drogaria, PH:Droga Fênix, PH:Drogaria Universal
2436579114; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Jardim Japão; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Jardim Brasil; Jardim Brasil; RESIDENTIAL; 0; 52; Comprar; 340000; 1; 1; 2; 2; 410; 02221001; Apartamento em ótima localização, com diversas linhas de ônibus e comercio. Prédio novo com apenas 4 anos, com sacada, armários planejados em todo o apartamento, cozinha americana. Vaga coberta. Sala para dois ambientes. Lazer Completo!!!; BS:Parada Final Vila Medeiros, BS:Ponto Final 2012, BS:Parada Doricar I, BS:Parada Doricar II, BS:Parada Edu Chaves, TS:Ponto Final 2012, TS:Parada Doricar I, TS:Parada Doricar II, TS:Parada Edu Chaves, TS:Tucuruvi, CS:Jardim Brasil Pães e Doces, CS:Padaria Nobre Paulista, CS:Pães e Doces Euro Trigo, CS:Padaria Nova Santa Clara, CS:Nova RM Carnes, PH:Drogaria Hirosato, PH:Loreto Drogaria, PH:Droga Fênix, PH:Drogaria Universal
2492330376; APARTMENT; UNIT; BR; São Paulo; SP; Rua Paulino de Brito; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Jardim Brasil; Jardim Brasil; RESIDENTIAL; 49; 49; Comprar; 293000; 1; 1; 1; 2; 388; 02223010; Apartamento novo, sem uso, no contrapiso, de 49,26 metros, torre única, 3 andar, com 2 dormitórios sendo uma suite, cozinha, lavanderia, sala com sacada, 1 vaga, gás individualizado, área para churrasco, brinquedoteca, Apartamento bem ventilado, sol da tarde e localização silenciosa.; BS:Parada Edu Chaves, BS:Parada Final Vila Medeiros, BS:Ponto Final 2012, TS:Parada Edu Chaves, TS:Ponto Final 2012, CS:Carnes Center Lider, CS:Padaria Nova Santa Clara, CS:Jardim Brasil Pães e Doces, CS:Rainha do Parque, CS:Estrela do Parque, PH:Drogaria Hirosato, PH:Loreto Drogaria, PH:Droga Fênix, PH:Drogaria Universal
2494653919; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Jardim Japão; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Jardim Brasil; Jardim Brasil; RESIDENTIAL; 50; 50; Comprar; 295000; 1; 1; 2; 2; 500; 02221001; Apartamento muito bem localizado, de fácil acesso a metro, a condução, condomínio c lazer de clube, bosque, sala fitness, piscina, quadra poliesportiva, espaço gourmet c churrasqueira, living 2 ambientes, 2 dormitórios sendo 1 suite, cozinha americana, apto nunca habitado no contrapiso, agende sua visita; BS:Parada Final Vila Medeiros, BS:Ponto Final 2012, BS:Parada Doricar I, BS:Parada Doricar II, BS:Parada Edu Chaves, TS:Ponto Final 2012, TS:Parada Doricar I, TS:Parada Doricar II, TS:Parada Edu Chaves, TS:Tucuruvi, CS:Jardim Brasil Pães e Doces, CS:Padaria Nobre Paulista, CS:Pães e Doces Euro Trigo, CS:Padaria Nova Santa Clara, CS:Nova RM Carnes, PH:Drogaria Hirosato, PH:Loreto Drogaria, PH:Droga Fênix, PH:Drogaria Universal
2491460018; HOME; UNIT; BR; São Paulo; SP; Rua Júlia Correia de Lima; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Jardim Brasil; Jardim Brasil; RESIDENTIAL; 200; 200; Comprar; 430000; 3; 3; 4; 3; 0; 02235090; Sobrado com excelente aproveitamento de área construída. São 3 pavimentos. Primeiro garagem com portão automático, sala ampla com porcelanato, cozinha com armários embutidos e lavabo. Segundo pavimento 3 suites, sendo duas guarda-roupas embutidos, e uma com sistema de gás para hidromassagem. Teceiro piso possui espaço gourmet com churrasqueira, pia, armários embutidos, lavandeira e banheiro... - Ref.: 169-IM186052; BS:Parada Final Vila Medeiros, BS:Ponto Final 2012, BS:Parada Doricar I, BS:Parada Doricar II, TS:Ponto Final 2012, TS:Parada Doricar I, TS:Parada Doricar II, TS:Tucuruvi, CS:Padaria Nobre Paulista, CS:Nova RM Carnes, CS:Jardim Brasil Pães e Doces, CS:Pães e Doces Euro Trigo, CS:Gelato Vicino, PH:Drogaria Hirosato, PH:Loreto Drogaria, PH:Droga Fênix, PH:Drogaria Universal, PH:União Farma
2498030768; APARTMENT; UNIT; BR; São Paulo; SP; Rua Águas Formosas; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Jardim Brasil; Jardim Brasil; RESIDENTIAL; 54; 54; Comprar; 240000; 1; 1; 1; 2; 400; 02210020; Ótimo apartamento com 2 dormitórios, sala 2 ambientes, cozinha com armários, lavanderia e 2 banheiros. <br>Apartamento com piso, azulejos, armário cozinha, - Áreas Comuns: Interfone, Playground, Quadra Poliesportiva, Salão de Festas, os cômodos são grandes e muito bem localizado próximo da Av. Julio Buono, bancos, comercios em geral. Acesso fácul para transportes e próximo do metrô e Shopping Tucuruvi.ACEITA PROPOSTA E FACILIDADE NO FINANCIAMENTO, PROVIDENCIANDO JUNTO AOS BANCOS COM CORRESPONDENTE BANCÁRIO. . Agende sua visita!!!; BS:Parada Final Vila Medeiros, BS:Ponto Final 2012, BS:Parada Doricar I, BS:Parada Doricar II, BS:Parada Edu Chaves, TS:Ponto Final 2012, TS:Parada Doricar I, TS:Parada Doricar II, TS:Parada Edu Chaves, CS:Jardim Brasil Pães e Doces, CS:Padaria Nobre Paulista, CS:Pães e Doces Euro Trigo, CS:Nova RM Carnes, CS:Gelato Vicino, PH:Drogaria Hirosato, PH:Loreto Drogaria, PH:Droga Fênix, PH:Drogaria Universal, PH:União Farma
2499300772; HOME; UNIT; BR; São Paulo; SP; Rua Jornada da Paraíba; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Jardim Brasil; Jardim Brasil; RESIDENTIAL; 240; 140; Comprar; 500000; 4; 1; 2; 2; 0; 02226140; Excelente Casa térrea em excelente localização, 2 dormitórios sendo 1 suite, vaga para até 4 carros, quintal, vale a pena conhecer. *** Para mais informações entre em contato com nossos corretores no telefone ou através de nosso e-mail: ***; BS:Garagem de Onibus Sambaiba, BS:Parada Edu Chaves, BS:Ponto Final 2012, BS:Parada Final Vila Medeiros, BS:Ponto Rodovia Dutra, TS:Parada Edu Chaves, TS:Ponto Final 2012, TS:Ponto Rodovia Dutra, TS:Parada Shooping Internacional, CS:Padaria Caneda, CS:Center Carnes Cachoeira, CS:Padaria Por do Sol, CS:Avicola Central, CS:Padaria Nova Jardin Brasil, PH:Drogaria Hirosato, PH:Loreto Drogaria, PH:Droga Fênix, PH:Drogaria Universal
2496540110; HOME; UNIT; BR; São Paulo; SP; Rua Crisciúma; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Jardim Brasil; Jardim Brasil; RESIDENTIAL; 125; 125; Comprar; 320000; 1; 1; 2; 3; 0; 02225000; Sobrado - Vila Sabrina 3 dormitórios, suíte, 2 wcs, cozinha, lavanderia e 1 vaga.; BS:Ponto Final 2012, BS:Parada Final Vila Medeiros, BS:Garagem de Onibus Sambaiba, BS:Ponto Rodovia Dutra, BS:Parada Doricar I, TS:Ponto Final 2012, TS:Ponto Rodovia Dutra, TS:Parada Doricar I, TS:Parada Doricar II, TS:Parada Edu Chaves, CS:Baita Bolo Artezanal, CS:Dois Primos, CS:Avicola Central, CS:Padaria Nova Jardin Brasil, CS:Panificadora Trigo Luso, PH:Drogaria Hirosato, PH:Loreto Drogaria, PH:Droga Fênix, PH:Drogaria Universal, PH:Promofarma
2499410262; HOME; UNIT; BR; São Paulo; SP; Rua Arabana; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Jardim Brasil; Jardim Brasil; RESIDENTIAL; 217; 240; Comprar; 550000; 5; 3; 5; 3; 0; 02227050; Casa térrea, possuindo 3 suítes, sala, cozinha, 5 banheiros,1 escritório, lavanderia, salão no piso superior, garagem para 5 carros. Terreno com 217 m2, sendo 240 m2 de área construída. Imóvel abaixo do valor da região, vendendo para mudança de cidade. <br>Localizada próximo ao Hipermercado Bergamini e fácil acesso a Rodovia Fernão Dias.; BS:Parada Edu Chaves, BS:Terminal Metropolitano Vila Galvão, BS:Parada Timoteo Penteado, BS:Parada João Alvares (C/B), BS:Parada Final Vila Medeiros, TS:Parada Edu Chaves, TS:Ponto Final 2012, CS:Padaria Nova Santa Clara, CS:Rainha do Parque, CS:Carnes Center Lider, CS:Estrela do Parque, CS:Jardim Brasil Pães e Doces, PH:Drogaria Hirosato
2484386807; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Mendes da Rocha; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Jardim Brasil; Jardim Brasil; RESIDENTIAL; 0; 60; Comprar; 315000; 1; 1; 2; 3; 0; 02227001; Valor promocional por tempo limitado. MELHOR VALOR R$305.000,00 Aceita financiamento bancário e FGTS. OPORTUNIDADE apartamento NOVO no contrapiso com 60m2 com 3 dormitórios(ou 2 dormitórios com sala ampliada) 1 VAGA. *Disponível também apartamentos com 2 dormitórios 1 vaga* consulte o valor Condomínio com lazer completo: Salão de festas Churrasqueira Piscina Infantil Piscina Adulto e Solarium Área para Jogos Fitness Brinquedoteca Playground Bicicletário Descanso AGENDE SUA VISITA WHATSAPP; BS:Parada Edu Chaves, BS:Parada Final Vila Medeiros, BS:Ponto Final 2012, BS:Garagem de Onibus Sambaiba, TS:Parada Edu Chaves, TS:Ponto Final 2012, CS:Carnes Center Lider, CS:Center Carnes Cachoeira, CS:Padaria Caneda, CS:Estrela do Parque, CS:Padaria Por do Sol, PH:Drogaria Hirosato, PH:Loreto Drogaria, PH:Droga Fênix, PH:Drogaria Universal
