IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2499137455; TWO_STORY_HOUSE; UNIT; BR; Caraguatatuba; SP; ; BR>Sao Paulo>NULL>Caraguatatuba>Barrios>Jardim Britania; Jardim Britânia; RESIDENTIAL; 0; 126; Comprar; 390000; 2; 3; 4; 3; 0; 11666210; Belíssimo SOBRADO em condominio Jardim Britânia, localização privilegiada com total infraestrutura, próximo de comércios locais, á 100 metros da praia, área de lazer com piscina e quintal com gramas, bairro tranquilo e com vizinhança fixa.<br>03 - Suites<br>01 - Banheiro social<br>02 - Vagas de garagem<br><br>PREVISÃO DE ENTREGA: <br><br>Agende já uma visita e conte com a assessoria na Necta Imóveis para realizar seu sonho sem burocracia.; BR:Quiosque Malibu
2438756313; HOME; UNIT; BR; Caraguatatuba; SP; Avenida Ivo Gonçalves Relva; BR>Sao Paulo>NULL>Caraguatatuba>Barrios>Jardim Britania; Jardim Britânia; RESIDENTIAL; 0; 77; Comprar; 350000; 1; 0; 1; 2; 400; 11666051; Aceito Proposta. Casa plana, bairro nobre, arborizada, quartos amplos, sala, cozinha americana, varanda e quintal, 01 vaga, bem cuidado e totalmente mobiliada com artigos novos. Amplo banheiro com box e chuveiro, armários na cozinha, fogão com painel digital, geladeira frost free com painel digital, micro-ondas, filtro de água, todas portas de madeira maciça, ótima mobília de madeira (camas, sofás, poltrona, rack, bancos, prateleiras nas paredes, cômodas, varão para cortinas, etc), colchões castor com molas ensacadas e pillow top (01 casal e 01 queen size), quintal com ganchos para rede, varais retráteis, churrasqueira, ducha gelada, antena sky e local, ar condicionado eletrônico, ventiladores de teto, caseiro no condomínio, piscina, 01 vaga, portão eletrônico, cerca elétrica, grades em todas as janelas, tela de mosquito em todas as janelas e portas, uma quadra da praia, e 600m do Shopping Serra Mar e mercado Extra. Aceito financiamento, FGTS, documentação do imóvel em dia.; 
2499083878; HOME; UNIT; BR; Caraguatatuba; SP; ; BR>Sao Paulo>NULL>Caraguatatuba>Barrios>Jardim Britania; Jardim Britânia; RESIDENTIAL; 0; 150; Comprar; 660000; 3; 2; 1; 3; 0; 11666220; Excelente casa para venda no bairro residencial mais nobre de Caraguatatuba com localização privilegiada, a 50 metros da praia, fácil acesso, bairro com infraestrutura completa, perto de farmácia, padaria, escola, ponto de ônibus.<br><br>Proporcione para sua família, qualidade, bem-estar, lazer e felicidade..<br><br>O imóvel contém:<br>-2 Dormitórios sendo 1 suíte<br>-1 Sala ampla<br>-1 Cozinha<br>-2 Banheiros<br>-Área de Serviço <br>-02 vagas de garagem<br>-Edícula ( Dormitório, Cozinha e Banheiro)<br>-Belo quintal<br>-Piscina e Churrasqueira<br><br>LINDA CASA!!<br><br>Não perca tempo, ligue já e agende sua visita.; 
2492571202; APARTMENT; UNIT; BR; Caraguatatuba; SP; ; BR>Sao Paulo>NULL>Caraguatatuba>Barrios>Jardim Britania; Jardim Britânia; RESIDENTIAL; 0; 108; Comprar; 275000; 1; 0; 2; 2; 0; 11666170; Maravilhoso sobrado à 50 metros da praia no jd Britânia Caraguatatuba !!!<br>Sobrado com vista para o Mar.<br>o imóvel contem :<br><br>02 Dormitórios <br>02 Banheiros <br>01 sala de estar <br>01 sala de jantar <br><br>CHURRASQUEIRA <br><br>PISCINA <br><br>1 Quadra da Praia com fácil acesso aos comércios locais.<br>prox ao novo Hospital Regional e Shopping.<br><br>Aceita Financiamento Bancário.<br><br>Não perca tempo e Agende já a sua Visita !!!; 
1039186839; HOME; UNIT; BR; Caraguatatuba; SP; ; BR>Sao Paulo>NULL>Caraguatatuba>Barrios>Jardim Britania; Jardim Britânia; RESIDENTIAL; 360; 194; Comprar; 390000; 8; 4; 5; 4; 0; 11666140; BELÍSSIMA CASA COM 04 SUITES, 03 SALAS, COZINHA, ÁREA DE SERVIÇO, BANHEIRO, QUINTAL, CHURRASQUEIRA, GARAGEM PARA 08 CARROS. A 150 METROS DA PRAIA<br><br>; 
1039186486; HOME; UNIT; BR; Caraguatatuba; SP; ; BR>Sao Paulo>NULL>Caraguatatuba>Barrios>Jardim Britania; Jardim Britânia; RESIDENTIAL; 731; 415; Comprar; 1060000; 2; 2; 4; 2; 0; 11666051; CASA para Venda<br>JARDIM BRITÂNIA, CARAGUATATUBA<br>2 dormitórios sendo 2 suítes uma da suites com closet, 3 salas, escritorio, 2 banheiros, cozinha americana, area de serviço, varanda, churrasqueira, quintal, jardim, 2 vagas de garagem.<br>415,00 construída, 731,00 total<br><br>; 
2486118271; CONDOMINIUM; UNIT; BR; Caraguatatuba; SP; ; BR>Sao Paulo>NULL>Caraguatatuba>Barrios>Jardim Britania; Jardim Britânia; RESIDENTIAL; 125; 125; Comprar; 390000; 2; 3; 4; 3; 0; 11666210; - Use seu FGTS: documentação pronta para financiamento bancário.<br>- Segurança, espaços de lazer e convivência em um agradável condomínio residencial, pertinho da praia, com quiosques, calçadão e ciclovia.<br>125 m² de puro bom gosto e 2 vagas de garagem, ao lado da praia!<br>Bairro supervalorizado, próximo ao Shopping Serramar.<br>Casa muito aconchegante, com espaço interno excelente:<br>- 3 suítes, com varanda e linda vista;<br>- Cozinha funcional com espaço jantar;<br>- Sala com acesso à piscina;<br>- Ótimo espaço para Área Gourmet;<br>- Linda piscina com deck e incrível espaço lazer, gramado e com árvores;<br>- Lavabo e lavanderia coberta e interna;<br>- Escritório e espaço aproveitável sob as escadas.<br><br>Aproveite esta incrível oportunidade de morar pertinho do mar, em um ótimo bairro residencial!<br>Agenda a sua visita e fique positivamente surpreso! -; 
2486118547; CONDOMINIUM; UNIT; BR; Caraguatatuba; SP; ; BR>Sao Paulo>NULL>Caraguatatuba>Barrios>Jardim Britania; Jardim Britânia; RESIDENTIAL; 125; 125; Comprar; 440000; 2; 3; 4; 3; 0; 11666210; - Use seu FGTS: documentação pronta para financiamento bancário.<br>- Segurança, espaços de lazer e convivência em um agradável condomínio residencial, pertinho da praia, com quiosque, calçadão e ciclovia.<br>125 m² de puro bom gosto e 2 vagas de garagem, ao lado da praia!<br>Bairro supervalorizado, próximo ao Shopping Serramar.<br>Casa muito aconchegante, com grande espaço externo lateral privativo:<br>- 3 suítes, com varanda e linda vista;<br>- Cozinha funcional com espaço jantar;<br>- Sala com acesso à piscina;<br>- Ótimo espaço para Área Gourmet;<br>- Linda piscina com deck e incrível espaço lazer, gramado e com árvores;<br>- Lavabo e lavanderia coberta e interna;<br>- Escritório e espaço aproveitável sob as escadas.<br><br>Aproveite esta incrível oportunidade de morar pertinho do mar, em um ótimo bairro residencial!<br>Agenda a sua visita e fique positivamente surpreso! -; 
2486120268; CONDOMINIUM; UNIT; BR; Caraguatatuba; SP; ; BR>Sao Paulo>NULL>Caraguatatuba>Barrios>Jardim Britania; Jardim Britânia; RESIDENTIAL; 125; 125; Comprar; 480000; 2; 3; 3; 3; 0; 11666210; Linda casa de 125m² em condomínio com 3 suítes, lavabo, sala de estar e jantar, varanda, cozinha, área de serviço, hobby box, 2 vagas de garagem, lazer com piscina coletiva raia de 15 mts, área verde.<br>Não perca essa oportunidade.<br><br>Agende já sua visita !! -; 
2487947842; HOME; UNIT; BR; Caraguatatuba; SP; Rua Milton Ricardo Santana; BR>Sao Paulo>NULL>Caraguatatuba>Barrios>Jardim Britania; Jardim Britânia; RESIDENTIAL; 430; 135; Comprar; 600000; 2; 1; 3; 3; 0; 11666160; Maravilhosa casa na praia no bairro Britânia em Caraguatatuba, com 3 quartos (um suíte), uma bela sala de estar, uma charmosa sala de jantar, cozinha americana, banheiro social, mezanino, lavanderia, garagem coberta para dois veículos, mais três vagas descobertas, uma belíssima piscina para os dias mais quentes.<br>Mais informações e agendar uma visita ligue ou chame no Whatsapp; 
