IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2496458685; HOME; UNIT; BR; São Paulo; SP; Rua Armando Ennio Lona; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Eliane; Jardim Eliane; RESIDENTIAL; 135; 60; Comprar; 280000; 1; 0; 1; 2; 0; 03578130; -; BS:Parada E.E. Professor Moacyr Campos, BS:Terminal Vila Carrao, TS:Terminal Vila Carrao, CS:Brikos, CS:Center Carnes Wavef, CS:Panificadora Jardim Brasilia, CS:Padaria Célia, PH:Ultra Leste Drogarias
2480222512; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Eliane; Jardim Eliane; RESIDENTIAL; 130; 130; Comprar; 350000; 2; 1; 3; 3; 0; ; Trata-se de um sobrado grande, com 03 dormitórios, sendo uma suíte, varanda, corretor lateral, sala e cozinha amplos, 03 banheiros, area de serviço e 02 vagas.<br>Aceita financiamento e permuta em apartamento de menos valor.<br>Agende sua visita sem compromisso. - Data da Atualização:; BS:Parada E.E. Professor Moacyr Campos, BS:Terminal Vila Carrao, TS:Terminal Vila Carrao, CS:Brikos, CS:Center Carnes Wavef, CS:Panificadora Jardim Brasilia, PH:Ultra Leste Drogarias
2230625584; HOME; UNIT; BR; São Paulo; SP; Rua Mangericão; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Eliane; Jardim Eliane; RESIDENTIAL; 180; 180; Alugar/Comprar; 2000; 2; 1; 2; 3; 0; 03575090; dá financiamento pela caixa e bancos particulares. -; BS:Parada E.E. Professor Moacyr Campos, BS:Terminal Vila Carrao, TS:Terminal Vila Carrao, CS:Brikos, CS:Padaria Célia, CS:Center Carnes Wavef, CS:Panificadora Jardim Brasilia, PH:Ultra Leste Drogarias
2491873503; HOME; UNIT; BR; São Paulo; SP; Rua Tacacazeiro; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Eliane; Jardim Eliane; RESIDENTIAL; 125; 125; Comprar; 520000; 2; 1; 3; 3; 0; 03577030; Sobrado à venda na Vila Matilde em São Paulo! Aqui você terá<br>uma ampla cozinha com extensão para uma área com churrasqueira coberta e pia de apoio, área de serviço com quarto e com quintal lateral com privilegiada luz solar. Além disso o imóvel conta com uma sala ampla com espaço para criar até 2 ambientes como sala de estar e de jantar, quarto do casal com suíte. Ainda mais você pode aproveitar todos os espaços externos da casa, no quintal existe um espaço gourmet para realização de festas ou até mesmo churrasco entre família e amigos. O imóvel está localizado em um dos pontos mais estratégicos de São Paulo, possibilitando fácil acesso as principais rodovias de São Paulo com: Av Aricanduva, Av Itaquera, Radial leste, Marginal Tiete, Rod Ayrton Senna e Fernão Dias. O imóvel tem uma localização privilegiada com acesso fácil a transporte público, metrô, Shopping Aricanduva e oferece diversos serviços próximas como: padarias, hipermercados, escolas etc... <br>E para seu lazer -; CS:Brikos, CS:Center Carnes Wavef, CS:Panificadora Jardim Brasilia, PH:Ultra Leste Drogarias, SC:Casa de Baterias, SC:Angel Modas, SC:Gamelinha, SC:Casa do Telhado, SC:Ótica Brasília, SU:D Ambrosio Instituto Educacional, SU:Colégio IED, SU:Colégio Panterra
2499269591; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Eliane; Jardim Eliane; RESIDENTIAL; 250; 82; Comprar; 420000; 5; 0; 1; 2; 0; ; Casa Térrea para Venda no bairro Jardim Eliane, 2 dorm, 5 vagas, 82 m, 250 m, Frente: 10 m, Fundo: 10 m, Lado direito: 25 m, Lado esquerdo: 25 m<br>Aceita financiamento: . - Data da Atualização:; BS:Parada E.E. Professor Moacyr Campos, BS:Terminal Vila Carrao, TS:Terminal Vila Carrao, CS:Brikos, CS:Center Carnes Wavef, CS:Panificadora Jardim Brasilia, PH:Ultra Leste Drogarias
2215375495; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Eliane; Jardim Eliane; RESIDENTIAL; 204; 204; Comprar; 340000; 2; 1; 1; 4; 0; ; CASA para Venda<br>JARDIM ELIANE, SAO PAULO<br>Casa tem 04 dormitórios ,sendo 01 suite , garagem para 02 carros coberta com lage e portão bem fechado , area grande de churrasco casa muito bem localizada , prox. Shopping Aricanduva , passa ônibus na esquina , comércios próximos, 10 minutos do metro penha , ótima vizinhança ,moradores vizinhos todos proprietário .4 dormitórios sendo 1 suíte, 2 vagas<br>204,00 M² construída - Atualizado em: -; BS:Parada E.E. Professor Moacyr Campos, BS:Terminal Vila Carrao, TS:Terminal Vila Carrao, CS:Brikos, CS:Center Carnes Wavef, CS:Panificadora Jardim Brasilia, PH:Ultra Leste Drogarias
2486933879; HOME; UNIT; BR; São Paulo; SP; Rua Palmeira Batuá; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Eliane; Jardim Eliane; RESIDENTIAL; 250; 200; Comprar; 430000; 4; 2; 3; 4; 0; 03575110; Imóvel impecável, grande, espaçoso e muito bem localizado. Conta com edícula, churrasqueira. <br>Fácil acesso para o Shopping Aricanduva. <br> <br>Agende sua visita / (Whatsapp) <br>ou pelo site: www.pedrodelima.com.br <br> <br>Todas as informações e valores exibidos neste portal são fornecidos pelos proprietários dos imóveis podendo sofrer alterações sem aviso prévio. Consulte nossos corretores.; BS:Parada E.E. Professor Moacyr Campos, BS:Terminal Vila Carrao, TS:Terminal Vila Carrao, CS:Brikos, CS:Center Carnes Wavef, CS:Panificadora Jardim Brasilia, CS:Padaria Célia, PH:Ultra Leste Drogarias
2496636593; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Eliane; Jardim Eliane; RESIDENTIAL; 75; 75; Comprar; 378000; 2; 2; 3; 2; 0; ; Sobrado individual, 2 suites amplas, 3 vagas para carros pequenos ou 2 carros grandes, sala 2 ambientes, cozinha ampla, quintal nos fundos com cobertura e churrasqueira, excelente localização <br><br>Agende ja sua visita:<br><br>Rodrigo Whatsapp<br><br>Lenilson Whatsapp - Data da Atualização:; BS:Parada E.E. Professor Moacyr Campos, BS:Terminal Vila Carrao, TS:Terminal Vila Carrao, CS:Brikos, CS:Center Carnes Wavef, CS:Panificadora Jardim Brasilia, PH:Ultra Leste Drogarias
2463910686; HOME; UNIT; BR; São Paulo; SP; Rua Palmeira Batuá; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Eliane; Jardim Eliane; RESIDENTIAL; 125; 125; Comprar; 455000; 2; 1; 2; 3; 0; 03575110; Casa de 125 m² de 3 dormitórios sendo 1 suite com armários,cozinha com armários, sala com 2 ambientes, 2 banheiros, com 2 vagas piso frio em todos ambientes, <br>Próximo: de comercio em geral, padarias mercados colégios. -; BS:Parada E.E. Professor Moacyr Campos, BS:Terminal Vila Carrao, TS:Terminal Vila Carrao, CS:Brikos, CS:Center Carnes Wavef, CS:Panificadora Jardim Brasilia, CS:Padaria Célia, PH:Ultra Leste Drogarias
2493105889; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Eliane; Jardim Eliane; RESIDENTIAL; 125; 190; Comprar; 428000; 2; 1; 2; 3; 0; ; Sobrado para Venda no bairro Jardim Eliane, 3 dorm, 1 suíte, 2 vagas, 190 m, 125 m, Frente: 5 m, Fundo: 5 m, Lado direito: 25 m, Lado esquerdo: 25 m<br>- Área Privativa: Aceita PET.<br>- Infra Estrutura: Esgoto, Vaga coberta e fechada. - Data da Atualização:; BS:Parada E.E. Professor Moacyr Campos, BS:Terminal Vila Carrao, TS:Terminal Vila Carrao, CS:Brikos, CS:Center Carnes Wavef, CS:Panificadora Jardim Brasilia, PH:Ultra Leste Drogarias
