IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2221235639; CONDOMINIUM; UNIT; BR; Aracoiaba da Serra; SP; Rodovia Raposo Tavares; BR>Sao Paulo>NULL>Aracoiaba da Serra>Barrios>Jardim Escocia; Jardim Escócia; RESIDENTIAL; 1111; 575; Comprar; 2600000; 10; 5; 7; 5; 1501; 18190000; Empreendimento de alto padrão, com campo de golfe, bosque, pista de caminhada, academia, quadra de tênis e muita natureza. Acesso direto à Rodovia Raposo Tavares e Zona Sul de Sorocaba. -; BR:Espetinho do Mancha, BR:Restaurante Vovó Mimi, SC:Itapé Rolamentos, SC:Rancho Natureza
2493067644; HOME; UNIT; BR; Aracoiaba da Serra; SP; ; BR>Sao Paulo>NULL>Aracoiaba da Serra>Barrios>Jardim Escocia; Jardim Escócia; RESIDENTIAL; 680; 680; Comprar; 1300000; 4; 4; 6; 4; 342; 18190000; Código: RM7A20<br><br>Sobrado Cond. Residencial Evidence, 4 suítes, espaço gourmet com churrasqueira, piscina, persianas automáticas<br><br>Descrição: Terreno com 686,16 m2, área construída 294,46 m2.<br>Quatros suítes, suíte principal com closet, banheiro próximo a piscina, churrasqueira completa, cozinha com sala de jantar, sala de tv, sala de estar, lavabo, garagem para 4 carros, armário náutico, lavanderia, dispensa, piscina aquecida, aquecedor solar nos banheiros e pia da cozinha, comodo anexo a casa que pode ser escritório ou quarto de empregada, todas as janelas dos quartos e da sala de tv possuem persianas elétricas e todas as janelas e portas da casa possuem tela mosqueteira. Ar condicionado em dois quartos.<br><br>Condomínio Residencial Evidence em Araçoiaba da Serra possui em sua infra estrutura quadra de tênis, quadra de poliesportiva, campo de futebol, dois lagos para pesca, mata preservada, 2 portarias 24 horas, muito próximo a mercado, farmácia, bem localizado.; SC:Itapé Rolamentos, SC:Rancho Natureza, BR:Espetinho do Mancha, BR:Restaurante Vovó Mimi
2463675382; RESIDENTIAL_ALLOTMENT_LAND; UNIT; BR; Aracoiaba da Serra; SP; BR-272; BR>Sao Paulo>NULL>Aracoiaba da Serra>Barrios>Jardim Escocia; Jardim Escócia; RESIDENTIAL; 992; 992; Comprar; 165000; 0; 0; 0; 0; 450; 18190000; Lindo terreno condomínio Village Ipanema terreno com 992 metros Plano linda vista , excelente condomínio com lindos lagos e linda área de lazer -; SC:Rancho Natureza
2492440181; RESIDENTIAL_ALLOTMENT_LAND; UNIT; BR; Aracoiaba da Serra; SP; ; BR>Sao Paulo>NULL>Aracoiaba da Serra>Barrios>Jardim Escocia; Jardim Escócia; RESIDENTIAL; 720; 720; Comprar; 200000; 0; 0; 0; 0; 360; 18190000; TERRENO À VENDA NO CONDOMÍNIO EVIDENCE RESIDENCIAL - ARAÇOIABA DA SERRA.<br><br>Dispondo de 18 metros de frente por 40 metros de fundo, totalizando 720 m².<br>Excelente topografia, totalmente plano.<br><br>Condomínio com lago particular, quadra poliesportiva, quadra de tênis, portaria 24 horas e muito verde.<br>Ótima localizado próximo da divisa de Araçoiaba da Serra e Sorocaba.<br>À 7 minutos do Shopping Iguatemi e à 15 minutos do Centro de Sorocaba.<br><br>A tranqüilidade do campo com a facilidade da cidade!<br>Aproveite esta oportunidade!<br><br>Agende uma visita e venha conhecer!!<br><br>; SC:Rancho Natureza, SC:Itapé Rolamentos, BR:Espetinho do Mancha
2484846990; CONDOMINIUM; UNIT; BR; Aracoiaba da Serra; SP; Rodovia Raposo Tavares; BR>Sao Paulo>NULL>Aracoiaba da Serra>Barrios>Jardim Escocia; Jardim Escócia; RESIDENTIAL; 686; 295; Comprar; 1500000; 4; 4; 6; 4; 380; 18190000; Lindo sobrado com 4 suítes, suite principal com closet , sala de TV, piscina com aquecimento, aquecimento solar nos banheiro, e pia da cozinha, janelas automatizadas,<br>Ótimo condomínio com lazer completo incluindo lago para pesca, área verde e pista de caminhada.<br>Excelente localização nas Margens da Rodovia Raposo Tavares. -; SC:Itapé Rolamentos, SC:Rancho Natureza, BR:Espetinho do Mancha, BR:Restaurante Vovó Mimi
2479139774; CONDOMINIUM; UNIT; BR; Aracoiaba da Serra; SP; Rodovia Raposo Tavares; BR>Sao Paulo>NULL>Aracoiaba da Serra>Barrios>Jardim Escocia; Jardim Escócia; RESIDENTIAL; 1090; 450; Comprar; 2200000; 6; 3; 5; 3; 1400; 18190000; Excelente casa térrea de 1090m² totais com 3 dormitórios, sendo todas suítes, sala de estar, sala de jantar, cozinha, lavabo, área de serviço, área gourmet com churrasqueira, quintal, piscina, 6 vagas de garagem, sendo 2 cobertas. Casa mobiliada. Ótimo acabamento. Móveis e armários em todos os ambientes. <br><br>Condomínio muito seguro e área de lazer completa. <br><br>Fotos: Elson Yabiku/Revista Habitare/Divulgação<br><br>Agende uma visita conosco! -; SC:Itapé Rolamentos, SC:Rancho Natureza, BR:Espetinho do Mancha, BR:Restaurante Vovó Mimi
2457753656; CONDOMINIUM; UNIT; BR; Aracoiaba da Serra; SP; ; BR>Sao Paulo>NULL>Aracoiaba da Serra>Barrios>Jardim Escocia; Jardim Escócia; RESIDENTIAL; 271; 271; Comprar; 1290000; 6; 2; 4; 3; 406; 18190000; Venha morar em condomínio com ampla área verde com total tranquilidade!<br>Casa com ótima localização no condomínio, em frente ao morro de Ipanema, imóvel totalmente modulado com planejados Todeschini em todos ambientes, com acabamento de primeira em piso porcelanato e laminado, amplo quintal com piscina, área gourmet e canil.<br>O condomínio com total infraestrutura, super arborizado e lazer com quadra esportiva, playground, tudo para você e sua família!<br>Localizado as margens da Rodovia Raposo Tavares a 15 minutos do Shopping Iguatemi e 5 do centro de Araçoiaba da Serra.<br><br>; SC:Itapé Rolamentos, SC:Rancho Natureza, BR:Espetinho do Mancha, BR:Restaurante Vovó Mimi
2497938438; COUNTRY_HOUSE; UNIT; BR; Aracoiaba da Serra; SP; ; BR>Sao Paulo>NULL>Aracoiaba da Serra>Barrios>Jardim Escocia; Jardim Escócia; RESIDENTIAL; 1600; 157; Comprar; 500000; 7; 1; 3; 4; 0; 18190000; OPORTUNIDADE CHÁCARA EM ARAÇOIABA DA SERRA<br><br><br>Chácara próximo a Rodovia Raposo Tavares, KM 272 com casa com 4 dormitórios, sendo 1 suíte, 3 salas , cozinha, lavanderia, área gourmet com churrasqueira, varanda, 01 vaga de garagem coberta e 06 descobertas, 1 quartinho pra ferramentas, 1 canil.<br>Toda gramada por fora até no final do terreno.<br><br>Venha conhecer hoje mesmo, agende uma visita! -; SC:Rancho Natureza
2494946244; RESIDENTIAL_ALLOTMENT_LAND; UNIT; BR; Aracoiaba da Serra; SP; Rodovia Raposo Tavares; BR>Sao Paulo>NULL>Aracoiaba da Serra>Barrios>Jardim Escocia; Jardim Escócia; RESIDENTIAL; 720; 720; Comprar; 220000; 0; 0; 0; 0; 450; 18190000; ; SC:Itapé Rolamentos, SC:Rancho Natureza, BR:Espetinho do Mancha, BR:Restaurante Vovó Mimi
2497817076; RESIDENTIAL_ALLOTMENT_LAND; UNIT; BR; Aracoiaba da Serra; SP; Rodovia Raposo Tavares; BR>Sao Paulo>NULL>Aracoiaba da Serra>Barrios>Jardim Escocia; Jardim Escócia; RESIDENTIAL; 640; 640; Comprar; 190000; 0; 0; 0; 0; 350; 00018190; terreno bem localizado,plano. -; SC:Itapé Rolamentos, SC:Rancho Natureza, BR:Espetinho do Mancha, BR:Restaurante Vovó Mimi
