IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2495892791; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Guanhembu; Jardim Guanhembu; RESIDENTIAL; 125; 80; Comprar; 480000; 2; 1; 2; 3; 0; ; Sobrado com 3 dormitórios, sala ampla, copa/cozinha, área de serviço, quintal, terraço, portão automático, 2 vagas de garagem, toda em piso frio. Próximo ao SESC Interlagos, atacados, Cidade Dutra, a 15 min da estação Primavera/Interlagos, padarias, farmácias e demais comércios.; BS:R. Jequirituba 1494, BS:R. Jequirituba 1557, BS:Romão, BS:R. Jequirituba 2740, BS:R. Jonatas Serrano 72, TS:Primavera-Interlagos, TS:CPTM Grajaú, TS:Primavera - Interlagos, TS:Desembarque - Terminal Grajaú, TS:Grajaú, CS:Fabrica de Pães Belaju, PH:Droga Mix
2498037240; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Guanhembu; Jardim Guanhembu; RESIDENTIAL; 125; 180; Comprar; 475000; 2; 1; 3; 4; 0; ; 4 dormitórios, 1 suíte, sacada, banheiro social, sala para 2 ambientes, lavabo, cozinha planejada, lavanderia, quintal com corredor lateral, piscina, 2 vagas na garagem, portão automático. Localizado a 5 minutos do SESC Interlagos, comércios, colégios, atacadão, ônibus, fácil acesso para as principais avenidas da região e para estações Primavera e Autódromo. Aceita permuta por terreno ou casa na região da Cidade Dutra.; BS:R. Jequirituba 1494, BS:R. Jequirituba 1557, BS:Romão, BS:R. Jequirituba 2740, BS:R. Jonatas Serrano 72, TS:Primavera-Interlagos, TS:CPTM Grajaú, TS:Primavera - Interlagos, TS:Desembarque - Terminal Grajaú, TS:Grajaú, CS:Fabrica de Pães Belaju, PH:Droga Mix
2499354579; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Guanhembu; Jardim Guanhembu; RESIDENTIAL; 250; 125; Comprar; 480000; 2; 1; 3; 4; 0; 04814560; Sobrado em ótimo estado de conservação, grande oportunidade para quem quer morar próximo à natureza, comércio, escolas, academias de ginástica, CPTM, vias de acesso para principais avenidas, ruas tranquilas e arborizadas. -; BS:R. Jequirituba 1494, BS:R. Jequirituba 1557, BS:Romão, TS:Primavera-Interlagos, TS:Primavera - Interlagos, CS:Fabrica de Pães Belaju, SC:Roldão atacadista, SC:Supermercado Ricoy, SC:Cout Car, SC:Aires Bicicletaria, SC:Supermercado Gualtieri
2498041479; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Guanhembu; Jardim Guanhembu; RESIDENTIAL; 125; 170; Comprar; 480000; 2; 1; 2; 3; 0; ; Sobrado com 3 dormitórios, sala, cozinha, banheiro, lavanderia, quintal, 2 vagas. Localizado a 5 minutos do Sesc Interlagos com fácil acesso para as principais avenidas da região.; BS:R. Jequirituba 1494, BS:R. Jequirituba 1557, BS:Romão, BS:R. Jequirituba 2740, BS:R. Jonatas Serrano 72, TS:Primavera-Interlagos, TS:CPTM Grajaú, TS:Primavera - Interlagos, TS:Desembarque - Terminal Grajaú, TS:Grajaú, CS:Fabrica de Pães Belaju, PH:Droga Mix
2499251096; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Guanhembu; Jardim Guanhembu; RESIDENTIAL; 150; 150; Comprar; 550000; 2; 1; 3; 4; 0; ; Casa sobrado para venda no Jardim Ganhembu com 150m² - 4 dormitórios (1 suíte), 2 sacadas com portas de vidro, 3 W.C, 1 lavabo, sala ampla e bem arejada, cozinha, área de serviço, 2 vagas de garagem com portão automático e teto rebaixado com sanca. Imóvel totalmente reformado e piso de madeira.<br>Localizado em rua tranquila, tem como pontos de referência: Sesc Interlagos, Senac Primvera, Av. Irmã dulce, tem fácil acesso a comércios em geral, transporte público e escolas. <br>Aceita permuta em casa na Zona Norte.<br> - Verificado:; BS:R. Jequirituba 1494, BS:R. Jequirituba 1557, BS:Romão, BS:R. Jequirituba 2740, BS:R. Jonatas Serrano 72, TS:Primavera-Interlagos, TS:CPTM Grajaú, TS:Primavera - Interlagos, TS:Desembarque - Terminal Grajaú, TS:Grajaú, CS:Fabrica de Pães Belaju, PH:Droga Mix
2488980846; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Guanhembu; Jardim Guanhembu; RESIDENTIAL; 150; 150; Comprar; 384000; 2; 2; 4; 5; 0; ; 04 Casas para renda Jardim Guanhembu - próximo ao Sesc Interlagos. <br>São 04 casas de 01 dormitório, sala cozinha, área de serviço, tem 02 vagas de garage. localização próximo ao comercio local. <br> <br>04 Alugueis de R$: 800,00 <br>*** Totalizando de renda R$: 3.200,00; BS:R. Jequirituba 1494, BS:R. Jequirituba 1557, BS:Romão, BS:R. Jequirituba 2740, BS:R. Jonatas Serrano 72, TS:Primavera-Interlagos, TS:CPTM Grajaú, TS:Primavera - Interlagos, TS:Desembarque - Terminal Grajaú, TS:Grajaú, CS:Fabrica de Pães Belaju, PH:Droga Mix
2478033960; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Guanhembu; Jardim Guanhembu; RESIDENTIAL; 125; 125; Comprar; 500000; 2; 0; 3; 2; 0; ; Sobrado possui 2 amplos dormitórios, um com terraço, sala para dois ambientes, cozinha ampla, 2 banheiros, edícula com banheiro, vaga para 2 carros. Boa localização, praticamente ao lado do SESC Interlagos. <br>A APOYO assessora seu financiamento nas principais instituições bancárias, e acompanha o processo até finalizar no Cartório de Registro de Imóveis.; BS:R. Jequirituba 1494, BS:R. Jequirituba 1557, BS:Romão, BS:R. Jequirituba 2740, BS:R. Jonatas Serrano 72, TS:Primavera-Interlagos, TS:CPTM Grajaú, TS:Primavera - Interlagos, TS:Desembarque - Terminal Grajaú, TS:Grajaú, CS:Fabrica de Pães Belaju, PH:Droga Mix
2498041482; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Guanhembu; Jardim Guanhembu; RESIDENTIAL; 150; 300; Comprar; 500000; 2; 0; 4; 5; 0; ; Sobrado com 4 dormitórios, 2 cozinhas, 2 salas, lavabo, banheiro, lavanderia, quintal, terraço, 2 edículas, 2 vagas bem espaçosas. Ótima localização, a 10 minutos a pé da Estação Primavera e do Hospital Grajaú, fácil acesso para as principais avenidas da região, grande variedade de comércios, colégios, ponto de ônibus apenas 100 metros. Não aceita financiamento, mas proprietários estudam negociação direta.; BS:R. Jequirituba 1494, BS:R. Jequirituba 1557, BS:Romão, BS:R. Jequirituba 2740, BS:R. Jonatas Serrano 72, TS:Primavera-Interlagos, TS:CPTM Grajaú, TS:Primavera - Interlagos, TS:Desembarque - Terminal Grajaú, TS:Grajaú, CS:Fabrica de Pães Belaju, PH:Droga Mix
2487977536; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Rua Edgar Aquino Duarte; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Guanhembu; Jardim Guanhembu; RESIDENTIAL; 100; 80; Comprar; 255000; 1; 0; 2; 1; 0; 04814370; Casa para venda no Jardim Guanhembu com 01 dormitório, sala, cozinha, banheiro, área de serviço e 01 vaga.<br>Excelente imóvel oportunidade valor R$ 300.000,00,<br>Próximo ao Sesc Interlagos. -; BS:R. Jequirituba 1494, BS:R. Jequirituba 1557, BS:Romão, BS:R. Jequirituba 2740, BS:R. Jonatas Serrano 72, TS:Primavera-Interlagos, TS:CPTM Grajaú, TS:Primavera - Interlagos, TS:Desembarque - Terminal Grajaú, TS:Grajaú, CS:Fabrica de Pães Belaju, PH:Droga Mix
2497609128; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Guanhembu; Jardim Guanhembu; RESIDENTIAL; 138; 100; Comprar; 430000; 2; 0; 1; 2; 0; ; Casa térrea com 2 dormitórios, banheiro, sala espaçosa, cozinha, lavanderia, despensa, terraço grande e espaço para ampliar. Localizado a 10 minutos a pé da Estação Primavera, Hospital Grajaú, vários comércios, colégios, transportes públicos, fácil acesso para as principais avenidas da região.; BS:R. Jequirituba 1494, BS:R. Jequirituba 1557, BS:Romão, BS:R. Jequirituba 2740, BS:R. Jonatas Serrano 72, TS:Primavera-Interlagos, TS:CPTM Grajaú, TS:Primavera - Interlagos, TS:Desembarque - Terminal Grajaú, TS:Grajaú, CS:Fabrica de Pães Belaju, PH:Droga Mix
