IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2493549505; HOME; UNIT; BR; Campinas; SP; Rua Professor Saul Carlos da Silva; BR>Sao Paulo>NULL>Campinas>Barrios>Jardim Guarani; Jardim Guarani; RESIDENTIAL; 6382; 541; Comprar; 1450000; 5; 2; 5; 4; 0; 13100210; Casa à venda no Jardim Guarani. Excelente localização, parte alta do bairro, próximo ao colégio Coração de Jesus, rua arborizada e tranquila. Casa com ótimo projeto arquitetônico, muito bem construída e conservada, ambientes amplos e arejados, living amplo com lareira, escritório, cozinha, sala de almoço, 4 quartos sendo 2 suítes, 1 master com closet e banheira, lindíssima área de lazer com piscina e churrasqueira. Ótima casa para escritórios, clinicas e residencia. Estuda imóvel de menor valor. Agende sua visita com um dos nossos corretores! Pleno Imóveis ou . -; BS:Parada Moraes Sales, TS:Parada Moraes Sales, CS:Boulangerie de France, CS:Panificadora Piracam, CS:Aurok, CS:Pão do Cambui, CS:Croissant D'or, PH:Drogaria SP, PH:Farmaxima
2495953602; RESIDENTIAL_ALLOTMENT_LAND; UNIT; BR; Campinas; SP; Avenida Imperatriz Dona Amélia; BR>Sao Paulo>NULL>Campinas>Barrios>Jardim Guarani; Jardim Guarani; RESIDENTIAL; 685; 685; Comprar; 685000; 0; 0; 0; 0; 0; 13100214; TERRENO NO BAIRRO JARDIM GUARANI EM CAMPINAS VENDA.<br>Excelente lote comercial de esquina, 685m², todo murado, ideal para lojas ou mercados, localizado em rua de grande fluxo, com zoneamento ZM2 de uso misto, em declive para ótimo aproveitamento da área. Agende sua visita pelo site zeloimoveis.com e venha conhecer!; BS:Parada Moraes Sales, TS:Parada Moraes Sales, CS:Panificadora Piracam, CS:Boulangerie de France, CS:Pão do Cambui, CS:Luzitana, CS:Croissant D'or, PH:Drogaria SP, PH:Farmaxima, PH:A Homeopática
2495478232; TWO_STORY_HOUSE; UNIT; BR; Campinas; SP; Rua Professor Saul Carlos da Silva; BR>Sao Paulo>NULL>Campinas>Barrios>Jardim Guarani; Jardim Guarani; RESIDENTIAL; 638; 541; Comprar; 1450000; 5; 2; 5; 4; 0; 13100210; Casa à venda no Jardim Guarani. Excelente localização, parte alta do bairro, próximo ao colégio Coração de Jesus, rua arborizada e tranquila. Casa com ótimo projeto arquitetônico, muito bem construída e conservada, ambientes amplos e arejados, living amplo com lareira, escritório, cozinha, sala de almoço, 4 quartos sendo 2 suítes, 1 master com closet e banheira, lindíssima área de lazer com piscina e churrasqueira. Ótima casa para escritórios, clinicas e residencia. Estuda imóvel de menor valor. Agende sua visita com um dos nossos corretores! Pleno Imóveis – ou . -; BS:Parada Moraes Sales, TS:Parada Moraes Sales, CS:Boulangerie de France, CS:Panificadora Piracam, CS:Aurok, CS:Pão do Cambui, CS:Croissant D'or, PH:Drogaria SP, PH:Farmaxima
2496982406; HOME; UNIT; BR; Campinas; SP; Rua Professor Saul Carlos da Silva; BR>Sao Paulo>NULL>Campinas>Barrios>Jardim Guarani; Jardim Guarani; RESIDENTIAL; 250; 180; Comprar; 660000; 3; 1; 3; 3; 0; 13100210; Casa a venda no Jardim Guarani, Campinas. Excelente localização em ótimo estado sendo 3 dormitórios (1 suíte), 2 salas, salorium e quintal. Garagem para 3 autos. De Lucca Imoveis. -; BS:Parada Moraes Sales, TS:Parada Moraes Sales, CS:Boulangerie de France, CS:Panificadora Piracam, CS:Aurok, CS:Pão do Cambui, CS:Frutaria Brotto, PH:Drogaria SP, PH:Farmaxima
2489534188; CONDOMINIUM; UNIT; BR; Campinas; SP; Avenida Imperatriz Dona Teresa Cristina; BR>Sao Paulo>NULL>Campinas>Barrios>Jardim Guarani; Jardim Guarani; RESIDENTIAL; 310; 350; Comprar; 477000; 3; 3; 5; 3; 425; 13100200; Casa a Venda no Condomínio Residencial Paraíso em Campinas. Imovél semi construído, já com madeiramento e telhado instalados. Projeto com 3 suites, 5 banheiros, amplo living para 2 ambientes,Lavabo,Lavanderia,área de serviço, área de luz ,sóton e 3 vagas. Ótima localização em bairro nobre e ponto alto de Campinas a 05 minutos do Shopping Iguatemi, próximo a vários centros comerciais e esportivos com saída para as principais rodovias da região. Estuda Permuta e avalia propostas.<br>Agende sua Visita, Davanti Negócios Imobiliários. -; BS:Parada Moraes Sales, TS:Parada Moraes Sales, CS:Boulangerie de France, CS:Panificadora Piracam, CS:Aurok, CS:Pão do Cambui, CS:Frutaria Brotto, PH:Drogaria SP, PH:Farmaxima
2493956607; APARTMENT; UNIT; BR; Campinas; SP; ; BR>Sao Paulo>NULL>Campinas>Barrios>Jardim Guarani; Jardim Guarani; RESIDENTIAL; 90; 90; Comprar; 340000; 2; 1; 3; 3; 500; 13100210; APTO DE 90 MTS DE ÁREA ÚTIL, MUITO BEM LOCALIZADO, DE FRENTE, SOL DA MANHÃ, CONTENDO LIVING PARA 2 AMBIENTES, 3 DORMITÓRIOS SENDO 1 SUÍTE, COZINHA E ÁREA DE SERVIÇO PLANEJADAS E 02 VAGAS PARA AUTOS.<br>INFORMAÇÕES COM MARTHA - | | <br><br>; BS:Parada Moraes Sales, TS:Parada Moraes Sales, CS:Boulangerie de France, CS:Panificadora Piracam, CS:Aurok, CS:Frutaria Brotto, CS:Pão do Cambui, PH:Drogaria SP, PH:Farmaxima
2489670758; APARTMENT; UNIT; BR; Campinas; SP; Avenida Guarani; BR>Sao Paulo>NULL>Campinas>Barrios>Jardim Guarani; Jardim Guarani; RESIDENTIAL; 56; 56; Comprar; 350000; 2; 0; 2; 2; 200; 13100211; Apartamento térreo com quintal a venda no Jardim Proença, com 56 m² de área útil + 50 m² de quintal, com sala, 2 dormitórios, cozinha planejada, área de serviço, 2 vagas de garagem. Agende sua visita, Zamm Negócios Imobiliários. -; BS:Parada Moraes Sales, TS:Parada Moraes Sales, CS:Panificadora Piracam, CS:Boulangerie de France, CS:Luzitana, CS:Frutaria Brotto, CS:Pão do Cambui, PH:Drogaria SP, PH:Farmaxima
2495954778; RESIDENTIAL_ALLOTMENT_LAND; UNIT; BR; Campinas; SP; Rua Santa Ernestina; BR>Sao Paulo>NULL>Campinas>Barrios>Jardim Guarani; Jardim Guarani; RESIDENTIAL; 300; 300; Comprar; 370000; 0; 0; 0; 0; 0; 13100202; TERRENO PLANO NO MELHOR PONTO DO JARDIM GUARANI, TODO MURADO. PRÓXIMO AO COLÉGIO SAGRADO CORAÇÃO DE JESUS.; BS:Parada Moraes Sales, TS:Parada Moraes Sales, CS:Boulangerie de France, CS:Panificadora Piracam, CS:Pão do Cambui, CS:Aurok, CS:Croissant D'or, PH:Drogaria SP, PH:Farmaxima
2490372848; APARTMENT; UNIT; BR; Campinas; SP; Rua Avelino Amaral; BR>Sao Paulo>NULL>Campinas>Barrios>Jardim Guarani; Jardim Guarani; RESIDENTIAL; 60; 60; Comprar; 200000; 0; 0; 1; 1; 360; 13100013; Apto impecável sendo 1 dormitório, sala, cozinha e wc. <br>Totalmente reformado, excelente planta. Sem garagem, portaria 24 horas.<br>Documentação ok.<br><br>Falar com Angela <br> / <br> -; BS:Parada Moraes Sales, BS:Entrada do     Terminal mercado, BS:Terminal Mercado 3, TS:Parada Moraes Sales, TS:Entrada do     Terminal mercado, TS:João Jorge, TS:Terminal Mercado 3, CS:Pão do Cambui, CS:Boulangerie de France, CS:Croissant D'or, CS:Panificadora Piracam, CS:Docci Gateau, PH:Drogaria SP, PH:Farmaxima, PH:A Homeopática, PH:Ao Pharmaceutico, PH:Fórmula e Cia
2494050902; HOME; UNIT; BR; Campinas; SP; Rua Santa Ernestina; BR>Sao Paulo>NULL>Campinas>Barrios>Jardim Guarani; Jardim Guarani; RESIDENTIAL; 360; 250; Comprar; 570000; 4; 1; 3; 3; 0; 13100202; Casa constituída por living amplo, lavabo, sala de jantar, área de luz coberta conjugada com escritório, cozinha com armários planejados, hall de distribuição, 3 dormitórios e 1 suíte (hidromassagem). <br>Quintal amplo com piscina, lavanderia e banheiro de serviço (fase de acabamento). <br><br>Estuda PERMUTA com apartamento na região Central. Consulte-nos! <br><br>G2F Especialista em Imóveis -; BS:Parada Moraes Sales, TS:Parada Moraes Sales, CS:Boulangerie de France, CS:Panificadora Piracam, CS:Frutaria Brotto, CS:Pão do Cambui, CS:Aurok, PH:Drogaria SP, PH:Farmaxima
