IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2427789066; APARTMENT; UNIT; BR; Taubaté; SP; Rua Emílio Augusto de Matos Ortiz; BR>Sao Paulo>NULL>Taubate>Barrios>Jardim Jaragua; Jardim Jaraguá; RESIDENTIAL; 82; 82; Comprar; 250000; 1; 1; 2; 2; 250; 12062540; Apartamento em ótimas condições! Pronto para morar! Local arejado, planta original. Área comum com área de lazer e muitas opções: Piscina adulto e infantil; 3 quiosques com churrasqueira; Quadra poliesportiva; Salão de festas; Garagem; Parquinho; Academia; Portaria 24h. Armários na cozinha; Blindex nos banheiros. Área privativa: 82m² Localização: Próximo à escola SAAD; Ao lado do supermercado SEMAR; Próximo a farmácia e outros comércios; Bairro tranquilo!! Contato WhatsApp: Venha conferir!!! Agende uma visita! Características: Academia, varanda, área de serviço, churrasqueira, piscina, salão de festas, porteiro 24h; CH:UPA San Marino
2492102540; HOME; UNIT; BR; Taubaté; SP; ; BR>Sao Paulo>NULL>Taubate>Barrios>Jardim Jaragua; Jardim Jaraguá; RESIDENTIAL; 223; 148; Comprar; 380000; 2; 1; 2; 3; 0; 12062410; A <strong>Imobiliária Jeremias Rodrigues Imóveis de Alto Padrão</strong> disponibiliza para <strong>VENDA</strong>, esse imóvel, localizado no bairro Jardim dos Estados na cidade de <strong>Taubaté; BR:WILL BEBIDAS
2493961824; APARTMENT; UNIT; BR; Taubaté; SP; Avenida Amador Bueno da Veiga; BR>Sao Paulo>NULL>Taubate>Barrios>Jardim Jaragua; Jardim Jaraguá; RESIDENTIAL; 70; 70; Comprar; 160000; 1; 1; 2; 2; 300; 12062400; Apartamento aconchegante no Jardim Jaraguá, em Taubaté. Possui dois Dormitórios, banheiro social, sala com acesso à varanda, cozinha com armário e balcão, área de serviço, ambos os banheiros com gabinete e box em blindex e porcelanato branco, armário embutido na suíte e uma vaga de garagem. <br><br>Localização próxima ao Supermercado Semar e de diversos comércios locais como farmácias, restaurantes e de fácil acesso a Tremembé e Pindamonhangaba. <br><br>O condomínio também oferece uma excelente piscina de lazer coletivo acompanhada de espaço gourmet e quadra poliesportiva.<br><br>PREÇO DE OPORTUNIDADE!<br><br>Agende sua visita e garanta essa oportunidade!<br><br>Características do imóvel<br>Área de serviço<br>Armário de Cozinha<br>Armário embutido<br>Cozinha<br>Piso frio<br>Sala de estar<br>Sala de jantar<br>Varanda<br><br>Características do condomínio<br>Churrasqueira<br>Ducha<br>Espaço gourmet<br>Estacionamento para visita<br>Piscina<br>Piscina infantil<br>Playground<br>Quadra poliesportiva<br>Sala de recreação infantil<br>Salão de festas<br>Solarium<br>Vigilância 24 horas<br><br>Mais informações em www.lucianomigoto.com.br; BR:WILL BEBIDAS
2493961620; CONDOMINIUM; UNIT; BR; Taubaté; SP; Rua Emílio Augusto de Matos Ortiz; BR>Sao Paulo>NULL>Taubate>Barrios>Jardim Jaragua; Jardim Jaraguá; RESIDENTIAL; 225; 60; Comprar; 280000; 2; 1; 2; 2; 360; 12062540; Linda Casa Térrea com 2 Dormitórios no Condomínio Privilege Ville, na região do Jardim Jaraguá em Taubaté.<br><br>O Imóvel possui varias personalizações de acabamento, principalmente nos banheiros que também contam com box blindex, sala 2 ambientes integrada à cozinha, e suíte equipada com ar condicionado. <br><br>Imóvel de esquina, possui o maior terreno entre todas as casas do condomínio, proporcionando um amplo quintal com churrasqueira. <br><br>Condomínio com:<br>- Playground<br>- Salão de festas com churrasqueira independente<br>- 2 quiosques com churrasqueira sendo 1 com forno de pizza<br>- Quadra de areia<br>- Piscina adulta e infantil<br><br>Agende a sua visita e surpreenda-se!<br><br>Características do imóvel<br>Ar condicionado<br>Área de serviço<br>Armário de cozinha<br>Churrasqueira<br>Cozinha<br>Entrada lateral<br>Imóvel de esquina<br>Jardim<br>Piscina<br>Piso frio<br>Quadra poliesportiva<br>Quintal<br>Sala de estar<br>Sala de jantar<br>Sala de TV<br>Salão de festas<br><br>Mais informações em www.lucianomigoto.com.br; CH:UPA San Marino
2451219187; RESIDENTIAL_ALLOTMENT_LAND; UNIT; BR; Taubaté; SP; ; BR>Sao Paulo>NULL>Taubate>Barrios>Jardim Jaragua; Jardim Jaraguá; RESIDENTIAL; 367; 367; Comprar; 165500; 0; 0; 0; 0; 450; 12062400; Personal disponibiliza para venda excelentes lotes totalmente planos em condomínio fechado.<br><br>Poucos minutos do centro da cidade, próximo a colégio, Universidade, comercio em geral.<br><br>Aproveite esta oportunidade e agende sua visita!; 
2497960017; APARTMENT; UNIT; BR; Taubaté; SP; Avenida Amador Bueno da Veiga; BR>Sao Paulo>NULL>Taubate>Barrios>Jardim Jaragua; Jardim Jaraguá; RESIDENTIAL; 75; 64; Alugar/Comprar; 760; 1; 1; 2; 2; 300; 12062400; Apartamento Tipo no 5º andar com vista livre, com: 02 dormitórios, sendo 01 suíte; sacada; sala; banheiro social; cozinha; área de serviço e uma vaga completa.<br>Condomínio com ótima área de lazer. -; CH:UPA San Marino
2497895458; APARTMENT; UNIT; BR; Taubaté; SP; ; BR>Sao Paulo>NULL>Taubate>Barrios>Jardim Jaragua; Jardim Jaraguá; RESIDENTIAL; 62; 62; Alugar/Comprar; 700; 1; 1; 2; 2; 330; 12062400; EXCELENTE Apartamento no condomínio PRIVILEGE em Taubaté<br><br>Apartamento de 2 dormitórios com suíte, sala, lavanderia, cozinha, uma vaga de garagem no quinto andar. Condomínio completo com elevador, salões de festas, churrasqueiras, piscinas, academia, quadras e com um valor baixo de condomínio, já incluso a água.<br><br>Aluguel R$ 700,00 + condomínio<br>Venda R$ 210.000,00<br><br>AGENDE JÁ UMA VISITA! -; BR:WILL BEBIDAS
2490184718; APARTMENT; UNIT; BR; Taubaté; SP; Avenida Amador Bueno da Veiga; BR>Sao Paulo>NULL>Taubate>Barrios>Jardim Jaragua; Jardim Jaraguá; RESIDENTIAL; 76; 76; Comprar; 310000; 1; 1; 2; 3; 390; 12062400; Condominio Privilege Taubate<br><br>Excelente condominio <br>2 quadras, sendo uma de basquete e a outra de futsal...<br>Salao de festas...<br>3 quiosques...<br>Piscina... Podendo entrar 2 visitantes pernoitados<br>Vaga para visitante<br><br> 3 dormitorios, sendo 1 suite, <br> Piso porcelanato,<br> Sanca,<br> Sacada com vista,<br> Moveis planejados, <br><br>Apto com otima localizacao... Tendo mercado proximo... Loterica... Posto de gasolina... Dentista... Chaveiro... Restaurante... Farmacia... Etc...<br><br>Aceito permuta por casa ou terreno em condominio<br><br>Documentacao tudo ok para financiamento; BR:WILL BEBIDAS
2497468325; APARTMENT; UNIT; BR; Taubaté; SP; Avenida Amador Bueno da Veiga; BR>Sao Paulo>NULL>Taubate>Barrios>Jardim Jaragua; Jardim Jaraguá; RESIDENTIAL; 64; 64; Comprar; 170000; 1; 1; 2; 2; 0; 12062400; 2 banheiros/box, 2 dorm. arejados, área externa ampla (2mil/M2) 2 quadras, 3 quiosques c/ churrasqueira, mesas/cadeira, comércio externo completo: escola part/ pública e faculdades, saída fácil p Dutra, localizado Jd Jaraguá/Taubaté, Av. Amador Bueno 2000, vista livre p Mantiqueira , <br> <br> valor de locação 1.150,00 (IPTU e Cond Incluso) <br> <br> <br> - : Playground, <br> <br> - Acabamentos: Piso Cermico, <br> <br> - Cômodos: Área de Serviço, Cozinha, Sala de Estar, <br> <br> - Lazer: Piscina, Piscina Infantil, Playground, Salão de Festas, <br> <br> - Proximidades: Bares e Restaurantes, Escola, Farmácia, Supermercado, <br> <br> - Segurança: Portaria 24hs,; CH:UPA San Marino
2481088496; APARTMENT; UNIT; BR; Taubaté; SP; ; BR>Sao Paulo>NULL>Taubate>Barrios>Jardim Jaragua; Jardim Jaraguá; RESIDENTIAL; 63; 63; Comprar; 180000; 1; 0; 1; 2; 250; ; Apartamento 63m² com 2 dormitórios;<br>Totalmente mobiliado;<br>Andar térreo, tendo quintal e lavanderia;<br>Condomínio com segurança 24h;<br>Lazer com churrasqueira, quadra, salão de festas e playground;<br>Pronto para morar!<br><br>Entre em contato e agende uma visita. -; CH:UPA San Marino
