IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2437543389; APARTMENT; UNIT; BR; São Paulo; SP; Rua Job Vaz do Amaral; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Lallo; Jardim Lallo; RESIDENTIAL; 85; 70; Comprar; 230000; 1; 0; 1; 2; 150; 04812240; Apartamento localizado a 5 minutos da Estação Autódromo da CPTM, reformado e em ótimo estado de conservação, todo em piso frio, com 2 dormitórios, sala, cozinha, banheiro, área de serviços e uma vaga de garagem. Região com farto transporte coletivo, escolas, supermercados, açougue, farmácias, padarias entre outros comércios de primeira necessidade. Ideal para você que se utiliza de Metrô ou da linha de transportes da CPTM. Aguardamos seu contato.; BS:Parada Paulo Whitaker B/C, BS:Guaiúba B/C, BS:Jaquirana B/C, BS:Estação de Transferência Rio Bonito, BS:Interlagos B/C, TS:Parada Paulo Whitaker B/C, TS:Paulo Whitaker B/C, TS:Guaiúba B/C, TS:Jaquirana B/C, TS:Rio Bonito B/C, CS:Fabrica de Pães Belaju, CS:Casa de Chocolates Edsellen, CS:Padaria Pães e Doces Interlagos, CS:Padaria Conveniência Interlagos, SC:WV Papelaria e bazar
2452600515; CONDOMINIUM; UNIT; BR; São Paulo; SP; Rua Joana Avancini Prado; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Lallo; Jardim Lallo; RESIDENTIAL; 92; 92; Comprar; 446000; 2; 1; 1; 3; 350; 04812210; Edifício com acessibilidade e localização privilegiada. Bicicletário e acesso fácil as principais ciclovias (ciclovia e ciclofaixa). Casa em Condomínio.<br>Sala com 02 Amplos Ambientes,<br>03 Dormitórios Bem Acabados<br>01 Suíte com Hidromassagem,<br>Armários Embutido de primeira linha.<br>Aquecimento Central á Gás e Aquecimento nas torneiras.<br>Área de Serviço e<br>Salão de Festas com Churrasqueira.<br><br>Ótima localização! 3 minutos da Estação Autódromo.; BS:Parada Paulo Whitaker B/C, BS:Guaiúba B/C, BS:Jaquirana B/C, BS:Interlagos B/C, BS:Estação de Transferência Rio Bonito, TS:Parada Paulo Whitaker B/C, TS:Paulo Whitaker B/C, TS:Guaiúba B/C, TS:Jaquirana B/C, TS:Rio Bonito B/C, CS:Fabrica de Pães Belaju, CS:Casa de Chocolates Edsellen, CS:Padaria Pães e Doces Interlagos, CS:Padaria Conveniência Interlagos, SC:WV Papelaria e bazar
2435838092; APARTMENT; UNIT; BR; São Paulo; SP; Rua Joana Avancini Prado; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Lallo; Jardim Lallo; RESIDENTIAL; 56; 56; Comprar; 300000; 0; 0; 1; 2; 200; 04812210; Apartamento com 2 dormitórios living para 2 ambientes ,cozinha com armários planejados sacada um vaga de garagem ótimo local para morar, ao lado da estação autódromo de trem, bem conservado, aceita financiamento.agende uma visita com um de nossos corretores. -; BS:Parada Paulo Whitaker B/C, BS:Guaiúba B/C, BS:Jaquirana B/C, BS:Estação de Transferência Rio Bonito, BS:Interlagos B/C, TS:Parada Paulo Whitaker B/C, TS:Paulo Whitaker B/C, TS:Guaiúba B/C, TS:Jaquirana B/C, TS:Rio Bonito B/C, CS:Fabrica de Pães Belaju, CS:Casa de Chocolates Edsellen, CS:Padaria Pães e Doces Interlagos, CS:Padaria Conveniência Interlagos, SC:WV Papelaria e bazar
2495560318; CONDOMINIUM; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Lallo; Jardim Lallo; RESIDENTIAL; 120; 90; Comprar; 380000; 2; 1; 3; 3; 150; ; SOBRADO JARDIM PRIMAVERA RUA TRANQUILA 3 QUARTOS SENDO 1 SUITE 2 VAGAS COBERTAS VAGO ACEITA FINANCIAMENTO. <br>OPORTUNIDADE!!!; BS:Parada Paulo Whitaker B/C, BS:Guaiúba B/C, BS:Jaquirana B/C, BS:Estação de Transferência Rio Bonito, BS:Interlagos B/C, TS:Parada Paulo Whitaker B/C, TS:Paulo Whitaker B/C, TS:Guaiúba B/C, TS:Jaquirana B/C, TS:Primavera - Interlagos, CS:Fabrica de Pães Belaju, CS:Casa de Chocolates Edsellen, CS:Padaria Pães e Doces Interlagos, CS:Padaria Conveniência Interlagos, SC:WV Papelaria e bazar, SC:Roldão atacadista
2456499990; APARTMENT; UNIT; BR; São Paulo; SP; Rua Séttimo Giannini; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Lallo; Jardim Lallo; RESIDENTIAL; 47; 47; Comprar; 270000; 1; 0; 1; 2; 310; 04812250; Referencia 1521<br><br>Apartamento para venda no Condomínio San Jean, no Jardim Lallo, com 47m², 2 dormitórios com armários planejados, piso laminado, cozinha planejada, 1 vaga de garagem. Condomínio com portaria 24 horas, churrasqueira, salão de festas, quadra poliesportiva, academia e playground. <br><br>Valor para venda: R$270.000,00<br><br><br><br><br><br><br><br><br><br><br>A QUEIROZ &amp; PIMENTEL IMÓVEIS acompanha seu financiamento nas principais<br><br>instituições bancárias até o processo finalizar no Cartório de Registro de<br><br>Imóveis.<br><br><br><br><br><br>***Agende sua visita com a QUEIROZ &amp;<br><br>PIMENTEL IMÓVEIS!! <br><br><br><br><br><br>http://www.queirozepimentelimoveis.com.br/<br><br><br><br><br><br> <br><br> <i>As informações estão sujeitas a alterações. Consulte o corretor responsável.</i> <br><br><br>Chave do anúncio: RQQg3gsHACdYoj2g; BS:Parada Paulo Whitaker B/C, BS:Guaiúba B/C, BS:Jaquirana B/C, BS:Estação de Transferência Rio Bonito, BS:Interlagos B/C, TS:Parada Paulo Whitaker B/C, TS:Paulo Whitaker B/C, TS:Guaiúba B/C, TS:Primavera - Interlagos, TS:Jaquirana B/C, CS:Fabrica de Pães Belaju, CS:Casa de Chocolates Edsellen, CS:Padaria Pães e Doces Interlagos, CS:Padaria Conveniência Interlagos, SC:WV Papelaria e bazar, SC:Roldão atacadista
2450505519; CONDOMINIUM; UNIT; BR; São Paulo; SP; Rua Joana Avancini Prado; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Lallo; Jardim Lallo; RESIDENTIAL; 92; 92; Comprar; 500000; 2; 1; 3; 3; 250; 04812210; Sobrado em condomínio no Jd Satélite (Jd Lallo) para venda, com 92m², 3 dormitórios (sendo 1 suite), 3 banheiros, 2 vagas de garagem, deposito, armários planejados, suite com hidromassagem, aquecimento central a gás. salão de festas com churrasqueira. <br><br>Valor para venda: R$500.000,00<br><br><br><br><br><br><br>A QUEIROZ &amp; PIMENTEL IMÓVEIS acompanha seu financiamento nas principais<br><br>instituições bancárias até o processo finalizar no Cartório de Registro de<br><br>Imóveis.<br><br><br><br><br><br>***Agende sua visita com a QUEIROZ &amp;<br><br>PIMENTEL IMÓVEIS!! <br><br><br><br><br><br>http://www.queirozepimentelimoveis.com.br/<br><br> <br><br> <i>As informações estão sujeitas a alterações. Consulte o corretor responsável.</i> <br><br><br>Chave do anúncio: FSca4NZ2qBgsA4U2; BS:Guaiúba B/C, BS:Parada Paulo Whitaker B/C, BS:Jaquirana B/C, BS:Interlagos B/C, BS:Estação de Transferência Rio Bonito, TS:Guaiúba B/C, TS:Parada Paulo Whitaker B/C, TS:Paulo Whitaker B/C, TS:Jaquirana B/C, TS:Interlagos B/C, CS:Fabrica de Pães Belaju, CS:Casa de Chocolates Edsellen, CS:Padaria Conveniência Interlagos, CS:Padaria Pães e Doces Interlagos, SC:WV Papelaria e bazar
2450504837; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Rua Joana Avancini Prado; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Lallo; Jardim Lallo; RESIDENTIAL; 162; 162; Comprar; 477000; 2; 1; 2; 3; 300; 04812210; Referencia 1289<br><br>Sobrado para venda no Jardim Lallo com 162m², 3 dormitórios (sendo 1 suite), 2 vagas de garagem, cozinha planejada, varanda, churrasqueira. Condomínio com portaria 24 horas. <br><br>Valor para venda: R$477.000,00<br><br><br><br><br><br><br>A QUEIROZ &amp; PIMENTEL IMÓVEIS acompanha seu financiamento nas principais<br><br>instituições bancárias até o processo finalizar no Cartório de Registro de<br><br>Imóveis.<br><br><br><br><br><br>***Agende sua visita com a QUEIROZ &amp;<br><br>PIMENTEL IMÓVEIS!! <br><br><br><br><br><br>http://www.queirozepimentelimoveis.com.br/<br><br><br><br> <br><br> <br><br> <i>As informações estão sujeitas a alterações. Consulte o corretor responsável.</i> <br><br><br>Chave do anúncio: XcLEEJI0Jk9TYuOo; BS:Guaiúba B/C, BS:Parada Paulo Whitaker B/C, BS:Jaquirana B/C, BS:Interlagos B/C, BS:Estação de Transferência Rio Bonito, TS:Guaiúba B/C, TS:Parada Paulo Whitaker B/C, TS:Paulo Whitaker B/C, TS:Jaquirana B/C, TS:Interlagos B/C, CS:Fabrica de Pães Belaju, CS:Casa de Chocolates Edsellen, CS:Padaria Pães e Doces Interlagos, CS:Padaria Conveniência Interlagos, SC:WV Papelaria e bazar
2490848705; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Lallo; Jardim Lallo; RESIDENTIAL; 100; 100; Comprar; 520000; 2; 1; 3; 3; 0; ; A casa tem três dormitórios sendo um deles com banheiro (suíte), um outro banheiro em cima, sacada nós dois quartos, sala com lavabo, cozinha, quintal com área de serviço e quarto de empregada com banheiro nos fundos, corredor e garagem para dois carros. -; 
2455334073; APARTMENT; UNIT; BR; São Paulo; SP; Rua Séttimo Giannini; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Lallo; Jardim Lallo; RESIDENTIAL; 50; 50; Comprar; 270000; 1; 0; 1; 2; 320; 04812250; Referencia 1494<br><br>Apartamento para venda no Condomínio San Jean, no Jardim Lallo (próximo a estação Autódromo de Interlagos) com 50m², 2 dormitórios com armários planejados, cozinha planejada, piso laminado, 1 vaga de garagem. Condomínio com portaria 24 horas, salão de festas e academia. <br><br>Valor para venda: R$270.000,00<br><br><br><br><br><br><br>A QUEIROZ &amp; PIMENTEL IMÓVEIS acompanha seu financiamento nas principais<br><br>instituições bancárias até o processo finalizar no Cartório de Registro de<br><br>Imóveis.<br><br><br><br><br><br>***Agende sua visita com a QUEIROZ &amp;<br><br>PIMENTEL IMÓVEIS!! <br><br><br><br><br><br>http://www.queirozepimentelimoveis.com.br/<br><br><br> <br><br> <i>As informações estão sujeitas a alterações. Consulte o corretor responsável.</i> <br><br><br>Chave do anúncio: igrIHE4QhzrGTq8r; BS:Parada Paulo Whitaker B/C, BS:Guaiúba B/C, BS:Jaquirana B/C, BS:Estação de Transferência Rio Bonito, BS:Interlagos B/C, TS:Parada Paulo Whitaker B/C, TS:Paulo Whitaker B/C, TS:Guaiúba B/C, TS:Primavera - Interlagos, TS:Jaquirana B/C, CS:Fabrica de Pães Belaju, CS:Casa de Chocolates Edsellen, CS:Padaria Pães e Doces Interlagos, CS:Padaria Conveniência Interlagos, SC:WV Papelaria e bazar, SC:Roldão atacadista
2487237391; HOME; UNIT; BR; São Paulo; SP; Rua Doutora Cyrilla Bonilha Bruno; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Lallo; Jardim Lallo; RESIDENTIAL; 122; 122; Comprar; 410000; 2; 1; 2; 3; 0; 04812280; Casa com 3 dormitórios, térrea, banheiro com box, preparada para aquecimento a gás, cozinha, 2 vagas na garagem, portão automático, churrasqueira coberta, pia em granito, corredor lateral de acesso ao quintal, edícula com 1 suíte, área de serviço, wc.<br><br>Ótima localização a 5 minutos caminhando da estação autódromo ctpm. Fácil acesso a ponte Vitorino Goulart, marginal pinheiros, avenida interlagos, av. N.S. do Sabará e estrada do alvarenga. <br>Aceita financiamento bancário. <br><br>Agende visita com um de nossos Corretores!; BS:Parada Paulo Whitaker B/C, BS:Guaiúba B/C, BS:Estação de Transferência Rio Bonito, BS:Jaquirana B/C, BS:Interlagos B/C, TS:Parada Paulo Whitaker B/C, TS:Paulo Whitaker B/C, TS:Guaiúba B/C, TS:Primavera - Interlagos, TS:Rio Bonito B/C, CS:Fabrica de Pães Belaju, CS:Casa de Chocolates Edsellen, CS:Padaria Pães e Doces Interlagos, CS:Padaria Conveniência Interlagos, SC:WV Papelaria e bazar, SC:Roldão atacadista
