IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2497480588; APARTMENT; UNIT; BR; São Paulo; SP; Rua Bispo Isaías F Sucasas; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Matarazzo; Jardim Matarazzo; RESIDENTIAL; 1000; 56; Comprar; 260000; 1; 0; 1; 2; 0; 03814060; Apartamento residencial à venda, Ermelino Matarazzo<br><br>Com terraço gourmet equipado com pia e churrasqueira, sala de estar com integração a cozinha no estilo americana, sala de jantar, 02 dormitórios, 01 banheiro, cozinha e área de serviço.<br><br>Condomínio dispõe de espaço fitness, brinquedoteca, quadra poliesportiva, salão de festas, portaria, elevadores, equipe de limpeza.<br><br>Trata-se de um imóvel novo com 05 anos de garantia pela construtora.<br><br>Próximo à estação Comendador Ermelino da CPTM, cerca de 8 minutos de caminhada, acesso à Via Assis Ribeiro, Colégio Nova Jornada.<br><br>Empreendimento em fase de acabamento<br><br>Aceita permuta.<br><br>Gostou desse imóvel ? Agende sua visita e tire suas dúvidas com a consultora Cristiane no Whatsapp -; BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, TS:Comendador Ermelino, SU:Colegio Objetivo
2497198941; CONDOMINIUM; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Matarazzo; Jardim Matarazzo; RESIDENTIAL; 90; 90; Comprar; 315000; 1; 2; 3; 2; 170; 03813240; Sobrado a venda com 2 dormitórios sendo 2 suítes, sala, cozinha, lavabo, área de serviço e 1 vaga na garagem.<br>Valor do Condominio R$: 170,00. <br>O Bairro oferece uma ampla infraestrutura com comércios, bancos, supermercados, farmácias, restaurantes, parques e comércios em geral. Aceitamos financiamento e o F.G.T.S! A virtude Imóveis é uma empresa familiar que há 10 anos atende na Penha e região, proporcionando o sonho da casa própria para milhares de clientes, com honestidade e transparência! Trabalhamos com todos os tipos de imóveis e oferecemos um atendimento com profissionais qualificados e credenciado pelo CRECI. Além de Venda e Locação, temos um departamento jurídico e um departamento especializado em financiamento imobiliário. Tudo para lhe dar toda a assessoria e segurança na intermediação do seu imóvel. - Data da Atualização:; BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, TS:Comendador Ermelino
2498594184; HOME; UNIT; BR; São Paulo; SP; Rua Otávio Mendes dos Santos; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Matarazzo; Jardim Matarazzo; RESIDENTIAL; 90; 90; Comprar; 300000; 2; 2; 2; 2; 0; 03813030; Sobrado posse 2 dormitório com 2 suítes, sala, cozinha, lavabo, sacada, área de serviço e 2 vagas de garagem. Sobrado com planejado na cozinha,quartos e condomínio com 2 piscinas adulto e infantil, amplo salão de festa com churrasqueira. Sobrado com preço excelente e alem disso estuda proposta para vender logo.<br><br>Entre agora em contato com um de nossos consultores especialistas e venha conferir essa ótima oportunidade!!!<br><br>Valor e disponibilidade sujeito a alteração sem aviso prévio. Consulte-nos!!!<br><br>A Lopes Fração Consultoria Imobiliária agradece a sua visita. A sua imobiliária com tecnologia de ponta sem perder o atendimento humanizado, entender para atender, conte sempre com a gente. -; BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, TS:Comendador Ermelino
2499307090; HOME; UNIT; BR; São Paulo; SP; Rua Ahmad El Hind; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Matarazzo; Jardim Matarazzo; RESIDENTIAL; 70; 70; Comprar; 320000; 0; 0; 2; 2; 0; 03811070; sobrado 2 dormitórios, 1 banheiro, 1 lavabo, sala, cozinha, lavanderia . -; BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, BS:Avenida Paranagua, TS:Comendador Ermelino, TS:USP Leste, CS:Bom Dia Panificadora, CH:Posto de Saúde - Ubs Pedro de Souza Campos, CH:UBS Jardim Keralux
2492046581; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Matarazzo; Jardim Matarazzo; RESIDENTIAL; 60; 60; Comprar; 275000; 0; 0; 1; 2; 300; 03813010; -; BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, BS:Avenida Paranagua, TS:Comendador Ermelino, CS:Bom Dia Panificadora, CH:Posto de Saúde - Ubs Pedro de Souza Campos
2494096992; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Rua Ahmad El Hind; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Matarazzo; Jardim Matarazzo; RESIDENTIAL; 40; 75; Comprar; 330000; 1; 2; 2; 2; 0; 03811070; Ótimo sobrado a 10 minutos da Estação Comendador Ermelino , com 75m² de área construída sendo divididos em 2 dormitórios , sala , cozinha , área de serviço , lavabo , vaga e varanda .<br>Próximo a área a Avenida Botorussu. -; BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, BS:Avenida Paranagua, TS:Comendador Ermelino, TS:USP Leste, CS:Bom Dia Panificadora, CH:Posto de Saúde - Ubs Pedro de Souza Campos, CH:UBS Jardim Keralux
2495533384; HOME; UNIT; BR; São Paulo; SP; Rua Otávio Mendes dos Santos; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Matarazzo; Jardim Matarazzo; RESIDENTIAL; 70; 70; Comprar; 310000; 2; 2; 2; 2; 0; 03813030; Sobrado em Ermelino Matarazzo <br><br>Localizado próximo a Avenida Assis Ribeiro, fácil acesso a ponte da Cumbica, que dá acesso a Guarulhos e a Rodovia Ayrton Senna.<br>Próximo do supermercado Shibata, atacadão, centro comercial de Ermelino Matarazzo e São Miguel Paulista.<br><br>Sobrado em condomínio fechado com portão eletrônico, interfone, câmeras, piscina e salão de festas.<br><br>Imóvel com sala ampla, lavabo, cozinha com móveis planejados, área de serviço com porta de vidro, dois dormitórios sendo suítes e um com móveis planejados e sacada e 2 vagas de garagem.<br><br>Aceita financiamento e pode ser usado FGTS.<br><br>Agende sua visita hoje mesmo. -; BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, TS:Comendador Ermelino
2492798900; PENTHOUSE; UNIT; BR; São Paulo; SP; Rua Bispo Isaías F Sucasas; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Matarazzo; Jardim Matarazzo; RESIDENTIAL; 120; 120; Comprar; 525000; 0; 1; 2; 3; 500; 03814060; Ampla cobertura recém entregue pela construtora. <br>Otima localização de Ermelino Matarazzo.<br>Todo lazer e conforto com preço imperdível!<br>Visitas : -; BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, TS:Comendador Ermelino, SU:Colegio Objetivo
2491673979; APARTMENT; UNIT; BR; São Paulo; SP; Rua Manuel de Mattos Godinho; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Matarazzo; Jardim Matarazzo; RESIDENTIAL; 56; 56; Comprar; 245000; 2; 1; 1; 2; 250; 03814020; Apartamento a venda na região do Ermelino Matarazzo em São Paulo com 2 dormitórios sendo 1 suíte, cozinha, sala com dois ambientes, banheiro, área de serviço e 2 vagas de garagem. Venha para um dos melhores condomínios da região e desfrute com sua família e amigos tudo o que você merece. <br>Área de Lazer composta por piscina, salão de festas, salão de jogos, elevador e portaria 24 horas. <br>Com fácil acesso as Avenidas Assis Ribeiro, Milene Elias, a 200 metros da Estação CPTM Comendador Ermelino e ao Supermercado Nagumo. <br>Imóvel com infraestrutura de comércio e serviços públicos próximos ao local.<br>O imóvel aceita financiamento. -; BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, TS:Comendador Ermelino, TS:USP Leste, CH:UBS Jardim Keralux, CH:Posto de Saúde - Ubs Pedro de Souza Campos, SU:Colegio Objetivo
2489103325; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Matarazzo; Jardim Matarazzo; RESIDENTIAL; 219; 90; Comprar; 360000; 3; 0; 2; 2; 0; 03814050; Casa térrea, espaçosa, precisando de pouca reformas, com 2 dormitórios, sala, cozinha, banheiro social, 3 vagas na garagem, quintal grande.<br><br>Documentação para financiamento. Oportunidade!!!<br><br>A Piton Imóveis é uma empresa familiar que há 40 anos atende na Penha e região, propiciando o sonho da casa própria para milhares de clientes, com honestidade e transparência! Trabalhamos com todos os tipos de imóveis e oferecemos um atendimento com profissionais qualificados e credenciado pelo CRECI. Além de Venda e Locação, temos um departamento jurídico e um departamento especializado em financiamento imobiliário. Tudo para lhe dar toda a assessoria e segurança na intermediação do seu imóvel. Aguardamos o seu contato! -; BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, TS:Comendador Ermelino, TS:USP Leste, CH:UBS Jardim Keralux, CH:Posto de Saúde - Ubs Pedro de Souza Campos, SU:Colegio Objetivo
2497253198; APARTMENT; UNIT; BR; São Paulo; SP; Rua Cuieté Velho; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Matarazzo; Jardim Matarazzo; RESIDENTIAL; 53; 53; Comprar; 280000; 1; 0; 1; 2; 600; 03811040; Lindo apartamento completamente reformado e mobiliado pronto para morar, localizado na região comercial do bairro com toda infraestrutura de lojas, supermercados, academias, bancos, etc; e a 5 minutos a pé da estação de trem Comendador Ermelino. Lazer completo no térreo e segurança 24h. Água e gás inclusos no valor do condomínio.; BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, BS:Avenida Paranagua, TS:Comendador Ermelino, TS:USP Leste, CS:Bom Dia Panificadora, CH:UBS Jardim Keralux, CH:Posto de Saúde - Ubs Pedro de Souza Campos
