IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2490058482; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Cupecê; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Miriam; Jardim Miriam; RESIDENTIAL; 0; 57; Comprar; 235000; 1; 0; 1; 2; 420; 04366901; O apartamento está localizado no bairro Jardim Miriam possui 57 metros quadrados com 2 quartos e 1 banheiro.<br>Possui área verde de jardim, área de recreação infantil, salão para festas e eventos.<br>Vai lhe possibilitar praticar diversos esportes na quadra poliesportiva.Churrasqueira para você aproveitar nos momentos de descontração.<br>Fica em um condomínio fechado.<br>Elevador que garante o transporte das suas malas e compras.; BS:Estação de Transferência Jardim Miriam, BS:Ponto final linha 5290-10, BS:Av. Garcia de Ávila, BS:Praça do Jardim Miriam, BS:Avenida Brás de Abreu, 70, TS:Estação de Transferência Jardim Miriam, TS:Ponto final linha 5290-10, TS:Av. Garcia de Ávila, TS:Praça do Jardim Miriam, TS:Terminal Metropolitano Diadema, CS:Rio Minas Carnes, CS:Suellen Carnes, CS:Panificadora Jardim Miriam, CS:Tennessee, CS:Padaria Santo Afonso, PH:Drogaria Quarteirão da Saúde
2464329986; HOME; UNIT; BR; São Paulo; SP; Avenida Garcia de Ávila; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Miriam; Jardim Miriam; RESIDENTIAL; 350; 144; Comprar; 469000; 2; 0; 4; 4; 0; 04417000; Casa assobradada com 3 casas no quintal, com possibilidade para 4 casas. 1°casa 2 quartos, sala cozinha 1 banheiro. 2°casa 1 quarto de 2 ambientes com possibilidade do 2°ambiente ser transformado em banheiro, 1 sala, 1 cozinha e 1 banheiro. 3° casa 1 cozinha com copa (sala de jantar) 1 sala, 1 quarto 1 banheiro. E um cômodo no fundo da casa com banheiro e uma área onde agora é utilizada como depósito. Uma garagem para 2 carros. Uma laje com estufa para plantas, um galpão grande de 36 metros quadrados aproximadamente. A 1 quilômetro do terminal diadema 15 min andando ou 5 min de carro. Poucos passos de padaria, farmácias, escolas, poupa tempo, pontos de ônibus, pet shops e todos os tipos de comércio e bancos. Poucos metros da avenida assembleia e ao futuro supermercado public praticamente na esquina de casa. 500 metros do Carrefour. 1.900 metros do shopping praça da moça. 15 min de ônibus do metrô Jabaquara. Zona sul de São Paulo. Fácil acesso da rodovia dos imigrantes. Mais de 300; BS:Ponto final linha 5290-10, BS:Estação de Transferência Jardim Miriam, BS:Av. Garcia de Ávila, BS:Praça do Jardim Miriam, BS:Parada Brás de Abreu, TS:Ponto final linha 5290-10, TS:Estação de Transferência Jardim Miriam, TS:Av. Garcia de Ávila, TS:Praça do Jardim Miriam, TS:Parada Brás de Abreu, CS:Rio Minas Carnes, CS:Suellen Carnes, CS:Panificadora Jardim Miriam, CS:Tennessee, CS:Padaria Santo Afonso, PH:Drogaria Quarteirão da Saúde
2497058802; HOME; UNIT; BR; São Paulo; SP; Rua Maria Polidório; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Miriam; Jardim Miriam; RESIDENTIAL; 150; 150; Comprar; 318000; 1; 1; 3; 2; 0; 04416240; Sobrado residencial com 150m², 2 dormitórios, sendo 1 suíte, 1 vaga, living para 2 ambientes, cozinha e área de serviço. <br>Aproveite a oportunidade, ótima localização, marque uma visita, converse com nossos consultores, faça um excelente negócio e tenha muito mais qualidade de vida!; BS:Parada Brás de Abreu, BS:Avenida Brás de Abreu, 70, BS:Av. Garcia de Ávila, BS:Praça do Jardim Miriam, BS:Ponto final linha 5290-10, TS:Parada Brás de Abreu, TS:Avenida Brás de Abreu, 70, TS:Av. Garcia de Ávila, TS:Praça do Jardim Miriam, TS:Ponto final linha 5290-10, CS:Tennessee, CS:Panificadora Jardim Miriam, CS:Suellen Carnes, CS:Rio Minas Carnes, CS:Padaria Santo Afonso, VP:Love Pets Clinica Veterinária e Pet Shop
2498646684; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Cupecê; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Miriam; Jardim Miriam; RESIDENTIAL; 70; 55; Comprar; 230000; 1; 0; 2; 2; 470; 04366000; Apartamento no condomínio Jaú na Divisa de São Paulo com Diadema. Ao lado do Carrefour e do Quartel da Policia Militar, fácil acesso de condução para o metrô Jabaquara, Centro de Diadema e região da Berrini.<br><br>Imóvel com 2 dormitórios, sala para 2 ambientes, banheiro social, cozinha, área de serviço e banheiro de serviço/despensa. 1 vaga de garagem. Apto muito bem conservado, com piso laminado de madeira e móveis planejados na cozinha.<br><br>Condomínio com conjunto comercial no piso térreo com diversos serviços. Além de quadra poliesportiva, salão de festas, playground, academia e churrasqueiras.; BS:Estação de Transferência Jardim Miriam, BS:Ponto final linha 5290-10, BS:Av. Garcia de Ávila, BS:Praça do Jardim Miriam, BS:Avenida Brás de Abreu, 70, TS:Estação de Transferência Jardim Miriam, TS:Ponto final linha 5290-10, TS:Av. Garcia de Ávila, TS:Praça do Jardim Miriam, TS:Avenida Brás de Abreu, 70, CS:Rio Minas Carnes, CS:Suellen Carnes, CS:Panificadora Jardim Miriam, CS:Tennessee, CS:Padaria Santo Afonso, PH:Drogaria Quarteirão da Saúde
2497924674; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Miriam; Jardim Miriam; RESIDENTIAL; 68; 68; Comprar; 239200; 0; 0; 1; 1; 0; 04416330; .Baixar matrícula do imóvelTRAV PROF DALMO BELFORT DE MATTOS,N. 33, JARDIM MIRIAM - CEP: 04416-330, SAO PAULO - SAO PAULO; BS:Parada Brás de Abreu, BS:Ponto final linha 5290-10, BS:Av. Garcia de Ávila, BS:Estação de Transferência Jardim Miriam, BS:Praça do Jardim Miriam, TS:Parada Brás de Abreu, TS:Ponto final linha 5290-10, TS:Av. Garcia de Ávila, TS:Estação de Transferência Jardim Miriam, TS:Praça do Jardim Miriam, CS:Tennessee, CS:Panificadora Jardim Miriam, CS:Suellen Carnes, CS:Rio Minas Carnes, CS:Padaria Santo Afonso, VP:Love Pets Clinica Veterinária e Pet Shop
2494109308; APARTMENT; UNIT; BR; São Paulo; SP; Rua Bom Jesus; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Miriam; Jardim Miriam; RESIDENTIAL; 58; 58; Comprar; 390000; 1; 0; 1; 2; 500; 08143240; AcademiaÁrea de serviçoArmário de cozinhaArmário embutidoPermite animaisPortaria 24 horasSalão de FestasVaranda; BS:Rua Almirante Alexandrino 121, BS:Rua Almirante Alexandrino 100, BS:Avenida Sapopemba 1323, BS:Avenida Sapopemba 1088, BS:Avenida Sapopemba 1444, TS:Rua Almirante Alexandrino 121, TS:Rua Almirante Alexandrino 100, TS:Avenida Sapopemba 1088, TS:Avenida Sapopemba 1323, TS:Avenida Sapopemba 1444, CS:Bella Regente, CS:Julio's Casa de Pães, CS:Casa de Carnes Vale do Douro, CS:Rei do Mate Leroy Merlin, CS:Big Pão Panif. e Confeitaria, PH:Drogaria Moretti, PH:Neo Farma  Manipulação, PH:Neo Farma Manipulação
2427673050; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Cupecê; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Miriam; Jardim Miriam; RESIDENTIAL; 68; 68; Comprar; 290000; 1; 0; 2; 3; 490; 04366901; REF: 4854<br><br>Apartamento em BOM estado, próximo à UNIFESP, mercados e comércios em geral; com fácil acesso à Av. Cupecê. Possui 3 dormitórios, 2 banheiros, sala, cozinha com armários, área de serviço e 1 vaga na garagem.<br><br>Área de lazer: salão de festas, salão de jogos, churrasqueira e quadra.<br><br>Venha conferir! A Koyama Imóveis atua em administração, locação, vendas e avaliação de imóveis. Localizada na Av. Bosque da Saúde, 376 - a 350m do metrô Praça da Árvore. CLIQUE NO LOGO KOYAMA E CONFIRA OFERTAS NESTA REGIÃO! -; BS:Estação de Transferência Jardim Miriam, BS:Ponto final linha 5290-10, BS:Av. Garcia de Ávila, BS:Praça do Jardim Miriam, BS:Avenida Brás de Abreu, 70, TS:Estação de Transferência Jardim Miriam, TS:Ponto final linha 5290-10, TS:Av. Garcia de Ávila, TS:Praça do Jardim Miriam, TS:Terminal Metropolitano Diadema, CS:Rio Minas Carnes, CS:Suellen Carnes, CS:Panificadora Jardim Miriam, CS:Tennessee, CS:Padaria Santo Afonso, PH:Drogaria Quarteirão da Saúde
2427782081; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Cupecê; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Miriam; Jardim Miriam; RESIDENTIAL; 68; 68; Comprar; 320000; 1; 0; 1; 3; 530; 04366901; REF: 5289<br><br>Apartamento em BOM estado, próximo a mercados, bancos e comércios em geral; com fácil acesso à Av. Conceição. Possui 3 dormitórios, sala, 1 banheiro social, cozinha com armários, área de serviço e 1 vaga na garagem.<br><br>Área de lazer: 2 churrasqueiras, playgrounds, área para ginástica ao ar livre, salão de festas, salão de jogos e 2 quadras poliesportivas.<br><br>Venha conferir! A Koyama Imóveis atua em administração, locação, vendas e avaliação de imóveis. Localizada na Av. Bosque da Saúde, 376 - a 350m do metrô Praça da Árvore. CLIQUE NO LOGO KOYAMA E CONFIRA OFERTAS NESTA REGIÃO! -; BS:Estação de Transferência Jardim Miriam, BS:Ponto final linha 5290-10, BS:Av. Garcia de Ávila, BS:Praça do Jardim Miriam, BS:Avenida Brás de Abreu, 70, TS:Estação de Transferência Jardim Miriam, TS:Ponto final linha 5290-10, TS:Av. Garcia de Ávila, TS:Praça do Jardim Miriam, TS:Terminal Metropolitano Diadema, CS:Rio Minas Carnes, CS:Suellen Carnes, CS:Panificadora Jardim Miriam, CS:Tennessee, CS:Padaria Santo Afonso, PH:Drogaria Quarteirão da Saúde
2481744873; HOME; UNIT; BR; São Paulo; SP; Rua Maria Conceição Morale Miragaia; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Miriam; Jardim Miriam; RESIDENTIAL; 250; 150; Comprar; 395000; 2; 1; 2; 2; 0; 04417150; Ótima imóvel localizado no Jardim Miriam, próximo da divisa de Diadema e das Avenidas Assembléia e Armando de Arruda Pereira. <br><br>Casa térrea com terreno com caímento. No nível da rua existe uma ótima casa reformada com 2 dormitórios, sendo 1 suíte, cozinha com copa, banheiro social e quintal nos fundos com despensa/lavanderia. Descendo o lance de escadas na garagem fica mais uma casa com quarto, cozinha e banheiro na parte de baixo.<br><br>Ótimo preço e opção na região.; BS:Parada Divisa, BS:Parada Assembleia, BS:Ponto final linha 5290-10, BS:Av. Garcia de Ávila, BS:Estação de Transferência Jardim Miriam, TS:Parada Divisa, TS:Parada Assembleia, TS:Ponto final linha 5290-10, TS:Av. Garcia de Ávila, TS:Estação de Transferência Jardim Miriam, CS:Rio Minas Carnes, CS:Panificadora Jardim Miriam, CS:Suellen Carnes, CS:Tennessee, CS:Padaria Santo Afonso, PH:Drogaria Quarteirão da Saúde
93742810; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Cupecê; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Miriam; Jardim Miriam; RESIDENTIAL; 69; 69; Comprar; 390000; 1; 1; 0; 2; 0; 04366901; Apartamento novo, com localização excelente, cercado de comércios, escolas, bancos, supermercados, hospitais, parques, com acesso fácil as principais ruas e avenidas, como a Avenida Cupecê, Washington Luiz e Roberto Marinho.<br>Condomínio com lazer completo, piscina, quadra, academia, brinquedoteca, e muito mais.<br>Fotos Ilustrativas do apartamento decorado!!! -; BS:Parada Vila Canaã, BS:Parada Pq. do Nabuco, BS:Parada Djalma Franco, BS:Parada Vila Celeste, BS:Parada Rubens Facchini, TS:Parada Vila Celeste, TS:Parada Jd. Prudência, TS:Av. Interlagos, 1661, TS:Parada Rodrigues Montemor, TS:Shopping Interlagos, CS:Bandeirantes V, CS:Panificadora Sta Catarina, CS:Max Carnes, CS:Orqúidea Ouro, CS:Nova Bagdá Carnes e Rotisserie, PH:Bifarma, PH:Poupa Farma, PH:Farmácia Ândira, PH:Drogaria São Paulo
