IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2480229688; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Nordeste; Jardim Nordeste; RESIDENTIAL; 95; 95; Comprar; 430000; 2; 1; 3; 3; 0; ; Sobrado para Venda no bairro Jardim Nordeste, 3 dorm, 1 suíte, 2 vagas, 117m²<br>Fino Acabamento<br>Excelente Localização<br>Aceita financiamento: . - Data da Atualização:; TS:Artur Alvim, TS:Patriarca • Vila Ré, TS:Corinthians-Itaquera, TS:Corinthians- Itaquera, CS:Padoca Belissima, CS:Padaria Renacer, CS:Nova Rio D'Ouro, CS:Delícia, PH:Mille Drogaria, PH:Drogaria Nova Vida, SC:Mercado Paraná, SC:Moto Oficina, SC:Moderna Planejados, SC:Moveis Itigunssu, SC:LCA Modas
2427473687; CONDOMINIUM; UNIT; BR; São Paulo; SP; Avenida Nicolau Jacinto; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Nordeste; Jardim Nordeste; RESIDENTIAL; 60; 60; Comprar; 260000; 1; 0; 1; 2; 0; 03687010; A Double A Construtora inova mais uma vez, com mais um maravilhoso empreendimento, moderno e confortável .<br>Sobrados em condomínio com excelente acabamento e a qualidade que você merece!<br>9 unidades com 2 dormitórios, sala, cozinha, área de serviço, wc, 1 vaga de garagem, 60m² por 260.000,00<br><br>Contate-nos, agende uma visita, temos as melhores condições de pagamento, e uma equipe pronta para te atender. Venha realizar o sonho do imóvel próprio. -; TS:Patriarca • Vila Ré, TS:Artur Alvim, CS:Padoca Belissima, CS:Delícia, CS:Padaria Renacer, CS:Panificadora Nova Imperador do Trigo, CS:Emporio de Produtos Naturais, PH:Drogaria Nova Vida, PH:Mille Drogaria, VP:Ração Japonesa
2497200778; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Nordeste; Jardim Nordeste; RESIDENTIAL; 174; 174; Comprar; 525001; 5; 1; 3; 3; 0; 03688070; EXCELENTE SOBRADO FRONTAL COM 3 DORMITÓRIOS, SENDO 1 SUÍTE, SALA PARA 2 AMBIENTES, TOTAL DE 3 BANHEIROS, QUINTAL, SACADA E 5 VAGAS DE GARAGEM!!! A Virtude Imóveis, situada na Rua Evans, 493, possui vários sobrados, condomínios, casas, apartamentos e terrenos na zona leste de SP, na região da Penha, Vila Matilde, Itaquera, Vila Esperança, Cangaíba, Ermelino Matarazzo, novos, usados ou em construção, para compra e venda. Consulte-nos e realize o sonho da sua casa própria!!! - Data da Atualização:; TS:Artur Alvim, TS:Patriarca • Vila Ré, TS:Corinthians-Itaquera, CS:Padaria Renacer, CS:Padoca Belissima, CS:Delícia, CS:Nova Rio D'Ouro, PH:Mille Drogaria, PH:Drogaria Nova Vida, SC:Mercado Paraná, SC:Moto Oficina, SC:Moderna Planejados, SC:Moveis Itigunssu
72190017; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Rua Antônio Olímpio; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Nordeste; Jardim Nordeste; RESIDENTIAL; 160; 130; Comprar; 390000; 2; 1; 2; 3; 0; 03683010; SOBRADOS FRONTAIS COM 3 DORMS,SENDO 1 SUITE, 2 VAGAS, PORCELANATO NA SALA , PISO FRIO NOS DORMS,ESCADA EM GRANITO.<br>SOBRADOS NOVÍSSIMOS...SAIA DO ALUGUEL!!!<br><br>A CARBONE IMOVEIS TRABALHA COM OPORTUNIDADES!!!<br>CONSULE-NOS!!! Atualizado em: .; TS:Patriarca • Vila Ré, TS:Artur Alvim, CS:Padoca Belissima, CS:Delícia, CS:Nova Rio D'Ouro, CS:Panificadora Nova Imperador do Trigo, CS:Emporio de Produtos Naturais, PH:Drogaria Nova Vida, PH:Mille Drogaria, VP:Ração Japonesa
2496126594; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Rua Itapaci; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Nordeste; Jardim Nordeste; RESIDENTIAL; 0; 190; Comprar; 520000; 4; 1; 3; 3; 0; 03688120; Localização privilegiada, sobrado perto de ponto de ônibus, centrinho comercial com farmácias, mercados, escolas, etc... <br>Quatro vagas de garagem à 09 minutos do metrô Artur Alvim.<br>Imóvel muito arejado, seminovo, com porcelanato e cozinha planejada.; TS:Artur Alvim, TS:Patriarca • Vila Ré, CS:Padoca Belissima, CS:Padaria Renacer, CS:Delícia, CS:Nova Rio D'Ouro, CS:Panificadora Nova Imperador do Trigo, PH:Mille Drogaria, PH:Drogaria Nova Vida, VP:Ração Japonesa
72192004; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Rua Antônio Olímpio; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Nordeste; Jardim Nordeste; RESIDENTIAL; 160; 130; Comprar; 390000; 2; 1; 2; 3; 0; ; SOBRADOS FRONTAIS COM 3 DORMS,SENDO 1 SUITE, 2 VAGAS, PORCELANATO NA SALA , PISO FRIO NOS DORMS,ESCADA EM GRANITO.<br>SOBRADOS NOVÍSSIMOS...SAIA DO ALUGUEL!!!<br><br>A CARBONE IMOVEIS TRABALHA COM OPORTUNIDADES!!!<br>CONSULE-NOS!!! Atualizado em: .; BS:Avenida Paranagua, CS:Padoca Belissima, CS:Nova Rio D'Ouro, CS:Panificadora Nova Imperador do Trigo, CS:Emporio de Produtos Naturais, CS:Center Carnes Ducastilho, PH:Drogaria Nova Vida, PH:Mille Drogaria, VP:Ração Japonesa
2448824373; APARTMENT; UNIT; BR; São Paulo; SP; Rua Paratiba; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Nordeste; Jardim Nordeste; RESIDENTIAL; 52; 52; Alugar/Comprar; 900; 0; 0; 1; 2; 296; 03688010; **** Apartamento boa localização <br>**** Comércios próximos<br>**** 2 dormitórios<br>**** Sala <br>**** Cozinha<br>**** Área de serviço<br>**** Sem vaga de garagem -; TS:Artur Alvim, TS:Corinthians-Itaquera, CS:Padoca Belissima, CS:Nova Rio D'Ouro, CS:Padaria Renacer, CS:Delícia, PH:Drogaria Nova Vida, PH:Mille Drogaria, CH:UBS Vila Ramos
2497961699; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Avenida Esperantina; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Nordeste; Jardim Nordeste; RESIDENTIAL; 79; 79; Comprar; 380000; 2; 2; 3; 2; 0; 03692000; Sobrado Semi Novo, Próximo da Padaria Tradição da Av Esperantina, Fácil acesso ao Metrô, Comércio e Condução Variada - Aceita Financiamento e FGTS! *** Lindo sobrado com 2 suites, sacada, sala para 2 ambientes, lavabo, cozinha, área de serviços, quintal com churrasqueira e 2 vagas de garagem. Excelente acabamento, armários na cozinha e área de serviço. Ótima localização, você vai a pé ao Metrô, comercio e condução farta. *** Não perca esta oportunidade, mande um e-mail ou ligue para maiores informações e agendamento de visita!!!***Clique em nosso logo e veja mais oportunidades!; TS:Artur Alvim, TS:Corinthians-Itaquera, TS:Corinthians- Itaquera, CS:Padaria Renacer, CS:Padoca Belissima, CS:Nova Rio D'Ouro, PH:Mille Drogaria, PH:Drogaria Nova Vida, SC:Moderna Planejados, SC:Mercado Paraná, SC:Moto Oficina, SC:LCA Modas
2497200932; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Nordeste; Jardim Nordeste; RESIDENTIAL; 75; 50; Comprar; 255001; 1; 0; 1; 2; 150; 03692030; Apartamento com -1 vaga de garagem descoberta, 2 dormitórios, Varanda<br>-Churrasqueira na área de lazer<br>-Pisos porcelanato polido na sala e banheiro, Quarto pisos frio, Gás encanado<br>- à 900 metros do metro Artur Alvim, próximo de escolas, comércios em geral.<br>referente ao segundo pavimento. - Data da Atualização:; TS:Artur Alvim, TS:Corinthians-Itaquera, TS:Corinthians- Itaquera, CS:Padaria Renacer, CS:Padoca Belissima, CS:Nova Rio D'Ouro, PH:Mille Drogaria, PH:Drogaria Nova Vida, SC:Moderna Planejados, SC:Mercado Paraná, SC:Moto Oficina
2499218596; APARTMENT; UNIT; BR; São Paulo; SP; Rua Paratiba; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Nordeste; Jardim Nordeste; RESIDENTIAL; 55; 55; Comprar; 233200; 1; 0; 1; 2; 326; 03688010; Lindo apartamento com 55 m², 02 dormitórios, banheiro, sala 2 ambientes, cozinha e área de serviço, 1 vaga na garagem! Acabamento de primeira linha, todo recém reformado, com lindo piso laminado, armários embutidos e ótima iluminação! <br> <br>Condomínio com lazer, salão de festas e playground, permite animais, segurança 24 horas e tem IPTU isento! <br> <br>Localização privilegiada, próximo a escola, restaurantes, ponto de ônibus, mercados, fácil acesso à Avenida Jacu-Pêssego e muito mais! <br> <br>NÃO PERCA ESSA EXCELENTE OPORTUNIDADE! <br> <br>Agende uma visita com um de nossos corretores.; TS:Artur Alvim, TS:Corinthians-Itaquera, TS:Corinthians- Itaquera, CS:Padoca Belissima, CS:Nova Rio D'Ouro, CS:Padaria Renacer, PH:Drogaria Nova Vida, PH:Mille Drogaria, CH:UBS Vila Ramos
