IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2498356375; CONDOMINIUM; UNIT; BR; São Paulo; SP; Rua Canário-do-Reino; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Jardim Peri; Jardim Peri; RESIDENTIAL; 680; 680; Comprar; 830000; 4; 3; 4; 3; 470; 02651030; Casa em Condomínio Shamballa II,Fechado com segurança;Ônibus fretado para São Paulo diariamente na entrada principal;Ruas asfaltadas e iluminadas;Lago;Campo de futebol;Quadra de tênis;Quadra poliesportiva;Sala de jogos;Sala de festas;Sala de ginástica. <br> marque uma visita e se apaixone! <br> estuda permuta imóvel menor valor e financiamento bancário. <br> visitas Whats app <br>; BS:Ponto final 1745-10, BS:Terminal Cachoeirinha, PH:Bi Farma, CH:Clínica Fares, SC:Besni, SC:Mami Motos, SC:Lojão da Vila, SC:Dia-a-Dia
2490146105; HOME; UNIT; BR; São Paulo; SP; Rua Antônio Lopes de Barros; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Jardim Peri; Jardim Peri; RESIDENTIAL; 125; 125; Comprar; 318440; 5; 1; 4; 3; 0; 02675000; Sobrado novo, com projeto e planta aprovado pela prefeitura ,piso todo de madeira corrida, garagem ,copa ,cozinha e banheiros azulejados até o teto, com 4 banheiros com duas hidromassagens, portadas de internas em madeira maciça, portas externas e janela em alumínio.; BS:Ponto final 1745-10, BS:Terminal Cachoeirinha, PH:Bi Farma, CH:Clínica Fares, SC:Mami Motos, SC:Irmãos marega, SC:Ks, SC:Sarina Tattoo, SC:Besni
2488295282; HOME; UNIT; BR; São Paulo; SP; Avenida Peri Ronchetti; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Jardim Peri; Jardim Peri; RESIDENTIAL; 125; 140; Comprar; 550000; 0; 1; 1; 2; 0; 02633000; Ótima oportunidade de morar no Jardim Peri <br> <br>Sobrado com 2 dormitórios, sendo 1 suíte e 140 metros de área construída <br> <br>Aproveite e agende sua visita conosco <br>www.shprime.com.br<br>Sh Prime Imóveis, referência no mercado imobiliário fornecendo serviços inovadores, com excelência e qualidade no atendimento!<br>Agências em Perdizes, Pacaembu, Chácara Klabin, Santana, Vila Nova Conceição e Aclimação. .<br><br>Acesse nosso site e confira outras ofertas: www.shprime.com.br. <br><br>. Pontos de Interesse mais Próximos: <br><br>Metrô AYRTON SENNA-JARDIM SAO PAULO a 4841m. <br>Ponto de onibus a 50m. <br>Ciclovia CICLOFAIXA KOSHUN TAKARA, com extensão de 528m a uma distância de 521m. <br>Escola NOVA DIRETRIZ (ENEM: 559.772) a 885m. <br>Parque SENA (Área: 27789m) a 4455m.; BS:Ponto final 1745-10, BS:Avenida Direitos Humanos, TS:Avenida Doutor Francisco Ranieri 749, TS:Avenida Direitos Humanos, CS:Algarve Padaria, CS:Pães e Doces Arouquense, PH:Bi Farma
2489824255; CONDOMINIUM; UNIT; BR; São Paulo; SP; Rua Antônio Lopes de Barros; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Jardim Peri; Jardim Peri; RESIDENTIAL; 135; 135; Comprar; 330000; 0; 0; 3; 3; 0; 02675000; IMÓVEL PARA INVESTIMENTO !!!<br> <br> <br>TERRENO PARA RENDA COM 01 SALÃO COMERCIAL , 03 CASAS , TODOS COM 01 DORMITÓRIO , SALA , COZINHA E BANHEIRO. SENDO 02 CASAS COM ACABAMENTO INTERNO E 01 CASA NO CONTRAPISO. ÁREA DE SERVIÇO EXTERNO ENTRE AS CASAS. CORREDOR LATERAL. TERRAÇO SOBRE O SALÃO COMERCIAL. <br> <br>AGENDE UMA VISITA !<br>AGUARDAMOS O SEU CONTATO -; PH:Promofarma, PH:Bi Farma, CH:Clínica Fares, SU:CEI Lina Rodrigues -Instituto Anglicano, SU:Yázigi - Inglês, SU:Circo Escola, SU:Wizard - Inglês, SC:Mami Motos, SC:Irmãos marega, SC:Ks, SC:Sarina Tattoo, SC:Besni
2492800406; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Jardim Peri; Jardim Peri; RESIDENTIAL; 125; 125; Comprar; 290000; 50; 0; 1; 2; 0; 02679050; Casa com 3 moradias independente no bairro Jardim Peri possui 125 metros quadrados de terreno, uma com 2 quartos,ampla sala, cozinha planejada, 1 banheiro, 2 vagas e as demais comum dormitório, cozinha e banheiro em ótimo estado de conservação, próximo ao comércio, escolas, ponto de ônibus.Oportunidade! Excelente imóvel para renda. <br>Possui sacada.<br>Vai lhe possibilitar desfrutar de seu próprio quintal.; BS:Ponto final 1745-10, PH:Bi Farma, CH:Clínica Fares, SC:Mami Motos, SC:Irmãos marega, SC:Besni, SC:Sarina Tattoo, SC:Ks
2484788594; RESIDENTIAL_ALLOTMENT_LAND; UNIT; BR; São Paulo; SP; Rua Octávio Zampirollo; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Jardim Peri; Jardim Peri; RESIDENTIAL; 348; 348; Comprar; 270000; 0; 0; 0; 0; 219; 02680010; CONDOMINIO SOCIEDADE AMIGOS DO PARQUE ITAGUAÇU DA CANTAREIRA , UMA RESERVA FLORESTAL COM TODA INFRAESTRUTURA NECESSARIA E PORTARIA 24 H , SEGURANÇA , LAZER E TRANQUILIDADE DENTRO DE SÃO PAULO , CASAS CONSTRUIDAS E RUAS ASFALTADAS COM ACESSO PELO RODOANEL E PELA AV. INAJAR DE SOUZA . UM TERRENO COM ÁREA TOTAL DE 272,69 M. PORTARIA AV, ARQUITETO ROBERTO AFLALO <br>CONDOMÍNIO CANTO DAS ÁGUAS COM CHURRASQUEIRA COLETIVA, PLAY ALÉM DE TODOS OS ATRATIVOS DO CONDOMINIO COMO PARQUES ACADEMIAS A CEU ABERTO, CACHOEIRA, CAMPO DE FUTEBOL HORTA COMUNITÁRIA PARAÍSO EM SÃO PAULO Condomínio fechado com 03 portarias, seguranças e rondas 24 hrs com carro e motos , Playground / trilhas ecológicas e cachoeiras , quadra que sera feita este ano, salão de festas ao ar livre !!! E com condomínio baixo! Agenda uma visita Cond. Parque Itaguaçu da Cantareira, menos de 09 km da Marginal Tietê. <br> <br>AGENDA A SUA VISITA <br>REGINALDO; SC:Irmãos marega, SC:Mami Motos, SC:Ks, SC:Sarina Tattoo, SC:Mercadinho Estrela, SU:CEI Lina Rodrigues -Instituto Anglicano
2466417574; RESIDENTIAL_ALLOTMENT_LAND; UNIT; BR; São Paulo; SP; Rua Octávio Zampirollo; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Jardim Peri; Jardim Peri; RESIDENTIAL; 311; 311; Comprar; 295000; 0; 0; 0; 0; 100; 02680010; CONDOMINIO SOCIEDADE AMIGOS DO PARQUE ITAGUAÇU DA CANTAREIRA , UMA RESERVA FLORESTAL COM TODA INFRAESTRUTURA NECESSARIA E PORTARIA 24 H , SEGURANÇA , LAZER E TRANQUILIDADE DENTRO DE SÃO PAULO , CASAS CONSTRUIDAS E RUAS ASFALTADAS COM ACESSO PELO RODOANEL E PELA AV. INAJAR DE SOUZA . UM TERRENO COM ÁREA TOTAL DE 311,44 M. PORTARIA AV.ARQUITETO ROBERTO AFLALO - JARDIM PERI <br>AGENDA A SUA VISITA COM REGINALDO; SU:CEI Lina Rodrigues -Instituto Anglicano, SC:Irmãos marega, SC:Mami Motos, SC:Ks, SC:Sarina Tattoo, SC:Mercadinho Estrela
2491487383; HOME; UNIT; BR; São Paulo; SP; Rua Mário Soler; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Jardim Peri; Jardim Peri; RESIDENTIAL; 380; 380; Comprar; 800000; 12; 3; 6; 3; 0; 02632050; Jardim Peri, Sobrado com 380 m² de área construída, Terreno medindo 246 m² de área total (10 x 24,60 m²) Ótima localização com condução de fácil acesso para Estação do Metro Santana, Metro Barra Funda, e para a Praça do Correio, 3 suítes amplas todas com varanda sendo 1 suíte master com 48 m² e closet, Sala para 2 ambientes com lareira, Cozinha com armários planejados, Escritório, Quintal com churrasqueira, Garagem para 12 veículos, Portão automatizado, Aceita´se financiamento Bancário... - Ref.: 169-IM186229; BS:Avenida Direitos Humanos, BS:Ponto final 1745-10, BS:Avenida Doutor Francisco Ranieri 532, TS:Avenida Doutor Francisco Ranieri 749, TS:Avenida Direitos Humanos, TS:Avenida Doutor Francisco Ranieri 532, CS:Algarve Padaria, CS:Pães e Doces Arouquense, CS:Padaria Nova suzana, PH:Bi Farma
2499241787; APARTMENT; UNIT; BR; São Paulo; SP; Viela Um; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Jardim Peri; Jardim Peri; RESIDENTIAL; 0; 47; Comprar; 270000; 1; 0; 1; 2; 371; 02675031; O apartamento está localizado no bairro Jardim Peri com 47 metros quadrados com 2 quartos e 1 banheiro<br>Possui espaço gourmet, área de brinquedo para as crianças, salão de festas, academia, balcão externo espaçoso.<br>Vai lhe possibilitar praticar diversos esportes na quadra poliesportiva, curtir os dias mais quentes na piscina.Está em um condomínio protegido por grades.<br>Churrasqueira para você aproveitar nos momentos de descontração.<br>Elevador para mais praticidade no dia-a-dia.; PH:Bi Farma, CH:Clínica Fares, SU:Yázigi - Inglês, SU:CEI Lina Rodrigues -Instituto Anglicano, SC:Mami Motos, SC:Irmãos marega, SC:Ks, SC:Sarina Tattoo, SC:Besni
2495976221; CONDOMINIUM; UNIT; BR; São Paulo; SP; Avenida Santa Inês; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Jardim Peri; Jardim Peri; RESIDENTIAL; 120; 120; Comprar; 480000; 2; 1; 3; 2; 350; 02631000; HORTO FLORESTAL :: Casa Planejada e decorada em Condomínio :: 2 Quartos ( 1 suíte ) , Sala dois ambientes, cozinha americana planejada, área de serviço com porta de vidro, 2 vagas de garagem e solarium com churrasqueira e spa. No Horto Florestal, região com muito verde, localização privilegiada e fácil acesso. Marque a sua visita! Oportunidade EXCELENTE :: neste mês cliente oferta valor abaixo do anunciado! -; CS:Algarve Padaria, CS:Pães e Doces Arouquense, SU:EMEF Professor Roberto Patrício, BR:Bar e Emporio Vila Rosa
