IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2493634530; APARTMENT; UNIT; BR; São José do Rio Preto; SP; ; BR>Sao Paulo>NULL>Sao Jose do Rio Preto>Barrios>Jardim Pinheiros; Jardim Pinheiros; RESIDENTIAL; 77; 77; Comprar; 345000; 2; 1; 2; 2; 250; 15091360; Entre em contato conosco e agende uma visita. A Hall Imobiliária é a única especializada em compra e venda de apartamentos em São José do Rio Preto. E com certeza o seu está aqui! <br><br>Acesse: www.hallimobiliaria.com.br (17) 3 2 1 6 - 3 3 5 3 - (17) 9 8 1 7 3 - 9 2 2 0 WhatsApp; BS:304 Higienópolis, TS:304 Higienópolis, CS:Monte Carlo JK, CS:Zappa's, CS:Fábrica Di Chocolati, CS:Padaria Marzipan, CS:Rittoca Pães e Doces, PH:Drogaria Saúde 1, PH:Drogaria Total, PH:Grindélia Farmácia de Manipulação, PH:Drogaria Paz
2493635411; APARTMENT; UNIT; BR; São José do Rio Preto; SP; ; BR>Sao Paulo>NULL>Sao Jose do Rio Preto>Barrios>Jardim Pinheiros; Jardim Pinheiros; RESIDENTIAL; 114; 114; Comprar; 440000; 2; 1; 3; 3; 360; 15091210; Entre em contato conosco e agende uma visita. A Hall Imobiliária é a única especializada em compra e venda de apartamentos em São José do Rio Preto. E com certeza o seu está aqui! <br><br>Acesse: www.hallimobiliaria.com.br (1 7) 3 2 1 6 - 3 3 5 3 - (1 7) 9 8 1 7 3 - 9 2 2 0; BS:304 Higienópolis, TS:304 Higienópolis, CS:Padaria Marzipan, CS:Rittoca Pães e Doces, CS:Fábrica Di Chocolati, CS:Monte Carlo JK, CS:Zappa's, PH:Drogaria Saúde 1, PH:Drogaria Paz, PH:Grindélia Farmácia de Manipulação, PH:Farmácia Ambulatorial, PH:Drogaria Total
2499229779; APARTMENT; UNIT; BR; São José do Rio Preto; SP; ; BR>Sao Paulo>NULL>Sao Jose do Rio Preto>Barrios>Jardim Pinheiros; Jardim Pinheiros; RESIDENTIAL; 71; 71; Comprar; 336000; 1; 1; 2; 2; 300; 15091360; Condomínio / Edifício Pinheiros Club.<br>Excelente Apartamento Fase Sombra de 71m².<br>Contêm 02 Dormitórios (01 Tipo Apartamento, 01 Simples, com Armários).<br>01 Sala de Visita com Sacada.<br>01 Cozinha Planejada (Área de Serviços).<br>01 Vaga de Garagem Coberta.<br>Imóvel com Ventilador de Teto, Piso Ceramica, Face Sombra.<br>Valor do Condomínio R$ 300,00 - Área de Lazer, Piscina, Salão de Festas, Playground, Elevador Social.<br>Valor do IPTU R$ 80,00.<br>Visite nosso site e outras oportunidades: <br>www.beatrizpenhaimoveis.com.br<br><br>Celular WhatsApp F- <br>Telefone Comercial F- -; BS:304 Higienópolis, TS:304 Higienópolis, CS:Zappa's, CS:Monte Carlo JK, CS:Fábrica Di Chocolati, CS:Padaria Marzipan, CS:Rittoca Pães e Doces, PH:Drogaria Saúde 1, PH:Grindélia Farmácia de Manipulação, PH:Drogaria Total, PH:Drogaria Paz, PH:Farmácia Ambulatorial
2493634251; APARTMENT; UNIT; BR; São José do Rio Preto; SP; ; BR>Sao Paulo>NULL>Sao Jose do Rio Preto>Barrios>Jardim Pinheiros; Jardim Pinheiros; RESIDENTIAL; 110; 110; Comprar; 275000; 2; 1; 2; 3; 110; 15091210; CÓDIGO 377<br><br><br><br>Gostou do Imóvel? Entre em contato! <br><br>Temos Ótimas Condições de Pagamento, Aceitamos Veículo e Imóvel Como Parte do Pagamento.<br><br><br><br>--> www.hallimoveis.com.br < -- WhatsApp (17) 9 8 1 7 3 - 9 2 2 0 <br><br><br><br>HALL Imóveis - Imobiliária e Construtora, Compra, Venda de Apartamentos e Casas em Condomínio Fechado.; BS:304 Higienópolis, TS:304 Higienópolis, CS:Rittoca Pães e Doces, CS:Padaria Marzipan, CS:Fábrica Di Chocolati, CS:Monte Carlo JK, CS:Via Sul Padaria e Conveniência, PH:Drogaria Saúde 1, PH:Drogaria Paz, PH:Grindélia Farmácia de Manipulação, PH:Farmácia Ambulatorial, PH:Drogaria Total
2493634231; APARTMENT; UNIT; BR; São José do Rio Preto; SP; ; BR>Sao Paulo>NULL>Sao Jose do Rio Preto>Barrios>Jardim Pinheiros; Jardim Pinheiros; RESIDENTIAL; 67; 67; Comprar; 320000; 1; 1; 2; 2; 250; 15091360; Entre em contato conosco e agende uma visita. A Hall Imobiliária é a única especializada em compra e venda de apartamentos em São José do Rio Preto. E com certeza o seu está aqui! <br><br>Acesse: www.hallimobiliaria.com.br (17) 3 2 1 6 - 3 3 5 3 - (17) 9 8 1 7 3 - 9 2 2 0 WhatsApp; BS:304 Higienópolis, TS:304 Higienópolis, CS:Monte Carlo JK, CS:Zappa's, CS:Fábrica Di Chocolati, CS:Padaria Marzipan, CS:Rittoca Pães e Doces, PH:Drogaria Saúde 1, PH:Drogaria Total, PH:Grindélia Farmácia de Manipulação, PH:Drogaria Paz
2498487979; APARTMENT; UNIT; BR; São José do Rio Preto; SP; ; BR>Sao Paulo>NULL>Sao Jose do Rio Preto>Barrios>Jardim Pinheiros; Jardim Pinheiros; RESIDENTIAL; 70; 70; Comprar; 385000; 1; 1; 2; 2; 0; 15091330; Código 7322<br><br><br><br>Apartamento Amplo e aconchegante com Área Útil de 70 m² de puro conforto, com dois dormitórios sendo 1 suíte, Rico em Armários Planejados, Cozinha Planejada, área de serviço e garagem coberta com 1 vagas. Com uma ótima iluminação e bem climatizado. <br><br> <br><br>Área de Lazer para toda a Família, Piscinas adultos e crianças, Espaços Juvenil, Espaço de Leitura, Academia, Quadra de Poliesportiva, playground, Salão de Jogos, Salão de Festa, Quiosque com churrasqueira, com belos Jardins. <br><br> <br><br>Prezando pela segurança, Portaria 24 Hrs, Porteiro Eletrônico, Zelador.<br><br> <br><br>Com uma ótima Localização, ao lado do Rio Preto Shopping Center, Sesc Rio Preto, HB Saúde, Centro da cidade (10 min), com ponto de ônibus, Lojas, Restaurantes, Posto de Combustível, Tudo de Bom Próximo ao Condomínio. <br><br> <br><br>Gostou do Imóvel? Entre em contato! Temos Ótimas Condições de Pagamento, Aceitamos Veículo e Imóvel Como Parte do Pagamento.<br><br> <br><br> www.hallimoveis.com.br - WhatsApp <br><br> <br><br>HALL Imóveis - Imobiliária e Construtora, Compra, Venda de Apartamentos e Casas em Condomínio Fechado.; BS:304 Higienópolis, BS:304 - Higienópolis, TS:304 Higienópolis, TS:304 - Higienópolis, CS:Zappa's, CS:Via Sul Padaria e Conveniência, CS:Padaria Marzipan, CS:Rittoca Pães e Doces, CS:Padaria Tropical, PH:Grindélia Farmácia de Manipulação, PH:Drogaria Saúde 1, PH:Drogaria Paz, PH:Drogaria Total, PH:Farmácia Ambulatorial
2493633116; APARTMENT; UNIT; BR; São José do Rio Preto; SP; ; BR>Sao Paulo>NULL>Sao Jose do Rio Preto>Barrios>Jardim Pinheiros; Jardim Pinheiros; RESIDENTIAL; 62; 62; Comprar; 338000; 1; 0; 2; 2; 300; 15091360; CÓDIGO 2530<br><br><br><br>- Características:<br><br>Mobiliado × Alarme Monitorado × Interfone × Portão Eletrônico × Portaria × Salão de Festas × Playground × Jardim × Piscina Infantil × Piscina adulto × Campo de Futebol × Quadra Gramada × Quadra Poliesportiva × Churrasqueira × Área de Serviço × Sacada × Elevador Social × Elevador de Serviço ×<br><br><br><br>A HALL Imobiliária é excelência em compra e venda de Apartamentos e Condomínios. Temos os melhores imóveis para venda em São José do Rio Preto e Região!<br><br><br><br>(17) 3 2 1 6 - 3 3 5 3 - (17) 9 8 1 7 3 - 9 2 2 0 WhatsApp<br><br><br><br>VISITAS REALIZADAS MEDIANTE AGENDAMENTO COM CORRETOR!; BS:304 Higienópolis, TS:304 Higienópolis, CS:Monte Carlo JK, CS:Zappa's, CS:Fábrica Di Chocolati, CS:Padaria Marzipan, CS:Rittoca Pães e Doces, PH:Drogaria Saúde 1, PH:Drogaria Total, PH:Grindélia Farmácia de Manipulação, PH:Drogaria Paz
2493634471; APARTMENT; UNIT; BR; São José do Rio Preto; SP; ; BR>Sao Paulo>NULL>Sao Jose do Rio Preto>Barrios>Jardim Pinheiros; Jardim Pinheiros; RESIDENTIAL; 160; 160; Comprar; 285000; 1; 1; 2; 3; 200; 15091210; CÓDIGO 416<br><br><br><br>Gostou do Imóvel? Entre em contato! <br><br>Temos Ótimas Condições de Pagamento, Aceitamos Veículo e Imóvel Como Parte do Pagamento.<br><br><br><br>--> www.hallimoveis.com.br < -- WhatsApp (17) 9 8 1 7 3 - 9 2 2 0 <br><br><br><br>HALL Imóveis - Imobiliária e Construtora, Compra, Venda de Apartamentos e Casas em Condomínio Fechado.; BS:304 Higienópolis, TS:304 Higienópolis, CS:Rittoca Pães e Doces, CS:Padaria Marzipan, CS:Fábrica Di Chocolati, CS:Via Sul Padaria e Conveniência, CS:Monte Carlo JK, PH:Drogaria Saúde 1, PH:Drogaria Paz, PH:Grindélia Farmácia de Manipulação, PH:Farmácia Ambulatorial, PH:Drogaria Total
2493635629; APARTMENT; UNIT; BR; São José do Rio Preto; SP; ; BR>Sao Paulo>NULL>Sao Jose do Rio Preto>Barrios>Jardim Pinheiros; Jardim Pinheiros; RESIDENTIAL; 60; 60; Comprar; 358000; 1; 1; 2; 2; 250; 15091360; CÓDIGO 2524<br><br><br><br>- Características:<br><br>Alarme Monitorado × Interfone × Portaria × Portão Eletrônico × Quadra de Vôlei × Playground × Salão de Festas × Jardim × Piscina Infantil × Piscina adulto × Quadra Poliesportiva × Churrasqueira × Área de Serviço × Sacada × Elevador Social × Elevador de Serviço ×<br><br><br><br>A HALL Imobiliária é excelência em compra e venda de Apartamentos e Condomínios. Temos os melhores imóveis para venda em São José do Rio Preto e Região!<br><br><br><br>(17) 3 2 1 6 - 3 3 5 3 - (17) 9 8 1 7 3 - 9 2 2 0 WhatsApp<br><br><br><br>VISITAS REALIZADAS MEDIANTE AGENDAMENTO COM CORRETOR!; BS:304 Higienópolis, TS:304 Higienópolis, CS:Monte Carlo JK, CS:Zappa's, CS:Fábrica Di Chocolati, CS:Padaria Marzipan, CS:Rittoca Pães e Doces, PH:Drogaria Saúde 1, PH:Drogaria Total, PH:Grindélia Farmácia de Manipulação, PH:Drogaria Paz
2493638583; APARTMENT; UNIT; BR; São José do Rio Preto; SP; ; BR>Sao Paulo>NULL>Sao Jose do Rio Preto>Barrios>Jardim Pinheiros; Jardim Pinheiros; RESIDENTIAL; 70; 70; Comprar; 140000; 1; 0; 1; 2; 180; 15091210; CÓDIGO 6532<br><br><br><br>Gostou do Imóvel? Entre em contato! <br><br>Temos Ótimas Condições de Pagamento, Aceitamos Veículo e Imóvel Como Parte do Pagamento.<br><br><br><br>--> www.hallimoveis.com.br < -- WhatsApp (17) 9 8 1 7 3 - 9 2 2 0 <br><br><br><br>HALL Imóveis - Imobiliária e Construtora, Compra, Venda de Apartamentos e Casas em Condomínio Fechado.; BS:304 Higienópolis, TS:304 Higienópolis, CS:Rittoca Pães e Doces, CS:Padaria Marzipan, CS:Fábrica Di Chocolati, CS:Via Sul Padaria e Conveniência, CS:Monte Carlo JK, PH:Drogaria Saúde 1, PH:Drogaria Paz, PH:Grindélia Farmácia de Manipulação, PH:Farmácia Ambulatorial, PH:Drogaria Total
