IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2496240975; HOME; UNIT; BR; São Paulo; SP; Rua Ossian Terceiro Teles; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Prudencia; Jardim Prudência; RESIDENTIAL; 530; 465; Comprar; 1950000; 8; 4; 6; 5; 0; 04649000; Destaca-se pelos amplos ambientes com muito espaço e conforto. Na entrada depara-se com amplo living com lareira, integrada com confortável home-theater, escritório e jardim de inverno que permite muita claridade nos ambientes. <br> <br>No nível superior super suíte máster com terraço, espaçoso banheiro com hidro e amplo closet, sala íntima, mais 4 suítes e um dormitório. <br> <br>Garagem para 8 carros. Rua bem arborizada. Fácil acesso para avenida Washigton Luis, Vicente Rao, <br>próximo de bons supermercados e escolas, bem como comércio da região. Confira! <br>Bamberg Imóveis Únicos.; BS:Parada Vila Celeste, BS:Parada Jd. Prudência, BS:Parada Djalma Franco, BS:Parada Vila Canaã, BS:Parada Washington Luís, TS:Parada Vila Celeste, TS:Parada Jd. Prudência, TS:Parada Washington Luís, TS:Parada Monte Alegre, TS:Av. Interlagos, 1661, CS:Orqúidea Ouro, CS:Recanto da Mascote, CS:Bandeirantes V, CS:Nova Pérola, CS:Kopenhagen, PH:Drogaria São Paulo, PH:Farmácia Ândira, PH:Poupa Farma, PH:Bifarma
2496978551; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Rua Padre Bento Ibañez; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Prudencia; Jardim Prudência; RESIDENTIAL; 300; 257; Comprar; 1445000; 4; 2; 4; 4; 1300; 04649030; Sobrados de Alto Padrão em condomínio fechado. Excelente acabamento interno e externo, amplos ambientes, 4 vagas de garagens, dependeria de empregada, quintal, jardim. Venha Conhecer e Realize seu sonho...; BS:Parada Vila Celeste, BS:Parada Djalma Franco, BS:Parada Jd. Prudência, BS:Parada Vila Canaã, BS:Parada Pq. do Nabuco, TS:Parada Vila Celeste, TS:Parada Jd. Prudência, TS:Parada Washington Luís, TS:Av. Interlagos, 1661, TS:Parada Monte Alegre, CS:Bandeirantes V, CS:Orqúidea Ouro, CS:Recanto da Mascote, CS:Kopenhagen, CS:Nova Pérola, PH:Bifarma, PH:Farmácia Ândira, PH:Poupa Farma
2491389005; CONDOMINIUM; UNIT; BR; São Paulo; SP; Rua Carlos Baptista de Magalhães; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Prudencia; Jardim Prudência; RESIDENTIAL; 245; 238; Comprar; 1750000; 3; 2; 5; 4; 1000; 04648260; Casa nova 4 dormitórios em condomínio no Jardim Prudência . Nova com 4 dormitórios sendo 2 suítes em local de fácil acesso para o aeroporto de Congonhas e grandes avenidas, porem muito tranquilo e arborizado, proporcionando a possibilidade de fazer caminhadas e passeios pelo bairro com a família e os pets. São 5 casas isoladas com excelente planta e pronta para morar, com armários embutidos, cozinha planejada, box e espelhos, basta trazer a mudança. Venha conhecer . - Ref.: 375-IM94821; BS:Parada Jd. Prudência, BS:Parada Vila Celeste, BS:Parada Washington Luís, BS:Parada Djalma Franco, BS:Parada Monte Alegre, TS:Parada Jd. Prudência, TS:Parada Vila Celeste, TS:Parada Washington Luís, TS:Parada Monte Alegre, TS:Av. Interlagos, 1661, CS:Bandeirantes V, CS:Recanto da Mascote, CS:Nova Pérola, CS:Orqúidea Ouro, CS:Kopenhagen, PH:Farmácia Ândira, PH:Poupa Farma, PH:Bifarma
2437375173; APARTMENT; UNIT; BR; São Paulo; SP; Rua Aracuípe; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Prudencia; Jardim Prudência; RESIDENTIAL; 0; 111; Comprar; 750000; 2; 0; 3; 3; 750; 04649020; Prédio e apartamento novos, apartamento nunca ocupado. Rua tranquila e arborizada. Voltado para bairro residencial de casas com vista espetacular para o verde. Condominio completo. Varias possibilidades de plantas. Atualmente com 1 suite e 1 dormitório mas possibilidade de fazer mais uma suite. Janelas amplas, muito bem iluminado e arejado. Terraço técnico e infra para ar condicionado Projeto de arquitetura premiado, publicado em revistas e livros. Deposito privativo na garagem. *Nas fotos foto tirado da vista do apartamento para o verde; BS:Parada Vila Celeste, BS:Parada Jd. Prudência, BS:Parada Djalma Franco, BS:Parada Vila Canaã, BS:Parada Washington Luís, TS:Parada Vila Celeste, TS:Parada Jd. Prudência, TS:Parada Washington Luís, TS:Parada Monte Alegre, TS:Av. Interlagos, 1661, CS:Orqúidea Ouro, CS:Recanto da Mascote, CS:Bandeirantes V, CS:Kopenhagen, CS:Nova Pérola, PH:Drogaria São Paulo, PH:Farmácia Ândira, PH:Poupa Farma, PH:Bifarma
2452275501; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Interlagos; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Prudencia; Jardim Prudência; RESIDENTIAL; 0; 65; Comprar; 535000; 1; 1; 2; 2; 450; 04660000; Apartamento 65 m², 13 andar com Varanda Gourmet para venda com 2 dormitórios, sendo 1 suíte, 1 vaga bairro Jardim Prudência - São Paulo/SP. Ótima Localização! Está localizado no Jardim Prudência, zona sul de São Paulo, na melhor localização da Rua das Flechas ao lado da Avenida Washington Luis, Colégio Emilie de Villeneuve, Avenida Vicente Rao, 10 minutos Shopping Morumbi, 10 minutos do Shopping Ibirapuera, 5 minutos do Aeroporto de Congonhas e em seu entorno possui uma infraestrutura de bairro, com padarias, farmácias, escolas, restaurantes tudo a poucos metros.; BS:Av. Interlagos, 1661, BS:Parada Vila Celeste, BS:Parada Djalma Franco, BS:Parada Jd. Prudência, BS:Parada Vila Canaã, TS:Av. Interlagos, 1661, TS:Parada Vila Celeste, TS:Parada Jd. Prudência, TS:Cemitério do Campo Grande, TS:Shopping Interlagos, CS:Bandeirantes V, CS:Belfort Panificadora, CS:Panificadora Bandeirantes, CS:Recanto da Mascote, CS:Orqúidea Ouro, PH:Bifarma, PH:Drogaria São Paulo
2493922184; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Coronel Francisco Júlio César Alfieri; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Prudencia; Jardim Prudência; RESIDENTIAL; 78; 64; Comprar; 450000; 1; 1; 2; 2; 650; 04651000; 64m² de Área Útil, 2 Dormitórios sendo Uma Suíte com Armários, Sala em L para 2 Bons Ambientes, Varanda, Banheiro da Suíte e Social com Box e Gabinete, Cozinha Planejada Tipo Americana, Área de Serviço com Fechamento de Vidro e Uma Vaga Indeterminada. -; BS:Parada Djalma Franco, BS:Parada Vila Celeste, BS:Parada Vila Canaã, BS:Parada Pq. do Nabuco, BS:Parada Jd. Prudência, TS:Parada Vila Celeste, TS:Parada Jd. Prudência, TS:Parada Washington Luís, TS:Av. Interlagos, 1661, TS:Parada Monte Alegre, CS:Bandeirantes V, CS:Orqúidea Ouro, CS:Recanto da Mascote, CS:Kopenhagen, CS:Panificadora Sta Catarina, PH:Bifarma, PH:Drogaria São Paulo, PH:Farmácia Ândira, PH:Poupa Farma
2176075684; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Vereador João de Luca; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Prudencia; Jardim Prudência; RESIDENTIAL; 59; 59; Comprar; 310000; 1; 0; 2; 2; 700; 04381000; Excelente 2 dormitórios, 2 banheiros, andar alto. Ao lado do colégio Emillie Villeneuve. Cozinha grande em "L", armários embutidos em um quarto e no corredor. A cozinha está somente com gabinete da pia. Basta uma atualização dos revestimentos para ficar lindo ! A vaga de garagem é grande e livre. Apartamento ensolarado e com vista livre de todos os cômodos. Valor condomínio baixo, com poço artesiano, elevadores novos e área de lazer completa: 2 piscinas, quadra, sala ginástica, churrasqueira. Ótima localização: ao lado do Pão de Açúcar, fácil acesso às avenidas Washigton Luis, Ibirapuera, Santo Amaro, Berrini, Marg Pinheiros. A 5 min da estação Brooklin metro e Pq Cordeiro. 10 min dos Shoppings Morumbi / Ibirapuera. Aceita financiamento e FGTS. Não aceitamos permutas; BS:Parada Vila Celeste, BS:Parada Jd. Prudência, BS:Parada Djalma Franco, BS:Parada Vila Canaã, BS:Parada Washington Luís, TS:Parada Vila Celeste, TS:Parada Jd. Prudência, TS:Parada Washington Luís, TS:Parada Monte Alegre, CS:Orqúidea Ouro, CS:Recanto da Mascote, CS:Kopenhagen, CS:Nova Pérola, CS:Bandeirantes V, PH:Drogaria São Paulo, PH:Farmácia Ândira, PH:Poupa Farma, PH:Bifarma
2499354277; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Prudencia; Jardim Prudência; RESIDENTIAL; 57; 57; Comprar; 540000; 1; 1; 2; 2; 500; 04649020; Ótima oportunidade! apartamento em ótimo estado de conservação, otima localização.<br><br>Venha conhecer e fazer um ótimo negocio. -; BS:Parada Vila Celeste, BS:Parada Jd. Prudência, BS:Parada Djalma Franco, BS:Parada Vila Canaã, BS:Parada Washington Luís, TS:Parada Vila Celeste, TS:Parada Jd. Prudência, TS:Parada Washington Luís, TS:Parada Monte Alegre, CS:Orqúidea Ouro, CS:Recanto da Mascote, CS:Bandeirantes V, CS:Kopenhagen, CS:Nova Pérola, PH:Farmácia Ândira, PH:Poupa Farma, PH:Bifarma
2482555379; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Cupecê; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Prudencia; Jardim Prudência; RESIDENTIAL; 58; 58; Comprar; 429000; 1; 1; 2; 2; 0; 04366000; Jardim Prudência é um bairro nobre no distrito de São Paulo, vizinho de bairros consagrados da zona sul como Vila Mascote, Jardim Marajoara e Chácara Flora, a 3 km da estação Brooklin do metro, próximo de Hospitais , Mercados, Padaria "PRIMICIA DOS PÃES" e a 5 minutos do "AEROPORTO DE CONGONHAS".<br><br>Projeto diferenciado na região.<br>Portaria com o pé direito tripo, "estacionamento inteligente', todas as unidades com vagas LIVRES.<br><br>Apto com o piso todo nivelado.<br>Sala 2 ambientes.<br>Varanda gourmet.<br>2 banheiros.<br>2 dormitórios com uma suite.<br>Cozinha<br>Lavanderia.<br>1 vaga "Livre"<br><br>Seu lazer é completo:<br>- Salão de festas<br>- Espaço gourmet<br>- Salão de jogos<br>- Espaço Games<br>- Fitness<br>- Piscina adulto e infantil<br>- Solário<br>- Praça de Leitura<br>- Brinquedoteca<br>- Playground<br>- Churrasqueira com forno de Pizza.<br>- Quadra recreativa Gramada.<br><br>Lazer já entregue equipado e decorado, sem custo adicional.<br>Pequena entrada e saldo totalmente financiado!<br>Vamos agendar uma visita, e conhecer o modelo decorado?<br>Visitas com o corretor credenciado da house do incorporador.<br>Valmir Creci 161221.<br>Vamos agendar uma visita Hj só com mascara e com pré agendamento.; BS:Parada Djalma Franco, BS:Parada Vila Canaã, BS:Parada Vila Celeste, BS:Parada Pq. do Nabuco, BS:Parada Jd. Prudência, TS:Parada Vila Celeste, TS:Parada Jd. Prudência, TS:Parada Washington Luís, TS:Av. Interlagos, 1661, TS:Parada Monte Alegre, CS:Bandeirantes V, CS:Orqúidea Ouro, CS:Recanto da Mascote, CS:Kopenhagen, CS:Panificadora Sta Catarina, PH:Bifarma, PH:Farmácia Ândira, PH:Poupa Farma, PH:Drogaria São Paulo
2494541837; KITNET; UNIT; BR; São Paulo; SP; Avenida Cupecê; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Prudencia; Jardim Prudência; RESIDENTIAL; 28; 28; Comprar; 168900; 0; 0; 1; 1; 0; 04365001; Além disso, segurança ininterrupta e alarme residencial para você e sua família. Está em um condomínio protegido por grades. <br>Elevador para mais praticidade no dia-a-dia. <br> <br>Lazer: <br>Bicicletário <br>Brinquedoteca <br>Churrasqueira <br>Fitness <br>Playground <br>Salão De Festas <br> <br>* Consulte disponibilidade e condições, fotos são ilustrativas servem apenas sugestão de layout dos ambientes, o imóvel a venda esta no contra piso. **Valores a partir, a disponibilidade da unidade seu valor e comercialização sujeitos a alteração, modificação ou extinção sem prévio aviso.Visitas com horário agendado WhatsApp. Agende sua visita com os consultores Charles e Moraes. <br> Revisado em; BS:Parada Vila Canaã, BS:Parada Pq. do Nabuco, BS:Parada Djalma Franco, BS:Parada Rubens Facchini, BS:Parada Vila Celeste, TS:Parada Vila Celeste, TS:Parada Jd. Prudência, TS:Parada Rodrigues Montemor, TS:Av. Interlagos, 1661, TS:Shopping Interlagos, CS:Bandeirantes V, CS:Max Carnes, CS:Panificadora Sta Catarina, CS:Nova Bagdá Carnes e Rotisserie, CS:Flor da Catarina Pães e Doces, PH:Bifarma, PH:Poupa Farma, PH:Farmácia Ândira
2493960888; APARTMENT; UNIT; BR; São Paulo; SP; Rua das Flechas; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Prudencia; Jardim Prudência; RESIDENTIAL; 63; 63; Comprar; 433740; 0; 1; 2; 2; 0; 00000000; Um endereço privilegiado, ótima oportunidade para você e a sua família terem o prazer de morar e viver bem. -; BS:Parada Jd. Prudência, BS:Parada Washington Luís, BS:Parada Vila Celeste, BS:Parada Monte Alegre, BS:Parada Djalma Franco, TS:Parada Jd. Prudência, TS:Parada Washington Luís, TS:Parada Vila Celeste, TS:Parada Monte Alegre, TS:Parada Ademar de Morais, CS:Recanto da Mascote, CS:Nova Pérola, CS:Orqúidea Ouro, CS:Kopenhagen, CS:Central de Carnes Santa Catarina, PH:Farmácia Ândira, PH:Poupa Farma, PH:Bifarma
2496149175; APARTMENT; UNIT; BR; São Paulo; SP; Rua Ossian Terceiro Teles; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Prudencia; Jardim Prudência; RESIDENTIAL; 63; 63; Comprar; 505000; 1; 1; 2; 2; 390; 04649000; O apartamento está localizado no bairro Jardim Prudência tem 63 metros quadrados com 2 quartos sendo 1 suite e 2 banheiros<br>Possui academia, espaço gourmet, salão de festas.<br>Vai lhe possibilitar curtir os dias mais quentes na piscina, todo o conforto do ar condicionado nos dias mais quentes.<br>Além disso sistema de aviso sonoro com alarme.Encontra-se em um condomínio protegido por muros.<br>Espaço reservado para preparar o seu churrasco.<br>Elevador que garante o transporte das suas malas e compras.; BS:Parada Vila Celeste, BS:Parada Jd. Prudência, BS:Parada Djalma Franco, BS:Parada Vila Canaã, BS:Parada Washington Luís, TS:Parada Vila Celeste, TS:Parada Jd. Prudência, TS:Parada Washington Luís, TS:Parada Monte Alegre, TS:Av. Interlagos, 1661, CS:Orqúidea Ouro, CS:Bandeirantes V, CS:Recanto da Mascote, CS:Kopenhagen, CS:Nova Pérola, PH:Drogaria São Paulo, PH:Farmácia Ândira, PH:Poupa Farma, PH:Bifarma
2497467486; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Coronel Francisco Júlio César Alfieri; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Prudencia; Jardim Prudência; RESIDENTIAL; 0; 64; Comprar; 470000; 1; 1; 2; 1; 0; 04651000; O apartamento está localizado no Jardim Prudência tem 64 metros quadrados com 1 quarto sendo 1 suite e 2 banheiros<br>Possui academia, área de brinquedo para as crianças, salão de festas.<br>Vai lhe possibilitar curtir os dias mais quentes na piscina, todo o conforto do ar condicionado nos dias mais quentes.Churrasqueira para você aproveitar nos momentos de descontração.<br>Já tem os móveis incluídos.; BS:Parada Djalma Franco, BS:Parada Vila Celeste, BS:Parada Vila Canaã, BS:Parada Pq. do Nabuco, BS:Parada Jd. Prudência, TS:Parada Vila Celeste, TS:Parada Jd. Prudência, TS:Parada Washington Luís, TS:Av. Interlagos, 1661, TS:Parada Monte Alegre, CS:Bandeirantes V, CS:Orqúidea Ouro, CS:Recanto da Mascote, CS:Kopenhagen, CS:Panificadora Sta Catarina, PH:Bifarma, PH:Drogaria São Paulo, PH:Farmácia Ândira, PH:Poupa Farma
2497257142; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Cupecê; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Prudencia; Jardim Prudência; RESIDENTIAL; 69; 69; Comprar; 438000; 1; 1; 2; 3; 438; 04366001; Apartamento em ótima localização da Av Cupece com 69 m² 03 dormitórios sendo 01 suite e 01 vaga de garagem, fácil acesso a rotas importantes da região e de São Paulo, como as avenidas Cupecê, Prof. Vicente Rao, Washington Luis/23 de Maio e Marginal Pinheiros. A estrutura da região tem se modernizado bastante, com uma rede de comércio e serviços completos.<br>FOTOS ILUSTRATIVAS; BS:Parada Djalma Franco, BS:Parada Vila Celeste, BS:Parada Vila Canaã, BS:Parada Jd. Prudência, BS:Parada Pq. do Nabuco, TS:Parada Vila Celeste, TS:Parada Jd. Prudência, TS:Parada Washington Luís, TS:Parada Monte Alegre, TS:Av. Interlagos, 1661, CS:Bandeirantes V, CS:Orqúidea Ouro, CS:Recanto da Mascote, CS:Kopenhagen, CS:Central de Carnes Santa Catarina, PH:Bifarma, PH:Drogaria São Paulo, PH:Farmácia Ândira, PH:Poupa Farma
2487328335; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Cupecê; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Prudencia; Jardim Prudência; RESIDENTIAL; 58; 58; Comprar; 459000; 2; 1; 2; 2; 0; 04366000; Venha morar no empreendimento que já é sucesso. Vários diferenciais!<br>Apto de 2 dormitórios, 1 suíte, 2 vagas livres, pé direito elevado, todo lazer é composto no térreo, piso nivelado na sala e área gourmet, aquecimento nas torneiras da cozinha e banheiros, hall de entrada com pé direito triplo.<br>Nosso lazer:<br>Salão de Festas<br>Espaço Gourmet, com forno de pizza e churrasqueira<br>Salão de jogos com espaço de vídeo game.<br>Fitness<br>Vestiários das piscinas e fitness.<br>Praça de leitura.<br>Piscina adulto e infantil<br>Solário<br>Brinquedoteca<br>Playground<br>Praça<br>Quadra recreativa Gramada<br>Visitas com o corretor credenciado, Valmir Creci 161221<br>Vamos agendar uma visita, e conhecer o modelo decorado?; BS:Parada Djalma Franco, BS:Parada Vila Canaã, BS:Parada Vila Celeste, BS:Parada Pq. do Nabuco, BS:Parada Jd. Prudência, TS:Parada Vila Celeste, TS:Parada Jd. Prudência, TS:Parada Washington Luís, TS:Av. Interlagos, 1661, TS:Parada Monte Alegre, CS:Bandeirantes V, CS:Orqúidea Ouro, CS:Recanto da Mascote, CS:Kopenhagen, CS:Panificadora Sta Catarina, PH:Bifarma, PH:Farmácia Ândira, PH:Poupa Farma, PH:Drogaria São Paulo
2491029826; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Prudencia; Jardim Prudência; RESIDENTIAL; 64; 64; Comprar; 400000; 0; 1; 2; 2; 560; ; 5 MINUTOS DA AVENIDA VEREADOR JOÃO DE LUCA,APARTAMENTO NO CONTRA PISO,CHAVES EM SETEMBRO DE 2013,LAZER COMPLETO. AGENDE A SUA VISITA.; BS:Parada Vila Celeste, BS:Parada Jd. Prudência, BS:Parada Djalma Franco, BS:Parada Vila Canaã, BS:Parada Washington Luís, TS:Parada Vila Celeste, TS:Parada Jd. Prudência, TS:Parada Washington Luís, TS:Parada Monte Alegre, TS:Av. Interlagos, 1661, CS:Bandeirantes V, CS:Orqúidea Ouro, CS:Recanto da Mascote, CS:Kopenhagen, CS:Nova Pérola, PH:Drogaria São Paulo, PH:Farmácia Ândira, PH:Poupa Farma, PH:Bifarma
2427524796; CONDOMINIUM; UNIT; BR; São Paulo; SP; Rua Ossian Terceiro Teles; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Prudencia; Jardim Prudência; RESIDENTIAL; 450; 420; Comprar; 1520000; 4; 4; 4; 4; 800; 04649000; Residência impecável, com o máximo de estrutura e espaços para morar em localização privilegiada próximos a escolas, restaurantes e principais vias de acesso no Jardim Prudência.<br><br> Imóvel a venda com 4 suítes, living para 3 ambientes com lareira, sala de estar e de jantar e 3 vagas na garagem. Condomínio com área social com ambientes bem distribuídos visando o aproveitamento máximo da luminosidade natural e a integração direta com a área de lazer. <br><br>Melhores preços e condições com a Franco & Parschin!<br><br>Casa disponível para avaliação de domingo a domingo, agende sua visita!!; BS:Parada Jd. Prudência, BS:Parada Vila Celeste, BS:Parada Washington Luís, BS:Parada Djalma Franco, BS:Parada Monte Alegre, TS:Parada Jd. Prudência, TS:Parada Vila Celeste, TS:Parada Washington Luís, TS:Parada Monte Alegre, TS:Parada Ademar de Morais, CS:Recanto da Mascote, CS:Orqúidea Ouro, CS:Nova Pérola, CS:Kopenhagen, CS:Bandeirantes V, PH:Farmácia Ândira, PH:Poupa Farma, PH:Bifarma
