IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2483851493; TWO_STORY_HOUSE; UNIT; BR; Jacareí; SP; ; BR>Sao Paulo>NULL>Jacarei>Barrios>Jardim Santa Maria; Jardim Santa Maria; RESIDENTIAL; 0; 200; Comprar; 640000; 4; 1; 4; 3; 0; 12328240; O sobrado no bairro Jardim Santa Maria Prolongamento tem 200m² construída ,mais terreno todo murado e com gramado 360m² totalizando 700m² por R$ 640.000,00.<br>Com 03 dormitórios com sacadas sendo um com suíte,cozinha planejada ,sala de estar e jantar, 03 vagas cobertas, área de lazer com churrasqueira e piscina.<br>Vai lhe possibilitar desfrutar de seu próprio quintal.<br>Faça uma visita sem compromisso, entre em contato hoje mesmo, aproveite a oportunidade.; PH:Droga Raia, PH:DorogaQuinze
2494134481; HOME; UNIT; BR; Jacareí; SP; ; BR>Sao Paulo>NULL>Jacarei>Barrios>Jardim Santa Maria; Jardim Santa Maria; RESIDENTIAL; 180; 300; Comprar; 690000; 3; 1; 4; 3; 0; 12328160; A casa está localizado no bairro Jardim Santa Maria com 300m² com 3 quartos sendo 1 suite e 4 banheiros, garagem com 3 vagas cobertas, cozinha, lavabo, ar condicionado, sala de estar, sala de jantar, WC empregada, despensa, armários, varanda, escritório, quintal.<br>Possui piscina.<br>Possui balcão externo espaçoso.<br>Vai lhe possibilitar aproveitar a vida ao ar livre no seu próprio quintal, todo o conforto do ar condicionado nos dias mais quentes.<br>OBS: Imóvel totalmente mobiliado.<br>Faça uma visita sem compromisso, entre em contato hoje mesmo, aproveite a oportunidade.<br>As informações poderão ser alteradas sem aviso prévio.; CS:Padaria pão e vinho, CS:Padaria Pão e Vinho, CS:Senhor do Café, PH:FarMais, PH:DorogaQuinze
2494033389; HOME; UNIT; BR; Jacareí; SP; ; BR>Sao Paulo>NULL>Jacarei>Barrios>Jardim Santa Maria; Jardim Santa Maria; RESIDENTIAL; 0; 300; Comprar; 380000; 3; 1; 3; 3; 0; 12328210; A casa no bairro Jardim Santa Maria tem 300m² com 3 quartos sendo 1 suite, 3 banheiros, garagem com 3 vagas cobertas, cozinha, copa, lavabo, sala de estar, área de serviço, despensa, canil, lavanderia, churrasqueira.<br>*Cômodos amplos*.<br>Faça uma visita sem compromisso, entre em contato hoje mesmo, aproveite a oportunidade.<br>As informações poderão ser alteradas sem aviso prévio.; CS:Padaria Pão e Vinho, CS:Padaria pão e vinho, PH:FarMais, PH:DorogaQuinze
2493402405; APARTMENT; UNIT; BR; Jacareí; SP; Avenida Malek Assad; BR>Sao Paulo>NULL>Jacarei>Barrios>Jardim Santa Maria; Jardim Santa Maria; RESIDENTIAL; 0; 76; Comprar; 245000; 0; 1; 2; 3; 410; 12328080; Conheça o Condomínio Torri Di Siena e saia do aluguel!<br><br>- Ótima localização<br>- Estrutura de lazer para todas as idades<br>- Condomínio fechado com segurança<br>- 3 dormitórios, 76m², 2 vagas, terraço<br>- Lazer completo<br>- Piscina adulto e infantil<br>- Campo de futebol<br>- Playground<br>- Brinquedoteca<br>- Academia<br>- Churrasqueira<br>- Lindo paisagismo<br><br>Saiba mais: https://condominiotorridisiena.com.br<br><br>*ÚLTIMAS UNIDADES*; CS:Padaria Pão e Vinho, CS:Padaria pão e vinho, CS:Senhor do Café, CS:Padaria e Confeitaria Paris, PH:DorogaQuinze, PH:Droga Raia, CH:Bonanomi, SC:Riachuello, SC:Jô Calçados, SC:Shibata
2492316898; APARTMENT; UNIT; BR; Jacareí; SP; ; BR>Sao Paulo>NULL>Jacarei>Barrios>Jardim Santa Maria; Jardim Santa Maria; RESIDENTIAL; 0; 54; Comprar; 160000; 1; 0; 1; 2; 288; 12328300; O apartamento está localizado no bairro Jardim Santa Maria com 54 m2, com 2 quartos e 1 banheiro, sala de estar, lavanderia, sacada, garagem com 1 vaga descoberta, gás canalizado, segurança eletrônica, câmeras com acesso interno pelo apartamento.<br>Faça uma visita sem compromisso, entre em contato hoje mesmo, aproveite a oportunidade.<br>As informações poderão ser alteradas sem aviso prévio.; CS:SeteExpress, PH:FarMais, PH:DorogaQuinze, BR:Dutra Grill
2488594472; APARTMENT; UNIT; BR; Jacareí; SP; Avenida Carlos Drummond de Andrade; BR>Sao Paulo>NULL>Jacarei>Barrios>Jardim Santa Maria; Jardim Santa Maria; RESIDENTIAL; 73; 73; Comprar; 270000; 1; 1; 2; 2; 460; 12328150; OPORTUNIDADE!!!!<br><br>Apartamento com 2 dormitórios, sendo 1 suíte, cozinha americana, sala de estar, sala de jantar, lavanderia, garagem para 1 carro, sacada com churrasqueira e pia. Com vista para a rua.<br><br>Estrutura do prédio: térreo, hall de entrada, academia, salão de jogos, salão de festas, sistema de gás encanado, água e energia elétrica individualizados, elevador, portões automatizados. <br><br>Avalio, carro, moto, terreno no negocio<br><br>Localização - Localizado em uma das principais avenidas do bairro, a 5 minutos da rodovia Presidente Dutra, a 10 minutos do centro da cidade, a 10 minutos de São José dos Campos, próximo a comércios em geral, o bairro Santa Maria é um dos melhores bairros da cidade para se morar. <br><br>Venha se surpreender!!!<br><br>vila branca #villa Branca # Loteamento #varanda gourmet #parcelado #sem divida #oportunidade #centro #são paulo #dutra #rodoviária #carro #moto #santa maria #sacada #churrasqueira<br><br>Vendas: Ideal Vale Imóveis Vinícius Pereira C -; CS:SeteExpress, PH:FarMais, PH:DorogaQuinze
2479325044; APARTMENT; UNIT; BR; Jacareí; SP; Avenida Malek Assad; BR>Sao Paulo>NULL>Jacarei>Barrios>Jardim Santa Maria; Jardim Santa Maria; RESIDENTIAL; 77; 77; Comprar; 245000; 2; 1; 2; 3; 410; 12328080; Apartamento no condomínio fechado Torre di Siena no Jardim Santa Maria!<br>São 3 dormitórios, sendo 1 suíte, 77m², planta bem distribuída, 2 vagas de garagem (1 coberta);<br>Apartamento com piso laminado, banheiros com box e pintura nova, venha conferir!<br>Condomínio muito bem planejado com vários itens de lazer como:<br>-Piscinas Adulto e Infantil, Salão de festas, brinquedoteca, academia, campo de futebol e 2 churrasqueiras.<br><br>Excelente localização, à 3 minutos do Centro de Jacareí, à 3 minutos da Via Dutra Sentido São Paulo ou SJCampos.<br>Taxa condominial, incluso consumo de agua, portaria presencial 24 h, sistema de segurança com cerca elétrica, concertina e câmeras em todo condomínio, 1 elevador, incluso fundo de reserva.<br>Agende sua visita!! <br>Realizar seu sonho ou a realização do melhor investimento, é o nosso objetivo!!<br>Vendas: i9vale Imóveis - Creci: 32.655J, a sua imobiliária em SJC | Imóveis únicos em São José dos Campos, Jacareí, Taubaté, caraguatatuba e Região do -; CS:Padaria Pão e Vinho, CS:Padaria pão e vinho, CS:Senhor do Café, CS:Padaria e Confeitaria Paris, PH:FarMais, PH:DorogaQuinze, CH:Bonanomi, SC:Riachuello, SC:Jô Calçados, SC:Shibata
2497517244; HOME; UNIT; BR; Jacareí; SP; ; BR>Sao Paulo>NULL>Jacarei>Barrios>Jardim Santa Maria; Jardim Santa Maria; RESIDENTIAL; 0; 150; Comprar; 350000; 2; 0; 2; 2; 0; 12328380; **Linda Casa no Jardim Santa Maria - Jacarei<br> *02 Dormitórios<br> *01 Escritório (Pode usar como 1 Quarto )<br> *Sala de TV<br> *Sala de Jantar <br> *Cozinha Americana com Armários Planejado<br> *02 Banheiros (1 com box) <br> *Lavanderia <br> *Quintal Amplo<br> *Garagem Para 2 Carros (Sendo 1 Coberto) <br> *Churrasqueira <br> *Portão Automático <br> **Próximo de Restaurantes, Mercado e Comércios** <br><br>Gni Aqua Negócios Imobiliários Ltda. EPP - CRECI 034827- J; CS:Padaria pão e vinho, CS:Padaria Pão e Vinho, CS:Senhor do Café, PH:FarMais, PH:DorogaQuinze
2497480142; APARTMENT; UNIT; BR; Jacareí; SP; Avenida Malek Assad; BR>Sao Paulo>NULL>Jacarei>Barrios>Jardim Santa Maria; Jardim Santa Maria; RESIDENTIAL; 76; 76; Comprar; 239000; 2; 1; 1; 3; 400; 12328080; Apartamento para Venda Pronto para Morar, Torri Di Siena no bairro Jardim Santa Maria, Jacareí / SP, ponto de referência Posto BR Santa Maria.<br><br>Com 3 dormitórios, sendo 1 suíte, possui 2 banheiros, 2 vagas de garagem, 2 salas, localizado em condomínio.<br><br>Área 76,00 m²<br><br>Valor do Imóvel R$ 239.000,00, Valor do Condomínio R$ 396,00.<br><br>Acabamentos: Piso Laminado.<br><br>Características: 1 Vaga Coberta e 1 Vaga Descoberta, Varanda.<br><br>Cômodos: Área de Serviço, Cozinha.<br><br>Infraestrutura: Vagas Visitantes.<br><br>Lazer: Academia, Àrea Gourmet, Brinquedoteca, Campo de Futebol, Churrasqueira no Condomínio, Piscina Adulto, Piscina Infantil, Play Ground, Sala de Jogos, Salão de Festas.<br><br>Proximidades: Bares e Restaurantes, Escola, Farmácia, Supermercado, Hospital / PS, Padaria, Praça / Parque.<br><br>Segurança: Portaria 24h.<br><br>NÃO AVALIA PERMUTA / NÃO AVALIA CARRO COMO PARTE DE PAGAMENTO<br>ACEITA FGTS / FINANCIAMENTO BANCÁRIO -; CS:Padaria Pão e Vinho, CS:Padaria pão e vinho, CS:Senhor do Café, CS:Padaria e Confeitaria Paris, PH:FarMais, PH:DorogaQuinze, CH:Bonanomi, SC:Riachuello, SC:Jô Calçados, SC:Shibata
2482748274; TWO_STORY_HOUSE; UNIT; BR; Jacareí; SP; ; BR>Sao Paulo>NULL>Jacarei>Barrios>Jardim Santa Maria; Jardim Santa Maria; RESIDENTIAL; 0; 180; Comprar; 385000; 2; 1; 3; 3; 600; 12328110; Sobrado Condomínio Village de France com 03 quartos sendo 1 suíte com closet, 02 salas, sendo 01 no andar térreo e outra no andar de cima com cerca de 4 x 6m. Planejadas na cozinha, área de serviço, garagem, salas e quartos.Área de churrasco na garagem.<br>A entrada social do Sobrado pelo "Boullevard" de 100 m de extensão x 20m de largura (medidas aproximadas), todo ajardinado e com iluminação noturna, Portaria com segurança 24 horas, Piscina para adultos e crianças, Salão de festas, churrasqueira, playground, quadra poliesportiva. O acesso às garagens dos sobrados se dá pela parte posterior da casa em ruas laterais individuais para cada bloco de 20 casas, Condomínio com 40 casas<br>Faça uma visita sem compromisso, entre em contato hoje mesmo, aproveite a oportunidade.; CS:Padaria pão e vinho, CS:Padaria Pão e Vinho, CS:Senhor do Café, CS:Padaria e Confeitaria Paris, PH:Droga Raia, PH:DorogaQuinze, CH:Bonanomi, SC:Shibata, SC:Riachuello, SC:Jô Calçados
2475468582; HOME; UNIT; BR; Jacareí; SP; ; BR>Sao Paulo>NULL>Jacarei>Barrios>Jardim Santa Maria; Jardim Santa Maria; RESIDENTIAL; 220; 220; Comprar; 400000; 4; 3; 4; 4; 0; 12328240; Linda casa Santa Maria em Jacarei <br><br>- 4 Dorm, 3 suites <br>- 3 Salas com porcelanatos <br>- Cozinha planejada <br>- 4 vagas de garagem cobertas <br>- Portao eletronico<br>- Quintal grande<br>- 372 m de terreno<br>- 220 m de construcao <br><br>Proximo ao centro<br>- Aceita carro, casa ou terreno na cidade, como parte de pagamento Desde que seja ate a 40% do valor do imovel<br>- Imovel atualmente alugo ate Fevereiro de 2019<br>- Otimo para investidor <br><br>Agende sua visita; CS:Padaria pão e vinho, CS:Padaria Pão e Vinho, CS:Senhor do Café, PH:Droga Raia, PH:DorogaQuinze
2483443490; TWO_STORY_HOUSE; UNIT; BR; Jacareí; SP; ; BR>Sao Paulo>NULL>Jacarei>Barrios>Jardim Santa Maria; Jardim Santa Maria; RESIDENTIAL; 170; 95; Comprar; 372000; 2; 2; 2; 2; 360; ; Já pensou morar em um condominio com área de lazer completa?<br>Então não peca esta chance!<br>Sobrado com 94,56m² de área útil de puro charme, acabamento sublime, cozinha toda planejada, quintal com churrasqueira e muito mais, para total conforto de sua familia.Quer saber mais informações,?<br>Ligue e agende sua visita.; CS:Padaria Pão e Vinho, CS:Padaria pão e vinho, PH:FarMais, PH:DorogaQuinze
