IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2499136028; HOME; UNIT; BR; Barueri; SP; Rua Francisco Coelho; BR>Sao Paulo>NULL>Barueri>Barrios>Jardim Silveira; Jardim Silveira; RESIDENTIAL; 350; 128; Comprar; 640000; 2; 0; 3; 4; 0; 06434040; Próximo aos Maiores 5 Supermercado, Assai, Roldão, Lopes, Atacadão, Cartório, Posto de Gasolina e Padaria.<br>Estação de Trem no Máximo 07 a 10 Minutos a pé.<br>3 Minutos de Carro ao Pronto Socorro.<br>Casa de 10 Cômodos, Sendo 4 Quartos e 3 Salas + Sala de Jantar + Garagem para 2 Carros. Quintal de 15 MT, 03 Banheiros. Sistema de Câmeras de Segurança, Portão Automático e Corredor Interno<br><br>Mais informações em www.suitimoveis.com.br; BS:Plataforma F, TS:Jardim Silveira, TS:Jardim Belval, TS:Jandira, PH:Farmácia Municipal, VP:Centro Veterinário Buenovet
2494933274; TWO_STORY_HOUSE; UNIT; BR; Barueri; SP; Rua Marcos Geraldo Vaz; BR>Sao Paulo>NULL>Barueri>Barrios>Jardim Silveira; Jardim Silveira; RESIDENTIAL; 140; 184; Comprar; 299000; 1; 0; 2; 2; 0; 06434140; Trata-se de um excelente sobrado à venda, são 183,62 m², possui 02 dormitórios, 01 banheiro, 01 lavabo, sala, cozinha, despensa, área de serviço, escritório ou quarto de hospedes, e 01 vaga de garagem coberta.<br><br>Localização estratégica, próximo ao centro de Barueri, fácil acesso a Estrada Velha de Itapevi, Romeiro e Castelo Branco. Conta ainda com ótima infraestrutura da região de Barueri com shoppings, bancos, excelentes restaurantes, supermercados, hospitais e farmácias.<br><br>Suporte completo desta imobiliária no seu processo de aquisição.<br><br>Valor de Venda: R$ 299.000,00 (duzentos e noventa e nove mil reais).<br>Valor do IPTU Anual: R$ 400,00 (quatrocentos reais).<br><br>Agende a sua visita e confira!<br>Para mais informações e consulta de disponibilidade entre em contato.<br><br>Ao ligar mencione a referência: SO0105<br><br>1 1 - 2 6 8 0 - 7 8 1 1<br>1 1 - 9 4 0 1 3 5 1 9 9<br>1 1 - 9 8 1 2 6 - 0 2 2 3 WhatsApp<br><br>Almeida Titto - Inteligência Imobiliária!<br>CRECI: 28.947 J -; BS:Plataforma F, TS:Jardim Silveira, TS:Jandira, TS:Jardim Belval, VP:Centro Veterinário Buenovet, CH:Unidade Básica de Saúde Hélio Berzaghi
2491057985; HOME; UNIT; BR; Barueri; SP; Rua Francisco Coelho; BR>Sao Paulo>NULL>Barueri>Barrios>Jardim Silveira; Jardim Silveira; RESIDENTIAL; 350; 127; Comprar; 680000; 2; 1; 3; 4; 0; 06434040; IMÓVEL COM 04 DORMITÓRIOS,04 SALAS, 03 BANHEIROS E 02 VAGAS DE GARAGEM, QUINTAL COM 15 M², PORÃO COM 20 M², SISTEMA DE CÂMARA. COM ÓTIMA LOCALIZAÇÃO PRÓXIMO AO TERMINAL RODOVIÁRIO, GINÁSIO DE ESPORTE E VÁRIOS COMÉRCIOS. FÁCIL ACESSO AS PRINCIPAIS VIAS DA CIDADE. ~/;; BS:Plataforma F, TS:Jardim Silveira, TS:Jardim Belval, TS:Jandira, PH:Farmácia Municipal, VP:Centro Veterinário Buenovet
2497817692; HOME; UNIT; BR; Barueri; SP; Avenida Presidente Kennedy; BR>Sao Paulo>NULL>Barueri>Barrios>Jardim Silveira; Jardim Silveira; RESIDENTIAL; 266; 266; Comprar; 650000; 2; 0; 4; 3; 0; 06433040; * Imóvel com excelente distribuição no bairro Jardim Silveira em Barueri SP.<br><br>RESIDENCIAL / COMERCIAL<br><br>Localizado em ponto estratégico do bairro, onde destacam-se o Mercado Atacadão, Assai, Roldão e Paraná Atacadista, a 5 minutos da estação CPTM, com fácil acesso a linhas de ônibus. Ao lada da praça Municipal com quadra, brinquedos e aparelhos modernos de ginasticas, em frente área florestal de preservação militar.<br><br>- Área Terreno: 10 x 13.10=131mm²<br>- Construção: 266m²<br><br>* Casa em ótimo estado de conservação, assim se descreve:<br>- 03 dormitórios, 04 banheiros, 01 sala estar, 01 sala jantar, 01 cozinha com 02 espaços, 01 lavanderia, 01 área de serviço, 02 Vagas, 01 quarto para ferramentas na laje e varanda de 50m² com churrasqueira e bela paisagem.<br><br>* CONDIÇÕES ESPECIAIS:<br>- Estudamos permuta por imóvel no Bethaville, ou no condomínio Inspire Brisas / Águas <br><br>Valor de venda: R$ 650.000,00<br><br>* AGENDE SUA VISITA COM O CONSULTOR ESPECIALISTA<br><br>Para mais informações, consulta de disponibilidade e agendamento de visita entre em contato:<br><br>Consultor especialista Marzino Creci SP 175820<br>1 1 9 5 4 4 4 - 8 8 0 7<br><br>* Imagens do imóvel à venda. <br>* Não será entregue com mobília e eletrodomésticos.<br>* Preços promocionais válidos por tempo limitado, confirmar as condições com o consultor<br><br>Características do imóvel<br>Área de serviço<br>Churrasqueira<br>Cozinha<br>Sala de estar<br>Sala de jantar<br>Varanda<br><br>Mais informações em www.marzinoimoveis.com.br; BS:Plataforma F, TS:Jardim Silveira, TS:Jardim Belval, TS:Jandira, TS:Barueri, PH:Farmácia Municipal, VP:Centro Veterinário Buenovet
2498433420; HOME; UNIT; BR; Barueri; SP; Avenida Vinte e Seis de Março; BR>Sao Paulo>NULL>Barueri>Barrios>Jardim Silveira; Jardim Silveira; RESIDENTIAL; 240; 240; Comprar; 730000; 2; 2; 5; 3; 0; 06401050; Lindo sobrado em Barueri, todo planejado, com 3 dormitórios, sendo 2 suítes com closet no principal, duas salas, wc social, lavabo, cozinha toda planejada,<br>despensa, lavanderia, churrasqueira, quintal e duas vagas de garagem coberta. <br>O terreno com 125 m² e área construída de 240 m². <br>Fica a 500 m da estação de trem do Jardim Silveira.<br>Documentação ok, aceita financiamento.<br>Aceita permuta por imóvel até metade do valor.<br>Agilize o atendimento pelo WhatsApp: com Edson. - Atualizado em: -; BS:Parada de Ônibus Municipal, TS:Barueri, TS:Jardim Belval, TS:Parada de Ônibus Municipal, CS:Padaria Trellis, PH:Farmácia Municipal
2443809401; CONDOMINIUM; UNIT; BR; Barueri; SP; Rua Elias Kraide; BR>Sao Paulo>NULL>Barueri>Barrios>Jardim Silveira; Jardim Silveira; RESIDENTIAL; 320; 193; Comprar; 565000; 2; 1; 2; 3; 0; 06433260; Sobrado em Barueri Jd. Silveira<br><br> 3 dormitórios, 1 suíte, 2 banheiros, sala de estar e jantar 2 ambientes, cozinha espaçosa com bom acabamento, quintal com jardim, lavanderia e garagem c/ 2 vagas.<br>Localizado em um Bairro Tradicional, de Barueri, Cercado de Importantes Vias de Acesso, como Rodovia Castelo Branco e Rodoanel Mario Covas. Além disso, a região oferece aos seus Moradores Fácil Acesso ao Transporte Público, Próximo à Estação da CPTM e Á Diversos Estabelecimentos Comerciais como Padarias, Lojas de Rua, Escolas, Hospitais, Farmácias, Bancos, Hipermercado, e Shopping Center.<br><br>Os preços, valores e caraterísticas exibidos poderão sofrer mudanças sem aviso prévio, por este motivo todas as informações deverão ser confirmadas pelo departamento comercial. -; BS:Plataforma F, TS:Jardim Silveira, TS:Jandira, TS:Jardim Belval, PH:Farmácia Municipal, VP:Centro Veterinário Buenovet
2478492520; HOME; UNIT; BR; Barueri; SP; Rua Elias Kraide; BR>Sao Paulo>NULL>Barueri>Barrios>Jardim Silveira; Jardim Silveira; RESIDENTIAL; 125; 125; Comprar; 450000; 2; 1; 1; 1; 0; 06433260; ( 16 / 10 )Otima localizacao !!!!!!!!em frente ao terminal <br>01 suite, sala p/ 02 ambts c/ sacada, coz, wc, area de servico, quintal e garagem p/ 02 autos. aceita carro como parte de pagamento.; BS:Plataforma F, TS:Jardim Silveira, TS:Jandira, TS:Jardim Belval, PH:Farmácia Municipal, VP:Centro Veterinário Buenovet
2487942001; HOME; UNIT; BR; Barueri; SP; Avenida Presidente Washington Luiz; BR>Sao Paulo>NULL>Barueri>Barrios>Jardim Silveira; Jardim Silveira; RESIDENTIAL; 300; 284; Comprar; 550000; 2; 0; 2; 2; 370; 06434000; A Casa no bairro Jardim Silveira com 284 metros quadrados com 2 quartos e 2 banheiros, terreno plaino. Bem localizada, a 10 minutos à pé da Estação de trem e 02 minutos de ponto de ônibus, próximo a farmácia, padaria e hipermercados, rua larga, próxima ao futuro Centro Esportivo de Barueri. No quintal existe ainda, mais 02 casas, sendo no fundo casa com: 01 quarto, sala/cozinha e 01 banheiro; outra de 02 quartos, 01 sala, 01 cozinha e banheiro.; BS:Plataforma F, TS:Jardim Silveira, TS:Jandira, TS:Jardim Belval, CH:Unidade Básica de Saúde Hélio Berzaghi, VP:Centro Veterinário Buenovet
2443804024; HOME; UNIT; BR; Barueri; SP; Rua Francisco Coelho; BR>Sao Paulo>NULL>Barueri>Barrios>Jardim Silveira; Jardim Silveira; RESIDENTIAL; 350; 370; Comprar; 639000; 2; 0; 3; 4; 0; 06434040; Casa à Venda Jd Silveira em Barueri<br><br>10 cômodos, sendo 4 quartos, 3 salas + sala de jantar<br>3 banheiros<br>garagem para 2 carros<br>quintal de 15 m²<br>porão 20 m²<br><br>possui sistema de câmeras de segurança, portão automático<br><br>Ótima localização próximo a 5 supermercado. Assai, Roldão, Lopes, Paranaense Atacadão, Cartório, Posto de Gasolina e Rodoviária, Estação de trem. <br><br>Os preços, valores e caraterísticas exibidos poderão sofrer mudanças sem aviso prévio, por este motivo todas as informações deverão ser confirmadas pelo departamento comercial. -; BS:Plataforma F, TS:Jardim Silveira, TS:Jardim Belval, TS:Jandira, PH:Farmácia Municipal, VP:Centro Veterinário Buenovet
2482725125; HOME; UNIT; BR; Barueri; SP; Rua Manoel Marçal Lopes; BR>Sao Paulo>NULL>Barueri>Barrios>Jardim Silveira; Jardim Silveira; RESIDENTIAL; 125; 240; Comprar; 670000; 2; 2; 2; 3; 0; 06434030; ESTUDA PERMUTA!!! POR APARTAMENTO ATÉ 50% DO VALOR<br>Casa com 3 dormitórios (2 suítes, 1 com closet)<br>Área do terreno 125m²<br>Área construída 240m²<br>2 vagas cobertas<br>Sala de jantar<br>Sala de estar<br>Lavabo<br>2 wc<br>Cozinha planejada<br>Despensa<br>Lavanderia<br><br>MÓVEIS PLANEJADOS: cozinha, closet e um dos dormitórios.<br><br>LOCALIZAÇÃO: 5,0KM do centro de Barueri, próximo estação CPTM Jd, Silveira, mercados Atacadão, Assaí, Roldão, Lopes. -; BS:Plataforma F, TS:Jardim Silveira, TS:Jardim Belval, TS:Jandira, PH:Farmácia Municipal, VP:Centro Veterinário Buenovet
