IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2495225406; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Rua Sinfonia Italiana; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Sao Bernardo; Jardim São Bernardo; RESIDENTIAL; 232; 55; Comprar; 370000; 2; 1; 2; 3; 300; 04844610; O sobrado no bairro Jardim dos Manacás tem 55 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros,2 vagas, codomino com total segurança e conforto Residencial Palmares.<br>Casa localizada a 5 minutos da Estação Mendes Vila natal da linha 9 Esmeralda da CPTM<br><br>Vai lhe possibilitar desfrutar de seu próprio quintal.; BS:6063-10, BS:6960-10, BS:6072-10, BS:6056-10/41, BS:6003-10, TS:Dos Mendes C/B, TS:Dos Mendes B/C, TS:Hans Christian Andersen B/C, TS:Hans Christian Andersen C/B, TS:Luís Rota C/B, CS:C A Ferreira Paes Ultracongelados, CH:Unidade Básica de Saúde Integrada Jardim Campinas
2498490199; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Sao Bernardo; Jardim São Bernardo; RESIDENTIAL; 120; 120; Comprar; 410000; 2; 1; 2; 3; 330; ; Casa para venda no Condomínio Residencial Palmares, sobrado com 120m² de área útil, 3 dormitórios (1 suíte), 2 banheiros (1 lavabo), sala, cozinha, sacada, área de serviço e 2 vagas de garagem. <br>Condomínio em ótimo estado, conta com excelente infraestrutura: Portaria e Segurança 24h, quadra poliesportiva, 1 lindo salão de festa, salão de jogos, churrasqueira, jardim e playground moderno para as crianças.<br>Situado na zona sul de São Paulo, ao lado da futura estação Mendes-Vila Natal da CPTM e a 10 minutos da estação/terminal Grajaú. Região repleta de comércios, escolas públicas e particulares, excelente acessibilidade, Mercado Extra e Posto de combustível na porta do condomínio.<br>Aceita financiamento e FGTS<br> - Verificado:; BS:6056-10/41, BS:Jardim Itajaí - 6051-10/ 6051-31, BS:6960-10, BS:6063-10, BS:6072-10, TS:6056-10/41, TS:Dos Mendes B/C, TS:Dos Mendes C/B, TS:Luís Rota B/C, TS:Luís Rota C/B, CS:C A Ferreira Paes Ultracongelados, SC:Bazar da Bél, SC:Esquina da Madeira, SC:Auto Câmbios Maninho
2465348782; APARTMENT; UNIT; BR; São Paulo; SP; Rua Giuseppe Tartini; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Sao Bernardo; Jardim São Bernardo; RESIDENTIAL; 50; 50; Comprar; 225000; 1; 0; 1; 2; 280; 04844300; Excelente oportunidade, Apartamento de frente para área arborizada. Possuí 2 dormitórios com armários planejados um dos dormitórios possui closet, banheiro com armário planejado e box, área de serviço (Falta azulejar), cozinha com exaustor e armários planejados de madeira, todas as janelas possuem rede de proteção para crianças. Próximo da futura estação Mendes da CPTM com previsão de entrega para janeiro/2021.; BS:6056-10/41, BS:PMV - 31, BS:Desembarque - Terminal Grajaú, BS:R. Eugênio Guidugli 212, BS:R. Eugênio Guidugli 235, TS:Luís Rota B/C, TS:Luís Rota C/B, TS:Hiláirio B/C, TS:Hiláirio C/B, TS:Parque Grajaú, PH:Droga Mix, SC:Esquina da Madeira, SC:Auto Câmbios Maninho, SC:Terminal Grajaú, SC:Supermercado Rei do Gado, SC:Supermercado Gualtieri
2464058376; APARTMENT; UNIT; BR; São Paulo; SP; Rua Giuseppe Tartini; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Sao Bernardo; Jardim São Bernardo; RESIDENTIAL; 52; 52; Comprar; 225000; 1; 0; 1; 2; 380; 04844300; -; BS:6056-10/41, BS:Jardim Itajaí - 6051-10/ 6051-31, BS:PMV - 31, BS:Desembarque - Terminal Grajaú, TS:Luís Rota B/C, TS:Luís Rota C/B, TS:Dos Mendes B/C, TS:Dos Mendes C/B, TS:Hiláirio C/B, PH:Droga Mix, SC:Esquina da Madeira, SC:Auto Câmbios Maninho, SC:Terminal Grajaú, SC:Bazar da Bél
2486955755; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Sao Bernardo; Jardim São Bernardo; RESIDENTIAL; 58; 58; Comprar; 209000; 1; 0; 1; 2; 370; ; APARTAMENTO PARA VENDA EM FRENTE ESTAÇÃO CPTM CONDOMINIO PALMARES 2 QUARTOS REFORMADO 1 VAGA; BS:6056-10/41, BS:Jardim Itajaí - 6051-10/ 6051-31, BS:6960-10, BS:6063-10, BS:6072-10, TS:6056-10/41, TS:Dos Mendes B/C, TS:Dos Mendes C/B, TS:Luís Rota B/C, TS:Luís Rota C/B, CS:C A Ferreira Paes Ultracongelados, SC:Bazar da Bél, SC:Esquina da Madeira, SC:Auto Câmbios Maninho
2460685897; APARTMENT; UNIT; BR; São Paulo; SP; Rua Giusepe Tartini; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Sao Bernardo; Jardim São Bernardo; RESIDENTIAL; 50; 50; Comprar; 254000; 1; 0; 1; 2; 300; 04844300; Ref 1551<br><br>Apartamento para venda no Condomínio Palmares, no Jardim São Bernardo, situado a 15 minutos do transporte publico (Terminal Grajaú), com obras em andamento para a nova estação da linha Esmeralda da CPTM. Ao lado do Supermercado Extra, conta com diversos estabelecimentos comerciais nas proximidades. O Condomínio possui 1 ginásio poliesportivo, 1 quadra poliesportiva, 1 churrasqueira, 2 salões de festa, 1 quadra de areia, 1 campo de futebol, 1 pista de skate, 2 playgrounds, pista de cooper, segurança 24 horas e controle de acesso nas portarias. O apto possui 50m², 2 dormitórios, sala com 2 ambientes, cozinha, área de serviço e banheiro. <br><br> <br>Valor para venda: R$254.000,00<br><br><br><br><br><br><br><br><br><br><br>A QUEIROZ &amp; PIMENTEL IMÓVEIS acompanha seu financiamento nas principais<br><br>instituições bancárias até o processo finalizar no Cartório de Registro de<br><br>Imóveis.<br><br><br><br><br><br>***Agende sua visita com a QUEIROZ &amp;<br><br>PIMENTEL IMÓVEIS!! <br><br><br><br><br><br>http://www.queirozepimentelimoveis.com.br/<br><br><br><br> <br><br><br><br><br><br> <i>As informações estão sujeitas a alterações. Consulte o corretor responsável.</i> <br><br><br>Chave do anúncio: ozEMY3EGuh2funxI; BS:PMV - 31, BS:6056-10/41, BS:Desembarque - Terminal Grajaú, BS:R. Eugênio Guidugli 212, BS:R. Eugênio Guidugli 235, TS:Luís Rota B/C, TS:Hiláirio B/C, TS:Hiláirio C/B, TS:Luís Rota C/B, TS:Parque Grajaú, PH:Droga Mix, SC:Esquina da Madeira, SC:Auto Câmbios Maninho, SC:Terminal Grajaú, SC:Supermercado Rei do Gado, SC:Supermercado Gualtieri
2499138960; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Sao Bernardo; Jardim São Bernardo; RESIDENTIAL; 50; 50; Comprar; 265000; 1; 0; 1; 2; 330; ; Excelente apartamento à venda no Jardim são Bernardo com 50m² - Possui 2 dormitórios, sala,cozinha, W.C, área de serviço e 1 vaga de garagem. Ótimo acabamento e em perfeito estado de conservação. <br>Condomínio Residencial Palmares conta com excelente infraestrutura: Portaria e Segurança 24h, câmeras e catracas eletrônicas para controle de acesso. Muita área verde e paisagismo. Ginásio poliesportivo com atividades como ginástica, dança, feira de artesanatos e eventos festivos, feira livre interna às sextas-feiras, quadras poliesportivas com aulas de tênis, campo de futebol, 2 lindos salões de festas, churrasqueiras, pista para skate/patins, 2 academias ao ar livre, pista de cooper e dois playgrounds modernos para as crianças.<br>Situado na zona sul de São Paulo, ao lado da futura estação Mendes-Vila Natal da CPTM e a 10 minutos da estação/terminal Grajaú. Região repleta de comércios, escolas públicas e particulares, excelente acessibilidade, Mercado Extra e Posto de combustível na porta do condomínio.<br>Aceita financiamento e FGTS<br> - Verificado:; BS:6056-10/41, BS:Jardim Itajaí - 6051-10/ 6051-31, BS:6960-10, BS:6063-10, BS:6072-10, TS:6056-10/41, TS:Dos Mendes B/C, TS:Dos Mendes C/B, TS:Luís Rota B/C, TS:Luís Rota C/B, CS:C A Ferreira Paes Ultracongelados, SC:Bazar da Bél, SC:Esquina da Madeira, SC:Auto Câmbios Maninho
2453523108; CONDOMINIUM; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Sao Bernardo; Jardim São Bernardo; RESIDENTIAL; 250; 250; Comprar; 424000; 1; 1; 2; 3; 315; 04844300; Sobrado no Condomínio Palmares<br><br>3 Dorms. (sendo todos com acesso a sacada e outro ao quintal dos fundos), 2 banheiros e um lavabo, copa (que acomoda uma mesa de 8 lugares), cozinha planejada, quarto de empregada, churrasqueira, lavanderia e garagem coberta para um carro.<br><br>Condomínio fechado com portaria e segurança 24h, playground, salão de festa, churrasqueiras, pista de skate e quadra poliesportiva.<br>Ao redor, pode-se encontrar comércios como o supermercado Extra, padaria, escolas, farmácias, conduções de fácil acesso e futura estação Mendes da CPTM Linha 9 - esmeralda.<br>IPTU ISENTO<br>Aceita-se financiamento<br><br>Valor da venda: R$424.000,00 - Utilize seu FGTS na compra, sem burocracia.<br><br>Financiamento em até 420 meses, limitado pela idade, com assessoria completa. Corretores profissionais com mais de 10 anos de mercado e especializados na região.<br><br>Agende já sua visita, não perca esta oportunidade!<br>Visitas somente com o corretor.<br><br>Five Imóveis<br>Avenida Interlagos, 1.717 - Interlagos<br>Imobiliária: ou (whatsapp) com Sonia.<br>Creci: 31.751-J -; BS:6056-10/41, BS:Jardim Itajaí - 6051-10/ 6051-31, BS:PMV - 31, BS:Desembarque - Terminal Grajaú, TS:Luís Rota B/C, TS:Luís Rota C/B, TS:Dos Mendes B/C, TS:Dos Mendes C/B, TS:Hiláirio C/B, SC:Esquina da Madeira, SC:Auto Câmbios Maninho, SC:Bazar da Bél, SC:Terminal Grajaú
2493949619; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Sao Bernardo; Jardim São Bernardo; RESIDENTIAL; 49; 49; Comprar; 240000; 1; 0; 1; 2; 350; ; @ Apartamento 2 dormitórios , rico em armários, wc social, sala em dois ambientes, cozinha com planejados, área serviço, garagem. Ótimo Lazer. <br>2 quartos, sendo um planejado. <br>Sala em 2 ambientes. <br>1 banheiro <br>Cozinha ( será entregue com os planejados da foto em cima da pia) <br>lavanderia bem arejada. <br>1 vaga coberta; BS:6056-10/41, BS:Jardim Itajaí - 6051-10/ 6051-31, BS:6960-10, BS:6063-10, BS:6072-10, TS:6056-10/41, TS:Dos Mendes B/C, TS:Dos Mendes C/B, TS:Luís Rota B/C, TS:Luís Rota C/B, CS:C A Ferreira Paes Ultracongelados, SC:Bazar da Bél, SC:Esquina da Madeira, SC:Auto Câmbios Maninho
2497717274; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Sao Bernardo; Jardim São Bernardo; RESIDENTIAL; 51; 51; Comprar; 240000; 1; 0; 1; 2; 0; ; " Apartamento com 2 dormitórios, sala, cozinha, banheiro com box, área de serviço, piso frio antigo, porem conservado. Próximo da estação Vila Natal, trêm, CPTM, ponto final de ônibus Vila Natal, São Bernardo, São José, supermercados, atacadistas, escolas, creches, bancos, faculdades, posto de saúde e etc.; BS:6056-10/41, BS:Jardim Itajaí - 6051-10/ 6051-31, BS:6960-10, BS:6063-10, BS:6072-10, TS:6056-10/41, TS:Dos Mendes B/C, TS:Dos Mendes C/B, TS:Luís Rota B/C, TS:Luís Rota C/B, CS:C A Ferreira Paes Ultracongelados, SC:Bazar da Bél, SC:Esquina da Madeira, SC:Auto Câmbios Maninho
