IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2492847021; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Sao Carlos; Jardim São Carlos; RESIDENTIAL; 127; 127; Comprar; 220800; 0; 0; 1; 1; 0; 08062300; .Área não averbada. Averbação por conta do comprador. COM AÇÃO JUDICIAL Nº 501..R SAO PEDRO JEQUITINHONHA,N. 290 LT 15 (P) QD X, JARDIM SAO CARLOS (ZONA LESTE) - CEP: 08062-300, SAO PAULO - SAO PAULO; BS:Avenida Paranagua, CS:Nova Rio D'Ouro, CS:Bom Dia Panificadora, CS:Padoca Belissima, CS:Fênix Casa de Pães, PH:Drogaria Nova Vida, PH:Mille Drogaria, CH:UBS Vila Ramos, CH:Posto de Saúde - Ubs Pedro de Souza Campos
2491033897; HOME; UNIT; BR; São Paulo; SP; Rua São Pedro Jequitinhonha; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Sao Carlos; Jardim São Carlos; RESIDENTIAL; 183; 183; Comprar; 220800; 2; 1; 2; 3; 0; 08062300; LEIA ATENTAMENTE A DESCRIÇÃO DO ANUNCIO.<br><br>Somos uma empresa credenciada junto CAIXA ECONOMICA FEDERAL, especializada na intermediação de venda dos imóveis de propriedade da CAIXA. Imóveis com até 60% desconto.<br><br>Se houver dívidas de condomínio e IPTU, tudo será pago pela CAIXA economica Federal até a data da aquisição do imóvel.<br>Para sua segurança possuímos um DEPARTAMENTO JURÍDICO para auxiliar do ínicio ao fim do processo.<br>NOSSA COMISSÃO será paga exclusivamente pela CAIXA economica Federal.<br>Não são permitidas visitas internas na maioria dos Imóveis CAIXA, pois muitas vezes encontram-se ocupados pelo antigo mutuário; <br>Se o imóvel estiver OCUPADO, fica de responsabilidade EXCLUSIVA do comprador a imissão da posse do imóvel, e negociação da saída do atual morador. NÃO aceita permuta, automóvel ou contraproposta sobre o valor anunciado;<br><br>Imóvel NÃO aceita utilização de FGTS.<br> Imóvel aceita financiamento habitacional.<br><br>Valores e disponibilidade Sujeitos a confi -; BS:Avenida Paranagua, CS:Nova Rio D'Ouro, CS:Bom Dia Panificadora, CS:Padoca Belissima, CS:Fênix Casa de Pães, CS:Padaria Flor do Imperador, PH:Drogaria Nova Vida, PH:Mille Drogaria, CH:UBS Vila Ramos, CH:Posto de Saúde - Ubs Pedro de Souza Campos
2492733798; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Sao Carlos; Jardim São Carlos; RESIDENTIAL; 85; 100; Comprar; 379000; 2; 1; 3; 3; 0; ; Ótimo sobrado bem localizado no Barrio São Carlos próximo de vários comércios da região, e com fácil acesso a transportes públicos e a AV. de grande movimento. Sobrado com um ótimo acabamento. Detalhes. 3 Dormitórios sendo suíte e com sacada, sala para 2 ambientes em porcelanato, 1lavabo, 2 banheiros, cozinha, área de serviço, quintal com ponto de churrasqueira, 2 vagas sendo uma coberta. Vale apena conhecer! Agende sua visita! Aceita financiamento com o seu FGTS. - Data da Atualização:; BS:Avenida Paranagua, CS:Nova Rio D'Ouro, CS:Bom Dia Panificadora, CS:Padoca Belissima, CS:Fênix Casa de Pães, PH:Drogaria Nova Vida, CH:UBS Vila Ramos, CH:Posto de Saúde - Ubs Pedro de Souza Campos
2497923266; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Sao Carlos; Jardim São Carlos; RESIDENTIAL; 127; 127; Comprar; 220800; 0; 0; 1; 1; 0; 08062300; .Área não averbada. Averbação por conta do comprador. COM AÇÃO JUDICIAL Nº 501..R SAO PEDRO JEQUITINHONHA,N. 290 LT 15 (P) QD X, JARDIM SAO CARLOS (ZONA LESTE) - CEP: 08062-300, SAO PAULO - SAO PAULO; BS:Avenida Paranagua, CS:Nova Rio D'Ouro, CS:Bom Dia Panificadora, CS:Padoca Belissima, CS:Fênix Casa de Pães, PH:Drogaria Nova Vida, PH:Mille Drogaria, CH:UBS Vila Ramos, CH:Posto de Saúde - Ubs Pedro de Souza Campos
2496389015; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Sao Carlos; Jardim São Carlos; RESIDENTIAL; 182; 182; Comprar; 220800; 2; 1; 2; 2; 0; 08062300; Ótimo para investimento e melhor para morar , compre um imóvel com o preço abaixo do valor de mercado, com a possibilidade de financiar 95% do valor e usar seu FGTS e começar a pagar a prestação em 180 dias após a assinatura do contrato , documentos ok , imóveis adjudicados da Caixa , uma oportunidade para você adquirir um imóvel e construir o seu patrimônio. <br><br> <br>Descrição:<br>2 quartos , 2 Vagas na Garagem, área de serviço, suite, WC, WC Emp, sala, cozinha.<br> <br><br>Esse imóvel encontra-se ocupado, se necessário temos departamento jurídico especializado para desocupação do imóvel, consulte o nosso jurídico! <br><br> <br><br> <br><br>OBS; VALORES E CONDIÇÕES SUJEITO A ALTERAÇÃO SEM PRÉVIO AVISO, IMAGENS ILUSTRATIVAS. <br><br> <br><br> <br><br>IMÓVEL MOEDA FORTE <br><br> <br><br>C.S.R de Andrade Imóveis a 18 anos intermediando imóveis adjudicados Caixa.<br><br>Fale conosco: -; BS:Avenida Paranagua, CS:Nova Rio D'Ouro, CS:Bom Dia Panificadora, CS:Padoca Belissima, CS:Fênix Casa de Pães, CS:Padaria Flor do Imperador, PH:Drogaria Nova Vida, PH:Mille Drogaria, CH:UBS Vila Ramos, CH:Posto de Saúde - Ubs Pedro de Souza Campos
2492325409; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Sao Carlos; Jardim São Carlos; RESIDENTIAL; 125; 125; Comprar; 330000; 2; 1; 4; 3; 0; ; Sobrado com três dormitórios, não é geminada , com duas salas, uma cozinha, lavanderia, quintal duas vagas de garagem.<br>Aceita financiamento, com terreno 5x25 (125) metros, próximo a Avenida Águia de Haia próximo ao MC Donalds da aguia de Haia, a 150 metros do terminal A.E.CArvalho. oportunidade. - Atualizado em: -; BS:Avenida Paranagua, CS:Nova Rio D'Ouro, CS:Bom Dia Panificadora, CS:Padoca Belissima, CS:Fênix Casa de Pães, PH:Drogaria Nova Vida, CH:UBS Vila Ramos, CH:Posto de Saúde - Ubs Pedro de Souza Campos
2486569580; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Sao Carlos; Jardim São Carlos; RESIDENTIAL; 140; 140; Comprar; 230000; 2; 1; 4; 4; 0; ; SOBRADO COM DUAS CASAS SENDO <br><br>1º CASA <br>3 DORMITÓRIOS SENDO 1 SUITE <br>SALA <br>2 BANHEIROS <br>ÁREA DE SERVIÇO<br>2 VAGAS <br><br>2ºCASA <br>1 DORMITÓRIO<br>SALA, COZINHA, BANHEIRO <br>ÁREA DE SERVIÇO <br>140 MTS <br> NÃO ACEITA FINANCIAMENTO <br> CDHU - Atualizado em: -; BS:Avenida Paranagua, CS:Nova Rio D'Ouro, CS:Bom Dia Panificadora, CS:Padoca Belissima, CS:Fênix Casa de Pães, PH:Drogaria Nova Vida, CH:UBS Vila Ramos, CH:Posto de Saúde - Ubs Pedro de Souza Campos
2460182475; HOME; UNIT; BR; São Paulo; SP; Rua Rosário de Dom Viçoso; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Sao Carlos; Jardim São Carlos; RESIDENTIAL; 125; 125; Comprar; 318000; 2; 1; 2; 3; 0; 08062250; Ao Lado do terminal A E Carvalho<br>Condução para o metrô Artur Alvim<br>Próximo ao Assai, Extra e MC Donald´s<br>Próximo a Escolas, Creches e AMA<br>Fácil acesso as principais Avenidas da região<br><br>3 Dormitórios sendo 1 Suíte<br>Sala para 2 Ambientes<br>Cozinha com Copa<br>2 Banheiros sendo 1 da suíte e 1 social<br>Lavanderia com quintal<br>2 Vagas de Garagem Coberta<br><br>Aceita Financiamento, FGTS e A Vista - Data da Atualização:; BS:Avenida Paranagua, CS:Nova Rio D'Ouro, CS:Bom Dia Panificadora, CS:Padoca Belissima, CS:Fênix Casa de Pães, PH:Drogaria Nova Vida, PH:Mille Drogaria, CH:Posto de Saúde - Ubs Pedro de Souza Campos, CH:UBS Vila Ramos
2485912163; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Rua Santa Rita do Jacutinga; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Sao Carlos; Jardim São Carlos; RESIDENTIAL; 75; 93; Comprar; 310000; 2; 2; 2; 2; 0; 08062260; Oportunidade sobrados novos, ambientes amplos arejados e iluminados, 02 dormitórios com suítes, 02 banheiros, lavabo, 02 vagas, área de serviço, escola, linha de ônibus para metrô fácil acesso as principiais vias rodoviárias, vários tipos de comércios e serviços. <br> <br>Agende sua visita: ou pelo site: www.pedrodelima.com.br <br> <br>Todas as informações e valores exibidos neste portal são fornecidos pelos proprietários dos imóveis podendo sofrer alterações sem aviso prévio. Consulte nossos consultores.; BS:Avenida Paranagua, CS:Nova Rio D'Ouro, CS:Bom Dia Panificadora, CS:Padoca Belissima, CS:Fênix Casa de Pães, PH:Drogaria Nova Vida, CH:Posto de Saúde - Ubs Pedro de Souza Campos, CH:UBS Vila Ramos
2498686221; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Rua São Pedro Jequitinhonha; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Sao Carlos; Jardim São Carlos; RESIDENTIAL; 84; 90; Comprar; 360000; 2; 1; 3; 3; 0; 08062300; -Excelente Sobrado com 3 dormitórios, sendo 1 suíte, sala, cozinha, 2 banheiros, lavabo, área de serviço, quintal e 2 vagas de garagem. <br>Localizado a 100m da Avenida Aguia de Haia, próximo ao Mc Donalds, supermercado dia, transporte público, vale a pena visitar. <br> <br>Agende sua visita: ou pelo site: www.pedrodelima.com.br <br> <br>Todas as informações e valores exibidos neste portal são fornecidos pelos proprietários dos imóveis podendo sofrer alterações sem aviso prévio. Consulte nossos consultores.; BS:Avenida Paranagua, CS:Nova Rio D'Ouro, CS:Bom Dia Panificadora, CS:Padoca Belissima, CS:Fênix Casa de Pães, PH:Drogaria Nova Vida, PH:Mille Drogaria, CH:UBS Vila Ramos, CH:Posto de Saúde - Ubs Pedro de Souza Campos
