IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2497969621; APARTMENT; UNIT; BR; Bragança Paulista; SP; ; BR>Sao Paulo>NULL>Braganca Paulista>Barrios>Jardim Sao Jose; Jardim São José; RESIDENTIAL; 2000; 1000; Comprar; 350000; 1; 1; 1; 1; 0; 12916400; LINDO RESIDENCIAL EM ESTILO LOFT - HOME , COM AMPLA ESTRUTURA EM ÁREA COMUM, CONTADO QUADRA DE BASQUETE, SALÃO DE FESTA, ACADEMIA, PLYAGROUND, PISCINA, PORTARIA 24h, AO LADO DA UNIVERSIDADE SÃO FRANCISCO, ENTRADA DA CIDADE LUGAR PRIVILEGIADO (ZONA SUL) CARTÃO DE VISITA DA CIDADE, FACIL ACESSO RAPIDO A RODOVIA FERNÃO DIAS (SP.MG,) EXCELENTE INVESTIMENTO - Observação: LAÇAMENTO, PROPORÇÃO AINDA MAIROES PARA INVESTIMENTO - Pontos Fortes: O MELHOR LUGA DA CIDADE, ROTAS DE ACESSO PARA GRANDES RODOVIAS, E GRANDES CIDADES - - Churrasqueira - Jardim - Piscina - Área de Serviço - Cozinha - Escritório - Bares e Restaurantes - Escola - Farmácia - Shopping Center - Supermercado; SU:Sebrae
2480119146; RESIDENTIAL_ALLOTMENT_LAND; UNIT; BR; Bragança Paulista; SP; Rua Arthur Siqueira; BR>Sao Paulo>NULL>Braganca Paulista>Barrios>Jardim Sao Jose; Jardim São José; RESIDENTIAL; 300; 300; Comprar; 170000; 0; 0; 0; 0; 0; 12916000; Lançamento de condomínio fechado de terrenos de alto padrão, em localização privilegiada de Bragança paulista,com lotes a partir de 300 m2 e valores a partir de 170.000. Desconto de 5% ao efetuar a compra.<br>Faculdade,escolas,supermercados e lago do Taboão localizados a 3 minutos do empreendimento.<br>Infraestrutura completa incluindo portaria, muramento, quadra poliesportiva, churrasqueira, forno de pizza, playground, espaço pet, mirante, trilhas e área verde.<br>Valores sujeitos a alteração da incorporadora -; BS:Terminal Rodoviário Urbano, TS:Terminal Rodoviário Urbano, BR:Komidaria, SU:Sebrae
2477867310; HOME; UNIT; BR; Bragança Paulista; SP; Avenida João Polidori; BR>Sao Paulo>NULL>Braganca Paulista>Barrios>Jardim Sao Jose; Jardim São José; RESIDENTIAL; 149; 172; Comprar; 288000; 2; 1; 2; 3; 0; 12916310; Sobrado com localização privilegiada, próximo de comércios e serviços, 3 dormitórios (sendo 1 suíte), sala com varanda, cozinha, garagem para 2 autos.<br>Agende uma visita! -; SU:Sebrae
2487536314; CONDOMINIUM; UNIT; BR; Bragança Paulista; SP; ; BR>Sao Paulo>NULL>Braganca Paulista>Barrios>Jardim Sao Jose; Jardim São José; RESIDENTIAL; 326; 119; Comprar; 550000; 2; 2; 2; 2; 500; ; LINDA CASA COM 2 SUÍTES À VENDA NO CONDOMÍNIO RESIDENCIAL BOUGAIN VILLE EM BRAGANÇA PAULISTA <br>AC= 119,36 M² AT= 326,36 M²<br>A casa dispõe de 2 Suítes com ar condicionado e móveis planejados, Sala de estar com ar condicionado, Banheiro social, Cozinha com armários, Sala de jantar, Espaço gourmet com Churrasqueira e Lavandaria com armários, 3 pavimentos, Garagem coberta para 2 carros<br>Condomínio residencial fechado com 16.644,10 m²; 55 residências; área privativa de 119,36 m²; 5.800 m² de área verde; localizado em área nobre da cidade; arquitetura contemporânea; área de lazer completa e segurança 24 horas; piscinas adulto e infantil; solarium; quadra poliesportiva; salão de jogos; 2 espaços gourmet; churrasqueiras; playground; estacionamento para visitantes; portaria automatizada monitorada 24 horas.; 
2494502620; APARTMENT; UNIT; BR; Bragança Paulista; SP; Avenida João Polidori; BR>Sao Paulo>NULL>Braganca Paulista>Barrios>Jardim Sao Jose; Jardim São José; RESIDENTIAL; 66; 66; Comprar; 330000; 2; 1; 2; 2; 0; 12916310; Super apartamento com duas vagas na garagem cobertas!<br><br>Uma suíte e mais um dormitório!<br><br>Prédio próximo a Universidade São Francisco, ideal para locação para médicos/enfermeiros.<br><br>Estuda troca em lotes em condomínio fechado! -; SU:Sebrae
2433007075; HOME; UNIT; BR; Bragança Paulista; SP; ; BR>Sao Paulo>NULL>Braganca Paulista>Barrios>Jardim Sao Jose; Jardim São José; RESIDENTIAL; 0; 70; Comprar; 360000; 2; 0; 0; 3; 0; ; Casa no Jardim São José com 03 dormitórios sendo um suite, todos com armário embutido. Sala dois ambientes, banheiro com box, cozinha com piso frio e revestimento até o teto, lavanderia, quintal e garagem para dois automóveis. Excelente oportunidade! Bairro de padrão médio alto, situado em região turística da cidade; próximo a Universidade, ao Lago do Taboão com excelente roteiro gastronômico, academias, Pet Shop, entre outros benefícios para você e sua família.; SU:Sebrae
2493610616; RESIDENTIAL_ALLOTMENT_LAND; UNIT; BR; Bragança Paulista; SP; ; BR>Sao Paulo>NULL>Braganca Paulista>Barrios>Jardim Sao Jose; Jardim São José; RESIDENTIAL; 300; 300; Comprar; 136530; 0; 0; 0; 0; 285; 12916000; Terrenos para venda no ILLE DE FRANCE em Bragança Paulista-SP <br><br><br>Excelente localização na zona sul, ao lado do Lago do Taboão.<br>Apenas 150 lotes, a partir de 300m²!<br>Murado e com portaria, infraestrutura completa, lazer e segurança em meio a muito verde.<br>Quadra poliesportiva, playground, área de churrasqueira e espaço pet.<br><br>Entrada mínima de 20% e saldo financiado direto com a construtora em até 60x.<br><br>Em condomínio muito bem planejado, ótima localização, próximo ao centro de Bragança Paulista,<br>próximo ao Lago do Taboão, com toda infra estrutura, junto ao comércio local com supermercados, escolas e Faculdade.<br><br>Agende sua visita.<br><br>Fale conosco: -; SU:Sebrae
2496234609; TWO_STORY_HOUSE; UNIT; BR; Bragança Paulista; SP; Rua Treze de Maio; BR>Sao Paulo>NULL>Braganca Paulista>Barrios>Jardim Sao Jose; Jardim São José; RESIDENTIAL; 280; 300; Comprar; 425000; 2; 1; 3; 3; 0; 12916020; Sobrado a venda no Jardim São José, Bragança Paulista, com 300,00m² de área construída, terreno com 280,00m², 3 dormitórios, sendo 01 suíte, quartos com varanda, portas balcão, piso porcelanato, escada de granito preto, sala ampla para 02 ambientes, estar e jantar, cozinha, área de serviço, 03 banheiros, quintal, corredor lateral, 02 vagas de garagem cobertas, edícula nos fundos. DOC. EM ORDEM, ACEITA FINANCIAMENTO BANCÁRIO . -; SU:Sebrae
2498879436; HOME; UNIT; BR; Bragança Paulista; SP; ; BR>Sao Paulo>NULL>Braganca Paulista>Barrios>Jardim Sao Jose; Jardim São José; RESIDENTIAL; 150; 150; Comprar; 330000; 0; 2; 1; 2; 0; 12916400; Sobrados grandes em Bragança Paulista.<br><br>• Área Terreno 150m², Área construída 91m²<br>• vaga para dois carros<br>• Sala<br>• cozinha<br>• área de serviço<br>• duas suítes, uma com closet e sacada; 
2496748510; HOME; UNIT; BR; Bragança Paulista; SP; ; BR>Sao Paulo>NULL>Braganca Paulista>Barrios>Jardim Sao Jose; Jardim São José; RESIDENTIAL; 172; 172; Comprar; 330000; 1; 1; 2; 3; 0; 12916310; Casa a venda no Jardim São José em Bragança Paulista - SP. <br>Casa com 3 quartos (1 suíte), sala, cozinha, Wc, lavanderia e garagem para 1 carro. <br>Área do Terreno 148,75m².<br>Área construido 172,80m².<br>Valor e disponibilidade sujeito a confirmação. <br>/ Atualização -; SU:Sebrae
