IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2459044149; CONDOMINIUM; UNIT; BR; Jandira; SP; Rua Jarama; BR>Sao Paulo>NULL>Jandira>Barrios>Jardim Sao Joao; Jardim São João; RESIDENTIAL; 68; 68; Comprar; 287000; 2; 0; 2; 2; 319; 06634020; Casa reformada com porcelanato, armarios e guarda roupas planejados, sistema de aquecedor a gás no chuveiro e torneiras. Portaria 24 horas. <br>Lazares do Condomínio: Salão de Festas, Churrasqueira, PlayGround, Piscina Adulto e Infantil, Vestiários feminino e masculino. Permitido animais. -; 
2493474117; HOME; UNIT; BR; Jandira; SP; Rua Jarama; BR>Sao Paulo>NULL>Jandira>Barrios>Jardim Sao Joao; Jardim São João; RESIDENTIAL; 70; 70; Comprar; 290000; 2; 0; 1; 2; 250; 06634020; ( 16 / 10 )SOBRADO EM CONDOMINIO FECHADO - JANDIRA <br>OPORTUNIDADE***<br>ACEITA FINANCIAMENTO BANCARIO ***<br>Descricao do sobrado e condominio:<br>- 2 dormitorios <br>- Cozinha com armarios planejados;<br>- Sala 2 ambientes;<br>- 2 vagas de garagem;<br>- Piscina;<br>- Churrasqueira;<br>- Salao de festa;<br>- Playground;<br>- Portaria 24hs.<br><br>Venha simular o seu financiamento!!!; 
86260872; CONDOMINIUM; UNIT; BR; Jandira; SP; Rua Jarama; BR>Sao Paulo>NULL>Jandira>Barrios>Jardim Sao Joao; Jardim São João; RESIDENTIAL; 64; 64; Comprar; 265000; 2; 0; 1; 2; 250; 06634020; CASA para Venda<br>JARDIM SÃO JOÃO, JANDIRA<br>2 dormitórios, 1 sala, 1 banheiro, 2 vagas<br>64,00 construída<br><br>; 
2452535310; RESIDENTIAL_ALLOTMENT_LAND; UNIT; BR; Jandira; SP; Rua Cisne Branco; BR>Sao Paulo>NULL>Jandira>Barrios>Jardim Sao Joao; Jardim São João; RESIDENTIAL; 408; 408; Comprar; 200000; 0; 0; 0; 0; 280; 06634080; Excelente terreno em condominio fechado com toda a infraestrutura de lazer !!!. Proprietario estuda permuta por imovel na cidade de São Paulo ( sob Consulta ) terreno próprio para construir com exlente posicionamento, bem próximo de centro comercial e rodovias. Este é o momento de voc~e mudar de vida, vem conhecer e se encantar !!!!!<br>- Next Homes, seu proximo imovel, muito proximo! Veja esta e outras ofertas pelo nosso site.; 
2495057480; HOME; UNIT; BR; Jandira; SP; ; BR>Sao Paulo>NULL>Jandira>Barrios>Jardim Sao Joao; Jardim São João; RESIDENTIAL; 56; 56; Comprar; 199900; 1; 0; 1; 2; 268; ; Sobrado de 56 M² com 02 Dormitórios, Sala 02 Ambientes, Varanda, Cozinha, Área de Serviço, 01 WC e 01 Vaga de Garagem. <br>Condomínio: Portaria com Controle de Acesso, Piscina e Quadra Poliesportiva.<br><br>(O VALOR DESTE IMÓVEL PODERÁ SER ALTERADO SEM AVISO PRÉVIO). Perfil Imóveis Realizando Sonhos!!!; 
2495057100; HOME; UNIT; BR; Jandira; SP; ; BR>Sao Paulo>NULL>Jandira>Barrios>Jardim Sao Joao; Jardim São João; RESIDENTIAL; 56; 56; Comprar; 220000; 1; 0; 1; 2; 268; ; Sobrado de 56 M² com 02 Dormitórios, Sala 02 Ambientes, Varanda, Cozinha, Área de Serviço, 01 WC e 01 Vaga de Garagem. <br>Condomínio: Portaria com Controle de Acesso, Piscina e Quadra Poliesportiva.<br><br>(O VALOR DESTE IMÓVEL PODERÁ SER ALTERADO SEM AVISO PRÉVIO). Perfil Imóveis Realizando Sonhos!!!; 
1041395171; CONDOMINIUM; UNIT; BR; Jandira; SP; ; BR>Sao Paulo>NULL>Jandira>Barrios>Jardim Sao Joao; Jardim São João; RESIDENTIAL; 94; 56; Comprar; 215000; 1; 0; 1; 2; 218; 06634000; As fotos da casa correspondem a uma casa modelo, serve apenas como sugestão de decoração.<br>Ótimo imóvel em condomínio fechado, novo com área de lazer, ótimo acabamento, 01 vaga de garagem, pronto para morar , próximo ao terminal de ônibus Fátima . -; 
2486939848; RESIDENTIAL_ALLOTMENT_LAND; UNIT; BR; Jandira; SP; ; BR>Sao Paulo>NULL>Jandira>Barrios>Jardim Sao Joao; Jardim São João; RESIDENTIAL; 504; 504; Comprar; 135755; 0; 0; 0; 0; 300; 06634090; Terreno a venda em Jandira com 504 metros quadrados. Trata-se de imóvel adjudicado de banco. Pagamento SOMENTE À VISTA, Imóvel NÃO aceita utilização de FGTS, Imóvel NÃO aceita financiamento habitacional, Imóvel NÃO aceita parcelamento, Imóvel NÃO aceita consórcio.<br><br>Aproveite e agende a sua visita!<br><br>Oliver Groothedde <br><br>Corretor Avaliador de Imóveis <br><br>CRECI-SP 126671 CNAI 12645 ..<br><br> - LD<br><br>; 
2439760190; CONDOMINIUM; UNIT; BR; Jandira; SP; Rua Silverstone; BR>Sao Paulo>NULL>Jandira>Barrios>Jardim Sao Joao; Jardim São João; RESIDENTIAL; 64; 64; Comprar; 220000; 2; 0; 1; 2; 0; 06634000; Casas novas, prontas para morar e financiar por qualquer banco.<br><br>Chegou o Residencial Pitangueiras, um condomínio pensado para satisfazer o seu desejo de uma vida mais feliz, com diferenciais exclusivos na região, uma localização Super privilegiada, muito conforto, inovação e segurança para viver.<br><br>Sobrado com 64 m² com 02 vaga de garagem por apenas R$ 220.000,00<br><br>São 02 dormitórios sendo um com sacada, banheiro, sala para dois ambientes, lavabo, cozinha, quintal privativo com área de serviço.<br><br>O Condomínio Pitangueiras possuí portaria e segurança 24 horas por dia, lazer completo com piscina, quadra poliesportiva, playground.<br><br>O condomínio foi construído na cidade de Jandira, localizado a 15 minutos de Alphaville e 40 minutos do centro de São Paulo. Linha de ônibus na rua do Condomínio que leva até à estação de trem.<br><br>Visite a casa decorada no local.<br><br>Saia já do aluguel, ligue para nós e agende uma visita:<br><br>Para mais informações entre em contato pelos números:<br><br>Ao ligar mencione a referência. CA0934<br><br>1 1- 2 6 8 0 7 8 1 1<br>1 1 2 6 8 0 7 8 1 2<br>1 1 9 4 0 1 3 5 1 9 9 WhatsApp<br><br>Almeida Titto - Inteligência Imobiliária !<br><br>CRECI 28.947-J -; 
2463050422; CONDOMINIUM; UNIT; BR; Jandira; SP; Rua Silverstone; BR>Sao Paulo>NULL>Jandira>Barrios>Jardim Sao Joao; Jardim São João; RESIDENTIAL; 56; 56; Comprar; 200000; 1; 0; 1; 2; 238; 06634000; Belos Sobrados em Bairro em fase de crescimento, com vários condomínios na Região e próximo de Escolas e Comércios variados. -; 
2499395377; CONDOMINIUM; UNIT; BR; Jandira; SP; Rua Jarama; BR>Sao Paulo>NULL>Jandira>Barrios>Jardim Sao Joao; Jardim São João; RESIDENTIAL; 90; 90; Comprar; 260000; 2; 1; 1; 2; 360; 06634020; Trata se de uma Casa de 90m², com 2 dormitórios, sala de estar, sala de jantar, cozinha, 2 banheiros, área de serviço, 2vaga de garagem, quintal com churrasqueira. Armários embutidos na cozinha, Área de serviço.<br><br>Lazer completo: Área murada, Condomínio fechado, Academia, permitido animais, Segurança 24h, Piscina, Portão eletrônico<br><br>Localização Próximo mercados, padaria, etc...<br><br>Valor de Venda: R$ 260.000,00<br>Valor de Condomínio: R$ 360,00<br>Valor de IPTU: R$ 500,00<br>Dá financiamento<br><br>Agende a sua visita e confira!<br>Ao ligar mencione a referência CA2162<br><br><br>Para mais informações e consulta de disponibilidade ligue:<br>1 1 - 2 6 8 0 - 7 8 1 1<br>1 1 - WhatsApp<br><br>Almeida Tito - Inteligência Imobiliária<br>Creci 28.947 j -; 
