IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2468788691; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Leôncio de Magalhães; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Jardim Sao Paulo; Jardim São Paulo; RESIDENTIAL; 31; 31; Comprar; 244000; 0; 1; 1; 1; 300; 02042000; Fantástico lançamento no Jardim São Paulo, O incrível Vibe Jardim São Paulo.<br>Apartamento de 31 m2 e 50 m2, 1 ou 2 dormitórios, com ou sem vaga, sacada gourmet, sala para 2 ambientes, banheiro, cozinha e área de serviço.<br>Condomínio com piscina, lavanderia comunitária, salão de festas com churrasqueira academia e brinquedoteca no topo da torre com uma vista incrível. <br>A poucos metros do metrô Jardim São Paulo, Próximo também a comércios, mercados, escolas padaria e linhas de ônibus.<br>Excelente localização e preço.<br>Entrega para Outubro de 2021<br>Fácil fluxo de pagamento em período de obras.<br>Valores especiais para investidores na quitação em periodo de obras. -; BS:Parada Metro Jardim São Paulo I, BS:Parada Metro Jardim São Paulo II, BS:Terminal Urbano Parada Inglesa, BS:Terminal de Ônibus Santana, TS:Jardim São Paulo - Ayrton Senna, TS:Parada Metro Jardim São Paulo I, TS:Parada Metro Jardim São Paulo II, TS:Parada Inglesa, TS:Terminal Urbano Parada Inglesa, CS:Casa dos Pães São Paulo, CS:Munik, CS:Armazem Peter Paiva, CS:Padaria Estado Luso, CS:Panificadora Mercurio, PH:Pharma, PH:Drogaria São Paulo, PH:PromoFarma, PH:Metro Farma
2212895752; COMMERCIAL_PROPERTY; UNIT; BR; São Paulo; SP; Avenida Leôncio de Magalhães; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Jardim Sao Paulo; Jardim São Paulo; COMMERCIAL; 350; 660; Comprar; 3000000; 4; 0; 6; 0; 0; 02042001; Excelente sobrado comercial com 8 salas, 2 estúdios montado de TV com acústica, 6 banheiros, estúdio fotografo montado, recepção, copa, 3 vagas de garagem, a 100 metros do metro Jardim São Paulo, grande movimento de comércio local.; BS:Parada Metro Jardim São Paulo II, BS:Parada Metro Jardim São Paulo I, BS:Terminal Urbano Parada Inglesa, BS:Terminal de Ônibus Santana, BS:Parada Metro Carandiru, TS:Parada Metro Jardim São Paulo II, TS:Parada Metro Jardim São Paulo I, TS:Jardim São Paulo - Ayrton Senna, TS:Parada Inglesa, TS:Terminal Urbano Parada Inglesa, CS:Armazem Peter Paiva, CS:Munik, CS:Casa dos Pães São Paulo, CS:Padaria Estado Luso, CS:Am/Pm, PH:Pharma, PH:PromoFarma, PH:Metro Farma, PH:Pague Menos
2482353647; HOME; UNIT; BR; São Paulo; SP; Rua Machado Pedrosa; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Jardim Sao Paulo; Jardim São Paulo; RESIDENTIAL; 180; 240; Comprar; 800000; 1; 0; 2; 3; 0; 02045010; Zona Norte, Jardim São Paulo Ótimo sobrado localização privilegiada, area construida 240 m² junto a colegios, entre duas estações do metro, sala ampla para 2 ambientes, amplos dormitórios. -; BS:Parada Metro Jardim São Paulo II, BS:Parada Metro Jardim São Paulo I, BS:Terminal de Ônibus Santana, BS:Parada Metro Carandiru, BS:Terminal Urbano Parada Inglesa, TS:Parada Metro Jardim São Paulo II, TS:Parada Metro Jardim São Paulo I, TS:Jardim São Paulo - Ayrton Senna, TS:Santana, TS:Parada Metro Carandiru, CS:Armazem Peter Paiva, CS:Am/Pm, CS:Empório Massado, CS:Panetteria Conceição, CS:Munik, PH:Pharma, PH:Metro Farma, PH:PromoFarma, PH:Droga Lis, PH:Pague Menos
2433537078; HOME; UNIT; BR; São Paulo; SP; Rua Conceição da Barra; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Jardim Sao Paulo; Jardim São Paulo; RESIDENTIAL; 168; 164; Comprar; 950000; 2; 1; 4; 5; 0; 02039030; Casa nova (4 anos) com duas unidades a 750 metros do metrô Jd. São Paulo. Possibilidade comercial ou residencial+comercial. Vizinhança tranquila, próximo a Itaú, Caixa, Pão de Açúcar, Santuário Na. Sra. Salete. Casa principal (assobradada) com 3 dormitórios sendo uma suíte, um banheiro e um lavabo, cozinha com armários integrada à sala e área gourmet, lavanderia com área de banho pet e terraço. Casa térrea com 2 dormitórios, banheiro, cozinha e sala em L. Duas vagas de garagem. Solarium. Portão eletrônico. Hidráulica e elétrica novas. Projeto contemporâneo. Cisterna para captação de água de chuva e utilização nos banheiros. Preparação para ar-condicionado. Preparação para aquecimento a gás.; BS:Parada Metro Jardim São Paulo II, BS:Parada Metro Jardim São Paulo I, BS:Terminal de Ônibus Santana, BS:Terminal Urbano Parada Inglesa, BS:Avenida Conselheiro Moreira de Barros 2095, TS:Parada Metro Jardim São Paulo II, TS:Parada Metro Jardim São Paulo I, TS:Jardim São Paulo - Ayrton Senna, TS:Santana, TS:Parada Inglesa, CS:Padaria La Brunet, CS:Red&white, CS:Century Pães e Doces, CS:Francisca Júlia Pães e Doces, CS:Casa dos Pães São Paulo, PH:PromoFarma, PH:Pharma, PH:Pague Menos, PH:Metro Farma
2463464020; APARTMENT; UNIT; BR; São Paulo; SP; Rua Joaquim Norberto; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Jardim Sao Paulo; Jardim São Paulo; RESIDENTIAL; 0; 115; Comprar; 799000; 3; 3; 3; 3; 0; 02301100; Apartamento próximo ao Metrô Jardim São Paulo, 3 suítes todas com armários embutidos, sala 3 ambientes com varanda gourmet, cozinha planejada, área de serviço e 3 vagas de garagem com depósito privativo, com conceito aberto com bancada e churrasqueira, 120 m² privativos. Lazer com, piscina adulto e infantil, sauna, academia, quadra poliesportiva, churrasqueira com forno de pizza, salão de jogos, salão de festas. Localização excelente próximo as estações do Metrô Jardim São Paulo e Parada Inglesa.; BS:Parada Metro Jardim São Paulo I, BS:Parada Metro Jardim São Paulo II, BS:Terminal Urbano Parada Inglesa, BS:Terminal de Ônibus Santana, TS:Jardim São Paulo - Ayrton Senna, TS:Parada Metro Jardim São Paulo I, TS:Parada Metro Jardim São Paulo II, TS:Parada Inglesa, TS:Terminal Urbano Parada Inglesa, CS:Padaria Estado Luso, CS:Panificadora Mercurio, CS:Soldie Doçes, CS:Casa dos Pães São Paulo, CS:Munik, PH:Pague Menos, PH:Pharma, PH:PromoFarma
2449204074; APARTMENT; UNIT; BR; São Paulo; SP; Rua Antônio Guganis; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Jardim Sao Paulo; Jardim São Paulo; RESIDENTIAL; 120; 100; Comprar; 950000; 3; 2; 3; 3; 600; 02044110; Excelente Apartamento no Jardim São Paulo á 500 metros do Metrô, 100 m² de área privativa, sendo 03 dormitórios, 01 suíte e 01 suíte americana, Sala Ampla com uma Varanda com vista panorâmica, cozinha aconchegante, Lavabo, 03 vagas de garagem, Empreendimento novo no coração do Jardim São Paulo. próximo ao comércio da região, fácil acesso as marginais ao lado do Metro! Não Perca essa Oportunidade morar em uns dos melhores Barros da Zona Norte.; BS:Parada Metro Jardim São Paulo II, BS:Parada Metro Jardim São Paulo I, BS:Terminal de Ônibus Santana, BS:Terminal Urbano Parada Inglesa, BS:Parada Metro Carandiru, TS:Parada Metro Jardim São Paulo II, TS:Parada Metro Jardim São Paulo I, TS:Jardim São Paulo - Ayrton Senna, TS:Santana, TS:Parada Inglesa, CS:Armazem Peter Paiva, CS:Munik, CS:Am/Pm, CS:Casa dos Pães São Paulo, CS:Happy Cake, PH:Pharma, PH:Drogaria São Paulo, PH:PromoFarma, PH:Metro Farma, PH:Droga Lis
2434760469; APARTMENT; UNIT; BR; São Paulo; SP; Rua Antônio Guganis; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Jardim Sao Paulo; Jardim São Paulo; RESIDENTIAL; 0; 100; Comprar; 920000; 3; 1; 4; 3; 1000; 02044110; APARTAMENTO NOVO EM LOCALIZAÇÃO EXCELENTE, COM 100 M² , ARQUITETURA MODERNA, AMBIENTES BEM DISTRIBUÍDOS, SENDO 1 SUITE MASTER , e 2 SUITES AMERICANAS, SALA AMPLA PARA DOIS AMBIENTES COM SACADA GOURMET, COZINHA INTEGRADA A SALA, LAVABO, ÁREA DE SERVIÇO E 3 VAGAS DE GARAGEM COBERTAS E FIXAS. LAZER COM PISCINA ADULTO E INFANTIL, SAUNA, ACADEMIA, SALÃO DE FESTAS,PLAYGROUND,CHURRASQUEIRA. TORRE UNICA, 2 APTOS POR ANDAR, POSSUI ESPAÇO NO SUBSOLO QUE PODERÁ SER FEITO UM DEPÓSITO POR OPÇÃO DO COMPRADOR, LOCALIZAÇÃO PRIVILEGIADA, PRÓXIMO AO MIRANTE DE SANTANA, PADARIA, COLÉGIO JD. SÃO PAULO, 600 METROS DO METRÔ JD. SÃO PAULO.; BS:Parada Metro Jardim São Paulo II, BS:Parada Metro Jardim São Paulo I, BS:Terminal de Ônibus Santana, BS:Terminal Urbano Parada Inglesa, BS:Parada Metro Carandiru, TS:Parada Metro Jardim São Paulo II, TS:Parada Metro Jardim São Paulo I, TS:Jardim São Paulo - Ayrton Senna, TS:Santana, TS:Parada Inglesa, CS:Armazem Peter Paiva, CS:Munik, CS:Am/Pm, CS:Casa dos Pães São Paulo, CS:Happy Cake, PH:Pharma, PH:PromoFarma, PH:Metro Farma, PH:Pague Menos, PH:Droga Lis
2455958597; HOME; UNIT; BR; São Paulo; SP; Rua Gilberto Sampaio; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Jardim Sao Paulo; Jardim São Paulo; RESIDENTIAL; 0; 200; Comprar; 690000; 3; 1; 3; 3; 0; 02043020; Sobrado próximo ao Metrô Jardim São Paulo e Avenida Luis Dumont Villares, Shopping Center Norte, 200 m², 3 dormitórios amplos, suíte, sala 3 ambientes, lavabo, ampla cozinha, quintal com edícula, entrada lateral e 3 vagas de garagem.; BS:Parada Metro Jardim São Paulo I, BS:Parada Metro Jardim São Paulo II, BS:Terminal Urbano Parada Inglesa, BS:Terminal de Ônibus Santana, BS:Parada Gustavo, TS:Jardim São Paulo - Ayrton Senna, TS:Parada Metro Jardim São Paulo I, TS:Parada Metro Jardim São Paulo II, TS:Parada Inglesa, TS:Terminal Urbano Parada Inglesa, CS:Armazem Peter Paiva, CS:Munik, CS:Casa dos Pães São Paulo, CS:Padaria Estado Luso, CS:Pá D'Ouro, PH:Pharma, PH:PromoFarma, PH:Pague Menos, PH:Metro Farma
2463575706; HOME; UNIT; BR; São Paulo; SP; Praça Rodrigo Chassim; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Jardim Sao Paulo; Jardim São Paulo; RESIDENTIAL; 0; 200; Comprar; 960000; 3; 3; 5; 3; 0; 02045050; Sobrado próximo ao Metrô Jardim São Paulo, 3 suítes, varanda, ampla sala 2 ambientes, lavabo, cozinha planejada, área de serviço, quintal, churrasqueira, dependência de empregada completa, depósito, 3 vagas de garagem, entrada lateral e 190 m² de construção. Local nobre do Jardim São Paulo, próximo a Padaria Mirantte e fácil acesso ao Metrô Santana.; BS:Parada Metro Jardim São Paulo II, BS:Parada Metro Jardim São Paulo I, BS:Terminal de Ônibus Santana, BS:Terminal Urbano Parada Inglesa, BS:Parada Metro Carandiru, TS:Parada Metro Jardim São Paulo II, TS:Parada Metro Jardim São Paulo I, TS:Jardim São Paulo - Ayrton Senna, TS:Santana, TS:Parada Inglesa, CS:Armazem Peter Paiva, CS:Munik, CS:Casa dos Pães São Paulo, CS:Am/Pm, CS:Empório Massado, PH:Pharma, PH:PromoFarma, PH:Metro Farma, PH:Pague Menos, PH:Droga Lis
2499238201; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Rua Antônio Guganis; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Jardim Sao Paulo; Jardim São Paulo; RESIDENTIAL; 0; 250; Comprar; 1300000; 4; 3; 6; 3; 0; 02044110; O sobrado tem 3 suites, sendo uma master (com closet, sacada e ar condicionado) , mais um escritorio na parte superior, em piso de madeira. No andar intermediário tem uma sala para 2 ou 3 ambientes com lareira e sacada, em porcelanato, lavabo, copa cozinha planejada, área de serviço, dependência de empregada completa, quintal com churrasaqueira e forno de pizza, entrada lateral. No piso térreo são 4 vagas, duas cobertas e duas descobertas, lavabo e entrada interna para o sobrado, portão automático, cerca elétrica, nada para fazer; BS:Parada Metro Jardim São Paulo II, BS:Parada Metro Jardim São Paulo I, BS:Terminal de Ônibus Santana, BS:Parada Metro Carandiru, BS:Terminal Urbano Parada Inglesa, TS:Parada Metro Jardim São Paulo II, TS:Parada Metro Jardim São Paulo I, TS:Jardim São Paulo - Ayrton Senna, TS:Santana, TS:Parada Metro Carandiru, CS:Am/Pm, CS:Armazem Peter Paiva, CS:Happy Cake, CS:Munik, CS:Casa dos Pães São Paulo, PH:Pharma, PH:PromoFarma, PH:Metro Farma, PH:Drogaria São Paulo, PH:Droga Lis
