IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2494624945; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Vila Formosa; Jardim Vila Formosa; RESIDENTIAL; 49; 49; Comprar; 245000; 1; 0; 1; 2; 350; 03472100; Apartamento 2 dormitórios <br>1 vaga solta Jd Vila Formosa condomínio floriza 1, 49m2 IPTU isento Fino acabamento com pia de granito preto absoluto de 3 metros com cooktop, forno e moveis planejados Papel de parede nos quartos e sala Banheiro com gabinete, pia mármore Carrara <br>Condomínio amplo com brinquedoteca, salão de jogos adulto e juvenil, churrasqueira, salão de festas, academia, sala de yoga. Portaria e segurança 24hs com biometria e controle de acesso para carros. Não possui piscina.<br><br>Ótima Localização, Próximo a Avenida Cipriano Rodrigues, Av. Aguiar da Beira, Av. dos Nacionalistas e João XXIII. Apenas à 11 Minutos do shopping Analia Franco e 8 Minutos do Shopping Aricanduva.<br><br> Estuda carro como forma de pagamento, documentação ok, Fácil para financiamento. <br><br>Para maiores informações ou agendamento de visitas, entrar em contato:<br><br>Telefone: <br>Whatsapp: <br><br>Telefone e Whatsapp: <br><br>E-mail: diretor@imobiliariaaki. -; BS:Avenida Sapopemba 5749, BS:Avenida Sapopemba 5840, BS:Avenida Sapopemba 6065, BS:Avenida Sapopemba, 6150, BS:Parada E.E. Professor Moacyr Campos, TS:Avenida Sapopemba 5749, TS:Avenida Sapopemba 5840, TS:Avenida Sapopemba 6065, TS:Avenida Sapopemba, 6150, TS:Rua Hamilton Prado 739, CS:Padaria Célia, CS:Cerealista Ideal São Caetano, PH:Drogaria Nova Mille
2494623059; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Vila Formosa; Jardim Vila Formosa; RESIDENTIAL; 49; 49; Comprar; 265000; 1; 0; 1; 2; 300; 03472100; Ótimo apartamento de 2 dormitórios<br><br>Sala para 2 ambientes, já com móveis planejados, banheiro com box de vidro, chuveiro com aquecimento a gás e 1 vaga na garagem solta e coberta. Ambiente calmo e familiar. <br><br>Uma ampla área de lazer com playground, salão de festas adulto e infantil, salão de jogos, quadra poliesportiva, churrasqueira, lounge, sala de ginástica, portaria 24h e vigia noturno. Ótima localização próximo a ETEC, Carrefour, e a 200 metros de um ponto de ônibus. Shopping prox.<br><br>Para maiores informações ou agendamento de visitas, entrar em contato:<br><br>Telefone: <br>Whatsapp: <br><br>Telefone e Whatsapp: <br><br>E-mail: <br>Douglas Lopes do Amaral <br><br>CRECI J4306 <br><br>Aki imóveis o bom negócio é aqui -; BS:Avenida Sapopemba 5749, BS:Avenida Sapopemba 5840, BS:Avenida Sapopemba 6065, BS:Avenida Sapopemba, 6150, BS:Parada E.E. Professor Moacyr Campos, TS:Avenida Sapopemba 5749, TS:Avenida Sapopemba 5840, TS:Avenida Sapopemba 6065, TS:Avenida Sapopemba, 6150, TS:Rua Hamilton Prado 739, CS:Padaria Célia, CS:Cerealista Ideal São Caetano, PH:Drogaria Nova Mille
2480823102; HOME; UNIT; BR; São Paulo; SP; Avenida Alberto Camus; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Vila Formosa; Jardim Vila Formosa; RESIDENTIAL; 121; 121; Comprar; 549000; 2; 1; 1; 3; 0; 03461020; Sobrado no Jardim vila formosa . <br><br>Imóvel bem localizado no Jardim Vila Formosa , com 3 dormitórios sendo 1 suite , 2 vagas de garagem e quintal com churrasqueira , para lhe proporcionar momentos especiais com a sua família, o acabamento dele é o que impressiona. <br><br>Agende já a sua visita com um de nossos corretores . -; BS:Terminal Vila Carrao, BS:Parada E.E. Professor Moacyr Campos, BS:Avenida Sapopemba 5749, BS:Avenida Sapopemba 5840, BS:Rua Hamilton Prado 739, TS:Terminal Vila Carrao, TS:Avenida Sapopemba 5749, TS:Avenida Sapopemba 5840, TS:Rua Hamilton Prado 739, CS:Padaria Célia, PH:Drogaria Nova Mille
2434762503; APARTMENT; UNIT; BR; São Paulo; SP; Rua Rego Barros; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Vila Formosa; Jardim Vila Formosa; RESIDENTIAL; 0; 62; Comprar; 318500; 1; 1; 2; 3; 350; 03460000; APARTAMENTO COM 3 DORMITÓRIOS E 1 SUÍTE C/ LAZER COMPLETO. Condomínio R$350,00. Isento de IPTU. Aceito financiamento, aproveite que a taxa da Caixa Econômica abaixou! Poderá ter ótima negociação diretamente com a Proprietária. O apartamento é arejado, está novo e pintado. Encontra-se desocupado e pronto para morar. Possui 61 m2 com 3 dormitórios, 1 suíte, 1 banheiro social, cozinha americana, área de serviço, sala para 2 ambientes, 1 vaga de garagem. Possui aquecedor a gás, box de vidro nos dois banheiros, armário/gabinete de cozinha e piso frio de qualidade em todos os ambientes. Condomínio com portaria 24 horas, lazer completo com piscina adulto e infantil, playground, quadra, academia, salão de festas, churrasqueira e forno. Excelente localização, ao lado atacadista Spani, próximo ao Carrefour, fácil acesso ao transporte público e melhores pontos de comércio na região.; BS:Parada E.E. Professor Moacyr Campos, BS:Terminal Vila Carrao, TS:Terminal Vila Carrao, CS:Padaria Célia, PH:Drogaria Nova Mille
2444044782; APARTMENT; UNIT; BR; São Paulo; SP; Rua Correia de Lacerda; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Vila Formosa; Jardim Vila Formosa; RESIDENTIAL; 0; 70; Comprar; 320000; 1; 0; 1; 2; 357; 03470080; Localizado no Bairro Jardim Vila Formosa - Rua Correia De Lacerda Edifício Claudia. Próximo da ETEC de Vila Formosa. 10 minutos da Av. João XXIII, e apenas 15 min. da Praça Dr. Sampaio Vidal, onde encontra-se o maior comércio da Vila Formosa, lojas em geral (roupas, sapatos, bolsas, variedades, móveis, eletrodomésticos, etc.), restaurantes, lazer, além do variado transporte público para estações de metrô e terminais de ônibus. O apartamento de 70 m² com 2 dormitórios, sendo o quarto de solteiro em piso frio, com porta e janela muito bem conservados pelos proprietários e em excelente estado para uso. O segundo dormitório possui uma sacada com vista para o bairro, e da mesma maneira que o primeiro esse também encontra-se em perfeitas condições. Sala dois ambientes muito espaçosa como podemos ver nas fotos. Cozinha e banheiro com paredes azulejadas e piso frio. Garagem (1 Vaga).; BS:Terminal Vila Carrao, BS:Parada E.E. Professor Moacyr Campos, TS:Terminal Vila Carrao, CS:Padaria Célia, PH:Drogaria Nova Mille
2494491574; APARTMENT; UNIT; BR; São Paulo; SP; Rua Bactória; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Vila Formosa; Jardim Vila Formosa; RESIDENTIAL; 0; 49; Comprar; 250000; 1; 0; 1; 2; 210; 03472100; Apartamento próximo á Av. João XXIII, próximo de padaria, farmácia, supermercado e açougue. Ônibus para os Metrô Vila Prudente, Tatuapé, Carrão e Belém. Próximo dos Shopping Anália Franco e Aricanduva e do Carrefour. Apto com armários embutidos na cozinha e no Quarto. Cozinha com Coktop. Lazer completo e segurança 24 Horas; BS:Avenida Sapopemba 5749, BS:Avenida Sapopemba 5840, BS:Avenida Sapopemba 6065, BS:Avenida Sapopemba, 6150, BS:Rua Hamilton Prado 739, TS:Avenida Sapopemba 5749, TS:Avenida Sapopemba 5840, TS:Avenida Sapopemba 6065, TS:Avenida Sapopemba, 6150, TS:Rua Hamilton Prado 739, CS:Padaria Célia, CS:Cerealista Ideal São Caetano, PH:Drogaria Nova Mille
2498268786; APARTMENT; UNIT; BR; São Paulo; SP; Rua Bactória; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Vila Formosa; Jardim Vila Formosa; RESIDENTIAL; 48; 48; Comprar; 215000; 1; 0; 1; 2; 250; 03472100; Condomínio protegido por grades.<br>Apartamento Localizado no Jardim Vila Formosa, próximo as avenidas principais como Conselheiro Carrão, João XXIII e Aricanduva. 10 minutos do shopping Anália Franco e Aricanduva.<br><br>Apê de 48m² de área útil. Sendo 2 dormitórios, cozinha espaçosa, sala para dois ambientes mais sacada envidraçada, área de serviço com aquecedor de água a gás da marca Rinnai, piso laminado recém instalado, apartamento recém pintado, teto sala e corredor rebaixado com gesso e led, todos os ambientes com moldura em gesso. <br>Possui 1 vaga garagem<br>Condomínio R$ 250,00 - sem água e gás<br>IPTU - isento<br><br>Área de lazer do condomínio:<br><br>*Churrasqueira<br>*Salão de festas<br>*Salão de jogos<br>*Home office<br>*Quadra esportiva<br>*Sala de ginástica<br>*Brinquedoteca<br>*Sala de artes marciais<br>*Baby room<br>*Espaço para yoga<br>*Sala de estudos; BS:Avenida Sapopemba 5749, BS:Avenida Sapopemba 5840, BS:Avenida Sapopemba 6065, BS:Avenida Sapopemba, 6150, BS:Rua Hamilton Prado 739, TS:Avenida Sapopemba 5749, TS:Avenida Sapopemba 5840, TS:Avenida Sapopemba 6065, TS:Avenida Sapopemba, 6150, TS:Rua Hamilton Prado 739, CS:Padaria Célia, CS:Cerealista Ideal São Caetano, PH:Drogaria Nova Mille
2496946061; APARTMENT; UNIT; BR; São Paulo; SP; Rua Rego Barros; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Vila Formosa; Jardim Vila Formosa; RESIDENTIAL; 61; 61; Comprar; 300000; 1; 1; 2; 3; 340; 03460000; APTO COM 3 DORMS(SENDO UMA SUITE), 1 VAGA DE GARAGEM.<br>VENHA CONFERIR.; BS:Parada E.E. Professor Moacyr Campos, BS:Terminal Vila Carrao, TS:Terminal Vila Carrao, CS:Padaria Célia, PH:Drogaria Nova Mille
2497068258; APARTMENT; UNIT; BR; São Paulo; SP; Rua Rego Barros; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Vila Formosa; Jardim Vila Formosa; RESIDENTIAL; 61; 61; Comprar; 320000; 1; 1; 2; 3; 527; 03460000; Ótimo apartamento de 61² na Vila Formosa, apresenta 3 dormitórios, sendo 1 suíte , sala para 2 ambientes, 2 banheiros, 1 vaga de garagem, área de serviço, armários embutidos na cozinha. O prédio possui lazer completo! Para mais informações entrar em contato ou agendar uma visita.; BS:Terminal Vila Carrao, BS:Parada E.E. Professor Moacyr Campos, TS:Terminal Vila Carrao, CS:Padaria Célia, PH:Drogaria Nova Mille
2499491355; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Vila Formosa; Jardim Vila Formosa; RESIDENTIAL; 50; 50; Alugar/Comprar; 1380; 1; 0; 1; 2; 438; ; Apartamento em Condomínio Padrão para Locação no bairro Jardim Vila Formosa, 2 dorm, 1 vagas, 50 m<br>- Área Privativa: Armário na cozinha, Aceita PET painel para tv na sala , banheiro com armarios ,box ,espelho ..<br>- Área de Lazer: Academia, Churrasqueira, Piscina adulto, Piscina infantil, Play ground, Salão de festas, Salão de jogos, Bicicletario.<br>- Infra Estrutura: Segurança 24h, Vaga livre.<br>Garantia de locação: Depósito, Seguro Fiança, Fiador.<br>Valor do Condominio R$: 438,00. - Data da Atualização:; BS:Terminal Vila Carrao, BS:Parada E.E. Professor Moacyr Campos, TS:Terminal Vila Carrao, CS:Padaria Célia, PH:Drogaria Nova Mille
