IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2493635560; HOME; UNIT; BR; São José do Rio Preto; SP; ; BR>Sao Paulo>NULL>Sao Jose do Rio Preto>Barrios>Jardim Vista Alegre; Jardim Vista Alegre; RESIDENTIAL; 405; 238; Comprar; 1200000; 4; 3; 5; 3; 400; 15061699; CÓDIGO 3223<br><br><br><br>- Características:<br><br>Segurança 24 horas × Interfone × Alarme Monitorado × Portaria 24 horas × Portão Eletrônico × Quadra Poliesportiva × Salão de Jogos × Salão de Festas × Playground × Piscina adulto × Piscina Infantil × Piscina × Churrasqueira × Academia ×<br><br><br><br>A HALL Imobiliária é excelência em compra e venda de Apartamentos e Condomínios. Temos os melhores imóveis para venda em São José do Rio Preto e Região!<br><br><br><br>(17) 3 2 1 6 - 3 3 5 3 - (17) 9 8 1 7 3 - 9 2 2 0 WhatsApp<br><br><br><br>VISITAS REALIZADAS MEDIANTE AGENDAMENTO COM CORRETOR!; SU:E M Doutor Norberto Buzzini, SC:O Papa da Informática
2493635171; HOME; UNIT; BR; São José do Rio Preto; SP; ; BR>Sao Paulo>NULL>Sao Jose do Rio Preto>Barrios>Jardim Vista Alegre; Jardim Vista Alegre; RESIDENTIAL; 500; 300; Comprar; 1695000; 4; 4; 5; 4; 300; 15061699; Código: 5958<br><br><br><br>Imóvel com Área de 300 m² de puro Conforto, 4 Dormitórios sendo 4 Suítes, 4 Vagas, Área de Serviço, Banheiro social, Cabeamento Estruturado, Churrasqueira, Cozinha Grande, Espaço Grill, Espaço Gourmet, Esquadria em Alumínio, Forro de Gesso, Hall de Entrada, Interfone, Janelas de Alumínio, Sala Grande, Sala de TV, Sala de Jantar. Uma casa Incrível né, e ainda tem mais.<br><br><br><br>Área de Lazer para toda a Família, Piscinas Aquecida, Quadras de tênis, Playground, Campos de Futebol, Quadras de Vôlei de Areia e Poliesportiva, Pista de Cooper, Salão de Festas.<br><br><br><br>Está Gostando ela pode ser sua!<br><br><br><br>Prezando pela segurança, Portaria 24 Hrs, Porteiro Eletrônico, Vigia, Rua asfaltada, Condomínio Fechado.<br><br><br><br>Gostou do Imóvel? Entre em contato! Temos Ótimas Condições de Pagamento, Aceitamos Veículo e Imóvel Como Parte do Pagamento.<br><br><br><br>--> www.hallimoveis.com.br < -- WhatsApp (17) 9 8 1 7 3 - 9 2 2 0<br><br><br><br>HALL Imóveis - Imobiliária e Construtora, Compra, Venda de Apartamentos e Casas em Condomínio Fechado.; SC:O Papa da Informática, SU:E M Doutor Norberto Buzzini
2496232981; HOME; UNIT; BR; São José do Rio Preto; SP; ; BR>Sao Paulo>NULL>Sao Jose do Rio Preto>Barrios>Jardim Vista Alegre; Jardim Vista Alegre; RESIDENTIAL; 400; 238; Comprar; 1250000; 4; 4; 6; 4; 0; 15061699; Código 7177<br><br><br><br>Em Construção<br><br><br><br>Excelente Casa no Condomínio Damha III, com Acabamento na Linha Premium, com área útil de 238 m² de Puro conforto, 4 Quartos sendo 4 Suítes, Casa Toda Planejada, Com armários Planejados e Pedras de Mármore Linha Premium, Piso Porcelanato, Sanca de Gesso com Led, Lustres de Cristal, Banheira Hidromassagem na Suíte Master, Quartos com Closet, Super Acabamento Refinado, Deck de Madeira, Sauna para 8 pessoas e Piscina Aquecida com Hidromassagem, Painéis Solares, Irrigação Automática. Cozinha Premium com Ilha, Coifa, Cooktop. Sala Intima, Casa Toda Climatizada com Ar-condicionado, Escritório, Espaço Grill e Espaço Gourmet.<br><br><br><br>Área de Lazer para toda a Família, Piscinas Aquecida, Quadras de tênis, Playground, Campos de Futebol, Quadras Poliesportiva, Pista de Cooper, Salão de Festas.<br><br><br><br>Está Gostando ela pode ser sua!<br><br><br><br>Prezando pela segurança, Portaria 24 Hrs, Porteiro Eletrônico, Vigia, Rua asfaltada, Condomínio Fechado.<br><br><br><br>Gostou do Imóvel? Entre em contato! Temos Ótimas Condições de Pagamento, Aceitamos Veículo e Imóvel Como Parte do Pagamento.<br><br><br><br>--> www.hallimoveis.com.br < -- WhatsApp (17) 9 8 1 7 3 - 9 2 2 0<br><br><br><br>HALL Imóveis - Imobiliária e Construtora, Compra, Venda de Apartamentos e Casas em Condomínio Fechado.; SC:O Papa da Informática, SU:E M Doutor Norberto Buzzini
2454457087; HOME; UNIT; BR; São José do Rio Preto; SP; Avenida Sebastião Tavares da Silva; BR>Sao Paulo>NULL>Sao Jose do Rio Preto>Barrios>Jardim Vista Alegre; Jardim Vista Alegre; RESIDENTIAL; 0; 75; Comprar; 320000; 2; 1; 2; 3; 340; 15061660; Casa no condomínio Giardino 1. Próxima da represa municipal, Pão de Açúcar Dhama. Casa com excelente acabamento. Iluminação em LED, armários embutidos, ar condicionado.; CS:Master sorveteira, BR:Boi Bom, SU:E M Doutor Norberto Buzzini, SU:Colégio Luminum Delphos, SC:O Papa da Informática, SC:Alonso Gesso, SC:Marmoraria Paulista, SC:Real Atacado
75001750; CONDOMINIUM; UNIT; BR; São José do Rio Preto; SP; Avenida Sebastião Tavares da Silva; BR>Sao Paulo>NULL>Sao Jose do Rio Preto>Barrios>Jardim Vista Alegre; Jardim Vista Alegre; RESIDENTIAL; 120; 63; Comprar; 280000; 2; 0; 1; 2; 300; 15061660; A casa de condomínio de 63 metros quadrados está localizado no bairro Jardim Vista Alegre com 2 quartos e 1 banheiro. <br>Possui jardim.<br>A casa de condomínio vai lhe possibilitar curtir os dias mais quentes na piscina, todo o conforto do ar condicionado nos dias mais quentes e desfrutar de seu próprio quintal.<br>Além disso, segurança garantida 24 horas por dia, sistema de aviso sonoro com alarme, quadra para prática de diferentes esportes e espaço gourmet para uma refeição diferente para você e sua família.<br>Fica em um condomínio fechado.<br>Espaço reservado para preparar o seu churrasco.; CS:Master sorveteira, SC:O Papa da Informática, SC:Alonso Gesso, SC:Marmoraria Paulista, SC:Real Atacado, BR:Boi Bom, SU:E M Doutor Norberto Buzzini, SU:Colégio Luminum Delphos
2493637196; HOME; UNIT; BR; São José do Rio Preto; SP; ; BR>Sao Paulo>NULL>Sao Jose do Rio Preto>Barrios>Jardim Vista Alegre; Jardim Vista Alegre; RESIDENTIAL; 200; 200; Comprar; 419000; 2; 1; 3; 4; 400; 15061660; CÓDIGO 3912<br><br><br><br>- Características:<br><br>Academia × Churrasqueira × Playground × Quadra Poliesportiva × Portaria 24 horas × Portão Eletrônico × Piscina × Piscina adulto × Piscina Infantil × Salão de Festas × Salão de Jogos × Alarme Monitorado × Interfone × Rua asfaltada × Vigia × Campo de Futebol × Pista de Caminhada ×<br><br><br><br><br><br>A HALL Imobiliária é excelência em compra e venda de Apartamentos e Condomínios. Temos os melhores imóveis para venda em São José do Rio Preto e Região!<br><br><br><br>(17) 3 2 1 6 - 3 3 5 3 - (17) 9 8 1 7 3 - 9 2 2 0 WhatsApp<br><br><br><br>VISITAS REALIZADAS MEDIANTE AGENDAMENTO COM CORRETOR!; CS:Master sorveteira, SC:O Papa da Informática, SC:Alonso Gesso, SC:Marmoraria Paulista, SC:Real Atacado, SU:E M Doutor Norberto Buzzini, SU:Colégio Luminum Delphos, BR:Boi Bom
2493635246; RESIDENTIAL_ALLOTMENT_LAND; UNIT; BR; São José do Rio Preto; SP; ; BR>Sao Paulo>NULL>Sao Jose do Rio Preto>Barrios>Jardim Vista Alegre; Jardim Vista Alegre; RESIDENTIAL; 420; 420; Comprar; 290000; 0; 0; 0; 0; 360; 15061699; CÓDIGO 3841<br><br><br><br>- Características:<br><br>Portaria × Portaria 24 horas × Rua asfaltada × Vigia ×<br><br><br><br>A HALL Imobiliária é excelência em compra e venda de Apartamentos e Condomínios. Temos os melhores imóveis para venda em São José do Rio Preto e Região!<br><br><br><br>(17) 3 2 1 6 - 3 3 5 3 - (17) 9 8 1 7 3 - 9 2 2 0 WhatsApp<br><br><br><br>VISITAS REALIZADAS MEDIANTE AGENDAMENTO COM CORRETOR!; SU:E M Doutor Norberto Buzzini, SC:O Papa da Informática
2495848732; HOME; UNIT; BR; São José do Rio Preto; SP; ; BR>Sao Paulo>NULL>Sao Jose do Rio Preto>Barrios>Jardim Vista Alegre; Jardim Vista Alegre; RESIDENTIAL; 0; 124; Comprar; 550000; 2; 1; 2; 2; 0; 15061660; LINDO SOBRADO A VENDA, ACEITA TROCA, ESTUDA PROPOSTA, E ACEITA FINANCIAMENTO.; CS:Master sorveteira, SU:E M Doutor Norberto Buzzini, SU:Colégio Luminum Delphos, SC:O Papa da Informática, SC:Alonso Gesso, SC:Marmoraria Paulista, SC:Real Atacado, BR:Boi Bom
2459238074; CONDOMINIUM; UNIT; BR; São José do Rio Preto; SP; ; BR>Sao Paulo>NULL>Sao Jose do Rio Preto>Barrios>Jardim Vista Alegre; Jardim Vista Alegre; RESIDENTIAL; 145; 110; Comprar; 490000; 2; 1; 2; 3; 450; 15061660; R$ 490 MIL<br>Aceita sala comercial no Navarro como parte de pagamento.<br><br>Excelente casa para venda no Condomínio Giardino I em São José do Rio Preto. Imóvel totalmente reformado!<br><br>*Casa encontra-se alugada!<br><br>Possui 145m2 de terreno, 110m2 de área construída;<br>3 quartos sendo uma suíte, sendo dois com ar condicionado split;<br>Banheiro social;<br>Hall de acesso aos quartos com armário;<br>Sala dois ambientes com home-office planejado;<br>Lavabo;<br>Cozinha rica em armários com fogão cooktop e forno embutido;<br>Área de serviço com armários planejados;<br>Varanda com churrasqueira;<br>Quintal espaçoso com uma parte coberta e outra descoberta que a diferencia de todas as casas do condomínio;<br>2 vagas de garagem em frente a casa;<br>Com privacidade total, sem vizinho no fundo e em um dos lados;<br><br>Excelente acabamento, com pisos porcelanato, armários planejados de primeira, iluminação moderna toda em LED e muito mais;<br><br>Condomínio com excelente localização, a poucos minutos do Supermercado Pão de Açúcar, Represa Municipal e das principais Rodovias.<br><br>Aceita sala comercial no Navarro como parte de pagamento.<br><br>Venha conhecer.<br>Aceita financiamento e FGTS -; CS:Master sorveteira, SC:O Papa da Informática, SC:Alonso Gesso, SC:Marmoraria Paulista, SU:E M Doutor Norberto Buzzini, SU:Colégio Luminum Delphos
2493636548; HOME; UNIT; BR; São José do Rio Preto; SP; ; BR>Sao Paulo>NULL>Sao Jose do Rio Preto>Barrios>Jardim Vista Alegre; Jardim Vista Alegre; RESIDENTIAL; 230; 200; Comprar; 600000; 2; 1; 4; 3; 400; 15061660; CÓDIGO 3190<br><br><br><br>- Características:<br><br>Interfone × Alarme Monitorado × Churrasqueira × Salão de Jogos × Salão de Festas × Piscina Infantil × Piscina adulto × Piscina × Portão Eletrônico × Portaria 24 horas × Quadra Poliesportiva × Academia × Playground ×<br><br><br><br>A HALL Imobiliária é excelência em compra e venda de Apartamentos e Condomínios. Temos os melhores imóveis para venda em São José do Rio Preto e Região!<br><br><br><br>(17) 3 2 1 6 - 3 3 5 3 - (17) 9 8 1 7 3 - 9 2 2 0 WhatsApp<br><br><br><br>VISITAS REALIZADAS MEDIANTE AGENDAMENTO COM CORRETOR!; CS:Master sorveteira, BR:Boi Bom, SU:E M Doutor Norberto Buzzini, SU:Colégio Luminum Delphos, SC:O Papa da Informática, SC:Alonso Gesso, SC:Marmoraria Paulista, SC:Real Atacado
