IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2498037096; APARTMENT; UNIT; BR; Itu; SP; ; BR>Sao Paulo>NULL>Itu>Barrios>Jardim das Rosas; Jardim das Rosas; RESIDENTIAL; 75; 75; Comprar; 230000; 1; 1; 2; 3; 322; 13309510; Ótimo apartamento com 3 dormitórios (sendo 1 suíte), sala 2 ambientes, sacada, 1 vaga coberta, segurança 24 horas e excelente localização. -; PH:Super Drogão, SC:MM Materiais p/ Construção, SC:MM Materiais para Construção, SC:Supermercado Pão de Açucar
2493619465; APARTMENT; UNIT; BR; Itu; SP; ; BR>Sao Paulo>NULL>Itu>Barrios>Jardim das Rosas; Jardim das Rosas; RESIDENTIAL; 75; 75; Comprar; 310000; 0; 1; 2; 3; 360; 13309510; Excelente apartamento com mobília para venda no Condomínio Vila Verde, em Itu. Entre em contato com os nossos consultores. -; PH:Super Drogão, SC:MM Materiais p/ Construção, SC:MM Materiais para Construção, SC:Supermercado Pão de Açucar
2497439278; APARTMENT; UNIT; BR; Itu; SP; Rua das Camélias; BR>Sao Paulo>NULL>Itu>Barrios>Jardim das Rosas; Jardim das Rosas; RESIDENTIAL; 0; 64; Comprar; 243000; 1; 1; 2; 3; 323; 13309510; Apartamento com 3 quartos Residencial Villa Verde em Jardim das Rosas - Itu - SP<br>3 quartos, sendo 1 suíte, 2 banheiros, moveis modulados<br>sala ampla com 2 ambientes <br>Cozinha planejada<br>vaga coberta <br>Bairro Tranquilo e ambiente familiar.<br>Lavanderia <br>Ótimo salão de festas ,playground ,quadra e portaria 24 horas.; PH:Super Drogão, SC:MM Materiais p/ Construção, SC:MM Materiais para Construção, SC:Supermercado Pão de Açucar
2498038181; APARTMENT; UNIT; BR; Itu; SP; ; BR>Sao Paulo>NULL>Itu>Barrios>Jardim das Rosas; Jardim das Rosas; RESIDENTIAL; 75; 75; Comprar; 230000; 1; 1; 2; 3; 340; 13309510; Apartamento com 3 dormitórios, sendo 1 suíte (2 com armários); sala 2 ambientes; cozinha e área de serviço com armários; banheiro social, gás encanado, e 1 vaga de garagem. -; PH:Super Drogão, SC:MM Materiais p/ Construção, SC:MM Materiais para Construção, SC:Supermercado Pão de Açucar
2489216394; APARTMENT; UNIT; BR; Itu; SP; Rua das Camélias; BR>Sao Paulo>NULL>Itu>Barrios>Jardim das Rosas; Jardim das Rosas; RESIDENTIAL; 0; 67; Comprar; 250000; 1; 1; 2; 3; 350; 13309510; Apartamento completo no Condomínio Villa Verde, no 1. andar, com janelas para a Galileu Bicudo e Rua das Camélias (Sem vista para vizinhos) com gesso, sanca, porcelanato, moveis planejados, toda em LED, janelas com tela anti-mosquiteira e tela de proteção infantil. Papel de parede e espelhos! Mobiliário incluso, pronto para morar! Garagem coberta para 1 vaga! Aceitamos casa em condomínio fechado de maior valor!; PH:Super Drogão, SC:MM Materiais p/ Construção, SC:MM Materiais para Construção, SC:Supermercado Pão de Açucar
2498152879; APARTMENT; UNIT; BR; Itu; SP; ; BR>Sao Paulo>NULL>Itu>Barrios>Jardim das Rosas; Jardim das Rosas; RESIDENTIAL; 75; 75; Comprar; 290000; 1; 1; 2; 3; 0; 13309510; Apartamento com 3 dormitórios, sendo 1 suíte; sala 2 ambientes; cozinha com armários; lavanderia e 1 vaga de garagem coberta. -; PH:Super Drogão, SC:MM Materiais p/ Construção, SC:MM Materiais para Construção, SC:Supermercado Pão de Açucar
2496957417; HOME; UNIT; BR; Itu; SP; ; BR>Sao Paulo>NULL>Itu>Barrios>Jardim das Rosas; Jardim das Rosas; RESIDENTIAL; 197; 95; Comprar; 290000; 2; 1; 2; 3; 0; 13309521; .; PH:Super Drogão, SC:MM Materiais p/ Construção, SC:MM Materiais para Construção, SC:Supermercado Pão de Açucar
2496775784; APARTMENT; UNIT; BR; Itu; SP; Rua das Camélias; BR>Sao Paulo>NULL>Itu>Barrios>Jardim das Rosas; Jardim das Rosas; RESIDENTIAL; 0; 75; Comprar; 269000; 1; 1; 2; 3; 360; 13309510; Apartamento para venda tem 75 m² com 3 quartos em Jardim das Rosas - Itu - São Paulo<br>Apartamento completo no Condomínio Villa Verde, no 2º andar, com janelas para a Galileu Bicudo (Sem vista para vizinhos) com gesso, sanca, porcelanato, moveis planejados, toda em LED, janelas com tela anti-mosquiteira e tela de proteção infantil. Papel de parede e espelhos! Pronto para morar! Garagem coberta para 1 vaga! <br><br>condomínio: R$ 360,00 já incluso o gás<br><br>Ok para financiamento... Aceita carro como parte de pagamento; PH:Super Drogão, SC:MM Materiais p/ Construção, SC:MM Materiais para Construção, SC:Supermercado Pão de Açucar
2495907997; APARTMENT; UNIT; BR; Itu; SP; Rua das Camélias; BR>Sao Paulo>NULL>Itu>Barrios>Jardim das Rosas; Jardim das Rosas; RESIDENTIAL; 0; 70; Comprar; 220000; 1; 0; 1; 3; 260; 13309510; Apartamento- Condomínio Vila Verde- Itu/SP<br>70 metros <br>R$ 220.000.00<br>03 dormitórios com planejados , lavanderia, cozinha com armário , wc social, área de lazer completa,<br>1 vaga coberta<br>*Área de lazer completa.; PH:Super Drogão, SC:MM Materiais p/ Construção, SC:MM Materiais para Construção, SC:Supermercado Pão de Açucar
2499351810; APARTMENT; UNIT; BR; Itu; SP; Rua das Camélias; BR>Sao Paulo>NULL>Itu>Barrios>Jardim das Rosas; Jardim das Rosas; RESIDENTIAL; 70; 70; Comprar; 220000; 1; 1; 2; 3; 320; 13309510; garagem coberta para 01 carro, sala para 02 ambientes (estar/jantar), cozinha, área de serviço, banheiro social, 03 dormitórios sendo 01 suíte. -; PH:Super Drogão, SC:MM Materiais p/ Construção, SC:MM Materiais para Construção, SC:Supermercado Pão de Açucar
2467611699; APARTMENT; UNIT; BR; Itu; SP; Rua das Camélias; BR>Sao Paulo>NULL>Itu>Barrios>Jardim das Rosas; Jardim das Rosas; RESIDENTIAL; 75; 65; Comprar; 230000; 1; 1; 2; 3; 0; 13309510; Lindo Apartamento em Itu SP, Condomínio Residencial Vila Verde com 65 m2 3 dormitórios sendo 1 suíte e 1 vaga de garagem coberta 215.000,00<br><br>O Apartamento possui :<br><br>3 dormitórios sendo uma suíte com closet e armário, Sala dois ambientes com piso laminado, cozinha com armário planejado, banheiro com box de vidro, gabinete em madeira, cuba em vidro e espelho, lavanderia com armarios, os 3 dormitórios possui piso laminado<br><br>Condominio com infra estrutura completa:<br>Portaria com segurança 24 horas, cerca eletrica, churrasqueira, playgraud, campo de futebol, quadra de volei.<br><br>Aceita terreno como parte de pagamento<br><br>Agende uma visita com um de nossos corretores !R$ 215.000,00 -; PH:Super Drogão, SC:MM Materiais p/ Construção, SC:MM Materiais para Construção, SC:Supermercado Pão de Açucar
2448061398; APARTMENT; UNIT; BR; Itu; SP; ; BR>Sao Paulo>NULL>Itu>Barrios>Jardim das Rosas; Jardim das Rosas; RESIDENTIAL; 60; 60; Comprar; 215000; 1; 0; 2; 3; 280; 13309510; OPORTUNIDADE- Apartamento com 3 dormitorios a venda!<br>Estuda terreno como parte de pagamento.<br>Aceita financiamento.<br><br>Agende uma visita! -; PH:Super Drogão, SC:MM Materiais p/ Construção, SC:MM Materiais para Construção, SC:Supermercado Pão de Açucar
2499436818; HOME; UNIT; BR; Itu; SP; ; BR>Sao Paulo>NULL>Itu>Barrios>Jardim das Rosas; Jardim das Rosas; RESIDENTIAL; 157; 157; Comprar; 350000; 2; 1; 2; 3; 0; 13309672; Quem esta com calor ai ? Venha viver bons momentos neste ambiente fresquinho e recém reformado . Casa com : - 3 dormitórios sendo 1 suíte; - 2 banheiros com armários;,- Sala com sanca de gesso com luminárias;,- Cozinha americana com armários;- 2 vagas de garagem coberta;- Lavanderia;- Quintal; Excelente localização: * Próximo de padarias, restaurantes, escolas, creches, ciclovia, academias e supermercados. E tudo isto da para fazer a pé , economizando a sua gasolina .* 4 minutos do centro e fácil acesso á rodovias;; PH:Super Drogão, SC:MM Materiais p/ Construção, SC:MM Materiais para Construção
84560587; HOME; UNIT; BR; Itu; SP; Rua das Orquídeas; BR>Sao Paulo>NULL>Itu>Barrios>Jardim das Rosas; Jardim das Rosas; RESIDENTIAL; 148; 71; Comprar; 220000; 3; 0; 1; 3; 0; 13309491; www.imperialimoveisitu.com.br<br>Rua: Paula Souza,297 Centro - Itu<br>11_2429_2192<br><br>CASA NO BAIRRO <br>JARDIM DAS ROSAS <br>EM ITU<br>Residência à venda no Jd. Das Rosas, em Itu!<br><br>Casa com sala, copa e cozinha, lavanderia.<br>Três dormitórios, um banheiro,<br>Quintal.<br>Garagem para 3 carros.<br><br>Ref.: CB03224<br>Área Construída: 71 m²<br>Área Terreno: 148 m²<br>Topografia: Terreno Plano<br>Valor de Venda: R$ 220.000<br>Aceita Financiamento; PH:Super Drogão, SC:MM Materiais p/ Construção, SC:MM Materiais para Construção, SC:Supermercado Pão de Açucar, BR:Bar do Farias
77002779; HOME; UNIT; BR; Itu; SP; Avenida das Rosas; BR>Sao Paulo>NULL>Itu>Barrios>Jardim das Rosas; Jardim das Rosas; RESIDENTIAL; 128; 128; Comprar; 310000; 2; 2; 2; 2; 0; 13309520; Casa com 2 dormitórios, sendo 2 suítes, 1 lavabo, 1 banheiro, cozinha, sala, garagem com portão automático para 2 vagas cobertas, sala com varanda, quintal com churrasqueira, casa toda com piso, caixa da água de 1.500lt.<br>AT: 125.00M²<br>AC: 128.84M²<br><br>Valor de venda R$330.000,00<br>Aceita permuta; PH:Super Drogão, SC:MM Materiais p/ Construção, SC:MM Materiais para Construção, SC:Supermercado Pão de Açucar
2486309879; HOME; UNIT; BR; Itu; SP; ; BR>Sao Paulo>NULL>Itu>Barrios>Jardim das Rosas; Jardim das Rosas; RESIDENTIAL; 175; 238; Comprar; 500000; 2; 1; 2; 3; 0; 13310525; Casa PERMUTA Com Chácara. 238m2 de área construída. 3 dormitórios sendo uma suite com ar e hidro.<br>Em ótimo bairro da cidade, a 7 minutos do centro da cidade.<br>Todos dormitórios com armários, Banheiro social.<br>Sala com dois ambientes, barzinho, lavabo.<br>Cozinha repleta de armários.<br>Quintal com churrasqueira, forno e fogão a lenha<br>Lavanderia e garagem com portão eletrónico para dois autos<br>*** Estuda PERMUTA com CHÁCARAS tendo como preferência, Santa Inês, Flórida, 7 quedas e Santa Rosa Salto, -; PH:Super Drogão, BR:Bar do Farias, SC:MM Materiais p/ Construção, SC:MM Materiais para Construção, SC:Supermercado Pão de Açucar
2493618883; APARTMENT; UNIT; BR; Itu; SP; Rua das Camélias; BR>Sao Paulo>NULL>Itu>Barrios>Jardim das Rosas; Jardim das Rosas; RESIDENTIAL; 75; 75; Comprar; 255000; 0; 1; 2; 3; 320; 13309510; Apartamento para venda no condomínio Vila Verde em Itu/SP. Próximo a escolas, supermercado, padarias e a 5 minutos do Centro, com três dormitórios sendo uma suíte todos com armários, sala para dois ambientes, cozinha planejada, banheiro social com box blindes e armário, garagem coberta para um carro. -; PH:Super Drogão, SC:MM Materiais p/ Construção, SC:MM Materiais para Construção, SC:Supermercado Pão de Açucar
2493109179; APARTMENT; UNIT; BR; Itu; SP; ; BR>Sao Paulo>NULL>Itu>Barrios>Jardim das Rosas; Jardim das Rosas; RESIDENTIAL; 48; 48; Comprar; 180000; 0; 0; 1; 2; 230; 13310610; Lindo apartamento com 02 dormitórios, 01 vaga de garagem, fino acabamento, porcelanato e carpete de madeira. Aceita financiamento. -; SC:MM Materiais p/ Construção, SC:MM Materiais para Construção
2439064284; APARTMENT; UNIT; BR; Itu; SP; Rua das Camélias; BR>Sao Paulo>NULL>Itu>Barrios>Jardim das Rosas; Jardim das Rosas; RESIDENTIAL; 0; 75; Comprar; 270000; 1; 1; 2; 3; 0; 13309510; Imperial Imóveis - Tradição em bons negócios<br>www.imperialimoveisitu.com.br<br>@imperialimoveis_itu<br>Telefone: 11_9_4381_0321 / 11_2429_2192<br><br>APARTAMENTO NO EDIFÍCIO <br>VILLA VERDE <br>EM ITU<br>Belíssima Apartamento a venda no Residencial Villa Verde, em Itu!<br><br>- Sala 2 ambientes;<br>- Cozinha com armários;<br>- 3 dormitórios, sendo 1 suítes todas com armários;<br>- Garagem 1 vaga.<br><br>Todos reformado.<br>Ref.: AP03267<br>Área Construída: 75 m²<br>Topografia: Terreno Plano<br>Valor de Venda: R$ 270.000<br>Aceita Financiamento Permuta; PH:Super Drogão, SC:MM Materiais p/ Construção, SC:MM Materiais para Construção, SC:Supermercado Pão de Açucar
2483755891; APARTMENT; UNIT; BR; Itu; SP; ; BR>Sao Paulo>NULL>Itu>Barrios>Jardim das Rosas; Jardim das Rosas; RESIDENTIAL; 67; 67; Comprar; 230000; 1; 0; 1; 3; 0; 13309510; Apartamento, com 3 dormitórios, para vender ou alugar no Condomínio Residencial Vila Verde em Itu. 3 dormitórios, sendo 2 com armários e ventiladores, sala com painel para tv, banheiro social, cozinha com armários planejados e lavanderia com armários. Possui uma vaga coberta em frente da porta do Bloco. Tem 67m2 de área<br>Atualmente encontra-se ocupado mas isso é negociável.<br>***** Estuda propostas *****<br>O Condomínio Residencial VILA VERDE possui portaria 24 horas, automatizada e com vigilante. Tem amplo salão de festa, com tv, todo equipado, ventiladores, churrasqueira e cozinha completa, dois banheiros. Ruas arborizadas, coreto, dois playground, campo de futebol, quadra de vôlei de areia, poço artesiano, cerca elétrica perimetral, escritório do síndico e zelador. -; PH:Super Drogão, SC:MM Materiais p/ Construção, SC:MM Materiais para Construção, SC:Supermercado Pão de Açucar
2488547484; HOME; UNIT; BR; Itu; SP; Rua Joaquim Antônio de Freitas Júnior; BR>Sao Paulo>NULL>Itu>Barrios>Jardim das Rosas; Jardim das Rosas; RESIDENTIAL; 195; 154; Comprar; 370000; 2; 1; 1; 3; 0; 13310530; garagem coberta para 02 carros, sala estar ampla, copa/cozinha, banheiro social, 03 dormitórios sendo 01 suíte, área de serviço rancho, churrasqueira, quarto de despejo, banheiro externo e quintal.;<br>Documentação 100% -; PH:Super Drogão, BR:Bar do Farias, SC:MM Materiais p/ Construção, SC:MM Materiais para Construção, SC:Supermercado Pão de Açucar
2493616038; HOME; UNIT; BR; Itu; SP; Rua das Acácias; BR>Sao Paulo>NULL>Itu>Barrios>Jardim das Rosas; Jardim das Rosas; RESIDENTIAL; 186; 127; Comprar; 245000; 1; 1; 2; 3; 0; 13309521; Casa a venda no Jardim das Rosas em Itu com 186 m² de terreno e 126,59 m² de área construída, boa localização, próximo a comércios, ponto de ônibus, rua tranquila.<br>03 quartos sendo 01 suíte, hall de entrada, sala de estar com terraço, banheiro social, copa, cozinha, quintal com área de serviço e despensa.<br>Oportunidade para investimento, aceita financiamento e permuta com terreno. -; PH:Super Drogão, SC:MM Materiais p/ Construção, SC:MM Materiais para Construção, SC:Supermercado Pão de Açucar
