IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2499459781; COMMERCIAL_PROPERTY; UNIT; BR; São Paulo; SP; Avenida Salim Antônio Curiati; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jurubatuba; Jurubatuba; COMMERCIAL; 2497; 3980; Alugar/Comprar; 170000; 20; 0; 0; 0; 0; 04690050; Acesso? Confere, a 100 metros da avenida Nações Unidas. <br> <br>Espaços adaptados? Confere, visualize as fotos e certifique-se das disposições e possibilidades que são muitas. <br> <br>Infraestrutura? Confere também. <br> <br> <br> <br>Dados técnicos resumidos. <br> <br>- Prédio + galpão novo. <br> <br>- Prédio com isolamento térmico, janelas com vidros laminados para redução de ruídos e transmissão de calor. Elevadores eco. <br> <br>- Preparado para ar condicionado e iluminação de alta eficiência e baixo consumo. <br> <br>- Reuso de água fluviais para banheiros, aquecimento solar para os banheiros e vestiários. Piso térreo com 1740 m2. Piso industrial de até 5 toneladas. <br> <br>- Pé direito com parte de 8,5 metros e parte com 5 metros. Banheiros na Recepção <br> <br>- 1º andar com 810 m2 com banheiros, refeitório, sala de descanso e enfermaria. <br> <br>- 2º andar com 1601M² com banheiros e vestiários. <br> <br> <br> <br>- Cobertura com 88 m2. <br> <br>- Elevador de carro/ carga; elevador social modelo Eco. <br> <br>- Estacionamento privativo no último andar. <br> <br>- Entrada para caminhões. <br> <br> <br> <br>Imóvel em localização privilegiada. A 100 metros da avenida das Nações Unidas. Próximo da avenida Interlagos/ Washington Luiz, Nossa Sra. do Sabará e estação Jurubatuba da CPTM. <br> <br> <br> <br>A ficha técnica é ampla, mas mesmo assim temos muito a explicar sobre essa oportunidade corporativa para a sua operação. Converse com os consultores especializados e seja informado sobre todos os detalhes.; BS:Av. Das Nações Unidas, 22013, BS:Av. Interlagos, 3501, BS:GGD Metals, BS:Av. Interlagos, 3060, BS:Parada Eusébio Stevaux B/C, TS:Cemitério do Campo Grande, TS:Jurubatuba, TS:Av. Das Nações Unidas, 22013, TS:Av. Interlagos, 3501, TS:GGD Metals, CS:Panificadora Bandeirantes, CS:Padaria Veleiros, CS:Doceria Nevada, CS:Belfort Panificadora, CH:Hospital Vida's, CH:Ambulatório Médico de Especialidades Jardim dos Prados
2452601409; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Engenheiro Alberto de Zagottis; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jurubatuba; Jurubatuba; RESIDENTIAL; 134; 134; Comprar; 1100000; 2; 3; 5; 3; 1100; 04675085; Edifício com acessibilidade e localização privilegiada. Bicicletário e acesso fácil as principais ciclovias (ciclovia e ciclofaixa). 3 suítes, hall social individual, living para 2 ambientes, lavabo, amplo terraço gourmet com churrasqueira, fechamento de vidro e integrado com a cozinha. Armários embutidos nas suítes e cozinha. Ampla lavanderia, despensa, WC empregados. Hall de serviços independente. 2 vagas de garagem cobertas. <br>Localizado na Av. Eng. Alberto de Zagottis. Condomínio Splendido. Condomínio possui churrasqueiras, ampas áreas verdes com espelho d'água, piscina adulto e infantil, piscina aquecida, brinquedoteca, espaço gourmet, quadras poliesportivas, sala fitness, playground, salão de jogos teen e adulto, churrasqueira coletiva, redário e muito mais. <br>Ótima localização, paralela a Marginal Pinheiros, próximo ao Shopping SP Market e Estação Jurubatuba da CPTM. Próximo ao SENAC e aos melhores colégios da região: Colégio Santa Maria, Magno, Magister entre outros. Região com grandes opções de lazer, serviços e gastronomia.; BS:Av. Das Nações Unidas, 22013, BS:Av. Interlagos, 3501, BS:GGD Metals, BS:Av. Interlagos, 3060, BS:Vitor Manzini - 1 B/C, TS:Jurubatuba, TS:Av. Das Nações Unidas, 22013, TS:Cemitério do Campo Grande, TS:Av. Interlagos, 3501, TS:GGD Metals, CS:Padaria Veleiros, CS:Doceria Nevada, CS:Panificadora Bandeirantes, CS:Belfort Panificadora, CH:Hospital Vida's, CH:Ambulatório Médico de Especialidades Jardim dos Prados
2452605083; APARTMENT; UNIT; BR; São Paulo; SP; Rua Vicentina Gomes; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jurubatuba; Jurubatuba; RESIDENTIAL; 80; 80; Comprar; 590000; 1; 2; 3; 3; 700; 04696270; Edifício com acessibilidade e localização privilegiada. Bicicletário e acesso fácil as principais ciclovias (ciclovia e ciclofaixa). Lindo Apartamento Garden!!!! 3 dormitórios sendo 1 suíte, Lavabo, Sala para 2 ambientes integrada com a varanda, fechamento da varanda em vidro e cortina rolo, armários embutidos na suíte e cozinha, hall de serviços independente, 1 vaga de garagem coberta. <br>Localizado no Living Club Chácara Flora. O Condomínio possui lazer completo: Piscinas adulto e infantil, Piscina aquecida, 2 Saunas, Academia, Lan House, DogWalk, Sala bebê, 2 Churrasqueiras, Quadra Esportiva, Sala Cinema, Salão de Festas, Segurança 24 Horas<br><br>Ótima Localização, ao lado da Marginal Pinheiros, próximo ao Shopping SP Market, Morumbi entre outros. Região com grandes opções de lazer, serviços e gastronomia.<br><br>Agende uma visita com nossos corretores!; BS:Vitor Manzini - 2 C/B, BS:Vitor Manzini - 1 B/C, BS:Vitor Manzini - 1 C/B, BS:Parada Eusébio Stevaux B/C, BS:Parada Dom Francisco de Souza, TS:Cristiano Rolim B/C, TS:Vitor Manzini - 2 C/B, TS:Vitor Manzini - 1 B/C, TS:Vitor Manzini - 1 C/B, TS:Vitor Manzini - 2 B/C, CS:Gêmel, CS:Padaria Veleiros, CS:Doceria Nevada, SC:AR Motors Renault, SC:Armarinhos Fernando, SC:L&L Calhas, SC:Mecânica Arini, SC:Skala
2452602097; APARTMENT; UNIT; BR; São Paulo; SP; Rua Vicentina Gomes; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jurubatuba; Jurubatuba; RESIDENTIAL; 94; 94; Comprar; 700000; 2; 1; 3; 3; 880; 04696270; Edifício com acessibilidade e localização privilegiada. Bicicletário e acesso fácil as principais ciclovias (ciclovia e ciclofaixa). 3 dormitórios sendo 1 suíte, living para 2 ambientes, ampla varanda gourmet com ponto grill virado para o Golf Club, armários embutidos nos dormitórios e cozinha, lavabo, lavanderia, hall de serviços independente, 2 vagas de garagem cobertas. <br>Localizado no Living Club Chácara Flora. O Condomínio possui lazer completo: Piscinas adulto e infantil, Piscina aquecida, 2 Saunas, Academia, Lan House, DogWalk, Sala bebê, 2 Churrasqueiras, Quadra Esportiva, Sala Cinema, Salão de Festas, Segurança 24 Horas<br><br>Ótima Localização, ao lado da Marginal Pinheiros, próximo ao Shopping SP Market, Morumbi entre outros. Região com grandes opções de lazer, serviços e gastronomia.<br><br>Agende uma visita com nossos corretores!; BS:Vitor Manzini - 2 C/B, BS:Vitor Manzini - 1 B/C, BS:Vitor Manzini - 1 C/B, BS:Parada Eusébio Stevaux B/C, BS:Parada Dom Francisco de Souza, TS:Cristiano Rolim B/C, TS:Vitor Manzini - 2 C/B, TS:Vitor Manzini - 1 B/C, TS:Vitor Manzini - 1 C/B, TS:Vitor Manzini - 2 B/C, CS:Gêmel, CS:Padaria Veleiros, CS:Doceria Nevada, SC:AR Motors Renault, SC:Armarinhos Fernando, SC:L&L Calhas, SC:Mecânica Arini, SC:Skala
2241695671; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Engenheiro Eusébio Stevaux; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jurubatuba; Jurubatuba; RESIDENTIAL; 132; 132; Comprar; 1100000; 2; 1; 3; 3; 1125; 04696000; próximo ao aeroporto de Congonhas , próximo aos shoppings : sp mark , Interlagos , boa vista, próximos ao colégios: santa maria, colégio magíster, colégio suíço Brasileiro, colégio magno, ao lado do fórum da av... Nações unidas, fácil acesso as marginais, próximo ao autódromo de Interlagos!<br>lazer completo , deposito privativo na garagem , em frente a faculdade Senac, excelente acabamento , ar condicionado , cozinha muito bem equipada.; BS:Av. Das Nações Unidas, 22013, BS:Av. Interlagos, 3501, BS:GGD Metals, BS:Av. Interlagos, 3060, BS:Vitor Manzini - 1 B/C, TS:Jurubatuba, TS:Av. Das Nações Unidas, 22013, TS:Av. Interlagos, 3501, TS:Cemitério do Campo Grande, TS:GGD Metals, CS:Padaria Veleiros, CS:Doceria Nevada, CS:Panificadora Bandeirantes, CS:Belfort Panificadora, CH:Hospital Vida's, CH:Ambulatório Médico de Especialidades Jardim dos Prados
2478039078; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jurubatuba; Jurubatuba; RESIDENTIAL; 73; 73; Comprar; 525000; 2; 1; 2; 2; 560; ; Ótimo apartamento com sala para dois ambientes, varanda, piso laminado, 2 dormitórios (sendo 1 suíte com varanda e closet), opção para três dormitórios, cozinha, área de serviço, 2 vagas cobertas na garagem. <br>Condomínio com portaria 24 horas, jardim, salão de festas e jogos, piscina adulta, coberta e infantil, sauna, quadra de tênis, squash e poliesportiva, brinquedoteca, churrasqueira, academia de ginástica, playground. <br> <br>A APOYO assessora seu financiamento nas principais instituições bancárias, e acompanha o processo até finalizar no Cartório de Registro de Imóveis.; BS:Av. Das Nações Unidas, 22013, BS:Av. Interlagos, 3501, BS:GGD Metals, BS:Vitor Manzini - 2 C/B, BS:Vitor Manzini - 1 B/C, TS:Jurubatuba, TS:Av. Das Nações Unidas, 22013, TS:Av. Interlagos, 3501, TS:Cemitério do Campo Grande, TS:João De Barros B/C, CS:Padaria Veleiros, CS:Doceria Nevada, CS:Panificadora Bandeirantes, CH:Hospital Vida's, CH:Ambulatório Médico de Especialidades Jardim dos Prados
2490247842; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Miguel Yunes; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jurubatuba; Jurubatuba; RESIDENTIAL; 90; 70; Comprar; 465000; 2; 1; 2; 2; 514; 04444000; Condomínio MaxHaus Miguel Yunes. R. Miguel Yunes, 540 - Jardim Sabará São Paulo - SP. Apartamento de 70 m2, com 2 dormitório, 2 vagas de garagem, com armários planejados de alto padrão na cozinha, banheiro e quarto. Próximo ao shopping SP Market e shopping Interlagos. A 1km da estação Jurubatuba (CPTM). Valores sujeitos a correções ! - O condomínio tem fácil acesso à marginal pinheiros e corredor norte-sul. Fica próximo à shoppings, supermercados, padarias e escolas.. Áreas comuns: MaxHaus Café, Lounge, Praça, Playground, Fitness, Lavanderia, Fitzen, Relaxamento, Quadras poliesportiva, Piscina Infantil, Piscina Adulto e Deck. Serviços: MaxHaus Café, Lavanderia Coletiva, oferta de internet wireless. AQUI PERTO TEM: Shopping SP Market Cinemark Market Place Hipermercados Extra e Carrefour Shopping Interlagos Credicard Hall Colégios Magister, Santa Maria e Magno Represa Guarapiranga Autódromo de Interlagos Universidades Ibirapuera e Senac Centro Empresarial d -; BS:Av. Interlagos, 3501, BS:Av. Interlagos, 5181, BS:GGD Metals, BS:Av. Das Nações Unidas, 22013, BS:Av. Interlagos, 3060, TS:Av. Interlagos, 3501, TS:Av. Interlagos, 5181, TS:GGD Metals, TS:Av. Das Nações Unidas, 22013, TS:Av. Interlagos, 3060, CS:Padaria Conveniência Interlagos, CH:Hospital Vida's
2490251792; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Interlagos; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jurubatuba; Jurubatuba; RESIDENTIAL; 72; 62; Comprar; 430000; 1; 1; 2; 2; 480; 04777000; Apartamento para venda em Interlagos Condomínio Vila Terrara. Av. Interlagos, 4455 - Jardim Umuarama,Zona Sul de São Paulo - SP. <br><br>Apartamento em andar alto, com 2 dormitórios sendo 1 suíte 1 vaga, armários Planejados em todos os ambientes. Características das Áreas Comuns: Academia, Área de Lazer, Campo de Futebol, Children Care, Churrasqueira, Copa, Espaço Gourmet, Estacionamento Visitantes, Hall de Entrada, Hidromassagem, Piscina, Playground, Sala de Ginástica, Salão de Festas, Salão de Jogos, Sauna, Vestiário. -; BS:Av. Interlagos, 3501, BS:Av. Das Nações Unidas, 22013, BS:Av. Interlagos, 5181, BS:GGD Metals, BS:Av. Interlagos, 3060, TS:Av. Interlagos, 3501, TS:Av. Das Nações Unidas, 22013, TS:Av. Interlagos, 5181, TS:GGD Metals, TS:Av. Interlagos, 3060, CS:Padaria Veleiros, CS:Doceria Nevada, CS:Padaria Conveniência Interlagos, CS:Nova Suzy, CH:Hospital Vida's, CH:Ambulatório Médico de Especialidades Jardim dos Prados
2477700178; SHED_DEPOSIT_WAREHOUSE; UNIT; BR; São Paulo; SP; Rua Agostino Togneri; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jurubatuba; Jurubatuba; COMMERCIAL; 2380; 2900; Alugar/Comprar; 53000; 15; 0; 8; 0; 0; 04690090; Área Construída 2.900 m² <br>Área Terreno 2.380 m² <br>Área Térreo 1.800 m² <br> <br>1º Pavimento 900 m² <br>2º Pavimento 200 m² <br> <br>Estacionamento Privativo + Entrada para Caminhão; BS:Av. Das Nações Unidas, 22013, BS:Av. Interlagos, 3501, BS:GGD Metals, BS:Av. Interlagos, 3060, BS:Shopping Interlagos, TS:Av. Das Nações Unidas, 22013, TS:Av. Interlagos, 3501, TS:Jurubatuba, TS:GGD Metals, TS:Cemitério do Campo Grande, CS:Panificadora Bandeirantes, CS:Padaria Veleiros, CS:Doceria Nevada, CS:Belfort Panificadora, CH:Hospital Vida's, CH:Ambulatório Médico de Especialidades Jardim dos Prados
2490248427; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Interlagos; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jurubatuba; Jurubatuba; RESIDENTIAL; 72; 62; Comprar; 425000; 1; 1; 2; 2; 500; 04777000; Apartamento para venda em Interlagos no Condomínio Vila Terrara. Av. Interlagos, 4455 - Jardim Umuarama,São Paulo - SP. <br><br>OPORTUNIDADE !! <br><br>Apartamento MOBILIADO em andar alto, com 2 dormitórios sendo 1 suíte 1 vaga, armários Planejados em todos os ambientes.<br><br> Características das Áreas Comuns: Academia, Área de Lazer, Campo de Futebol, Children Care, Churrasqueira, Copa, Espaço Gourmet, Estacionamento Visitantes, Hall de Entrada, Hidromassagem, Piscina, Playground, Sala de Ginástica, Salão de Festas, Salão de Jogos, Sauna, Vestiário...<br>ATUALIZADO EM JULHO 2019 -; BS:Av. Interlagos, 3501, BS:Av. Das Nações Unidas, 22013, BS:Av. Interlagos, 5181, BS:GGD Metals, BS:Av. Interlagos, 3060, TS:Av. Interlagos, 3501, TS:Av. Das Nações Unidas, 22013, TS:Av. Interlagos, 5181, TS:GGD Metals, TS:Av. Interlagos, 3060, CS:Padaria Veleiros, CS:Doceria Nevada, CS:Padaria Conveniência Interlagos, CS:Nova Suzy, CH:Hospital Vida's, CH:Ambulatório Médico de Especialidades Jardim dos Prados
