IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2499455524; HOME; UNIT; BR; São Paulo; SP; Rua Fernando Cortez; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Parque Boturussu; Parque Boturussu; RESIDENTIAL; 225; 125; Comprar; 280000; 2; 1; 2; 3; 0; 03801020; Imóvel recém reformado,possui 100 metros quadrados com 3 quartos sendo 1 suíte e 2 banheiros, churrasqueira, garagem com vaga para dois carros. Vai lhe possibilitar todo o conforto do ar condicionado nos dias mais quentes. <br>DIVIDA BANCARIA<br>NÃO ACEITAMOS FGTS COMO ENTRADA.; BS:Avenida Paranagua, CS:Bom Dia Panificadora, CS:Panificadora Nova Imperador do Trigo, CS:Emporio de Produtos Naturais, CS:Center Carnes Ducastilho, VP:Ração Japonesa, CH:Posto de Saúde - Ubs Pedro de Souza Campos
2482882503; HOME; UNIT; BR; São Paulo; SP; Rua Ovídio Lopes; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Parque Boturussu; Parque Boturussu; RESIDENTIAL; 75; 75; Comprar; 289000; 0; 2; 1; 2; 0; 03804110; PREÇO PROMOCIONAL!!!<br>Lindo sobrado em condomínio fechado no Parque Boturussu. Com 2 dormitórios, sendo 2 suítes, 1 banheiro social, lavabo, sala p/ 2 ambientes, cozinha americana, área de serviço e 2 vagas de garagem (subterrânea). Aproximadamente 75 m², bom acabamento. Lazer com churrasqueira. Excelente localização, próximo das Avenidas Boturussu e Paranaguá, e a todo tipo de comércio da região. -; BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, BS:Avenida Paranagua, BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, TS:Comendador Ermelino, CS:Bom Dia Panificadora, CH:Posto de Saúde - Ubs Pedro de Souza Campos
2496442625; CONDOMINIUM; UNIT; BR; São Paulo; SP; Rua João Marcelino de Souza Gonzaga; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Parque Boturussu; Parque Boturussu; RESIDENTIAL; 66; 65; Comprar; 225000; 1; 0; 2; 2; 0; 03803140; Sobrado em condomínio com 2 dormitórios, sala, cozinha, lavabo, banheiro, lavanderia com churrasqueira privativa e vaga de garagem coberta. <br>- Facilidade na aprovação de financiamento inclusive para você autônomo <br>- Menores taxas de juros já vistas <br>- Acabamento completo <br>- Localização privilegiada <br><br>Não perca essa oportunidade e entre já em contato no número <br>Pedro Henrique Almeida da Silva <br>Gerente Imobiliário; BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, BS:Avenida Paranagua, TS:Comendador Ermelino, TS:USP Leste, CS:Bom Dia Panificadora, CH:Posto de Saúde - Ubs Pedro de Souza Campos, CH:UBS Jardim Keralux
2493347711; CONDOMINIUM; UNIT; BR; São Paulo; SP; Rua Paulo Bifano Alves; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Parque Boturussu; Parque Boturussu; RESIDENTIAL; 500; 60; Comprar; 260000; 1; 2; 3; 2; 0; 03801000; Sobrado Parque Boturussu.<br><br>Composto por 03 dormitórios, 60 m², 2 suítes, 01 lavabo, ampla cozinha, lavanderia, 01 vaga de garagem, com excelente acabamento interno.<br><br>Próximo à uma das principais vias do bairro, onde está amparado por comércios e conduções públicas fácil acesso principais vias como, Paranaguá, Buturussu, São Miguel e muito mais.<br><br>Aceita financiamento e utilização do FGTS ou seu Veículo Sob Avaliação! <br><br>Temos uma assessoria Bancária própria, pronta para lhe atender! <br><br>Ligue e faça sua simulação gratuita, e agende sua visita!<br><br>Siga nossas redes sociais<br>www.agnimoveis.com.br -; BS:Avenida Paranagua, CS:Bom Dia Panificadora, CS:Panificadora Nova Imperador do Trigo, CS:Emporio de Produtos Naturais, CS:Center Carnes Ducastilho, CS:Nova Rio D'Ouro, VP:Ração Japonesa, CH:Posto de Saúde - Ubs Pedro de Souza Campos
2497129677; APARTMENT; UNIT; BR; São Paulo; SP; Rua João Antônio Andrade; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Parque Boturussu; Parque Boturussu; RESIDENTIAL; 0; 37; Comprar; 176000; 0; 0; 1; 2; 0; 03805070; UP LIFE BOTURUSSU <br><br>CORRETORES DE PLANTÃO <br> <br><br>Maravilhoso empreendimento com 38 unidades de 24 m² a 58 m² . Apartamentos de 1 e 2 Dormitórios , Sala , Cozinha , Lavanderia e Banheiro . Opções com Vaga , Elevador , Bicicletário , Salão de Festas e Espaço Gourmet . <br><br>Localização Privilegiada entre o Centro de Ermelino Matarazzo e Ponte Rasa .<br><br>- 200 m da Av. Paranaguá <br>- 600 m d Av. São Miguel / água de Haia <br>- 300 m Parque Linear de Ermelino <br>- Fácil acesso a CPTM Comendador Ermelino <br>- Transporte na porta para Metrô Guilhermina e Tatuapé<br><br>ENTRADA FACILITADA <br><br>GRÁTIS <br>REGISTRO + ITBI * <br><br>FINANCIAMENTO <br>Minha Casa Minha Vida <br>Use seu FGTS<br>Caixa Econômica Federal <br><br>*para os 10 primeiros clientes que fecharem contrato; BS:Avenida Paranagua, BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, TS:Comendador Ermelino, CS:Bom Dia Panificadora, CS:Nova Rio D'Ouro, CH:Posto de Saúde - Ubs Pedro de Souza Campos
2477442932; CONDOMINIUM; UNIT; BR; São Paulo; SP; Rua São Joaquim da Barra; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Parque Boturussu; Parque Boturussu; RESIDENTIAL; 120; 62; Comprar; 299000; 1; 2; 2; 2; 30; 03805140; Sobrado Residencial em Condomínio Fechado com 02 (duas) suites com box blindex, suítes repleta de armários, cozinha planejada, sala para 02 (dois) ambientes, área de serviço, 01 (uma) vaga de garagem, moveis todos planejado. Agende sua visita com o corretor Nelson (011) . Obs: o Imóvel esta alugado o proprietário pode vender para investidor também Aluguel com renda de R$ 1.400,00, se não quiser o inquilino sai tudo certo. -; BS:Avenida Paranagua, BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, CS:Bom Dia Panificadora, CS:Nova Rio D'Ouro, CS:Fênix Casa de Pães, CH:Posto de Saúde - Ubs Pedro de Souza Campos, SC:Bezzerra Cama Mesa e banho, SC:Mini Extra, SC:Negreiros Supermercados - Ponte Rasa, SC:Mercado Yasmim, SC:LCA Modas
2498439376; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Parque Boturussu; Parque Boturussu; RESIDENTIAL; 54; 54; Comprar; 430000; 1; 0; 1; 2; 550; 03805000; Apartamento Padrão para Venda no bairro Parque Boturussu, 2 dorm, 1 vagas, 54 m<br>- Área Privativa: Sacada gourmet, Churrasqueira, Piscina <br>- Área de Lazer: Academia, Salão de festas.<br>- Infra Estrutura: Vaga livre.<br>Aceita financiamento: .<br>Valor do Condóminio R$: 550,00.<br>Utilize seu FGTS como forma de entrada . Atualizado em:; BS:Avenida Paranagua, CS:Bom Dia Panificadora, CS:Panificadora Nova Imperador do Trigo, CS:Emporio de Produtos Naturais, CS:Center Carnes Ducastilho, CS:Nova Rio D'Ouro, VP:Ração Japonesa, CH:Posto de Saúde - Ubs Pedro de Souza Campos
2479878978; RESIDENTIAL_ALLOTMENT_LAND; UNIT; BR; São Paulo; SP; Rua Caetano Leal; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Parque Boturussu; Parque Boturussu; RESIDENTIAL; 370; 370; Comprar; 350000; 0; 0; 0; 0; 0; 03804040; Localizado no Parque Boturussu com 370 m², boa localização próximo a Rua Professor Antônio de Carlos Lopes. REF. TE1069<br>* As informações e valores anunciados foram fornecidos pelo proprietário do imóvel e poderão ser alterados sem prévio aviso.; BS:Avenida Paranagua, BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, TS:Comendador Ermelino, CS:Bom Dia Panificadora, CS:Nova Rio D'Ouro, CH:Posto de Saúde - Ubs Pedro de Souza Campos
2491235192; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Rua Francisco Pizarro; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Parque Boturussu; Parque Boturussu; RESIDENTIAL; 200; 200; Comprar; 440000; 2; 2; 4; 4; 0; 03801040; - Sobrado de 200 m² com 4 dormitórios sendo 2 suítes, sala, cozinha, Banheiro e área de serviço<br>2 vagas de garagem<br>- Área Privativa: Área de serviço, Cozinha, Entrada lateral, Lavabo, Quintal, Sacada, Sala de estar, Sala de jantar.<br>- Infra Estrutura: Interfone, Lavabo, Portão eletrônico<br>- Próximo a Av. São Miguel<br>- Aceita financiamento e utilize seu FGTS Atualizado em:; BS:Avenida Paranagua, TS:Comendador Ermelino, TS:USP Leste, CS:Bom Dia Panificadora, CS:Panificadora Nova Imperador do Trigo, CS:Emporio de Produtos Naturais, CS:Center Carnes Ducastilho, VP:Ração Japonesa
2497890943; HOME; UNIT; BR; São Paulo; SP; Rua João Marcelino de Souza Gonzaga; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Parque Boturussu; Parque Boturussu; RESIDENTIAL; 80; 80; Comprar; 270000; 1; 0; 1; 2; 100; 03803140; Sobrado no bairro Ermelino Matarazzo (Parque Boturussu sala de estar, 1 cozinha planejada espaçosa, 2 grandes dormitórios, 1 banheiro em ótimo estado, área de serviço e 1 vaga de garagem. Área útil do imóvel de 80m² ; Valor i Valor de IPTU isento .Estuda permuta por uma casa de 3 quartos na região Ermelino Matarazzo.; BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, BS:Avenida Paranagua, TS:Comendador Ermelino, TS:USP Leste, CS:Bom Dia Panificadora, CH:Posto de Saúde - Ubs Pedro de Souza Campos, CH:UBS Jardim Keralux
