IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2435921579; APARTMENT; UNIT; BR; São Paulo; SP; Rua Padre Adelino; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Quarta Parada; Quarta Parada; RESIDENTIAL; 85; 85; Comprar; 670000; 1; 1; 2; 3; 642; 03303000; Apartamento bem localizado com 85m2, ao lado tem hospital CEMA e AVICENA, SESC BELENZINHO, à 300 metros do metrô Belém. Prédio construído a 6 anos. Infraestrutura - piscina, churrasqueira, salão de festa, salão de jogos, academia, brinquedoteca, portaria 24 horas, etc. Condomínio 642,00 reais. Apartamento 3 dormitórios, transformado em 2 dormitórios, sala ampliada, sacada com churrasqueira elétrica, dois banheiros sendo uma suíte, 1 vaga de garagem. Acabamentos, piso de madeira na sala e nos quartos, áreas frias porcelanato.; BS:Parada 1/3 Febem, BS:Parada 2 Febem, BS:Rua Taquari, BS:Rua Taquari 156, BS:Bus 257/299 to Aeroporto, TS:Belém, TS:Rua Taquari 156, TS:Rua Taquari, TS:Tatuapé, TS:Parada Cesário Alvim (1-2-3), CS:Tupã Padaria e Confeitaria, CS:Padaria Belga, CS:Cassandoca Pães e Gastronomia, CS:Renascer, CS:Padaria e Confeitaria AM, PH:Sinete 24Horas
2439753187; APARTMENT; UNIT; BR; São Paulo; SP; Rua Serra de Jairé; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Quarta Parada; Quarta Parada; RESIDENTIAL; 37; 37; Comprar; 298000; 0; 1; 1; 2; 250; 03175010; 22 andar - FOTOS DO DECORADO EM CONSTRUÇÃO, ENTREGA PREVISTA PARA ABRIL DE 2021. Localizado em frente ao Metrô Belém, com 36,88m2,, sala, cozinha e área de serviço, caixas de som no teto, piso laminado, tomadas USB, 2 Churrasqueiras, Bicicletário, Espaço Funcional, Espaço Moov, Fitness, Lavanderia, Mini Market, Pet Place, Piscina Adulto e Infantil, Playground, Solarium, estacionamento, lojas. Financiamento direto com o proprietário. - Tenho 2 unidades; BS:Parada 1/3 Febem, BS:Parada 2 Febem, BS:Bus 257/299 to Aeroporto, BS:Rua Taquari, BS:Rua Taquari 156, TS:Belém, TS:Tatuapé, TS:Rua Taquari 156, TS:Rua Taquari, TS:Parada Cesário Alvim (1-2-3), CS:Tupã Padaria e Confeitaria, CS:Padaria Belga, CS:Renascer, CS:Cassandoca Pães e Gastronomia, CS:Padaria e Confeitaria AM, PH:Sinete 24Horas
2499170827; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Quarta Parada; Quarta Parada; RESIDENTIAL; 0; 45; Comprar; 275000; 1; 0; 1; 2; 0; 03302000; O apartamento no bairro Quarta Parada possui 45 metros quadrados com 2 quartos e 1 banheiro<br>Possui área de fitness, espaço gourmet, jardim, parquinho com diferentes brinquedos, salão de festas.<br>Vai lhe possibilitar curtir os dias mais quentes na piscina.Encontra-se na privacidade de um condomínio fechado.<br>Elevador que garante o transporte das suas malas e compras.; BS:Parada 2 Febem, BS:Parada 1/3 Febem, BS:Parada Cesário Alvim (1-2-3), BS:Rua Taquari, BS:Rua Taquari 156, TS:Belém, TS:Parada Cesário Alvim (1-2-3), TS:Rua Taquari 156, TS:Rua Taquari, TS:180. Metrô Bresser-Mooca, CS:Padaria Belga, CS:Tupã Padaria e Confeitaria, CS:Renascer, CS:Padaria e Confeitaria AM, CS:Cassandoca Pães e Gastronomia, PH:Sinete 24Horas
2499069095; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Quarta Parada; Quarta Parada; RESIDENTIAL; 0; 45; Comprar; 270000; 1; 0; 1; 2; 0; 03302000; O apartamento no bairro Quarta Parada com 45 metros quadrados com 2 quartos e 1 banheiro<br>Possui academia, espaço jardinado, parquinho com diferentes brinquedos, salão para festas e eventos, sacada.<br>Vai lhe possibilitar curtir os dias mais quentes na piscina.Fica em um condomínio fechado.<br>Elevador para mais praticidade no dia-a-dia.; BS:Parada 2 Febem, BS:Parada 1/3 Febem, BS:Parada Cesário Alvim (1-2-3), BS:Rua Taquari, BS:Rua Taquari 156, TS:Belém, TS:Parada Cesário Alvim (1-2-3), TS:Rua Taquari 156, TS:Rua Taquari, TS:180. Metrô Bresser-Mooca, CS:Padaria Belga, CS:Tupã Padaria e Confeitaria, CS:Renascer, CS:Padaria e Confeitaria AM, CS:Cassandoca Pães e Gastronomia, PH:Sinete 24Horas
2475362143; HOME; UNIT; BR; São Paulo; SP; Rua Mestre Valentim; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Quarta Parada; Quarta Parada; RESIDENTIAL; 0; 145; Comprar; 795000; 2; 3; 4; 3; 0; 03177050; SOBRADO FRONTAL - QUARTA PARADA AMPLAS 03 SUÍTES, SENDO 01 SUÍTE COM ARMÁRIOS PLANEJADOS, SALA AMPLA DOIS AMBIENTES, LAVABO, COZINHA COM ARMÁRIOS PLANEJADOS, SACADA COM FECHAMENTO EM VIDRO, ÁREA DE SERVIÇO COM TANQUE EM INOX E MOVEL PLANEJADO, QUINTAL COM CHURRASQUEIRA, 02 VAGAS PARA VEÍCULOS - COBERTURA. Excelente acabamento e localização; BS:Rua Pirajá 347, BS:Avenida Sapopemba 262, BS:Avenida Sapopemba 331, BS:Rua Taquari, BS:Rua Taquari 156, TS:Belém, TS:Rua Pirajá 347, TS:Avenida Sapopemba 262, TS:Avenida Sapopemba 331, TS:Tatuapé, CS:Padaria Santa Branca, CS:Açogue Bonas, CS:Cassandoca Pães e Gastronomia, CS:Padaria Falcão, CS:Opala Pães e Doçes, PH:Drogaria Moretti, PH:Sinete 24Horas, PH:Drogaria Itamonte
2485257471; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Álvaro Ramos; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Quarta Parada; Quarta Parada; RESIDENTIAL; 96; 96; Comprar; 250006; 0; 0; 1; 2; 216; 03330000; Apartamento 96,00 m2 REF 54303<br><br>Apartamento com janelas grandes, ventilado e iluminado, parte elétrica toda nova e revisada, sala para 2 ambientes, piso laminado, 2 dormitórios espaçosos com armários nos, cozinha com gabinete e armários, banheiro com gabinete, espelho e box.área de serviço, prédio sem elevador, andar baixo, ótima localização e total infra estrutura de comércio na região próximo Sesc Belenzinho.<br><br>Agende hoje mesmo uma visita!; BS:Rua Pirajá 347, BS:Avenida Sapopemba 262, BS:Avenida Sapopemba 331, BS:Avenida Sapopemba 535, BS:Avenida Sapopemba 572, TS:Rua Pirajá 347, TS:Avenida Sapopemba 262, TS:Avenida Sapopemba 331, TS:Avenida Sapopemba 535, TS:Avenida Sapopemba 572, CS:Padaria Santa Branca, CS:Açogue Bonas, CS:Big Pão Panif. e Confeitaria, CS:Padaria Falcão, CS:Padaria Lisboa, PH:Drogaria Moretti, PH:Neo Farma  Manipulação, PH:Neo Farma Manipulação, PH:Drogaria Itamonte
1871705479; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Quarta Parada; Quarta Parada; RESIDENTIAL; 110; 98; Comprar; 320000; 0; 0; 2; 2; 0; 03174080; Vendo sobrado no Belenzinho!<br><br>02 dormitórios, 01 banheiro no andar de cima. Sala para 02 ambientes com piso frio antigo. Cozinha espaçosa com piso frio antigo e azulejos antigos podendo ser pintados. Quintal com espaço de possibilidade de se fazer uma garagem. Pequeno banheiro no quintal. Dormitórios: Piso com taco. Sobrado necessita de reforma.<br>Tempo de construção : 40 anos. <br><br>IPTU: R$ 35,00. <br>ÁREA TOTAL: 110 m² <br>ÁREA ÚTIL: 98 m² <br><br>Localização Privilegiada: Travessa da Rua Tobias Barretos, Metrô Belém, Colégios, Faculdade Anhanguera, Hospital Cema, Comércio em geral. <br><br>Agende sua Visita!!!<br> /; BS:Parada 1/3 Febem, BS:Rua Taquari, BS:Parada 2 Febem, BS:Rua Taquari 156, BS:Bus 257/299 to Aeroporto, TS:Belém, TS:Rua Taquari, TS:Rua Taquari 156, TS:Tatuapé, TS:Rua Pirajá 347, CS:Cassandoca Pães e Gastronomia, CS:Padaria Santa Branca, CS:Açogue Bonas, CS:Tupã Padaria e Confeitaria, CS:Opala Pães e Doçes, PH:Sinete 24Horas, PH:Drogaria Moretti
2268355489; HOME; UNIT; BR; São Paulo; SP; Rua Ubajara; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Quarta Parada; Quarta Parada; RESIDENTIAL; 200; 200; Comprar; 680000; 2; 1; 4; 3; 0; 03174120; Ótimo sobrado, 300 Metros do Metrô Belém, próximo de Mercados,Feiras, acesso rápido para Radial Leste.<br>3 Dormitórios 1 Suíte, Cozinha , Sala de Jantar, Lavanderia.<br>Edícula com Dormitório de empregada + Wc, Salão no andar superior.<br>2 Vagas de Garagem cobertas,Portão Automático.<br>Sobrado com Excelente Acabamento. -; BS:Parada 1/3 Febem, BS:Parada 2 Febem, BS:Bus 257/299 to Aeroporto, BS:Rua Taquari, BS:Rua Taquari 156, TS:Belém, TS:Tatuapé, TS:Rua Taquari, TS:Rua Taquari 156, TS:Rua Pirajá 347, CS:Tupã Padaria e Confeitaria, CS:Padaria Santa Branca, CS:Açogue Bonas, CS:Cassandoca Pães e Gastronomia, CS:Opala Pães e Doçes, PH:Drogaria Moretti, PH:Sinete 24Horas
2444449886; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Quarta Parada; Quarta Parada; RESIDENTIAL; 60; 60; Comprar; 286200; 0; 0; 1; 1; 260; 03177010; Vendo apartamento na Moóca!<br><br>Apartamento recém reformado (2014), sendo trocado toda parte hidráulica, elétrica, alvenaria. Ótima localização com bancos, universidades, colégios, farmácia, açougue, supermercados. Condomínio de baixo valor, não é contribuinte do IPTU, bloco com poucas unidades. Ótimo local para idosos, pessoas sozinhas ou casais recém casados.<br><br>Agende sua Visita!!!<br> /; BS:Rua Pirajá 347, BS:Rua Taquari, BS:Rua Taquari 156, BS:Avenida Sapopemba 262, BS:Avenida Sapopemba 331, TS:Belém, TS:Rua Pirajá 347, TS:Rua Taquari, TS:Rua Taquari 156, TS:Avenida Sapopemba 262, CS:Padaria Santa Branca, CS:Açogue Bonas, CS:Cassandoca Pães e Gastronomia, CS:Opala Pães e Doçes, CS:Padaria Falcão, PH:Drogaria Moretti, PH:Sinete 24Horas, PH:Drogaria Itamonte
2493010077; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Quarta Parada; Quarta Parada; RESIDENTIAL; 93; 93; Comprar; 830000; 2; 1; 1; 3; 0; 03174000; Forma287<br>O Forma287 disponibiliza opções de apartamentos de 93m² à 119m², sendo 3 dormitórios (1 suíte) ou 3 suítes, para você escolher o que mais combinas com o seu estilo de vida. Com design exclusivo, esse empreendimento tem as medidas ideais para quem quer viver com mais conforto, trazendo detalhes que fazem toda a diferença para um dia a dia ainda mais prático: tomadas USB nos dormitórios, aquecimento solar entregue funcionando, misturador de água quente nos banheiros e na cozinha entre outros.<br><br>Áreas Sociais<br>Bicicletário<br>Brinquedoteca<br>Churrasqueira e Forno para pizza<br>Espaço Gourmet<br>Fitness<br>Pet Place<br>Piscina Adulto<br>Piscina Infantil<br>Playground<br>Quadra Recreativa<br>Salão de Festas<br>Salão de Jogos<br>Sauna<br>Solarium.<br><br>CRECI - 205180-F<br><br>Fale conosco: -; BS:Parada 1/3 Febem, BS:Parada 2 Febem, BS:Bus 257/299 to Aeroporto, BS:Rua Taquari, BS:Rua Taquari 156, TS:Belém, TS:Tatuapé, TS:Rua Taquari, TS:Rua Taquari 156, TS:Parada Oratório, CS:Tupã Padaria e Confeitaria, CS:Cassandoca Pães e Gastronomia, CS:Padaria Belga, CS:Padaria Santa Branca, CS:Açogue Bonas, PH:Sinete 24Horas, PH:Drogaria Moretti
