IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2469788299; APARTMENT; UNIT; BR; São Paulo; SP; Rua Salvador Pires de Lima; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Sacoma; Sacomã; RESIDENTIAL; 4450; 74; Comprar; 452000; 2; 1; 2; 3; 450; 04248000; APARTAMENTO A VENDA NO SACOMÃ, 3 DORMITÓRIOS, 1 SUITE. 2 VAGAS DE GARAGEM. LAZER COMPLETO COM PISCINA BAR DOS AMIGOS, ESPAÇO GOURMET. LOCALIZADO A 4 MIN. DO METRÔ SACOMÃ.<br>74 m², 3 dormitórios sendo 1 suíte. Sala com 2 ambientes, sala de jantar e tv integrada ao terraço gourmet com churrasqueira. 2 banheiros com ventilação e iluminação natural. Cozinha americana com bastante espaço para armários + área de serviço reservada com passagem para o terraço.<br>Com direito a 2 vagas de garagem.<br>Lazer completo com: piscina adulto e infantil, deck molhado, solarium, salão de festas, espaço gourmet, bar dos amigos, churrasqueira com forno de pizza salão de games, street ball, espaço de dança e luta, playground, brinquedoteca, cantinho da brincadeira, pet place.<br>Localizado a 4 min. do Metrô Sacomã, com fácil acesso às principais vias de São Paulo e ao ABC. Região com infraestrutura completa, incluindo rede bancária, restaurantes, supermercados, farmácias, escolas etc.<br><br>As informações estão sujeitas a alterações. Consulte o corretor responsável. Fotos ilustrativas.<br><br>MONTREAL BUSINESS<br>CRECI - 30023 J -; BS:Parada Praça Gaúcha, BS:Passarela Antônio Vanzella, BS:Ponto Final/Inicial Linha, BS:Estação Rua do Grito, TS:Parada Praça Gaúcha, TS:Passarela Antônio Vanzella, TS:SAO BERNARDO DO CAMPO (VILA EURO)/ SAO PAULO (TERMINAL SACOMA), TS:Ponto Final/Inicial Linha, TS:Parada E.E.Professor José Escobar, CS:Denver 3, CS:M2, CS:Nossa Vila, CS:Café Donuts, PH:SOS Farma Ponte
2496063350; APARTMENT; UNIT; BR; São Paulo; SP; Rua Nossa Senhora das Mercês; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Sacoma; Sacomã; RESIDENTIAL; 75; 75; Comprar; 515000; 2; 1; 2; 3; 645; 04165001; Apartamento de 75 m² no Sacomã.<br>Com planta bem distribuída, imóvel possui 3 quartos (sendo 1 suíte), 2 banheiros e 2 vagas de estacionamento. <br><br>Condomínio com lazer completo: academia, salão de festas e de jogos, churrasqueira, piscina adulto e infantil, brinquedoteca, sauna e área verde. Localizado entre a Avenida Pres. Tancredo Neves e a Rodovia Anchieta, vias de importância para a cidade de São Paulo,também tem fácil acesso a diversos comércios locais como lojas, mercados, farmácias, padarias, restaurantes, bares e escolas.<br><br>Venha conhecer e se apaixonar por esse imóvel incrível!<br><br>* Imagens gráficas do apto.<br>** Preço já inclui o valor da reforma sugerida, favor consultar o memorial descritivo.<br>*** Em caso da compra sem a reforma, o valor é de R$ 485.000 -; BS:Passarela Antônio Vanzella, BS:Parada Praça Gaúcha, BS:Parada Maria Pereira Lima, TS:Passarela Antônio Vanzella, TS:Parada Praça Gaúcha, TS:Parada Maria Pereira Lima, CS:Nossa Vila, CS:Panificadora e Confeitaria Nobre Pão Ltda., CS:Trigo Bom, CS:M2, CS:Monte Blanco, PH:Styllus Farma, PH:SOS Farma Ponte
2498368927; APARTMENT; UNIT; BR; São Paulo; SP; Rua Moacir Guimarães; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Sacoma; Sacomã; RESIDENTIAL; 48; 48; Comprar; 243800; 1; 0; 1; 2; 400; 04256390; Apartamento com 2 Dormitórios no Condomínio Alta Vista Residencial<br>- Imóvel novo, nunca habitado<br>- Cozinha com cerâmica e integrada à área de serviço<br>- Living para 2 ambientes integrada ao terraço com pia e ponto grill<br>- 2 dormitórios no contrapiso<br>- Banheiro com ventilação natural<br><br>Acabamento:<br>- Cozinha e Área de Serviço com cerâmica no piso e nas paredes hidráulicas<br>- Living no contrapiso, com paredes e teto pintados<br>- Terraço com piso em cerâmica, com pia e ponto grill<br>- Dormitórios no contrapiso e paredes pintadas<br><br>Localização:<br>A 200 metros do Largo São joão Clímaco, região com bancos, comércio e serviços<br>A 850 metros da Rodovia Anchieta, com fácil acesso para a região do ACB, Litoral e Rodoanel<br>A 8 minutos da estação Sacomã do metrô<br>A 15 minutos do Shopping Plaza Sul<br><br>Descrição do condomínio:<br>O Condomínio Alta Vista Residencial está conta com torre única, com portaria e segurança 24 horas. A área de lazer conta com Piscina adulto e infantil, Salão -; BS:Parada Praça Gaúcha, BS:Passarela Antônio Vanzella, BS:Parada Maria Pereira Lima, BS:Parada AME Barradas, BS:Parada Passarela Nelson Corazza, TS:Parada Praça Gaúcha, TS:Passarela Antônio Vanzella, TS:Parada Maria Pereira Lima, TS:Parada AME Barradas, TS:Parada Passarela Nelson Corazza, CS:Panificadora e Confeitaria Nobre Pão Ltda., CS:Nossa Vila, CS:Denver 3, CS:Trigo Bom, CS:M2, PH:SOS Farma Ponte
2434763784; APARTMENT; UNIT; BR; São Paulo; SP; Rua Salvador Pedroso; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Sacoma; Sacomã; RESIDENTIAL; 0; 60; Comprar; 400000; 2; 0; 1; 2; 470; 04249100; Apartamento arejado, iluminação natural, piso em porcelanato polido, sanca em gesso ( com iluminação embutida), varanda gourmet (com churrasqueira), 2 vagas de garagem,medidor de água individualizado, itens de lazer completo (piscina climatizada, salão de jogos, churrasqueira, quadra, brinquedoteca, salão de festas, academia, 4 elevadores). Imóvel localizado a 5 minutos de carro do metro sacomã, ponto de ônibus praticamente em frente. A menos de 10 min do parkshopping São Caetano e hipermercados,fácil acesso a Rodovia Anchieta e av. Presid.Tancredo neves dentre outras...ótima oportunidade!; BS:Parada Praça Gaúcha, BS:Passarela Antônio Vanzella, BS:Ponto Final/Inicial Linha, TS:Parada Praça Gaúcha, TS:Passarela Antônio Vanzella, TS:SAO BERNARDO DO CAMPO (VILA EURO)/ SAO PAULO (TERMINAL SACOMA), TS:Ponto Final/Inicial Linha, TS:Parada E.E.Professor José Escobar, CS:Denver 3, CS:M2, CS:Panificadora e Confeitaria Nobre Pão Ltda., PH:SOS Farma Ponte
2435486182; APARTMENT; UNIT; BR; São Paulo; SP; Rua Virginópolis; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Sacoma; Sacomã; RESIDENTIAL; 0; 65; Comprar; 459000; 1; 0; 1; 2; 450; 04249020; Ap lindo! Apenas 4 anos de uso todo reformado móveis planejados feito com marceneiro nos quartos, cozinha, banheiro e lavanderia. Ar condicionado na sacada, quarto casal e sala. Apartamento em Porcelanato na sacada, sala, cozinha e lavanderia e vinílico nos quartos. Sacada gourmet. Área de lazer com piscina, parque, duas quadras, salão de jogos, área de spa, brinquedoteca, churrasqueira, salão de festas. Ap a venda com mobilia. Rua paralela à via Anchieta km8, há 5 min do metrô Sacomã.; BS:Parada Praça Gaúcha, BS:Passarela Antônio Vanzella, BS:Ponto Final/Inicial Linha, BS:Estação Rua do Grito, TS:Parada Praça Gaúcha, TS:Passarela Antônio Vanzella, TS:SAO BERNARDO DO CAMPO (VILA EURO)/ SAO PAULO (TERMINAL SACOMA), TS:Ponto Final/Inicial Linha, TS:Parada E.E.Professor José Escobar, CS:Denver 3, CS:M2, CS:Café Donuts, PH:SOS Farma Ponte
2449138498; APARTMENT; UNIT; BR; São Paulo; SP; Rua Alencar Araripe; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Sacoma; Sacomã; RESIDENTIAL; 0; 54; Comprar; 269000; 1; 0; 1; 2; 430; 04253000; Vendo Apto mobiliado e decorado - móveis planejados primeira linha em toda casa, sacada com envidraçamento, a 1 km da Rodovia Anchieta, a 1 km do Park shopping São Caetano, escolas publicas, particulares e excelentes supermercados na região. Condominio com portaria eletrônica 24horas, playground, salão de festas com churrasqueira. Direto com proprietário. ACEITO CARRO PERMUTA.; BS:Parada Praça Gaúcha, BS:Passarela Antônio Vanzella, BS:Parada AME Barradas, BS:Parada Maria Pereira Lima, TS:Parada Praça Gaúcha, TS:Passarela Antônio Vanzella, TS:Parada AME Barradas, TS:Parada Maria Pereira Lima, CS:Nossa Vila, CS:Denver 3, CS:M2, CS:Panificadora e Confeitaria Nobre Pão Ltda., CS:Trigo Bom, PH:SOS Farma Ponte
2431840073; APARTMENT; UNIT; BR; São Paulo; SP; Rua Marquês de Maricá; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Sacoma; Sacomã; RESIDENTIAL; 134; 82; Comprar; 424999; 1; 1; 3; 3; 703; 04252000; Excelente Oportunidade Quitado, pronto para você financiar! Lindo, espaçoso, arejado. Numa excelente localização da cidade, 15 min da av. paulista! Todo reformado, com armarios planejados, closet, varanda no quarto da suite! Edificio super familiar, com piscina e salão de jogos! Não perca essa oportunidade!!!; BS:Parada Praça Gaúcha, BS:Passarela Antônio Vanzella, BS:Ponto Final/Inicial Linha, BS:Estação Rua do Grito, TS:Parada Praça Gaúcha, TS:Passarela Antônio Vanzella, TS:SAO BERNARDO DO CAMPO (VILA EURO)/ SAO PAULO (TERMINAL SACOMA), TS:Ponto Final/Inicial Linha, TS:Parada E.E.Professor José Escobar, CS:Denver 3, CS:M2, CS:Nossa Vila, CS:Café Donuts, CS:22 de Julho, PH:SOS Farma Ponte
2431561406; APARTMENT; UNIT; BR; São Paulo; SP; Rua Arroio Grande; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Sacoma; Sacomã; RESIDENTIAL; 67; 67; Comprar; 409000; 1; 1; 2; 2; 600; 04253050; Próximo a rodovia Anchieta, Junta Provisórias e Av. dos Estados. Sete minutos da estação de metrô Sacomã. Andar alto com face norte, ótima vista e varanda Gourmet com churrasqueira. Armários de qualidade na cozinha e nos quartos. Lazer completo com piscina aquecida, academia, quadra, salão de jogos, brinquedoteca, salão de festas com churrasqueira integrada. Segurança 24 hrs.; BS:Parada Praça Gaúcha, BS:Passarela Antônio Vanzella, TS:Parada Praça Gaúcha, TS:Passarela Antônio Vanzella, TS:SAO BERNARDO DO CAMPO (VILA EURO)/ SAO PAULO (TERMINAL SACOMA), CS:Denver 3, CS:Nossa Vila, CS:M2, CS:Panificadora e Confeitaria Nobre Pão Ltda., CS:Trigo Bom, PH:SOS Farma Ponte
2452178565; APARTMENT; UNIT; BR; São Paulo; SP; Rua Alencar Araripe; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Sacoma; Sacomã; RESIDENTIAL; 0; 82; Comprar; 380000; 2; 1; 2; 3; 530; 04253000; Apartamento à 5 minutos do metro Sacomã, vias de acesso: Anchieta, Vergueiro, Bom Pastor, Juntas Provisórias. Padarias, supermercados, farmácia a duas quadras do edifício. Armários embutidos nos 3 quartos, cozinha e área de serviço. Academia nova reformada, piscina climatizada, churrasqueira, salão de festas e playground. Valor do condomínio JUSTO.; BS:Parada Praça Gaúcha, BS:Passarela Antônio Vanzella, BS:Parada Maria Pereira Lima, TS:Parada Praça Gaúcha, TS:Passarela Antônio Vanzella, TS:Parada Maria Pereira Lima, CS:Nossa Vila, CS:Denver 3, CS:M2, CS:Panificadora e Confeitaria Nobre Pão Ltda., CS:Trigo Bom, PH:SOS Farma Ponte
2453239994; APARTMENT; UNIT; BR; São Paulo; SP; Rua Alencar Araripe; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Sacoma; Sacomã; RESIDENTIAL; 0; 82; Comprar; 450000; 2; 1; 2; 3; 544; 04253000; lindo APARTAMENTO NO 11º ANDAR, com VISTA LIVRE e linda do Pôr do sol!! Próximo à Via anchieta e metrô sacomã!! apto BEM AREJADO E ILUMINADO! 3 DORMITÓRIOS (sendo 1 SUÍTE com sacada, e 1 dormitório reversível, que foi transformado em sala de jantar), sala para 2 ambientes com sacada, 1 BANHEIRO social. Cozinha com armários planejados. 2 vagas de garagem. Muito lazer no condomínio!! VENHA CONFERIR essa oportunidade!! agende sua visita!; BS:Parada Praça Gaúcha, BS:Passarela Antônio Vanzella, BS:Parada Maria Pereira Lima, TS:Parada Praça Gaúcha, TS:Passarela Antônio Vanzella, TS:Parada Maria Pereira Lima, CS:Nossa Vila, CS:Denver 3, CS:M2, CS:Panificadora e Confeitaria Nobre Pão Ltda., CS:Trigo Bom, PH:SOS Farma Ponte
