IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2434189484; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Sitio Morro Grande; Sítio Morro Grande; RESIDENTIAL; 202; 120; Comprar; 400000; 4; 1; 3; 3; 0; 02810000; Casa Antiga Numa Av Boa otima para investidor construir ou para morar na Freguesia do Ò numa avenida movimentada próximo mercado farmácias e a futura estação do metro próximo da av ministro Petrônio Portela .; CS:Padaria Cigana, CS:Padaria Inverno Verão, CS:Frango Assado, PH:FarmaClick, CH:UBS Vila Progresso, CH:CEI Vila Regina, CH:Docs, CH:Unidade Básica de Saúde Moinho Velho I, SC:Supermercado Takara, SC:CEA Brasil, SC:ArgonSoldas, SC:Econ Supermercados, SC:Supermercados Dia
2495738707; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Sitio Morro Grande; Sítio Morro Grande; RESIDENTIAL; 170; 180; Comprar; 636000; 2; 1; 3; 3; 0; 02809020; OPORTUNIDADE!!!<br><br>Sobrado reformado, com cômodos amplos e arejados, 3 quartos com piso laminado, sendo 2 deles com varanda e um sendo suíte, 3 banheiros, sala 2 ambientes com vista de vidro, cozinha com piso porcelanato, 1 copa com piso porcelanato, 1 área de serviço com lavanderia, escada com detalhes em vidro, e 2 vagas de garagem<br><br>Próximo a ponto de ônibus e comércio consolidado.<br><br>Região arborizada próximo a Serra da Cantareira, parques com bosques e matas preservadas<br><br>Perto da Feira do Morro Grande aos sábados, supermercado, padaria, farmácia, posto de gasolina, lotérica e muito mais -; BS:Ponto Final da Linha 9020/10, TS:Ponto Final da Linha 9020/10, CS:Padaria Inverno Verão, CS:Padaria Hortolândia, CS:Mercadinho Mirante, CS:Padaria Cigana, PH:FarmaClick
2499096815; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Sitio Morro Grande; Sítio Morro Grande; RESIDENTIAL; 53; 53; Comprar; 336600; 1; 1; 2; 2; 500; 02810000; Condomínio novo e pronto pra morar! <br> <br>Apartamento 2 dormitórios, suíte, sala com varanda, cozinha, banheiro e lavanderia. <br>1 vaga <br>Lazer completo; CS:Padaria Cigana, CS:Padaria Inverno Verão, CS:Frango Assado, PH:FarmaClick, CH:UBS Vila Progresso, CH:CEI Vila Regina, CH:Docs, CH:Unidade Básica de Saúde Moinho Velho I, SC:Supermercado Takara, SC:CEA Brasil, SC:ArgonSoldas, SC:Econ Supermercados, SC:Supermercados Dia
2497457421; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Elísio Teixeira Leite; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Sitio Morro Grande; Sítio Morro Grande; RESIDENTIAL; 68; 56; Comprar; 210000; 1; 0; 1; 2; 180; 02810000; BELÍSSIMO apartamento todo reformado, sendo 2 dormitórios com armários, sala ampla de jantar e estar, cozinha com armários, área de serviço, 1 WC social com box e gabinete, piso Parquet.<br><br>Ótima localização com fácil acesso as escolas, supermercados, farmácias e shopping Cantareira a 10 minutos.<br>1 vaga na garagem. Bem localizado Conjunto Residencial Teixeira Leite- Cohab de Taipas.<br><br>Ligue agora mesmo e agende sua visita, temos uma equipe altamente qualificada para melhor atendê-lo, possuímos estacionamento próprio para melhor conforto!!!<br><br>FINANCIE ATÉ 80% DO VALOR DO IMÓVEL, E USO DO FGTS NOS CONSULTE A RESPEITO! -; BS:Terminal Linha 9008, CS:Dona Diva, CH:Posto de Saúde Cohab Brasilândia, SC:Beto's Supermercado, SC:Marialva, SC:Supermecado Marileo, SC:Perfumaria Sunny
2494045562; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Sitio Morro Grande; Sítio Morro Grande; RESIDENTIAL; 0; 51; Comprar; 339000; 1; 0; 1; 2; 380; 02810000; OPORTUNIDADE!<br>Valor abaixo do mercado<br><br>O apartamento na Freguesia do Ó tem 51 metros quadrados com 2 quartos e 1 banheiro<br>Possui academia, espaço gourmet, espaço jardinado, parquinho com diferentes brinquedos, salão de festas.<br>Vai lhe possibilitar curtir os dias mais quentes na piscina, praticar diversos esportes na quadra poliesportiva. Churrasqueira para você aproveitar nos momentos de descontração.<br>Elevador que garante o transporte das suas malas e compras.<br><br>Agende sua visita!; CS:Padaria Cigana, CS:Padaria Inverno Verão, CS:Frango Assado, PH:FarmaClick, CH:UBS Vila Progresso, CH:CEI Vila Regina, CH:Unidade Básica de Saúde Moinho Velho I, CH:Docs, SC:Supermercado Takara, SC:CEA Brasil, SC:ArgonSoldas, SC:Econ Supermercados, SC:Supermercados Dia
2494105934; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Elísio Teixeira Leite; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Sitio Morro Grande; Sítio Morro Grande; RESIDENTIAL; 49; 49; Comprar; 225000; 1; 0; 1; 2; 0; 02810000; Apartamento amplo com excelente localização composto por 2 dormitórios, sala ampla com disposição para dois ambientes, wc social com saída de ar independente, gabinete e box de vidro, cozinha espaçosa, arejada e com gabinete, área de serviço individualizada e 1 vaga de garagem demarcada e livre. O condomínio dispõe de salão de festas, playground, quadra poliesportiva, sistema de monitoramento interno, portaria 24 horas com entradas para moradores, visitantes e prestadores de serviço. Parada de Taipas é um bairro, localizado na região noroeste de São Paulo, tendo como principais vias de acesso: Av. Raimundo Pereira de Magalhães (conhecida como Estrada Velha de Campinas), Av. Elísio Teixeira Leite, Av. Deputado Cantídio Sampaio e Rodoanel Mário Covas. A região dispõe de diversas opções de comércio, (Supermercados Sondas, Extra e Atacadista Roldão, Atacadão e Assai) e o Shopping Cantareira com diversas opções de lazer (Cinema, praça de alimentação, brinquedos eletrônicos etc...); BS:Terminal Linha 9008, CS:Dona Diva, CH:Posto de Saúde Cohab Brasilândia, SC:Beto's Supermercado, SC:Marialva, SC:Supermecado Marileo, SC:Perfumaria Sunny
2449737715; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Elísio Teixeira Leite; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Sitio Morro Grande; Sítio Morro Grande; RESIDENTIAL; 56; 56; Comprar; 189000; 1; 0; 1; 2; 90; 02810000; Apartamento 2 dormitórios 1 Vaga !!<br><br>Térreo Cohab da Av. Eliseo...<br>Ótimo custo beneício,....<br><br>Região em grande crescimento Com vários comércios, Supermercados Sondas, Aatacadão, Extra, Roldão, Assai, Rede Plus ..<br>5 minutos do Shopping Nova Cantareira..<br>Facil acesso ao Rodoanel, Vários transportes Públicos..<br><br>Vale a pena conhecer..<br>Agende a sua Visita..<br>Nivaldo -; CS:Dona Diva, CH:Posto de Saúde Cohab Brasilândia, SC:Supermecado Marileo, SC:Perfumaria Sunny, SC:Beto's Supermercado, SC:Marialva, SU:Emei Thais Motta De Oliveira e Silva Rodrigues, SU:Escola Municipal de Educação Fundamental Raul Pompéia, SU:Creche Raul Pompéia, SU:CEU Jardim Paulistano
2168785797; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Sitio Morro Grande; Sítio Morro Grande; RESIDENTIAL; 55; 55; Comprar; 360000; 1; 0; 1; 2; 500; ; 2 DORMITÓRIOS, COZINHA, BANHEIRO SOCIAL, ÁREA DE SERVIÇO E 1 VAGA.<br>_ARMÁRIOS PLANEJADOS, PISO LAMINADO, FORNO ELÉTRICO.; 
2488780300; APARTMENT; UNIT; BR; São Paulo; SP; Rua Acarapereira; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Sitio Morro Grande; Sítio Morro Grande; RESIDENTIAL; 70; 62; Comprar; 265000; 1; 0; 1; 2; 590; 02809030; APARTAMENTO RESIDENCIAL EM SÃO PAULO - SP, JARDIM MONTE ALEGRE<br>Apartamento com 62 m², sendo 2 Dormitórios com armários planejados, Living para 2 ambientes, Bh. Social, cozinha com armários, Área de Serviço, 1 Vaga de Garagem Fixa e Coberta.<br>Condomínio possui portaria 24 Horas, com Elevador, e Lazer: Salão de Festas, Playground e Quadra Esportiva.<br>Ótima localização, Rua tranquila e arborizada, próximo a ampla rede de prestação de serviços: Escolas, Padaria, Supermercados, Farmácia, Feira Livre e etc...<br>Fácil acesso às Marginal Tietê e Pinheiros; a Transportes coletivos: ônibus e Lotação com conexão ao Terminal Lapa. .; BS:Ponto Final da Linha 9020/10, TS:Ponto Final da Linha 9020/10, CS:Padaria Inverno Verão, CS:Padaria Hortolândia, CS:Mercadinho Mirante, CS:Padaria Cigana, PH:FarmaClick
2494828285; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Elísio Teixeira Leite; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Sitio Morro Grande; Sítio Morro Grande; RESIDENTIAL; 56; 56; Comprar; 203000; 1; 0; 1; 2; 91; 02810000; Apartamento reformado, sala grande, cozinha, banheiro, lavanderia e dois quartos, salão de festas, e quadra poli esportiva. Localizado em frente ao ponto de ônibus, na rua da delegacia, perto de supermercados, hospital e do Shopping Norte Cantareira, ficando a 15 minutos da estação de trem e do terminal de ônibus de Pirituba. Tem interfones e câmera de segurança. ACEITA FINANCIAMENTO. -; CS:Dona Diva, SC:Supermecado Marileo, SC:Perfumaria Sunny, SC:Beto's Supermercado, SC:Marialva, SU:Emei Thais Motta De Oliveira e Silva Rodrigues, SU:Escola Municipal de Educação Fundamental Raul Pompéia, SU:Creche Raul Pompéia, SU:CEU Jardim Paulistano, CH:Posto de Saúde Cohab Brasilândia
