IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2441736416; ALLOTMENT_LAND; UNIT; BR; São Paulo; SP; Rua Maria Roschel; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Terceira Divisao de Interlagos; Terceira Divisão de Interlagos; RESIDENTIAL; 760; 760; Comprar; 760000; 0; 0; 0; 0; 0; 04809210; Cidade Dutra. Lote em zona mista, rua tranquila e sem saída. Com ampla metragem de frente. Rua próxima à Av Teotônio Vilela, com amplo comércio, acesso fácil a transporte público. Ideal para construção de sobrados. Lote sem construção.; BS:Estação de Transferência Rio Bonito, BS:Parada Paulo Whitaker B/C, BS:Guaiúba B/C, BS:Jaquirana B/C, BS:R. Jequirituba 1494, TS:Rio Bonito B/C, TS:Estação de Transferência Rio Bonito, TS:Rio Bonito C/B, TS:Primavera - Interlagos, TS:Primavera-Interlagos, CS:Casa de Chocolates Edsellen, CS:Padaria Pães e Doces Interlagos, CS:Fabrica de Pães Belaju, SC:WV Papelaria e bazar, SC:Assaí Atacadista Jardim Iporanga, SC:Roldão atacadista
2481404899; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Interlagos; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Terceira Divisao de Interlagos; Terceira Divisão de Interlagos; RESIDENTIAL; 67; 67; Comprar; 480000; 1; 1; 1; 3; 475; 04661100; Proxímo ao Shopp Interlagos: Condomínio Inter Clube: Apartamento com 67 com 3 dormitórios sendo 1 suíte com armários embutidos, banheiro social,sala 2 ambientes, sacada, cozinha americana com armários embutidos, área de serviço, garagem,.Condomínio com lazer clube, academia, muita área verde, espaço gourmet, playground, salão para festas e eventos, pet care, pista de skate, quadra poliesportiva, quadra gramada, espaço mulher, praça, jardim, vigilância 24 horas e muito mais.Bem localizado, ao lado do Shopping Interlagos, próximo da Universidade Ibirapuera (Unib) e Hipermercado Extra. Fácil acesso à Avenida Sabará, Interlagos, Washington Luís, Marginal Pinheiros, Nações Unidas. Locação R$ 3.000,00 0 pacote.; BS:Av. Interlagos, 1661, BS:Shopping Interlagos, BS:Av. Interlagos, 3060, BS:GGD Metals, BS:Parada Pq. do Nabuco, TS:Av. Interlagos, 1661, TS:Shopping Interlagos, TS:Av. Interlagos, 2729, TS:Cemitério do Campo Grande, TS:Av. Interlagos, 3060, CS:Belfort Panificadora, CS:Panificadora Bandeirantes, CS:Bandeirantes V, PH:Bifarma
2430054382; BUSINESS; UNIT; BR; São Paulo; SP; Avenida Pedro Roschel Gottsfritz; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Terceira Divisao de Interlagos; Terceira Divisão de Interlagos; COMMERCIAL; 218; 218; Comprar; 980000; 3; 0; 2; 0; 0; 04809160; Imóvel Comercial, Estética e Beleza, Restaurante, Escritório, Clinica Médica, etc.. excelente localização, duas amplas salas para restaurantes ou cursos em geral, uma cozinha com pia, dois banheiros, duas recepções, três vagas. -; BS:Estação de Transferência Rio Bonito, BS:Parada Paulo Whitaker B/C, BS:Guaiúba B/C, BS:Jaquirana B/C, BS:Interlagos B/C, TS:Rio Bonito B/C, TS:Estação de Transferência Rio Bonito, TS:Rio Bonito C/B, TS:Parada Paulo Whitaker B/C, TS:Paulo Whitaker B/C, CS:Casa de Chocolates Edsellen, CS:Padaria Pães e Doces Interlagos, CS:Fabrica de Pães Belaju, CS:Padaria Conveniência Interlagos, SC:WV Papelaria e bazar, SC:Assaí Atacadista Jardim Iporanga, SC:Roldão atacadista
2492783378; HOME; UNIT; BR; São Paulo; SP; Avenida Antônio Barbosa da Silva Sandoval; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Terceira Divisao de Interlagos; Terceira Divisão de Interlagos; RESIDENTIAL; 700; 350; Comprar; 1380000; 9; 1; 6; 3; 0; 04783000; A casa está localizado no bairro Interlagos com 350 metros quadrados com 3 quartos sendo 1 suite e 6 banheiros<br>Possui lareira.<br>Vai lhe possibilitar curtir os dias mais quentes na piscina.; BS:Av. Interlagos, 5181, BS:Interlagos B/C, BS:Jaquirana B/C, BS:Guaiúba B/C, BS:Av. Das Nações Unidas, 22013, TS:Autódromo, TS:Av. Interlagos, 5181, TS:Interlagos B/C, TS:Leonardo De Fassio B/C, TS:Leonardo De Fassio C/B, CS:Padaria Conveniência Interlagos, CS:Nova Suzy, CS:Doceria Nevada, CS:Padaria Veleiros, CS:Padaria Pães e Doces Interlagos, SU:Escola Técnica Irmã Agostina
2457846053; COMMERCIAL_PROPERTY; UNIT; BR; São Paulo; SP; Rua Antônio Le Voci; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Terceira Divisao de Interlagos; Terceira Divisão de Interlagos; COMMERCIAL; 400; 230; Alugar/Comprar; 5500; 3; 0; 2; 0; 0; 04809220; Galpão todo reformado, com escritório. Esta a duas quadras da Av. Senador Teotônio Vilela, com facilidades de transportes publicos e de excelente logistica.<br>Scheid Imóveis, desde 1995 com total transparência e segurança em todos os nossos serviços.; BS:Parada Paulo Whitaker B/C, BS:Estação de Transferência Rio Bonito, BS:Guaiúba B/C, BS:Jaquirana B/C, BS:Interlagos B/C, TS:Parada Paulo Whitaker B/C, TS:Paulo Whitaker B/C, TS:Rio Bonito B/C, TS:Rio Bonito C/B, TS:Estação de Transferência Rio Bonito, CS:Casa de Chocolates Edsellen, CS:Padaria Pães e Doces Interlagos, CS:Padaria Conveniência Interlagos, CS:Fabrica de Pães Belaju, SC:WV Papelaria e bazar, SC:Assaí Atacadista Jardim Iporanga, SC:Roldão atacadista
2487979406; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Rua Henriqueta Salvadore Giacometti; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Terceira Divisao de Interlagos; Terceira Divisão de Interlagos; RESIDENTIAL; 160; 150; Comprar; 380000; 3; 0; 2; 2; 0; 04809100; excelente imóvel sobrado á 5 minutos do centro da cidade dutra,<br>próximo ao atacadão da AV. Atlantica aceita financiamento,<br>aceita permuta em imóveis na baxada santista no valor de R$ 280.000, -; BS:Estação de Transferência Rio Bonito, BS:Parada Paulo Whitaker B/C, BS:Guaiúba B/C, BS:R. Jequirituba 1494, BS:Jaquirana B/C, TS:Primavera - Interlagos, TS:Primavera-Interlagos, TS:Estação de Transferência Rio Bonito, TS:Rio Bonito B/C, TS:Rio Bonito C/B, CS:Casa de Chocolates Edsellen, CS:Fabrica de Pães Belaju, CS:Padaria Pães e Doces Interlagos, PH:Droga Mix
2463433840; RESIDENTIAL_ALLOTMENT_LAND; UNIT; BR; São Paulo; SP; Rua Antônio Le Voci; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Terceira Divisao de Interlagos; Terceira Divisão de Interlagos; RESIDENTIAL; 12360; 12360; Alugar/Comprar; 90000; 0; 0; 0; 0; 0; 04809220; APROVEITE ESTA OPORTUNIDADE E REALIZE SEU SONHO!!! <br>AGENDE SUA VISITA... PARA VISUALIZAR MAIS OPÇÕES DE IMÓVEIS, BASTA ENTRAR EM NOSSO SITE (scheidimoveis.com.br) <br>Consulte sobre a disponibilidade do imóvel. Valores sujeitos a alteração. Informe-se com o corretor. <br>Consulte sobre a disponibilidade do imóvel. <br>Valores sujeitos a alteração. Informe-se com o corretor. <br>Aproveite esta oportunidade e realize seu sonho. <br>Agende sua visita. <br> <br><br>Scheid Imóveis, desde 1995 com total transparência e segurança em todos os nossos serviços.; BS:Parada Paulo Whitaker B/C, BS:Estação de Transferência Rio Bonito, BS:Guaiúba B/C, BS:Jaquirana B/C, BS:Interlagos B/C, TS:Parada Paulo Whitaker B/C, TS:Paulo Whitaker B/C, TS:Rio Bonito B/C, TS:Estação de Transferência Rio Bonito, TS:Rio Bonito C/B, CS:Casa de Chocolates Edsellen, CS:Fabrica de Pães Belaju, CS:Padaria Pães e Doces Interlagos, CS:Padaria Conveniência Interlagos, SC:WV Papelaria e bazar, SC:Assaí Atacadista Jardim Iporanga, SC:Roldão atacadista
2491273577; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Rua Matheus José Pires; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Terceira Divisao de Interlagos; Terceira Divisão de Interlagos; RESIDENTIAL; 100; 100; Comprar; 350000; 2; 0; 1; 2; 0; 04809130; Sobrado à venda de 100m² com 2 dormitórios, sala, cozinha, banheiro, área de serviço e 2 vagas cobertas. O imóvel aceita proposta e aceita financiamento.<br><br>Localizado em rua tranquila, próximo da Estação Primavera-Interlagos da CPTM. -; BS:Estação de Transferência Rio Bonito, BS:Parada Paulo Whitaker B/C, BS:Guaiúba B/C, BS:Jaquirana B/C, BS:R. Jequirituba 1494, TS:Estação de Transferência Rio Bonito, TS:Rio Bonito B/C, TS:Rio Bonito C/B, TS:Primavera - Interlagos, TS:Primavera-Interlagos, CS:Casa de Chocolates Edsellen, CS:Padaria Pães e Doces Interlagos, CS:Fabrica de Pães Belaju, SC:WV Papelaria e bazar, SC:Assaí Atacadista Jardim Iporanga, SC:Roldão atacadista
2463430999; RESIDENTIAL_ALLOTMENT_LAND; UNIT; BR; São Paulo; SP; Rua Antônio Le Voci; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Terceira Divisao de Interlagos; Terceira Divisão de Interlagos; RESIDENTIAL; 12360; 12360; Comprar; 10000000; 0; 0; 0; 0; 0; 04809220; ÓTIMA AREA P/ CONDOMINIO HORIZONTAL\nOBS : ESTE TERRENO É ENFRENTE COLEGIO ADVENTISTA.<br>Scheid Imóveis, desde 1995 com total transparência e segurança em todos os nossos serviços.; BS:Parada Paulo Whitaker B/C, BS:Estação de Transferência Rio Bonito, BS:Guaiúba B/C, BS:Jaquirana B/C, BS:Interlagos B/C, TS:Parada Paulo Whitaker B/C, TS:Paulo Whitaker B/C, TS:Rio Bonito B/C, TS:Rio Bonito C/B, TS:Estação de Transferência Rio Bonito, CS:Casa de Chocolates Edsellen, CS:Padaria Pães e Doces Interlagos, CS:Fabrica de Pães Belaju, CS:Padaria Conveniência Interlagos, SC:WV Papelaria e bazar, SC:Assaí Atacadista Jardim Iporanga, SC:Roldão atacadista
2487978284; HOME; UNIT; BR; São Paulo; SP; Rua Brasília Roschel Gottsfritz; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Terceira Divisao de Interlagos; Terceira Divisão de Interlagos; RESIDENTIAL; 125; 125; Comprar; 480000; 2; 1; 2; 3; 0; 04809090; Linda Casa (Terrea) com 3 Dormitórios sendo 1 Suíte, Sala Ampla, Cozinha espaçosa e os quartos com piso laminado, Terraço no Piso superior. Possui, ainda, 2 Vagas para automóvel. O imóvel está bem localizado, próxima à Estação Primavera Interlagos da CPTM Linha 9 Esmeralda. A região está próxima a comércios e mercados como Sonda e Assaí Atacadista. Imóvel recém reformado e com bom acabamento de pintura e gesso. Escriturado - Aceita financiamento. O preço está imperdível, confira! E Não Perca!! Agende sua visita hoje!! -; BS:Estação de Transferência Rio Bonito, BS:Parada Paulo Whitaker B/C, BS:Guaiúba B/C, BS:R. Jequirituba 1494, BS:R. Jequirituba 1557, TS:Primavera - Interlagos, TS:Primavera-Interlagos, TS:Estação de Transferência Rio Bonito, TS:Rio Bonito C/B, TS:Rio Bonito B/C, CS:Casa de Chocolates Edsellen, CS:Padaria Pães e Doces Interlagos, CS:Fabrica de Pães Belaju, PH:Droga Mix
2430054682; BUSINESS; UNIT; BR; São Paulo; SP; Avenida Pedro Roschel Gottsfritz; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Terceira Divisao de Interlagos; Terceira Divisão de Interlagos; COMMERCIAL; 398; 398; Alugar/Comprar; 5900; 9; 0; 3; 0; 0; 04809160; Imóvel Comercial, Empresas, Estética e Beleza, Restaurante, Escritório, Clinica Médica, etc.. excelente localização, duas amplas salas para restaurantesl. -; BS:Estação de Transferência Rio Bonito, BS:Parada Paulo Whitaker B/C, BS:Guaiúba B/C, BS:Jaquirana B/C, BS:Interlagos B/C, TS:Rio Bonito B/C, TS:Estação de Transferência Rio Bonito, TS:Rio Bonito C/B, TS:Parada Paulo Whitaker B/C, TS:Paulo Whitaker B/C, CS:Casa de Chocolates Edsellen, CS:Padaria Pães e Doces Interlagos, CS:Fabrica de Pães Belaju, CS:Padaria Conveniência Interlagos, SC:WV Papelaria e bazar, SC:Assaí Atacadista Jardim Iporanga, SC:Roldão atacadista
2489711300; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Rua Brasília Roschel Gottsfritz; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Terceira Divisao de Interlagos; Terceira Divisão de Interlagos; RESIDENTIAL; 250; 300; Comprar; 990000; 4; 1; 2; 4; 0; 04809090; Ótimo Sobrado de 300m² com varanda, sacada ,4 vagas de garagem, espaço gourmet, fundo coberto, banheiro, energia solar, solarium, canil, corredor lateral, cozinha planejada, ar concionado nos quartos. Piso em madeira na sala de três ambientes.<br><br>Localizado a 300m de estação do trem e ônibus, a cinco minutos do Centro da Cidade Dutra, Bancos e Comércios em geral. -; BS:Estação de Transferência Rio Bonito, BS:Parada Paulo Whitaker B/C, BS:Guaiúba B/C, BS:R. Jequirituba 1494, BS:R. Jequirituba 1557, TS:Primavera - Interlagos, TS:Primavera-Interlagos, TS:Estação de Transferência Rio Bonito, TS:Rio Bonito C/B, TS:Rio Bonito B/C, CS:Casa de Chocolates Edsellen, CS:Padaria Pães e Doces Interlagos, CS:Fabrica de Pães Belaju, PH:Droga Mix
