IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2493990900; HOME; UNIT; BR; Campinas; SP; ; BR>Sao Paulo>NULL>Campinas>Barrios>Vila Aeroporto; Vila Aeroporto; RESIDENTIAL; 360; 190; Comprar; 400000; 3; 1; 2; 3; 0; 13054105; CÓDIGO DO IMÓVEL: 69<br><br>LOCALIZAÇÃO:<br>Próximo á Av. Suaçuna, bairro Jd Aeroporto, região do Ouro Verde!<br><br>AMBIENTES:<br>Salas de Estar/Jantar; Varanda; Cozinha com área de serviço; 3 quartos sendo 1 suíte; 2 Banheiros sociais, garagem para 3 carros<br><br>DIFERENCIAIS:<br>Área para churrasco com churrasqueira e espaço para festas.<br><br>Agende a sua visita!<br>Atendemos aos sábados.<br>Imobiliária Ouro Verde; BS:Odonto Ouro Verde, TS:Odonto Ouro Verde, CS:Boiadeiro II, PH:Farmahorro
2490812714; HOME; UNIT; BR; Campinas; SP; Rua Jaçanã; BR>Sao Paulo>NULL>Campinas>Barrios>Vila Aeroporto; Vila Aeroporto; RESIDENTIAL; 227; 227; Comprar; 470000; 4; 1; 3; 3; 0; 13054130; Casa Venda ou Aluguel, Vila Aeroporto em Campinas.<br>Excelente casa com 3 quartos, sendo 1 suíte, com closet e banheira, ambientes espaçosos, com cozinha, despensa, banheiro, conta com um quintal com pomar, churrasqueira, quarto e banheiro, próximo a principal avenida do bairro, lojas, bancos, correios, escolas, creche, farmácia. De Lucca Imóveis. -; BS:Odonto Ouro Verde, TS:Odonto Ouro Verde, CS:Boiadeiro II, PH:Farmahorro
2497350978; SHED_DEPOSIT_WAREHOUSE; UNIT; BR; Campinas; SP; ; BR>Sao Paulo>NULL>Campinas>Barrios>Vila Aeroporto; Vila Aeroporto; COMMERCIAL; 285; 285; Comprar; 550000; 0; 0; 0; 0; 0; ; BARRACÃO DE EXCELENTE CONSTRUÇÃO COM ENERGIA TRIFÁSICO - MESÂNINO COM DOIS BANHEIROS - ESCRITÓRIO - PÉ DIREITO DE 6 METROS - EXCELENTE LOCALIZAÇÃO PRÓXIMO AO DISTRITO INDUSTRIAL DE CAMPINAS, ACESSO RÁPIDO PARA RODOVIA SANTOS DUMONT / BANDEIRANTES<br>Fale conosco: -; BS:Odonto Ouro Verde, TS:Odonto Ouro Verde, CS:Boiadeiro II, PH:Farmahorro
2491716326; HOME; UNIT; BR; Campinas; SP; Avenida Itamarati; BR>Sao Paulo>NULL>Campinas>Barrios>Vila Aeroporto; Vila Aeroporto; RESIDENTIAL; 350; 240; Comprar; 345000; 3; 3; 4; 3; 0; 13054150; Casa de 03 dormitórios, sendo 03 suítes, 02 salas grandes, cozinha americana com armários, banheiro social, área de luz, quintal grande com espaço para área de lazer, 03 vagas de garagem coberta, aceita financiamento, documentação ok. -; BS:Odonto Ouro Verde, TS:Odonto Ouro Verde, CS:Boiadeiro II, PH:Farmahorro
2494470112; RESIDENTIAL_ALLOTMENT_LAND; UNIT; BR; Campinas; SP; ; BR>Sao Paulo>NULL>Campinas>Barrios>Vila Aeroporto; Vila Aeroporto; RESIDENTIAL; 240; 0; Comprar; 190000; 0; 0; 0; 0; 0; 13054107; CÓDIGO DO IMÓVEL: 21<br><br>LOCALIZAÇÃO:<br>Excelente localização, bairro Jd Aeroporto, Av Jacaúna, região do Ouro Verde, próximo á Av. Itamaraty e comércios (supermercados, farmácias, escolas, lojas, restaurantes/bares etc).<br><br>AMBIENTE:<br>Ótimo terreno, com 240m², plano.<br><br>DIFERENCIAIS:<br>Terreno excelente para barracão e demais comércios!<br><br>VALOR: 190 mil - Aceita carro.<br><br>INTERESSADOS ENTRAR EM CONTATO:<br>Whatsapp<br> / <br>Agende a sua visita!<br>Atendemos aos sábados!; BS:Odonto Ouro Verde, TS:Odonto Ouro Verde, CS:Boiadeiro II, PH:Farmahorro
2494052063; HOME; UNIT; BR; Campinas; SP; Rua Cairi; BR>Sao Paulo>NULL>Campinas>Barrios>Vila Aeroporto; Vila Aeroporto; RESIDENTIAL; 360; 400; Comprar; 500000; 2; 1; 2; 4; 0; 13054113; Vende-se casa de 400m² na Vila Aeroporto;<br>em 3 pavimentos sendo que no 1° fica um salão de 130m² com entrada independente com 2 banheiros e 1 cozinha, 2° ao nível da rua da entrada da casa fica na frente uma área livre, garagem e na casa a sala, lavabo, cozinha e lavanderia e por fim o 3° piso nele possui 4 dormitórios sendo uma suíte e mais 1 banheiro.<br><br>Localização privilegiada com farto comercio ao redor e de fácil acesso as principais vias.<br><br>Estuda Permuta!<br><br>Agende sua visita!!!! -; BS:Odonto Ouro Verde, TS:Odonto Ouro Verde, CS:Boiadeiro II, PH:Farmahorro
2490209570; RESIDENTIAL_ALLOTMENT_LAND; UNIT; BR; Campinas; SP; Avenida Jacaúna; BR>Sao Paulo>NULL>Campinas>Barrios>Vila Aeroporto; Vila Aeroporto; RESIDENTIAL; 360; 360; Comprar; 215000; 0; 0; 0; 0; 0; 13054107; Terreno de 360 m2 localizado na Vila Aeroporto, terreno plano, cercado, serve tanto para Residencial/Comercial, está localizado na principal avenida do Bairro, ótimo investimento. Adala Residencial. -; BS:Odonto Ouro Verde, TS:Odonto Ouro Verde, PH:Farmahorro, CH:Odonto Ouro Verde, CH:QualyOdonto
2480524637; HOME; UNIT; BR; Campinas; SP; ; BR>Sao Paulo>NULL>Campinas>Barrios>Vila Aeroporto; Vila Aeroporto; RESIDENTIAL; 348; 212; Comprar; 590000; 5; 1; 3; 3; 0; 13054113; Bela casa recém construída 3 dormitórios sendo 1 suíte com armários planejados , sala ampla com móveis planejado, cozinha planejada completa. Escritório com móveis planejados, Ar condicionado. Área de serviço individualizada. Área de churrasqueira arejada e grandioso quintal de fundo. 5 vagas de garagem sendo 2 cobertas. Casa com sistema de segurança completo. Excelente oportunidade. Ótima localização próximo a avenida, escolas, mercados, bancos, hospitais e fácil acesso aos shopping da região. Sendo terreno de 348m2 e com área construída de 212m2<br>Toda documentação para financiamento.<br>Interessados entre em contato com a imobiliária Facility e agende já a sua visita, será um prazer atende-los e apresenta-los esse lindo imóvel ou whatsapp -; BS:Odonto Ouro Verde, TS:Odonto Ouro Verde, CS:Boiadeiro II, PH:Farmahorro
2440763888; HOME; UNIT; BR; Campinas; SP; Rua Cairi; BR>Sao Paulo>NULL>Campinas>Barrios>Vila Aeroporto; Vila Aeroporto; RESIDENTIAL; 420; 199; Comprar; 568000; 8; 1; 2; 4; 0; 13054113; Casa a venda no Jardim Aeroporto, com 04 dormitórios, sendo 01 suíte com ar condicionado. <br>02 banheiros, 02 salas, quintal amplo. <br>08 vagas e garagem. <br>Perto dos comércios da região! -; BS:Odonto Ouro Verde, TS:Odonto Ouro Verde, CS:Boiadeiro II, PH:Farmahorro
2453321409; HOME; UNIT; BR; Campinas; SP; Rua Jaçanã; BR>Sao Paulo>NULL>Campinas>Barrios>Vila Aeroporto; Vila Aeroporto; RESIDENTIAL; 300; 250; Comprar; 490000; 4; 2; 3; 4; 0; 13054130; Sobrado espaçoso na Vila Aeroporto, completo em móveis planejados, sendo sala de estar, sala de TV e sala de jantar, cozinha, quintal com churrasqueira, duas suítes, sendo uma suíte master com closet, 2 quartos e quatro vagas de garagem. -; BS:Odonto Ouro Verde, TS:Odonto Ouro Verde, CS:Boiadeiro II, PH:Farmahorro
