IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2490148082; CONDOMINIUM; UNIT; BR; São Paulo; SP; Rua Martinho Paulino da Silva; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Arcadia; Vila Arcádia; RESIDENTIAL; 92; 92; Comprar; 429460; 2; 2; 3; 2; 0; 02911010; CONDOMÍNIO DE SOBRADOS VILA ARCÁDIA (FREGUESIA) Habite-se já expedido. Casas novas com 3 pisos: Piso Térreo: Com aconchegante sala em estilo americano (acoplada à cozinha), lavabo e área de serviço. Piso Intermediário: 2 suítes Piso Superior: Amplo terraço para uso Gourmet ou Área de Lazer. Garagem subterrânea ampla ? Vagas para 2 carros por casa Área Privativa: 92m2 (considerando 30m2 do Terraço do Piso superior) Área Total: 134m2 (considerando 30m2 do Terraço do Piso superior); BS:Parada Editora Abril, BS:Parada Ponte do Piqueri (norte), BS:Parada Ponte do Piqueri (Oeste), BS:Parada Freguesia, BS:Estaçâo Ciência, TS:Parada Editora Abril, TS:Parada Ponte do Piqueri (norte), TS:Parada Ponte do Piqueri (Oeste), TS:Piqueri, TS:Lapa (Linha 7), CS:Frango Assado, CS:Padaria Champgne, CS:Padaria são Judas, CS:Padaria Cigana, CH:Unidade Básica de Saúde Moinho Velho I, CH:Odonto Company
2483668780; CONDOMINIUM; UNIT; BR; São Paulo; SP; Rua Martinho Paulino da Silva; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Arcadia; Vila Arcádia; RESIDENTIAL; 132; 92; Comprar; 430000; 2; 2; 3; 2; 0; 02911010; Casa em condomínio muito charmosa recém construída - tem 3 pisos com terraço na cobertura para uso Gourmet ou Lazer.<br>Piso Térreo: Com aconchegante sala em estilo americano (acoplada à cozinha), lavabo e área de serviço.<br>Piso Intermediário: 2 suítes<br>Piso Superior: Amplo terraço para uso Gourmet ou Área de Lazer.<br>Garagem subterrânea ampla: Vagas para 2 carros por casa<br>Localizada em rua tranquila próxima de padaria, farmácia e supermercado.<br><br>Para visitas favor solicitar por WhatsApp.; BS:Parada Editora Abril, BS:Parada Ponte do Piqueri (norte), BS:Parada Ponte do Piqueri (Oeste), BS:Parada Freguesia, BS:Estaçâo Ciência, TS:Parada Editora Abril, TS:Parada Ponte do Piqueri (norte), TS:Parada Ponte do Piqueri (Oeste), TS:Piqueri, TS:Lapa (Linha 7), CS:Frango Assado, CS:Padaria Champgne, CS:Padaria são Judas, CS:Cacau Show, CS:Padaria Cigana, CH:Unidade Básica de Saúde Moinho Velho I, CH:Odonto Company
2496842431; HOME; UNIT; BR; São Paulo; SP; Praça Engenheiro Leite Garcia; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Arcadia; Vila Arcádia; RESIDENTIAL; 173; 173; Comprar; 440000; 1; 0; 1; 2; 0; 02911080; Imóvel usado em região privilegiada da Zona Oeste de São Paulo. Situado em frente a uma praça arborizada e recentemente reformada pela PMSP. com instalação de equipamentos de ginástica. Bairro tradicional em rua tranquila, considerado por muitos um dos melhores bairros da zona oeste para se morar. Local de fácil acesso e próximo a Marginal Tietê. A praça aqui referida foi palco das gravações da série da Netflix 'Irmandade'.<br><br><br><br> ** As informações estão sujeitas a alterações sem aviso prévio. Para informações consulte o corretor responsável. **<br><br>; BS:Parada Editora Abril, BS:Parada Ponte do Piqueri (norte), BS:Parada Ponte do Piqueri (Oeste), BS:Parada Freguesia, BS:Parada Fiat Luz, TS:Parada Editora Abril, TS:Parada Ponte do Piqueri (norte), TS:Parada Ponte do Piqueri (Oeste), TS:Piqueri, TS:Lapa (Linha 7), CS:Frango Assado, CS:Padaria Champgne, CS:Padaria são Judas, CS:Padaria Cigana, CH:Unidade Básica de Saúde Moinho Velho I, CH:Odonto Company
2495083275; CONDOMINIUM; UNIT; BR; São Paulo; SP; Rua Martinho Paulino da Silva; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Arcadia; Vila Arcádia; RESIDENTIAL; 92; 92; Comprar; 430000; 2; 2; 3; 2; 0; 02911010; CONDOMÍNIO DE 4 CASAS NOVAS , VILA ARCÁDIA (FREGUESIA) Habite-se já expedido. Casas novas com 3 pisos: Piso Térreo: Com aconchegante sala em estilo americano (acoplada à cozinha), lavabo e área de serviço. Piso Intermediário: 2 suítes Piso Superior: Amplo terraço para uso Gourmet ou Área de Lazer. Garagem subterrânea ampla, Vagas para 2 carros por casa Área Privativa: 92m2 (considerando 30m2 do Terraço do Piso superior) Área Total: 134m2 (considerando 30m2 do Terraço do Piso superior). <br>Acesso fácil e rápido as principais avenidas, marginal Tietê e Rodovias .; BS:Parada Editora Abril, BS:Parada Ponte do Piqueri (norte), BS:Parada Ponte do Piqueri (Oeste), BS:Parada Freguesia, BS:Estaçâo Ciência, TS:Parada Editora Abril, TS:Parada Ponte do Piqueri (norte), TS:Parada Ponte do Piqueri (Oeste), TS:Piqueri, TS:Lapa (Linha 7), CS:Frango Assado, CS:Padaria Champgne, CS:Padaria são Judas, CS:Padaria Cigana, CH:Unidade Básica de Saúde Moinho Velho I, CH:Odonto Company
1040366441; HOME; UNIT; BR; São Paulo; SP; Rua Pedro de Melo Sousa; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Arcadia; Vila Arcádia; RESIDENTIAL; 196; 123; Comprar; 450000; 0; 0; 2; 2; 0; 02911100; Cod-687 <br><br>Sobrado Térreo- 2 Salas, 2 Banheiros, 1 Deposito, 1 Galpão Grande nos Fundos com Banheiro. <br><br>Metragem; <br>Área de Terreno; 196m² <br>Área Construida; 123m² <br><br>Valores; <br>Valor Locação ; R$ 1.800,00 <br>Valor de Venda; R$ 450.000,00 <br>Valor de IPTU; R$ 149,47 <br><br>Contato:<br><br><br><br><br><br>; BS:Parada Editora Abril, BS:Parada Ponte do Piqueri (norte), BS:Parada Ponte do Piqueri (Oeste), BS:Parada Freguesia, BS:Estaçâo Ciência, TS:Parada Editora Abril, TS:Parada Ponte do Piqueri (norte), TS:Parada Ponte do Piqueri (Oeste), TS:Piqueri, TS:Parada Freguesia, CS:Padaria Champgne, CS:Frango Assado, CS:Padaria Cigana, CS:Padaria são Judas, CH:Unidade Básica de Saúde Moinho Velho I, CH:Odonto Company
2496857613; APARTMENT; UNIT; BR; São Paulo; SP; Rua Balsa; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Arcadia; Vila Arcádia; RESIDENTIAL; 49; 49; Comprar; 299000; 1; 0; 1; 2; 360; 02910000; <i><b>LINDO</b></i><i><b>APARTAMENTO LOCALIZADO NA VILA ARCÁDIA:<br><br>**EXPERIMENTE O TOUR VIRTUAL**</b></i><br><br><b><i>- 49 METROS QUADRADOS;</i></b><b><i><br>- 02 DORMITÓRIOS;<br>- 01 BANHEIRO;<br></i></b><i><b>- 01 VAGA GARAGEM;<br></b></i><i><b>- ÁREADE SERVIÇO.</b></i><br><br><i><b>CONDOMÍNIO POSSUI:<br></b></i><br><b><i>- ÁREA VERDE;</i></b><br><i><b>- BRINQUEDOTECA;</b></i><br><i><b>- PLAYGROUND;</b></i><br><i><b>- QUADRA POLIESPORTIVA;</b></i><br><i><b>- SALÃO DE FESTAS E SALÃO DE JOGOS;</b></i><br><i><b>- SEGURANÇA 24 HORAS;</b></i><br><i><b>- PORTARIA 24 HORAS.</b></i><br><br><i><b>LOCALIZAÇÃO:<br><br></b></i><i><b>- 400 METROS DA AV. MARGINAL TIÊTE.</b><br></i><br><br><b><i>PARA MAIORES INFORMAÇÕES FAVOR ENTRAR EM CONTATO NO TELEFONE/WHATSAPP:</i></b><br><b><i>/ / </i></b><br><b><i>WWW.HIDAKAIMOVEIS.COM.BR</i></b><br><b><br></b><br><b><i>ENCONTRAMOS O MELHOR CRÉDITO IMOBILIÁRIO PARA VOCÊ FAZER O FINANCIAMENTO DO IMÓVEL DOS SEUS SONHOS.</i></b><br><br> <br><br> <i>As informações estão sujeitas a alterações. Consulte o corretor responsável.</i><br> <br><br><br>Chave do anúncio: ugDBE20YnVSUHROD; BS:Parada Editora Abril, BS:Parada Ponte do Piqueri (norte), BS:Parada Ponte do Piqueri (Oeste), BS:Parada Freguesia, BS:Estaçâo Ciência, TS:Parada Editora Abril, TS:Parada Ponte do Piqueri (norte), TS:Parada Ponte do Piqueri (Oeste), TS:Parada Freguesia, TS:Lapa (Linha 7), CS:Padaria Champgne, CS:Frango Assado, CS:Padaria Cigana, CH:Odonto Company, CH:Unidade Básica de Saúde Moinho Velho I
2499411682; HOME; UNIT; BR; São Paulo; SP; Rua Martinho Paulino da Silva; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Arcadia; Vila Arcádia; RESIDENTIAL; 160; 104; Comprar; 750000; 3; 1; 4; 3; 0; 02911010; Amplo sobrado no bairro da Freguesia do O, de fácil acesso a Marginal, próximo a comercio variado, de fácil acesso á condução, sobrado c e dormitórios, sendo 1 suite, 3 vagas de garagem, repleto de armários Todeschini.; BS:Parada Editora Abril, BS:Parada Ponte do Piqueri (norte), BS:Parada Ponte do Piqueri (Oeste), BS:Parada Freguesia, BS:Estaçâo Ciência, TS:Parada Editora Abril, TS:Parada Ponte do Piqueri (norte), TS:Parada Ponte do Piqueri (Oeste), TS:Piqueri, TS:Lapa (Linha 7), CS:Frango Assado, CS:Padaria Champgne, CS:Padaria são Judas, CS:Padaria Cigana, CH:Unidade Básica de Saúde Moinho Velho I, CH:Odonto Company
2485677778; APARTMENT; UNIT; BR; São Paulo; SP; Rua Balsa; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Arcadia; Vila Arcádia; RESIDENTIAL; 49; 49; Comprar; 299000; 1; 0; 1; 2; 360; 02910000; <i><b>LINDO</b></i><i><b>APARTAMENTO LOCALIZADO NA VILA ARCÁDIA:<br><br>**EXPERIMENTE O TOUR VIRTUAL**</b></i><br><br><b><i>- 49 METROS QUADRADOS;</i></b><b><i><br>- 02 DORMITÓRIOS;<br>- 01 BANHEIRO;<br></i></b><i><b>- 01 VAGA GARAGEM;<br></b></i><i><b>- ÁREADE SERVIÇO.</b></i><br><br><i><b>CONDOMÍNIO POSSUI:<br></b></i><br><b><i>- ÁREA VERDE;</i></b><br><i><b>- BRINQUEDOTECA;</b></i><br><i><b>- PLAYGROUND;</b></i><br><i><b>- QUADRA POLIESPORTIVA;</b></i><br><i><b>- SALÃO DE FESTAS E SALÃO DE JOGOS;</b></i><br><i><b>- SEGURANÇA 24 HORAS;</b></i><br><i><b>- PORTARIA 24 HORAS.</b></i><br><br><i><b>LOCALIZAÇÃO:<br><br></b></i><i><b>- 400 METROS DA AV. MARGINAL TIÊTE.</b><br></i><br><br><b>PARA MAIORES INFORMAÇÕES FAVOR ENTRAR EM CONTATO NO TELEFONE/WHATSAPP:</b><br><b>/ / </b><br><b>WWW.HIDAKAIMOVEIS.COM.BR</b><br><b><br></b><br><b>ENCONTRAMOS O MELHOR CRÉDITO IMOBILIÁRIO PARA VOCÊ FAZER O FINANCIAMENTO DO IMÓVEL DOS SEUS SONHOS.</b><br><br> <br><br> <i>As informações estão sujeitas a alterações. Consulte o corretor responsável.</i><br> <br><br><br>Chave do anúncio: 411XYz0PlSJCk8s9; BS:Parada Editora Abril, BS:Parada Ponte do Piqueri (norte), BS:Parada Ponte do Piqueri (Oeste), BS:Parada Freguesia, BS:Estaçâo Ciência, TS:Parada Editora Abril, TS:Parada Ponte do Piqueri (norte), TS:Parada Ponte do Piqueri (Oeste), TS:Parada Freguesia, TS:Lapa (Linha 7), CS:Padaria Champgne, CS:Frango Assado, CS:Padaria Cigana, CH:Odonto Company, CH:Unidade Básica de Saúde Moinho Velho I
2495006581; HOME; UNIT; BR; São Paulo; SP; Rua Manuel de Sousa Moreira; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Arcadia; Vila Arcádia; RESIDENTIAL; 110; 94; Comprar; 350000; 1; 0; 2; 2; 0; 02911110; Casa térrea em ótima localização, próxima à Marginal Tietê, Edgard Facó e Inajá de Sousa, a 5 minutos à pé de vários Supermercado e da Praça da Matriz Nossa Senhora do Ó. <br>Região tranquila, com bancos, padarias e muita acessibilidade de transporte para toda cidade. Imóvel antigo, com poucos reparas à fazer, claro e arejado, voltado para a face nordeste da cidade, com garagem e lavanderia. <br>O imóvel possui com 94m² de construção e 110m², 2 quartos e 2 banheiros e terraço.<br><br>Gostou?<br>Agende sua visita!<br>Ligue .; BS:Parada Editora Abril, BS:Parada Ponte do Piqueri (norte), BS:Parada Ponte do Piqueri (Oeste), BS:Parada Freguesia, BS:Parada Fiat Luz, TS:Parada Editora Abril, TS:Parada Ponte do Piqueri (norte), TS:Parada Ponte do Piqueri (Oeste), TS:Piqueri, TS:Lapa (Linha 7), CS:Frango Assado, CS:Padaria Champgne, CS:Padaria Cigana, CS:Padaria são Judas, CH:Unidade Básica de Saúde Moinho Velho I, CH:Odonto Company
2484777803; APARTMENT; UNIT; BR; São Paulo; SP; Rua Balsa; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Arcadia; Vila Arcádia; RESIDENTIAL; 49; 49; Comprar; 299000; 1; 0; 1; 2; 360; 02910000; <i><b>LINDO</b></i><i><b>APARTAMENTO LOCALIZADO NA VILA ARCÁDIA:<br><br>**EXPERIMENTE O TOUR VIRTUAL**</b></i><br><br><b><i>- 49 METROS QUADRADOS;</i></b><b><i><br>- 02 DORMITÓRIOS;<br>- 01 BANHEIRO;<br></i></b><i><b>- 01 VAGA GARAGEM;<br></b></i><i><b>- ÁREADE SERVIÇO.</b></i><br><br><i><b>CONDOMÍNIO POSSUI:<br></b></i><br><b><i>- ÁREA VERDE;</i></b><br><i><b>- BRINQUEDOTECA;</b></i><br><i><b>- PLAYGROUND;</b></i><br><i><b>- QUADRA POLIESPORTIVA;</b></i><br><i><b>- SALÃO DE FESTAS E SALÃO DE JOGOS;</b></i><br><i><b>- SEGURANÇA 24 HORAS;</b></i><br><i><b>- PORTARIA 24 HORAS.</b></i><br><br><i><b>LOCALIZAÇÃO:<br><br></b></i><i><b>- 400 METROS DA AV. MARGINAL TIÊTE.</b><br></i><br><br><b>PARA MAIORES INFORMAÇÕES FAVOR ENTRAR EM CONTATO NO TELEFONE/WHATSAPP:</b><br><b>/ / </b><br><b>WWW.HIDAKAIMOVEIS.COM.BR</b><br><b><br></b><br><b>ENCONTRAMOS O MELHOR CRÉDITO IMOBILIÁRIO PARA VOCÊ FAZER O FINANCIAMENTO DO IMÓVEL DOS SEUS SONHOS.</b><br><br> <br><br> <i>As informações estão sujeitas a alterações. Consulte o corretor responsável.</i><br> <br><br><br>Chave do anúncio: hTWfzgqrQclkh6DD; BS:Parada Editora Abril, BS:Parada Ponte do Piqueri (norte), BS:Parada Ponte do Piqueri (Oeste), BS:Parada Freguesia, BS:Estaçâo Ciência, TS:Parada Editora Abril, TS:Parada Ponte do Piqueri (norte), TS:Parada Ponte do Piqueri (Oeste), TS:Parada Freguesia, TS:Lapa (Linha 7), CS:Padaria Champgne, CS:Frango Assado, CS:Padaria Cigana, CH:Odonto Company, CH:Unidade Básica de Saúde Moinho Velho I
