IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2429173382; HOME; UNIT; BR; São Paulo; SP; Rua Embiruçú; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Beatriz; Vila Beatriz; RESIDENTIAL; 224; 224; Comprar; 450000; 1; 0; 2; 3; 1; 03644000; Venda de 2 imóveis coligados, com metragem total da área de 224m2, sendo 8m de frente por 28m de fundos, os 2 imóveis juntos (2 matrículas), estão a venda os 2. Imóveis localizados a 350m do Metrô vila Matilde, bairro com toda infraestrutura, muitos comércios, mercados, bancos, farmácias, bairro tranquilo e seguro. As casas tem uma construção antiga, porém terreno muito bem localizado, ideal para novos projetos de construção de studios, 1 dorm, ou sobrados, até mesmo formação de área. imóveis dentro da faixa do plano diretor da cidade. Estudamos a possibilidade de permuta. Documentação totalmente regular. Oportunidade. Rua Embirussu 652/654 - Vila Matilde/Vila Beatriz - São Paulo -SP. localização privilegiada. Melhor Preço do m2 da região. imperdível BAIXAMOS O PREÇO #PRA VENDER. #MetrôNaPorta ##Empreendedorismo; BS:Terminal Metrô Vila Matilde, 0, BS:Ac. Metrô Vila Matilde, BS:Penha, TS:Vila Matilde, TS:Guilhermina-Esperança, CS:Padaria Requinte, CS:padaria brilhante, CH:UBS Vila Esperança, CH:UBS Vila Matilde, CH:UBS Vila Nova Manchester
2495971277; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Beatriz; Vila Beatriz; RESIDENTIAL; 0; 44; Comprar; 270000; 1; 0; 1; 2; 260; 03643020; O apartamento no bairro Vila Beatriz possui 44 metros quadrados com 2 quartos e 1 banheiro, Entrega para Fevereiro com unidades sem vaga ou unidades Garden; BS:Terminal Metrô Vila Matilde, 0, BS:Ac. Metrô Vila Matilde, BS:Penha, TS:Vila Matilde, TS:Guilhermina-Esperança, CS:Padaria Requinte, CS:padaria brilhante, CH:UBS Vila Esperança, CH:UBS Vila Matilde
2476960189; APARTMENT; UNIT; BR; São Paulo; SP; Rua Pascoal Vita; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Beatriz; Vila Beatriz; RESIDENTIAL; 75; 75; Comprar; 940000; 2; 1; 3; 3; 950; 05445915; Lindo apartamento para vender na Vila Beatriz com 75,00m² - 03 dormitórios e 02 vagas demarcadas. Todo charme que você e sua família procura, vocês encontram aqui, em um bairro cheio de verde, tranquilo e seguro.Entre em contato com a nossa imobiliária e agende agora mesmo a sua visita com um de nossos corretores!MADAH IMÓVEIS - O SEU SONHO DE VIVER BEM!; BS:Rua Isabel de Castela 425, BS:Rua Isabel de Castela 263, BS:Rua Dona Elisa Moraes Mendes 942, BS:Rua Dona Elisa Moraes Mendes 641, BS:Terminal Vila Madalena, TS:Rua Isabel de Castela 425, TS:Rua Isabel de Castela 263, TS:Rua Dona Elisa Moraes Mendes 942, TS:Rua Dona Elisa Moraes Mendes 641, TS:Vila Madalena, CS:Leticia, CS:Minuto Pão de Açucar, CS:Coffeelab, CS:ST. Etiene, CS:Padaria Rodésia, PH:Farmácia da Vila, PH:Formularium, PH:Drogaria e Perfumaria Akyali, PH:Drogaverde, PH:Weleda Farmácia
2493961006; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Rua Embiruçú; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Beatriz; Vila Beatriz; RESIDENTIAL; 1; 95; Comprar; 430000; 2; 3; 3; 3; 0; 03644000; Lindo sobrado em condomínio na Vila Matilde<br><br>O imóvel possui 03 suítes, sala, cozinha, lavabo, área de serviço, sacada e 02 vagas de garagem cobertas, porcelanato nas áreas frias. A parte superior possui ampla varanda, com espaço para churrasqueira.<br><br>Excelente localização, fica à apenas 10 minutos da estação Vila Matilde, fácil acesso para Radial Leste, próximo aos comércios da região.<br><br>ÚLTIMA UNIDADE -; BS:Terminal Metrô Vila Matilde, 0, BS:Ac. Metrô Vila Matilde, BS:Penha, TS:Vila Matilde, TS:Guilhermina-Esperança, CS:Padaria Requinte, CS:padaria brilhante, CS:HOT BRAD Pães ultracongelados, CS:padaria nova granada, CH:UBS Vila Esperança, CH:UBS Vila Matilde
2467516303; PENTHOUSE; UNIT; BR; São Paulo; SP; Rua Ourânia; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Beatriz; Vila Beatriz; RESIDENTIAL; 174; 174; Comprar; 1698000; 2; 1; 3; 3; 1538; 05445030; Ótima cobertura duplex na Vila Madalena, vista maravilhosa com 174 m² 1º piso: Sala com varanda, escritório, 3 dormitórios (1 suite) banheiro social, cozinha e área de serviço. 2º piso: sala com home teather, lareira, lavabo, terraço fechado com churrasqueira e terraço aberto com piscina e sala coberta e fechada ideal para equipamentos de academia. 2 vagas de garagem demarcadas e depósito. Lazer completo com churrasqueira, espaço gourmet, jardim, lavanderia coletiva, piscina, piscina Infantil, playground, sala de ginástica, salão de festa e salão de jogos.; BS:Rua Isabel de Castela 263, BS:Rua Isabel de Castela 425, BS:Rua Dona Elisa Moraes Mendes 942, BS:Rua Dona Elisa Moraes Mendes 641, BS:Terminal Vila Madalena, TS:Rua Isabel de Castela 263, TS:Rua Isabel de Castela 425, TS:Rua Dona Elisa Moraes Mendes 942, TS:Rua Dona Elisa Moraes Mendes 641, TS:Vila Madalena, CS:Leticia, CS:Minuto Pão de Açucar, CS:Coffeelab, CS:ST. Etiene, CS:Padaria Rodésia, PH:Farmácia da Vila, PH:Formularium, PH:Drogaria e Perfumaria Akyali, PH:Drogaverde, PH:Farmacia Ubiratan
89272191; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Beatriz; Vila Beatriz; RESIDENTIAL; 335; 164; Comprar; 2100000; 3; 3; 6; 3; 1900; 05441040; Apartamento andar alto, linda vista panorâmica, living 2 ambientes com lareira e terraço. sala de jantar com terraço, sala de almoço, copa-cozinha, lavabo, 3 sts (planta original são 4 dts sendo 3 suítes), planta alterada por João Armentano, armários planejados (cozinha e dormitórios). Prédio com segurança total, elevador privativo. Lazer com sauna, sala de ginástica, playground, piscina adulto e infantil (aquecidas), mini quadra, salão de festas.<br>Os interessados devem entrar em contato com Luiz ou Vitória.; BS:Terminal Vila Madalena, BS:Rua Isabel de Castela 425, BS:Rua Isabel de Castela 263, BS:Rua Heitor Penteado 398, BS:Rua Alvilândia 231, TS:Vila Madalena, TS:Terminal Vila Madalena, TS:Rua Isabel de Castela 425, TS:Rua Isabel de Castela 263, TS:Rua Heitor Penteado 398, CS:Casa dos Bolos, CS:Minimart, CS:Santa Marta Pães, CS:Minuto Pão de Açucar, CS:Padaria Rodésia, PH:Weleda Farmácia, PH:Farmácia da Vila, PH:Drogaverde, PH:Formularium, PH:Almeida Prado Farmacia e laboratorio
2488649786; HOME; UNIT; BR; São Paulo; SP; Rua Caropá; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Beatriz; Vila Beatriz; RESIDENTIAL; 198; 198; Comprar; 1700000; 2; 1; 4; 4; 0; 05447000; Casa em rua tranquila! Sobrado com potencial para quem procura um imóvel para personalizar. o living é amplo proporcionando ambientes confortáveis. Quartos confortáveis com charmoso terraço. Quintal com bastante verde e uma churrasqueira para receber seus amigos e familiares. Jardim na frente da casa, deixando-a um charme! O sobrado é muito aconchegante, você se encantará! A região é bem procurada, pois é um das melhores da Zona. Confira! 1610; BS:Rua Isabel de Castela 425, BS:Rua Isabel de Castela 263, BS:Rua Alvilândia 231, BS:Rua Dona Elisa Moraes Mendes 641, BS:Rua Alvilândia, TS:Rua Isabel de Castela 425, TS:Rua Isabel de Castela 263, TS:Rua Alvilândia 231, TS:Rua Dona Elisa Moraes Mendes 641, TS:Rua Alvilândia, CS:Minuto Pão de Açucar, CS:Minimart, CS:Padaria Rodésia, CS:Casa dos Bolos, CS:ST. Etiene, PH:Drogaverde, PH:Farmácia da Vila, PH:Weleda Farmácia, PH:Formularium, PH:Drogaria e Perfumaria Akyali
2497198658; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Beatriz; Vila Beatriz; RESIDENTIAL; 220; 220; Comprar; 1097001; 4; 3; 4; 3; 0; 03643020; Sobrado para Venda na Penha com 3 suítes, sendo 2 com closet integrado e uma com sacada. - Data da Atualização:; BS:Terminal Metrô Vila Matilde, 0, BS:Ac. Metrô Vila Matilde, BS:Penha, TS:Vila Matilde, TS:Guilhermina-Esperança, CS:Padaria Requinte, CS:padaria brilhante, CH:UBS Vila Esperança, CH:UBS Vila Matilde
2066885481; APARTMENT; UNIT; BR; São Paulo; SP; Rua São Felipe; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Beatriz; Vila Beatriz; RESIDENTIAL; 66; 66; Comprar; 470000; 1; 1; 2; 2; 520; 03085010; Olá, sou o apartamento que você está procurando. Sucesso comprovado, alto padrão, venda direto com a construtora, 66 e 85 m², com 2 e 3 dormitórios, com 01 ou 02 suítes, varanda espaçosa com churrasqueira, cozinha planejada, ampla área de serviço, torre única e com lazer completo dentro do seu condomínio.<br><br>A planta está maravilhosa, tenho certeza que esse é o apartamento ideal para você e sua família. Venha visitar o nosso decorado. <br><br>O VERTIZ CLUB HOME está localizado em uma região com grande potencial de valorização. Uma ótima oportunidade para investir em um patrimônio sólido e rentável. Possui mais de 5.200 m² de terreno, e isso o torna um verdadeiro CLUB para você e sua família desfrutarem de momentos inesquecíveis.<br>Aqui você encontrará conforto, lazer, segurança e economia.<br><br>Outra vantagem é estar próximo das melhores padarias, escolas, supermercados, farmácias, hospitais e shoppings da região. <br>Isso para lhe proporcionar conforto e facilidade na realização das tarefas do dia-a-dia.<br><br>Você precisa vir conhecer.<br>São as últimas unidades direto com a construtora.<br>Solicite a sua visita agora e não perca essa oportunidade.<br>Você e sua família merecem esse presente.<br><br>A validade desse valor é somente até esse final de semana.; BS:Parada Parque Piqueri, BS:Bus 257/299 to Aeroporto, BS:Terminal Aricanduva, TS:Carrão, TS:Parada Parque Piqueri, TS:Tatuapé, TS:Terminal Aricanduva, CS:Benfica, CS:Bella Tuiuti Pães e Bolos, CS:Mercadinho Happy Familia, CS:Dona Izulina, CS:Swift, PH:Neo Farma  Manipulação, PH:Neo Farma Manipulação
2485913477; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Rua Gustavo Figner; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Beatriz; Vila Beatriz; RESIDENTIAL; 220; 220; Comprar; 1100000; 3; 3; 4; 3; 0; 03643030; Sobrado alto padrão com 3 anos de construção, com 3 suítes, sendo 2 com closet. Sala de estar, sala de jantar, home office, lavabo, cozinha, área de churrasqueira, lavanderia, jardim de inverno e garagem para 4 carros com lavabo. Toda a residência possui móveis planejados estando parcialmente mobiliada. Suíte master com cuba esculpida e nicho embutido em granito preto e demais suítes possuem pedra e nichos embutidos em Quartzo Stone Branco. Na sala de estar com home e aparador, sala de jantar possui cristaleira e adega, área projetada também para receber adega climatizada e cervejeira gourmet e parede com revestimento em 3D. O escritório é integrado em um canto reservado da sala de jantar. O lavabo foi projetado em tons sóbrios e possui uma bancada em vidro integrada a uma cuba esculpida em granito preto, o espelho se integra ao teto de vidro. A cozinha possui uma faixa de azulejos Lurca decorativa, todos os armários com portas em vidro, cooktop da linha Gourmand Brastemp, Coifa Electrolux Blue Touch, espaço projetado para receber lava louças 12 serviços, bancada grande em Quartzo Stone Branco. A iluminação da residência foi totalmente projetada com design moderno e iluminação toda em Led. Escadas em granito com lindo corrimão em inox. A fiação elétrica foi totalmente revisada para suportar a iluminação e eletroeletrônicos. A residência também possui toda a estrutura para instalação de ar-condicionado nas suítes. Revestimentos de primeira linha (Portinari e Portobello), cubas, bacias sanitárias e metais Deca. Esta residência possui excelente localização, a 700 metros do metro Vila Matilde, com fácil acesso à Radial Leste e Marginal Tietê.; BS:Ac. Metrô Vila Matilde, BS:Terminal Metrô Vila Matilde, 0, BS:Penha, TS:Vila Matilde, TS:Guilhermina-Esperança, CS:Padaria Requinte, CS:padaria brilhante, VP:Pet Center Okinawa
