IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2489222204; PENTHOUSE; UNIT; BR; Santo André; SP; Rua Penalva; BR>Sao Paulo>NULL>Santo Andre>Barrios>VILA BELA VISTA; Vila Bela Vista; RESIDENTIAL; 100; 88; Comprar; 312000; 4; 1; 2; 2; 0; 09181150; Cobertura 2 dormitórios sendo 1 suíte, com ótima disposição de planta e ambientes espaçosos . . . <br> <br>. . . Já com acabamento . . .<br><br>> > > 4 VAGAS DE GARAGEM COM DEPÓSITO PRIVATIVO < < < <br><br>Localização privilegiada, em uma rua tranquila e um dos melhores bairros da cidade, com toda infraestrutura de comércios e serviços, padaria, açougue, hipermercados, shopping, bares, restaurantes, hospitais, escolas e muito mais . . . <br><br>UTILIZE SEU FGTS<br><br>AGENDE SUA VISITA<br><br>Ligue agora mesmo ou envie uma mensagem CHAT ONLINE ou WHATSAPP<br>(Visitas somente com horário marcado)<br><br>Unidade sujeita a disponibilidade em estoque e valor informado poderá ser alterado sem aviso prévio.<br><br>Para mais imóveis como esse www.prohimoveis.com.br; BS:Parada E.E. Doutor Baeta Neves, BS:Parada Estela, BS:Parada Gilda, BS:Estação Dom Pedro I, BS:Estação Rua do Amaro, TS:ETCSBC, TS:Parada E.E. Doutor Baeta Neves, TS:Parada Estela, TS:Parada Gilda, TS:Estação Dom Pedro I, CS:Donna Mel Doces e Decorações, CS:Padaria Jardim Oriental, CS:Padaria Estela, CS:Padaria Caiubi, CS:Padaria Paraíso, PH:Drogaria Paraíso, PH:Drogaria Stella, PH:Hexafarmácia Drogaras
2450397021; PENTHOUSE; UNIT; BR; Santo André; SP; ; BR>Sao Paulo>NULL>Santo Andre>Barrios>VILA BELA VISTA; Vila Bela Vista; RESIDENTIAL; 100; 100; Comprar; 320000; 4; 1; 3; 2; 0; 09181150; Cobertura sem condomínio, Vila Linda - Santo André - SP - Com 2 dormitórios, 1 suite, 1 wc social, sala e cozinha, 3 banheiros, escada interna para cobertura com área coberta e descoberta, provisão para pia e churrasqueira, vista panorâmica, Entrada social, contas de consumo individualizadas para água, luz e gás, piso em porcelanato, pronto para morar, portões, esquadrias e corrimãos em alumínio, escadas em granito, 4 vagas de garagem com portão automático, depósito individual na garagem.Próximo a Rua Carijós com toda a comodidade e diversidade de abastecimento e transportes. Aceita financiamento, fgts, estuda proposta Imóvel com plantão de 3 feira a domingo das 9 ás 17 hs.Rua Penalva, 117 - Vila Linda - Santo André; BS:Parada E.E. Doutor Baeta Neves, BS:Parada Estela, BS:Parada Gilda, BS:Estação Dom Pedro I, BS:Estação Rua do Amaro, TS:ETCSBC, TS:Parada E.E. Doutor Baeta Neves, TS:Parada Estela, TS:Parada Gilda, TS:Estação Dom Pedro I, CS:Donna Mel Doces e Decorações, CS:Padaria Jardim Oriental, CS:Padaria Estela, CS:Padaria Caiubi, CS:Padaria Paraíso, PH:Drogaria Paraíso, PH:Drogaria Stella, PH:Hexafarmácia Drogaras
2495420443; APARTMENT; UNIT; BR; Santo André; SP; ; BR>Sao Paulo>NULL>Santo Andre>Barrios>VILA BELA VISTA; Vila Bela Vista; RESIDENTIAL; 83; 83; Comprar; 320000; 2; 1; 2; 3; 60; 00000000; Excelente apartamento á venda em Santo Andre bem localizado e muito bem acabado grande com 2 vagas de garagem venha visitar; BS:Estação Dom Pedro I, BS:Parada Gilda, BS:Estação Rua do Amaro, BS:Parada Passarela José Fontoura, BS:Parada Estela, TS:Estação Dom Pedro I, TS:Parada Gilda, TS:Estação Rua do Amaro, TS:Parada Passarela José Fontoura, TS:Parada Estela, CS:Donna Mel Doces e Decorações, CS:Padaria Jardim Oriental, CS:Padaria Estela, CS:Merquatro Mini Mercado, CS:Padaria Caiubi, PH:Drogaria Paraíso, PH:Drogaria Stella
2487457895; APARTMENT; UNIT; BR; Santo André; SP; Rua Londrina; BR>Sao Paulo>NULL>Santo Andre>Barrios>VILA BELA VISTA; Vila Bela Vista; RESIDENTIAL; 53; 53; Comprar; 252500; 1; 1; 2; 2; 0; 09181160; *** OPORTUNIDADE ***<br><br>Belíssimo apartamento s/condomínio - Vila Bela Vista.<br>53m² - 02 dorms - 01 suíte - 02 vagas de garagem -; BS:Parada Gilda, BS:Parada Estela, BS:Parada Mário Covas, BS:Parada Paraíso, BS:Estação Dom Pedro I, TS:Parada Gilda, TS:Ponto de ônibus, TS:Parada Estela, TS:Parada Mário Covas, TS:Parada Paraíso, CS:Donna Mel Doces e Decorações, CS:Padaria Estela, CS:Padaria Jardim Oriental, CS:Padaria Paraíso, CS:Padaria Caiubi, PH:Drogaria Paraíso, PH:Drogaria Stella
2482385728; HOME; UNIT; BR; Santo André; SP; Rua Bauru; BR>Sao Paulo>NULL>Santo Andre>Barrios>VILA BELA VISTA; Vila Bela Vista; RESIDENTIAL; 116; 116; Comprar; 372000; 2; 1; 2; 3; 0; 09181210; Acesse: www.lelloimoveis.com.br - código 212370 Sobrado com 3 dormitórios, 1 suíte, sala 2 ambientes, cozinha , banheiro social lavabo , garagem para 2 carros. Agende sua visita !!!. Próximo ao centro comercial da Rua Carijós; BS:Estação Dom Pedro I, BS:Parada Gilda, BS:Parada Estela, BS:Estação Rua do Amaro, BS:Parada Passarela José Fontoura, TS:Estação Dom Pedro I, TS:Parada Gilda, TS:Parada Estela, TS:Estação Rua do Amaro, TS:Parada Passarela José Fontoura, CS:Donna Mel Doces e Decorações, CS:Padaria Jardim Oriental, CS:Padaria Estela, CS:Padaria Caiubi, CS:Merquatro Mini Mercado, PH:Drogaria Paraíso, PH:Drogaria Stella
2498937513; RESIDENTIAL_ALLOTMENT_LAND; UNIT; BR; Santo André; SP; Rua Assis; BR>Sao Paulo>NULL>Santo Andre>Barrios>VILA BELA VISTA; Vila Bela Vista; RESIDENTIAL; 221; 221; Comprar; 280000; 0; 0; 0; 0; 0; 09181030; Terreno a venda na Vila Bela Vista em Santo André.<br>Com sede em Santo André, A Donizete Imóveis está presente em todo ABC há mais de 30 anos, ajudando pessoas a realizarem o sonho de conquistar o seu primeiro imóvel. Conheça nossa imobiliária, nós temos mais de cinco mil imóveis ativos cadastrados em nosso banco de dados e corretores profissionais especializados na região para te ajudar a encontrar o seu imóvel ideal. -; BS:Parada E.E. Doutor Baeta Neves, BS:Parada Estela, BS:Parada Gilda, BS:Parada Coop Viana, BS:Parada Coop Vianas, TS:ETCSBC, TS:Parada E.E. Doutor Baeta Neves, TS:Parada Estela, TS:Parada Gilda, TS:Parada Coop Viana, CS:Padaria Jardim Oriental, CS:Donna Mel Doces e Decorações, CS:Padaria Caiubi, CS:Padaria Estela, CS:Bela Paraíso, PH:Drogaria Stella, PH:Drogaria Paraíso
2431602602; HOME; UNIT; BR; Santo André; SP; Rua Barbacena; BR>Sao Paulo>NULL>Santo Andre>Barrios>VILA BELA VISTA; Vila Bela Vista; RESIDENTIAL; 175; 135; Comprar; 450000; 3; 1; 3; 2; 0; 09181190; Maravilhosa Térrea - excelente localização próximo comércios - fácil acesso as principais vias Térrea com excelente acabamento 2 dormitórios sendo 1 suíte, sala ampla, cozinha planejada,<br>quintal com churrasqueira, ótima área de serviço, 3 vagas - agende sua visita com a Proativa Consultoria Imobiliária - Mais informações em nosso departamento comercial -; BS:Estação Dom Pedro I, BS:Estação Rua do Amaro, BS:Parada Gilda, BS:Parada Passarela José Fontoura, BS:Parada E.E. Doutor Baeta Neves, TS:Estação Dom Pedro I, TS:Estação Rua do Amaro, TS:Parada Gilda, TS:Parada Passarela José Fontoura, TS:ETCSBC, CS:Donna Mel Doces e Decorações, CS:Padaria Jardim Oriental, CS:Padaria Estela, CS:Padaria Caiubi, CS:Merquatro Mini Mercado, PH:Drogaria Paraíso, PH:Drogaria Stella, PH:Hexafarmácia Drogaras
2230555783; APARTMENT; UNIT; BR; Santo André; SP; Rua Londrina; BR>Sao Paulo>NULL>Santo Andre>Barrios>VILA BELA VISTA; Vila Bela Vista; RESIDENTIAL; 55; 55; Alugar/Comprar; 1400; 1; 1; 2; 2; 0; 09181160; Apartamento sem condomínio com ótima localização, próximo a Av. Brasilia, Rua Carijós e Rua Bagé.<br>Fácil acesso ao Supermercado Coop, Rua das Hortências e Av. Rangel Pestana.<br>2 dormitórios sendo 1 suíte.<br>Sala com boa iluminação natural.<br>Cozinha.<br>Quintal.<br>Vaga coberta.; BS:Parada Gilda, BS:Parada Estela, BS:Estação Dom Pedro I, BS:Parada E.E. Doutor Baeta Neves, BS:Estação Rua do Amaro, TS:Parada Gilda, TS:Parada Estela, TS:Estação Dom Pedro I, TS:ETCSBC, TS:Parada E.E. Doutor Baeta Neves, CS:Donna Mel Doces e Decorações, CS:Padaria Jardim Oriental, CS:Padaria Estela, CS:Padaria Caiubi, CS:Padaria Paraíso, PH:Drogaria Paraíso, PH:Drogaria Stella
2474285128; HOME; UNIT; BR; Santo André; SP; ; BR>Sao Paulo>NULL>Santo Andre>Barrios>VILA BELA VISTA; Vila Bela Vista; RESIDENTIAL; 148; 116; Comprar; 297000; 2; 0; 3; 2; 0; 09181040; Casa térrea de 148m² na Vila Bela Vista, Santo André<br><br>Frente: 2 dormitórios, sala, cozinha com armários, lavabo, lavanderia, wc com box, entrada lateral, tudo em piso vinílico.<br>Fundos: 1 dormitório, cozinha, wc e edícula.<br>2 vagas cobertas<br>Próximo a Carijós, coop.<br>Aceita propostas!<br><br>Oportunidade! Agende uma visita! -; BS:Parada E.E. Doutor Baeta Neves, BS:Parada Estela, BS:Parada Gilda, BS:Estação Dom Pedro I, BS:Estação Rua do Amaro, TS:ETCSBC, TS:Parada E.E. Doutor Baeta Neves, TS:Parada Estela, TS:Parada Gilda, TS:Estação Dom Pedro I, CS:Donna Mel Doces e Decorações, CS:Padaria Jardim Oriental, CS:Padaria Estela, CS:Padaria Caiubi, CS:Padaria Paraíso, PH:Drogaria Paraíso, PH:Drogaria Stella, PH:Hexafarmácia Drogaras
2431792597; HOME; UNIT; BR; Santo André; SP; Rua Bauru; BR>Sao Paulo>NULL>Santo Andre>Barrios>VILA BELA VISTA; Vila Bela Vista; RESIDENTIAL; 116; 116; Comprar; 375000; 2; 1; 2; 3; 0; 09181210; Excelente sobrado com boa localização em Santo André.<br>Próximo a Rua Carijós, Av. Rangel Pestana e Mercado Coop.<br>Fácil acesso a Rua das Hortências, Rua Juquiá e Parque Central.<br>A minutos do Shopping ABC e São Bernardo do Campo.<br>3 dormitórios sendo 1 suíte com sacada.<br>Sala iluminada com 2 ambientes.<br>Cozinha planejada.<br>Quintal.<br>2 vagas.<br>Estuda permuta.; BS:Estação Dom Pedro I, BS:Estação Rua do Amaro, BS:Parada Passarela José Fontoura, BS:Parada Gilda, BS:Parada Estela, TS:Estação Dom Pedro I, TS:Estação Rua do Amaro, TS:Parada Passarela José Fontoura, TS:Parada Gilda, TS:Parada Estela, CS:Donna Mel Doces e Decorações, CS:Padaria Jardim Oriental, CS:Padaria Estela, CS:Merquatro Mini Mercado, CS:Padaria Caiubi, PH:Drogaria Paraíso, PH:Drogaria Stella, PH:Hexafarmácia Drogaras
