IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2462406203; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Rua dos Operários; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Brasilina; Vila Brasilina; RESIDENTIAL; 360; 323; Comprar; 490000; 2; 4; 6; 4; 0; 04161000; ótimo sobrado na vila barasilina com 323 metros de area construida, sendo :na parte de baixo sala ampla,l doemitorio com suíte,cozinha ,áre de serviços. l banheiro despensa, quintal edicula,um porão pequeno,piso superior 3 dormitórios com suíte hall dos quartos,garagem para 2 carros coberta,próximo av do cursino,transporte públicos ,hospitis supermercados, comercio em geral<br>Em razão da quarentena imposta em todo o Estado de São Paulo, disponibilizamos a visitação remota através de VIDEO CHAMADA, de modo a não expor nossos clientes e colaboradores ao risco de contágio por COVID-19.<br><br>Agende a sua visita e venha conhecer.<br><br>Cadastre-se em nosso site para agilizar o seu contato.; BS:Passarela Antônio Vanzella, BS:Parada Praça Gaúcha, TS:Passarela Antônio Vanzella, TS:Parada Praça Gaúcha, CS:Padaria Pães e Doces Adriana, CS:Monte Blanco, CS:Trigo Bom, CS:Panificadora e Confeitaria Nobre Pão Ltda., CS:Padaria Nova Princesa do Mar, PH:Styllus Farma
2492106426; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Brasilina; Vila Brasilina; RESIDENTIAL; 116; 118; Comprar; 260000; 0; 0; 1; 1; 0; 04159180; Terreno plano com 02 casas<br><br>Casa 01 - dormitorio, cozinha, wc, lavanderia, quintal<br>Casa 02 - dormitorio, cozinha, wc, lavanderia<br><br>Proximo da Rua Dom Villares, Rua Nossa Senhora da Saude, Av. do Cursino<br><br>Proximo de padaria, pizzaria, restaurante, escola, farmacia, correio, Mercado Extra, sacolao, banco.<br> <br>Area de terreno: 6,5 x 20 = 116,32m²<br>Area construida: 118m²<br><br>REF: 18.052; BS:Passarela Antônio Vanzella, BS:Parada Praça Gaúcha, TS:Passarela Antônio Vanzella, TS:Parada Praça Gaúcha, CS:Monte Blanco, CS:Nossa Vila, CS:Padaria Pães e Doces Adriana, CS:M2, CS:Padaria Montreal, PH:Styllus Farma, PH:SOS Farma Ponte
2447209113; HOME; UNIT; BR; São Paulo; SP; Travessa Guido Albanese; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Brasilina; Vila Brasilina; RESIDENTIAL; 0; 210; Comprar; 685000; 2; 2; 0; 2; 0; 04163040; Sobrado com entrada lateral, duas vagas, sala com três ambientes, cozinha planejada, lavabo, uma suíte e dormitório suíte repleto de armários, com uma banheira hidromassagem, dependência de empregada e churrasqueira. Ótimo sobrado!; BS:Passarela Antônio Vanzella, BS:Parada Praça Gaúcha, TS:Passarela Antônio Vanzella, TS:Parada Praça Gaúcha, CS:Padaria Pães e Doces Adriana, CS:Monte Blanco, CS:Panificadora e Confeitaria Nobre Pão Ltda., CS:Trigo Bom, CS:Padaria Nova Princesa do Mar, PH:Styllus Farma
2498317400; HOME; UNIT; BR; São Paulo; SP; Rua dos Operários; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Brasilina; Vila Brasilina; RESIDENTIAL; 160; 160; Comprar; 259900; 2; 1; 2; 3; 0; 04161001; ***** Somente pagamento a vista ********* 3 dormitórios (sendo uma suíte) 2 banheiros sala,cozinha , 2 vagas (portão automático) E uma churrasqueira na cobertura. -; BS:Ponte Orca Zoo - Terminal Jabaquara, BS:Parada Maria Pereira Lima, BS:Ponto Final Terminal Sacomã, TS:Ponte Orca Zoo - Terminal Jabaquara, TS:Parada Maria Pereira Lima, TS:Ponto Final Terminal Sacomã, CS:Padaria Nova Princesa do Mar, CS:Trigo Bom, CS:Panificadora e Confeitaria Nobre Pão Ltda., CS:Padaria Pães e Doces Adriana, CS:Monte Blanco, PH:Styllus Farma
2488372697; HOME; UNIT; BR; São Paulo; SP; Rua Democracia; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Brasilina; Vila Brasilina; RESIDENTIAL; 50; 50; Comprar; 250000; 0; 0; 1; 2; 0; 04161060; EXCELENTE OPORTUNIDADE DE INVESTIMENTO CASA TERREA DE FUNDOS 50 m2 2 DORMITORIOS, SALA, COZINHA, BANHEIRO, QUINTAL NÃO TEM VAGA DE GARAGEM IPTU ISENTO AGENDE JÁ UMA VISITA !!!! -; BS:Passarela Antônio Vanzella, BS:Parada Praça Gaúcha, TS:Passarela Antônio Vanzella, TS:Parada Praça Gaúcha, CS:Monte Blanco, CS:Padaria Pães e Doces Adriana, CS:Panificadora e Confeitaria Nobre Pão Ltda., CS:Trigo Bom, CS:Nossa Vila, PH:Styllus Farma
2490210475; HOME; UNIT; BR; São Paulo; SP; Rua dos Operários; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Brasilina; Vila Brasilina; RESIDENTIAL; 196; 323; Comprar; 491000; 2; 4; 5; 4; 0; 04161001; Sobrado com terreno 7x28 e 323m² de área construída, com 4 Suítes, 3 salas 1 cozinha, 1 lavabo,1 Edícula, Garagem pra 2 carros. Piso de Madeira. Ótima Localização, Perto de tudo para você se cercar de muito conforto e comodidade. Próximo a conveniências e facilidades que um dia-a-dia prático e moderno exige além de toda a facilidade de acesso e uma infraestrutura completa de comércios e serviços aos seus pés. Com a Nova São Paulo a compra do seu imóvel é mais segura. Oferecemos assessoria gratuita em financiamento imobiliário, orientando o cliente em todo o processo de negociação. Você pode agendar sua visita ou tirar dúvidas também pelo whatsApp. Confira nossos telefones.; BS:Passarela Antônio Vanzella, BS:Parada Praça Gaúcha, TS:Passarela Antônio Vanzella, TS:Parada Praça Gaúcha, CS:Padaria Pães e Doces Adriana, CS:Monte Blanco, CS:Trigo Bom, CS:Panificadora e Confeitaria Nobre Pão Ltda., CS:Padaria Nova Princesa do Mar, PH:Styllus Farma
2192975564; HOME; UNIT; BR; São Paulo; SP; Rua João de Santa Maria; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Brasilina; Vila Brasilina; RESIDENTIAL; 227; 227; Comprar; 1280000; 3; 3; 5; 3; 0; 04158070; Linda casa, situada em uma rua de pequena extensão, com segurança; <br>São 3 dormitórios suítes, sendo que uma delas possui uma sala íntima separada que pode ser convertida em escritório. <br>Possui ampla sala que dá para dois ambientes, lavabo. <br> Moderna e ampla cozinha com bancada em granito. O espaço de trás da casa possui churrasqueira, lavanderia e banheiro. Ainda no espaço de trás, acima da lavanderia, a casa possui uma edícula com suíte, ambiente ideal para receber hóspedes, mas podendo ser uma dependência de empregada.<br>3 vagas de garagem.<br>Casa totalmente reformada, incluindo as instalações elétricas, hidráulicas, inclusive encanamento de esgoto.<br>Nas proximidades tem; Supermercado, hortifrúti, padaria, farmácias, transporte publico e outros.<br>Proprietário aceita troca em apartamento de menor valor! -; BS:Parada Itapiru, BS:Passarela Antônio Vanzella, BS:Parada Praça Gaúcha, BS:Ponto Exclusivo   4732-21, BS:Ponto Exclusivo   4732-31, TS:Parada Itapiru, TS:Passarela Antônio Vanzella, TS:Parada Praça Gaúcha, TS:Ponto Exclusivo   4732-21, TS:Ponto Exclusivo   4732-31, CS:Monte Blanco, CS:Padaria Pães e Doces Adriana, CS:Padaria Montreal, CS:Recanto do Churrasco, CS:Distribuidora de Água Saúde, PH:Styllus Farma
2453477461; HOME; UNIT; BR; São Paulo; SP; Rua dos Operários; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Brasilina; Vila Brasilina; RESIDENTIAL; 203; 323; Comprar; 490000; 2; 4; 5; 4; 0; 04161001; REF: 5593<br><br>Sobrado em ÓTIMO estado, próximo a mercados, restaurantes e comércios em geral; com fácil acesso à Av. do Cursino e Av. Pres. Tancredo Neves - BOA localização! Possui 4 suítes (sendo uma delas com terraço e closet, e outra localizada no térreo), sala 3 ambientes, 1 lavabo, copa, cozinha ampla com gabinete, área de serviço, quintal, edícula com: 1 dormitório, banheiro, sala, cozinha e pequeno quintal, e garagem com 2 vagas.<br><br>Venha conferir! A Koyama Imóveis atua em administração, locação, vendas e avaliação de imóveis. Localizada na Av. Bosque da Saúde, 376 - a 350m do metrô Praça da Árvore. CLIQUE NO LOGO KOYAMA E CONFIRA OFERTAS NESTA REGIÃO! -; BS:Passarela Antônio Vanzella, BS:Parada Praça Gaúcha, TS:Passarela Antônio Vanzella, TS:Parada Praça Gaúcha, CS:Padaria Pães e Doces Adriana, CS:Monte Blanco, CS:Trigo Bom, CS:Panificadora e Confeitaria Nobre Pão Ltda., CS:Padaria Nova Princesa do Mar, PH:Styllus Farma
2497580946; APARTMENT; UNIT; BR; São Paulo; SP; Rua Fosca; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Brasilina; Vila Brasilina; RESIDENTIAL; 51; 51; Comprar; 265000; 1; 0; 1; 2; 460; 04159040; Oportunidade !<br><br>Apartamento com 2 dormitórios à venda, 51 m² por R$ 265.000 - Vila Brasilina - São Paulo/SP<br>sala 2 ambientes , sacada, cozinha, área de serviço<br>>>>1 vaga.<br>Características do condomínio<br>Children Care<br>Churrasqueira<br>Jardim<br>Piscina<br>Playground<br>Quadra Poliesportiva<br>Sala De Ginástica<br>Salão De Festa<br>Salão De Jogos<br>Sauna<br><br>R. Fosca, 50 - São Paulo - SP<br>CEP 04159-040<br><br>Agende sua visita!<br>Acesse nosso site: www.altodoipirangaimobiliaria.com.br ou ligue: . (WhatsApp) .<br>CAPTAÇÃO DE IMÓVEL - VENDA - LOCAÇÃO - ADM -<br>Rua Vigário Albernaz, 448 - São Paulo/SP.<br><br>#As informações e a disponibilidade deste imóvel são de responsabilidade do proprietário, podendo ser alteradas a qualquer momento.# -; BS:Passarela Antônio Vanzella, BS:Parada Praça Gaúcha, TS:Passarela Antônio Vanzella, TS:Parada Praça Gaúcha, CS:Monte Blanco, CS:Padaria Pães e Doces Adriana, CS:Nossa Vila, CS:Panificadora e Confeitaria Nobre Pão Ltda., CS:M2, PH:Styllus Farma, PH:SOS Farma Ponte
2498455377; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Brasilina; Vila Brasilina; RESIDENTIAL; 200; 140; Comprar; 780000; 3; 1; 3; 3; 0; 04161060; O Sobrado possui 140 metros quadrados com 3 dormitórios 1 suite e 3 vagas de garagem!<br>Empreendimento com ótimo padrão de construção.<br>Lazer- Espaço gourmet, Churrasqueira.<br>Localização - Acesso fácil as principais vias da região, próximo a Supermercados, Escolas, Hospitais e Estação do Metrô Sacomã. <br>Consulte-nos sobre a disponibilidade e as informações do imóvel anunciado. Valores sujeitos a alteração. -; BS:Passarela Antônio Vanzella, BS:Parada Praça Gaúcha, TS:Passarela Antônio Vanzella, TS:Parada Praça Gaúcha, CS:Monte Blanco, CS:Padaria Pães e Doces Adriana, CS:Panificadora e Confeitaria Nobre Pão Ltda., CS:Trigo Bom, CS:Nossa Vila, PH:Styllus Farma, PH:SOS Farma Ponte
2498035701; HOME; UNIT; BR; São Paulo; SP; Rua João de Santa Maria; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Brasilina; Vila Brasilina; RESIDENTIAL; 218; 206; Comprar; 1000000; 4; 1; 4; 3; 0; 04158070; SOBRADO NA VILA BRASILINA DE 03 DORMITÓRIOS, 06 VAGAS DE GARAGEM, PRÓXIMO À AVENIDA DO CURSINO E DA IMIGRANTES.<br><br>206 m², sala de 02 ambientes, salas amplas, 03 dormitórios sendo uma suíte, 02 depósitos, armários em todos os quartos, lavanderia e quarto de empregada.<br><br>Aceita-se permuta abaixo do valor de compra!<br><br>Localizado na Vila Brasilina, próximo da Avenida do Cursino e da Imigrantes, o imóvel fica próximo de diversos comércios, tais como:<br><br>Padarias;<br>Supermercado;<br>Sacolão;<br>MC Donald`s;<br>Bancos;<br>Postos de Gasolinas;<br>Mecânicas;<br>Colégios;<br>e muito mais!<br><br>Venha conhecer! Visitas presenciais ou online. -; BS:Parada Itapiru, BS:Passarela Antônio Vanzella, BS:Parada Praça Gaúcha, BS:Ponto Exclusivo   4732-21, BS:Ponto Exclusivo   4732-31, TS:Parada Itapiru, TS:Passarela Antônio Vanzella, TS:Parada Praça Gaúcha, TS:Ponto Exclusivo   4732-21, TS:Ponto Exclusivo   4732-31, CS:Monte Blanco, CS:Padaria Pães e Doces Adriana, CS:Padaria Montreal, CS:Recanto do Churrasco, CS:Distribuidora de Água Saúde, PH:Styllus Farma
