IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2479036410; APARTMENT; UNIT; BR; São Paulo; SP; Rua Marquês de Itu; BR>Sao Paulo>NULL>Sao Paulo>Centro>Vila Buarque; Vila Buarque; RESIDENTIAL; 0; 25; Comprar; 212150; 0; 1; 1; 1; 0; 01223001; Entregue já no ano que vem - Últimas Unidades ||<br><br>Já imaginou viver a poucos passos do metrô e em edifício projetado pelo renomado arquiteto Isay Weinfeld? ||<br><br>Localização Privilegiada: Sua excelente localização facilita o acesso a avenida Paulista e aos cartões postais da cidade, com transporte público de qualidade e fácil acesso de carro ou a pé. More perto dos melhores shoppings (Páteo Higienópolis e Frei Caneca), tendo a sua porta os mais premiados restaurantes (A Casa do Porco, Bar da Dona Onça, Estadão) e os mais charmosos pubs da cidade (Bar Brahma, Jazz B). || <br><br>Condomínio Completo: Lazer na Cobertura; Churrasqueira; Pet Place, entre outros itens - construídos com acabamento de bom gosto e a mais sofisticada arquitetura por Isay Weinfeld, que proporcionam um ambiente estimulante para você. ||<br><br>CABE NO SEU BOLSO: PARCELE parte de sua ENTRADA diretamente com a Construtora e use o Minha Casa, Minha Vida. Consulte a campanha de subsídio e utilize seu FGTS! ||<br><br>25 m² | Área de Lazer | <br><br>* AGENDE JÁ SUA VISITA *; BS:Parada INSS, BS:INSS B/C, BS:INSS C/B, BS:Desembarque - Terminal Bandeira, BS:Plataforma de desembarque do Terminal Bandeira, TS:República, TS:Santa Cecília, TS:Santa Cecília - Linha Vermelha, TS:Higienópolis-Mackenzie (Linha 4), TS:Higienópolis-Mackenzie, CS:Vila Buarque, CS:Vó Maria bolos & mimos, CS:Mini Mercado Extra, CS:Padaria Gemel, CS:Padaria Santa Efigênia, PH:Drogaria Batisnogue, PH:Droga Knox, PH:DrogaRadium, PH:FarmaFacil, PH:Drogaria Campeã
2427414656; KITNET; UNIT; BR; São Paulo; SP; Rua Doutor Cesário Mota Júnior; BR>Sao Paulo>NULL>Sao Paulo>Centro>Vila Buarque; Vila Buarque; RESIDENTIAL; 0; 35; Comprar; 230000; 0; 0; 1; 1; 300; 01221020; Ótima localização; BS:INSS C/B, BS:Parada INSS, BS:INSS B/C, BS:6913-10 Terminal Varginha, BS:6400-10 Terminal João Dias, TS:Higienópolis-Mackenzie (Linha 4), TS:Higienópolis-Mackenzie, TS:INSS C/B, TS:Parada INSS, TS:INSS B/C, CS:Holandesa, CS:Carrefour Express, CS:Vó Maria bolos & mimos, CS:Padaria Bella Buarque, CS:Vila Buarque, PH:Drogaria Batisnogue, PH:Droga Knox, PH:Unipharmus, PH:DrogaRadium, PH:Drogaria Milani
2498741601; PENTHOUSE; UNIT; BR; São Paulo; SP; Rua Doutor Cesário Mota Júnior; BR>Sao Paulo>NULL>Sao Paulo>Centro>Vila Buarque; Vila Buarque; RESIDENTIAL; 119; 119; Comprar; 910000; 0; 0; 1; 1; 440; 01221020; Cobertura a venda em São Paulo à venda na Rua Doutor Cesário Mota Júnior, Vila Buarque - São Paulo, SP<br><br>Preço: R$ 910000.00<br>IPTU/Ano: R$ 0.00<br>Preço/m²: R$ 7647.06<br>Condomínio: R$ 440.00<br><br>Sobre o Imóvel:<br> * Área 119 m²<br> * Quartos: 1<br> * Banheiros: 1<br> * Vagas na garagem: 0<br> * Andar: 10<br> * Distância do metrô: 619 metros <br> * Elevador no prédio: Sim<br> <br> * Detalhes:<br> - Portaria: Portaria Horario Comercial <br> - Total de andares: 10 <br> - Aptos por andar: 3 <br> - Orientação: Fundos <br> - Sol: Manhã <br><br>Código do imóvel: 10146<br> <br>Conhece alguém querendo vender um imóvel? Indique para a EmCasa e ganhe dinheiro. Saiba mais em emcasa.com/indique-imoveis<br><br> Atualizado em:; BS:Parada INSS, BS:INSS C/B, BS:INSS B/C, BS:Plataforma de desembarque do Terminal Bandeira, BS:Desembarque - Terminal Bandeira, TS:Santa Cecília, TS:Santa Cecília - Linha Vermelha, TS:República, TS:Higienópolis-Mackenzie (Linha 4), TS:Higienópolis-Mackenzie, CS:Vó Maria bolos & mimos, CS:Vila Buarque, CS:Padaria Bella Buarque, CS:Padaria Gemel, CS:Carrefour Express, PH:Drogaria Batisnogue, PH:Droga Knox, PH:DrogaRadium, PH:FarmaFacil, PH:Unipharmus
2477485785; APARTMENT; UNIT; BR; São Paulo; SP; Rua Major Sertório; BR>Sao Paulo>NULL>Sao Paulo>Centro>Vila Buarque; Vila Buarque; RESIDENTIAL; 3880; 3880; Comprar; 400000; 0; 0; 1; 2; 57600; 01222001; Apartamento 2 dormitorios proximo a Faculade Mackenzi, novo entregue em 2019.; BS:INSS C/B, BS:Parada INSS, BS:INSS B/C, BS:6913-10 Terminal Varginha, BS:Plataforma de desembarque do Terminal Bandeira, TS:Higienópolis-Mackenzie (Linha 4), TS:Higienópolis-Mackenzie, TS:Santa Cecília, TS:Santa Cecília - Linha Vermelha, TS:INSS C/B, CS:Padaria Bella Buarque, CS:Carrefour Express, CS:Holandesa, CS:Vó Maria bolos & mimos, CS:Vila Buarque, PH:Drogaria Batisnogue, PH:Droga Knox, PH:Unipharmus, PH:DrogaRadium, PH:FarmaFacil
2434758769; APARTMENT; UNIT; BR; São Paulo; SP; Rua Aureliano Coutinho; BR>Sao Paulo>NULL>Sao Paulo>Centro>Vila Buarque; Vila Buarque; RESIDENTIAL; 0; 61; Comprar; 595000; 1; 1; 2; 2; 959; 01224020; Apartamento bem localizado, próximo ao Shopping Higienópolis e Santa Casa de Misericórdia e Universidade Mackenzie e a 8 minutos à pé da estação de metrô Santa Cecília. Rua tranquila arborizada, com padaria, farmácia, lavanderias, restaurantes, sacolões, supermercados e todos os tipos de serviços a poucos passos a pé. Imóvel silencioso, arejado, iluminado, recém reformado, armários embutidos nos quartos. Suíte com closet e varanda. Lazer no térreo e segurança 24h. Venda Direta com a Proprietária, sem intermediários.; BS:INSS C/B, BS:Parada INSS, BS:INSS B/C, BS:Plataforma de desembarque do Terminal Bandeira, BS:Desembarque - Terminal Bandeira, TS:Santa Cecília - Linha Vermelha, TS:Santa Cecília, TS:Marechal Deodoro, TS:Higienópolis-Mackenzie, TS:Higienópolis-Mackenzie (Linha 4), CS:Mini, CS:Casa de Carnes York, CS:Pães & Doces Lord, CS:Padaria Bella Buarque, CS:Vó Maria bolos & mimos, PH:Drogaria Batisnogue, PH:FarmaFacil, PH:Droga Knox, PH:Unipharmus, PH:DrogaRadium
2499543875; APARTMENT; UNIT; BR; São Paulo; SP; Rua Major Sertório; BR>Sao Paulo>NULL>Sao Paulo>Centro>Vila Buarque; Vila Buarque; RESIDENTIAL; 60; 40; Alugar/Comprar; 2000; 1; 1; 1; 2; 383; 01222001; Apartamento em andar alto com vista, piso em porcelanato, loft de três ambientes com sacada, prédio com portaria 24h e lazer completo, próximo ao metrô Republica, à Santa Casa e ao Mackenzie, consumo de água e luz individualizados. <br> <br>As informações contidas neste anúncio, tais como valor do imóvel, do condomínio e IPTU, poderão sofrer alterações; BS:Parada INSS, BS:INSS B/C, BS:INSS C/B, BS:6913-10 Terminal Varginha, BS:Plataforma de desembarque do Terminal Bandeira, TS:República, TS:Parada INSS, TS:Higienópolis-Mackenzie (Linha 4), TS:Higienópolis-Mackenzie, TS:INSS B/C, CS:Vó Maria bolos & mimos, CS:Vila Buarque, CS:Mini Mercado Extra, CS:Padaria Santa Efigênia, CS:Holandesa, PH:Droga Knox, PH:Drogaria Batisnogue, PH:DrogaRadium, PH:Drogaria Milani, PH:FarmaFacil
2498453095; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Centro>Vila Buarque; Vila Buarque; RESIDENTIAL; 54; 54; Comprar; 530000; 0; 0; 1; 1; 350; 01226002; Condomínio Flama - O apartamento possui 54 metros quadrados com 1 dormitórios.!<br>Empreendimento com ótimo padrão de construção.<br>Localização - Acesso fácil as principais vias da região, próximo a Supermercados, Escolas, Hospitais e Estação do Metrô Santa Cecília. <br>Consulte-nos sobre a disponibilidade e as informações do imóvel anunciado. Valores sujeitos a alteração. -; BS:INSS C/B, BS:Parada INSS, BS:INSS B/C, BS:Plataforma de desembarque do Terminal Bandeira, BS:Desembarque - Terminal Bandeira, TS:Santa Cecília - Linha Vermelha, TS:Santa Cecília, TS:Marechal Deodoro, TS:Higienópolis-Mackenzie, TS:Higienópolis-Mackenzie (Linha 4), CS:Mini, CS:Casa de Carnes York, CS:Pães & Doces Lord, CS:Padaria Bella Buarque, CS:Vó Maria bolos & mimos, PH:Drogaria Batisnogue, PH:FarmaFacil, PH:Unipharmus, PH:Droga Knox, PH:DrogaRadium
2459909139; APARTMENT; UNIT; BR; São Paulo; SP; Rua General Jardim; BR>Sao Paulo>NULL>Sao Paulo>Centro>Vila Buarque; Vila Buarque; RESIDENTIAL; 53; 53; Comprar; 460000; 0; 0; 1; 2; 540; 01223011; Ótimo apto de dois dormitórios perto do Mackenzie, com 53 metros de área útil, perfeito para estudantes! Condominio barato, bom estado de conservação! Venha conferir!!<br>Importante: Todas as informações publicadas neste anúncio, incluindo preço, metragem do imóvel e valores são aproximados e não garantidos, devendo ser confirmados conforme o interesse do cliente. <br><br>**Venha visitar nossa boutique de imóveis, tomar um café e se sentir-se InCasa. Rua Tinhorão, 108, com manobrista (entre a FAAP e Vila Boim), no coração de Higienópolis! Possuímos várias opções para apresentar à você... Aqui, você fecha seu negócio com conforto, tranquilidade e segurança.**; BS:INSS C/B, BS:Parada INSS, BS:INSS B/C, BS:6913-10 Terminal Varginha, BS:Desembarque - Terminal Bandeira, TS:Higienópolis-Mackenzie (Linha 4), TS:Higienópolis-Mackenzie, TS:Santa Cecília, TS:Santa Cecília - Linha Vermelha, TS:República, CS:Padaria Bella Buarque, CS:Vó Maria bolos & mimos, CS:Carrefour Express, CS:Holandesa, CS:Mini, PH:Drogaria Batisnogue, PH:Droga Knox, PH:Unipharmus, PH:DrogaRadium, PH:FarmaFacil
2431070406; APARTMENT; UNIT; BR; São Paulo; SP; Rua Barão de Tatuí; BR>Sao Paulo>NULL>Sao Paulo>Centro>Vila Buarque; Vila Buarque; RESIDENTIAL; 75; 75; Comprar; 480000; 0; 0; 1; 1; 541; 01226030; Apartamento com 75 m², sala e 01 dormitório amplos, banheiro, cozinha, área de serviço e banheiro de serviço.<br>Está com pintura nova e em ótimo estado de conservação.<br>Prédio com poucos apartamentos.<br>Próximo ao Shopping Higienópolis e do Metrô Santa Cecília. -; BS:INSS C/B, BS:INSS B/C, BS:Parada INSS, BS:Vai-Vai, BS:14 Bis C/B, TS:Santa Cecília - Linha Vermelha, TS:Santa Cecília, TS:Marechal Deodoro, TS:Higienópolis-Mackenzie, TS:Higienópolis-Mackenzie (Linha 4), CS:Casa de Carnes York, CS:Pães & Doces Lord, CS:Mini, CS:Padaria Bella Buarque, CS:Vó Maria bolos & mimos, PH:Drogaria Batisnogue, PH:FarmaFacil, PH:Unipharmus, PH:Droga Knox, PH:DrogaRadium
2459250587; APARTMENT; UNIT; BR; São Paulo; SP; Rua Aureliano Coutinho; BR>Sao Paulo>NULL>Sao Paulo>Centro>Vila Buarque; Vila Buarque; RESIDENTIAL; 0; 81; Comprar; 790000; 1; 1; 3; 2; 750; 01224020; Apartamento muito bem conservado, ambientes amplos, ótima iluminação natural, hidráulica e elétrica novos, banheiros com box American Box, repleto de armários, piso frio(cimento queimado), suíte espaçosa e uma vaga de garagem com acesso muito fácil. Prédio com excelente lazer, piscina aquecida descoberta, 2 portarias sendo 1 na Rua Martinico Prado e 1 na Rua Aureliano Coutinho. Prédio muito bem conservado. 600mts da estação Santa Cecília - Linha 3 vermelha 650mts da estação Higienópolis-Mackenzie - Linha 4 amarela Próximo a diversos restaurantes conceituados, padarias, farmácias, shopping Higienópolis, supermercados, faculdades, hospitais entre outros. Prévia mensal de condomínio R$ 750,00; BS:INSS C/B, BS:INSS B/C, BS:Parada INSS, BS:Vai-Vai, BS:14 Bis C/B, TS:Santa Cecília - Linha Vermelha, TS:Santa Cecília, TS:Higienópolis-Mackenzie, TS:Higienópolis-Mackenzie (Linha 4), TS:Marechal Deodoro, CS:Mini, CS:Casa de Carnes York, CS:Pães & Doces Lord, CS:Padaria Bella Buarque, CS:Carrefour Express, PH:Drogaria Batisnogue, PH:Unipharmus, PH:FarmaFacil, PH:Droga Knox, PH:DrogaRadium
