IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2442777076; HOME; UNIT; BR; São Paulo; SP; Rua Edward Félix de Moraes; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Campanela; Vila Campanela; RESIDENTIAL; 0; 70; Comprar; 265000; 1; 2; 3; 2; 120; 08220400; Casa em condomínio fechado, com vizinhança tranquila e pouquíssimo barulho, a 8 min a pé do metrô Itaquera e Shopping. Próximo a escolas, mercados, açougues, padarias e bancos. Próximo a Radial Leste e Av. Jacú pessego. Sobrado com sala 2 ambientes, cozinha com armários planejados, ampla área de serviços, lavabo e 2 suítes bem arejadas e iluminadas..; TS:Corinthians- Itaquera, TS:Corinthians-Itaquera, CS:Boi do Povo, PH:Mille Drogaria, CH:Unidade Básica de Saúde Itaquera, CH:Doutor Carlos A Sugaya, CH:UBS Vila Ramos
2499491024; CONDOMINIUM; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Campanela; Vila Campanela; RESIDENTIAL; 65; 65; Comprar; 220000; 2; 0; 2; 2; 0; ; Sobrado, 2 dorm, sala,lavabo, cozinha, lavanderia, 2 vagas<br>Excelente acabamento !!!<br>Aceita financiamento: . - Data da Atualização:; TS:Corinthians- Itaquera, TS:Corinthians-Itaquera, CS:Boi do Povo, CS:Padaria Renacer, PH:Mille Drogaria, CH:Unidade Básica de Saúde Itaquera, CH:Doutor Carlos A Sugaya, CH:UBS Vila Ramos
2495338073; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Campanela; Vila Campanela; RESIDENTIAL; 100; 100; Comprar; 290000; 1; 1; 3; 3; 0; ; Sobrado próximo ao metrô Itaquera <br>3 andares <br>1 piso : cozinha, sala, banheiro<br>2 piso : 2 quartos, 1 banheiro, sacada<br>3 piso : 1 quarto sendo suíte e lavanderia<br>Aceita permuta por apartamento de menor valor - Atualizado em: -; TS:Corinthians- Itaquera, TS:Corinthians-Itaquera, CS:Boi do Povo, CS:Padaria Renacer, PH:Mille Drogaria, CH:Unidade Básica de Saúde Itaquera, CH:Doutor Carlos A Sugaya, CH:UBS Vila Ramos
2493012206; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Campanela; Vila Campanela; RESIDENTIAL; 185; 150; Comprar; 450000; 2; 1; 3; 3; 0; 08220330; Lindo Sobrado !!<br>A 5 minutos do Shopping Itaquera, com a seguinte composição:<br><br>Com 03 dormitórios, sendo 01 suíte, sala ampla, cozinha, área de serviço, 03 banheiros, quintal com churrasqueira, edícula e garagem coberta para 02 veículos. Excelente localização a 5 minutos do Shopping Itaquera, Estação Metrô Corinthians Itaquera, Estádio Arena Corinthians, acesso Fácil para Radial leste, Jacu Pêssego, Trabalhadores, Fernão Dias, Dutra, Marginal Tiete, Imigrantes e Anchieta, Supermercados Extra, Atacadão, Assai, Carrefour, FATEC, ETEC, EMEI, CEI, Ferias livres e comércio local.<br><br>Agende uma visita com um dos nossos Corretores!!<br><br>**Os dados deste imóvel são fornecidos pelo proprietário e estão sujeitos a alterações. Por gentileza, solicite confirmação das informações com nossos corretores. -; TS:Corinthians- Itaquera, TS:Corinthians-Itaquera, CS:Boi do Povo, CS:Padaria Renacer, PH:Mille Drogaria, CH:Unidade Básica de Saúde Itaquera, CH:Doutor Carlos A Sugaya, CH:UBS Vila Ramos
2495338175; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Campanela; Vila Campanela; RESIDENTIAL; 24; 24; Comprar; 180000; 1; 0; 1; 1; 320; ; Studio Itaquera <br>Conceito aberto <br>Cozinha om armários planejados <br>Piso vinílico <br>Lazer completo <br>Condomínio inclui gás, água e lavanderia coletiva - Atualizado em: -; TS:Corinthians- Itaquera, TS:Corinthians-Itaquera, CS:Boi do Povo, CS:Padaria Renacer, PH:Mille Drogaria, CH:Unidade Básica de Saúde Itaquera, CH:Doutor Carlos A Sugaya, CH:UBS Vila Ramos
2452801373; HOME; UNIT; BR; São Paulo; SP; Rua Edward Félix de Moraes; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Campanela; Vila Campanela; RESIDENTIAL; 89; 89; Comprar; 399000; 2; 1; 3; 3; 0; 08220400; Lindos sobrado de condómino próximo a estação Corinthians-Itaquera.<br><br>3 dormitórios, sendo 1 suítre, sala para dois ambientes, cozinha, área de serviço e duas vagas de garagem.<br><br>Imóvel com acabamento fino em porcelanato!<br>10 minutos do shopping e metrô Itaquera, 10 minutos do centro de Itaquera!<br><br>Agende uma visita com um de nossos corretores e conheça!<br><br>Unidade Select - Rua Ken sugaya, 506 - Itaquera<br> // WhatsApp.<br><br>Unidade Classic - Rua Silvio Barbini, 561 - José Bonifácio<br> // WhatsApp. -; TS:Corinthians- Itaquera, TS:Corinthians-Itaquera, CS:Boi do Povo, PH:Mille Drogaria, CH:Unidade Básica de Saúde Itaquera, CH:Doutor Carlos A Sugaya, CH:UBS Vila Ramos
2454281388; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Campanela; Vila Campanela; RESIDENTIAL; 180; 180; Comprar; 520000; 0; 2; 6; 4; 0; ; Sobrado de Alto padrão com 04 dormitórios,sendo 02 suítes,04 banheiros,sala,cozinha,quarto de empregada,lavanderia e 02 vagas de garagem cobertas.Documentação OKAceita FinanciamentoÓtima Oportunidade Aceita PropostasHá 10 minutos do metro Itaquera - Atualizado em: -; TS:Corinthians- Itaquera, TS:Corinthians-Itaquera, CS:Boi do Povo, CS:Padaria Renacer, PH:Mille Drogaria, CH:Unidade Básica de Saúde Itaquera, CH:Doutor Carlos A Sugaya, CH:UBS Vila Ramos
2494396777; APARTMENT; UNIT; BR; São Paulo; SP; Rua Emídio Campanella; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Campanela; Vila Campanela; RESIDENTIAL; 59; 59; Comprar; 296200; 0; 0; 1; 2; 0; 08220460; Infraestrutura:: Porteiro eletrônico, portão automático, medidores de água e energia individualizados (há estudo junto à Comgás para gás encanado).<br><br>Acabamento:: Sala e cozinha em porcelanato, dormitórios no contra piso, banheiro e área de serviço em cerâmica e azulejo na área molhada. Janelas em alumínio galvanizado na cor branca, portas em madeira na cor branca.<br><br>Salão de<br>Festas<br><br>Espaço Gourmet<br><br>Churrasqueira<br><br>Playground<br><br>Academia<br><br>Paisagismo<br><br>Áreas comuns:<br>Elevadores social e de serviço<br><br>"Valores e disponibilidade sujeitos a alterações sem aviso prévio"<br>Entre em contato -; TS:Corinthians- Itaquera, TS:Corinthians-Itaquera, CS:Boi do Povo, CS:Pães e Doçes Vitória, PH:Mille Drogaria, CH:Unidade Básica de Saúde Itaquera, CH:Doutor Carlos A Sugaya, CH:UBS Vila Ramos
2494395791; APARTMENT; UNIT; BR; São Paulo; SP; Rua Emídio Campanella; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Campanela; Vila Campanela; RESIDENTIAL; 43; 43; Comprar; 239000; 0; 0; 1; 2; 0; 08220460; Infraestrutura:: Porteiro eletrônico, portão automático, medidores de água e energia individualizados (há estudo junto à Comgás para gás encanado).<br><br>Acabamento:: Sala e cozinha em porcelanato, dormitórios no contra piso, banheiro e área de serviço em cerâmica e azulejo na área molhada. Janelas em alumínio galvanizado na cor branca, portas em madeira na cor branca.<br><br>Salão de<br>Festas<br><br>Espaço Gourmet<br><br>Churrasqueira<br><br>Playground<br><br>Academia<br><br>Paisagismo<br><br>Áreas comuns:<br>Elevadores social e de serviço<br><br>"Valores e disponibilidade sujeitos a alterações sem aviso prévio"<br>Entre em contato -; TS:Corinthians- Itaquera, TS:Corinthians-Itaquera, CS:Boi do Povo, CS:Pães e Doçes Vitória, PH:Mille Drogaria, CH:Unidade Básica de Saúde Itaquera, CH:Doutor Carlos A Sugaya, CH:UBS Vila Ramos
2494394148; APARTMENT; UNIT; BR; São Paulo; SP; Rua Emídio Campanella; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Campanela; Vila Campanela; RESIDENTIAL; 45; 45; Comprar; 250000; 0; 0; 1; 2; 0; 08220460; Infraestrutura:: Porteiro eletrônico, portão automático, medidores de água e energia individualizados (há estudo junto à Comgás para gás encanado).<br><br>Acabamento:: Sala e cozinha em porcelanato, dormitórios no contra piso, banheiro e área de serviço em cerâmica e azulejo na área molhada. Janelas em alumínio galvanizado na cor branca, portas em madeira na cor branca.<br><br>Salão de<br>Festas<br><br>Espaço Gourmet<br><br>Churrasqueira<br><br>Playground<br><br>Academia<br><br>Paisagismo<br><br>Áreas comuns:<br>Elevadores social e de serviço<br><br>"Valores e disponibilidade sujeitos a alterações sem aviso prévio"<br>Entre em contato -; TS:Corinthians- Itaquera, TS:Corinthians-Itaquera, CS:Boi do Povo, CS:Pães e Doçes Vitória, PH:Mille Drogaria, CH:Unidade Básica de Saúde Itaquera, CH:Doutor Carlos A Sugaya, CH:UBS Vila Ramos
