IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2493238877; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Rua Lício de Miranda; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Carioca; Vila Carioca; RESIDENTIAL; 0; 121; Comprar; 435000; 0; 1; 2; 2; 0; 04225030; SOBRADO COM 121MS, VILA FECHADA ,REFORMADO EM EXCELENTE LOCALIZAÇÃO, PRÓXIMO À ESTAÇÃO DO METRÔ TAMANDUATEÍ E TERMINAL DE ÔNIBUS SACOMÃ, MERCADO, COM FÁCIL ACESSO AS PRINCIPAIS VIAS DE SÃO PAULO. O IMÓVEL POSSUI AR-CONDICIONADO NO DORMITÓRIO PRINCIPAL E JANELAS ANTIRRUÍDO NOS DOIS DORMITÓRIOS.SALA PARA 2 AMBIENTES,2 BANHEIROS,ÁREA DE SERVIÇO,QUINTAL PEQUENO,PROPRIETÁRIO NÃO ACEITA PERMUTA,CONFIRA AGENDE UMA VISITA !!!!; BS:Estação Rua do Grito, BS:Ponto Final/Inicial Linha, BS:Estação Nossa Senhora Aparecida, BS:Terminal Vila Prudente, TS:Estação Rua do Grito, TS:Ponto Final/Inicial Linha, TS:Parada E.E.Professor José Escobar, TS:Tamanduateí, TS:Sacomã, CS:22 de Julho, CS:Mercado da Carne Ipiranga, CS:Panificadora CEPAM, CS:Big Bread, CS:Denver 3, PH:SOS Farma Ponte, PH:Drogaria São José do Ipiranga, PH:Droga Leste
2481426076; HOME; UNIT; BR; São Paulo; SP; Rua Lício de Miranda; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Carioca; Vila Carioca; RESIDENTIAL; 150; 125; Comprar; 650000; 2; 1; 3; 3; 0; 04225030; Excelente sobrado localizado no bairro Vila Carioca venha conferir; BS:Estação Rua do Grito, BS:Ponto Final/Inicial Linha, BS:Estação Nossa Senhora Aparecida, TS:Estação Rua do Grito, TS:Ponto Final/Inicial Linha, TS:SAO BERNARDO DO CAMPO (VILA EURO)/ SAO PAULO (TERMINAL SACOMA), TS:Parada E.E.Professor José Escobar, TS:Sacomã, CS:22 de Julho, CS:Denver 3, CS:Padaria Nova Fundação, CS:Panificadora CEPAM, CS:Mercado da Carne Ipiranga, PH:SOS Farma Ponte, PH:Drogaria Selma
2480259514; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Carioca; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Carioca; Vila Carioca; RESIDENTIAL; 52; 52; Comprar; 317599; 1; 1; 1; 2; 0; 04225002; * TEMOS DIVERSOS APTOS NA REGIÃO! *<br><br>* FAZEMOS SEMPRE O MELHOR NEGÓCIO! *<br><br>* ENTRE EM CONTATO NO TELEFONE! *<br><br>O apartamento no bairro Ipiranga tem 52 metros quadrados com 2 quartos 1 banheiro.<br>Possui academia, espaço gourmet, jardim, playground, espaço para festas.<br>Vai lhe possibilitar curtir os dias mais quentes na piscina, praticar diversos esportes na quadra poliesportiva, todo o conforto do ar condicionado nos dias mais quentes.<br>Está em um condomínio protegido por grades.<br>Churrasqueira para você aproveitar nos momentos de descontração.<br>Elevador para mais praticidade no dia-a-dia.<br>Localização privilegiada.<br>Fica a apenas alguns instantes de metro, acesso fácil a onibus, universidades, padarias, hospitais, museus, farmácias, shoppings, restaurantes, estacionamentos, transporte coletivo, escolas.<br>Aceita - se pet.<br><br>OBRIGADA!!!; BS:Parada AME Barradas, BS:Estação Rua do Grito, BS:Estação Nossa Senhora Aparecida, BS:Ponto Final/Inicial Linha, BS:Terminal Rodoviário Nicolau Delic Módulo II, TS:Tamanduateí, TS:Parada AME Barradas, TS:Estação Rua do Grito, TS:Estação Nossa Senhora Aparecida, TS:Ponto Final/Inicial Linha, CS:Panificadora CEPAM, CS:Padaria Nova Fundação, CS:Karen Padaria, CS:22 de Julho, PH:Drogaria Selma, PH:Droga Leste, PH:SOS Farma Ponte
1040531050; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Carioca; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Carioca; Vila Carioca; RESIDENTIAL; 51; 51; Comprar; 318500; 1; 0; 1; 1; 380; 04225002; More pertinho do metrô, com fácil acesso às principais avenidas da região. <br> <br>Pronto para morar. Venha conhecer com a Viveza Imóveis.; BS:Parada AME Barradas, BS:Estação Rua do Grito, BS:Terminal Rodoviário Nicolau Delic Módulo II, BS:Estação Nossa Senhora Aparecida, BS:Ponto Final/Inicial Linha, TS:Tamanduateí, TS:Parada AME Barradas, TS:Estação Rua do Grito, TS:Estação Nossa Senhora Aparecida, TS:Ponto Final/Inicial Linha, CS:Panificadora CEPAM, CS:Padaria Nova Fundação, CS:Karen Padaria, CS:22 de Julho, PH:Drogaria Selma, PH:Droga Leste
2191905530; HOME; UNIT; BR; São Paulo; SP; Rua Lício de Miranda; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Carioca; Vila Carioca; RESIDENTIAL; 150; 125; Comprar; 650000; 2; 1; 3; 3; 0; 04225030; Excelente sobrado localizado no bairro Vila Carioca venha conferir -; BS:Parada AME Barradas, BS:Estação Rua do Grito, BS:Ponto Final/Inicial Linha, BS:Estação Nossa Senhora Aparecida, TS:Parada AME Barradas, TS:Estação Rua do Grito, TS:Ponto Final/Inicial Linha, TS:SAO BERNARDO DO CAMPO (VILA EURO)/ SAO PAULO (TERMINAL SACOMA), TS:Parada E.E.Professor José Escobar, CS:22 de Julho, CS:Denver 3, CS:Padaria Nova Fundação, CS:Panificadora CEPAM, CS:Mercado da Carne Ipiranga, PH:SOS Farma Ponte, PH:Drogaria Selma
2494003854; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Carioca; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Carioca; Vila Carioca; RESIDENTIAL; 51; 51; Comprar; 404736; 1; 1; 2; 2; 357; 04225002; Apartamento PRONTO para MORAR de 2 dormitórios com 1 vaga de garagem na Vila Carioca - SP. <br> <br>Possui academia, piscina descoberta com solarium, área de recreação infantil, salão de jogos, espaço para festas, churrasqueira e bicicletário. <br>Encontra-se na privacidade de um condomínio fechado. <br> <br>Excelente localização!! <br><br>somente na Revenda imóvel comprou ganhou cozinha finitura; BS:Estação Rua do Grito, BS:Estação Nossa Senhora Aparecida, BS:Ponto Final/Inicial Linha, BS:Terminal Rodoviário Nicolau Delic Módulo II, BS:Terminal Vila Prudente, TS:Tamanduateí, TS:Estação Rua do Grito, TS:Estação Nossa Senhora Aparecida, TS:Ponto Final/Inicial Linha, TS:Parada E.E.Professor José Escobar, CS:Panificadora CEPAM, CS:Padaria Nova Fundação, CS:Karen Padaria, CS:22 de Julho, PH:Drogaria Selma, PH:Droga Leste, PH:SOS Farma Ponte
2494033878; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Carioca; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Carioca; Vila Carioca; RESIDENTIAL; 51; 51; Comprar; 404736; 1; 1; 2; 2; 357; 04225002; Apartamento PRONTO para MORAR de 2 dormitórios com 1 vaga de garagem na Vila Carioca - SP. <br> <br>Possui academia, piscina descoberta com solarium, área de recreação infantil, salão de jogos, espaço para festas, churrasqueira e bicicletário. <br>Encontra-se na privacidade de um condomínio fechado. <br> <br>Excelente localização!!; BS:Estação Rua do Grito, BS:Estação Nossa Senhora Aparecida, BS:Ponto Final/Inicial Linha, BS:Terminal Rodoviário Nicolau Delic Módulo II, BS:Terminal Vila Prudente, TS:Tamanduateí, TS:Estação Rua do Grito, TS:Estação Nossa Senhora Aparecida, TS:Ponto Final/Inicial Linha, TS:Parada E.E.Professor José Escobar, CS:Panificadora CEPAM, CS:Padaria Nova Fundação, CS:Karen Padaria, CS:22 de Julho, PH:Drogaria Selma, PH:Droga Leste, PH:SOS Farma Ponte
2488670897; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Carioca; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Carioca; Vila Carioca; RESIDENTIAL; 52; 52; Comprar; 350000; 1; 0; 1; 2; 450; 04225001; Condomínio Vila Nova Ipiranga <br><br>Apartamento de 2 dormitórios:<br>Piso vinílico de alto padrão, amplo espelho na sala ampliando a sensação de espaço.<br>Armários na cozinha, área de serviço e banheiro.<br>Balcão em granito são Gabriel tipo americano na cozinha, iluminação toda em LED. Todas as pias e pedras do apartamento foram trocadas por granito são Gabriel.<br>Apartamento conta com aquecedor já instalado com água quente inclusive na cozinha.<br><br>Empreendimento completo, conta com academia reebook, salão de festas, salão de jogos, churrasqueira, piscina, brinquedoteca, espaço para bikes, pista de caminhada.<br>Aceita carro como parte de pagamento.<br><br>Entre em contato!; BS:Estação Rua do Grito, BS:Ponto Final/Inicial Linha, BS:Estação Nossa Senhora Aparecida, BS:Terminal Rodoviário Nicolau Delic Módulo II, BS:Terminal Vila Prudente, TS:Tamanduateí, TS:Estação Rua do Grito, TS:Ponto Final/Inicial Linha, TS:Estação Nossa Senhora Aparecida, TS:Parada E.E.Professor José Escobar, CS:Panificadora CEPAM, CS:Padaria Nova Fundação, CS:Karen Padaria, CS:22 de Julho, PH:Drogaria Selma, PH:Droga Leste, PH:SOS Farma Ponte
2492750987; HOME; UNIT; BR; São Paulo; SP; Avenida Carioca; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Carioca; Vila Carioca; RESIDENTIAL; 288; 288; Comprar; 430000; 6; 1; 3; 2; 0; 04225001; Grandes Possibilidades! <br><br>Casa térrea com grande espaço interno e esterno, telhado novo, edícula e inúmeras possibilidades para obter renda! <br>Próximo de muitos comércios e 2 duas estações, sendo 1 de trem e outra de metro ( Estações: Ipiranga e Sacomã ).<br>São 2 dormitórios sendo uma suíte, cozinha espaçosa e garagem grande com possibilidade para 6 carros!! A casa possuí inquilino com aluguel de R$ 1.500,00 por mês.<br><br>Estuda permuta por Imóvel de menor valor. -; BS:Estação Rua do Grito, BS:Ponto Final/Inicial Linha, BS:Estação Nossa Senhora Aparecida, TS:Estação Rua do Grito, TS:Ponto Final/Inicial Linha, TS:SAO BERNARDO DO CAMPO (VILA EURO)/ SAO PAULO (TERMINAL SACOMA), TS:Parada E.E.Professor José Escobar, TS:Sacomã, CS:22 de Julho, CS:Denver 3, CS:Mercado da Carne Ipiranga, CS:Padaria Nova Fundação, CS:Panificadora CEPAM, PH:SOS Farma Ponte, PH:Drogaria Selma
2488102688; HOME; UNIT; BR; São Paulo; SP; Rua das Municipalidades; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Carioca; Vila Carioca; RESIDENTIAL; 0; 130; Comprar; 320000; 0; 0; 2; 3; 0; 04214040; A casa está localizado no bairro Vila Carioca tem 130 metros quadrados com 3 quartos e 2 banheiros, terreno 4,5x16.<br>Próximo ao comércio do Ipiranga, estação do Fura Fila e metrô Tamanduateí.<br>Está em bom estado, não possui garagem.; BS:Estação Nossa Senhora Aparecida, BS:Estação Rua do Grito, BS:Ponto Final/Inicial Linha, BS:Terminal Vila Prudente, BS:Parada Chamantá, TS:Estação Nossa Senhora Aparecida, TS:Tamanduateí, TS:Estação Rua do Grito, TS:Ponto Final/Inicial Linha, TS:Parada E.E.Professor José Escobar, CS:22 de Julho, CS:Big Bread, CS:Mercado da Carne Ipiranga, CS:Bolo da Madre, CS:Padaria Patriopan, PH:Drogaria São José do Ipiranga, PH:Droga Leste
