IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2428934952; APARTMENT; UNIT; BR; São Paulo; SP; Rua Sara Bernhard; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Claudia; Vila Cláudia; RESIDENTIAL; 92; 80; Comprar; 395000; 1; 0; 2; 3; 620; 03180100; Apartamento impecável no coração da Mooca! Excelente localização! Apartamento com 3 dormitórios e mais dependência de empregada, 2 banheiros, cozinha ampla com armários embutidos. Apartamento todo reformado, incluindo elétrica e hidráulica, portas e janelas. Vaga de garagem coberta e fixa. Condomínio agradável, em rua tranquila e arborizada.; BS:Rua Pirajá 347, BS:Avenida Sapopemba 262, BS:Parada Guaimbé, BS:Parada Bixira, BS:Avenida Sapopemba 331, TS:Rua Pirajá 347, TS:Avenida Sapopemba 262, TS:Parada Guaimbé, TS:Parada Bixira, TS:Avenida Sapopemba 331, CS:Padaria Falcão, CS:Açogue Bonas, CS:Padaria Santa Branca, CS:Opala Pães e Doçes, CS:Padaria Monte Líbano, PH:Drogaria Moretti, PH:Drogaria Itamonte, PH:Sinete 24Horas
2436279478; APARTMENT; UNIT; BR; São Paulo; SP; Praça Alexandre Fleming; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Claudia; Vila Cláudia; RESIDENTIAL; 134; 90; Comprar; 590000; 2; 1; 2; 3; 515; 03180190; Direto com proprietário 3Dormitórios Mobiliado Um dos lugares mais procurados do alto da Moóca! 3 Dorm sendo 1 suíte com closet IPTU 2019 já está pago! Sala para dois ambientes Sacada envidraçada com vista livre e permanente (de frente para a praça). 2 Vagas de garagem fixas e independentes (o veículos ficam um ao lado do outro). Próximo a supermercados, farmácias, padarias, Colégios públicos (MMDC) e Particulares (Santa Catarina). Condomínio com piscina, salão de festas, espaço gourmet, playground ground, salão de jogos e bicicletário. DIRETO COM O PROPRIETÁRIO! Informações pelo WhatsApp. Denis -; BS:Parada Bixira, BS:Parada Guaimbé, BS:Rua Pirajá 347, BS:Avenida Sapopemba 262, BS:Parada São Cristovão, TS:Parada Bixira, TS:Parada Guaimbé, TS:Rua Pirajá 347, TS:Avenida Sapopemba 262, TS:Parada São Cristovão, CS:Padaria Falcão, CS:Açogue Bonas, CS:Padaria Santa Branca, CS:Padaria Monte Líbano, CS:Opala Pães e Doçes, PH:Drogaria Itamonte, PH:Drogaria Moretti, PH:Sinete 24Horas
2499315807; APARTMENT; UNIT; BR; São Paulo; SP; Praça Alexandre Fleming; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Claudia; Vila Cláudia; RESIDENTIAL; 90; 90; Alugar/Comprar; 2080; 2; 1; 3; 3; 545; 03180190; Apartamento bem localizado, vista da varanda de frente para<br>praça, bem arborizada. Imóvel com armários planejados, quartos<br>e cozinha. Comércio próximo: Padarias, lanchonetes, farmácia.<br>Altura do 4000 da Rua da Mooca, fácil acesso para o centro.; BS:Parada Bixira, BS:Parada Guaimbé, BS:Rua Pirajá 347, BS:Avenida Sapopemba 262, BS:Parada São Cristovão, TS:Parada Bixira, TS:Parada Guaimbé, TS:Rua Pirajá 347, TS:Avenida Sapopemba 262, TS:Parada São Cristovão, CS:Padaria Falcão, CS:Açogue Bonas, CS:Padaria Santa Branca, CS:Padaria Monte Líbano, CS:Opala Pães e Doçes, PH:Drogaria Itamonte, PH:Drogaria Moretti, PH:Sinete 24Horas
2498683875; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Claudia; Vila Cláudia; RESIDENTIAL; 62; 62; Comprar; 372000; 1; 0; 2; 2; 440; 03180100; Apartamento com 2 Dormitórios, Sala 2 ambientes, 1 Vaga de garagem coberta fixa e 1 Despensa reversível.<br>Condomínio incluso conta de água e Iptu ambos com valores baixo.<br>Bairro tradicional, ruas tranquilas com ótima infra-estrutura contando com Supermercados, Padarias, Restaurante, Escolas, Bancos, Hospital etc.<br>Com acesso p Av Paes de Barros, Radial Leste.<br>Venha conhecer, Consulte-nos!! -; BS:Rua Pirajá 347, BS:Avenida Sapopemba 262, BS:Avenida Sapopemba 331, BS:Parada Bixira, BS:Parada Guaimbé, TS:Rua Pirajá 347, TS:Avenida Sapopemba 262, TS:Avenida Sapopemba 331, TS:Parada Bixira, TS:Parada Guaimbé, CS:Padaria Falcão, CS:Açogue Bonas, CS:Padaria Santa Branca, CS:Opala Pães e Doçes, CS:Padaria Monte Líbano, PH:Drogaria Moretti, PH:Drogaria Itamonte, PH:Sinete 24Horas
2449437193; APARTMENT; UNIT; BR; São Paulo; SP; Rua Décio Abramo; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Claudia; Vila Cláudia; RESIDENTIAL; 65; 65; Comprar; 420000; 1; 0; 1; 2; 350; 03178030; - Ótimo apartamento na região da Mooca<br>- Localização privilegiada, próximo a Rua da Mooca, Rua Fernando Falcão, Avenida Paes de Barros, Rua do Oratório, Rua Madre de Deus com sua variedade de Restaurantes e Bares.<br>- Sala para 02 ambientes<br>- Cozinha <br>- Área de serviço <br>- Banheiro social com box <br>- 02 Dormitórios <br>- 01 vaga de garagem<br>- Próximo do Hospital Vila Lobos, Academias, Bancos, Farmacias, Cartório, Colegios Particulares, Açai Praia sendo um estabelecimento de alimentos Fitness,<br><b>- <br>Imóvel opção de venda R$ 420.000,00</b> <br><br><b>Gastronomia:</b><br>A região abriga diversas cantinas italianas, já que grande parte do bairro possui influencia italiana, dentre as mais conhecidas, Carlini e Cantina San Marco.<br>Outras opções para comer no bairro: As esfihas da Juventus, as pizzas da Pizzaria São Pedro, as massas da Carlini e para completar os doces italianos da Confeitaria Di Cunto.<br><br>A <b>Mooca é um dos bairros mais procurados para o aluguel de casas em São Paulo </b>e principalmente na zona leste. Com bons índices de desenvolvimento humano e de segurança, o bairro ainda apresenta preços competitivos em relação à média da capital e outros bairros.; BS:Parada Guaimbé, BS:Parada Inhomirim, BS:Parada Bixira, BS:Parada Oratório, BS:Rua Taquari, TS:Parada Guaimbé, TS:Parada Bixira, TS:Rua Taquari, TS:Rua Taquari 156, TS:Rua Pirajá 347, CS:Padaria Falcão, CS:Açogue Bonas, CS:Padaria Santa Branca, CS:Opala Pães e Doçes, CS:Padaria Monte Líbano, PH:Drogaria Itamonte, PH:Drogaria Moretti, PH:Sinete 24Horas
2499250780; APARTMENT; UNIT; BR; São Paulo; SP; Praça Alexandre Fleming; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Claudia; Vila Cláudia; RESIDENTIAL; 90; 90; Alugar/Comprar; 2080; 2; 1; 3; 3; 545; 03180190; Apartamento bem localizado, vista da varanda de frente para<br>praça, bem arborizada. Imóvel com armários planejados, quartos<br>e cozinha. Comércio próximo: Padarias, lanchonetes, farmácia.<br>Altura do 4000 da Rua da Mooca, fácil acesso para o centro.; BS:Parada Bixira, BS:Parada Guaimbé, BS:Rua Pirajá 347, BS:Avenida Sapopemba 262, BS:Parada São Cristovão, TS:Parada Bixira, TS:Parada Guaimbé, TS:Rua Pirajá 347, TS:Avenida Sapopemba 262, TS:Parada São Cristovão, CS:Padaria Falcão, CS:Açogue Bonas, CS:Padaria Santa Branca, CS:Padaria Monte Líbano, CS:Opala Pães e Doçes, PH:Drogaria Itamonte, PH:Drogaria Moretti, PH:Sinete 24Horas
2496458823; APARTMENT; UNIT; BR; São Paulo; SP; Praça Alexandre Fleming; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Claudia; Vila Cláudia; RESIDENTIAL; 90; 90; Comprar; 649900; 2; 1; 2; 3; 520; 03180190; Apto totalmente decorado;<br> Excelente estado de acabamento;<br> Localização privilegiada;<br> Lazer completo;<br> Área privativa de 90 m²;<br> Repleto de armários;<br> 3 Dormitórios c/ armários (1 suíte);<br> Sala para 2 ambientes c/ ar condicionado e/sacada;<br> Cozinha c/ armários;<br> Área de Serviço;<br> Dependência de empregada completa;<br> 02 Vagas de garagem;<br> Condomínio: R$ 520,00;<br> IPTU: R$129,61 / mês, -; BS:Parada Bixira, BS:Parada Guaimbé, BS:Rua Pirajá 347, BS:Avenida Sapopemba 262, BS:Parada São Cristovão, TS:Parada Bixira, TS:Parada Guaimbé, TS:Rua Pirajá 347, TS:Avenida Sapopemba 262, TS:Parada São Cristovão, CS:Padaria Falcão, CS:Açogue Bonas, CS:Padaria Santa Branca, CS:Padaria Monte Líbano, CS:Opala Pães e Doçes, PH:Drogaria Itamonte, PH:Drogaria Moretti, PH:Sinete 24Horas
2227765567; APARTMENT; UNIT; BR; São Paulo; SP; Praça Alexandre Fleming; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Claudia; Vila Cláudia; RESIDENTIAL; 90; 90; Comprar; 715000; 2; 1; 3; 3; 550; 03180190; ÓTIMO APARTAMENTO MOOCA 3 DORMITORIOS COM SUITE 90M<br> <br> TODO EM PISO LAMINADO <br> <br> DORMITÓRIOS REPLETO DE ARMÁRIOS COM CLOSET EM UM DELES<br> <br> COZINHA TODA EM GRANITO<br> <br> COM QUARTO E BANHEIRO DE EMPREGADA<br> <br> APARTAMENTO COM SACADA DE FRENTE PARA PRAÇA.<br> <br> COM 2 VAGAS DE GARAGEM <br> <br> EXCELENTE LOCALIZAÇÃO PROXIMO AS PRINCIPAIS RUAS DO BAIRRO<br> <br> PROXIMO AO COMERCIO LOCAL, ESCOLAS, HOSPITAIS.<br> <br> FACIL ACESSO AO TRANSPORTE PÚBLICO<br> <br> MAIORES INFORMAÇÕES ACESSE CÓDIGO GC 179.<br> .; BS:Parada Bixira, BS:Rua Pirajá 347, BS:Parada Guaimbé, BS:Avenida Sapopemba 262, BS:Parada São Cristovão, TS:Parada Bixira, TS:Rua Pirajá 347, TS:Parada Guaimbé, TS:Avenida Sapopemba 262, TS:Avenida Sapopemba 331, CS:Padaria Falcão, CS:Açogue Bonas, CS:Padaria Santa Branca, CS:Padaria Monte Líbano, CS:Opala Pães e Doçes, PH:Drogaria Itamonte, PH:Drogaria Moretti, PH:Sinete 24Horas
2483704012; APARTMENT; UNIT; BR; São Paulo; SP; Praça Alexandre Fleming; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Claudia; Vila Cláudia; RESIDENTIAL; 86; 86; Comprar; 680000; 2; 1; 2; 3; 700; 03180190; Ótimo apto com 2 vagas demarcadas; BS:Parada Bixira, BS:Parada Guaimbé, BS:Rua Pirajá 347, BS:Avenida Sapopemba 262, BS:Parada São Cristovão, TS:Parada Bixira, TS:Parada Guaimbé, TS:Rua Pirajá 347, TS:Avenida Sapopemba 262, TS:Parada São Cristovão, CS:Padaria Falcão, CS:Açogue Bonas, CS:Padaria Santa Branca, CS:Padaria Monte Líbano, CS:Opala Pães e Doçes, PH:Drogaria Itamonte, PH:Drogaria Moretti, PH:Sinete 24Horas
2459704683; APARTMENT; UNIT; BR; São Paulo; SP; Rua Sara Bernhard; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Claudia; Vila Cláudia; RESIDENTIAL; 78; 78; Comprar; 400000; 1; 0; 2; 3; 520; 03180100; Apartamento sala 2 ambientes, 3 dormitórios, cozinha, área de serviço, dependência completa de empregada, piso em granito na área social, dormitórios com piso laminado e repleto de armários.<br><br>Excelente localização, rua tranquila e arborizada, próximo ao comércio em geral e farta condução.<br><br>"Valores sujeitos a alteração sem prévio aviso.<br>Sujeito a confirmação de disponibilidade!"<br> Agente já sua visita ! <br>Entre em contato conosco pelo WhatsApp <br> -; BS:Rua Pirajá 347, BS:Avenida Sapopemba 262, BS:Avenida Sapopemba 331, BS:Parada Bixira, BS:Parada Guaimbé, TS:Rua Pirajá 347, TS:Avenida Sapopemba 262, TS:Avenida Sapopemba 331, TS:Parada Bixira, TS:Parada Guaimbé, CS:Padaria Falcão, CS:Açogue Bonas, CS:Padaria Santa Branca, CS:Padaria Monte Líbano, CS:Opala Pães e Doçes, PH:Drogaria Moretti, PH:Drogaria Itamonte, PH:Sinete 24Horas
2490554758; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Claudia; Vila Cláudia; RESIDENTIAL; 90; 90; Comprar; 625400; 2; 1; 3; 3; 546; 03180190; OPORTUNIDADE!!! APARTAMENTO PARA VENDA!!! ÓTIMA LOCALIZAÇÃO!!! 90M², 03 DORMITÓRIOS (SENDO 01 SUÍTE), SALA PARA 02 AMBIENTES, COZINHA, ÁREA DE SERVIÇO, SACADA, 02 VAGAS. NÃO PERCA ESTA CHANCE!!! ENTRE EM CONTATO CONOSCO E AGENDE SUA VISITA COM UM DE NOSSOS CORRETORES!!! SE PREFERIR ACESSE NOSSO SITE, CONVERSE COM NOSSOS CORRETORES ON LINE.<br><br>; BS:Parada Bixira, BS:Parada Guaimbé, BS:Rua Pirajá 347, BS:Avenida Sapopemba 262, BS:Parada São Cristovão, TS:Parada Bixira, TS:Parada Guaimbé, TS:Rua Pirajá 347, TS:Avenida Sapopemba 262, TS:Parada São Cristovão, CS:Padaria Falcão, CS:Açogue Bonas, CS:Padaria Santa Branca, CS:Padaria Monte Líbano, CS:Opala Pães e Doçes, PH:Drogaria Itamonte, PH:Drogaria Moretti, PH:Sinete 24Horas
2485914730; APARTMENT; UNIT; BR; São Paulo; SP; Praça Alexandre Fleming; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Claudia; Vila Cláudia; RESIDENTIAL; 90; 90; Comprar; 649900; 2; 1; 2; 3; 520; 03180190; Apartamento em ótima localização da Moóca, vários mercados, transporte coletivo abundante, bares, restaurantes, padarias e todo o conforto e infraestrutura que o bairro da Moóca pode lhe oferecer. <br> <br>Agende sua visita: ou pelo site: www.pedrodelima.com.br <br> <br>Todas as informações e valores exibidos neste portal são fornecidos pelos proprietários dos imóveis podendo sofrer alterações sem aviso prévio. Consulte nossos consultores.; BS:Parada Bixira, BS:Parada Guaimbé, BS:Rua Pirajá 347, BS:Avenida Sapopemba 262, BS:Parada São Cristovão, TS:Parada Bixira, TS:Parada Guaimbé, TS:Rua Pirajá 347, TS:Avenida Sapopemba 262, TS:Parada São Cristovão, CS:Padaria Falcão, CS:Açogue Bonas, CS:Padaria Santa Branca, CS:Padaria Monte Líbano, CS:Opala Pães e Doçes, PH:Drogaria Itamonte, PH:Drogaria Moretti, PH:Sinete 24Horas
