IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2453695807; APARTMENT; UNIT; BR; São Paulo; SP; Rua Payaguás; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Congonhas; Vila Congonhas; RESIDENTIAL; 286; 286; Comprar; 3800000; 4; 4; 6; 4; 4400; 04624080; APARTAMENTO IMPECÁVEL! Totalmente reformado e Decorado por arquiteta renomada (Casa Cor), Armários Kitchens e Ornare, acabamentos impecáveis e de alto padrão.; BS:Aeroporto de Congonhas, BS:Ponto Linha 609-10J Metrô São Judas, BS:Ponto Linha 470 - Santo André, BS:Gabriele D'Annunzio B/C, BS:Gabriele D'Annunzio, TS:Aeroporto de Congonhas, TS:Ponto Linha 609-10J Metrô São Judas, TS:Ponto Linha 470 - Santo André, TS:Gabriele D'Annunzio B/C, TS:Gabriele D'Annunzio, CS:A Trigueira, CS:Dom Pedro, CS:Orquídea Pérola do Brooklin, CS:Piriquito, CS:Padaria Manhattan, CH:Clínica Odontológica Soares, CH:Hospital Moriah
2263105527; APARTMENT; UNIT; BR; São Paulo; SP; Rua Estevão Baião; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Congonhas; Vila Congonhas; RESIDENTIAL; 123; 123; Comprar; 1035000; 2; 1; 4; 3; 850; 04624001; O condomínio residencial Vide Campo Belo é formado por 3 torres semelhantes. A unidade é de 123m² com 4 dormitórios e 2 vagas.<br><br>Região nobre, próximo de supermercados, farmácias, padarias e restaurantes.<br><br>Condomínio clube, lazer completíssimo.<br>Churrasqueira<br>Piscina<br>Piscina Infantil<br>Playground<br>Brinquedoteca<br>Quadra Poliesportiva<br>Sala De Ginástica<br>Salão De Festa<br>Salão De Jogos -; BS:Aeroporto de Congonhas, BS:Ponto Linha 609-10J Metrô São Judas, BS:Ponto Linha 470 - Santo André, BS:Parada Ademar de Morais, BS:Parada Adhemar de Moraes, TS:Aeroporto de Congonhas, TS:Ponto Linha 609-10J Metrô São Judas, TS:Ponto Linha 470 - Santo André, TS:Parada Ademar de Morais, TS:Parada Adhemar de Moraes, CS:A Trigueira, CS:Dom Pedro, CS:Piriquito, CS:Orquídea Pérola do Brooklin, CS:Nova Pérola, CH:Clínica Odontológica Soares, CH:Hospital Moriah
2436441139; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Congonhas; Vila Congonhas; RESIDENTIAL; 63; 63; Comprar; 770000; 2; 1; 2; 2; 840; 04612070; Apto com 63m2, 2 dormitórios , sendo 1 suíte, 2 vagas, no coração do Campo Belo, fácil acesso ao Aeroporto, Av. Bandeirantes, Vieira de Morais, Restaurantes, Escolas Ótimas, supermercados, Farmácias , Bancos, e toda infraestrutura que necessitamos no nosso dia a dia, Vale conferir, Agende Uma Visita, Aguardo Você; BS:Aeroporto de Congonhas, BS:Ponto Linha 609-10J Metrô São Judas, BS:Ponto Linha 470 - Santo André, BS:Morais de Barros, BS:Parada Vieira de Morais, TS:Aeroporto de Congonhas, TS:Ponto Linha 609-10J Metrô São Judas, TS:Ponto Linha 470 - Santo André, TS:Morais de Barros, TS:Parada Vieira de Morais, CS:A Trigueira, CS:Dom Pedro, CS:Padaria Ceci, CS:Piriquito, CS:Padaria Manhattan, CH:Hospital Moriah, CH:Clínica Odontológica Soares, CH:Doutor  Victor Barboza, CH:Doutora  Paula Girotto, CH:Salomão Zoppi Diagnóstico
2496534362; HOME; UNIT; BR; São Paulo; SP; Rua Cataguaz; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Congonhas; Vila Congonhas; RESIDENTIAL; 120; 120; Alugar/Comprar; 2510; 2; 0; 1; 2; 0; 04624060; Excelente casa com 120 m², com 2 quartos mobiliado, 1 banheiro com armário e box de vidro, sala ampla mobiliada, cozinha com armários embutidos, fogão e geladeira, mesa, casa totalmente mobiliada. A localização é privilegiada próximo do comercio da região de Campo Belo, Aeroporto de Congonhas, Shopping Ibirapuera. -; BS:Aeroporto de Congonhas, BS:Ponto Linha 609-10J Metrô São Judas, BS:Ponto Linha 470 - Santo André, BS:Gabriele D'Annunzio B/C, BS:Gabriele D'Annunzio, TS:Aeroporto de Congonhas, TS:Ponto Linha 609-10J Metrô São Judas, TS:Ponto Linha 470 - Santo André, TS:Gabriele D'Annunzio B/C, TS:Gabriele D'Annunzio, CS:A Trigueira, CS:Dom Pedro, CS:Orquídea Pérola do Brooklin, CS:Piriquito, CS:Nova Pérola, CH:Clínica Odontológica Soares, CH:Hospital Moriah
2455153696; APARTMENT; UNIT; BR; São Paulo; SP; Rua Conceição Marcondes Silva; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Congonhas; Vila Congonhas; RESIDENTIAL; 0; 161; Comprar; 2000000; 3; 3; 5; 3; 1210; 04624090; Face Norte, apartamento em andar intermediário, pronto para morar. Sala ampla, para 2 bons ambientes, varanda gourmet quadrada que possibilita uma ótima arrumação e vista livre. Lavabo. São três amplas suítes, todas com bons armários, sendo a master com um espaçoso closet. Todos os ambientes são muito claros. Copa cozinha com janela e equipada com armários planejados. O condomínio tem 9 anos, com lazer completo, de bom gosto e super bem cuidado. Excelente localização no Campo Belo. Agende sua visita!; BS:Aeroporto de Congonhas, BS:Ponto Linha 609-10J Metrô São Judas, BS:Ponto Linha 470 - Santo André, BS:Gabriele D'Annunzio B/C, BS:Vieira de Morais B/C, TS:Aeroporto de Congonhas, TS:Ponto Linha 609-10J Metrô São Judas, TS:Ponto Linha 470 - Santo André, TS:Gabriele D'Annunzio B/C, TS:Vieira de Morais B/C, CS:A Trigueira, CS:Dom Pedro, CS:Piriquito, CS:Orquídea Pérola do Brooklin, CS:Padaria Manhattan, CH:Clínica Odontológica Soares, CH:Hospital Moriah
2488254123; OFFICE; UNIT; BR; São Paulo; SP; Rua Baronesa de Bela Vista; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Congonhas; Vila Congonhas; COMMERCIAL; 31; 31; Comprar; 259000; 1; 0; 1; 0; 420; 04612002; Pronto para mudar, a sala é moderna e bem desenhada, a 200 m do embarque do Aeroporto de Congonhas. No CGH Aeroporto Offices seus negócios têm tudo para decolar, com a oportunidade de ter um ponto comercial com saída fácil para toda a cidade e para todo o Brasil. O conjunto comercial conta com todos os diferencias dos imóveis comerciais. Possui espaços bem planejados, modernos, tecnológicos, de muito bom gosto que contam com conciérge, baggage lockers, foyer, 2 salas de reuniões, central de atendimento, manutenção, limpeza, segurança 24h, fechadura biométrica, infraestrutura para automação e WiFi em áreas comuns. O CGH ainda te oferece como opção de uso serviços de aeroporto e serviços pay-per-use, que incluem entre muitos outros serviços: lavanderia (coleta), help desk e serviços de tradução.<br>O Aeroporto de Congonhas atualmente é o segundo aeroporto mais movimentado em número de passageiros e em número de aeronaves do Brasil. É considerado o aeroporto executivo do Brasil, em função do grande número de passageiros que o utilizam para viagens a negócios. Sua localização conta com saída fácil para as Avenidas Washington Luiz, Bandeirantes e 23 de Maio. Além de ficar próximo da Avenida Engenheiro Luiz Carlos Berrini e da Marginal Pinheiros. O acesso é facilitado para os executivos de empresas já que fica a poucos minutos de bairros nobres de São Paulo que abrigam grandes empresas, como Moema, Vila Olímpia, Brooklin e Campo Belo. E Congonhas ainda vai ficar melhor com a linha do monotrilho que ligará o aeroporto a estações do Metrô e da CPTM.<br><br>As condições estão incríveis e facilitadas, é mesmo oportunidade, você pode ser dono com apenas 6% de entrada e saldo financiado em até 120 meses. vale a pena conferir, vamos agendar uma visita agora? -; BS:Aeroporto de Congonhas, BS:Ponto Linha 609-10J Metrô São Judas, BS:Ponto Linha 470 - Santo André, BS:Morais de Barros, BS:Shopping Ibirapuera B/C, TS:Aeroporto de Congonhas, TS:Ponto Linha 609-10J Metrô São Judas, TS:Ponto Linha 470 - Santo André, TS:Morais de Barros, TS:Shopping Ibirapuera B/C, CS:A Trigueira, CS:Dom Pedro, CS:Padaria Ceci, CS:Piriquito, CS:Padaria Bienal, VP:Pet Station
2447636745; HOME; UNIT; BR; São Paulo; SP; Avenida Barão do Rego Barros; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Congonhas; Vila Congonhas; RESIDENTIAL; 270; 270; Comprar; 900000; 4; 1; 3; 3; 0; 04612041; CASA DE ESQUINA COM EXCELENTE LOCALIZAÇÃO EM UM DOS MELHORES BAIRROS DE SÃO PAULO. PISO SUPERIOR COM 3 DORMITÓRIOS, SENDO 1 SUÍTE, 2 QUARTOS E BANHEIRO. ARMÁRIOS EMBUTIDOS NOVOS NOS QUARTOS, BANHEIROS E COZINHA. PISO TÉRREO COM SALA DE ESTAR, SALA DE JANTAR, LAVABO, COZINHA, EDÍCULA COM MAIS 1 SUÍTE E LAVANDERIA. QUINTAL COM JARDIM, CHURRASQUEIRA E PIA EXTERNA. ESCADA NOVA EM GRANITO E CASA TODA COM PISO NOVO DE ARDÓSIA. PISO INFERIOR COM 4 VAGAS DE GARAGEM E PORTÃO ELETRÔNICO. TODOS APOSENTOS BEM ILUMINADOS COM LUZ NATURAL (JANELAS), INCLUSIVE A COZINHA E OS BANHEIROS. COZINHA COM FOGÃO EMBUTIDO DE 6 BOCAS, MESA, BANCADA E PIA TODO EM GRANITO. CASA SEGURA COM GRADES ALTAS E NOVAS. RUA TRANQUILA, PRÓXIMA AO AEROPORTO DE CONGONHAS (podendo ir a pé), SUPERMERCADOS, BANCOS E TODA ESTRUTURA QUE O BAIRRO OFERECE. EXCELENTE INVESTIMENTO POR PROXIMIDADE COM ESTAÇÃO CAMPO BELO DE METRÔ. ZONEAMENTO: ZEUP; BS:Aeroporto de Congonhas, BS:Ponto Linha 609-10J Metrô São Judas, BS:Ponto Linha 470 - Santo André, BS:Morais de Barros, BS:Vieira de Morais B/C, TS:Aeroporto de Congonhas, TS:Ponto Linha 609-10J Metrô São Judas, TS:Ponto Linha 470 - Santo André, TS:Morais de Barros, TS:Vieira de Morais B/C, CS:A Trigueira, CS:Dom Pedro, CS:Padaria Ceci, CS:Piriquito, CS:Trigal, CH:Hospital Moriah, CH:Clínica Odontológica Soares, CH:Doutor  Victor Barboza, CH:Doutora  Paula Girotto, CH:Unidade Básica de Saúde Milton Santos
2489249077; HOME; UNIT; BR; São Paulo; SP; Rua Casimiro de Abreu; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Congonhas; Vila Congonhas; RESIDENTIAL; 203; 120; Comprar; 500000; 0; 0; 2; 3; 0; 04624110; Casa terrea bem localizada na Vila Congonhas, entre Campo Belo e Aeroporto. Otimo acesso à Av. Roberto Marinho e Washington Luis. Otimo ponto de residencia, comercial ou simples investimento. Necessita reforma.; BS:Parada Ademar de Morais, BS:Parada Adhemar de Moraes, BS:Aeroporto de Congonhas, BS:Ponto Linha 609-10J Metrô São Judas, BS:Ponto Linha 470 - Santo André, TS:Parada Ademar de Morais, TS:Parada Adhemar de Moraes, TS:Aeroporto de Congonhas, TS:Ponto Linha 609-10J Metrô São Judas, TS:Ponto Linha 470 - Santo André, CS:A Trigueira, CS:Dom Pedro, CS:Piriquito, CS:Orquídea Pérola do Brooklin, CS:Nova Pérola, CH:Clínica Odontológica Soares
2499410213; APARTMENT; UNIT; BR; São Paulo; SP; Rua Gutemberg; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Congonhas; Vila Congonhas; RESIDENTIAL; 60; 60; Comprar; 320000; 1; 0; 2; 2; 0; 04624030; Edifício com acessibilidade e localização privilegiada. Bicicletário e acesso fácil as principais ciclovias (ciclovia e ciclofaixa). Apartamento, 2 dormitórios, sala para 02 ambientes, cozinha com armários, área de serviço, wc de empregada e 01 vaga de garagem.<br>Condomínio com churrasqueira, quadra poliesportiva, playground, salão destas, jardim, e portaria 24 horas. Oportunidade no Campo Belo.; BS:Parada Ademar de Morais, BS:Parada Adhemar de Moraes, BS:Aeroporto de Congonhas, BS:Ponto Linha 609-10J Metrô São Judas, BS:Ponto Linha 470 - Santo André, TS:Parada Ademar de Morais, TS:Parada Adhemar de Moraes, TS:Aeroporto de Congonhas, TS:Ponto Linha 609-10J Metrô São Judas, TS:Ponto Linha 470 - Santo André, CS:A Trigueira, CS:Piriquito, CS:Dom Pedro, CS:Orquídea Pérola do Brooklin, CS:Nova Pérola, CH:Clínica Odontológica Soares, CH:Hospital Moriah
2497666522; FLAT; UNIT; BR; São Paulo; SP; Rua Baronesa de Bela Vista; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Congonhas; Vila Congonhas; RESIDENTIAL; 37; 27; Comprar; 339200; 0; 1; 1; 1; 0; 04612002; *Fotos Padrão do Hotel*<br><br> <br><br> <br><br>O Ibis São Paulo Congonhas está localizado em São Paulo e oferece acesso direto ao Aeroporto de São Paulo/Congonhas.<br><br> <br><br>A propriedade também dispõe de recepção 24 horas e depósito para bagagem.<br><br> <br><br>Todos os quartos incluem guarda-roupa, banheiro privativo com produtos de banho de cortesia e TV de tela plana via satélite.<br><br> <br><br>Um café da manhã em estilo continental ou em buffet é servido diariamente, a partir das 4h. Já o restaurante do local é especializado em culinária internacional e serve almoço e jantar. Além disso, você pode jogar bilhar e desfrutar de um happy hour no bar do Ibis São Paulo Congonhas.<br><br> <br><br>O hotel está situado a 5,4 km do shopping Market Place SP e a 7 km do Parque do Ibirapuera.<br><br> <br><br> <br><br> <br><br> <br><br>*** Imóvel sujeito a consulta de disponibilidade e valores, favor entrar em contato conosco para informações atualizadas ***<br><br>Código do Anúncio: 5101_66342<br>; BS:Aeroporto de Congonhas, BS:Ponto Linha 609-10J Metrô São Judas, BS:Ponto Linha 470 - Santo André, BS:Morais de Barros, BS:Vieira de Morais B/C, TS:Aeroporto de Congonhas, TS:Ponto Linha 609-10J Metrô São Judas, TS:Ponto Linha 470 - Santo André, TS:Morais de Barros, TS:Vieira de Morais B/C, CS:A Trigueira, CS:Padaria Ceci, CS:Dom Pedro, CS:Piriquito, CS:Trigal, CH:Hospital Moriah, CH:Clínica Odontológica Soares, CH:Unidade Básica de Saúde Milton Santos, CH:Medicina Diagnóstica, CH:Doutor  Victor Barboza
