IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2499243061; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Rua José Peixoto; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Diva; Vila Diva; RESIDENTIAL; 205; 100; Comprar; 350000; 2; 1; 2; 3; 0; 03351040; OBRADO ÓTIMO PREÇO NA VILA DIVA COM 1 SUÍTE COZINHA ESPAÇOSA 3 QUARTOS 2 BANHEIROS SALA AMBIENTE 2 VAGAS DE GARAGEM 2 LAVATÓRIOS CHURRASQUEIRA ÁREA DE SERVIÇO QUINTAL ESPAÇOSO CÂMERA DE SEGURANÇA PORTÃO AUTOMÁTICO QUERO 30 MIL DE ENTRADA MAIS DIVIDAS FALAR COM TIAGO; BS:Rua Doutor Gabriel de Resende 255, BS:Rua Doutor Gabriel de Resende 360, BS:Avenida Luca 96, BS:Avenida Luca 81, BS:Rua Doutor Gabriel de Resende 453, TS:Rua Doutor Gabriel de Resende 255, TS:Rua Doutor Gabriel de Resende 360, TS:Avenida Luca 96, TS:Avenida Luca 81, TS:Rua Doutor Gabriel de Resende 453, CS:Padraira Total Sucesso, CS:Casa de Carnes Vale do Douro, CS:Julio's Casa de Pães, CS:Bella Regente, CS:Padaria Novo Cruzeiro, PH:Drogaria Moretti
2433503973; HOME; UNIT; BR; São Paulo; SP; Rua João Bizarro da Nave; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Diva; Vila Diva; RESIDENTIAL; 0; 107; Comprar; 650000; 3; 2; 4; 2; 0; 03351100; Sobrado mais lindo do bairro! Projeto moderno e exclusivo de Arquiteto. Excelente localização com acabamento de primeira linha. 3 vagas de garagem com portão automático e social. Entrada social com porta de madeira pivotante de 1,00 m de largura.Sala com porcelanato de madeira, teto de gesso rebaixado, com iluminação embutida, rodapé de MDF. Cozinha americana com pastilha de vidro e ponto de água para filtro, pia de granito. Área de serviço com porcelanato e parte descoberta para ventilação e gramado.Escadas de granito.Janelas de alumínio e venezianas de madeira de lei, feitas sob medida na suíte master.Banheiros das suítes com porcelanato, pastilha de vidro,pias de mármore travertino com cuba esculpida, nicho para objetos no box, metais e louças primeira linha. Terraço com piso porcelanato tipo deck, piscina e deck de madeira, churrasqueira com bancada de granito e pia, sauna a vapor, wc com chuveiro e jardineira suspensa.Doctos OK! Aceita parte permuta, veículos e financiamento !; BS:Rua Doutor Gabriel de Resende 255, BS:Rua Doutor Gabriel de Resende 102, BS:Avenida Sapopemba 2629, BS:Rua Doutor Gabriel de Resende 57, BS:Rua Doutor Gabriel de Resende 360, TS:Rua Doutor Gabriel de Resende 255, TS:Rua Doutor Gabriel de Resende 102, TS:Avenida Sapopemba 2629, TS:Rua Doutor Gabriel de Resende 57, TS:Avenida Adutora do Rio Claro 41, CS:Padraira Total Sucesso, CS:Casa de Carnes Vale do Douro, CS:Bella Regente, CS:Padaria Novo Cruzeiro, CS:Bonas, PH:Drogaria Moretti
2438607156; APARTMENT; UNIT; BR; São Paulo; SP; Rua Doutor Goulart Penteado; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Diva; Vila Diva; RESIDENTIAL; 130; 130; Comprar; 650000; 3; 3; 5; 3; 1000; 03351090; Apartamento conta com 130 m² de área útil, 3 suítes com armários embutidos ,, sala para três ambientes, sacadas envidraçadas na sala e na suíte principal, 5 banheiros, cozinha planejada, área de serviço, elevador panorâmico. Condomínio com piscinas (adultos e infantil), salão de festas, salão de jogos, academia, quadras poliesportivas, playground, brinquedoteca, espaço gourmet, 3 vagas soltas de garagem com depósito, vaga box para lavagem de veículos. <br> <br><br>Sh Prime Imóveis, referência no mercado imobiliário fornecendo serviços inovadores, com excelência e qualidade no atendimento!<br>Agências em Perdizes, Pacaembu, Chácara Klabin, Santana, Vila Nova Conceição e Aclimação. .<br><br>Acesse nosso site e confira outras ofertas: www.shprime.com.br. <br><br>. Pontos de Interesse mais Próximos: <br><br>Metrô GUILHERMINA-ESPERANCA a 842m. <br>Ponto de onibus a 140m. <br>Ciclovia CICLOFAIXA CAMINHO VERDE, com extensão de 820m a uma distância de 3689m. <br>Escola MONTE VIRGEM UNIDADE III(ENEM: 599.44) a 1128m. <br>Parque LINEAR TIQUATIRA - ENGENHEIRO WERNER ZULAUF (Área: 54826m) a 1198m.; BS:Rua General Argolo 665, BS:Praça São Luís do Curu 60, BS:Rua General Argolo 810, BS:Rua Doutor Gabriel de Resende 57, BS:Rua Doutor Gabriel de Resende 102, TS:Rua General Argolo 665, TS:Praça São Luís do Curu 60, TS:Rua General Argolo 810, TS:Rua Doutor Gabriel de Resende 57, TS:Rua Doutor Gabriel de Resende 102, CS:Casa de Carnes Vale do Douro, CS:Bella Regente, CS:Padraira Total Sucesso, CS:Julio's Casa de Pães, CS:Rei do Mate Leroy Merlin, PH:Drogaria Moretti
2499241279; HOME; UNIT; BR; São Paulo; SP; Rua João Bizarro da Nave; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Diva; Vila Diva; RESIDENTIAL; 220; 100; Comprar; 348000; 2; 1; 2; 3; 0; 03351100; OBRADO ÓTIMO PREÇO NA VILA DIVA COM 1 SUÍTE COZINHA ESPAÇOSA 3 QUARTOS 2 BANHEIROS SALA AMBIENTE 2 VAGAS DE GARAGEM 2 LAVATÓRIOS CHURRASQUEIRA PISCINA ÁREA DE SERVIÇO QUINTAL ESPAÇOSO CÂMERA DE SEGURANÇA PORTÃO AUTOMÁTICO QUERO 40 MIL DE ENTRADA MAIS DIVIDAS FALAR COM TIAGO; BS:Rua Doutor Gabriel de Resende 102, BS:Rua Doutor Gabriel de Resende 57, BS:Avenida Adutora do Rio Claro 26, BS:Avenida Adutora do Rio Claro 41, BS:Rua Doutor Gabriel de Resende 255, TS:Rua Doutor Gabriel de Resende 102, TS:Rua Doutor Gabriel de Resende 57, TS:Avenida Adutora do Rio Claro 26, TS:Avenida Adutora do Rio Claro 41, TS:Rua Doutor Gabriel de Resende 255, CS:Casa de Carnes Vale do Douro, CS:Padraira Total Sucesso, CS:Bella Regente, CS:Padaria Novo Cruzeiro, CS:Julio's Casa de Pães, PH:Drogaria Moretti
2472038269; APARTMENT; UNIT; BR; São Paulo; SP; Rua João Bizarro da Nave; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Diva; Vila Diva; RESIDENTIAL; 42; 42; Comprar; 250000; 0; 0; 1; 2; 554; 03351100; Apartamento vago localizado próximo a loja do Koga Koga.<br>Possui 2 dormitórios, sala, cozinha com armários planejados, lavanderia fechada, sem vaga de garagem. Lazer com piscina, quadra, playground e salão de festas.<br>Ávila e Manno Imóveis, com você da visita até a entrega das chaves!; BS:Avenida Sapopemba 1985, BS:Avenida Sapopemba 1952, BS:Avenida Adutora do Rio Claro 26, BS:Rua Doutor Gabriel de Resende 57, BS:Rua General Argolo 810, TS:Avenida Sapopemba 1985, TS:Avenida Sapopemba 1952, TS:Avenida Adutora do Rio Claro 26, TS:Rua Doutor Gabriel de Resende 57, TS:Rua General Argolo 810, CS:Casa de Carnes Vale do Douro, CS:Bella Regente, CS:Padraira Total Sucesso, CS:Julio's Casa de Pães, CS:Padaria Novo Cruzeiro, PH:Drogaria Moretti
2478927410; HOME; UNIT; BR; São Paulo; SP; Rua Hemisfério; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Diva; Vila Diva; RESIDENTIAL; 400; 65; Alugar/Comprar; 2000; 1; 1; 2; 3; 100; 03375000; Sobrado 65m² de área construída, 3 dormitórios ( sendo 1 suíte ), 400.00 metros de terreno, porcelanato na sala, sanca de gesso, , 1 vaga de garagem.; BS:Avenida Sapopemba 4093, BS:Rua Gomes 343, BS:Avenida Sapopemba 3998, BS:Avenida Sapopemba 3809, BS:Avenida Sapopemba 3715, TS:Avenida Sapopemba 4093, TS:Rua Gomes 343, TS:Avenida Sapopemba 3998, TS:Avenida Sapopemba 3809, TS:Avenida Sapopemba 3715, CS:Bonas, CS:Padaria Novo Cruzeiro, CS:Padraira Total Sucesso, CS:Shell Select, CS:Julio's Casa de Pães, CH:Consultório Dentário
86557733; APARTMENT; UNIT; BR; São Paulo; SP; Rua Doutor Goulart Penteado; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Diva; Vila Diva; RESIDENTIAL; 132; 132; Comprar; 1130000; 3; 3; 4; 3; 1100; 03351090; Venha morar em um excelente apartamento de 3 dormitórios, todos som suíte, sala 2 ambientes, 3 vagas, dependência de empregada, depósito e em um condomínio que agrega muitas opções de lazer para você e sua família. <br> <br>Está próximo aos principais comércios da zona leste, a poucos metros do shopping Anália Franco, além de possuir fácil acesso as principais via da cidade. Não perca esta oportunidade. <br> <br>Agende sua visita , WhatsApp <br>ou pelo site: www.pedrodelima.com.br. <br> <br>Todas as informações e valores exibidos neste portal são fornecidos pelos proprietários dos imóveis podendo sofrer alterações sem aviso prévio. Consulte nossos corretores.; BS:Rua General Argolo 665, BS:Praça São Luís do Curu 60, BS:Rua General Argolo 810, BS:Rua Doutor Gabriel de Resende 57, BS:Rua Doutor Gabriel de Resende 102, TS:Rua General Argolo 665, TS:Praça São Luís do Curu 60, TS:Rua General Argolo 810, TS:Rua Doutor Gabriel de Resende 57, TS:Rua Doutor Gabriel de Resende 102, CS:Casa de Carnes Vale do Douro, CS:Bella Regente, CS:Padraira Total Sucesso, CS:Julio's Casa de Pães, CS:Rei do Mate Leroy Merlin, PH:Drogaria Moretti
72312577; HOME; UNIT; BR; São Paulo; SP; Rua Susana Conti de Oliveira; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Diva; Vila Diva; RESIDENTIAL; 240; 140; Comprar; 375000; 0; 1; 3; 3; 0; 03276070; IMÓVEL EM EXCELENTE LOCALIZAÇÃO NA VILA DIVA, A MENOS DE 100 METROS DA LOJA PIRUETA E MERCADO NAGUMO, FÁCIL ACESSO A TODO COMÉRCIO DA AVENIDA SAPOPEMBA.<br><br>CASA COM TRÊS DORMITÓRIOS SENDO UMA SUÍTE, SALA, AMPLA COZINHA, WC SOCIAL E GRANDE ÁREA DE SERVIÇO.<br>EDÍCULA NOS FUNDOS COM 1 DORMITÓRIO, COZINHA, WC SOCIAL E ÁREA DE SERVIÇO. Atualizado em: .; BS:Avenida Sapopemba 4093, BS:Rua Gomes 343, BS:Avenida Sapopemba 3998, BS:Avenida Sapopemba 3809, BS:Avenida Sapopemba 3715, TS:Avenida Sapopemba 4093, TS:Rua Gomes 343, TS:Avenida Sapopemba 3998, TS:Avenida Sapopemba 3809, TS:Avenida Sapopemba 3715, CS:Bonas, CS:Padaria Novo Cruzeiro, CS:Padraira Total Sucesso, CS:Shell Select, CS:Bona's Conceito em Carnes, PH:Drogaria Poupa Mais
2247585499; HOME; UNIT; BR; São Paulo; SP; Rua Alva; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Diva; Vila Diva; RESIDENTIAL; 182; 75; Comprar; 478000; 1; 0; 1; 2; 0; 03377050; ***Casa antiga, Terreno ´lindo com árvores, Vila Diva***<br>6,50m de frente x 28,00m de fundos<br>Área construída - 75,00 m²<br>Na frente terreno muito amplo com lindo jardim com árvores frutiferas.<br>2 dormitórios<br>Sala<br>Cozinha<br>Banheiro<br>Casa muito antiga<br>Isento de iptu<br><br>Se você quer Morar em São Paulo, com um jardim que representa um sitio, já encontrou.<br>Muito lindo e amplo.<br><br>Documentos ok - pode ser financiada<br>Agende uma visita e agradando estudamos e montamos uma proposta -; BS:Avenida Sapopemba 4982, BS:Avenida Sapopemba 5021, BS:Rua Francisco Manoel Beranger 30, BS:Avenida Sapopemba 5318, BS:Avenida Sapopemba 4093, TS:Avenida Sapopemba 4982, TS:Avenida Sapopemba 5021, TS:Rua Francisco Manoel Beranger 30, TS:Avenida Sapopemba 5318, TS:Avenida Sapopemba 4093, CS:Shell Select, CS:Bonas, CS:Padaria Novo Cruzeiro, CS:Bona's Conceito em Carnes, CS:Padraira Total Sucesso, PH:Drogaria Poupa Mais
2499389546; HOME; UNIT; BR; São Paulo; SP; Rua Lessing; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Diva; Vila Diva; RESIDENTIAL; 216; 270; Comprar; 790000; 4; 1; 5; 3; 0; 03375003; SOBRADO NA VILA DIVA COM 03 DORMITÓRIOS SENDO 01 SUÍTE, BANHEIRO, SALA AMPLA DE ESTAR E JANTAR, COPA, COZINHA AMPLA, LAVABO, QUINTAL, CORREDOR LATERAL, LAVANDERIA COBERTA E GRANDE, EDÍCULA NOS FUNDOS COM 01 DORMITÓRIO, SALA, COZINHA, BANHEIRO E LAVANDERIA, SALÃO DE FESTAS COM CHURRASQUEIRA E 04 VAGAS DE GARAGEM, SOBRADO COM ARMÁRIOS PLANEJADOS EM TODOS OS AMBIENTES, TERRENO MEDINDO 12x18, TOTALIZANDO 216 M² E 270 M² DE ÁREA CONSTRUÍDA, LOCALIZADO PRÓXIMO À AV. SAPOPEMBA, R. GRECCO E R. PLANETA, ÓTIMO LOCAL. ACEITA PROPOSTA E PERMUTA EM APTO OU SOBRADO NA REGIÃO ATÉ R$ 400.000,00.<br><br>---------- BOM SUCESSO IMÓVEIS ----------<br><br>ATENÇÃO: TODAS AS INFORMAÇÕES DOS IMÓVEIS ANUNCIADOS SÃO FORNECIDAS PELOS PROPRIETÁRIOS E PODEM SER ALTERADAS A QUALQUER MOMENTO SEM AVISO PRÉVIO. A BOM SUCESSO IMÓVEIS QUER OFERECER AOS NOSSOS CLIENTES UM ATENDIMENTO DEDICADO E ADEQUADO, PARA QUE CONSIGAM ENCONTRAR O QUE PROCURAM, VALORIZANDO SEMPRE O PROFISSIONALISMO, A ÉTICA, HONESTIDADE, DEDICAÇÃ -; BS:Avenida Sapopemba 4093, BS:Rua Gomes 343, BS:Avenida Sapopemba 3998, BS:Avenida Sapopemba 3809, BS:Avenida Sapopemba 3715, TS:Avenida Sapopemba 4093, TS:Rua Gomes 343, TS:Avenida Sapopemba 3998, TS:Avenida Sapopemba 3809, TS:Avenida Sapopemba 3715, CS:Bonas, CS:Padaria Novo Cruzeiro, CS:Shell Select, CS:Padraira Total Sucesso, CS:Bona's Conceito em Carnes, PH:Drogaria Poupa Mais
