IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2499595982; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Dom Pedro I; Vila Dom Pedro I; RESIDENTIAL; 74; 74; Comprar; 719979; 1; 0; 3; 2; 0; 04267000; Apartamento residencial para Venda<br>Vila Dom Pedro I, São Paulo<br>2 dormitórios, 3 banheiros, 1 vaga<br>74,00 m² útil<br>Fale conosco: -; BS:Ponto Final/Inicial Linha, BS:Estação Rua do Grito, BS:Estação Nossa Senhora Aparecida, TS:Alto do Ipiranga, TS:Sacomã, TS:Parada E.E.Professor José Escobar, TS:SAO BERNARDO DO CAMPO (VILA EURO)/ SAO PAULO (TERMINAL SACOMA), TS:Ponto Final/Inicial Linha, CS:Café Donuts, CS:Mercado da Carne Ipiranga, CS:Fiorella, CS:22 de Julho, CS:Big Bread, PH:Drogaria São José do Ipiranga, PH:SOS Farma Ponte
2462410381; HOME; UNIT; BR; São Paulo; SP; Rua Professor Adalgiso Pereira; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Dom Pedro I; Vila Dom Pedro I; RESIDENTIAL; 111; 111; Comprar; 680000; 2; 1; 2; 3; 0; 04276060; - PRÓXIMO AO METRÔ ALTO DO IPIRANGA E METRO SANTOS/IMIGRANTES <br>- PISO TODO EM PORCELANATO <br>- PREPARADA PARA AR CONDICIONADO <br>- PIAS DE SOBREPOR <br>- DAFLON COLOCADOS<br>visite nosso site www.arakiimoveis.com.br; BS:Ponto Final/Inicial Linha, BS:Estação Rua do Grito, BS:Estação Nossa Senhora Aparecida, TS:Santos - Imigrantes, TS:Santos-Imigrantes - Linha 2 Verde - Acesso à Avenida Doutor Ricardo Jafet, TS:Alto do Ipiranga, TS:Sacomã, TS:Parada E.E.Professor José Escobar, CS:Fiorella, CS:Café Donuts, CS:Mercado da Carne Ipiranga, CS:Santa Candida, CS:22 de Julho, PH:Drogaria São José do Ipiranga, PH:Rede Bem Drogarias
2499595981; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Dom Pedro I; Vila Dom Pedro I; RESIDENTIAL; 163; 163; Comprar; 1591592; 1; 2; 5; 4; 0; 04267000; Apartamento residencial para Venda<br>Vila Dom Pedro I, São Paulo<br>4 dormitórios sendo 2 suítes, 5 banheiros, 1 vaga<br>163,00 m² útil<br>Fale conosco: -; BS:Ponto Final/Inicial Linha, BS:Estação Rua do Grito, BS:Estação Nossa Senhora Aparecida, TS:Alto do Ipiranga, TS:Sacomã, TS:Parada E.E.Professor José Escobar, TS:SAO BERNARDO DO CAMPO (VILA EURO)/ SAO PAULO (TERMINAL SACOMA), TS:Ponto Final/Inicial Linha, CS:Café Donuts, CS:Mercado da Carne Ipiranga, CS:Fiorella, CS:22 de Julho, CS:Big Bread, PH:Drogaria São José do Ipiranga, PH:SOS Farma Ponte
2441854779; APARTMENT; UNIT; BR; São Paulo; SP; Rua Antônio Marcondes; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Dom Pedro I; Vila Dom Pedro I; RESIDENTIAL; 0; 90; Comprar; 1900000; 2; 1; 2; 3; 900; 04267020; OPORTUNIDADE !!VENDO APARTAMENTO Apartamento 84.14mts de area util, 92.50 area total. Torre Única , 2 apartamento por andar , hall elevador exclusivo para cada apartamento. 3 dormitórios , 1 suíte, banheiro social, sala para 2 ambientes , com nincho para bar, varanda, cozinha ampla. Iluminado, ensolarado, muito ventilado. 2 vagas garagem. Localizado Rua Antonio Marcondes 713. Ipiranga - SP - 650m do metrô.; BS:Ponto Final/Inicial Linha, BS:Estação Rua do Grito, BS:Estação Nossa Senhora Aparecida, TS:Sacomã, TS:Parada E.E.Professor José Escobar, TS:Ponto Final/Inicial Linha, TS:SAO BERNARDO DO CAMPO (VILA EURO)/ SAO PAULO (TERMINAL SACOMA), TS:Alto do Ipiranga, CS:Mercado da Carne Ipiranga, CS:22 de Julho, CS:Café Donuts, CS:Big Bread, CS:Fiorella, PH:Drogaria São José do Ipiranga, PH:SOS Farma Ponte
2497678844; APARTMENT; UNIT; BR; São Paulo; SP; Rua Vinte e Oito de Setembro; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Dom Pedro I; Vila Dom Pedro I; RESIDENTIAL; 0; 74; Comprar; 730000; 0; 2; 3; 2; 0; 04267000; O apartamento está localizado no bairro Vila Dom Pedro I com 74 metros quadrados com 2 quartos sendo 2 suites e 3 banheiros<br>Possui área de fitness, parquinho infantil, salão para festas e eventos, jardim.<br>Vai lhe possibilitar curtir os dias mais quentes na piscina, praticar diversos esportes na quadra poliesportiva, todo o conforto do ar condicionado nos dias mais quentes.Espaço reservado para preparar o seu churrasco.<br>Encontra-se na privacidade de um condomínio fechado.<br>Elevador para mais praticidade no dia-a-dia.; BS:Ponto Final/Inicial Linha, BS:Estação Rua do Grito, BS:Estação Nossa Senhora Aparecida, TS:Alto do Ipiranga, TS:Sacomã, TS:Parada E.E.Professor José Escobar, TS:SAO BERNARDO DO CAMPO (VILA EURO)/ SAO PAULO (TERMINAL SACOMA), TS:Ponto Final/Inicial Linha, CS:Café Donuts, CS:Mercado da Carne Ipiranga, CS:Fiorella, CS:22 de Julho, CS:Padaria Montreal, PH:Drogaria São José do Ipiranga, PH:SOS Farma Ponte
2498682858; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Dom Pedro I; Vila Dom Pedro I; RESIDENTIAL; 150; 180; Comprar; 790000; 4; 3; 5; 3; 0; 04276060; Sobrado com 3 suítes sala para 2 ambiente lavabo copa cozinha planejada amplo quintal com churrasqueira garagem 4 carros abaixo avaliação, local com toda infraestrutura como mercados farmácia padaria e metro . -; BS:Ponto Final/Inicial Linha, BS:Estação Rua do Grito, BS:Estação Nossa Senhora Aparecida, TS:Alto do Ipiranga, TS:Santos - Imigrantes, TS:Santos-Imigrantes - Linha 2 Verde - Acesso à Avenida Doutor Ricardo Jafet, TS:Sacomã, TS:Parada E.E.Professor José Escobar, CS:Fiorella, CS:Café Donuts, CS:Mercado da Carne Ipiranga, CS:Santa Candida, CS:22 de Julho, PH:Drogaria São José do Ipiranga, PH:Rede Bem Drogarias
2481920882; APARTMENT; UNIT; BR; São Paulo; SP; Rua Malvina Ferrara Samarone; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Dom Pedro I; Vila Dom Pedro I; RESIDENTIAL; 66; 66; Comprar; 420000; 2; 1; 2; 3; 500; 04279035; Apartamento com 3 domrs, suíte, 1 ou 2 Vagas de Garagem<br>Alto Padrão de Acabamento <br>Ótima localização ao Lado da Linha Verde do Metrô<br>Infraestrutura de Ar Condicionado Entregue<br>Tomada USB Entregue<br>Lazer de Clube para toda família<br>Piscinas Adulto e Infantil <br>Quadra Esportiva<br>Sala de Reuniões<br>Churrasqueira<br>Salões de Festas <br>Espaço Gourmet e muito mais<br><br>Agende comigo uma visita, lhe garanto a melhor negociação direto com a construtora<br><br>*Preço para Pagamento à vista ref. à unidade 101 Caminho c/ 1 Vaga de Garagem*; BS:Ponto Final/Inicial Linha, BS:Estação Rua do Grito, BS:Estação Nossa Senhora Aparecida, BS:Parada AME Barradas, BS:Parada Praça Gaúcha, TS:SAO BERNARDO DO CAMPO (VILA EURO)/ SAO PAULO (TERMINAL SACOMA), TS:Sacomã, TS:Parada E.E.Professor José Escobar, TS:Ponto Final/Inicial Linha, TS:Estação Rua do Grito, CS:Café Donuts, CS:Mercado da Carne Ipiranga, CS:22 de Julho, CS:Denver 3, CS:M2, PH:SOS Farma Ponte, PH:Drogaria São José do Ipiranga
2482104586; APARTMENT; UNIT; BR; São Paulo; SP; Rua Gama Lobo; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Dom Pedro I; Vila Dom Pedro I; RESIDENTIAL; 180; 101; Comprar; 985000; 2; 1; 3; 3; 875; 04269000; EXCELENTE APTO MOBILIADO. 23 ANDAR. VISTA PANORÂMICA / NASCENTE - SOL DA MANHÃ. DECORADO COM GRANITO / GESSO / PROJETO ILUMINAÇÃO / ESPELHOS / MARCHETARIA PERSONALIZADA. ESCRITÓRIO REPLETO DE ARMÁRIOS. 03 DORMITÓRIOS: ARMÁRIOS ORNARI. CAMAS BOX / BANCADAS. BANHEIROS: BLINDEX, GABINETES E ESPELHOS. COZINHA: GRANITO/ ARMÁRIOS. LAVANDERIA / DESPENSA: MÓVEIS FUNCIONAIS. AQUECEDOR NOVO. DEPÓSITO NA GARAGEM. 02 EXCELENTES VAGAS. POÇO ARTESIANO, GERADOR, SALÃO FESTAS. LAZER COMPLETO. SEGURANÇA HAGANÁ.; BS:Ponto Final/Inicial Linha, BS:Estação Nossa Senhora Aparecida, BS:Estação Rua do Grito, TS:Alto do Ipiranga, TS:Santos - Imigrantes, TS:Santos-Imigrantes - Linha 2 Verde - Acesso à Avenida Doutor Ricardo Jafet, TS:Sacomã, TS:Parada E.E.Professor José Escobar, CS:Mercado da Carne Ipiranga, CS:Café Donuts, CS:Fiorella, CS:Santa Candida, CS:22 de Julho, PH:Drogaria São José do Ipiranga, PH:Rede Bem Drogarias
2497788098; APARTMENT; UNIT; BR; São Paulo; SP; Rua Vinte e Oito de Setembro; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Dom Pedro I; Vila Dom Pedro I; RESIDENTIAL; 74; 74; Comprar; 690000; 0; 2; 3; 2; 400; 04267000; -; BS:Ponto Final/Inicial Linha, BS:Estação Rua do Grito, BS:Estação Nossa Senhora Aparecida, TS:Alto do Ipiranga, TS:Sacomã, TS:Parada E.E.Professor José Escobar, TS:SAO BERNARDO DO CAMPO (VILA EURO)/ SAO PAULO (TERMINAL SACOMA), TS:Ponto Final/Inicial Linha, CS:Café Donuts, CS:Mercado da Carne Ipiranga, CS:Fiorella, CS:22 de Julho, CS:Padaria Montreal, PH:Drogaria São José do Ipiranga, PH:SOS Farma Ponte
2499339773; APARTMENT; UNIT; BR; São Paulo; SP; Rua Malvina Ferrara Samarone; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Dom Pedro I; Vila Dom Pedro I; RESIDENTIAL; 0; 45; Comprar; 295000; 1; 0; 1; 1; 315; 04279035; Oportunidade para moradia ou investimento!<br>Apartamentos, a poucos metros da estação Sacomã do metrô, em excelente localização com total infraestrutura.<br>45 m², 1 dormitório, varanda e vaga de garagem. Condomínio clube, com lazer completo: piscinas adulto e infantil, quadra poliesportiva, churrasqueiras, área para piquenique, salões de festas e de jogos, playground, pet place, etc. <br>Entregamos com piso frio e laminado e forro de gesso em todo o apartamento.<br>Agende comigo a sua visita e saiba mais sobre este maravilhoso apartamento.; BS:Ponto Final/Inicial Linha, BS:Estação Rua do Grito, BS:Estação Nossa Senhora Aparecida, BS:Parada AME Barradas, BS:Parada Praça Gaúcha, TS:SAO BERNARDO DO CAMPO (VILA EURO)/ SAO PAULO (TERMINAL SACOMA), TS:Sacomã, TS:Parada E.E.Professor José Escobar, TS:Ponto Final/Inicial Linha, TS:Estação Rua do Grito, CS:Café Donuts, CS:Mercado da Carne Ipiranga, CS:22 de Julho, CS:Denver 3, CS:M2, PH:SOS Farma Ponte, PH:Drogaria São José do Ipiranga
